Policy1,Policy2,Policy3,Policy4,MSA,,BaselineAdjDeaths,BaselineAdjEmpDays,Deaths,Case,EmpDaysLost,Population,Death5_17,Death18_49,Death50_59,Death60_69,Death70_79,Death80,Case5_17,Case18_49,Case50_59,Case60_69,Case70_79,Case80
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S1-N2-E2-M1,5600,1,0,0,50007.12507,4631812.587,367983593.1,18007950.11,65.35823787,4663.908713,7317.855953,20820.02503,7729.353381,9410.623753,459838.9225,2649514.444,793278.5758,477583.7333,146197.4173,105399.4934
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S1-N1-E1-M1,5600,0,-0.009412003,0.413288203,49536.45788,4555971.056,520066871,18007950.11,65.30067152,4622.891157,7249.010988,20609.91192,7662.030848,9327.312294,458925.1167,2602755,778784.7604,468235.2739,143699.9833,103570.9219
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S1-N1-E1-M1,5600,0,-0.008244639,0.03682419,49594.83439,4578376.677,381534291,18007950.11,65.31787349,4638.127537,7273.79919,20614.95612,7668.037317,9334.596352,459198.0804,2619214.04,783753.0037,468497.5276,143957.9318,103756.0938
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S1-N1-E1-M1,5600,0,-0.009009156,0.224835958,49556.60308,4563270.637,450719536.8,18007950.11,65.30648237,4628.259497,7257.731068,20611.58913,7664.009022,9329.707888,459013.2196,2608112.815,780418.3349,468317.7784,143780.1219,103628.3672
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S1-N1-E1-M1,5600,0,-0.007178119,0.037640251,49648.16797,4601587.698,381834587.8,18007950.11,65.33130366,4652.982028,7298.148433,20618.86037,7672.657355,9340.188481,459427.9148,2636347.699,789016.9873,468714.9916,144171.1648,103908.9407
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S2-N1-E1-M1,5600,0,-0.009309513,0.413313031,49541.58311,4565777.952,520076007.2,18007950.11,65.88891116,4624.733534,7249.308537,20610.76548,7662.785732,9328.100915,466679.2196,2604644.583,778853.2614,468278.9492,143731.5246,103590.4135
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S2-N1-E1-M1,5600,0,-0.008113491,0.036903476,49601.39271,4589306.837,381563466.7,18007950.11,65.92057926,4640.47561,7274.613923,20615.93088,7668.917945,9335.533768,467220.1034,2621807.122,783953.5073,468549.2799,143996.3927,103780.4314
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S2-N1-E1-M1,5600,0,-0.008893701,0.224884508,49562.37665,4573569.518,450737402.5,18007950.11,65.9016557,4630.324067,7258.28834,20612.49196,7664.814504,9330.556121,466890.6125,2610298.622,780551.5522,468364.6376,143814.3568,103649.7365
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S2-N1-E1-M1,5600,0,-0.00701163,0.037747447,49656.49363,4613963.718,381874034.3,18007950.11,65.95270474,4655.934115,7299.719723,20619.95451,7673.661412,9341.271166,467800.6872,2639813.821,789419.2917,468775.0069,144216.7011,103938.2098
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S3-N1-E1-M1,5600,0,-0.008769309,0.413413415,49568.59715,4669408.105,520112947.1,18007950.11,71.02993398,4632.891752,7250.852998,20615.07237,7666.713746,9332.036345,559191.2434,2614761.152,779277.7775,468541.3365,143929.7297,103706.8659
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S3-N1-E1-M1,5600,0,-0.007451674,0.037237034,49634.48829,4699011.614,381686210.8,18007950.11,71.15923658,4650.669102,7278.642988,20620.68606,7673.312796,9340.018113,561879.5973,2635040.686,785109.984,468843.433,144221.9954,103915.9182
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S3-N1-E1-M1,5600,0,-0.0082919,0.225091982,49592.471,4680334.688,450813749.3,18007950.11,71.0943831,4639.497066,7261.214742,20616.99449,7668.943774,9334.726545,560533.4995,2621974.6,781387.2308,468640.808,144024.282,103774.2674
