age,sick,beta_healthcare,epsilon,gamma_inv,gammaD_inv,tau,psi,eta_inv,death_in_hosp,hospital,icu,hospital_days,icu_days
0,0,0,0.25,22,20,0.2,0.7,14,0.01,0.003022,0,10,5
0,1,0,0.25,22,20,0.2,0.7,14,0.05,0.003082,0,10,5
1,0,0,0.25,22,20,0.2,0.7,14,0.01,0.000771,0,10,5
1,1,0,0.25,22,20,0.2,0.7,14,0.05,0.001268,0,10,5
2,0,0,0.25,22,20,0.2,0.7,14,0.01,0.002628,0.000219,10,5
2,1,0,0.25,22,20,0.2,0.7,14,0.05,0.00069,0,10,5
3,0,0,0.25,22,20,0.2,0.7,14,0.01,0.00303,0,10,5
3,1,0,0.25,22,20,0.2,0.7,14,0.28,0.006829,0,10,5
4,0,0,0.25,22,20,0.2,0.7,14,0.01,0.003078,0.000385,10,5
4,1,0,0.25,22,20,0.2,0.7,14,0.28,0.006497,0.001181,10,5
5,0,0,0.25,22,20,0.2,0.7,14,0.01,0.009477,0,10,5
5,1,0,0.33,22,20,0.25,0.7,14,0.28,0.023701,0.002017,10,5
6,0,0,0.33,22,20,0.25,0.7,14,0.05,0.020602,0.000528,10,5
6,1,0,0.35,22,20,0.33,0.7,14,0.46,0.028063,0.00054,10,5
7,0,0,0.35,22,20,0.33,0.7,14,0.15,0.040165,0.006179,10,5
7,1,0,0.35,22,20,0.33,0.7,14,0.63,0.03981,0.001896,10,5
8,0,0,0.35,22,20,0.33,0.7,14,0.34,0.088235,0,10,5
8,1,0,0.35,22,20,0.33,0.7,14,0.72,0.102041,0.006803,10,5
