msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,3,1,1,0,0,0,0,.051026016
1600,3,2,1,0,0,0,0,.17420606
1600,3,3,1,0,0,0,0,.30313361
1600,2,2,1,0,0,0,0,.17549846
1600,2,3,1,0,0,0,0,.044190485
1600,1,2,1,0,0,0,0,.063133232
1600,1,1,1,0,0,0,0,.063188963
1600,1,3,1,0,0,0,0,.022135578
1600,2,1,1,0,0,0,0,.10348761
1600,2,1,1,0,0,0,1,.13364999
1600,3,3,1,0,0,0,1,.16105051
1600,2,3,1,0,0,0,1,.030757746
1600,1,3,1,0,0,0,1,.038876671
1600,1,2,1,0,0,0,1,.14563742
1600,3,1,1,0,0,0,1,.056124255
1600,3,2,1,0,0,0,1,.14126848
1600,2,2,1,0,0,0,1,.15255058
1600,1,1,1,0,0,0,1,.1400843
1600,3,2,2,0,0,0,0,.1452364
1600,3,1,2,0,0,0,0,.10671317
1600,2,2,2,0,0,0,0,.16194548
1600,2,1,2,0,0,0,0,.104647
1600,2,3,2,0,0,0,0,.047564011
1600,1,3,2,0,0,0,0,.026352486
1600,1,2,2,0,0,0,0,.090447448
1600,1,1,2,0,0,0,0,.11387412
1600,3,3,2,0,0,0,0,.20321989
1600,1,2,2,0,0,0,1,.092572801
1600,3,2,2,0,0,0,1,.13942215
1600,2,2,2,0,0,0,1,.14413932
1600,3,1,2,0,0,0,1,.13914928
1600,1,1,2,0,0,0,1,.16626969
1600,2,1,2,0,0,0,1,.11701626
1600,3,3,2,0,0,0,1,.14923202
1600,1,3,2,0,0,0,1,.037155744
1600,2,3,2,0,0,0,1,.015042759
1600,2,2,2,11,0,1,0,.073825501
1600,1,1,2,11,0,1,0,.020767719
1600,2,3,2,11,0,1,0,.038330831
1600,3,3,2,11,0,1,0,.33857906
1600,3,2,2,11,0,1,0,.30389804
1600,3,1,2,11,0,1,0,.11449149
1600,2,1,2,11,0,1,0,.074114047
1600,1,3,2,11,0,1,0,.0037679584
1600,1,2,2,11,0,1,0,.032225396
1600,1,2,2,11,0,1,1,.089705735
1600,3,1,2,11,0,1,1,.074624419
1600,2,2,2,11,0,1,1,.045064017
1600,2,3,2,11,0,1,1,.028495079
1600,3,3,2,11,0,1,1,.29680622
1600,1,3,2,11,0,1,1,.014054632
1600,1,1,2,11,0,1,1,.050794985
1600,2,1,2,11,0,1,1,.075359218
1600,3,2,2,11,0,1,1,.32509562
1600,3,1,2,21,0,1,0,.061055411
1600,2,1,2,21,0,1,0,.04839617
1600,2,2,2,21,0,1,0,.022713495
1600,1,1,2,21,0,1,0,.067202061
1600,1,2,2,21,0,1,0,.075681962
1600,3,2,2,21,0,1,0,.13828003
1600,2,3,2,21,0,1,0,.27281642
1600,3,3,2,21,0,1,0,.31385443
1600,3,1,2,21,0,1,1,.03831704
