age,naics,sick,shift,n,active_emp,ego,rate1,rate2,rate3,rate4,rate5,rate6,rate7,rate8,rate9,rate10,rate11,rate12,rate13,rate14,rate15,rate16,rate17,rate18,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate26,rate27,rate28,rate29,rate30,rate31,rate32,rate33,rate34,rate35,rate36,rate37,rate38,rate39,rate40,rate41,rate42,rate43,rate44,rate45,rate46,rate47,rate48,rate49,rate50,rate51,rate52,rate53,rate54,rate55,rate56,rate57,rate58,rate59,rate60,rate61,rate62,rate63,rate64,rate65,rate66,rate67,rate68,rate69,rate70,rate71,rate72,rate73,rate74,rate75,rate76,rate77,rate78,rate79,rate80,rate81,rate82,rate83,rate84,rate85,rate86,rate87,rate88,rate89,rate90,rate91,rate92,rate93,rate94,rate95,rate96,rate97,rate98,rate99,rate100,rate101,rate102,rate103,rate104,rate105,rate106,rate107,rate108,rate109,rate110,rate111,rate112,rate113,rate114,rate115,rate116,rate117,rate118,rate119,rate120,rate121,rate122,rate123,rate124,rate125,rate126,rate127,rate128,rate129,rate130,rate131,rate132,rate133,rate134,rate135,rate136,rate137,rate138,rate139,rate140,rate141,rate142,rate143,rate144,rate145,rate146,rate147,rate148,rate149,rate150,rate151,rate152,rate153,rate154,rate155,rate156,rate157,rate158,rate159,rate160,rate161,rate162,rate163,rate164,rate165,rate166,rate167,rate168,rate169,rate170,rate171,rate172,rate173,rate174,rate175,rate176,rate177,rate178,rate179,rate180,rate181,rate182,rate183,rate184,rate185,rate186,rate187,rate188,rate189,rate190,rate191,rate192,rate193,rate194,rate195,rate196,rate197,rate198,rate199,rate200,rate201,rate202,rate203,rate204,rate205,rate206,rate207,rate208
1,0,0,0,818021.224,0,1,9.785835279,9.785835279,0.027936429,0.027936429,0.865678648,0.865678648,0.280791272,0.280791272,0.00027968,6.50E-05,0.000108991,0.000143704,0.007706022,0.003403783,0.080954825,0.00802475,0.035072963,0.003476652,0.139437197,0.036290305,0.10466135,0.038658109,0.176414225,0.056429516,0.065161021,0.020843018,0.114520532,0.050584205,0.042991791,0.037677183,0.004284368,0.003754738,0.070619996,0.091831645,0.036831022,0.047893706,0.038291359,0.019433196,0.019970404,0.010135153,0.060441906,0.10432661,0.01832943,0.031637774,0.02704867,0.035034956,0.008202698,0.010624595,0.078284951,0.022177256,0.023740458,0.006725408,0.034495123,0.085845473,0.01247112,0.031035957,0.382457518,0.138270952,0.028742645,0.01094274,0.006788103,0.002584329,0.131875432,0.015630279,0.031144803,0.003691377,0.094874011,0.018228271,0.023260681,0.004469106,0.00073476,0.000279555,0.186789897,0.149655594,5.15E-05,1.53E-05,3.39E-05,2.76E-05,0.001216085,0.00138821,0.016793172,0.002304074,0.009136286,0.001253526,0.025612453,0.01454978,0.018148032,0.014718168,0.030431367,0.010247331,0.02468003,0.00831065,0.018031172,0.020583319,0.007632903,0.006504864,0.003210181,0.00273576,0.017770657,0.021790933,0.007876099,0.009657917,0.009483573,0.004529408,0.004203196,0.00200747,0.014666856,0.025005065,0.003600355,0.006138132,0.006984368,0.008240828,0.001714492,0.002022922,0.019415226,0.004950167,0.004765963,0.001215145,0.009342198,0.017836232,0.0038908,0.007428361,0.085375693,0.035556919,0.006075986,0.002388507,0.002149987,0.000845173,0.026401871,0.004350681,0.009342298,0.001539488,0.023484332,0.004747572,0.003471585,0.000701813,0.000110396,8.27E-05,0.205994426,0.165314877,1.63E-05,5.12E-06,5.97E-06,7.38E-06,0.000430343,0.00043038,0.00661561,0.001184474,0.001336801,0.000239344,0.009102625,0.003643359,0.005840878,0.004808821,0.009764941,0.003248949,0.008039519,0.002674874,0.006388747,0.006389295,0.00014978,0.000132929,0.003367352,0.002988516,0.006368594,0.007313199,0.002426137,0.002785987,0.003163968,0.001542909,0.001205324,0.000587776,0.003967345,0.006972306,0.001912446,0.003360977,0.001996599,0.002282166,0.000962454,0.00110011,0.005211119,0.001435045,0.002512003,0.000691759,0.002699406,0.005510954,0.001553485,0.003171507,0.024840603,0.014295555,0.002513232,0.001058065,0.000241621,0.000101722,0.010543626,0.00190576,0.001013658,0.000183219,0.004496593,0.00105431,0.004080145,0.000956666,7.60E-05,1.20E-05,0.209357703,0.129952113,0.126696614,0.071068441
1,0,0,1,818021.224,0,2,9.785835279,9.785835279,0.027936429,0.027936429,0.865678648,0.865678648,0.280791272,0.280791272,0.00027968,6.50E-05,0.000108991,0.000143704,0.007706022,0.003403783,0.080954825,0.00802475,0.035072963,0.003476652,0.139437197,0.036290305,0.10466135,0.038658109,0.176414225,0.056429516,0.065161021,0.020843018,0.114520532,0.050584205,0.042991791,0.037677183,0.004284368,0.003754738,0.070619996,0.091831645,0.036831022,0.047893706,0.038291359,0.019433196,0.019970404,0.010135153,0.060441906,0.10432661,0.01832943,0.031637774,0.02704867,0.035034956,0.008202698,0.010624595,0.078284951,0.022177256,0.023740458,0.006725408,0.034495123,0.085845473,0.01247112,0.031035957,0.382457518,0.138270952,0.028742645,0.01094274,0.006788103,0.002584329,0.131875432,0.015630279,0.031144803,0.003691377,0.094874011,0.018228271,0.023260681,0.004469106,0.00073476,0.000279555,0.186789897,0.149655594,5.15E-05,1.53E-05,3.39E-05,2.76E-05,0.001216085,0.00138821,0.016793172,0.002304074,0.009136286,0.001253526,0.025612453,0.01454978,0.018148032,0.014718168,0.030431367,0.010247331,0.02468003,0.00831065,0.018031172,0.020583319,0.007632903,0.006504864,0.003210181,0.00273576,0.017770657,0.021790933,0.007876099,0.009657917,0.009483573,0.004529408,0.004203196,0.00200747,0.014666856,0.025005065,0.003600355,0.006138132,0.006984368,0.008240828,0.001714492,0.002022922,0.019415226,0.004950167,0.004765963,0.001215145,0.009342198,0.017836232,0.0038908,0.007428361,0.085375693,0.035556919,0.006075986,0.002388507,0.002149987,0.000845173,0.026401871,0.004350681,0.009342298,0.001539488,0.023484332,0.004747572,0.003471585,0.000701813,0.000110396,8.27E-05,0.205994426,0.165314877,1.63E-05,5.12E-06,5.97E-06,7.38E-06,0.000430343,0.00043038,0.00661561,0.001184474,0.001336801,0.000239344,0.009102625,0.003643359,0.005840878,0.004808821,0.009764941,0.003248949,0.008039519,0.002674874,0.006388747,0.006389295,0.00014978,0.000132929,0.003367352,0.002988516,0.006368594,0.007313199,0.002426137,0.002785987,0.003163968,0.001542909,0.001205324,0.000587776,0.003967345,0.006972306,0.001912446,0.003360977,0.001996599,0.002282166,0.000962454,0.00110011,0.005211119,0.001435045,0.002512003,0.000691759,0.002699406,0.005510954,0.001553485,0.003171507,0.024840603,0.014295555,0.002513232,0.001058065,0.000241621,0.000101722,0.010543626,0.00190576,0.001013658,0.000183219,0.004496593,0.00105431,0.004080145,0.000956666,7.60E-05,1.20E-05,0.209357703,0.129952113,0.126696614,0.071068441
1,0,1,0,2335.272507,0,3,9.785835279,9.785835279,0.027936429,0.027936429,0.865678648,0.865678648,0.280791272,0.280791272,0.00027968,6.50E-05,0.000108991,0.000143704,0.007706022,0.003403783,0.080954825,0.00802475,0.035072963,0.003476652,0.139437197,0.036290305,0.10466135,0.038658109,0.176414225,0.056429516,0.065161021,0.020843018,0.114520532,0.050584205,0.042991791,0.037677183,0.004284368,0.003754738,0.070619996,0.091831645,0.036831022,0.047893706,0.038291359,0.019433196,0.019970404,0.010135153,0.060441906,0.10432661,0.01832943,0.031637774,0.02704867,0.035034956,0.008202698,0.010624595,0.078284951,0.022177256,0.023740458,0.006725408,0.034495123,0.085845473,0.01247112,0.031035957,0.382457518,0.138270952,0.028742645,0.01094274,0.006788103,0.002584329,0.131875432,0.015630279,0.031144803,0.003691377,0.094874011,0.018228271,0.023260681,0.004469106,0.00073476,0.000279555,0.186789897,0.149655594,5.15E-05,1.53E-05,3.39E-05,2.76E-05,0.001216085,0.00138821,0.016793172,0.002304074,0.009136286,0.001253526,0.025612453,0.01454978,0.018148032,0.014718168,0.030431367,0.010247331,0.02468003,0.00831065,0.018031172,0.020583319,0.007632903,0.006504864,0.003210181,0.00273576,0.017770657,0.021790933,0.007876099,0.009657917,0.009483573,0.004529408,0.004203196,0.00200747,0.014666856,0.025005065,0.003600355,0.006138132,0.006984368,0.008240828,0.001714492,0.002022922,0.019415226,0.004950167,0.004765963,0.001215145,0.009342198,0.017836232,0.0038908,0.007428361,0.085375693,0.035556919,0.006075986,0.002388507,0.002149987,0.000845173,0.026401871,0.004350681,0.009342298,0.001539488,0.023484332,0.004747572,0.003471585,0.000701813,0.000110396,8.27E-05,0.205994426,0.165314877,1.63E-05,5.12E-06,5.97E-06,7.38E-06,0.000430343,0.00043038,0.00661561,0.001184474,0.001336801,0.000239344,0.009102625,0.003643359,0.005840878,0.004808821,0.009764941,0.003248949,0.008039519,0.002674874,0.006388747,0.006389295,0.00014978,0.000132929,0.003367352,0.002988516,0.006368594,0.007313199,0.002426137,0.002785987,0.003163968,0.001542909,0.001205324,0.000587776,0.003967345,0.006972306,0.001912446,0.003360977,0.001996599,0.002282166,0.000962454,0.00110011,0.005211119,0.001435045,0.002512003,0.000691759,0.002699406,0.005510954,0.001553485,0.003171507,0.024840603,0.014295555,0.002513232,0.001058065,0.000241621,0.000101722,0.010543626,0.00190576,0.001013658,0.000183219,0.004496593,0.00105431,0.004080145,0.000956666,7.60E-05,1.20E-05,0.209357703,0.129952113,0.126696614,0.071068441
1,0,1,1,2335.272507,0,4,9.785835279,9.785835279,0.027936429,0.027936429,0.865678648,0.865678648,0.280791272,0.280791272,0.00027968,6.50E-05,0.000108991,0.000143704,0.007706022,0.003403783,0.080954825,0.00802475,0.035072963,0.003476652,0.139437197,0.036290305,0.10466135,0.038658109,0.176414225,0.056429516,0.065161021,0.020843018,0.114520532,0.050584205,0.042991791,0.037677183,0.004284368,0.003754738,0.070619996,0.091831645,0.036831022,0.047893706,0.038291359,0.019433196,0.019970404,0.010135153,0.060441906,0.10432661,0.01832943,0.031637774,0.02704867,0.035034956,0.008202698,0.010624595,0.078284951,0.022177256,0.023740458,0.006725408,0.034495123,0.085845473,0.01247112,0.031035957,0.382457518,0.138270952,0.028742645,0.01094274,0.006788103,0.002584329,0.131875432,0.015630279,0.031144803,0.003691377,0.094874011,0.018228271,0.023260681,0.004469106,0.00073476,0.000279555,0.186789897,0.149655594,5.15E-05,1.53E-05,3.39E-05,2.76E-05,0.001216085,0.00138821,0.016793172,0.002304074,0.009136286,0.001253526,0.025612453,0.01454978,0.018148032,0.014718168,0.030431367,0.010247331,0.02468003,0.00831065,0.018031172,0.020583319,0.007632903,0.006504864,0.003210181,0.00273576,0.017770657,0.021790933,0.007876099,0.009657917,0.009483573,0.004529408,0.004203196,0.00200747,0.014666856,0.025005065,0.003600355,0.006138132,0.006984368,0.008240828,0.001714492,0.002022922,0.019415226,0.004950167,0.004765963,0.001215145,0.009342198,0.017836232,0.0038908,0.007428361,0.085375693,0.035556919,0.006075986,0.002388507,0.002149987,0.000845173,0.026401871,0.004350681,0.009342298,0.001539488,0.023484332,0.004747572,0.003471585,0.000701813,0.000110396,8.27E-05,0.205994426,0.165314877,1.63E-05,5.12E-06,5.97E-06,7.38E-06,0.000430343,0.00043038,0.00661561,0.001184474,0.001336801,0.000239344,0.009102625,0.003643359,0.005840878,0.004808821,0.009764941,0.003248949,0.008039519,0.002674874,0.006388747,0.006389295,0.00014978,0.000132929,0.003367352,0.002988516,0.006368594,0.007313199,0.002426137,0.002785987,0.003163968,0.001542909,0.001205324,0.000587776,0.003967345,0.006972306,0.001912446,0.003360977,0.001996599,0.002282166,0.000962454,0.00110011,0.005211119,0.001435045,0.002512003,0.000691759,0.002699406,0.005510954,0.001553485,0.003171507,0.024840603,0.014295555,0.002513232,0.001058065,0.000241621,0.000101722,0.010543626,0.00190576,0.001013658,0.000183219,0.004496593,0.00105431,0.004080145,0.000956666,7.60E-05,1.20E-05,0.209357703,0.129952113,0.126696614,0.071068441
2,0,0,0,527895.4937,0,5,1.341446377,1.341446377,0.003829537,0.003829537,0.62394011,0.62394011,0.202381031,0.202381031,0.000216928,5.04E-05,8.95E-05,0.000118069,0.006799881,0.003003536,0.071769225,0.007114216,0.031093384,0.003082171,0.125041865,0.032543737,0.095488412,0.035269959,0.159364909,0.050975961,0.058863622,0.018828673,0.109944763,0.048563068,0.040919872,0.035861392,0.00407789,0.003573784,0.068033882,0.088468757,0.035482265,0.046139832,0.035127983,0.017827756,0.018320583,0.009297855,0.056638373,0.097761467,0.017175982,0.029646848,0.02584548,0.033476516,0.007837822,0.010151988,0.072669572,0.020586481,0.022037556,0.006242994,0.033377979,0.083065319,0.012067235,0.03003084,0.352074358,0.127286442,0.026659929,0.010149819,0.006296231,0.002397066,0.121623966,0.014415244,0.028723732,0.003404424,0.085791599,0.016483255,0.021033906,0.004041273,0.000660592,0.000251337,0.202967784,0.162617276,4.10E-05,1.22E-05,3.33E-05,2.71E-05,0.001256377,0.001434206,0.017492637,0.002400042,0.009516829,0.001305738,0.027099838,0.015394726,0.01918156,0.015556366,0.031968156,0.010764823,0.025926375,0.008730339,0.019621541,0.02239879,0.008147548,0.006943452,0.003426626,0.002920217,0.019192006,0.023533836,0.008506052,0.010430386,0.01000818,0.004779963,0.004435706,0.002118518,0.015639187,0.02666276,0.003839038,0.006545056,0.007461415,0.008803693,0.001831595,0.002161091,0.020675624,0.005271522,0.00507536,0.00129403,0.010170923,0.019418443,0.004235944,0.008087314,0.090756253,0.037797792,0.006459835,0.0025394,0.002285811,0.000898566,0.028016054,0.004616678,0.009913476,0.001633611,0.024821217,0.005017836,0.003669211,0.000741764,0.000126923,9.51E-05,0.227933855,0.182921733,2.14E-05,6.73E-06,5.18E-06,6.41E-06,0.000476147,0.000476188,0.007381014,0.001321513,0.001491464,0.000267035,0.010355429,0.004144798,0.006587904,0.00542385,0.011087261,0.003688905,0.00912819,0.003037092,0.0075192,0.007519845,0.000176269,0.000156438,0.003962884,0.003517049,0.007529798,0.008646636,0.002868501,0.003293964,0.003623329,0.001766917,0.001380319,0.000673113,0.004571868,0.00803471,0.002203854,0.003873105,0.002334109,0.002667949,0.001125149,0.001286076,0.006022367,0.001658447,0.002903062,0.000799449,0.003182382,0.00649697,0.001831434,0.003738951,0.028539223,0.016424079,0.002872091,0.001209144,0.000276121,0.000116246,0.012091423,0.002185524,0.001162462,0.000210115,0.00513212,0.001203321,0.004656813,0.001091877,8.14E-05,1.29E-05,0.228808273,0.142025434,0.1406206,0.078878878
2,0,0,1,527895.4937,0,6,1.341446377,1.341446377,0.003829537,0.003829537,0.62394011,0.62394011,0.202381031,0.202381031,0.000216928,5.04E-05,8.95E-05,0.000118069,0.006799881,0.003003536,0.071769225,0.007114216,0.031093384,0.003082171,0.125041865,0.032543737,0.095488412,0.035269959,0.159364909,0.050975961,0.058863622,0.018828673,0.109944763,0.048563068,0.040919872,0.035861392,0.00407789,0.003573784,0.068033882,0.088468757,0.035482265,0.046139832,0.035127983,0.017827756,0.018320583,0.009297855,0.056638373,0.097761467,0.017175982,0.029646848,0.02584548,0.033476516,0.007837822,0.010151988,0.072669572,0.020586481,0.022037556,0.006242994,0.033377979,0.083065319,0.012067235,0.03003084,0.352074358,0.127286442,0.026659929,0.010149819,0.006296231,0.002397066,0.121623966,0.014415244,0.028723732,0.003404424,0.085791599,0.016483255,0.021033906,0.004041273,0.000660592,0.000251337,0.202967784,0.162617276,4.10E-05,1.22E-05,3.33E-05,2.71E-05,0.001256377,0.001434206,0.017492637,0.002400042,0.009516829,0.001305738,0.027099838,0.015394726,0.01918156,0.015556366,0.031968156,0.010764823,0.025926375,0.008730339,0.019621541,0.02239879,0.008147548,0.006943452,0.003426626,0.002920217,0.019192006,0.023533836,0.008506052,0.010430386,0.01000818,0.004779963,0.004435706,0.002118518,0.015639187,0.02666276,0.003839038,0.006545056,0.007461415,0.008803693,0.001831595,0.002161091,0.020675624,0.005271522,0.00507536,0.00129403,0.010170923,0.019418443,0.004235944,0.008087314,0.090756253,0.037797792,0.006459835,0.0025394,0.002285811,0.000898566,0.028016054,0.004616678,0.009913476,0.001633611,0.024821217,0.005017836,0.003669211,0.000741764,0.000126923,9.51E-05,0.227933855,0.182921733,2.14E-05,6.73E-06,5.18E-06,6.41E-06,0.000476147,0.000476188,0.007381014,0.001321513,0.001491464,0.000267035,0.010355429,0.004144798,0.006587904,0.00542385,0.011087261,0.003688905,0.00912819,0.003037092,0.0075192,0.007519845,0.000176269,0.000156438,0.003962884,0.003517049,0.007529798,0.008646636,0.002868501,0.003293964,0.003623329,0.001766917,0.001380319,0.000673113,0.004571868,0.00803471,0.002203854,0.003873105,0.002334109,0.002667949,0.001125149,0.001286076,0.006022367,0.001658447,0.002903062,0.000799449,0.003182382,0.00649697,0.001831434,0.003738951,0.028539223,0.016424079,0.002872091,0.001209144,0.000276121,0.000116246,0.012091423,0.002185524,0.001162462,0.000210115,0.00513212,0.001203321,0.004656813,0.001091877,8.14E-05,1.29E-05,0.228808273,0.142025434,0.1406206,0.078878878
2,0,1,0,171228.0273,0,7,1.341446377,1.341446377,0.003829537,0.003829537,0.62394011,0.62394011,0.202381031,0.202381031,0.000216928,5.04E-05,8.95E-05,0.000118069,0.006799881,0.003003536,0.071769225,0.007114216,0.031093384,0.003082171,0.125041865,0.032543737,0.095488412,0.035269959,0.159364909,0.050975961,0.058863622,0.018828673,0.109944763,0.048563068,0.040919872,0.035861392,0.00407789,0.003573784,0.068033882,0.088468757,0.035482265,0.046139832,0.035127983,0.017827756,0.018320583,0.009297855,0.056638373,0.097761467,0.017175982,0.029646848,0.02584548,0.033476516,0.007837822,0.010151988,0.072669572,0.020586481,0.022037556,0.006242994,0.033377979,0.083065319,0.012067235,0.03003084,0.352074358,0.127286442,0.026659929,0.010149819,0.006296231,0.002397066,0.121623966,0.014415244,0.028723732,0.003404424,0.085791599,0.016483255,0.021033906,0.004041273,0.000660592,0.000251337,0.202967784,0.162617276,4.10E-05,1.22E-05,3.33E-05,2.71E-05,0.001256377,0.001434206,0.017492637,0.002400042,0.009516829,0.001305738,0.027099838,0.015394726,0.01918156,0.015556366,0.031968156,0.010764823,0.025926375,0.008730339,0.019621541,0.02239879,0.008147548,0.006943452,0.003426626,0.002920217,0.019192006,0.023533836,0.008506052,0.010430386,0.01000818,0.004779963,0.004435706,0.002118518,0.015639187,0.02666276,0.003839038,0.006545056,0.007461415,0.008803693,0.001831595,0.002161091,0.020675624,0.005271522,0.00507536,0.00129403,0.010170923,0.019418443,0.004235944,0.008087314,0.090756253,0.037797792,0.006459835,0.0025394,0.002285811,0.000898566,0.028016054,0.004616678,0.009913476,0.001633611,0.024821217,0.005017836,0.003669211,0.000741764,0.000126923,9.51E-05,0.227933855,0.182921733,2.14E-05,6.73E-06,5.18E-06,6.41E-06,0.000476147,0.000476188,0.007381014,0.001321513,0.001491464,0.000267035,0.010355429,0.004144798,0.006587904,0.00542385,0.011087261,0.003688905,0.00912819,0.003037092,0.0075192,0.007519845,0.000176269,0.000156438,0.003962884,0.003517049,0.007529798,0.008646636,0.002868501,0.003293964,0.003623329,0.001766917,0.001380319,0.000673113,0.004571868,0.00803471,0.002203854,0.003873105,0.002334109,0.002667949,0.001125149,0.001286076,0.006022367,0.001658447,0.002903062,0.000799449,0.003182382,0.00649697,0.001831434,0.003738951,0.028539223,0.016424079,0.002872091,0.001209144,0.000276121,0.000116246,0.012091423,0.002185524,0.001162462,0.000210115,0.00513212,0.001203321,0.004656813,0.001091877,8.14E-05,1.29E-05,0.228808273,0.142025434,0.1406206,0.078878878
2,0,1,1,171228.0273,0,8,1.341446377,1.341446377,0.003829537,0.003829537,0.62394011,0.62394011,0.202381031,0.202381031,0.000216928,5.04E-05,8.95E-05,0.000118069,0.006799881,0.003003536,0.071769225,0.007114216,0.031093384,0.003082171,0.125041865,0.032543737,0.095488412,0.035269959,0.159364909,0.050975961,0.058863622,0.018828673,0.109944763,0.048563068,0.040919872,0.035861392,0.00407789,0.003573784,0.068033882,0.088468757,0.035482265,0.046139832,0.035127983,0.017827756,0.018320583,0.009297855,0.056638373,0.097761467,0.017175982,0.029646848,0.02584548,0.033476516,0.007837822,0.010151988,0.072669572,0.020586481,0.022037556,0.006242994,0.033377979,0.083065319,0.012067235,0.03003084,0.352074358,0.127286442,0.026659929,0.010149819,0.006296231,0.002397066,0.121623966,0.014415244,0.028723732,0.003404424,0.085791599,0.016483255,0.021033906,0.004041273,0.000660592,0.000251337,0.202967784,0.162617276,4.10E-05,1.22E-05,3.33E-05,2.71E-05,0.001256377,0.001434206,0.017492637,0.002400042,0.009516829,0.001305738,0.027099838,0.015394726,0.01918156,0.015556366,0.031968156,0.010764823,0.025926375,0.008730339,0.019621541,0.02239879,0.008147548,0.006943452,0.003426626,0.002920217,0.019192006,0.023533836,0.008506052,0.010430386,0.01000818,0.004779963,0.004435706,0.002118518,0.015639187,0.02666276,0.003839038,0.006545056,0.007461415,0.008803693,0.001831595,0.002161091,0.020675624,0.005271522,0.00507536,0.00129403,0.010170923,0.019418443,0.004235944,0.008087314,0.090756253,0.037797792,0.006459835,0.0025394,0.002285811,0.000898566,0.028016054,0.004616678,0.009913476,0.001633611,0.024821217,0.005017836,0.003669211,0.000741764,0.000126923,9.51E-05,0.227933855,0.182921733,2.14E-05,6.73E-06,5.18E-06,6.41E-06,0.000476147,0.000476188,0.007381014,0.001321513,0.001491464,0.000267035,0.010355429,0.004144798,0.006587904,0.00542385,0.011087261,0.003688905,0.00912819,0.003037092,0.0075192,0.007519845,0.000176269,0.000156438,0.003962884,0.003517049,0.007529798,0.008646636,0.002868501,0.003293964,0.003623329,0.001766917,0.001380319,0.000673113,0.004571868,0.00803471,0.002203854,0.003873105,0.002334109,0.002667949,0.001125149,0.001286076,0.006022367,0.001658447,0.002903062,0.000799449,0.003182382,0.00649697,0.001831434,0.003738951,0.028539223,0.016424079,0.002872091,0.001209144,0.000276121,0.000116246,0.012091423,0.002185524,0.001162462,0.000210115,0.00513212,0.001203321,0.004656813,0.001091877,8.14E-05,1.29E-05,0.228808273,0.142025434,0.1406206,0.078878878
2,11,0,0,292.1211864,1,9,0.783180856,0.783180856,0.002235811,0.002235811,0.39201335,0.39201335,0.127153335,0.127153335,3.50770824,0.815069515,0.001317906,0.001737649,0.00597287,0.002638242,0.06841674,0.006781897,0.029640949,0.002938197,0.115496198,0.030059356,0.076880796,0.02839698,0.160760516,0.051422373,0.059379108,0.018993561,0.102694817,0.045360736,0.039175348,0.034332525,0.003904038,0.003421424,0.059204823,0.076987773,0.030877574,0.040152061,0.027127069,0.013767222,0.014147801,0.007180132,0.050664803,0.087450703,0.015364456,0.026520037,0.029622858,0.038369189,0.008983339,0.011635725,0.078726571,0.022302362,0.023874383,0.006763347,0.024971395,0.062144472,0.009027979,0.022467267,0.298682961,0.107983699,0.022947487,0.008736439,0.00541947,0.002063271,0.105270392,0.012476968,0.024861535,0.002946665,0.079155954,0.015208339,0.019407016,0.003728696,0.002213414,0.000842142,0.149746059,0.119976164,0.692117123,0.205660635,0,0,0.000518837,0.000592274,0.018983664,0.002604616,0.010328018,0.001417035,0.018777453,0.010666992,0.013804481,0.01119552,0.026276496,0.008848237,0.021310403,0.007175976,0.014008606,0.015991394,0.006545383,0.005578064,0.002752801,0.002345974,0.014870541,0.01823472,0.006590744,0.008081775,0.007034023,0.003359489,0.003117536,0.001488953,0.012038405,0.0205239,0.002955134,0.005038116,0.009617327,0.011347445,0.002360819,0.00278552,0.01741636,0.00444053,0.004275291,0.001090042,0.007010458,0.013384446,0.002919687,0.005574299,0.083736771,0.034874347,0.007658543,0.00301062,0.002709974,0.001065307,0.031882996,0.005253899,0.011281793,0.001859091,0.01751374,0.003540562,0.002588979,0.000523386,0,0,0.153334622,0.123054272,0.39514493,0.124299529,0,0,0.000555532,0.000555579,0.006663742,0.001193091,0.001346527,0.000241085,0.008331824,0.003334843,0.006398639,0.005268028,0.010288293,0.003423076,0.008470397,0.002818234,0.006666381,0.006666953,0.000206819,0.000183551,0.004649701,0.004126597,0.006835053,0.007848845,0.002603836,0.002990043,0.00392117,0.001912159,0.001493783,0.000728443,0.005913592,0.010392687,0.002850628,0.005009761,0.002011573,0.002299282,0.000969672,0.001108361,0.009699281,0.002671,0.004675506,0.001287547,0.002318716,0.004733758,0.001334401,0.002724237,0.027680957,0.015930155,0.003388379,0.0014265,0.000325757,0.000137143,0.012877307,0.002327573,0.001238016,0.000223771,0.004011047,0.000940465,0.003639568,0.000853365,0,0,0.176533554,0.10957757,0.110154839,0.061789597
2,11,1,0,67.8788136,1,10,0.783180856,0.783180856,0.002235811,0.002235811,0.39201335,0.39201335,0.127153335,0.127153335,3.50770824,0.815069515,0.001317906,0.001737649,0.00597287,0.002638242,0.06841674,0.006781897,0.029640949,0.002938197,0.115496198,0.030059356,0.076880796,0.02839698,0.160760516,0.051422373,0.059379108,0.018993561,0.102694817,0.045360736,0.039175348,0.034332525,0.003904038,0.003421424,0.059204823,0.076987773,0.030877574,0.040152061,0.027127069,0.013767222,0.014147801,0.007180132,0.050664803,0.087450703,0.015364456,0.026520037,0.029622858,0.038369189,0.008983339,0.011635725,0.078726571,0.022302362,0.023874383,0.006763347,0.024971395,0.062144472,0.009027979,0.022467267,0.298682961,0.107983699,0.022947487,0.008736439,0.00541947,0.002063271,0.105270392,0.012476968,0.024861535,0.002946665,0.079155954,0.015208339,0.019407016,0.003728696,0.002213414,0.000842142,0.149746059,0.119976164,0.692117123,0.205660635,0,0,0.000518837,0.000592274,0.018983664,0.002604616,0.010328018,0.001417035,0.018777453,0.010666992,0.013804481,0.01119552,0.026276496,0.008848237,0.021310403,0.007175976,0.014008606,0.015991394,0.006545383,0.005578064,0.002752801,0.002345974,0.014870541,0.01823472,0.006590744,0.008081775,0.007034023,0.003359489,0.003117536,0.001488953,0.012038405,0.0205239,0.002955134,0.005038116,0.009617327,0.011347445,0.002360819,0.00278552,0.01741636,0.00444053,0.004275291,0.001090042,0.007010458,0.013384446,0.002919687,0.005574299,0.083736771,0.034874347,0.007658543,0.00301062,0.002709974,0.001065307,0.031882996,0.005253899,0.011281793,0.001859091,0.01751374,0.003540562,0.002588979,0.000523386,0,0,0.153334622,0.123054272,0.39514493,0.124299529,0,0,0.000555532,0.000555579,0.006663742,0.001193091,0.001346527,0.000241085,0.008331824,0.003334843,0.006398639,0.005268028,0.010288293,0.003423076,0.008470397,0.002818234,0.006666381,0.006666953,0.000206819,0.000183551,0.004649701,0.004126597,0.006835053,0.007848845,0.002603836,0.002990043,0.00392117,0.001912159,0.001493783,0.000728443,0.005913592,0.010392687,0.002850628,0.005009761,0.002011573,0.002299282,0.000969672,0.001108361,0.009699281,0.002671,0.004675506,0.001287547,0.002318716,0.004733758,0.001334401,0.002724237,0.027680957,0.015930155,0.003388379,0.0014265,0.000325757,0.000137143,0.012877307,0.002327573,0.001238016,0.000223771,0.004011047,0.000940465,0.003639568,0.000853365,0,0,0.176533554,0.10957757,0.110154839,0.061789597
