age_i,naics_i,age_j,naics_j,contactlvl,num_people,num_contact_per_person_day,contact_time_min_per_person_day
1,0,1,0,hh,2957335,1.222475647926331,733.4854125976563
1,0,1,0,neighbor,2957335,1.701082927407697,51.81606106460094
1,0,1,0,school,2957335,113.8720932006836,45713.92578125
1,0,1,11,hh,2957335,.0000875788537087,.052547313272953
1,0,1,11,neighbor,2957335,.0005663883221132,.0170186591394668
1,0,1,11,school,2957335,.0048888609744608,1.948015689849854
1,0,1,23,hh,2957335,.0000706717401044,.0424030423164368
1,0,1,23,neighbor,2957335,.0003979934538165,.0120531944594404
1,0,1,23,school,2957335,.0040056332945824,1.597815871238708
1,0,1,31,hh,2957335,.0002465057186782,.1479034274816513
1,0,1,31,neighbor,2957335,.0008524566776487,.0260751753885415
1,0,1,31,school,2957335,.0170301981270313,6.691293716430664
1,0,1,42,hh,2957335,.0000399007876695,.023940471932292
1,0,1,42,neighbor,2957335,.0004365416956489,.0131678845320948
1,0,1,42,school,2957335,.0061376206576824,2.401976585388184
1,0,1,44,hh,2957335,.0027592410333455,1.655544638633728
1,0,1,44,neighbor,2957335,.008637168295536,.3197496145730838
1,0,1,44,school,2957335,.2747341692447662,108.8816528320313
1,0,1,48,hh,2957335,.0001403290516464,.0841974318027496
1,0,1,48,neighbor,2957335,.000184625685506,.0053154563684075
1,0,1,48,school,2957335,.0016842867480591,.6692857146263123
1,0,1,51,hh,2957335,.0002133677771781,.1280206590890884
1,0,1,51,neighbor,2957335,.0001440486134925,.0044556649331753
1,0,1,51,school,2957335,.0256203636527061,10.14007091522217
1,0,1,52,hh,2957335,.000075743868365,.0454463213682175
1,0,1,52,neighbor,2957335,.0008795080689197,.0270979273591365
1,0,1,52,school,2957335,.0039194072596729,1.543194174766541
1,0,1,53,hh,2957335,.0000588367583987,.0353020541369915
1,0,1,53,neighbor,2957335,.0000459873512,.0027320962508384
1,0,1,53,school,2957335,.0074327052570879,2.939632177352905
1,0,1,54,hh,2957335,.0001092199599952,.0655319765210152
1,0,1,54,neighbor,2957335,.0007209193307744,.0217144175367139
1,0,1,54,school,2957335,.0091136107221246,3.601325511932373
1,0,1,56,hh,2957335,.0001423578942195,.0854147374629974
1,0,1,56,neighbor,2957335,.0001714381360216,.0057361416693311
