age_i,naics_i,age_j,naics_j,contactlvl,num_people,num_contact_per_person_day
1,0,1,0,home,821363,2.419800996780396
1,0,1,0,neighbor,821363,1.758171509252861
1,0,1,0,school,821363,59.96395874023438
1,0,1,0,work,821363,.0000231322810578
1,0,1,11,home,821363,.0001047040132107
1,0,1,11,neighbor,821363,.0001022690332775
1,0,1,11,school,821363,.0068398504517972
1,0,1,23,home,821363,.0000219147932512
1,0,1,23,neighbor,821363,3.65246546608e-06
1,0,1,23,school,821363,.0022231340408325
1,0,1,31,home,821363,.0002008855954045
1,0,1,31,neighbor,821363,.0000584394467751
1,0,1,31,school,821363,.0223396960645914
1,0,1,42,home,821363,.0000547869822185
1,0,1,42,neighbor,821363,6.08744244346e-06
1,0,1,42,school,821363,.0034722771961242
1,0,1,44,home,821363,.0037267322186381
1,0,1,44,neighbor,821363,.005818377561809
1,0,1,44,school,821363,.2023989409208298
1,0,1,48,home,821363,.00007304931205
1,0,1,48,neighbor,821363,.0000255672587173
1,0,1,48,school,821363,.0062639783136547
1,0,1,51,home,821363,.0004090761358384
1,0,1,51,neighbor,821363,.0001643609477924
1,0,1,51,school,821363,.0229740086942911
1,0,1,52,home,821363,.0001789708039723
1,0,1,52,neighbor,821363,9.73990790953e-06
1,0,1,52,school,821363,.0074839019216597
1,0,1,53,home,821363,.0001132264296757
1,0,1,53,neighbor,821363,.0000328721885126
1,0,1,53,school,821363,.0046544587239623
1,0,1,54,home,821363,.0000852241937537
1,0,1,54,neighbor,821363,.0000267847465238
1,0,1,54,school,821363,.0115490956231952
1,0,1,56,home,821363,.0000353071663994
1,0,1,56,neighbor,821363,.0000292197241833
1,0,1,56,school,821363,.0090861162170768
1,0,1,61,home,821363,.0011054795468226
1,0,1,61,neighbor,821363,.000644051401423
1,0,1,61,school,821363,.0512002594769001
1,0,1,62,home,821363,.0007158832158893
1,0,1,62,neighbor,821363,.000303154637777
1,0,1,62,school,821363,.0515168085694313
1,0,1,71,home,821363,.0020380758214742
1,0,1,71,neighbor,821363,.0156191596890949
1,0,1,71,school,821363,.1511560678482056
1,0,1,72,home,821363,.0087184347212315
1,0,1,72,neighbor,821363,.0101708992606291
1,0,1,72,school,821363,.3674599528312683
