age_i,naics_i,contactlvl,age_j,naics_j,num_contact_per_person_day,num_people
0,0,hh,0,0,.55114812,342300
0,0,neighbor,0,0,5.1294594,342300
0,0,school,0,0,2.7719603,342300
0,0,hh,1,0,.94053751,342300
0,0,neighbor,1,0,12.720952,342300
0,0,hh,2,0,.74416888,342300
0,0,neighbor,2,0,7.8666959,342300
0,0,school,2,0,.006041484,342300
0,0,hh,2,11,.00028045574,342300
0,0,neighbor,2,11,.0030704062,342300
0,0,hh,2,21,.0048875255,342300
0,0,neighbor,2,21,.06233713,342300
0,0,hh,2,22,.0036926672,342300
0,0,neighbor,2,22,.042789951,342300
0,0,hh,2,23,.072827928,342300
0,0,neighbor,2,23,.88765413,342300
0,0,hh,2,31,.20105463,342300
0,0,neighbor,2,31,2.4831815,342300
0,0,hh,2,42,.069348522,342300
0,0,neighbor,2,42,.88932514,342300
0,0,hh,2,44,.15560035,342300
0,0,neighbor,2,44,1.8968858,342300
0,0,hh,2,48,.069824718,342300
0,0,neighbor,2,48,.91341513,342300
0,0,hh,2,51,.051577564,342300
0,0,neighbor,2,51,.65446687,342300
0,0,hh,2,52,.09345603,342300
0,0,neighbor,2,52,1.1806047,342300
0,0,hh,2,53,.03601227,342300
0,0,neighbor,2,53,.45772713,342300
0,0,hh,2,54,.11844581,342300
0,0,neighbor,2,54,1.5244989,342300
0,0,hh,2,55,.038209174,342300
0,0,neighbor,2,55,.48594216,342300
0,0,hh,2,56,.10239264,342300
0,0,neighbor,2,56,1.3152235,342300
0,0,hh,2,61,.019555945,342300
0,0,neighbor,2,61,.26146656,342300
0,0,hh,2,62,.13877301,342300
0,0,neighbor,2,62,1.7228075,342300
0,0,hh,2,71,.011615542,342300
0,0,neighbor,2,71,.14267309,342300
0,0,hh,2,72,.082600057,342300
0,0,neighbor,2,72,1.0001549,342300
0,0,hh,2,81,.057750512,342300
0,0,neighbor,2,81,.70380658,342300
0,0,hh,2,92,.00034180543,342300
0,0,neighbor,2,92,.0040812152,342300
0,0,hh,3,0,.042822085,342300
0,0,neighbor,3,0,1.7761875,342300
0,0,hh,3,11,5.8428277e-06,342300
0,0,neighbor,3,11,.00046450482,342300
0,0,hh,3,21,.00023955594,342300
0,0,neighbor,3,21,.014385043,342300
0,0,hh,3,22,.00027753433,342300
0,0,neighbor,3,22,.0096231373,342300
0,0,hh,3,23,.0038737948,342300
0,0,neighbor,3,23,.19894829,342300
0,0,hh,3,31,.011799591,342300
0,0,neighbor,3,31,.5514636,342300
0,0,hh,3,42,.0039760442,342300
0,0,neighbor,3,42,.19851008,342300
0,0,hh,3,44,.0090067191,342300
0,0,neighbor,3,44,.41979551,342300
0,0,hh,3,48,.0043295356,342300
0,0,neighbor,3,48,.19930762,342300
0,0,hh,3,51,.0028337715,342300
0,0,neighbor,3,51,.15105172,342300
0,0,hh,3,52,.0052877595,342300
0,0,neighbor,3,52,.2615571,342300
0,0,hh,3,53,.0021676891,342300
0,0,neighbor,3,53,.10264973,342300
0,0,hh,3,54,.0073093777,342300
0,0,neighbor,3,54,.33706105,342300
0,0,hh,3,55,.0021618463,342300
0,0,neighbor,3,55,.10757815,342300
0,0,hh,3,56,.0062810401,342300
0,0,neighbor,3,56,.29380953,342300
0,0,hh,3,61,.0012299153,342300
0,0,neighbor,3,61,.060981594,342300
0,0,hh,3,62,.0085159214,342300
0,0,neighbor,3,62,.38853052,342300
0,0,hh,3,71,.00070698216,342300
0,0,neighbor,3,71,.030803388,342300
0,0,hh,3,72,.0050335964,342300
0,0,neighbor,3,72,.21954134,342300
0,0,hh,3,81,.0035612036,342300
0,0,neighbor,3,81,.15719837,342300
0,0,hh,3,92,.000020449897,342300
0,0,neighbor,3,92,.00092608825,342300
0,0,hh,4,0,.034677185,342300
0,0,neighbor,4,0,1.9662811,342300
0,0,hh,4,11,2.9214139e-06,342300
0,0,neighbor,4,11,.00025124161,342300
0,0,hh,4,21,.000087642416,342300
0,0,neighbor,4,21,.0054864152,342300
0,0,hh,4,22,.000067192523,342300
0,0,neighbor,4,22,.0044113351,342300
0,0,hh,4,23,.00099035935,342300
0,0,neighbor,4,23,.07448145,342300
0,0,hh,4,31,.0027023079,342300
0,0,neighbor,4,31,.21257377,342300
0,0,hh,4,42,.0008618171,342300
0,0,neighbor,4,42,.07196027,342300
0,0,hh,4,44,.0020800468,342300
0,0,neighbor,4,44,.15854222,342300
0,0,hh,4,48,.00082676014,342300
0,0,neighbor,4,48,.076339468,342300
0,0,hh,4,51,.00066023954,342300
0,0,neighbor,4,51,.055194274,342300
0,0,hh,4,52,.0011042944,342300
0,0,neighbor,4,52,.096903302,342300
0,0,hh,4,53,.0004382121,342300
0,0,neighbor,4,53,.037814781,342300
0,0,hh,4,54,.0015863278,342300
0,0,neighbor,4,54,.12540753,342300
0,0,hh,4,55,.00057843997,342300
0,0,neighbor,4,55,.040490799,342300
0,0,hh,4,56,.0013993573,342300
0,0,neighbor,4,56,.10851885,342300
0,0,hh,4,61,.00026584868,342300
0,0,neighbor,4,61,.023009056,342300
0,0,hh,4,62,.0018054339,342300
0,0,neighbor,4,62,.14344727,342300
0,0,hh,4,71,.00011685656,342300
0,0,neighbor,4,71,.011650599,342300
0,0,hh,4,72,.0010224949,342300
0,0,neighbor,4,72,.084466845,342300
0,0,hh,4,81,.00073327491,342300
0,0,neighbor,4,81,.057759274,342300
0,0,hh,4,92,8.7642420e-06,342300
0,0,neighbor,4,92,.00028337716,342300
0,0,hh,5,0,.016470931,342300
0,0,neighbor,5,0,1.6624014,342300
0,0,hh,6,0,.0052614664,342300
0,0,neighbor,6,0,.95339471,342300
1,0,hh,0,0,.35253319,913236
1,0,neighbor,0,0,4.7680798,913236
1,0,hh,1,0,1.2263577,913236
1,0,neighbor,1,0,12.612969,913236
1,0,school,1,0,43.710045,913236
1,0,hh,2,0,.60754174,913236
1,0,neighbor,2,0,7.4250021,913236
1,0,school,2,0,1.3163607,913236
1,0,hh,2,11,.00027265679,913236
1,0,neighbor,2,11,.0029773246,913236
1,0,hh,2,21,.0047818962,913236
1,0,neighbor,2,21,.060449872,913236
1,0,hh,2,22,.0036113337,913236
1,0,neighbor,2,22,.041251112,913236
1,0,hh,2,23,.06943769,913236
1,0,neighbor,2,23,.8555817,913236
1,0,hh,2,31,.19169962,913236
1,0,neighbor,2,31,2.3853965,913236
1,0,hh,2,42,.066683747,913236
1,0,neighbor,2,42,.85386801,913236
1,0,hh,2,44,.14985831,913236
1,0,neighbor,2,44,1.8275156,913236
1,0,hh,2,48,.067079045,913236
1,0,neighbor,2,48,.87078041,913236
1,0,hh,2,51,.048696067,913236
1,0,neighbor,2,51,.6375581,913236
1,0,hh,2,52,.089280315,913236
1,0,neighbor,2,52,1.142755,913236
1,0,hh,2,53,.03439308,913236
1,0,neighbor,2,53,.4383927,913236
1,0,hh,2,54,.11371431,913236
1,0,neighbor,2,54,1.4639611,913236
1,0,hh,2,55,.03554941,913236
1,0,neighbor,2,55,.46082065,913236
1,0,hh,2,56,.098418154,913236
1,0,neighbor,2,56,1.2643129,913236
1,0,hh,2,61,.01902575,913236
1,0,neighbor,2,61,.24961784,913236
1,0,hh,2,62,.13332917,913236
1,0,neighbor,2,62,1.6630335,913236
1,0,hh,2,71,.011508525,913236
1,0,neighbor,2,71,.13962875,913236
1,0,hh,2,72,.078690499,913236
1,0,neighbor,2,72,.96281248,913236
1,0,hh,2,81,.055262823,913236
1,0,neighbor,2,81,.67869532,913236
1,0,hh,2,92,.00033288219,913236
1,0,neighbor,2,92,.0038938457,913236
1,0,hh,3,0,.066333346,913236
1,0,neighbor,3,0,1.762401,913236
1,0,hh,3,11,.000020805137,913236
1,0,neighbor,3,11,.00054312358,913236
1,0,hh,3,21,.0005190334,913236
1,0,neighbor,3,21,.014582211,913236
1,0,hh,3,22,.00039201259,913236
1,0,neighbor,3,22,.009844115,913236
1,0,hh,3,23,.0077646961,913236
1,0,neighbor,3,23,.20436777,913236
1,0,hh,3,31,.022070965,913236
1,0,neighbor,3,31,.57104295,913236
1,0,hh,3,42,.0074153887,913236
1,0,neighbor,3,42,.20312384,913236
1,0,hh,3,44,.017197087,913236
