age_i,naics_i,work_poi_i,age_j,naics_j,work_poi_j,contactlvl,num_people,num_contact_per_person_day,contact_time_min_per_person_day
1,0,0,1,0,0,entertainment,418309,.0007602035766467,.0245661623775959
1,0,0,1,0,0,hh,418309,1.276013612747192,765.608154296875
1,0,0,1,0,0,neighbor,418309,.0111114031678881,.3440813033521408
1,0,0,1,0,0,restaurants,418309,.000898857077118,.0376597605645657
1,0,0,1,0,0,retail,418309,.00287825509713,.0915147504674678
1,0,0,1,0,0,school,418309,113.6306076049805,48674.578125
1,0,0,1,0,0,services,418309,.0003442431398071,.0175169928115793
1,0,0,1,11,0,hh,418309,.0000406398139603,.0243838876485825
1,0,0,1,11,0,neighbor,418309,9.56230906013e-06,.0005825836560689
1,0,0,1,11,0,retail,418309,2.39057726503e-06,.0000189254024008
1,0,0,1,11,0,school,418309,.0051182261668146,2.16742467880249
1,0,0,1,23,0,hh,418309,.0001673404040048,.1004042401909828
1,0,0,1,23,0,school,418309,.0307069662958384,12.88755130767822
1,0,0,1,31,0,hh,418309,.0000980136683211,.0588082000613213
1,0,0,1,31,0,school,418309,.0189835745841265,8.087856292724609
1,0,0,1,42,0,hh,418309,.0000645455875201,.0387273542582989
1,0,0,1,42,0,school,418309,.0164328292012215,7.003424644470215
1,0,0,1,42,2,school,418309,.0018216199241579,.7671775221824646
1,0,0,1,44,0,entertainment,418309,2.39057726503e-06,.0000239057735598
1,0,0,1,44,0,hh,418309,.0015299695078284,.9179816842079163
1,0,0,1,44,0,neighbor,418309,.0000167340408552,.0007437165841111
1,0,0,1,44,0,restaurants,418309,2.39057726503e-06,.0000256588627963
1,0,0,1,44,0,retail,418309,.0000143434635902,.0001400479959557
1,0,0,1,44,0,school,418309,.124620795249939,53.21992874145508
1,0,0,1,44,2,hh,418309,.0013913159491494,.8347895741462708
1,0,0,1,44,2,neighbor,418309,.0000119528867799,.0002565886534285
1,0,0,1,44,2,retail,418309,.0000454209693999,.0018601223127916
1,0,0,1,44,2,school,418309,.113985113799572,48.67367553710938
1,0,0,1,44,2,services,418309,2.39057726503e-06,.0000262963494606
1,0,0,1,48,0,hh,418309,.0001051853978424,.063111238181591
1,0,0,1,48,0,school,418309,.0095933871343732,4.0989089012146
1,0,0,1,51,0,hh,418309,.0000597644320806,.0358586609363556
1,0,0,1,51,0,school,418309,.0083478959277272,3.54426646232605
1,0,0,1,51,3,hh,418309,.0000143434635902,.0086060781031847
1,0,0,1,51,3,school,418309,.0013817537110299,.5875126719474792
1,0,0,1,51,4,hh,418309,.0000119528867799,.0071717319078743
1,0,0,1,51,4,school,418309,.0021156608127058,.8975366950035095
1,0,0,1,52,0,hh,418309,.000088451357442,.0530708134174347
1,0,0,1,52,0,school,418309,.0098443971946836,4.151411056518555
1,0,0,1,52,3,hh,418309,.0000310775067192,.0186465047299862
1,0,0,1,52,3,school,418309,.0030957974959165,1.309014439582825
1,0,0,1,53,0,hh,418309,.0000860607833602,.0516364686191082
