date,t,msaname,msa,population,deaths,cases,deathper100k,caseper100k
05mar2020,0,"CHICAGO, IL",1600,8429599,0,5,0,.059314802
06mar2020,1,"CHICAGO, IL",1600,8429599,0,5,0,.059314802
07mar2020,2,"CHICAGO, IL",1600,8429599,0,6,0,.071177766
08mar2020,3,"CHICAGO, IL",1600,8429599,0,7,0,.083040722
09mar2020,4,"CHICAGO, IL",1600,8429599,0,7,0,.083040722
10mar2020,5,"CHICAGO, IL",1600,8429599,0,12,0,.14235553
11mar2020,6,"CHICAGO, IL",1600,8429599,0,25,0,.29657403
12mar2020,7,"CHICAGO, IL",1600,8429599,0,32,0,.37961474
13mar2020,8,"CHICAGO, IL",1600,8429599,0,46,0,.5456962
14mar2020,9,"CHICAGO, IL",1600,8429599,0,59,0,.69991469
15mar2020,10,"CHICAGO, IL",1600,8429599,0,59,0,.69991469
16mar2020,11,"CHICAGO, IL",1600,8429599,0,74,0,.87785906
17mar2020,12,"CHICAGO, IL",1600,8429599,1,147,.011862961,1.7438552
18mar2020,13,"CHICAGO, IL",1600,8429599,1,254,.011862961,3.0131919
19mar2020,14,"CHICAGO, IL",1600,8429599,3,391,.035588883,4.6384177
20mar2020,15,"CHICAGO, IL",1600,8429599,3,391,.035588883,4.6384177
21mar2020,16,"CHICAGO, IL",1600,8429599,4,709,.047451843,8.4108391
22mar2020,17,"CHICAGO, IL",1600,8429599,5,1003,.059314802,11.898549
23mar2020,18,"CHICAGO, IL",1600,8429599,10,1171,.1186296,13.891527
24mar2020,19,"CHICAGO, IL",1600,8429599,10,1478,.1186296,17.533455
25mar2020,20,"CHICAGO, IL",1600,8429599,17,1791,.20167033,21.246563
26mar2020,21,"CHICAGO, IL",1600,8429599,24,1791,.28471106,21.246563
27mar2020,22,"CHICAGO, IL",1600,8429599,32,2900,.37961474,34.402584
28mar2020,23,"CHICAGO, IL",1600,8429599,45,3331,.53383321,39.515522
29mar2020,24,"CHICAGO, IL",1600,8429599,61,4368,.72364056,51.817413
30mar2020,25,"CHICAGO, IL",1600,8429599,68,4796,.80668133,56.89476
31mar2020,26,"CHICAGO, IL",1600,8429599,92,5679,1.0913924,67.369751
01apr2020,27,"CHICAGO, IL",1600,8429599,131,6581,1.5540478,78.070145
02apr2020,28,"CHICAGO, IL",1600,8429599,151,7218,1.7913071,85.626846
03apr2020,29,"CHICAGO, IL",1600,8429599,194,7989,2.3014143,94.773193
04apr2020,30,"CHICAGO, IL",1600,8429599,226,9670,2.6810291,114.71483
05apr2020,31,"CHICAGO, IL",1600,8429599,254,10482,3.0131919,124.34755
06apr2020,32,"CHICAGO, IL",1600,8429599,285,11388,3.3809438,135.0954
07apr2020,33,"CHICAGO, IL",1600,8429599,349,12539,4.1401734,148.74966
08apr2020,34,"CHICAGO, IL",1600,8429599,426,13905,5.0536213,164.95447
09apr2020,35,"CHICAGO, IL",1600,8429599,487,15094,5.7772617,179.05952
10apr2020,36,"CHICAGO, IL",1600,8429599,552,16424,6.5483541,194.83727
11apr2020,37,"CHICAGO, IL",1600,8429599,627,17621,7.438076,209.03723
12apr2020,38,"CHICAGO, IL",1600,8429599,668,19163,7.9244576,227.32991
13apr2020,39,"CHICAGO, IL",1600,8429599,740,20276,8.7785912,240.53339
14apr2020,40,"CHICAGO, IL",1600,8429599,807,21425,9.5734091,254.16393
15apr2020,41,"CHICAGO, IL",1600,8429599,876,22679,10.391953,269.04007
16apr2020,42,"CHICAGO, IL",1600,8429599,989,23699,11.732468,281.14029
17apr2020,43,"CHICAGO, IL",1600,8429599,1041,25398,12.349342,301.29547
18apr2020,44,"CHICAGO, IL",1600,8429599,1160,26770,13.761034,317.57144
19apr2020,45,"CHICAGO, IL",1600,8429599,1188,27852,14.093197,330.40717
20apr2020,46,"CHICAGO, IL",1600,8429599,1240,28897,14.710071,342.80396
21apr2020,47,"CHICAGO, IL",1600,8429599,1348,30266,15.991271,359.04437
22apr2020,48,"CHICAGO, IL",1600,8429599,1437,32012,17.047073,379.75708
23apr2020,49,"CHICAGO, IL",1600,8429599,1549,33736,18.375727,400.20883
24apr2020,50,"CHICAGO, IL",1600,8429599,1646,36173,19.526432,429.11887
25apr2020,51,"CHICAGO, IL",1600,8429599,1711,38062,20.297525,451.52802
26apr2020,52,"CHICAGO, IL",1600,8429599,1767,39963,20.961851,474.0795
27apr2020,53,"CHICAGO, IL",1600,8429599,1806,41775,21.424507,495.57516
28apr2020,54,"CHICAGO, IL",1600,8429599,1941,43726,23.026007,518.71979
29apr2020,55,"CHICAGO, IL",1600,8429599,2019,45756,23.951317,542.80164
30apr2020,56,"CHICAGO, IL",1600,8429599,2148,48008,25.48164,569.51703
01may2020,57,"CHICAGO, IL",1600,8429599,2241,50931,26.584894,604.19244
02may2020,58,"CHICAGO, IL",1600,8429599,2334,53217,27.68815,631.31116
03may2020,59,"CHICAGO, IL",1600,8429599,2385,55942,28.293161,663.63776
04may2020,60,"CHICAGO, IL",1600,8429599,2419,58067,28.696501,688.84656
05may2020,61,"CHICAGO, IL",1600,8429599,2572,60003,30.511534,711.81323
06may2020,62,"CHICAGO, IL",1600,8429599,2701,62097,32.041855,736.65424
07may2020,63,"CHICAGO, IL",1600,8429599,2828,64468,33.54845,764.78131
08may2020,64,"CHICAGO, IL",1600,8429599,2944,67094,34.924557,795.93347
09may2020,65,"CHICAGO, IL",1600,8429599,3038,69144,36.039673,820.25256
10may2020,66,"CHICAGO, IL",1600,8429599,3092,70556,36.680275,837.00305
11may2020,67,"CHICAGO, IL",1600,8429599,3141,71704,37.261559,850.6217
12may2020,68,"CHICAGO, IL",1600,8429599,3265,75244,38.732567,892.61658
13may2020,69,"CHICAGO, IL",1600,8429599,3437,76670,40.772995,909.5332
14may2020,70,"CHICAGO, IL",1600,8429599,3565,79588,42.291454,944.14929
15may2020,71,"CHICAGO, IL",1600,8429599,3679,81786,43.643833,970.22406
16may2020,72,"CHICAGO, IL",1600,8429599,3744,83648,44.414925,992.31293
17may2020,73,"CHICAGO, IL",1600,8429599,3786,85137,44.91317,1009.9769
18may2020,74,"CHICAGO, IL",1600,8429599,3839,87238,45.541904,1034.901
19may2020,75,"CHICAGO, IL",1600,8429599,3963,88629,47.012913,1051.4023
20may2020,76,"CHICAGO, IL",1600,8429599,4099,90798,48.626274,1077.1331
