region,msa,race,income,age,naics,wfh,essential,sick,msaname,raw_age,N,pr_type_ineq,binwt,nbin,fillinMEPS
1,5600,1,1,1,0,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",9.9490528,109729.2011642456,.12853548,422710.5298439998,568,0
1,5600,1,1,1,0,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",9.9490528,45390.79883575439,.053170245,422710.5298439998,568,0
1,5600,1,1,2,0,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",20.820999,54725.96098124981,.064105339,305424.5423080981,366,0
1,5600,1,1,2,0,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",20.820999,36329.04173240066,.042555407,305424.5423080981,366,0
1,5600,1,1,2,11,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",21.056818,61.28779888153076,.000071791801,280.8262548173522,74,0
1,5600,1,1,2,11,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",21.056818,26.71219849586487,.000031290354,280.8262548173522,74,0
1,5600,1,1,2,22,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",23.799999,160.0762939453125,.00018751148,157.9304955761286,151,0
1,5600,1,1,2,22,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",23.799999,69.9237060546875,.000081907805,157.9304955761286,151,0
1,5600,1,1,2,23,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",24.604115,1388.134171370721,.0016260439,2615.631994195067,151,0
1,5600,1,1,2,23,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",24.604115,534.4744073112245,.000626077,2615.631994195067,151,0
1,5600,1,1,2,23,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",24.604115,50.82296862145976,.000059533424,2615.631994195067,151,0
1,5600,1,1,2,23,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",24.604115,19.56840814957305,.000022922202,2615.631994195067,151,0
1,5600,1,1,2,31,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",23.34339,1286.336007237434,.0015067987,3602.942757024523,517,0
1,5600,1,1,2,31,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",23.34339,536.6639927625656,.00062864181,3602.942757024523,517,0
1,5600,1,1,2,42,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",23.575916,394.4601162672043,.00046206589,943.2235054571765,151,0
