"Policy1","Policy2","Policy3","Policy4","MSA","BaselineAdjDeaths","BaselineAdjCases","BaselineAdjEmpDays","Deaths","Case","EmpDaysLost","Population","Death5_17","Death18_49","Death50_59","Death60_69","Death70_79","Death80","Case5_17","Case18_49","Case50_59","Case60_69","Case70_79","Case80"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S1-N2-B2-R2-P2-F1-E2-M1","5600","0","0","0","54288.538523022","5004551.3329924","441650885.320806","18007950.1002994","70.5387974222279","4715.08068861175","7796.70537027548","22111.662317343","8872.66201811058","10721.889331259","502786.99351031","2795386.36905969","868668.876622582","531005.540955942","178725.177601468","127978.375242403"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.052699333307372","-0.083097437702873","0.381441748003635","51427.5687366271","4588685.94036823","610114971.024927","18007950.1002994","70.1033108868814","4513.61941268385","7454.99644048354","20988.6771601033","8337.51963477056","10062.652777699","495179.366540268","2551432.34920319","793944.94411156","479056.390229973","156953.862862137","112119.027421098"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.0489122309162598","-0.0669945008363838","0.167662835803983","51633.1649906776","4669273.91452851","515699325.189032","18007950.1002994","70.1912484254952","4562.97778884812","7538.31837302736","21009.0681015096","8361.1957193358","10091.4137595313","496705.676992338","2608960.95234017","812501.073556074","480179.138990015","158032.578336266","112894.494313654"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.051732652915176","-0.0794395739372062","0.273789407492503","51480.0484023383","4606991.9073526","562570219.531329","18007950.1002994","70.1260898006154","4526.08771071779","7476.27212560003","20993.9579597177","8343.58612355038","10070.0183929518","495544.062164557","2564437.68296225","798182.295960724","479322.393366281","157205.632879662","112299.840019129"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.0460578783207258","-0.0542221504390724","0.169363873519117","51788.1236215186","4733193.79773482","516450590.001885","18007950.1002994","70.2506200357554","4600.39949825317","7602.2980127269","21023.8870872285","8378.60988946364","10112.6785138107","497810.193549852","2654818.59371522","827086.807964185","481062.679477316","158896.385303879","113519.137724367"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.052337108308845","-0.0747687975133838","0.381506828983999","51447.2334024137","4630367.04773055","610143714.097522","18007950.1002994","72.4349265092924","4520.26648192405","7456.47726423017","20992.3342053135","8340.43885959684","10065.2816648398","528863.214609174","2558666.847748","794309.822631756","479255.168815352","157083.806068155","112188.187858119"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.0484394677400292","-0.0574838192451992","0.167849476472819","51658.8306125827","4716870.60876334","515781755.20566","18007950.1002994","72.6226094084794","4571.84202939972","7542.0638297595","21013.22566933","8364.55105937827","10094.5254153068","532427.41059003","2619393.17545488","813470.853582365","480412.452181341","158187.071360309","112979.645594417"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.0513118149606618","-0.070553829901297","0.273912082443448","51502.8950798439","4651461.06951214","562624399.03202","18007950.1002994","72.5026170478107","4533.8090700869","7479.15976825339","20997.8415601149","8346.70834941182","10072.8737149291","530093.978625916","2573182.65321291","798924.570577872","479536.522409441","157346.891087468","112376.453598538"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.0454143174475841","-0.0429326415623489","0.169667829413336","51823.061600772","4789692.72443266","516584832.391665","18007950.1002994","72.8178540177722","4612.47672489572","7610.36799405308","21028.6129232631","8382.45686511527","10116.3292394271","536317.937050839","2670065.99962089","829272.184855002","481335.78177796","159078.668970411","113622.152157552"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.0488326919897144","0.0865358713609887","0.381909545504704","51637.4830427555","5437624.54336369","610321574.205425","18007950.1002994","109.73213627999","4571.25966802344","7470.28694142935","21026.166315138","8369.57773022463","10090.4602516601","1246508.42104886","2638835.45381677","798746.24140458","481661.159946276","158805.424236822","113067.842910379"
