"Policy1","Policy2","Policy3","Policy4","MSA","BaselineAdjDeaths","BaselineAdjCases","BaselineAdjEmpDays","Deaths","Case","EmpDaysLost","Population","Death5_17","Death18_49","Death50_59","Death60_69","Death70_79","Death80","Case5_17","Case18_49","Case50_59","Case60_69","Case70_79","Case80"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S1-N2-B2-R2-P2-F1-E2-M1","5600","0","0","0","49978.1195278324","4585194.16103883","434590974.365656","18007950.1002994","72.6095191477541","4452.21914714612","7191.4829259792","20473.193516308","8025.79482050287","9762.81959874843","512049.661522803","2553718.36806788","779893.0115173","474442.250669758","154093.346032717","110997.523228371"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.0211295941401473","-0.0328808851141333","0.394870237453994","48922.1021463216","4434428.91860371","606198015.608785","18007950.1002994","72.4761083272116","4377.69465789379","7063.4529084516","20055.7707268568","7830.68465542583","9522.02308936634","509842.054873216","2464703.65181265","752054.58248335","455414.773918617","146765.514842855","105648.340673032"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.0198001747552875","-0.0268797901758649","0.17533255817664","48988.5440272407","4461945.1040745","510788921.661665","18007950.1002994","72.5002349977176","4395.15095366324","7093.08890002792","20061.2251890834","7836.94622304576","9529.63252642268","510244.925702914","2484582.05714896","758521.620486519","455706.768826232","147042.322896784","105847.409013091"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.0207490898552168","-0.0313542174194194","0.284843388061527","48941.1190349547","4441428.98640336","558381339.924929","18007950.1002994","72.4830908893351","4382.67538732017","7071.97644842674","20057.3380697343","7832.46293574892","9524.18310283523","509950.329852967","2469747.2442316","753701.072641049","455492.230224108","146837.812630033","105700.296823603"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S1-N1-B1-R1-P1-F1-E1-M1","5600","-0.0187669229116129","-0.021812582070445","0.175981163544426","49040.1840113862","4485179.23709224","511070799.70043","18007950.1002994","72.5167783166624","4408.99066524738","7116.93916519835","20065.1401710194","7841.45954934714","9535.13768225729","510542.495167694","2501446.64649532","763988.189797303","455935.084989412","147261.249115211","106005.571527303"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.0209715263476911","-0.0290236297447434","0.394902202611109","48930.0020773464","4452115.18340108","606211907.377562","18007950.1002994","73.5178904521978","4380.77606887498","7064.00834800193","20057.1047707268","7831.67924847717","9522.91575081333","524034.392438828","2467930.15845402","752186.54357772","455484.988008639","146808.132829982","105670.968091893"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W2-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.0196057479451129","-0.022663540031957","0.175412091788277","48998.261113599","4481277.42961583","510823486.251441","18007950.1002994","73.5660929444242","4398.91582202028","7094.40688111956","20062.6828439583","7838.04589169491","9530.64358186156","524901.404041504","2488772.66602323","758853.181645887","455785.412291514","147090.816951797","105873.948661893"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W3-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.020571561140183","-0.0273178870269447","0.284898024534669","48949.9915862942","4459936.34495096","558405084.443028","18007950.1002994","73.5373341937009","4386.10061883042","7072.99189098394","20058.7278148206","7833.50500416522","9525.12892330031","524370.392574216","2473440.45390339","753951.739493427","455566.127090483","146883.004413176","105724.627476274"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W4-S2-N1-B1-R1-P1-F1-E1-M1","5600","-0.0185151136928322","-0.0170305400728764","0.176099699356321","49052.7689626206","4507105.82813734","511122314.294418","18007950.1002994","73.6193852153144","4413.77476579561","7119.65837678192","20066.7437594825","7842.68434201708","9536.28833332822","525906.077760166","2507121.23519793","764700.792277602","456023.940552894","147316.930316165","106036.852032576"
"W4-S3-N3-B2-R2-P2-F2-E2-M4","W1-S1-N1-B1-R1-P1-F1-E2-M1","W2-S1-N1-B1-R2-P1-F1-E2-M1","W1-S3-N1-B1-R1-P1-F1-E1-M1","5600","-0.0198421608396024","0.0299148260398099","0.395053744367359","48986.4456417003","4722359.44672506","606277766.057067","18007950.1002994","85.9979668356714","4397.90696976675","7067.83413576323","20066.2365240846","7839.12245883241","9529.34758641765","767874.319641063","2491927.6746247","753347.571992258","456099.946465336","147226.176360713","105883.757640984"
