"Policy1","Policy2","Policy3","Policy4","MSA","BaselineAdjDeaths","BaselineAdjCases","BaselineAdjEmpDays","Deaths","Case","EmpDaysLost","Population","Death5_17","Death18_49","Death50_59","Death60_69","Death70_79","Death80","Case5_17","Case18_49","Case50_59","Case60_69","Case70_79","Case80"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S1-N2-E2-M1","5600","0","0","0","114855.984493193","18138377.9305031","1538776212.7504","42730176.6691399","1017.69173692934","12630.0600232006","20258.3485970116","70940.754524096","4547.70843261342","5461.4211793418","7137395.06722534","7092024.93430081","2124672.90396157","1638485.71540791","85205.539086791","60593.7705206622"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S1-N1-E1-M1","5600","-0.00458513904479219","-0.00503751118875995","0.415221903486458","114329.353834165","18047005.6487322","2177709800.84831","42730176.6691399","1016.84354291503","12581.739168054","20168.9656806049","70583.3441783179","4534.05682666545","5444.4044376077","7126614.04008455","7043052.14570617","2107976.41355956","1624344.57914559","84755.9425739019","60262.5276624333"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S1-N1-E1-M1","5600","-0.0039232683136371","-0.00287418369463344","0.109698545439791","114405.373648599","18086244.9004081","1707577725.04647","42730176.6691399","1017.35369524762","12606.1999705337","20214.9669381412","70586.8929512317","4534.7426295987","5445.21746384612","7132958.03534772","7067356.43108479","2116336.75023265","1624527.85023531","84783.772206391","60282.0613012528"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S1-N1-E1-M1","5600","-0.00434654576080196","-0.00427734452936845","0.262371678122686","114356.757700691","18060793.8388904","1942507509.945","42730176.6691399","1017.00715228475","12590.7631683683","20185.4827539691","70584.4871631193","4534.31114652878","5444.70631642085","7128603.35886156","7051814.71897115","2110937.60468513","1624402.40929716","84766.088796298","60269.6582791105"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S1-N1-E1-M1","5600","-0.00352200769900601","-0.00153037336418615","0.109928792291315","114451.460831531","18110619.4400487","1707932023.42466","42730176.6691399","1017.57460818502","12621.9699907921","20242.5467789173","70588.4867187856","4535.16408741678","5445.71864743419","7135819.23895434","7083477.22501325","2121614.33519801","1624613.05818291","84801.2303492945","60294.3523508817"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S2-N1-E1-M1","5600","-0.00457038096307749","-0.00476809379404552","0.415239125874391","114331.04888817","18051892.4432586","2177736302.24918","42730176.6691399","1017.1745791187","12582.6520895641","20169.0479955098","70583.6298447742","4534.09819004494","5444.44618915785","7130577.94978121","7043938.96675875","2107995.32137274","1624359.09830361","84757.5914730593","60263.5155692142"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S2-N1-E1-M1","5600","-0.00390576035903156","-0.00258102170172014","0.109733153418147","114407.384541962","18091562.3834304","1707630978.98034","42730176.6691399","1017.69892755413","12607.2390524935","20215.1977970857","70587.1989085297","4534.78713611993","5445.2627201788","7137151.48522399","7068407.47265585","2116390.98303452","1624543.69941472","84785.5853739077","60283.1577274601"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S2-N1-E1-M1","5600","-0.00433072949560287","-0.00399931106825935","0.262397076408425","114358.574293402","18065836.9148853","1942546592.22294","42730176.6691399","1017.34319240666","12591.7249925985","20185.6227928988","70584.780172324","4534.35371951564","5444.74942365801","7132646.90219348","7052764.04392447","2110970.07721216","1624417.40386417","84767.800084724","60270.6876063327"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S2-N1-E1-M1","5600","-0.00350255944732547","-0.0012222406199085","0.109964976020361","114453.694579624","18116208.4682172","1707987702.0862","42730176.6691399","1017.92729758937","12623.0989757119","20242.8873020888","70588.8040743483","4535.21067262967","5445.76625725622","7140135.96088844","7084648.2801807","2121695.88122646","1624629.66885951","84803.1541039106","60295.5229581348"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S3-N1-E1-M1","5600","-0.00452470289645268","-0.0039065035041046","0.415292994910181","114336.295287482","18067520.2935588","2177819194.64006","42730176.6691399","1018.22302342503","12585.4553633942","20169.3023187337","70584.512997877","4534.22630184583","5444.57528220581","7143349.6885375","7046682.67187393","2108054.22141412","1624404.36877243","84762.7459865154","60266.5969742903"
