FocalAge,TargetAge,Value,PolicyID
1,1,2.447020489,W1-S1-N1-E1-M1
1,2,4.605090065,W1-S1-N1-E1-M1
1,3,0.995222503,W1-S1-N1-E1-M1
1,4,0.586228006,W1-S1-N1-E1-M1
1,5,0.339309816,W1-S1-N1-E1-M1
1,6,0.197765055,W1-S1-N1-E1-M1
2,1,1.770764966,W1-S1-N1-E1-M1
2,2,11.52576233,W1-S1-N1-E1-M1
2,3,3.033050455,W1-S1-N1-E1-M1
2,4,1.503065936,W1-S1-N1-E1-M1
2,5,0.351558692,W1-S1-N1-E1-M1
2,6,0.208889357,W1-S1-N1-E1-M1
3,1,1.40067963,W1-S1-N1-E1-M1
3,2,11.1013413,W1-S1-N1-E1-M1
3,3,3.255097604,W1-S1-N1-E1-M1
3,4,1.530596983,W1-S1-N1-E1-M1
3,5,0.350797978,W1-S1-N1-E1-M1
3,6,0.241265486,W1-S1-N1-E1-M1
4,1,1.187901406,W1-S1-N1-E1-M1
4,2,7.920800516,W1-S1-N1-E1-M1
4,3,2.203718323,W1-S1-N1-E1-M1
4,4,1.454912135,W1-S1-N1-E1-M1
4,5,0.420550346,W1-S1-N1-E1-M1
4,6,0.247779517,W1-S1-N1-E1-M1
5,1,1.172966785,W1-S1-N1-E1-M1
5,2,3.16056231,W1-S1-N1-E1-M1
5,3,0.861643817,W1-S1-N1-E1-M1
5,4,0.717453019,W1-S1-N1-E1-M1
5,5,0.642457829,W1-S1-N1-E1-M1
5,6,0.307085274,W1-S1-N1-E1-M1
6,1,1.062433546,W1-S1-N1-E1-M1
6,2,2.91840626,W1-S1-N1-E1-M1
6,3,0.920934633,W1-S1-N1-E1-M1
6,4,0.656906831,W1-S1-N1-E1-M1
6,5,0.477223594,W1-S1-N1-E1-M1
6,6,0.466668186,W1-S1-N1-E1-M1
1,1,2.447020489,W2-S1-N1-E1-M1
1,2,4.605090065,W2-S1-N1-E1-M1
1,3,0.995222503,W2-S1-N1-E1-M1
1,4,0.586228006,W2-S1-N1-E1-M1
1,5,0.339309816,W2-S1-N1-E1-M1
1,6,0.197765055,W2-S1-N1-E1-M1
2,1,1.770764966,W2-S1-N1-E1-M1
2,2,14.84057848,W2-S1-N1-E1-M1
2,3,3.94988052,W2-S1-N1-E1-M1
2,4,1.503065936,W2-S1-N1-E1-M1
2,5,0.351558692,W2-S1-N1-E1-M1
2,6,0.208889357,W2-S1-N1-E1-M1
3,1,1.40067963,W2-S1-N1-E1-M1
3,2,14.45705321,W2-S1-N1-E1-M1
3,3,4.198524744,W2-S1-N1-E1-M1
3,4,1.530596983,W2-S1-N1-E1-M1
3,5,0.350797978,W2-S1-N1-E1-M1
3,6,0.241265486,W2-S1-N1-E1-M1
4,1,1.187901406,W2-S1-N1-E1-M1
4,2,7.920800516,W2-S1-N1-E1-M1
4,3,2.203718323,W2-S1-N1-E1-M1
4,4,1.454912135,W2-S1-N1-E1-M1
4,5,0.420550346,W2-S1-N1-E1-M1
4,6,0.247779517,W2-S1-N1-E1-M1
5,1,1.172966785,W2-S1-N1-E1-M1
5,2,3.16056231,W2-S1-N1-E1-M1
5,3,0.861643817,W2-S1-N1-E1-M1
5,4,0.717453019,W2-S1-N1-E1-M1
5,5,0.642457829,W2-S1-N1-E1-M1
5,6,0.307085274,W2-S1-N1-E1-M1
6,1,1.062433546,W2-S1-N1-E1-M1
6,2,2.91840626,W2-S1-N1-E1-M1
6,3,0.920934633,W2-S1-N1-E1-M1
6,4,0.656906831,W2-S1-N1-E1-M1
6,5,0.477223594,W2-S1-N1-E1-M1
6,6,0.466668186,W2-S1-N1-E1-M1
1,1,2.447020489,W3-S1-N1-E1-M1
1,2,4.605090065,W3-S1-N1-E1-M1
1,3,0.995222503,W3-S1-N1-E1-M1
1,4,0.586228006,W3-S1-N1-E1-M1
1,5,0.339309816,W3-S1-N1-E1-M1
1,6,0.197765055,W3-S1-N1-E1-M1
2,1,1.770764966,W3-S1-N1-E1-M1
2,2,14.05853979,W3-S1-N1-E1-M1
2,3,3.720873432,W3-S1-N1-E1-M1
2,4,1.503065936,W3-S1-N1-E1-M1
2,5,0.351558692,W3-S1-N1-E1-M1
2,6,0.208889357,W3-S1-N1-E1-M1
3,1,1.40067963,W3-S1-N1-E1-M1
3,2,13.61885883,W3-S1-N1-E1-M1
3,3,3.947611931,W3-S1-N1-E1-M1
3,4,1.530596983,W3-S1-N1-E1-M1
3,5,0.350797978,W3-S1-N1-E1-M1
3,6,0.241265486,W3-S1-N1-E1-M1
4,1,1.187901406,W3-S1-N1-E1-M1
4,2,7.920800516,W3-S1-N1-E1-M1
4,3,2.203718323,W3-S1-N1-E1-M1
4,4,1.454912135,W3-S1-N1-E1-M1
4,5,0.420550346,W3-S1-N1-E1-M1
4,6,0.247779517,W3-S1-N1-E1-M1
5,1,1.172966785,W3-S1-N1-E1-M1
5,2,3.16056231,W3-S1-N1-E1-M1
5,3,0.861643817,W3-S1-N1-E1-M1
5,4,0.717453019,W3-S1-N1-E1-M1
5,5,0.642457829,W3-S1-N1-E1-M1
5,6,0.307085274,W3-S1-N1-E1-M1
6,1,1.062433546,W3-S1-N1-E1-M1
6,2,2.91840626,W3-S1-N1-E1-M1
6,3,0.920934633,W3-S1-N1-E1-M1
6,4,0.656906831,W3-S1-N1-E1-M1
6,5,0.477223594,W3-S1-N1-E1-M1
6,6,0.466668186,W3-S1-N1-E1-M1
1,1,2.447020489,W4-S1-N1-E1-M1
1,2,4.605090065,W4-S1-N1-E1-M1
1,3,0.995222503,W4-S1-N1-E1-M1
1,4,0.586228006,W4-S1-N1-E1-M1
1,5,0.339309816,W4-S1-N1-E1-M1
1,6,0.197765055,W4-S1-N1-E1-M1
2,1,1.770764966,W4-S1-N1-E1-M1
2,2,21.65687217,W4-S1-N1-E1-M1
2,3,5.784342366,W4-S1-N1-E1-M1
2,4,1.503065936,W4-S1-N1-E1-M1
2,5,0.351558692,W4-S1-N1-E1-M1
2,6,0.208889357,W4-S1-N1-E1-M1
3,1,1.40067963,W4-S1-N1-E1-M1
3,2,21.17141142,W4-S1-N1-E1-M1
3,3,6.02515491,W4-S1-N1-E1-M1
3,4,1.530596983,W4-S1-N1-E1-M1
3,5,0.350797978,W4-S1-N1-E1-M1
3,6,0.241265486,W4-S1-N1-E1-M1
4,1,1.187901406,W4-S1-N1-E1-M1
4,2,7.920800516,W4-S1-N1-E1-M1
4,3,2.203718323,W4-S1-N1-E1-M1
4,4,1.454912135,W4-S1-N1-E1-M1
4,5,0.420550346,W4-S1-N1-E1-M1
4,6,0.247779517,W4-S1-N1-E1-M1
5,1,1.172966785,W4-S1-N1-E1-M1
5,2,3.16056231,W4-S1-N1-E1-M1
5,3,0.861643817,W4-S1-N1-E1-M1
