"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,4.68132514107348e-05,0.000185215942000752,0.000428957650154804,0.000812197514981841,0.00139216511437388,0.00225721679810348,0.00354091434095457,0.0054442217022703,0.00826949864624517,0.0124720168622158,0.018737577780948,0.0280986203845285,0.0421063750991123,0.0630823707110179,0.0944777157497733,0.141128180559484,0.207325270610959,0.295181734984516,0.40527964159703,0.537278903955406,0.69032492843861,0.863318816375563,1.05509257684017,1.26451830402664,1.49057068488907,1.73235672886538,1.98912251229555,2.26024436099741,2.54521023561068,2.84359585401818,3.15503906024514,3.47921505275941,3.81581422981321,4.1645237158031,4.5250130294336,4.89692389722662,5.27986390618716,5.67340348958131,6.07707565172103,6.49037781702633,6.91277522376544,7.34370535078972,7.78258294330341,8.22880529357676,8.6817575083916,9.14081757099458,9.60536106516198,10.0747654791874,10.5484140467255,11.0256991107941,11.5060250183762,11.9888105674454,12.4734910373872,12.9595198386281,13.4463698196189,13.9335342690676,14.4205276499696,14.9068860996265,15.3921677270926,15.8759527364383,16.3578434012632,16.8374639129469,17.3144601224834,17.788499193275,18.2592691799441,18.7264785464478,19.1898556349849,19.6491480954668,20.1041222842585,20.5545626396906,21.0002710407481,21.4410661545078,21.8767827772131,22.3072711731495,22.7323964148346,23.1520854535947,23.5667775836657,23.9776170845306,24.386143724704,24.7940580565887,25.203074737774,25.6148333925422,26.030846970883,26.4524742423263,26.880907673593,27.317171003865,27.7621226478376,28.2164625689091,28.6807410274001,29.1553682262588,29.6406242399696,30.1366688747374,30.6435512575097,31.1612190316846,31.6895271397135,32.2282462010609,32.7770704686969,33.3356254056309,33.9034749215244,34.4801282816861,35.065046716705,35.6576497329502,36.2573211676921,36.8634149848796,37.4752608010486,38.0921691687581,38.7134365912013,39.338350280327,39.9661926479638,40.5962455221208,41.2277940847062,41.8601305344904,42.4925574511572,43.1243908785428,43.7549631167965,44.3836252260685,45.0097492452784,45.6327301307047,46.2519874210638,46.8669666379364,47.477140431368,48.0820094822166,48.6811031730713,49.2739800495271,49.8602280516807,50.4394646034784,51.011336500324,51.5755196409968,52.1317186227977,52.679666210225,53.2191226926235,53.7498751448138,54.2717366264623,54.7845452393636,55.2881631985765,55.7824758589451,56.2673906741266,56.7428361357171,57.2087607029678,57.6651317239244,58.1119343558451,58.5491704921099,58.9768577008091,59.3950281812429,59.8037277371741,60.2030147798806,60.5929593874943,60.9736423411959,61.345154224222,61.707594558037
2,0,1,0,0,1,818021.22396571,0,4.68132514107348e-05,0.000185215942000752,0.000428957650154804,0.000812197514981841,0.00139216511437388,0.00225721679810348,0.00354091434095457,0.0054442217022703,0.00826949864624517,0.0124720168622158,0.018737577780948,0.0280986203845285,0.0421063750991123,0.0630823707110179,0.0944777157497733,0.141128180559484,0.207325270610959,0.295181734984516,0.40527964159703,0.537278903955406,0.69032492843861,0.863318816375563,1.05509257684017,1.26451830402664,1.49057068488907,1.73235672886538,1.98912251229555,2.26024436099741,2.54521023561068,2.84359585401818,3.15503906024514,3.47921505275941,3.81581422981321,4.1645237158031,4.5250130294336,4.89692389722662,5.27986390618716,5.67340348958131,6.07707565172103,6.49037781702633,6.91277522376544,7.34370535078972,7.78258294330341,8.22880529357676,8.6817575083916,9.14081757099458,9.60536106516198,10.0747654791874,10.5484140467255,11.0256991107941,11.5060250183762,11.9888105674454,12.4734910373872,12.9595198386281,13.4463698196189,13.9335342690676,14.4205276499696,14.9068860996265,15.3921677270926,15.8759527364383,16.3578434012632,16.8374639129469,17.3144601224834,17.788499193275,18.2592691799441,18.7264785464478,19.1898556349849,19.6491480954668,20.1041222842585,20.5545626396906,21.0002710407481,21.4410661545078,21.8767827772131,22.3072711731495,22.7323964148346,23.1520854535947,23.5667775836657,23.9776170845306,24.386143724704,24.7940580565887,25.203074737774,25.6148333925422,26.030846970883,26.4524742423263,26.880907673593,27.317171003865,27.7621226478376,28.2164625689091,28.6807410274001,29.1553682262588,29.6406242399696,30.1366688747374,30.6435512575097,31.1612190316846,31.6895271397135,32.2282462010609,32.7770704686969,33.3356254056309,33.9034749215244,34.4801282816861,35.065046716705,35.6576497329502,36.2573211676921,36.8634149848796,37.4752608010486,38.0921691687581,38.7134365912013,39.338350280327,39.9661926479638,40.5962455221208,41.2277940847062,41.8601305344904,42.4925574511572,43.1243908785428,43.7549631167965,44.3836252260685,45.0097492452784,45.6327301307047,46.2519874210638,46.8669666379364,47.477140431368,48.0820094822166,48.6811031730713,49.2739800495271,49.8602280516807,50.4394646034784,51.011336500324,51.5755196409968,52.1317186227977,52.679666210225,53.2191226926235,53.7498751448138,54.2717366264623,54.7845452393636,55.2881631985765,55.7824758589451,56.2673906741266,56.7428361357171,57.2087607029678,57.6651317239244,58.1119343558451,58.5491704921099,58.9768577008091,59.3950281812429,59.8037277371741,60.2030147798806,60.5929593874943,60.9736423411959,61.345154224222,61.707594558037
3,0,1,1,0,0,2335.27250675705,0,2.00462461917695e-07,7.93126787842845e-07,1.83687105717128e-06,3.47797062819179e-06,5.96149247944187e-06,9.66579382533634e-06,1.51628093507014e-05,2.33131015850052e-05,3.54114274803654e-05,5.34073393736856e-05,8.02375579381738e-05,0.000120323165963252,0.000180306801181992,0.000270129652507656,0.000404569965230331,0.000604335346688431,0.000887802767634607,0.00126401938606989,0.00173547771776928,0.00230072145338411,0.0029560910748068,0.0036968809073328,0.00451808941123802,0.00541488669823604,0.00638288220003212,0.00741825197615745,0.00851776759473791,0.00967875837475427,0.0108990316748568,0.0121767706454313,0.013510424471781,0.014898602297411,0.0163399783539394,0.0178332128537664,0.0193768906186657,0.0209694774594643,0.0226092929956569,0.0242944977479841,0.0260230919599129,0.0277929235156424,0.0296017024726869,0.0314470200179233,0.0333263699888085,0.0352371714863089,0.0371767914310162,0.0391425662393086,0.0411318220526165,0.0431418931678435,0.0451701384845251,0.0472139559100714,0.0492707947549519,0.0513381662112851,0.0534136520474531,0.0554949116721011,0.0575796877308653,0.0596658103981079,0.0617512005201631,0.0638338717565032,0.0659119318534562,0.0679835831720415,0.0700471225788302,0.0721009407961285,0.0741435212964689,0.0761734388158119,0.0781893575499467,0.0801900290909721,0.0821742901530676,0.0841410601293852,0.0860893385173563,0.088018202244525,0.0899268029223429,0.0918143640517819,0.0936801782017029,0.0955236041778066,0.0973440641972105,0.0991412454528244,0.100917029078759,0.102676315078226,0.104425697007064,0.106172456925611,0.107923937295056,0.109687159270956,0.111468601567576,0.11327408267171,0.115108708932682,0.116976864179225,0.118882224291952,0.120827786635537,0.12281590752011,0.124848343505842,0.126926293920252,0.129050443081228,0.131221001358877,0.13343774455315,0.135700051502466,0.138006939959586,0.140357100662699,0.142748929779452,0.145180559895379,0.147649889599417,0.150154611787503,0.152692240685228,0.155260137776916,0.157855536624146,0.160475566528652,0.163117275156913,0.165777650013585,0.168453638816608,0.17114216872897,0.173840164413647,0.176544564895589,0.179252339247168,0.18196050099363,0.184666121316054,0.187366341007872,0.190058381196093,0.192739552842459,0.195407265044811,0.198059032167259,0.200692479837041,0.203305349850186,0.205895504035527,0.208460927127685,0.210999728742331,0.213510144367491,0.215990535746148,0.21843939039496,0.220855320456289,0.223237060964541,0.225583467570947,0.227893513792908,0.230166287847875,0.232400989224914,0.234596924647832,0.236753504097612,0.238870236643813,0.240946725986943,0.242982665915613,0.2449778357234,0.24693209558897,0.24884538195313,0.25071770292366,0.252549133730171,0.25433981225565,0.256089934639754,0.257799751009707,0.259469561452223,0.261099711886329,0.262690590205155,0.264242622576873
4,0,1,1,0,1,2335.27250675705,0,2.00462461917695e-07,7.93126787842845e-07,1.83687105717128e-06,3.47797062819179e-06,5.96149247944187e-06,9.66579382533634e-06,1.51628093507014e-05,2.33131015850052e-05,3.54114274803654e-05,5.34073393736856e-05,8.02375579381738e-05,0.000120323165963252,0.000180306801181992,0.000270129652507656,0.000404569965230331,0.000604335346688431,0.000887802767634607,0.00126401938606989,0.00173547771776928,0.00230072145338411,0.0029560910748068,0.0036968809073328,0.00451808941123802,0.00541488669823604,0.00638288220003212,0.00741825197615745,0.00851776759473791,0.00967875837475427,0.0108990316748568,0.0121767706454313,0.013510424471781,0.014898602297411,0.0163399783539394,0.0178332128537664,0.0193768906186657,0.0209694774594643,0.0226092929956569,0.0242944977479841,0.0260230919599129,0.0277929235156424,0.0296017024726869,0.0314470200179233,0.0333263699888085,0.0352371714863089,0.0371767914310162,0.0391425662393086,0.0411318220526165,0.0431418931678435,0.0451701384845251,0.0472139559100714,0.0492707947549519,0.0513381662112851,0.0534136520474531,0.0554949116721011,0.0575796877308653,0.0596658103981079,0.0617512005201631,0.0638338717565032,0.0659119318534562,0.0679835831720415,0.0700471225788302,0.0721009407961285,0.0741435212964689,0.0761734388158119,0.0781893575499467,0.0801900290909721,0.0821742901530676,0.0841410601293852,0.0860893385173563,0.088018202244525,0.0899268029223429,0.0918143640517819,0.0936801782017029,0.0955236041778066,0.0973440641972105,0.0991412454528244,0.100917029078759,0.102676315078226,0.104425697007064,0.106172456925611,0.107923937295056,0.109687159270956,0.111468601567576,0.11327408267171,0.115108708932682,0.116976864179225,0.118882224291952,0.120827786635537,0.12281590752011,0.124848343505842,0.126926293920252,0.129050443081228,0.131221001358877,0.13343774455315,0.135700051502466,0.138006939959586,0.140357100662699,0.142748929779452,0.145180559895379,0.147649889599417,0.150154611787503,0.152692240685228,0.155260137776916,0.157855536624146,0.160475566528652,0.163117275156913,0.165777650013585,0.168453638816608,0.17114216872897,0.173840164413647,0.176544564895589,0.179252339247168,0.18196050099363,0.184666121316054,0.187366341007872,0.190058381196093,0.192739552842459,0.195407265044811,0.198059032167259,0.200692479837041,0.203305349850186,0.205895504035527,0.208460927127685,0.210999728742331,0.213510144367491,0.215990535746148,0.21843939039496,0.220855320456289,0.223237060964541,0.225583467570947,0.227893513792908,0.230166287847875,0.232400989224914,0.234596924647832,0.236753504097612,0.238870236643813,0.240946725986943,0.242982665915613,0.2449778357234,0.24693209558897,0.24884538195313,0.25071770292366,0.252549133730171,0.25433981225565,0.256089934639754,0.257799751009707,0.259469561452223,0.261099711886329,0.262690590205155,0.264242622576873
5,0,2,0,0,0,527895.493723415,0,0.000300671573400686,0.0011744783805323,0.00267071715848484,0.00495038743663852,0.00830066178960303,0.0131784334928204,0.0202866677131229,0.0306952283839278,0.0460265129162886,0.0687375229764585,0.102545856723896,0.153068456466314,0.228771261161117,0.342361465196703,0.512786245876026,0.766693838330986,1.12796683074105,1.60879175770755,2.21315418823827,2.94010913512427,3.78595921388101,4.74569206774528,5.81390914742922,6.98540200318632,8.25547926130126,9.62011776823143,11.0759896713994,12.6204050757998,14.2512015651115,15.9666056607977,17.7650859434123,19.6452126981551,21.6055341310859,23.6444752038971,25.7602616063305,27.9508686826359,30.2139932897786,32.5470453837601,34.9471556224063,37.411195172583,39.9358041490446,42.5174255489797,45.1523420411032,47.8367135339049,50.566613925114,53.3380659087195,56.1470730883575,58.989648956474,61.8618425389651,64.7597606835657,67.6795870968896,70.6175983192142,73.5701768775436,76.5338218819088,79.5051573393951,82.4809384534421,85.4580561630535,88.4335401575355,91.4045605814642,94.3684286221262,97.322596150345,100.264654564656,103.192332970187,106.103495806354,108.996140021464,111.868391880096,114.718503476871,117.544849018612,120.345920929776,123.120325827893,125.866780408608,128.584107274432,131.271230736876,133.927172616963,136.551048065045,139.142074002608,141.699686848531,144.223607172618,146.713785533703,149.170367514628,151.593674224319,153.984188148569,156.342539573255,158.669491687119,160.965924029344,163.232814604402,165.471221274853,167.682263075473,169.867101986128,172.026925598771,174.162930998105,176.276309999877,178.368235943832,180.439851999927,182.492261006487,184.526516772185,186.543616781715,188.544496259491,190.530023393555,192.500995701066,194.458137457738,196.402098067706,198.333451278917,200.252695184802,202.160252915133,204.056473960808,205.941636057649,207.815947545921,209.679550161878,211.53252218961,213.374881921605,215.206591360834,217.027560134305,218.837649544792,220.636676726595,222.42441885981,224.20061740179,225.964982298988,227.717196145228,229.456918256007,231.183788631691,232.897431785962,234.597460434905,236.283479002294,237.955086837568,239.611881434822,241.253461338797,242.879428834475,244.489392433861,246.082969151089,247.659786564629,249.219484669376,250.761717486666,252.286154613905,253.792482417102,255.280405055549,256.749645422975,258.199945876133,259.631068802296,261.042797043486,262.434934185096,263.807304718166,265.159754085084,266.492148619491,267.804375387012,269.096341944118,270.367976019037,271.619225119588,272.850056079741,274.060454554358
6,0,2,0,0,1,527895.493723415,0,0.000300671573400686,0.0011744783805323,0.00267071715848484,0.00495038743663852,0.00830066178960303,0.0131784334928204,0.0202866677131229,0.0306952283839278,0.0460265129162886,0.0687375229764585,0.102545856723896,0.153068456466314,0.228771261161117,0.342361465196703,0.512786245876026,0.766693838330986,1.12796683074105,1.60879175770755,2.21315418823827,2.94010913512427,3.78595921388101,4.74569206774528,5.81390914742922,6.98540200318632,8.25547926130126,9.62011776823143,11.0759896713994,12.6204050757998,14.2512015651115,15.9666056607977,17.7650859434123,19.6452126981551,21.6055341310859,23.6444752038971,25.7602616063305,27.9508686826359,30.2139932897786,32.5470453837601,34.9471556224063,37.411195172583,39.9358041490446,42.5174255489797,45.1523420411032,47.8367135339049,50.566613925114,53.3380659087195,56.1470730883575,58.989648956474,61.8618425389651,64.7597606835657,67.6795870968896,70.6175983192142,73.5701768775436,76.5338218819088,79.5051573393951,82.4809384534421,85.4580561630535,88.4335401575355,91.4045605814642,94.3684286221262,97.322596150345,100.264654564656,103.192332970187,106.103495806354,108.996140021464,111.868391880096,114.718503476871,117.544849018612,120.345920929776,123.120325827893,125.866780408608,128.584107274432,131.271230736876,133.927172616963,136.551048065045,139.142074002608,141.699686848531,144.223607172618,146.713785533703,149.170367514628,151.593674224319,153.984188148569,156.342539573255,158.669491687119,160.965924029344,163.232814604402,165.471221274853,167.682263075473,169.867101986128,172.026925598771,174.162930998105,176.276309999877,178.368235943832,180.439851999927,182.492261006487,184.526516772185,186.543616781715,188.544496259491,190.530023393555,192.500995701066,194.458137457738,196.402098067706,198.333451278917,200.252695184802,202.160252915133,204.056473960808,205.941636057649,207.815947545921,209.679550161878,211.53252218961,213.374881921605,215.206591360834,217.027560134305,218.837649544792,220.636676726595,222.42441885981,224.20061740179,225.964982298988,227.717196145228,229.456918256007,231.183788631691,232.897431785962,234.597460434905,236.283479002294,237.955086837568,239.611881434822,241.253461338797,242.879428834475,244.489392433861,246.082969151089,247.659786564629,249.219484669376,250.761717486666,252.286154613905,253.792482417102,255.280405055549,256.749645422975,258.199945876133,259.631068802296,261.042797043486,262.434934185096,263.807304718166,265.159754085084,266.492148619491,267.804375387012,269.096341944118,270.367976019037,271.619225119588,272.850056079741,274.060454554358
7,0,2,1,0,0,171228.02725029,0,0.000195051486423995,0.000761906924903692,0.00173254606575769,0.00321141242908335,0.00538480043874088,0.00854910563190775,0.013160355158554,0.0199125905209216,0.0298582924142,0.0445913655156038,0.0665234879187024,0.0992984791368804,0.148408358116058,0.22209652853322,0.332654392115109,0.497369176298178,0.731733979652972,1.04365444374534,1.43571608456012,1.9073058705504,2.45602523662592,3.07862256965248,3.77159572590822,4.53156588293402,5.35548965552989,6.24075714589365,7.18520951145668,8.18710176511169,9.24503110541344,10.3578470424077,11.5245561145711,12.7442308381586,14.0159294062584,15.338630060945,16.7111817727105,18.132271108066,19.6004039734155,21.1139001569382,22.670898260665,24.2693685498033,25.907131401571,27.5818793191943,29.2912007977063,31.0326046951989,32.8035440729138,34.6014387752327,36.4236962622546,38.2677304091416,40.1309781422945,42.0109138982635,43.9050619734456,45.8110068872373,47.7264019146824,49.6489759604972,51.5765389525419,53.5069859282985,55.4382999795442,57.3685542080711,59.2959128317315,61.2186315655217,63.1350573885798,65.0436277943787,66.9428696093319,68.8313974538315,70.7079119093599,72.571197447377,74.4201201677309,76.2536253868285,78.0707351111487,79.8705454264345,81.6522238282382,83.4150065159535,85.1581956695755,86.8811567254128,88.5833156643216,90.2641644880695,91.9233375906412,93.5606537002453,95.1760807434364,96.7697131626321,98.3417592674247,99.8925320557155,101.422440406187,102.931979414192,104.421719653873,105.892295575715,107.344393435698,108.778739173404,110.196086587728,111.597206092625,112.982874260179,114.353864244402,115.710937213564,117.054834764206,118.386272328961,119.705933533971,121.014465466919,122.312474826039,123.600524821767,124.879132818967,126.148768669352,127.409853653993,128.66275997432,129.907810753212,131.145280483165,132.375395885708,133.598337133464,134.814239380803,136.023194574786,137.225253499824,138.420428022606,139.608693493723,140.78999128646,141.964231425236,143.13129528152,144.291038307714,145.443292782185,146.587870541567,147.724565678312,148.853157183768,149.973411519184,151.085085099299,152.187926685516,153.28167965986,154.366084112534,155.440878930144,156.50580368087,157.560600359259,158.605014999449,159.638799151075,160.66171121706,161.673517655104,162.673994022131,163.662925979565,164.640110066947,165.605354366668,166.558479114509,167.499317172296,168.427714396038,169.343529911141,170.246636299637,171.136919705454,172.014279864072,172.878630063527,173.729897041098,174.568020826873,175.392954536752,176.204664118036,177.003128055278,177.78833704251
8,0,2,1,0,1,171228.02725029,0,0.000195051486423995,0.000761906924903692,0.00173254606575769,0.00321141242908335,0.00538480043874088,0.00854910563190775,0.013160355158554,0.0199125905209216,0.0298582924142,0.0445913655156038,0.0665234879187024,0.0992984791368804,0.148408358116058,0.22209652853322,0.332654392115109,0.497369176298178,0.731733979652972,1.04365444374534,1.43571608456012,1.9073058705504,2.45602523662592,3.07862256965248,3.77159572590822,4.53156588293402,5.35548965552989,6.24075714589365,7.18520951145668,8.18710176511169,9.24503110541344,10.3578470424077,11.5245561145711,12.7442308381586,14.0159294062584,15.338630060945,16.7111817727105,18.132271108066,19.6004039734155,21.1139001569382,22.670898260665,24.2693685498033,25.907131401571,27.5818793191943,29.2912007977063,31.0326046951989,32.8035440729138,34.6014387752327,36.4236962622546,38.2677304091416,40.1309781422945,42.0109138982635,43.9050619734456,45.8110068872373,47.7264019146824,49.6489759604972,51.5765389525419,53.5069859282985,55.4382999795442,57.3685542080711,59.2959128317315,61.2186315655217,63.1350573885798,65.0436277943787,66.9428696093319,68.8313974538315,70.7079119093599,72.571197447377,74.4201201677309,76.2536253868285,78.0707351111487,79.8705454264345,81.6522238282382,83.4150065159535,85.1581956695755,86.8811567254128,88.5833156643216,90.2641644880695,91.9233375906412,93.5606537002453,95.1760807434364,96.7697131626321,98.3417592674247,99.8925320557155,101.422440406187,102.931979414192,104.421719653873,105.892295575715,107.344393435698,108.778739173404,110.196086587728,111.597206092625,112.982874260179,114.353864244402,115.710937213564,117.054834764206,118.386272328961,119.705933533971,121.014465466919,122.312474826039,123.600524821767,124.879132818967,126.148768669352,127.409853653993,128.66275997432,129.907810753212,131.145280483165,132.375395885708,133.598337133464,134.814239380803,136.023194574786,137.225253499824,138.420428022606,139.608693493723,140.78999128646,141.964231425236,143.13129528152,144.291038307714,145.443292782185,146.587870541567,147.724565678312,148.853157183768,149.973411519184,151.085085099299,152.187926685516,153.28167965986,154.366084112534,155.440878930144,156.50580368087,157.560600359259,158.605014999449,159.638799151075,160.66171121706,161.673517655104,162.673994022131,163.662925979565,164.640110066947,165.605354366668,166.558479114509,167.499317172296,168.427714396038,169.343529911141,170.246636299637,171.136919705454,172.014279864072,172.878630063527,173.729897041098,174.568020826873,175.392954536752,176.204664118036,177.003128055278,177.78833704251
9,11,2,0,0,0,146.0605932,0,8.29608249666278e-08,3.21597640782279e-07,7.23032073079364e-07,1.32156884520569e-06,2.18173062189049e-06,3.40818942627541e-06,5.16344161864349e-06,7.69594191653745e-06,1.1383451643467e-05,1.67990232321074e-05,2.48108023245046e-05,3.67319309964426e-05,5.45439334603779e-05,8.12253368213482e-05,0.000121225912166966,0.000180833821748228,0.000265861078218818,0.000379643378551741,0.000523801104382416,0.000698933164606333,0.000905063770102027,0.00114192859234326,0.00140915497792888,0.00170637130295386,0.00203326749535561,0.00238962167666586,0.00277530300044223,0.00319025826074108,0.00363448824246,0.00410801866961823,0.00461086965017904,0.00514302661943382,0.00570441485522709,0.00629487884292331,0.00691416705018924,0.00756192210859302,0.00823767601027934,0.00894084967147588,0.00967075609836189,0.010426606359889,0.0112075176128267,0.0120125225078446,0.012840579402163,0.0136905829177101,0.01456137447954,0.0154517525663108,0.0163604824813468,0.0172863055178457,0.0182279474430844,0.0191841262656725,0.0201535592788526,0.0211349693933648,0.0221270907873146,0.0231286739090141,0.0241384898739162,0.0251553342987162,0.026178030615985,0.0272054329116159,0.0282364283255566,0.0292699390539709,0.0303049239885212,0.0313403800258756,0.032375343078129,0.033408888812475,0.0344401331461218,0.0354682325206859,0.0364923839784093,0.037511825060434,0.038525833546253,0.0395337270519757,0.0405348625035282,0.0415286354997064,0.0425144795790948,0.0434918654036519,0.0444602998705076,0.0454193251719174,0.0463685183909911,0.0473074937588194,0.048235907535253,0.0491534628817222,0.0500599132288864,0.0509550636989204,0.0518387706798155,0.0527109398769387,0.0535715232338806,0.0544205150825167,0.0552579478429252,0.0560838875208269,0.0568984291899543,0.0577016925953021,0.0584938179723951,0.0592749621307747,0.0600452948526881,0.0608049956083077,0.0615542505949633,0.0622932500897383,0.0630221861073084,0.063741250354769,0.064450632444497,0.0651505183626005,0.0658410891778228,0.066522519967455,0.0671949789399238,0.0678586267427136,0.0685136159367774,0.0691600906251517,0.0697981862216119,0.0704280293414734,0.0710497378057767,0.0716634207443568,0.0722691787869558,0.0728671043277174,0.0734572818585386,0.0740397883542396,0.0746146937032141,0.0751820611738339,0.0757419479078347,0.0762944054328287,0.0768394801866172,0.0773772140466722,0.0779076448587741,0.078430806959462,0.0789467316899645,0.0794554478930395,0.0799569823777532,0.0804513603898778,0.0809386060440891,0.0814187427296981,0.0818917934905607,0.0823577813774928,0.0828167297721672,0.0832686626822356,0.0837136050017781,0.0841515827660403,0.0845826233520906,0.0850067556551284,0.0854240102532843,0.0858344195407375,0.0862380178364284,0.0866348414709121,0.0870249288524858,0.0874083205137533,0.0877850591399884,0.0881551895808506,0.0885187588464605,0.0888758160902386,0.0892264125785908,0.0895706016497873,0.089908438662137,0.0902399809334487
10,11,2,0,0,1,146.0605932,0,8.29608249666278e-08,3.21597640782279e-07,7.23032073079364e-07,1.32156884520569e-06,2.18173062189049e-06,3.40818942627541e-06,5.16344161864349e-06,7.69594191653745e-06,1.1383451643467e-05,1.67990232321074e-05,2.48108023245046e-05,3.67319309964426e-05,5.45439334603779e-05,8.12253368213482e-05,0.000121225912166966,0.000180833821748228,0.000265861078218818,0.000379643378551741,0.000523801104382416,0.000698933164606333,0.000905063770102027,0.00114192859234326,0.00140915497792888,0.00170637130295386,0.00203326749535561,0.00238962167666586,0.00277530300044223,0.00319025826074108,0.00363448824246,0.00410801866961823,0.00461086965017904,0.00514302661943382,0.00570441485522709,0.00629487884292331,0.00691416705018924,0.00756192210859302,0.00823767601027934,0.00894084967147588,0.00967075609836189,0.010426606359889,0.0112075176128267,0.0120125225078446,0.012840579402163,0.0136905829177101,0.01456137447954,0.0154517525663108,0.0163604824813468,0.0172863055178457,0.0182279474430844,0.0191841262656725,0.0201535592788526,0.0211349693933648,0.0221270907873146,0.0231286739090141,0.0241384898739162,0.0251553342987162,0.026178030615985,0.0272054329116159,0.0282364283255566,0.0292699390539709,0.0303049239885212,0.0313403800258756,0.032375343078129,0.033408888812475,0.0344401331461218,0.0354682325206859,0.0364923839784093,0.037511825060434,0.038525833546253,0.0395337270519757,0.0405348625035282,0.0415286354997064,0.0425144795790948,0.0434918654036519,0.0444602998705076,0.0454193251719174,0.0463685183909911,0.0473074937588194,0.048235907535253,0.0491534628817222,0.0500599132288864,0.0509550636989204,0.0518387706798155,0.0527109398769387,0.0535715232338806,0.0544205150825167,0.0552579478429252,0.0560838875208269,0.0568984291899543,0.0577016925953021,0.0584938179723951,0.0592749621307747,0.0600452948526881,0.0608049956083077,0.0615542505949633,0.0622932500897383,0.0630221861073084,0.063741250354769,0.064450632444497,0.0651505183626005,0.0658410891778228,0.066522519967455,0.0671949789399238,0.0678586267427136,0.0685136159367774,0.0691600906251517,0.0697981862216119,0.0704280293414734,0.0710497378057767,0.0716634207443568,0.0722691787869558,0.0728671043277174,0.0734572818585386,0.0740397883542396,0.0746146937032141,0.0751820611738339,0.0757419479078347,0.0762944054328287,0.0768394801866172,0.0773772140466722,0.0779076448587741,0.078430806959462,0.0789467316899645,0.0794554478930395,0.0799569823777532,0.0804513603898778,0.0809386060440891,0.0814187427296981,0.0818917934905607,0.0823577813774928,0.0828167297721672,0.0832686626822356,0.0837136050017781,0.0841515827660403,0.0845826233520906,0.0850067556551284,0.0854240102532843,0.0858344195407375,0.0862380178364284,0.0866348414709121,0.0870249288524858,0.0874083205137533,0.0877850591399884,0.0881551895808506,0.0885187588464605,0.0888758160902386,0.0892264125785908,0.0895706016497873,0.089908438662137,0.0902399809334487
