"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,107.554801922555,207.110555514027,327.259933658945,493.417897377745,735.94106895301,1097.06674246072,1638.9712327876,2454.73451416873,3684.03708748581,5535.66274391894,8318.98143002566,12485.7742270334,18680.634905488,27789.6200194831,40958.301642302,34217.912948521,29517.0123158516,26268.6946740819,24072.6466680295,22652.068818932,21810.9531285572,21405.323433059,21324.335521744,21478.4746882544,21792.8738315105,22204.0935371731,22658.9652646001,23114.3530137926,23537.028270495,23903.2193965311,24197.708200747,24412.5552116001,24545.6265631174,24599.102562557,24578.1099326338,24489.5625582596,24341.2454602665,24141.1381436353,23896.9505238254,23615.8336244785,23304.2246819088,22967.7896134734,22611.4311502671,22239.3378787978,21855.0553574668,21461.5662578419,21061.3707995117,20656.5621621926,20248.8940295212,19839.8391112758,19430.6385883147,19022.3430796376,18615.8460752151,18211.9109037077,17811.1923124679,17414.2536512613,17021.5805368364,16633.5917424314,16250.6479284844,15873.0587099143,15501.088452752,15134.9611034726,14774.8642840123,14420.9528266674,14073.3518771977,13732.1596619843,13397.4499870819,13069.2745166704,12747.6648666559,12432.6345376705,12124.1807046779,11822.2858759315,11526.9194309447,11238.0390449078,10955.5920057828,15126.1293054291,18293.6908336592,20770.3374413328,22762.5959827933,24407.6787434325,25796.9942996205,26991.5000933365,28031.7864893178,28944.7444185793,29747.9960220827,30452.8833619604,31066.5031389691,31593.1204823268,32035.1725484997,32393.995541591,32670.3618736633,32864.8785488522,32978.2803906218,33011.6378820745,32966.4956121014,32844.9503476174,32649.6801916707,32383.9337419702,32051.4877426723,31656.5823431613,31203.8410443959,30698.1826254468,30144.7303011135,29548.7227103822,28915.430057728,28250.0776940153,27557.7787946623,26843.4765892171,26111.8967976124,25367.5098067111,24614.5019904371,23856.7556665847,23097.8367212504,22340.9890172396,21589.1346782005,20844.8790967052,20110.5203312185,19388.0614011142,18679.2252111901,17985.4712750299,17308.0136336745,16647.8395224087,16005.7282810109,15382.2702259659,14777.885129164,14192.8400953765,13627.2666754198,13081.17702465,12554.4790912636,12046.9907234969,11558.4526834468,11088.5405726722,10636.8756871681,10203.0347952755,9786.55895059886,9386.96133051942,9003.73418438475,8636.35495392973,8284.29161904408,7947.00733863833,7623.96444751997,7314.62786804626,7018.46799597179,6734.96311455726,6463.60138812846,6203.88248321897,5955.31886119947,5717.43678289501,5489.77706216101,5271.89560181516
2,0,1,0,0,1,818021.22396571,0,107.554801922555,207.110555514027,327.259933658945,493.417897377745,735.94106895301,1097.06674246072,1638.9712327876,2454.73451416873,3684.03708748581,5535.66274391894,8318.98143002566,12485.7742270334,18680.634905488,27789.6200194831,40958.301642302,34217.912948521,29517.0123158516,26268.6946740819,24072.6466680295,22652.068818932,21810.9531285572,21405.323433059,21324.335521744,21478.4746882544,21792.8738315105,22204.0935371731,22658.9652646001,23114.3530137926,23537.028270495,23903.2193965311,24197.708200747,24412.5552116001,24545.6265631174,24599.102562557,24578.1099326338,24489.5625582596,24341.2454602665,24141.1381436353,23896.9505238254,23615.8336244785,23304.2246819088,22967.7896134734,22611.4311502671,22239.3378787978,21855.0553574668,21461.5662578419,21061.3707995117,20656.5621621926,20248.8940295212,19839.8391112758,19430.6385883147,19022.3430796376,18615.8460752151,18211.9109037077,17811.1923124679,17414.2536512613,17021.5805368364,16633.5917424314,16250.6479284844,15873.0587099143,15501.088452752,15134.9611034726,14774.8642840123,14420.9528266674,14073.3518771977,13732.1596619843,13397.4499870819,13069.2745166704,12747.6648666559,12432.6345376705,12124.1807046779,11822.2858759315,11526.9194309447,11238.0390449078,10955.5920057828,15126.1293054291,18293.6908336592,20770.3374413328,22762.5959827933,24407.6787434325,25796.9942996205,26991.5000933365,28031.7864893178,28944.7444185793,29747.9960220827,30452.8833619604,31066.5031389691,31593.1204823268,32035.1725484997,32393.995541591,32670.3618736633,32864.8785488522,32978.2803906218,33011.6378820745,32966.4956121014,32844.9503476174,32649.6801916707,32383.9337419702,32051.4877426723,31656.5823431613,31203.8410443959,30698.1826254468,30144.7303011135,29548.7227103822,28915.430057728,28250.0776940153,27557.7787946623,26843.4765892171,26111.8967976124,25367.5098067111,24614.5019904371,23856.7556665847,23097.8367212504,22340.9890172396,21589.1346782005,20844.8790967052,20110.5203312185,19388.0614011142,18679.2252111901,17985.4712750299,17308.0136336745,16647.8395224087,16005.7282810109,15382.2702259659,14777.885129164,14192.8400953765,13627.2666754198,13081.17702465,12554.4790912636,12046.9907234969,11558.4526834468,11088.5405726722,10636.8756871681,10203.0347952755,9786.55895059886,9386.96133051942,9003.73418438475,8636.35495392973,8284.29161904408,7947.00733863833,7623.96444751997,7314.62786804626,7018.46799597179,6734.96311455726,6463.60138812846,6203.88248321897,5955.31886119947,5717.43678289501,5489.77706216101,5271.89560181516
3,0,1,1,0,0,2335.27250675705,0,0.307045544224134,0.591255546899309,0.934255864330615,1.40860067725629,2.10095153349151,3.13188671233478,4.67890605666614,7.00773262891057,10.5171238498814,15.8031119900321,23.748880895266,35.6441671972916,53.3291457794509,79.3333152043554,116.927034343964,97.6846920424607,84.264644147799,74.9914044569465,68.7221654912496,64.6667249995924,62.2655228190284,61.1075383461695,60.8763354908735,61.3163692543268,62.213910361921,63.3878530968237,64.6864128505813,65.9864457341386,67.1930915733239,68.2384875163593,69.0791889405829,69.692530383207,70.0724201214324,70.2250824578169,70.1651530695958,69.9123695930019,69.4889565676698,68.9176937431377,68.2205912495522,67.4180637025931,66.5284880105166,65.5680391338759,64.5507133025955,63.4884680192776,62.3914250812703,61.2680993665562,60.1256284577492,58.9699879272429,57.8061841600335,56.6384214219212,55.4702430140445,54.3046482249219,53.1441877739023,51.9910407981302,50.8470764587552,49.7139029967136,48.5929067421009,47.4852832013433,46.3920619814737,45.3141269656805,44.252232861428,43.2070189871485,42.1790209626235,41.168680800351,40.1763557642303,39.2023262691951,38.2468030154637,37.3099334930218,36.3918079583986,35.4924649529596,34.6118964118412,33.7500523999148,32.9068455023574,32.0821548910517,31.2758300846047,43.1818061264649,52.2245046942065,59.2947915796917,64.9822559900523,69.678609128222,73.6448025795935,77.0548565702512,80.0246477547772,82.6309438869172,84.9240523426809,86.936352240228,88.6881031152284,90.1914809830576,91.4534433948447,92.477804922405,93.2667706340194,93.8220733943467,94.1458109644018,94.2410393403921,94.1121679873363,93.765182718299,93.207728934445,92.4490806749961,91.5000197223011,90.3726507797483,89.0801729360137,87.6366282344993,86.0566423381057,84.3551704206588,82.5472577685824,80.6478216210073,78.6714589805864,76.6322816915114,74.5437806553756,72.4187178534447,70.2690444718755,68.1058436827687,65.9392953146171,63.7786598895236,61.6322794343419,59.5075917776566,57.4111573760853,55.348694413872,53.3251214091287,51.3446049553926,49.4106108755324,47.5259575113594,45.6928697082747,43.9130326913273,42.1876448178774,40.5174686138965,38.9028796283266,37.3439125620628,35.8403046272467,34.3915358202477,32.9968660732904,31.6553692994487,30.3659643812339,29.1274430844001,27.9384952169024,26.7977310061487,25.7037009345661,24.6549132120716,23.649849037074,22.686975845136,21.7647587191857,20.8816701290423,20.036198169883,19.2268534539975,18.4521748019656,17.7107338706657,17.0011388434511,16.3220372981128,15.6721183581754,15.0501142228657
4,0,1,1,0,1,2335.27250675705,0,0.307045544224134,0.591255546899309,0.934255864330615,1.40860067725629,2.10095153349151,3.13188671233478,4.67890605666614,7.00773262891057,10.5171238498814,15.8031119900321,23.748880895266,35.6441671972916,53.3291457794509,79.3333152043554,116.927034343964,97.6846920424607,84.264644147799,74.9914044569465,68.7221654912496,64.6667249995924,62.2655228190284,61.1075383461695,60.8763354908735,61.3163692543268,62.213910361921,63.3878530968237,64.6864128505813,65.9864457341386,67.1930915733239,68.2384875163593,69.0791889405829,69.692530383207,70.0724201214324,70.2250824578169,70.1651530695958,69.9123695930019,69.4889565676698,68.9176937431377,68.2205912495522,67.4180637025931,66.5284880105166,65.5680391338759,64.5507133025955,63.4884680192776,62.3914250812703,61.2680993665562,60.1256284577492,58.9699879272429,57.8061841600335,56.6384214219212,55.4702430140445,54.3046482249219,53.1441877739023,51.9910407981302,50.8470764587552,49.7139029967136,48.5929067421009,47.4852832013433,46.3920619814737,45.3141269656805,44.252232861428,43.2070189871485,42.1790209626235,41.168680800351,40.1763557642303,39.2023262691951,38.2468030154637,37.3099334930218,36.3918079583986,35.4924649529596,34.6118964118412,33.7500523999148,32.9068455023574,32.0821548910517,31.2758300846047,43.1818061264649,52.2245046942065,59.2947915796917,64.9822559900523,69.678609128222,73.6448025795935,77.0548565702512,80.0246477547772,82.6309438869172,84.9240523426809,86.936352240228,88.6881031152284,90.1914809830576,91.4534433948447,92.477804922405,93.2667706340194,93.8220733943467,94.1458109644018,94.2410393403921,94.1121679873363,93.765182718299,93.207728934445,92.4490806749961,91.5000197223011,90.3726507797483,89.0801729360137,87.6366282344993,86.0566423381057,84.3551704206588,82.5472577685824,80.6478216210073,78.6714589805864,76.6322816915114,74.5437806553756,72.4187178534447,70.2690444718755,68.1058436827687,65.9392953146171,63.7786598895236,61.6322794343419,59.5075917776566,57.4111573760853,55.348694413872,53.3251214091287,51.3446049553926,49.4106108755324,47.5259575113594,45.6928697082747,43.9130326913273,42.1876448178774,40.5174686138965,38.9028796283266,37.3439125620628,35.8403046272467,34.3915358202477,32.9968660732904,31.6553692994487,30.3659643812339,29.1274430844001,27.9384952169024,26.7977310061487,25.7037009345661,24.6549132120716,23.649849037074,22.686975845136,21.7647587191857,20.8816701290423,20.036198169883,19.2268534539975,18.4521748019656,17.7107338706657,17.0011388434511,16.3220372981128,15.6721183581754,15.0501142228657
5,0,2,0,0,0,527895.493723415,0,56.0340453582732,108.111164460578,171.452398082459,259.700581080447,389.304174217255,583.286413646923,875.656326456716,1317.44495813004,1985.38488090686,2994.41166334685,4515.27077331855,6798.1684572526,10201.8911570724,15223.4957580158,22514.1290804774,18966.8140201392,16542.4750201887,14908.9577764292,13843.0511798009,13192.6488267,12851.3479658665,12741.5202503211,12803.330449101,12988.0178187442,13254.2400005796,13566.4720528816,13894.6081362536,14214.0665811076,14505.9073772846,14756.6979290335,14958.0565241393,15105.9327954259,15199.7406871946,15241.4629506354,15234.8212034001,15184.5685883765,15095.9296561735,14974.1870114378,14824.3991912905,14651.2268502078,14458.8423677581,14250.899868375,14030.5458659925,13800.455038396,13562.8793229824,13319.7021510891,13072.4923529449,12822.5544178056,12570.973353827,12318.6534616903,12066.3510296498,11814.7013710843,11564.2408417693,11315.4245508955,11068.6404825133,10824.2206861025,10582.4501193371,10343.5736383675,10107.8015467183,9875.31403415261,9646.26476903795,9420.78384848238,9198.98026368485,8980.94399870982,8766.74785008679,8556.44903274016,8350.09061875895,8147.70284160084,7949.30429020318,7754.90300950731,7564.49751893775,7378.07775719892,7195.62595950734,7017.11747175455,6842.52150519883,6793.48445772614,6744.21081339157,6712.39776883249,6705.7592169946,6726.4389094131,6773.57035409054,6844.73477467766,6936.76957923815,7046.19992794967,7169.4572435323,7302.98628923033,7443.29807933138,7587.00336623056,7730.84423162607,7871.73104446989,8006.78542201232,8133.385980344,8249.2120694334,8352.28050676564,8440.97137876094,8514.0403965994,8570.61721573842,8610.19078067233,8632.58332842487,8637.91608456567,8626.56931208172,8599.13976123197,8556.3978792961,8499.24674390542,8428.68419707215,8345.76901324071,8251.59170935515,8147.24994139768,8033.82853410854,7912.38373855208,7783.93122440216,7649.43737385137,7509.81339223053,7365.91171638423,7218.52431141512,7068.38237975136,6916.15730678065,6762.46235572832,6607.85500725117,6452.83969874672,6297.87082013933,6143.3558425849,5989.65848263983,5837.10184949648,5685.97150581794,5536.51841979456,5388.96178381412,5243.49167848772,5100.27158416708,4959.44073166662,4821.11629545702,4685.39543275306,4552.35717631136,4422.06418100634,4294.5643409807,4169.89227755262,4048.07070861932,3929.11170705858,3813.01785475421,3699.78329985497,3589.39472399256,3481.83222569367,3377.07012624004,3275.07770365304,3175.81986014206,3079.25772812848,2985.34921955039,2894.04952287372,2805.31155196842,2719.08635070581
6,0,2,0,0,1,527895.493723415,0,56.0340453582732,108.111164460578,171.452398082459,259.700581080447,389.304174217255,583.286413646923,875.656326456716,1317.44495813004,1985.38488090686,2994.41166334685,4515.27077331855,6798.1684572526,10201.8911570724,15223.4957580158,22514.1290804774,18966.8140201392,16542.4750201887,14908.9577764292,13843.0511798009,13192.6488267,12851.3479658665,12741.5202503211,12803.330449101,12988.0178187442,13254.2400005796,13566.4720528816,13894.6081362536,14214.0665811076,14505.9073772846,14756.6979290335,14958.0565241393,15105.9327954259,15199.7406871946,15241.4629506354,15234.8212034001,15184.5685883765,15095.9296561735,14974.1870114378,14824.3991912905,14651.2268502078,14458.8423677581,14250.899868375,14030.5458659925,13800.455038396,13562.8793229824,13319.7021510891,13072.4923529449,12822.5544178056,12570.973353827,12318.6534616903,12066.3510296498,11814.7013710843,11564.2408417693,11315.4245508955,11068.6404825133,10824.2206861025,10582.4501193371,10343.5736383675,10107.8015467183,9875.31403415261,9646.26476903795,9420.78384848238,9198.98026368485,8980.94399870982,8766.74785008679,8556.44903274016,8350.09061875895,8147.70284160084,7949.30429020318,7754.90300950731,7564.49751893775,7378.07775719892,7195.62595950734,7017.11747175455,6842.52150519883,6793.48445772614,6744.21081339157,6712.39776883249,6705.7592169946,6726.4389094131,6773.57035409054,6844.73477467766,6936.76957923815,7046.19992794967,7169.4572435323,7302.98628923033,7443.29807933138,7587.00336623056,7730.84423162607,7871.73104446989,8006.78542201232,8133.385980344,8249.2120694334,8352.28050676564,8440.97137876094,8514.0403965994,8570.61721573842,8610.19078067233,8632.58332842487,8637.91608456567,8626.56931208172,8599.13976123197,8556.3978792961,8499.24674390542,8428.68419707215,8345.76901324071,8251.59170935515,8147.24994139768,8033.82853410854,7912.38373855208,7783.93122440216,7649.43737385137,7509.81339223053,7365.91171638423,7218.52431141512,7068.38237975136,6916.15730678065,6762.46235572832,6607.85500725117,6452.83969874672,6297.87082013933,6143.3558425849,5989.65848263983,5837.10184949648,5685.97150581794,5536.51841979456,5388.96178381412,5243.49167848772,5100.27158416708,4959.44073166662,4821.11629545702,4685.39543275306,4552.35717631136,4422.06418100634,4294.5643409807,4169.89227755262,4048.07070861932,3929.11170705858,3813.01785475421,3699.78329985497,3589.39472399256,3481.83222569367,3377.07012624004,3275.07770365304,3175.81986014206,3079.25772812848,2985.34921955039,2894.04952287372,2805.31155196842,2719.08635070581
7,0,2,1,0,0,171228.02725029,0,18.1751864898043,35.0669055417537,55.6122494699157,84.2364041801378,126.274587572913,189.194609763022,284.027628784755,427.326059558371,643.978856671863,971.266487375584,1464.57190146295,2205.0519235165,3309.08241842832,4937.88861146057,7302.67629397182,6152.07022318918,5365.71233742749,4835.8651641633,4490.12801364053,4279.16369747464,4168.45945052769,4132.83576498039,4152.884502897,4212.78964385399,4299.14139253895,4400.41688929097,4506.85101288828,4610.47046020535,4705.13185511153,4786.47820479541,4851.79081954549,4899.75592345448,4930.18342366816,4943.71644477998,4941.56212959802,4925.26220615303,4896.51130814547,4857.02289966657,4808.43776633071,4752.26763665457,4689.86586244904,4622.41769444194,4550.94373496836,4476.31154172904,4399.25155247639,4320.37467644568,4240.18977894899,4159.11998373808,4077.51722373962,3995.67481765687,3913.83807492578,3832.21306560727,3750.97376190305,3670.26778289659,3590.22097498042,3510.9410416263,3432.52041162163,3355.03850643537,3278.56354005706,3203.15395878526,3128.85960644654,3055.72268130063,2983.77853570082,2913.0563568518,2843.57975701451,2775.36729440501,2708.43293987344,2642.78649993525,2578.4340040927,2515.3780618006,2453.61819281992,2393.15113367178,2333.97112217624,2276.07016153391,2219.43826511757,2203.53262280624,2187.5502380063,2177.23136821968,2175.07808949593,2181.78574845317,2197.07329000169,2220.15616055548,2250.00854272322,2285.50333848103,2325.48304515085,2368.7944871831,2414.30597819717,2460.91818283567,2507.57436367542,2553.2723688974,2597.07856711856,2638.14268702423,2675.71200325197,2709.14325130391,2737.91099648724,2761.6116416459,2779.96288207976,2792.79895197515,2800.06219218531,2801.7919234004,2798.11148761115,2789.21444655623,2775.35070228892,2756.8131768044,2733.92552984459,2707.03118517721,2676.48386255785,2642.63959735841,2605.85026301292,2566.45846480628,2524.79364505551,2481.16925920467,2435.88086554717,2389.20496024747,2341.39842487359,2292.6984320303,2243.32275208471,2193.47030291641,2143.32190878746,2093.04118886391,2042.77552892813,1992.65709620453,1942.80386568849,1893.32064098271,1844.30004710871,1795.82348803495,1747.96206093996,1700.77742031489,1654.32259259861,1608.64273865717,1563.77586516745,1519.7534860151,1476.60123624185,1434.33943856433,1392.98362791262,1352.5450340473,1313.03102573885,1274.44551894234,1236.78935111686,1200.06062415765,1164.2550181227,1129.36607777595,1095.38547397591,1062.30324175061,1030.10799679099,998.787132020676,968.326995768277,938.71305297776,909.930030805823,881.962049856942
8,0,2,1,0,1,171228.02725029,0,18.1751864898043,35.0669055417537,55.6122494699157,84.2364041801378,126.274587572913,189.194609763022,284.027628784755,427.326059558371,643.978856671863,971.266487375584,1464.57190146295,2205.0519235165,3309.08241842832,4937.88861146057,7302.67629397182,6152.07022318918,5365.71233742749,4835.8651641633,4490.12801364053,4279.16369747464,4168.45945052769,4132.83576498039,4152.884502897,4212.78964385399,4299.14139253895,4400.41688929097,4506.85101288828,4610.47046020535,4705.13185511153,4786.47820479541,4851.79081954549,4899.75592345448,4930.18342366816,4943.71644477998,4941.56212959802,4925.26220615303,4896.51130814547,4857.02289966657,4808.43776633071,4752.26763665457,4689.86586244904,4622.41769444194,4550.94373496836,4476.31154172904,4399.25155247639,4320.37467644568,4240.18977894899,4159.11998373808,4077.51722373962,3995.67481765687,3913.83807492578,3832.21306560727,3750.97376190305,3670.26778289659,3590.22097498042,3510.9410416263,3432.52041162163,3355.03850643537,3278.56354005706,3203.15395878526,3128.85960644654,3055.72268130063,2983.77853570082,2913.0563568518,2843.57975701451,2775.36729440501,2708.43293987344,2642.78649993525,2578.4340040927,2515.3780618006,2453.61819281992,2393.15113367178,2333.97112217624,2276.07016153391,2219.43826511757,2203.53262280624,2187.5502380063,2177.23136821968,2175.07808949593,2181.78574845317,2197.07329000169,2220.15616055548,2250.00854272322,2285.50333848103,2325.48304515085,2368.7944871831,2414.30597819717,2460.91818283567,2507.57436367542,2553.2723688974,2597.07856711856,2638.14268702423,2675.71200325197,2709.14325130391,2737.91099648724,2761.6116416459,2779.96288207976,2792.79895197515,2800.06219218531,2801.7919234004,2798.11148761115,2789.21444655623,2775.35070228892,2756.8131768044,2733.92552984459,2707.03118517721,2676.48386255785,2642.63959735841,2605.85026301292,2566.45846480628,2524.79364505551,2481.16925920467,2435.88086554717,2389.20496024747,2341.39842487359,2292.6984320303,2243.32275208471,2193.47030291641,2143.32190878746,2093.04118886391,2042.77552892813,1992.65709620453,1942.80386568849,1893.32064098271,1844.30004710871,1795.82348803495,1747.96206093996,1700.77742031489,1654.32259259861,1608.64273865717,1563.77586516745,1519.7534860151,1476.60123624185,1434.33943856433,1392.98362791262,1352.5450340473,1313.03102573885,1274.44551894234,1236.78935111686,1200.06062415765,1164.2550181227,1129.36607777595,1095.38547397591,1062.30324175061,1030.10799679099,998.787132020676,968.326995768277,938.71305297776,909.930030805823,881.962049856942
9,11,2,0,0,0,146.0605932,0,0.0133377718615945,0.0256617260407264,0.0405477595130862,0.0611996077028624,0.0914739630742401,0.13676340773527,0.205031356536427,0.308230856633663,0.464350083104125,0.70037106954414,1.05646610760355,1.59170399503532,2.39124233596309,3.57407964694603,5.29838213359499,4.61206787923315,4.19208743293429,3.95030489008249,3.83000686272498,3.79443054604341,3.81923594061561,3.8876056963983,3.98713567290519,4.10796598728696,4.24177674858321,4.38135221315638,4.52047762492733,4.65398241383154,4.77780101336004,4.88898105804151,4.9856173224426,5.06672210465557,5.1320571448215,5.18195378578978,5.21714284377206,5.23860749857391,5.24746528371379,5.24487967082826,5.23199836282522,5.20991374484935,5.17964046581093,5.1421054865778,5.09814658655392,5.04851620042111,4.99388821136905,4.93486606321414,4.8719911004836,4.80575047466137,4.73658426249453,4.66489165049781,4.59103617303698,4.51535006953843,4.43813786635158,4.35967930243403,4.28023171780524,4.200032012685,4.11929827122382,4.03823112789544,3.95701493969894,3.87581881350113,3.79479752630297,3.71409236639318,3.63383191575766,3.55413278793738,3.4751003308768,3.39682930108747,3.3194045128255,3.24290146422482,3.16738694137831,3.09291960050709,3.01955052798578,2.94732377782804,2.87627688618478,2.80644136247221,2.7378431568813,2.67144215395607,2.61078196771223,2.55789860458036,2.51329972920335,2.47671291230993,2.44749636591513,2.42485658075048,2.40795730618986,2.39596904170727,2.38808757222324,2.38353842802081,2.38157630333412,2.38148454332697,2.38257691439872,2.38420221741808,2.38575124584173,2.38666504760427,2.3864432601384,2.38465135780371,2.3809259173558,2.37497734173834,2.36658987346652,2.35561907880875,2.34198709874208,2.32567624555395,2.30672145190667,2.28520215932572,2.26123410143352,2.23496136414585,2.20654901181049,2.17617644829259,2.14403163707493,2.11030618008722,2.07519127206836,2.03887446150269,2.00153713067315,1.96335261782529,1.92448489248992,1.88508768803822,1.84530401482527,1.8052659625908,1.76509476009293,1.72490099595054,1.6847849803932,1.64483719885255,1.60513882844993,1.56576229186455,1.52677182751341,1.4882240651846,1.45016859164589,1.4126485008111,1.37570092235917,1.33935752411306,1.30364498731111,1.26858545281317,1.23419693822109,1.20049372619803,1.16748672516089,1.13518380217253,1.10359009107215,1.07270827580534,1.04253885095101,1.01308036086514,0.984329618707957,0.956281906829348,0.928931159822554,0.902270131470196,0.876290546809118,0.850983240430006,0.826338282060488,0.802345090433022,0.778992536357494,0.756269035860406,0.734162634197793,0.712661081487211
10,11,2,0,0,1,146.0605932,0,0.0133377718615945,0.0256617260407264,0.0405477595130862,0.0611996077028624,0.0914739630742401,0.13676340773527,0.205031356536427,0.308230856633663,0.464350083104125,0.70037106954414,1.05646610760355,1.59170399503532,2.39124233596309,3.57407964694603,5.29838213359499,4.61206787923315,4.19208743293429,3.95030489008249,3.83000686272498,3.79443054604341,3.81923594061561,3.8876056963983,3.98713567290519,4.10796598728696,4.24177674858321,4.38135221315638,4.52047762492733,4.65398241383154,4.77780101336004,4.88898105804151,4.9856173224426,5.06672210465557,5.1320571448215,5.18195378578978,5.21714284377206,5.23860749857391,5.24746528371379,5.24487967082826,5.23199836282522,5.20991374484935,5.17964046581093,5.1421054865778,5.09814658655392,5.04851620042111,4.99388821136905,4.93486606321414,4.8719911004836,4.80575047466137,4.73658426249453,4.66489165049781,4.59103617303698,4.51535006953843,4.43813786635158,4.35967930243403,4.28023171780524,4.200032012685,4.11929827122382,4.03823112789544,3.95701493969894,3.87581881350113,3.79479752630297,3.71409236639318,3.63383191575766,3.55413278793738,3.4751003308768,3.39682930108747,3.3194045128255,3.24290146422482,3.16738694137831,3.09291960050709,3.01955052798578,2.94732377782804,2.87627688618478,2.80644136247221,2.7378431568813,2.67144215395607,2.61078196771223,2.55789860458036,2.51329972920335,2.47671291230993,2.44749636591513,2.42485658075048,2.40795730618986,2.39596904170727,2.38808757222324,2.38353842802081,2.38157630333412,2.38148454332697,2.38257691439872,2.38420221741808,2.38575124584173,2.38666504760427,2.3864432601384,2.38465135780371,2.3809259173558,2.37497734173834,2.36658987346652,2.35561907880875,2.34198709874208,2.32567624555395,2.30672145190667,2.28520215932572,2.26123410143352,2.23496136414585,2.20654901181049,2.17617644829259,2.14403163707493,2.11030618008722,2.07519127206836,2.03887446150269,2.00153713067315,1.96335261782529,1.92448489248992,1.88508768803822,1.84530401482527,1.8052659625908,1.76509476009293,1.72490099595054,1.6847849803932,1.64483719885255,1.60513882844993,1.56576229186455,1.52677182751341,1.4882240651846,1.45016859164589,1.4126485008111,1.37570092235917,1.33935752411306,1.30364498731111,1.26858545281317,1.23419693822109,1.20049372619803,1.16748672516089,1.13518380217253,1.10359009107215,1.07270827580534,1.04253885095101,1.01308036086514,0.984329618707957,0.956281906829348,0.928931159822554,0.902270131470196,0.876290546809118,0.850983240430006,0.826338282060488,0.802345090433022,0.778992536357494,0.756269035860406,0.734162634197793,0.712661081487211
