"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,107.554801922555,207.110555514027,327.259933658945,493.417897377745,735.94106895301,1097.06674246072,1638.9712327876,2454.73451416873,3684.03708748581,5535.66274391894,8318.98143002566,12485.7742270334,18680.634905488,27789.6200194831,40958.301642302,34217.912948521,29517.0123158516,26268.6946740819,24072.6466680295,22652.068818932,21810.9531285572,21405.323433059,21324.335521744,21478.4746882544,21792.8738315105,22204.0935371731,22658.9652646001,23114.3530137926,23537.028270495,23903.2193965311,24197.708200747,24412.5552116001,24545.6265631174,24599.102562557,24578.1099326338,24489.5625582596,24341.2454602665,24141.1381436353,23896.9505238254,23615.8336244785,23304.2246819088,22967.7896134734,22611.4311502671,22239.3378787978,21855.0553574668,21461.5662578419,21061.3707995117,20656.5621621926,20248.8940295212,19839.8391112758,19430.6385883147,19022.3430796376,18615.8460752151,18211.9109037077,17811.1923124679,17414.2536512613,17021.5805368364,16633.5917424314,16250.6479284844,15873.0587099143,15501.088452752,15134.9611034726,14774.8642840123,14420.9528266674,14073.3518771977,13732.1596619843,13397.4499870819,13069.2745166704,12747.6648666559,12432.6345376705,12124.1807046779,11822.2858759315,11526.9194309447,11238.0390449078,10955.5920057828,10679.5164379864,10409.7423878124,10146.1929064338,9888.78495016095,9637.43024644338,9392.03609869182,9152.50607383517,8918.74066320935,8690.63785991708,8468.0936887918,8251.00267966605,8039.25829168786,7832.75329423515,7631.38010620043,7435.03109798591,7243.59885965773,7056.97643646233,6875.05753957768,6697.73672816803,6524.90956941377,6356.47277789272,6192.32433576658,6032.36359613806,5876.49137105257,5724.6100057786,5576.623440698,5432.43726214292,5291.9587433703,5155.09687656281,5021.76239700463,4891.86780017094,4765.32735248255,4642.05709655683,4521.97485145024,4405.000208523,4291.05452347945,4180.0609049593,4071.94420017231,3966.6309779386,3864.04950943695,3764.12974702164,3666.80330135094,3572.00341706932,3479.66494728523,3389.72432707908,3302.11954612777,3216.79012066731,3133.67706493892,3052.72286225142,2973.87143575321,2897.06811902492,2822.25962659326,2749.39402443683,2678.42070056092,2609.29033570732,2541.95487425157,2476.36749533991,2412.48258430916,2350.2557044266,2289.64356898348,2230.60401377047,2173.09596995879,2117.07943740808,2062.5154584179,2009.36609193704,1957.59438824219,1907.16436409492,1858.04097838381,1810.19010825657,1763.57852574536,1718.17387488672,1673.94464933645,1630.86017047815,1588.89056602339,1548.00674910029
2,0,1,0,0,1,818021.22396571,0,107.554801922555,207.110555514027,327.259933658945,493.417897377745,735.94106895301,1097.06674246072,1638.9712327876,2454.73451416873,3684.03708748581,5535.66274391894,8318.98143002566,12485.7742270334,18680.634905488,27789.6200194831,40958.301642302,34217.912948521,29517.0123158516,26268.6946740819,24072.6466680295,22652.068818932,21810.9531285572,21405.323433059,21324.335521744,21478.4746882544,21792.8738315105,22204.0935371731,22658.9652646001,23114.3530137926,23537.028270495,23903.2193965311,24197.708200747,24412.5552116001,24545.6265631174,24599.102562557,24578.1099326338,24489.5625582596,24341.2454602665,24141.1381436353,23896.9505238254,23615.8336244785,23304.2246819088,22967.7896134734,22611.4311502671,22239.3378787978,21855.0553574668,21461.5662578419,21061.3707995117,20656.5621621926,20248.8940295212,19839.8391112758,19430.6385883147,19022.3430796376,18615.8460752151,18211.9109037077,17811.1923124679,17414.2536512613,17021.5805368364,16633.5917424314,16250.6479284844,15873.0587099143,15501.088452752,15134.9611034726,14774.8642840123,14420.9528266674,14073.3518771977,13732.1596619843,13397.4499870819,13069.2745166704,12747.6648666559,12432.6345376705,12124.1807046779,11822.2858759315,11526.9194309447,11238.0390449078,10955.5920057828,10679.5164379864,10409.7423878124,10146.1929064338,9888.78495016095,9637.43024644338,9392.03609869182,9152.50607383517,8918.74066320935,8690.63785991708,8468.0936887918,8251.00267966605,8039.25829168786,7832.75329423515,7631.38010620043,7435.03109798591,7243.59885965773,7056.97643646233,6875.05753957768,6697.73672816803,6524.90956941377,6356.47277789272,6192.32433576658,6032.36359613806,5876.49137105257,5724.6100057786,5576.623440698,5432.43726214292,5291.9587433703,5155.09687656281,5021.76239700463,4891.86780017094,4765.32735248255,4642.05709655683,4521.97485145024,4405.000208523,4291.05452347945,4180.0609049593,4071.94420017231,3966.6309779386,3864.04950943695,3764.12974702164,3666.80330135094,3572.00341706932,3479.66494728523,3389.72432707908,3302.11954612777,3216.79012066731,3133.67706493892,3052.72286225142,2973.87143575321,2897.06811902492,2822.25962659326,2749.39402443683,2678.42070056092,2609.29033570732,2541.95487425157,2476.36749533991,2412.48258430916,2350.2557044266,2289.64356898348,2230.60401377047,2173.09596995879,2117.07943740808,2062.5154584179,2009.36609193704,1957.59438824219,1907.16436409492,1858.04097838381,1810.19010825657,1763.57852574536,1718.17387488672,1673.94464933645,1630.86017047815,1588.89056602339,1548.00674910029
3,0,1,1,0,0,2335.27250675705,0,0.307045544224134,0.591255546899309,0.934255864330615,1.40860067725629,2.10095153349151,3.13188671233478,4.67890605666614,7.00773262891057,10.5171238498814,15.8031119900321,23.748880895266,35.6441671972916,53.3291457794509,79.3333152043554,116.927034343964,97.6846920424607,84.264644147799,74.9914044569465,68.7221654912496,64.6667249995924,62.2655228190284,61.1075383461695,60.8763354908735,61.3163692543268,62.213910361921,63.3878530968237,64.6864128505813,65.9864457341386,67.1930915733239,68.2384875163593,69.0791889405829,69.692530383207,70.0724201214324,70.2250824578169,70.1651530695958,69.9123695930019,69.4889565676698,68.9176937431377,68.2205912495522,67.4180637025931,66.5284880105166,65.5680391338759,64.5507133025955,63.4884680192776,62.3914250812703,61.2680993665562,60.1256284577492,58.9699879272429,57.8061841600335,56.6384214219212,55.4702430140445,54.3046482249219,53.1441877739023,51.9910407981302,50.8470764587552,49.7139029967136,48.5929067421009,47.4852832013433,46.3920619814737,45.3141269656805,44.252232861428,43.2070189871485,42.1790209626235,41.168680800351,40.1763557642303,39.2023262691951,38.2468030154637,37.3099334930218,36.3918079583986,35.4924649529596,34.6118964118412,33.7500523999148,32.9068455023574,32.0821548910517,31.2758300846047,30.4876944416971,29.7175482597267,28.9651718665449,28.2303281904967,27.5127652326677,26.8122183644763,26.1284122904984,25.4610629351617,24.8098790909819,24.1745639314945,23.5548163623327,22.9503322325587,22.3608054220912,21.7859288102892,21.2253951380827,20.6788977734941,20.1461313839867,19.6267925381133,19.1205802252429,18.627196312411,18.1463459422231,17.6777378759607,17.2210847886434,16.7761035202546,16.3425152877959,15.92004586197,15.5084257123098,15.1073901241507,14.7166792899874,14.3360383784894,13.9652175832887,13.6039721536814,13.2520624096179,12.9092537423958,12.5753166028539,12.2500264786493,11.9331638616881,11.6245142071153,11.3238678848987,11.0310201248696,10.745770956249,10.4679251423552,10.1972921111811,9.93368588253407,9.67692499240723,9.42683241482802,9.18323548181797,8.94596580187721,8.71485917737418,8.48975552110578,8.27049877234585,8.05693681266874,7.84892138174962,7.64630799336213,7.44895585176113,7.25672776860079,7.06949008053675,6.8871125676362,6.70946837270132,6.53643392160244,6.36788884470124,6.2037158994325,6.04380089410373,5.88803261296145,5.73630274256444,5.58850579949683,5.44453905944665,5.30430248766941,5.16769867085056,5.03463275037581,4.90501235701359,4.77874754701029,4.65575073959498,4.53593665588756,4.41922225920118
4,0,1,1,0,1,2335.27250675705,0,0.307045544224134,0.591255546899309,0.934255864330615,1.40860067725629,2.10095153349151,3.13188671233478,4.67890605666614,7.00773262891057,10.5171238498814,15.8031119900321,23.748880895266,35.6441671972916,53.3291457794509,79.3333152043554,116.927034343964,97.6846920424607,84.264644147799,74.9914044569465,68.7221654912496,64.6667249995924,62.2655228190284,61.1075383461695,60.8763354908735,61.3163692543268,62.213910361921,63.3878530968237,64.6864128505813,65.9864457341386,67.1930915733239,68.2384875163593,69.0791889405829,69.692530383207,70.0724201214324,70.2250824578169,70.1651530695958,69.9123695930019,69.4889565676698,68.9176937431377,68.2205912495522,67.4180637025931,66.5284880105166,65.5680391338759,64.5507133025955,63.4884680192776,62.3914250812703,61.2680993665562,60.1256284577492,58.9699879272429,57.8061841600335,56.6384214219212,55.4702430140445,54.3046482249219,53.1441877739023,51.9910407981302,50.8470764587552,49.7139029967136,48.5929067421009,47.4852832013433,46.3920619814737,45.3141269656805,44.252232861428,43.2070189871485,42.1790209626235,41.168680800351,40.1763557642303,39.2023262691951,38.2468030154637,37.3099334930218,36.3918079583986,35.4924649529596,34.6118964118412,33.7500523999148,32.9068455023574,32.0821548910517,31.2758300846047,30.4876944416971,29.7175482597267,28.9651718665449,28.2303281904967,27.5127652326677,26.8122183644763,26.1284122904984,25.4610629351617,24.8098790909819,24.1745639314945,23.5548163623327,22.9503322325587,22.3608054220912,21.7859288102892,21.2253951380827,20.6788977734941,20.1461313839867,19.6267925381133,19.1205802252429,18.627196312411,18.1463459422231,17.6777378759607,17.2210847886434,16.7761035202546,16.3425152877959,15.92004586197,15.5084257123098,15.1073901241507,14.7166792899874,14.3360383784894,13.9652175832887,13.6039721536814,13.2520624096179,12.9092537423958,12.5753166028539,12.2500264786493,11.9331638616881,11.6245142071153,11.3238678848987,11.0310201248696,10.745770956249,10.4679251423552,10.1972921111811,9.93368588253407,9.67692499240723,9.42683241482802,9.18323548181797,8.94596580187721,8.71485917737418,8.48975552110578,8.27049877234585,8.05693681266874,7.84892138174962,7.64630799336213,7.44895585176113,7.25672776860079,7.06949008053675,6.8871125676362,6.70946837270132,6.53643392160244,6.36788884470124,6.2037158994325,6.04380089410373,5.88803261296145,5.73630274256444,5.58850579949683,5.44453905944665,5.30430248766941,5.16769867085056,5.03463275037581,4.90501235701359,4.77874754701029,4.65575073959498,4.53593665588756,4.41922225920118
5,0,2,0,0,0,527895.493723415,0,56.0340453582732,108.111164460578,171.452398082459,259.700581080447,389.304174217255,583.286413646923,875.656326456716,1317.44495813004,1985.38488090686,2994.41166334685,4515.27077331855,6798.1684572526,10201.8911570724,15223.4957580158,22514.1290804774,18966.8140201392,16542.4750201887,14908.9577764292,13843.0511798009,13192.6488267,12851.3479658665,12741.5202503211,12803.330449101,12988.0178187442,13254.2400005796,13566.4720528816,13894.6081362536,14214.0665811076,14505.9073772846,14756.6979290335,14958.0565241393,15105.9327954259,15199.7406871946,15241.4629506354,15234.8212034001,15184.5685883765,15095.9296561735,14974.1870114378,14824.3991912905,14651.2268502078,14458.8423677581,14250.899868375,14030.5458659925,13800.455038396,13562.8793229824,13319.7021510891,13072.4923529449,12822.5544178056,12570.973353827,12318.6534616903,12066.3510296498,11814.7013710843,11564.2408417693,11315.4245508955,11068.6404825133,10824.2206861025,10582.4501193371,10343.5736383675,10107.8015467183,9875.31403415261,9646.26476903795,9420.78384848238,9198.98026368485,8980.94399870982,8766.74785008679,8556.44903274016,8350.09061875895,8147.70284160084,7949.30429020318,7754.90300950731,7564.49751893775,7378.07775719892,7195.62595950734,7017.11747175455,6842.52150519883,6671.80183976441,6504.91744870872,6341.82312571136,6182.47000595843,6026.80606999862,5874.77661292827,5726.32464697094,5581.39128897452,5439.91610039276,5301.83740006955,5167.09254454175,5035.61818009392,4907.35046976256,4782.22529619813,4660.17844286008,4541.14575548392,4425.06328447758,4311.86741278101,4201.49496690313,4093.88331497199,3988.97045257533,3886.6950772659,3786.99665306141,3689.81546581176,3595.09267039233,3502.7703304725,3412.79145166298,3325.10000873329,3239.64096740759,3156.36030143248,3075.20500533947,2996.12310334397,2919.06365488254,2843.97675707022,2770.81354445653,2699.52618641242,2630.06788236447,2562.39285517565,2496.45634288884,2432.21458901071,2369.62483155723,2308.6452910049,2249.23515729311,2191.35457602704,2134.9646340223,2080.02734424139,2026.50563026184,1974.36331036321,1923.56508131436,1874.07650191979,1825.86397639351,1778.89473762357,1733.13683037153,1688.55909445571,1645.13114795998,1602.82337050195,1561.60688659399,1521.45354912551,1482.33592299065,1444.2272688839,1407.10152728251,1370.93330263226,1335.69784775092,1301.37104846156,1267.92940846614,1235.35003446796,1203.61062155021,1172.68943881628,1142.56531529643,1113.21762612422,1084.62627898511,1056.77170083872,1029.63482491555,1003.197077988,977.440367915239
6,0,2,0,0,1,527895.493723415,0,56.0340453582732,108.111164460578,171.452398082459,259.700581080447,389.304174217255,583.286413646923,875.656326456716,1317.44495813004,1985.38488090686,2994.41166334685,4515.27077331855,6798.1684572526,10201.8911570724,15223.4957580158,22514.1290804774,18966.8140201392,16542.4750201887,14908.9577764292,13843.0511798009,13192.6488267,12851.3479658665,12741.5202503211,12803.330449101,12988.0178187442,13254.2400005796,13566.4720528816,13894.6081362536,14214.0665811076,14505.9073772846,14756.6979290335,14958.0565241393,15105.9327954259,15199.7406871946,15241.4629506354,15234.8212034001,15184.5685883765,15095.9296561735,14974.1870114378,14824.3991912905,14651.2268502078,14458.8423677581,14250.899868375,14030.5458659925,13800.455038396,13562.8793229824,13319.7021510891,13072.4923529449,12822.5544178056,12570.973353827,12318.6534616903,12066.3510296498,11814.7013710843,11564.2408417693,11315.4245508955,11068.6404825133,10824.2206861025,10582.4501193371,10343.5736383675,10107.8015467183,9875.31403415261,9646.26476903795,9420.78384848238,9198.98026368485,8980.94399870982,8766.74785008679,8556.44903274016,8350.09061875895,8147.70284160084,7949.30429020318,7754.90300950731,7564.49751893775,7378.07775719892,7195.62595950734,7017.11747175455,6842.52150519883,6671.80183976441,6504.91744870872,6341.82312571136,6182.47000595843,6026.80606999862,5874.77661292827,5726.32464697094,5581.39128897452,5439.91610039276,5301.83740006955,5167.09254454175,5035.61818009392,4907.35046976256,4782.22529619813,4660.17844286008,4541.14575548392,4425.06328447758,4311.86741278101,4201.49496690313,4093.88331497199,3988.97045257533,3886.6950772659,3786.99665306141,3689.81546581176,3595.09267039233,3502.7703304725,3412.79145166298,3325.10000873329,3239.64096740759,3156.36030143248,3075.20500533947,2996.12310334397,2919.06365488254,2843.97675707022,2770.81354445653,2699.52618641242,2630.06788236447,2562.39285517565,2496.45634288884,2432.21458901071,2369.62483155723,2308.6452910049,2249.23515729311,2191.35457602704,2134.9646340223,2080.02734424139,2026.50563026184,1974.36331036321,1923.56508131436,1874.07650191979,1825.86397639351,1778.89473762357,1733.13683037153,1688.55909445571,1645.13114795998,1602.82337050195,1561.60688659399,1521.45354912551,1482.33592299065,1444.2272688839,1407.10152728251,1370.93330263226,1335.69784775092,1301.37104846156,1267.92940846614,1235.35003446796,1203.61062155021,1172.68943881628,1142.56531529643,1113.21762612422,1084.62627898511,1056.77170083872,1029.63482491555,1003.197077988,977.440367915239
7,0,2,1,0,0,171228.02725029,0,18.1751864898043,35.0669055417537,55.6122494699157,84.2364041801378,126.274587572913,189.194609763022,284.027628784755,427.326059558371,643.978856671863,971.266487375584,1464.57190146295,2205.0519235165,3309.08241842832,4937.88861146057,7302.67629397182,6152.07022318918,5365.71233742749,4835.8651641633,4490.12801364053,4279.16369747464,4168.45945052769,4132.83576498039,4152.884502897,4212.78964385399,4299.14139253895,4400.41688929097,4506.85101288828,4610.47046020535,4705.13185511153,4786.47820479541,4851.79081954549,4899.75592345448,4930.18342366816,4943.71644477998,4941.56212959802,4925.26220615303,4896.51130814547,4857.02289966657,4808.43776633071,4752.26763665457,4689.86586244904,4622.41769444194,4550.94373496836,4476.31154172904,4399.25155247639,4320.37467644568,4240.18977894899,4159.11998373808,4077.51722373962,3995.67481765687,3913.83807492578,3832.21306560727,3750.97376190305,3670.26778289659,3590.22097498042,3510.9410416263,3432.52041162163,3355.03850643537,3278.56354005706,3203.15395878526,3128.85960644654,3055.72268130063,2983.77853570082,2913.0563568518,2843.57975701451,2775.36729440501,2708.43293987344,2642.78649993525,2578.4340040927,2515.3780618006,2453.61819281992,2393.15113367178,2333.97112217624,2276.07016153391,2219.43826511757,2164.0636845941,2109.93311254132,2057.03188585044,2005.34415474476,1954.85304621036,1905.54081618074,1857.38898011748,1810.37843869867,1764.48958809521,1719.7024214254,1675.99661967397,1633.35163344838,1591.7467566099,1551.16119207388,1511.57411058208,1472.96470307613,1435.31222688514,1398.59604719819,1362.79567308028,1327.89078927582,1293.86128405186,1260.68727336464,1228.34912178072,1196.82746043592,1166.10320234289,1136.15755529048,1106.9720325953,1078.52846193006,1050.80899239322,1023.7961000451,997.472592047511,971.821609550237,946.826629487081,922.471465372943,898.740267224661,875.617520713447,853.088045619059,831.136993682779,809.749845929344,788.912409515436,768.610814176475,748.831508318495,729.561254802228,710.787126467876,692.496501446384,674.677058273429,657.316770851514,640.403903288424,623.927004638482,607.874903565629,592.236702950596,577.001774462574,562.159753109815,547.700531784941,533.614255818563,519.891317552151,506.522350941023,493.498226196656,480.810044476176,468.449132626297,456.407037987881,444.675523266424,433.246561473165,422.112330940761,411.265210416882,400.697774238539,390.402787589466,380.373201842423,370.602149987886,361.082942150235,351.809061192229,342.774158408244,333.972049306522,325.39670948042,317.04227056845
8,0,2,1,0,1,171228.02725029,0,18.1751864898043,35.0669055417537,55.6122494699157,84.2364041801378,126.274587572913,189.194609763022,284.027628784755,427.326059558371,643.978856671863,971.266487375584,1464.57190146295,2205.0519235165,3309.08241842832,4937.88861146057,7302.67629397182,6152.07022318918,5365.71233742749,4835.8651641633,4490.12801364053,4279.16369747464,4168.45945052769,4132.83576498039,4152.884502897,4212.78964385399,4299.14139253895,4400.41688929097,4506.85101288828,4610.47046020535,4705.13185511153,4786.47820479541,4851.79081954549,4899.75592345448,4930.18342366816,4943.71644477998,4941.56212959802,4925.26220615303,4896.51130814547,4857.02289966657,4808.43776633071,4752.26763665457,4689.86586244904,4622.41769444194,4550.94373496836,4476.31154172904,4399.25155247639,4320.37467644568,4240.18977894899,4159.11998373808,4077.51722373962,3995.67481765687,3913.83807492578,3832.21306560727,3750.97376190305,3670.26778289659,3590.22097498042,3510.9410416263,3432.52041162163,3355.03850643537,3278.56354005706,3203.15395878526,3128.85960644654,3055.72268130063,2983.77853570082,2913.0563568518,2843.57975701451,2775.36729440501,2708.43293987344,2642.78649993525,2578.4340040927,2515.3780618006,2453.61819281992,2393.15113367178,2333.97112217624,2276.07016153391,2219.43826511757,2164.0636845941,2109.93311254132,2057.03188585044,2005.34415474476,1954.85304621036,1905.54081618074,1857.38898011748,1810.37843869867,1764.48958809521,1719.7024214254,1675.99661967397,1633.35163344838,1591.7467566099,1551.16119207388,1511.57411058208,1472.96470307613,1435.31222688514,1398.59604719819,1362.79567308028,1327.89078927582,1293.86128405186,1260.68727336464,1228.34912178072,1196.82746043592,1166.10320234289,1136.15755529048,1106.9720325953,1078.52846193006,1050.80899239322,1023.7961000451,997.472592047511,971.821609550237,946.826629487081,922.471465372943,898.740267224661,875.617520713447,853.088045619059,831.136993682779,809.749845929344,788.912409515436,768.610814176475,748.831508318495,729.561254802228,710.787126467876,692.496501446384,674.677058273429,657.316770851514,640.403903288424,623.927004638482,607.874903565629,592.236702950596,577.001774462574,562.159753109815,547.700531784941,533.614255818563,519.891317552151,506.522350941023,493.498226196656,480.810044476176,468.449132626297,456.407037987881,444.675523266424,433.246561473165,422.112330940761,411.265210416882,400.697774238539,390.402787589466,380.373201842423,370.602149987886,361.082942150235,351.809061192229,342.774158408244,333.972049306522,325.39670948042,317.04227056845
9,11,2,0,0,0,146.0605932,0,0.0133377718615945,0.0256617260407264,0.0405477595130862,0.0611996077028624,0.0914739630742401,0.13676340773527,0.205031356536427,0.308230856633663,0.464350083104125,0.70037106954414,1.05646610760355,1.59170399503532,2.39124233596309,3.57407964694603,5.29838213359499,4.61206787923315,4.19208743293429,3.95030489008249,3.83000686272498,3.79443054604341,3.81923594061561,3.8876056963983,3.98713567290519,4.10796598728696,4.24177674858321,4.38135221315638,4.52047762492733,4.65398241383154,4.77780101336004,4.88898105804151,4.9856173224426,5.06672210465557,5.1320571448215,5.18195378578978,5.21714284377206,5.23860749857391,5.24746528371379,5.24487967082826,5.23199836282522,5.20991374484935,5.17964046581093,5.1421054865778,5.09814658655392,5.04851620042111,4.99388821136905,4.93486606321414,4.8719911004836,4.80575047466137,4.73658426249453,4.66489165049781,4.59103617303698,4.51535006953843,4.43813786635158,4.35967930243403,4.28023171780524,4.200032012685,4.11929827122382,4.03823112789544,3.95701493969894,3.87581881350113,3.79479752630297,3.71409236639318,3.63383191575766,3.55413278793738,3.4751003308768,3.39682930108747,3.3194045128255,3.24290146422482,3.16738694137831,3.09291960050709,3.01955052798578,2.94732377782804,2.87627688618478,2.80644136247221,2.7378431568813,2.67050310249944,2.60443734188583,2.53965771482551,2.47617213637758,2.41398494465955,2.35309723856004,2.29350717386168,2.23521025728428,2.17819961040702,2.12246621962605,2.06799916588876,2.01478583781317,1.96281212879384,1.91206261873943,1.86252074137604,1.81416893814923,1.76698879877304,1.72096119134877,1.67606637998696,1.6322841325675,1.58959381909688,1.547974500776,1.50740501097702,1.46786402846141,1.42933014342259,1.39178191703531,1.35519793487231,1.31955685473969,1.28483744937359,1.25101864437886,1.21807955183623,1.18599949991652,1.15475805884307,1.12433506352149,1.09471063311525,1.06586518784564,1.03777946325929,1.01043452219273,0.983811764651182,0.957892935791142,0.932660132191932,0.908095806581174,0.884182771163739,0.860904199695695,0.838243628469264,0.816184956238088,0.794712443269439,0.773810709609543,0.753464732633376,0.733659843972877,0.714381725897483,0.695616407216153,0.677350258764033,0.659569988530649,0.642262636481827,0.625415569122236,0.609016473841252,0.593053353080829,0.577514518360046,0.562388584187832,0.547664461892084,0.533331353390508,0.519378744925922,0.505796400786318,0.492574357027763,0.479702915216221,0.467172636202538,0.454974333943155,0.443099069377574,0.431538144372258,0.420283095739331,0.409325689337344,0.398657914260326,0.388271977120389,0.378160296428309
10,11,2,0,0,1,146.0605932,0,0.0133377718615945,0.0256617260407264,0.0405477595130862,0.0611996077028624,0.0914739630742401,0.13676340773527,0.205031356536427,0.308230856633663,0.464350083104125,0.70037106954414,1.05646610760355,1.59170399503532,2.39124233596309,3.57407964694603,5.29838213359499,4.61206787923315,4.19208743293429,3.95030489008249,3.83000686272498,3.79443054604341,3.81923594061561,3.8876056963983,3.98713567290519,4.10796598728696,4.24177674858321,4.38135221315638,4.52047762492733,4.65398241383154,4.77780101336004,4.88898105804151,4.9856173224426,5.06672210465557,5.1320571448215,5.18195378578978,5.21714284377206,5.23860749857391,5.24746528371379,5.24487967082826,5.23199836282522,5.20991374484935,5.17964046581093,5.1421054865778,5.09814658655392,5.04851620042111,4.99388821136905,4.93486606321414,4.8719911004836,4.80575047466137,4.73658426249453,4.66489165049781,4.59103617303698,4.51535006953843,4.43813786635158,4.35967930243403,4.28023171780524,4.200032012685,4.11929827122382,4.03823112789544,3.95701493969894,3.87581881350113,3.79479752630297,3.71409236639318,3.63383191575766,3.55413278793738,3.4751003308768,3.39682930108747,3.3194045128255,3.24290146422482,3.16738694137831,3.09291960050709,3.01955052798578,2.94732377782804,2.87627688618478,2.80644136247221,2.7378431568813,2.67050310249944,2.60443734188583,2.53965771482551,2.47617213637758,2.41398494465955,2.35309723856004,2.29350717386168,2.23521025728428,2.17819961040702,2.12246621962605,2.06799916588876,2.01478583781317,1.96281212879384,1.91206261873943,1.86252074137604,1.81416893814923,1.76698879877304,1.72096119134877,1.67606637998696,1.6322841325675,1.58959381909688,1.547974500776,1.50740501097702,1.46786402846141,1.42933014342259,1.39178191703531,1.35519793487231,1.31955685473969,1.28483744937359,1.25101864437886,1.21807955183623,1.18599949991652,1.15475805884307,1.12433506352149,1.09471063311525,1.06586518784564,1.03777946325929,1.01043452219273,0.983811764651182,0.957892935791142,0.932660132191932,0.908095806581174,0.884182771163739,0.860904199695695,0.838243628469264,0.816184956238088,0.794712443269439,0.773810709609543,0.753464732633376,0.733659843972877,0.714381725897483,0.695616407216153,0.677350258764033,0.659569988530649,0.642262636481827,0.625415569122236,0.609016473841252,0.593053353080829,0.577514518360046,0.562388584187832,0.547664461892084,0.533331353390508,0.519378744925922,0.505796400786318,0.492574357027763,0.479702915216221,0.467172636202538,0.454974333943155,0.443099069377574,0.431538144372258,0.420283095739331,0.409325689337344,0.398657914260326,0.388271977120389,0.378160296428309
