"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,42.2446773539349,88.3231114378224,155.469157288284,261.883473593182,433.000703821538,708.002022319045,1148.73048435699,1853.14419982694,2976.01156243933,4760.43534110701,7584.61735411849,12027.8707656213,18955.4103870251,29606.4596623305,45633.1773745453,37618.1867573783,31894.3839973128,27807.1068217122,24904.3957973349,22870.984024778,21483.318368775,20579.0040934226,20036.292384099,19760.6326780814,19676.2498042788,19721.1774220489,19844.5402472062,20005.1293702985,20170.5636546537,20316.5809671082,20426.226972071,20488.8787279159,20499.1467170355,20455.7397057032,20360.3812555569,20216.8444204153,20030.1437919443,19805.8974900503,19549.8524834714,19267.5541836432,18964.1356865147,18644.2006442115,18311.7754400393,17970.3097545495,17622.7084665561,17271.3818460742,16918.304430011,16565.0759251897,16212.9798317907,15863.0372017603,15516.0542341592,15172.6632807779,14833.3573956273,14498.5189084345,14168.4426767407,13843.3547401727,13523.4270979734,13208.7892815008,12899.5373229187,12595.7406482726,12297.4473298432,12004.6880708819,11717.4792156316,11435.8250253169,11159.7194085341,10889.147247762,10624.0854369216,10364.5037105161,10110.3653271013,9861.62765184039,9618.24266908054,9380.1574471275,9147.31456991653,8919.65254475979,8697.10619179941,11867.0974959735,14282.2537999389,16173.7548786167,17696.9804898732,18956.8080641972,20024.3197768922,20947.8841064298,21760.5244041939,22484.8406942661,23136.3135889479,23725.5172585968,24259.6311135277,24743.4635507999,25180.1647197088,25571.7218489063,25919.3169210983,26223.5858647587,26484.8154116978,26703.0900765371,26878.4118218124,27010.7937001921,27100.327070001,27147.2415720293,27151.9437292382,27115.0436118094,27037.3727673444,26919.9867894979,26764.1625426912,26571.3868419185,26343.3381486263,26081.8650074899,25788.960502559,25466.7352426868,25117.3894646365,24743.1853002043,24346.4200768686,23929.401133066,23494.4226552782,23043.7448082661,22579.5753160569,22104.0535890243,21619.2373832834,21127.0918332944,20629.4809200085,20128.1610218313,19624.7764399066,19120.8567466788,18617.8156973826,18116.9515372183,17619.4485080767,17126.3793652674,16638.7087381336,16157.2971724959,15682.9057096994,15216.200871378,14757.7599318661,14308.0763752605,13867.565446726,13436.5697203491,13015.3646178711,12604.1638231669,12203.1245474566,11812.3526092127,11431.9073006619,11061.8060199896,10702.0286545644,10352.521705894,10013.2021516966,9683.96104437807,9364.66684848688,9055.16852241144,8755.29835174454,8464.87454343418,8183.70359112974,7911.58242305882
2,0,1,1,0,818021.22396571,0,42.2446773539349,88.3231114378224,155.469157288284,261.883473593182,433.000703821538,708.002022319045,1148.73048435699,1853.14419982694,2976.01156243933,4760.43534110701,7584.61735411849,12027.8707656213,18955.4103870251,29606.4596623305,45633.1773745453,37618.1867573783,31894.3839973128,27807.1068217122,24904.3957973349,22870.984024778,21483.318368775,20579.0040934226,20036.292384099,19760.6326780814,19676.2498042788,19721.1774220489,19844.5402472062,20005.1293702985,20170.5636546537,20316.5809671082,20426.226972071,20488.8787279159,20499.1467170355,20455.7397057032,20360.3812555569,20216.8444204153,20030.1437919443,19805.8974900503,19549.8524834714,19267.5541836432,18964.1356865147,18644.2006442115,18311.7754400393,17970.3097545495,17622.7084665561,17271.3818460742,16918.304430011,16565.0759251897,16212.9798317907,15863.0372017603,15516.0542341592,15172.6632807779,14833.3573956273,14498.5189084345,14168.4426767407,13843.3547401727,13523.4270979734,13208.7892815008,12899.5373229187,12595.7406482726,12297.4473298432,12004.6880708819,11717.4792156316,11435.8250253169,11159.7194085341,10889.147247762,10624.0854369216,10364.5037105161,10110.3653271013,9861.62765184039,9618.24266908054,9380.1574471275,9147.31456991653,8919.65254475979,8697.10619179941,11867.0974959735,14282.2537999389,16173.7548786167,17696.9804898732,18956.8080641972,20024.3197768922,20947.8841064298,21760.5244041939,22484.8406942661,23136.3135889479,23725.5172585968,24259.6311135277,24743.4635507999,25180.1647197088,25571.7218489063,25919.3169210983,26223.5858647587,26484.8154116978,26703.0900765371,26878.4118218124,27010.7937001921,27100.327070001,27147.2415720293,27151.9437292382,27115.0436118094,27037.3727673444,26919.9867894979,26764.1625426912,26571.3868419185,26343.3381486263,26081.8650074899,25788.960502559,25466.7352426868,25117.3894646365,24743.1853002043,24346.4200768686,23929.401133066,23494.4226552782,23043.7448082661,22579.5753160569,22104.0535890243,21619.2373832834,21127.0918332944,20629.4809200085,20128.1610218313,19624.7764399066,19120.8567466788,18617.8156973826,18116.9515372183,17619.4485080767,17126.3793652674,16638.7087381336,16157.2971724959,15682.9057096994,15216.200871378,14757.7599318661,14308.0763752605,13867.565446726,13436.5697203491,13015.3646178711,12604.1638231669,12203.1245474566,11812.3526092127,11431.9073006619,11061.8060199896,10702.0286545644,10352.521705894,10013.2021516966,9683.96104437807,9364.66684848688,9055.16852241144,8755.29835174454,8464.87454343418,8183.70359112974,7911.58242305882
3,0,1,0,1,2335.27250675705,0,0.120473959351542,0.251881079550268,0.443369108459352,0.746842938062273,1.23483743891172,2.01909002980535,3.27596559724726,5.28482244359479,8.48703122997431,13.5758758192231,21.6299174251347,34.301249399129,54.0573033929335,84.4321140866857,130.137330912544,107.280069020694,90.9568485762579,79.3006945906026,71.0227028561591,65.2237908375033,61.2664265893593,58.6874905416996,57.1397777290092,56.3536475394142,56.11300328444,56.2411284906443,56.5929363138872,57.0509066121483,57.5226944087924,57.9391086144896,58.2517986188248,58.4304697688901,58.4597521632957,58.335963443713,58.064018887231,57.6546785412883,57.1222430882518,56.4827343607318,55.7525416442314,54.9474794203309,54.0821863235627,53.1697911131876,52.2217762852051,51.247979686666,50.2566854914373,49.2547673411238,48.2478562475825,47.2405142770161,46.2364017331188,45.2384304660538,44.2488996055333,43.2696125012021,42.3019752513566,41.3470781892384,40.4057621936914,39.4786718876713,38.5662977810158,37.6690092730555,36.7870802296529,35.9207086409717,35.0700316002121,34.2351366673334,33.4160704530757,32.6128451096585,31.8254432655317,31.0538218083381,30.2979148438395,29.5576360604708,28.8328806784693,28.1235271112136,27.4294384269961,26.7504636744738,26.0864391137134,25.4371893790112,24.8025285895405,33.8427539491557,40.7303303402311,46.1245394652486,50.4684954821516,54.0612893081629,57.1056340809969,59.7394677013379,62.0569666226816,64.122581908525,65.9804613846769,67.6607606174615,69.1839539492256,70.5637540336844,71.8091445104802,72.9257925859648,73.9170690548845,74.7847874669194,75.5297655278401,76.1522442576221,76.6522292530518,77.0297577379111,77.2850902491429,77.418881679552,77.4322913569819,77.3270590880755,77.1055562918655,76.7707933250419,76.3264115673473,75.7766511384945,75.1262986982172,74.380625951971,73.5453168046131,72.6263903198717,71.6301211635981,70.5629605147599,69.4314599238623,68.2421994908005,67.0017218085412,65.7164724464337,64.3927474226132,63.036647937385,61.6540423283032,60.2505347931962,58.8314410589056,57.4017699898356,55.9662108268932,54.5291256260823,53.0945461542753,51.666174765219,50.2473886964342,48.8412472464562,47.4505013586838,46.0776051496755,44.7247289677406,43.3937736085593,42.0863853511201,40.8039715202448,39.5477163178781,38.3185967015726,37.1173981228866,35.9447299684713,34.8010405754739,33.6866317184882,32.6016724879129,31.546212500135,30.520194397672,29.5234656127788,28.555789381355,27.6168550051347,26.7062873694845,25.8236557318325,24.968481801896,24.1402471397169,23.3383999011889,22.5623609634026
4,0,1,1,1,2335.27250675705,0,0.120473959351542,0.251881079550268,0.443369108459352,0.746842938062273,1.23483743891172,2.01909002980535,3.27596559724726,5.28482244359479,8.48703122997431,13.5758758192231,21.6299174251347,34.301249399129,54.0573033929335,84.4321140866857,130.137330912544,107.280069020694,90.9568485762579,79.3006945906026,71.0227028561591,65.2237908375033,61.2664265893593,58.6874905416996,57.1397777290092,56.3536475394142,56.11300328444,56.2411284906443,56.5929363138872,57.0509066121483,57.5226944087924,57.9391086144896,58.2517986188248,58.4304697688901,58.4597521632957,58.335963443713,58.064018887231,57.6546785412883,57.1222430882518,56.4827343607318,55.7525416442314,54.9474794203309,54.0821863235627,53.1697911131876,52.2217762852051,51.247979686666,50.2566854914373,49.2547673411238,48.2478562475825,47.2405142770161,46.2364017331188,45.2384304660538,44.2488996055333,43.2696125012021,42.3019752513566,41.3470781892384,40.4057621936914,39.4786718876713,38.5662977810158,37.6690092730555,36.7870802296529,35.9207086409717,35.0700316002121,34.2351366673334,33.4160704530757,32.6128451096585,31.8254432655317,31.0538218083381,30.2979148438395,29.5576360604708,28.8328806784693,28.1235271112136,27.4294384269961,26.7504636744738,26.0864391137134,25.4371893790112,24.8025285895405,33.8427539491557,40.7303303402311,46.1245394652486,50.4684954821516,54.0612893081629,57.1056340809969,59.7394677013379,62.0569666226816,64.122581908525,65.9804613846769,67.6607606174615,69.1839539492256,70.5637540336844,71.8091445104802,72.9257925859648,73.9170690548845,74.7847874669194,75.5297655278401,76.1522442576221,76.6522292530518,77.0297577379111,77.2850902491429,77.418881679552,77.4322913569819,77.3270590880755,77.1055562918655,76.7707933250419,76.3264115673473,75.7766511384945,75.1262986982172,74.380625951971,73.5453168046131,72.6263903198717,71.6301211635981,70.5629605147599,69.4314599238623,68.2421994908005,67.0017218085412,65.7164724464337,64.3927474226132,63.036647937385,61.6540423283032,60.2505347931962,58.8314410589056,57.4017699898356,55.9662108268932,54.5291256260823,53.0945461542753,51.666174765219,50.2473886964342,48.8412472464562,47.4505013586838,46.0776051496755,44.7247289677406,43.3937736085593,42.0863853511201,40.8039715202448,39.5477163178781,38.3185967015726,37.1173981228866,35.9447299684713,34.8010405754739,33.6866317184882,32.6016724879129,31.546212500135,30.520194397672,29.5234656127788,28.555789381355,27.6168550051347,26.7062873694845,25.8236557318325,24.968481801896,24.1402471397169,23.3383999011889,22.5623609634026
5,0,2,0,0,527895.493723415,0,27.6714923964381,56.3046476059957,96.0270166807938,157.213658345825,254.068382747915,408.279657799126,653.969294342728,1045.12963096577,1667.06079490656,2653.82626762669,4214.25864184232,6668.9735569595,10498.7336742767,16397.0067496494,25300.6026267391,20989.7218343023,17951.9754548013,15814.3117727813,14322.4122223225,13301.0676534926,12627.4124296181,12212.9132749248,11991.4135501095,11911.411803424,11931.334829649,12016.8554217078,12139.5240563823,12276.135815004,12408.4051514537,12522.6748097738,12609.5231049956,12663.2383006712,12681.194046875,12663.1842836579,12610.7777377524,12526.7372234716,12414.5310127578,12277.9461587849,12120.8010660319,11946.7463571739,11759.1392604117,11560.9756425181,11354.8647040697,11143.0333950358,10927.3499588057,10709.3584926126,10490.3185455462,10271.2456172457,10052.9498893741,9836.07160005953,9621.1122784764,9408.4616027338,9198.41999484758,8991.21728257015,8787.02786534903,8585.98286283955,8388.17972043329,8193.68971274209,8002.56373929821,7814.83675874164,7630.53114668089,7449.65922205536,7272.22513438363,7098.22627016791,6927.65430253425,6760.49597758695,6596.73371337928,6436.34606480619,6279.3080960005,6125.59168994855,5975.1658158884,5827.99676923577,5684.04839380246,5543.28229238204,5405.65802938674,5362.49391044916,5316.6272513389,5280.21307200209,5258.85513959942,5254.42750587342,5266.76288470807,5294.646167477,5336.38299583668,5390.11299773276,5453.97153980503,5526.16264524364,5604.98540447315,5688.83483445568,5776.19323954638,5865.61926296033,5955.73963935692,6045.2452228524,6132.89183427677,6217.50554591845,6297.99122145265,6373.34297851878,6442.65459515722,6505.13018787731,6560.09223848243,6606.98685505557,6645.38691056932,6674.99067576078,6695.61819672225,6707.20476154856,6709.79171524065,6703.51596107733,6688.59807330925,6665.32998181817,6634.06254038503,6595.19344466874,6549.15585741586,6496.40794723413,6437.42351227529,6372.68376422146,6302.67028787869,6227.85914896316,6148.71608859701,6065.69268318239,5979.22343142772,5889.72359834362,5797.58773100697,5703.18873817445,5606.87744006204,5508.9824995109,5409.81065056381,5309.64716524982,5208.75649617518,5107.38304648089,5005.75203005644,4904.0703873952,4802.52773188716,4701.2973068371,4600.53693685762,4500.38996224983,4400.98614785331,4302.44256011336,4204.8644084696,4108.34584859497,4012.97074617949,3918.81340096385,3825.93923134227,3734.40542033606,3644.26152410308,3555.5500443489,3468.30696614393,3382.56226272965,3298.34036891395,3215.66062464867,3134.53769035272,3054.98193549412
6,0,2,1,0,527895.493723415,0,27.6714923964381,56.3046476059957,96.0270166807938,157.213658345825,254.068382747915,408.279657799126,653.969294342728,1045.12963096577,1667.06079490656,2653.82626762669,4214.25864184232,6668.9735569595,10498.7336742767,16397.0067496494,25300.6026267391,20989.7218343023,17951.9754548013,15814.3117727813,14322.4122223225,13301.0676534926,12627.4124296181,12212.9132749248,11991.4135501095,11911.411803424,11931.334829649,12016.8554217078,12139.5240563823,12276.135815004,12408.4051514537,12522.6748097738,12609.5231049956,12663.2383006712,12681.194046875,12663.1842836579,12610.7777377524,12526.7372234716,12414.5310127578,12277.9461587849,12120.8010660319,11946.7463571739,11759.1392604117,11560.9756425181,11354.8647040697,11143.0333950358,10927.3499588057,10709.3584926126,10490.3185455462,10271.2456172457,10052.9498893741,9836.07160005953,9621.1122784764,9408.4616027338,9198.41999484758,8991.21728257015,8787.02786534903,8585.98286283955,8388.17972043329,8193.68971274209,8002.56373929821,7814.83675874164,7630.53114668089,7449.65922205536,7272.22513438363,7098.22627016791,6927.65430253425,6760.49597758695,6596.73371337928,6436.34606480619,6279.3080960005,6125.59168994855,5975.1658158884,5827.99676923577,5684.04839380246,5543.28229238204,5405.65802938674,5362.49391044916,5316.6272513389,5280.21307200209,5258.85513959942,5254.42750587342,5266.76288470807,5294.646167477,5336.38299583668,5390.11299773276,5453.97153980503,5526.16264524364,5604.98540447315,5688.83483445568,5776.19323954638,5865.61926296033,5955.73963935692,6045.2452228524,6132.89183427677,6217.50554591845,6297.99122145265,6373.34297851878,6442.65459515722,6505.13018787731,6560.09223848243,6606.98685505557,6645.38691056932,6674.99067576078,6695.61819672225,6707.20476154856,6709.79171524065,6703.51596107733,6688.59807330925,6665.32998181817,6634.06254038503,6595.19344466874,6549.15585741586,6496.40794723413,6437.42351227529,6372.68376422146,6302.67028787869,6227.85914896316,6148.71608859701,6065.69268318239,5979.22343142772,5889.72359834362,5797.58773100697,5703.18873817445,5606.87744006204,5508.9824995109,5409.81065056381,5309.64716524982,5208.75649617518,5107.38304648089,5005.75203005644,4904.0703873952,4802.52773188716,4701.2973068371,4600.53693685762,4500.38996224983,4400.98614785331,4302.44256011336,4204.8644084696,4108.34584859497,4012.97074617949,3918.81340096385,3825.93923134227,3734.40542033606,3644.26152410308,3555.5500443489,3468.30696614393,3382.56226272965,3298.34036891395,3215.66062464867,3134.53769035272,3054.98193549412
7,0,2,0,1,171228.02725029,0,8.97543090084088,18.2627834720205,31.1469956330689,50.9932860481709,82.4087541348451,132.428197377121,212.11924996862,338.994682714044,540.722153970658,860.786037365508,1366.92256045417,2163.12551858351,3405.33344894443,5318.47718777333,8206.41718099601,6808.15458930221,5822.84153379817,5129.47623234169,4645.56878223746,4314.28894115951,4095.78443022629,3961.338898048,3889.49400272567,3863.54490901451,3870.00707385392,3897.74624142849,3937.53462141346,3981.84554552933,4024.7479763992,4061.8120930584,4089.98190990277,4107.40478757791,4113.228852179,4107.38726680372,4090.38885830489,4063.12976371065,4026.73493987971,3982.432742464,3931.46169611768,3875.0059043613,3814.1543062844,3749.87863101602,3683.02518995661,3614.31630900327,3544.35796521011,3473.65099668965,3402.60394648896,3331.54619860762,3260.74054080679,3190.39463854221,3120.67116610639,3051.69651816183,2983.56813856901,2916.36057347389,2850.13039048647,2784.92011913097,2720.76136646228,2657.67725087042,2595.68428195406,2534.79379877847,2475.01305901969,2416.3460584069,2358.7941428638,2302.35646468516,2247.03032299453,2192.81141880352,2139.69404929184,2087.67125859836,2036.73495861025,1986.87602938883,1938.08440590201,1890.34915584577,1843.65855172222,1798.00013914443,1753.36080256306,1739.36023615451,1724.48308303249,1712.67190401237,1705.74431789888,1704.30818572384,1708.30924713318,1717.35337363693,1730.89098894137,1748.31866911168,1769.03160803043,1792.44726878471,1818.01395014553,1845.21106528848,1873.54633963024,1902.55225959979,1931.78339753471,1960.81512334096,1989.24387930619,2016.68889424154,2042.79495346362,2067.23579240049,2089.71747198796,2109.98184217134,2127.80914545905,2143.01972335791,2155.47503440201,2165.07721071668,2171.76788306615,2175.52606171755,2176.36515719438,2174.32957497725,2169.49085977785,2161.94370097699,2151.80190031049,2139.19445298594,2124.26185819453,2107.15272594329,2088.02073578484,2067.02197189924,2044.31263949174,2020.04715361444,1994.37658046932,1967.44739183809,1939.40052023996,1910.37065961753,1880.48578391507,1849.8668485451,1818.62764435641,1786.87477530725,1754.70773260566,1722.21904611404,1689.49449277785,1656.61334636639,1623.64865648876,1590.66754565762,1557.73151622548,1524.89676079984,1492.21447083378,1459.73113969851,1427.48885747484,1395.52559543572,1363.87547895617,1332.56904804914,1301.63350510383,1271.09294973074,1240.9686008171,1211.27900605269,1182.04023930385,1153.26608627886,1124.96821897242,1097.15635940293,1069.83843316133,1043.02071328846,1016.70795498777,990.903521664558
8,0,2,1,1,171228.02725029,0,8.97543090084088,18.2627834720205,31.1469956330689,50.9932860481709,82.4087541348451,132.428197377121,212.11924996862,338.994682714044,540.722153970658,860.786037365508,1366.92256045417,2163.12551858351,3405.33344894443,5318.47718777333,8206.41718099601,6808.15458930221,5822.84153379817,5129.47623234169,4645.56878223746,4314.28894115951,4095.78443022629,3961.338898048,3889.49400272567,3863.54490901451,3870.00707385392,3897.74624142849,3937.53462141346,3981.84554552933,4024.7479763992,4061.8120930584,4089.98190990277,4107.40478757791,4113.228852179,4107.38726680372,4090.38885830489,4063.12976371065,4026.73493987971,3982.432742464,3931.46169611768,3875.0059043613,3814.1543062844,3749.87863101602,3683.02518995661,3614.31630900327,3544.35796521011,3473.65099668965,3402.60394648896,3331.54619860762,3260.74054080679,3190.39463854221,3120.67116610639,3051.69651816183,2983.56813856901,2916.36057347389,2850.13039048647,2784.92011913097,2720.76136646228,2657.67725087042,2595.68428195406,2534.79379877847,2475.01305901969,2416.3460584069,2358.7941428638,2302.35646468516,2247.03032299453,2192.81141880352,2139.69404929184,2087.67125859836,2036.73495861025,1986.87602938883,1938.08440590201,1890.34915584577,1843.65855172222,1798.00013914443,1753.36080256306,1739.36023615451,1724.48308303249,1712.67190401237,1705.74431789888,1704.30818572384,1708.30924713318,1717.35337363693,1730.89098894137,1748.31866911168,1769.03160803043,1792.44726878471,1818.01395014553,1845.21106528848,1873.54633963024,1902.55225959979,1931.78339753471,1960.81512334096,1989.24387930619,2016.68889424154,2042.79495346362,2067.23579240049,2089.71747198796,2109.98184217134,2127.80914545905,2143.01972335791,2155.47503440201,2165.07721071668,2171.76788306615,2175.52606171755,2176.36515719438,2174.32957497725,2169.49085977785,2161.94370097699,2151.80190031049,2139.19445298594,2124.26185819453,2107.15272594329,2088.02073578484,2067.02197189924,2044.31263949174,2020.04715361444,1994.37658046932,1967.44739183809,1939.40052023996,1910.37065961753,1880.48578391507,1849.8668485451,1818.62764435641,1786.87477530725,1754.70773260566,1722.21904611404,1689.49449277785,1656.61334636639,1623.64865648876,1590.66754565762,1557.73151622548,1524.89676079984,1492.21447083378,1459.73113969851,1427.48885747484,1395.52559543572,1363.87547895617,1332.56904804914,1301.63350510383,1271.09294973074,1240.9686008171,1211.27900605269,1182.04023930385,1153.26608627886,1124.96821897242,1097.15635940293,1069.83843316133,1043.02071328846,1016.70795498777,990.903521664558
9,11,2,0,0,292.1211864,0,0.721667824360037,1.19799525358673,1.51623019001876,1.73643077891463,1.90205085972298,2.04760662035688,2.20494920769658,2.40932853007764,2.70636150630534,3.16111091075614,3.87063845092474,4.98136787517893,6.71177122718495,9.37788699794194,13.4114008146036,11.4799934390828,10.1777281628404,9.303747594517,8.72531821672413,8.35418002918693,8.13083875018156,8.01418665577314,7.97473492121308,7.99030943934393,8.04344538643656,8.11991712892221,8.20799073621196,8.29808547837458,8.38261891597011,8.45589225291069,8.51394264388095,8.55434092454034,8.57594551852195,8.57863589581865,8.56305091909529,8.53035147366735,8.482019299288,8.41969659689369,8.3450656350098,8.25976408358261,8.16533017763518,8.06317133477345,7.95455019913124,7.84058292091849,7.7222454259436,7.60038443337109,7.47573083509742,7.34891378271711,7.22047441083531,7.09087854855951,6.9605280866317,6.82977088026445,6.69890920356046,6.56820685548899,6.43789505988265,6.30817731911695,6.17923338147108,6.05122247147894,5.92428591697693,5.79854929031089,5.67412416039232,5.55110953860049,5.42959308373042,5.30965211966682,5.19135450794929,5.07475940709517,4.9599179447138,4.84687382085384,4.73566385717012,4.62631850253953,4.51886230273117,4.41331433980434,4.3096886452798,4.20799458989309,4.10823725195048,4.01158394572881,3.92245337357192,3.84344428224155,3.77524841300936,3.71756452215721,3.66961888907651,3.63045262582261,3.59907196391607,3.57452018357183,3.55590582494449,3.54240741310182,3.5332676785209,3.52778330865206,3.52529464057938,3.52517702146191,3.52683486339722,3.52969851143623,3.53322369160214,3.5368932123299,3.54022017202849,3.54275212220861,3.54407540413339,3.54381954397112,3.54166073732968,3.53732424165141,3.53058592736209,3.52127209546991,3.50925835645101,3.49446736575454,3.47686547537753,3.45645883554656,3.43328890484878,3.40742774703445,3.37897323610317,3.34804435086657,3.31477670538946,3.27931839783199,3.24182625215988,3.20246248638883,3.16139182053702,3.11877901896279,3.07478684869472,3.0295744115045,2.98329583861109,2.93609928565321,2.88812619713243,2.83951080030263,2.79037979329792,2.74085219371348,2.69103931512321,2.6410448483368,2.59096502269083,2.54088882771468,2.49089827999023,2.44106872075319,2.39146913343134,2.34216247254232,2.29320599661252,2.24465159982226,2.19654613827983,2.14893174775144,2.10184615070603,2.05532295116493,2.00939191637029,1.96407924476662,1.91940782009108,1.87539745161516,1.83206510077852,1.78942509457671,1.74748932615673,1.70626744313779,1.66576702420559,1.62599374454664,1.58695153069325,1.54864270534214
10,11,2,0,1,67.8788136,0,0.163033739156939,0.270642030989412,0.342535262010061,0.392281314363286,0.429696950951497,0.462579808009757,0.498125455850391,0.544297287279476,0.611400731735048,0.714134279337438,0.874425377268946,1.12535297181479,1.51627261545751,2.11858133487042,3.02980228344835,2.59347333037956,2.2992754041407,2.10183232133368,1.97115792915967,1.88731319559159,1.83685762227207,1.81050446297921,1.8015918253578,1.80511030275242,1.81711437421818,1.83439029216331,1.85428721569627,1.87464073874017,1.89373789389907,1.91029125224302,1.923405557717,1.9325320318774,1.93741277842157,1.93802056812151,1.93449972800073,1.92711251649355,1.91619367704323,1.90211420327049,1.88525414056283,1.86598345893393,1.84464966481133,1.82157071134064,1.79703184553915,1.77128521962433,1.74455130737692,1.71702139318947,1.68886059463378,1.66021104488178,1.63119499297254,1.60191767549642,1.5724698845716,1.54293020501796,1.51336692431562,1.48383963793344,1.45440058221166,1.42509573086848,1.39596569127628,1.36704643423803,1.33836988747012,1.30996441932759,1.28185523461549,1.25406470123612,1.22661262240175,1.19951646653985,1.17279156441643,1.14645128067649,1.12050716568301,1.09496909182064,1.06984537755924,1.04514290167891,1.02086720937423,0.997022611519778,0.973612278010658,0.950638325812594,0.928101902178149,0.906266717923988,0.886131012878775,0.868281876264702,0.852875581040386,0.839844072502386,0.829012557540049,0.820164411437996,0.813075129534125,0.807528576927277,0.803323361748515,0.8002739025914,0.798209122850178,0.796970135470591,0.796407914393643,0.79638134277181,0.796755869888749,0.797402803604886,0.798199185658028,0.799028176039706,0.799779777623394,0.800351776666845,0.800650722515438,0.80059292052185,0.800105219245735,0.799125550925489,0.797603281902097,0.795499171412471,0.792785118315753,0.789443649515727,0.785467163509941,0.780857049711085,0.77562267412975,0.769780316863597,0.763352088866703,0.756364868932726,0.748849293965961,0.740838821183144,0.732368879069039,0.723476114691406,0.714197740351491,0.704570978367526,0.69463259983611,0.684418547826717,0.673963642499116,0.663301354055171,0.652463636567369,0.64148081364217,0.630381507964206,0.61919260708882,0.607939258137115,0.596644886152921,0.585331230540478,0.574018395141515,0.56272490852217,0.55146779120485,0.540262627404049,0.529123639328464,0.518063762391509,0.507094720134088,0.496227097933961,0.485470414784886,0.474833192661873,0.464323023131375,0.453946630983702,0.44370993477338,0.433618104221313,0.423675614488358,0.413886297374737,0.404253389526973,0.394779577754928,0.385467041575796,0.376317493108958,0.367332214449649,0.35851209265036,0.349857652437177
