"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,42.244677383167,88.3231114996098,155.469157398104,261.883473779241,433.00070412969,708.002022821967,1148.73048516882,1853.14420112608,2976.01156450306,4760.43533920201,7584.61734740202,12027.8707594936,18955.4103344064,29606.4594816122,45633.1767641387,37618.1862562675,31894.3835760063,27807.1064591311,24904.39547837,22870.9837386223,21483.3181081494,20579.0038516407,20036.2921587969,19760.6324670212,19676.2496066662,19721.1772372927,19844.5400750239,20005.1292105786,20170.5635073572,20316.580832211,20426.2268494479,20488.8786173077,20499.1466178913,20455.7396173945,20360.3811773724,20216.8443515605,20030.1437316191,19805.8974373492,19549.8524375609,19267.5541438682,18964.1356523827,18644.2006151391,18311.7754155605,17970.3097343482,17622.708450124,17271.3818330942,16918.3044202209,16565.0759182444,16212.9798274593,15863.0371998219,15516.0542344036,15172.6632830297,14833.3573997039,14498.5189142031,14168.4426840653,13843.354748904,13523.4271080166,13208.789292725,12899.5373352471,12595.7406615978,12297.4473440929,12004.6880859537,11717.4792314702,11435.8250418245,11159.7194256505,10889.1472654379,10624.0854550798,10364.5037290998,10110.36534607,9861.62767113762,9618.24268865959,9380.1574669458,9147.31458993578,8919.65256494076,8697.10621210762,21178.8808967369,31223.0232888838,39999.6466382776,48128.8766976175,55904.7471410111,63418.2035451049,70627.7502597206,77403.9993996297,83562.6560518777,88893.3794194095,93187.4783599646,96264.2322943144,97993.7320074594,98313.4626895248,97236.2323431834,94848.5922833183,91300.5177603247,86788.6963199142,81536.6809410284,75775.1045424678,69724.5975992212,63582.9640502723,57517.1542878375,51659.7329278599,46108.9581799572,40931.4854611974,36166.589374711,31831.0948664696,27924.3445206027,24432.7955603605,21334.0098616916,18599.9431074713,16199.5438891496,14100.7143309508,12271.7316491516,10682.2114910826,9303.73829575652,8110.20622840712,7077.97333295464,6185.87182368761,5415.12522481605,4749.20449526249,4173.65028597876,3675.87904289534,3244.98645074764,2871.55636937746,2547.48089706675,2265.79454479477,2020.52399969584,1806.55374947039,1619.5071672463,1455.6421380822,1311.760104132,1185.12719691796,1073.40622755206,974.5982224369,886.992343406021,809.123084123346,739.733815073808,677.7456692139,622.231167838246,572.391784710386,527.538898681209,487.077652433886,450.493243196637,417.339299680003,387.228020733812,359.821798745744,334.82610834197,311.983459526818,291.068252102475,271.882394249778,254.251565305023,238.022025174425,223.057886588094
2,0,1,1,0,0,818021.22396571,0,42.244677383167,88.3231114996098,155.469157398104,261.883473779241,433.00070412969,708.002022821967,1148.73048516882,1853.14420112608,2976.01156450306,4760.43533920201,7584.61734740202,12027.8707594936,18955.4103344064,29606.4594816122,45633.1767641387,37618.1862562675,31894.3835760063,27807.1064591311,24904.39547837,22870.9837386223,21483.3181081494,20579.0038516407,20036.2921587969,19760.6324670212,19676.2496066662,19721.1772372927,19844.5400750239,20005.1292105786,20170.5635073572,20316.580832211,20426.2268494479,20488.8786173077,20499.1466178913,20455.7396173945,20360.3811773724,20216.8443515605,20030.1437316191,19805.8974373492,19549.8524375609,19267.5541438682,18964.1356523827,18644.2006151391,18311.7754155605,17970.3097343482,17622.708450124,17271.3818330942,16918.3044202209,16565.0759182444,16212.9798274593,15863.0371998219,15516.0542344036,15172.6632830297,14833.3573997039,14498.5189142031,14168.4426840653,13843.354748904,13523.4271080166,13208.789292725,12899.5373352471,12595.7406615978,12297.4473440929,12004.6880859537,11717.4792314702,11435.8250418245,11159.7194256505,10889.1472654379,10624.0854550798,10364.5037290998,10110.36534607,9861.62767113762,9618.24268865959,9380.1574669458,9147.31458993578,8919.65256494076,8697.10621210762,21178.8808967369,31223.0232888838,39999.6466382776,48128.8766976175,55904.7471410111,63418.2035451049,70627.7502597206,77403.9993996297,83562.6560518777,88893.3794194095,93187.4783599646,96264.2322943144,97993.7320074594,98313.4626895248,97236.2323431834,94848.5922833183,91300.5177603247,86788.6963199142,81536.6809410284,75775.1045424678,69724.5975992212,63582.9640502723,57517.1542878375,51659.7329278599,46108.9581799572,40931.4854611974,36166.589374711,31831.0948664696,27924.3445206027,24432.7955603605,21334.0098616916,18599.9431074713,16199.5438891496,14100.7143309508,12271.7316491516,10682.2114910826,9303.73829575652,8110.20622840712,7077.97333295464,6185.87182368761,5415.12522481605,4749.20449526249,4173.65028597876,3675.87904289534,3244.98645074764,2871.55636937746,2547.48089706675,2265.79454479477,2020.52399969584,1806.55374947039,1619.5071672463,1455.6421380822,1311.760104132,1185.12719691796,1073.40622755206,974.5982224369,886.992343406021,809.123084123346,739.733815073808,677.7456692139,622.231167838246,572.391784710386,527.538898681209,487.077652433886,450.493243196637,417.339299680003,387.228020733812,359.821798745744,334.82610834197,311.983459526818,291.068252102475,271.882394249778,254.251565305023,238.022025174425,223.057886588094
3,0,1,0,1,0,2335.27250675705,0,0.120473959434906,0.251881079726475,0.443369108772539,0.74684293859288,1.23483743979051,2.01909003123959,3.27596559956245,5.2848224472997,8.48703123585969,13.5758758137904,21.6299174059806,34.3012493816539,54.057303242875,84.4321135713109,130.137329171778,107.280067591619,90.95684737477,79.3006935565886,71.0227019465305,65.2237900214405,61.2664258461038,58.6874898521825,57.1397770864894,56.3536469375097,56.1130027208859,56.2411279637538,56.5929358228554,57.0509061566569,57.5226939887304,57.9391082297878,58.2517982691267,58.4304694534561,58.4597518805549,58.3359631918731,58.0640186642635,57.6546783449271,57.1222429162154,56.4827342104379,55.752541513303,54.9474793069002,54.0821862262246,53.1697910302786,52.221776215396,51.2479796290556,50.256685444576,49.2547673041071,48.2478562196631,47.2405142572095,46.2364017207664,45.2384304605261,44.2488996062303,43.2696125076237,42.3019752629821,41.3470782056894,40.4057622145798,39.4786719125714,38.5662978096572,37.6690093050648,36.7870802648112,35.9207086789729,35.0700316408496,34.2351367103154,33.4160704982444,32.6128451567351,31.8254433143446,31.0538218587467,30.2979148956234,29.5576361134682,28.8328807325644,28.1235271662457,27.4294384828319,26.7504637309919,26.0864391708046,25.4371894365636,24.8025286474557,60.3982275657495,89.0422527558221,114.071549483074,137.254601007482,159.429936656791,180.856916293364,201.417202043984,220.741803735167,238.305146566898,253.507377724063,265.753348900068,274.52767862961,279.459890003702,280.371702416705,277.299641909056,270.490536726211,260.37208837642,247.505213142425,232.527442523694,216.096498690806,198.841578705744,181.326782597135,164.028221819141,147.323945990152,131.494169241103,116.728980418907,103.140383383872,90.7763597512938,79.6350346934342,69.6777867309058,60.8406265089729,53.0435768533989,46.1980849247307,40.2126135537033,34.9966952637929,30.4636795347991,26.5325304740658,23.1287990983491,20.1850629479656,17.6409554367533,15.4429295494958,13.5438475365967,11.9024740250199,10.4829230599795,9.25409756330547,8.1891444553267,7.26494150897951,6.46162444564449,5.76215848848227,5.15195514825723,4.61853309948853,4.15122052665816,3.74089573794444,3.37976224913933,3.06115483241471,2.77937278701955,2.52953712083854,2.30746848248778,2.10958319841119,1.93280454054535,1.77448751219838,1.63235486512557,1.5044427799413,1.38905483426301,1.28472290637487,1.19017402841559,1.104302263663,1.02614481802536,0.95486175993881,0.889718775846829,0.830072495962658,0.775357999276959,0.725078155692674,0.678794527068731,0.636119588195926
4,0,1,1,1,0,2335.27250675705,0,0.120473959434906,0.251881079726475,0.443369108772539,0.74684293859288,1.23483743979051,2.01909003123959,3.27596559956245,5.2848224472997,8.48703123585969,13.5758758137904,21.6299174059806,34.3012493816539,54.057303242875,84.4321135713109,130.137329171778,107.280067591619,90.95684737477,79.3006935565886,71.0227019465305,65.2237900214405,61.2664258461038,58.6874898521825,57.1397770864894,56.3536469375097,56.1130027208859,56.2411279637538,56.5929358228554,57.0509061566569,57.5226939887304,57.9391082297878,58.2517982691267,58.4304694534561,58.4597518805549,58.3359631918731,58.0640186642635,57.6546783449271,57.1222429162154,56.4827342104379,55.752541513303,54.9474793069002,54.0821862262246,53.1697910302786,52.221776215396,51.2479796290556,50.256685444576,49.2547673041071,48.2478562196631,47.2405142572095,46.2364017207664,45.2384304605261,44.2488996062303,43.2696125076237,42.3019752629821,41.3470782056894,40.4057622145798,39.4786719125714,38.5662978096572,37.6690093050648,36.7870802648112,35.9207086789729,35.0700316408496,34.2351367103154,33.4160704982444,32.6128451567351,31.8254433143446,31.0538218587467,30.2979148956234,29.5576361134682,28.8328807325644,28.1235271662457,27.4294384828319,26.7504637309919,26.0864391708046,25.4371894365636,24.8025286474557,60.3982275657495,89.0422527558221,114.071549483074,137.254601007482,159.429936656791,180.856916293364,201.417202043984,220.741803735167,238.305146566898,253.507377724063,265.753348900068,274.52767862961,279.459890003702,280.371702416705,277.299641909056,270.490536726211,260.37208837642,247.505213142425,232.527442523694,216.096498690806,198.841578705744,181.326782597135,164.028221819141,147.323945990152,131.494169241103,116.728980418907,103.140383383872,90.7763597512938,79.6350346934342,69.6777867309058,60.8406265089729,53.0435768533989,46.1980849247307,40.2126135537033,34.9966952637929,30.4636795347991,26.5325304740658,23.1287990983491,20.1850629479656,17.6409554367533,15.4429295494958,13.5438475365967,11.9024740250199,10.4829230599795,9.25409756330547,8.1891444553267,7.26494150897951,6.46162444564449,5.76215848848227,5.15195514825723,4.61853309948853,4.15122052665816,3.74089573794444,3.37976224913933,3.06115483241471,2.77937278701955,2.52953712083854,2.30746848248778,2.10958319841119,1.93280454054535,1.77448751219838,1.63235486512557,1.5044427799413,1.38905483426301,1.28472290637487,1.19017402841559,1.104302263663,1.02614481802536,0.95486175993881,0.889718775846829,0.830072495962658,0.775357999276959,0.725078155692674,0.678794527068731,0.636119588195926
5,0,2,0,0,0,527895.493723415,0,27.6714924153657,56.3046476438165,96.0270167436527,157.213658445857,254.068382905134,408.279658045206,653.969294727123,1045.12963156524,1667.06079583959,2653.82626605054,4214.25863666452,6668.97355165753,10498.7336480301,16397.0066571437,25300.6022958949,20989.7215604789,17951.9752220663,15814.3115699023,14322.4120413603,13301.0674888558,12627.4122776468,12212.9131321584,11991.4134156076,11911.4116761955,11931.3347095123,12016.8553085568,12139.5239502485,12276.1357159825,12408.4050596513,12522.6747252832,12609.5230278196,12663.2382307178,12681.1939838499,12663.1842272106,12610.7776874716,12526.7371788865,12414.5309733886,12277.9461240846,12120.8010354892,11946.7463303897,11759.1392370865,11560.9756222977,11354.8646866692,11143.0333802649,10927.3499463533,10709.358482286,10490.3185371872,10271.2456106437,10052.9498843898,9836.07159655921,9621.1122763335,9408.46160184289,9198.41999509788,8991.21728388318,8787.02786764322,8585.98286602417,8388.17972445275,8193.68971751668,8002.56374478321,7814.83676487186,7630.53115341361,7449.65922932784,7272.22514216367,7098.22627839502,6927.65431117236,6760.49598660682,6596.73372273292,6436.34607445891,6279.30810592801,6125.59170011586,5975.16582626665,5827.99677979864,5684.04840452627,5543.28230324227,5405.65804036187,11916.7019111861,17193.378651801,21849.9144390219,26218.7834895667,30466.1780526435,34654.4909117384,38777.0743739959,42779.0575884357,46571.9892505847,50046.4858256133,53084.8288933257,55573.8259646271,57417.1691313152,58545.951091835,58925.9225579277,58560.5635667995,57489.7342928389,55784.4584140504,53539.0241206308,50861.8054747806,47866.1922764002,44662.6870390762,41352.8081614546,38025.0342948192,34752.6628600934,31593.3036239656,28589.5634369542,25770.5380748925,23153.7344501671,20747.1497000709,18551.3006133853,16561.0783678281,14767.3608569593,13158.3556748333,11720.6820256449,10440.2059254731,9302.6749011086,8294.16698818211,7401.40201493062,6611.9387217771,5914.28652371801,5297.9527671134,4753.4441207547,4272.23587055969,3846.72049655577,3470.14356628768,3136.53322470458,2840.62764851031,2577.80354186411,2344.00767374768,2135.69276509788,1949.7583911286,1783.49720578798,1634.54651321222,1500.84498603635,1380.59426468026,1272.22505773501,1174.36735560428,1085.82437126805,1005.54976524971,932.627850031221,866.25637691124,805.731602388151,750.435357944112,699.823849880602,653.417972694376,610.794932857066,571.581002965489,535.445257371021,502.094152382652,471.266835033483,442.731081234512,416.279774917237,391.727853966333,368.90965857129
6,0,2,1,0,0,527895.493723415,0,27.6714924153657,56.3046476438165,96.0270167436527,157.213658445857,254.068382905134,408.279658045206,653.969294727123,1045.12963156524,1667.06079583959,2653.82626605054,4214.25863666452,6668.97355165753,10498.7336480301,16397.0066571437,25300.6022958949,20989.7215604789,17951.9752220663,15814.3115699023,14322.4120413603,13301.0674888558,12627.4122776468,12212.9131321584,11991.4134156076,11911.4116761955,11931.3347095123,12016.8553085568,12139.5239502485,12276.1357159825,12408.4050596513,12522.6747252832,12609.5230278196,12663.2382307178,12681.1939838499,12663.1842272106,12610.7776874716,12526.7371788865,12414.5309733886,12277.9461240846,12120.8010354892,11946.7463303897,11759.1392370865,11560.9756222977,11354.8646866692,11143.0333802649,10927.3499463533,10709.358482286,10490.3185371872,10271.2456106437,10052.9498843898,9836.07159655921,9621.1122763335,9408.46160184289,9198.41999509788,8991.21728388318,8787.02786764322,8585.98286602417,8388.17972445275,8193.68971751668,8002.56374478321,7814.83676487186,7630.53115341361,7449.65922932784,7272.22514216367,7098.22627839502,6927.65431117236,6760.49598660682,6596.73372273292,6436.34607445891,6279.30810592801,6125.59170011586,5975.16582626665,5827.99677979864,5684.04840452627,5543.28230324227,5405.65804036187,11916.7019111861,17193.378651801,21849.9144390219,26218.7834895667,30466.1780526435,34654.4909117384,38777.0743739959,42779.0575884357,46571.9892505847,50046.4858256133,53084.8288933257,55573.8259646271,57417.1691313152,58545.951091835,58925.9225579277,58560.5635667995,57489.7342928389,55784.4584140504,53539.0241206308,50861.8054747806,47866.1922764002,44662.6870390762,41352.8081614546,38025.0342948192,34752.6628600934,31593.3036239656,28589.5634369542,25770.5380748925,23153.7344501671,20747.1497000709,18551.3006133853,16561.0783678281,14767.3608569593,13158.3556748333,11720.6820256449,10440.2059254731,9302.6749011086,8294.16698818211,7401.40201493062,6611.9387217771,5914.28652371801,5297.9527671134,4753.4441207547,4272.23587055969,3846.72049655577,3470.14356628768,3136.53322470458,2840.62764851031,2577.80354186411,2344.00767374768,2135.69276509788,1949.7583911286,1783.49720578798,1634.54651321222,1500.84498603635,1380.59426468026,1272.22505773501,1174.36735560428,1085.82437126805,1005.54976524971,932.627850031221,866.25637691124,805.731602388151,750.435357944112,699.823849880602,653.417972694376,610.794932857066,571.581002965489,535.445257371021,502.094152382652,471.266835033483,442.731081234512,416.279774917237,391.727853966333,368.90965857129
7,0,2,0,1,0,171228.02725029,0,8.97543090698016,18.2627834842879,31.1469956534576,50.9932860806172,82.40875418584,132.428197456939,212.119250093301,338.994682908485,540.722154273291,860.786036854275,1366.92255877472,2163.12551686378,3405.33344043116,5318.4771577685,8206.4170736845,6808.15450048578,5822.84145830903,5129.47616653654,4645.56872354117,4314.28888775846,4095.7843809334,3961.33885174079,3889.49395909907,3863.54486774711,3870.00703488681,3897.7462047272,3937.53458698827,3981.84551341106,4024.74794662251,4061.81206565329,4089.98188487023,4107.40476488806,4113.22883173639,4107.38724849467,4090.38884199599,4063.12974924916,4026.73492711006,3982.43273120872,3931.46168621095,3875.00589567368,3814.15429871871,3749.87862445741,3683.02518431265,3614.31630421223,3544.35796117111,3473.65099334017,3402.60394377766,3331.54619646624,3260.74053919013,3190.39463740686,3120.67116541132,3051.69651787286,2983.5681386502,2916.36057389978,2850.1303912306,2784.92012016392,2720.76136776602,2657.67725241909,2595.68428373316,2534.79380076684,2475.01306120349,2416.34606076578,2358.79414538731,2302.35646735367,2247.03032579636,2192.81142172918,2139.69405232576,2087.67126172929,2036.7349618303,1986.87603268667,1938.08440926827,1890.34915927191,1843.65855520056,1798.00014266702,1753.36080612292,3865.26079032647,5576.78566195063,7087.1637289057,8504.23519423203,9881.90560908867,11240.4124839383,12577.599595798,13875.6692225794,15105.9316008244,16232.9074602252,17218.4140554825,18025.7366568734,18623.6371597489,18989.7650267831,19113.0112756426,18994.5046793271,18647.1741480592,18094.0566798121,17365.7352703907,16497.3617610037,15525.7148804339,14486.6368471225,13413.0558226285,12333.6704405283,11272.255202294,10247.4962153718,9273.2132924865,8358.84384025704,7510.06634107827,6729.47471912854,6017.23659825444,5371.69489828401,4789.89080388311,4267.99937047687,3801.68044877277,3386.34958794976,3017.38390440533,2690.26771725714,2400.69351528381,2144.6258939595,1918.33780632078,1718.42589101793,1541.81092351686,1385.72785663118,1247.70914112781,1125.56393233137,1017.35521970442,921.376296187921,836.127565310585,760.294334882753,692.726021565402,632.41698214882,578.489071100961,530.175932449348,486.808961079986,447.804847212719,412.654580838173,380.913790316064,352.194289890191,326.156692456433,302.503988734359,280.975964071255,261.344354625034,243.408653363494,226.992477217177,211.940425159028,198.115361322109,185.396064760513,173.675197559463,162.857546888466,152.858503368813,143.602743586986,135.023088081371,127.059510735391,119.658278697886
8,0,2,1,1,0,171228.02725029,0,8.97543090698016,18.2627834842879,31.1469956534576,50.9932860806172,82.40875418584,132.428197456939,212.119250093301,338.994682908485,540.722154273291,860.786036854275,1366.92255877472,2163.12551686378,3405.33344043116,5318.4771577685,8206.4170736845,6808.15450048578,5822.84145830903,5129.47616653654,4645.56872354117,4314.28888775846,4095.7843809334,3961.33885174079,3889.49395909907,3863.54486774711,3870.00703488681,3897.7462047272,3937.53458698827,3981.84551341106,4024.74794662251,4061.81206565329,4089.98188487023,4107.40476488806,4113.22883173639,4107.38724849467,4090.38884199599,4063.12974924916,4026.73492711006,3982.43273120872,3931.46168621095,3875.00589567368,3814.15429871871,3749.87862445741,3683.02518431265,3614.31630421223,3544.35796117111,3473.65099334017,3402.60394377766,3331.54619646624,3260.74053919013,3190.39463740686,3120.67116541132,3051.69651787286,2983.5681386502,2916.36057389978,2850.1303912306,2784.92012016392,2720.76136776602,2657.67725241909,2595.68428373316,2534.79380076684,2475.01306120349,2416.34606076578,2358.79414538731,2302.35646735367,2247.03032579636,2192.81142172918,2139.69405232576,2087.67126172929,2036.7349618303,1986.87603268667,1938.08440926827,1890.34915927191,1843.65855520056,1798.00014266702,1753.36080612292,3865.26079032647,5576.78566195063,7087.1637289057,8504.23519423203,9881.90560908867,11240.4124839383,12577.599595798,13875.6692225794,15105.9316008244,16232.9074602252,17218.4140554825,18025.7366568734,18623.6371597489,18989.7650267831,19113.0112756426,18994.5046793271,18647.1741480592,18094.0566798121,17365.7352703907,16497.3617610037,15525.7148804339,14486.6368471225,13413.0558226285,12333.6704405283,11272.255202294,10247.4962153718,9273.2132924865,8358.84384025704,7510.06634107827,6729.47471912854,6017.23659825444,5371.69489828401,4789.89080388311,4267.99937047687,3801.68044877277,3386.34958794976,3017.38390440533,2690.26771725714,2400.69351528381,2144.6258939595,1918.33780632078,1718.42589101793,1541.81092351686,1385.72785663118,1247.70914112781,1125.56393233137,1017.35521970442,921.376296187921,836.127565310585,760.294334882753,692.726021565402,632.41698214882,578.489071100961,530.175932449348,486.808961079986,447.804847212719,412.654580838173,380.913790316064,352.194289890191,326.156692456433,302.503988734359,280.975964071255,261.344354625034,243.408653363494,226.992477217177,211.940425159028,198.115361322109,185.396064760513,173.675197559463,162.857546888466,152.858503368813,143.602743586986,135.023088081371,127.059510735391,119.658278697886
9,11,2,0,0,1,292.1211864,0,0.721667824857917,1.19799525442165,1.51623019109327,1.73643078017194,1.90205086113345,2.04760662191045,2.20494920939957,2.40932853195285,2.70636150839542,3.16111091160888,3.87063844972657,4.98136787351906,6.71177121779431,9.37788696140914,13.4114006735506,11.4799933198727,10.1777280584604,9.30374750026857,8.72531812946773,8.35417994684835,8.13083867156088,8.01418657954736,7.97473484743406,7.99030936784177,8.04344531739579,8.11991706250085,8.20799067261198,8.29808541781073,8.38261885864457,8.45589219899945,8.5139425935084,8.55434087776935,8.57594547531303,8.57863585609341,8.56305088273569,8.53035144051683,8.48201926917487,8.41969656960889,8.3450656103514,8.2597640613835,8.16533015776223,8.06317131707036,7.95455018345903,7.84058290717701,7.72224541398047,7.60038442307849,7.47573082638166,7.34891377546134,7.22047440495101,7.09087854396076,6.96052808323419,6.82977087799316,6.69890920233938,6.56820685525383,6.43789506056941,6.30817732065958,6.17923338381662,6.05122247456747,5.92428592076158,5.798549294739,5.67412416542014,5.55110954417868,5.42959308982117,5.30965212622393,5.19135451493598,5.07475941447823,4.95991795245464,4.84687382891954,4.73566386553247,4.62631851116756,4.51886231159701,4.41331434888204,4.30968865454538,4.20799459932282,4.10823726152274,6.41116685955597,8.28423590146696,9.9570010515349,11.5536361359425,13.1365577516087,14.7298410966207,16.3319910064241,17.9233070962111,19.470820916745,20.9324502643637,22.2611989775424,23.4096312471261,24.3344341056619,25.0006230675003,25.3848565901109,25.4774286853695,25.2827178292136,24.8181398594404,24.1119076264703,23.2000304897494,22.1230422367632,20.9228843926273,19.6402515385056,18.3125740289134,16.9726753667082,15.6480668313085,14.3607603570042,13.127478683503,11.9601273546626,10.8664194325611,9.85056016430875,8.91392820874821,8.055709686243,7.27346034381263,6.56358567901116,5.9217353760831,5.34312167373167,4.82276384734169,4.35567327029622,3.9369869972879,3.56206029555034,3.22652630240266,2.92633051753898,2.65774619590058,2.41737590740107,2.20214322972922,2.00927783167287,1.83629639199929,1.68098120568586,1.54135781724961,1.41567267523521,1.3023714562414,1.20007849813524,1.1075776262608,1.02379447852352,0.947780405006861,0.878697907605362,0.815807568091803,0.758456377811257,0.706067357711287,0.658130372882548,0.614194020568791,0.573858486087161,0.536769266770369,0.502611663493478,0.471105954192802,0.442003168803824,0.415081391608794,0.390142527865883,0.367009476144951,0.345523655140455,0.325542840632873,0.306939272400387,0.28959799664258,0.273415413783134
10,11,2,0,1,1,67.8788136,0,0.163033739269416,0.27064203117803,0.342535262252804,0.392281314647328,0.429696951270139,0.462579808360729,0.498125456235118,0.54429728770311,0.611400732207223,0.714134279530083,0.874425376998263,1.1253529714398,1.51627261333604,2.11858132661721,3.02980225158273,2.59347330344853,2.29927538055995,2.10183230004179,1.97115790944736,1.88731317699028,1.83685760451068,1.81050444575886,1.8015918086902,1.80511028659919,1.81711435862101,1.8343902771579,1.85428720132824,1.87464072505804,1.89373788094851,1.91029124006379,1.92340554633721,1.93253202131124,1.93741276866014,1.93802055914708,1.93449971978664,1.92711250900443,1.91619367024029,1.90211419710651,1.88525413499218,1.86598345391887,1.84464966032177,1.82157070734129,1.7970318419986,1.77128521651995,1.74455130467429,1.71702139086424,1.68886059266478,1.66021104324261,1.6311949916432,1.6019176744575,1.57246988380405,1.54293020450484,1.51336692403976,1.48383963788032,1.4544005823668,1.42509573121698,1.39596569180617,1.36704643493577,1.33836988832511,1.30996442032796,1.28185523575134,1.2540647024963,1.22661262377772,1.19951646802118,1.1727915659948,1.14645128234441,1.12050716743177,1.09496909364277,1.0698453794484,1.04514290362808,1.02086721137713,0.997022613570543,0.973612280103865,0.950638327942886,0.928101904340641,1.44836234925585,1.87151194702634,2.24941040382512,2.61011013172413,2.96771181643724,3.32765434471073,3.68959994027173,4.04909804111701,4.39870066443253,4.72890091690341,5.02908178100331,5.288526917337,5.49745138773835,5.64795176168797,5.73475489435665,5.75566808228351,5.71168047765155,5.60672653487433,5.44717988783297,5.24117549878711,4.99787045457494,4.72673986747758,4.43697714962545,4.13703828374162,3.83433850744995,3.53509296101461,3.24427441422285,2.96566074200746,2.70194155483235,2.45485932937231,2.22536408326337,2.01376727268875,1.81988503211381,1.64316517438345,1.48279565667911,1.33779368855316,1.20707765516835,1.08952234887328,0.984000776856096,0.889414339276228,0.804713733220723,0.728912430085676,0.661094467813521,0.600417928334336,0.546115289927174,0.497491550520863,0.453920857831326,0.414842198699275,0.379754565971587,0.348211905592194,0.319818068472949,0.294221913621539,0.27111266184873,0.250215564170391,0.231287908824165,0.21411538399259,0.198508788435066,0.184301078375611,0.171344731035572,0.159509399669316,0.148679838454682,0.138754069893529,0.129641770875258,0.121262854837273,0.113546227332355,0.106428695666542,0.099854014405043,0.0937720500265589,0.0881380504645891,0.0829120063029016,0.0780580920518043,0.0735441774908203,0.0693413999964891,0.0654237900752568,0.0617679432940427
