"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,42.2446773539349,88.3231114378224,155.469157288284,261.883473593182,433.000703821538,708.002022319045,1148.73048435699,1853.14419982694,2976.01156243933,4760.43534110701,7584.61735411849,12027.8707656213,18955.4103870251,29606.4596623305,45633.1773745453,37618.1867573783,31894.3839973128,27807.1068217122,24904.3957973349,22870.984024778,21483.318368775,20579.0040934226,20036.292384099,19760.6326780814,19676.2498042788,19721.1774220489,19844.5402472062,20005.1293702985,20170.5636546537,20316.5809671082,20426.226972071,20488.8787279159,20499.1467170355,20455.7397057032,20360.3812555569,20216.8444204153,20030.1437919443,19805.8974900503,19549.8524834714,19267.5541836432,18964.1356865147,18644.2006442115,18311.7754400393,17970.3097545495,17622.7084665561,17271.3818460742,16918.304430011,16565.0759251897,16212.9798317907,15863.0372017603,15516.0542341592,15172.6632807779,14833.3573956273,14498.5189084345,14168.4426767407,13843.3547401727,13523.4270979734,13208.7892815008,12899.5373229187,12595.7406482726,12297.4473298432,12004.6880708819,11717.4792156316,11435.8250253169,11159.7194085341,10889.147247762,10624.0854369216,10364.5037105161,10110.3653271013,9861.62765184039,9618.24266908054,9380.1574471275,9147.31456991653,8919.65254475979,8697.10619179941,11865.4953272817,14271.375854897,16142.2459623185,17632.2265768183,18846.1477386913,19855.6296995328,20709.8551017371,21442.7977387794,22078.0906203432,22632.3149945689,23117.2202019352,23541.2380060738,23910.5130843361,24229.6085451162,24501.9934971437,24730.3794843282,24916.9568949092,25063.5591000075,25171.7792220643,25243.0544584174,25278.7246862869,25280.0753654091,25248.367058196,25184.8574270898,25090.815718203,24967.5311676554,24816.3193286696,24638.523885082,24435.5165366863,24208.6953931745,23959.4809745031,23689.3118523565,23399.6392642812,23091.920799258,22767.6142321007,22428.1708592015,22075.0288115117,21709.6067468993,21333.2975335524,20947.4624003309,20553.4255863211,20152.4693389235,19745.829583954,19334.6921183998,18920.1893948525,18503.3979208759,18085.3362307005,17666.9634124732,17249.1782900244,16832.818946579,16418.6628343175,16007.4273056087,15599.7705338497,15196.2927815668,14797.5379744055,14403.9955357589,14016.1024385425,13634.2454335466,13258.7634154215,12889.9498900331,12528.0555100111,12173.2906482712,11825.8279824118,11485.8050660306,11153.3268660564,10828.4682481365,10511.2763949342,10201.7731448215,9899.9572408919,9605.80647452641,9319.27977145426,9040.31900422375,8768.85107687273,8504.78943112622,8248.03565141361
2,0,1,1,0,818021.22396571,0,42.2446773539349,88.3231114378224,155.469157288284,261.883473593182,433.000703821538,708.002022319045,1148.73048435699,1853.14419982694,2976.01156243933,4760.43534110701,7584.61735411849,12027.8707656213,18955.4103870251,29606.4596623305,45633.1773745453,37618.1867573783,31894.3839973128,27807.1068217122,24904.3957973349,22870.984024778,21483.318368775,20579.0040934226,20036.292384099,19760.6326780814,19676.2498042788,19721.1774220489,19844.5402472062,20005.1293702985,20170.5636546537,20316.5809671082,20426.226972071,20488.8787279159,20499.1467170355,20455.7397057032,20360.3812555569,20216.8444204153,20030.1437919443,19805.8974900503,19549.8524834714,19267.5541836432,18964.1356865147,18644.2006442115,18311.7754400393,17970.3097545495,17622.7084665561,17271.3818460742,16918.304430011,16565.0759251897,16212.9798317907,15863.0372017603,15516.0542341592,15172.6632807779,14833.3573956273,14498.5189084345,14168.4426767407,13843.3547401727,13523.4270979734,13208.7892815008,12899.5373229187,12595.7406482726,12297.4473298432,12004.6880708819,11717.4792156316,11435.8250253169,11159.7194085341,10889.147247762,10624.0854369216,10364.5037105161,10110.3653271013,9861.62765184039,9618.24266908054,9380.1574471275,9147.31456991653,8919.65254475979,8697.10619179941,11865.4953272817,14271.375854897,16142.2459623185,17632.2265768183,18846.1477386913,19855.6296995328,20709.8551017371,21442.7977387794,22078.0906203432,22632.3149945689,23117.2202019352,23541.2380060738,23910.5130843361,24229.6085451162,24501.9934971437,24730.3794843282,24916.9568949092,25063.5591000075,25171.7792220643,25243.0544584174,25278.7246862869,25280.0753654091,25248.367058196,25184.8574270898,25090.815718203,24967.5311676554,24816.3193286696,24638.523885082,24435.5165366863,24208.6953931745,23959.4809745031,23689.3118523565,23399.6392642812,23091.920799258,22767.6142321007,22428.1708592015,22075.0288115117,21709.6067468993,21333.2975335524,20947.4624003309,20553.4255863211,20152.4693389235,19745.829583954,19334.6921183998,18920.1893948525,18503.3979208759,18085.3362307005,17666.9634124732,17249.1782900244,16832.818946579,16418.6628343175,16007.4273056087,15599.7705338497,15196.2927815668,14797.5379744055,14403.9955357589,14016.1024385425,13634.2454335466,13258.7634154215,12889.9498900331,12528.0555100111,12173.2906482712,11825.8279824118,11485.8050660306,11153.3268660564,10828.4682481365,10511.2763949342,10201.7731448215,9899.9572408919,9605.80647452641,9319.27977145426,9040.31900422375,8768.85107687273,8504.78943112622,8248.03565141361
3,0,1,0,1,2335.27250675705,0,0.120473959351542,0.251881079550268,0.443369108459352,0.746842938062273,1.23483743891172,2.01909002980535,3.27596559724726,5.28482244359479,8.48703122997431,13.5758758192231,21.6299174251347,34.301249399129,54.0573033929335,84.4321140866857,130.137330912544,107.280069020694,90.9568485762579,79.3006945906026,71.0227028561591,65.2237908375033,61.2664265893593,58.6874905416996,57.1397777290092,56.3536475394142,56.11300328444,56.2411284906443,56.5929363138872,57.0509066121483,57.5226944087924,57.9391086144896,58.2517986188248,58.4304697688901,58.4597521632957,58.335963443713,58.064018887231,57.6546785412883,57.1222430882518,56.4827343607318,55.7525416442314,54.9474794203309,54.0821863235627,53.1697911131876,52.2217762852051,51.247979686666,50.2566854914373,49.2547673411238,48.2478562475825,47.2405142770161,46.2364017331188,45.2384304660538,44.2488996055333,43.2696125012021,42.3019752513566,41.3470781892384,40.4057621936914,39.4786718876713,38.5662977810158,37.6690092730555,36.7870802296529,35.9207086409717,35.0700316002121,34.2351366673334,33.4160704530757,32.6128451096585,31.8254432655317,31.0538218083381,30.2979148438395,29.5576360604708,28.8328806784693,28.1235271112136,27.4294384269961,26.7504636744738,26.0864391137134,25.4371893790112,24.8025285895405,33.8381848621622,40.6993084650292,46.0346818988264,50.2838293708715,53.7457066503732,56.6245613685096,59.0606532699817,61.1508692922805,62.9626063816328,64.5431511724639,65.9260105976206,67.1352304780838,68.1883342903198,69.0983351704116,69.8751263709598,70.5264407106576,71.058524769199,71.4766069798851,71.7852306314865,71.9884943433912,72.09021919612,72.094071081656,72.0036448894451,71.8225272387592,71.5543377833432,71.2027531847225,70.7715251559033,70.2644856331676,69.6855464490952,69.0386947523816,68.3279816016267,67.5575095355996,66.7314172137514,65.853861408642,64.9289994227922,63.9609700834699,62.9538746725557,61.9117589383193,60.8385950816626,59.7382650740104,58.6145453988358,57.4710927871371,56.3114318693728,55.1389443179096,53.956859676823,52.7682479453798,51.5760137936864,50.3828923626805,49.1914469306825,48.0040675551077,46.8229713849144,45.6502041755808,44.487642915169,43.3369994407137,42.1998249269472,41.0775151183199,39.9713161802792,38.8823310541166,37.8115262043164,36.7597386549956,35.7276832208152,34.7159598461869,33.725060975491,32.7553788859939,31.807212923845,30.88077659194,29.976204446456,29.093558766366,28.2328359672066,27.3939727141288,26.5768518709552,25.7813076690092,25.0071316522077,24.2540769724563,23.5218629668599
4,0,1,1,1,2335.27250675705,0,0.120473959351542,0.251881079550268,0.443369108459352,0.746842938062273,1.23483743891172,2.01909002980535,3.27596559724726,5.28482244359479,8.48703122997431,13.5758758192231,21.6299174251347,34.301249399129,54.0573033929335,84.4321140866857,130.137330912544,107.280069020694,90.9568485762579,79.3006945906026,71.0227028561591,65.2237908375033,61.2664265893593,58.6874905416996,57.1397777290092,56.3536475394142,56.11300328444,56.2411284906443,56.5929363138872,57.0509066121483,57.5226944087924,57.9391086144896,58.2517986188248,58.4304697688901,58.4597521632957,58.335963443713,58.064018887231,57.6546785412883,57.1222430882518,56.4827343607318,55.7525416442314,54.9474794203309,54.0821863235627,53.1697911131876,52.2217762852051,51.247979686666,50.2566854914373,49.2547673411238,48.2478562475825,47.2405142770161,46.2364017331188,45.2384304660538,44.2488996055333,43.2696125012021,42.3019752513566,41.3470781892384,40.4057621936914,39.4786718876713,38.5662977810158,37.6690092730555,36.7870802296529,35.9207086409717,35.0700316002121,34.2351366673334,33.4160704530757,32.6128451096585,31.8254432655317,31.0538218083381,30.2979148438395,29.5576360604708,28.8328806784693,28.1235271112136,27.4294384269961,26.7504636744738,26.0864391137134,25.4371893790112,24.8025285895405,33.8381848621622,40.6993084650292,46.0346818988264,50.2838293708715,53.7457066503732,56.6245613685096,59.0606532699817,61.1508692922805,62.9626063816328,64.5431511724639,65.9260105976206,67.1352304780838,68.1883342903198,69.0983351704116,69.8751263709598,70.5264407106576,71.058524769199,71.4766069798851,71.7852306314865,71.9884943433912,72.09021919612,72.094071081656,72.0036448894451,71.8225272387592,71.5543377833432,71.2027531847225,70.7715251559033,70.2644856331676,69.6855464490952,69.0386947523816,68.3279816016267,67.5575095355996,66.7314172137514,65.853861408642,64.9289994227922,63.9609700834699,62.9538746725557,61.9117589383193,60.8385950816626,59.7382650740104,58.6145453988358,57.4710927871371,56.3114318693728,55.1389443179096,53.956859676823,52.7682479453798,51.5760137936864,50.3828923626805,49.1914469306825,48.0040675551077,46.8229713849144,45.6502041755808,44.487642915169,43.3369994407137,42.1998249269472,41.0775151183199,39.9713161802792,38.8823310541166,37.8115262043164,36.7597386549956,35.7276832208152,34.7159598461869,33.725060975491,32.7553788859939,31.807212923845,30.88077659194,29.976204446456,29.093558766366,28.2328359672066,27.3939727141288,26.5768518709552,25.7813076690092,25.0071316522077,24.2540769724563,23.5218629668599
5,0,2,0,0,527895.493723415,0,27.6714923964381,56.3046476059957,96.0270166807938,157.213658345825,254.068382747915,408.279657799126,653.969294342728,1045.12963096577,1667.06079490656,2653.82626762669,4214.25864184232,6668.9735569595,10498.7336742767,16397.0067496494,25300.6026267391,20989.7218343023,17951.9754548013,15814.3117727813,14322.4122223225,13301.0676534926,12627.4124296181,12212.9132749248,11991.4135501095,11911.411803424,11931.334829649,12016.8554217078,12139.5240563823,12276.135815004,12408.4051514537,12522.6748097738,12609.5231049956,12663.2383006712,12681.194046875,12663.1842836579,12610.7777377524,12526.7372234716,12414.5310127578,12277.9461587849,12120.8010660319,11946.7463571739,11759.1392604117,11560.9756425181,11354.8647040697,11143.0333950358,10927.3499588057,10709.3584926126,10490.3185455462,10271.2456172457,10052.9498893741,9836.07160005953,9621.1122784764,9408.4616027338,9198.41999484758,8991.21728257015,8787.02786534903,8585.98286283955,8388.17972043329,8193.68971274209,8002.56373929821,7814.83675874164,7630.53114668089,7449.65922205536,7272.22513438363,7098.22627016791,6927.65430253425,6760.49597758695,6596.73371337928,6436.34606480619,6279.3080960005,6125.59168994855,5975.1658158884,5827.99676923577,5684.04839380246,5543.28229238204,5405.65802938674,5361.45421621013,5309.53935927952,5259.63995526789,5216.55522461087,5182.19576439359,5156.84151292884,5139.90708283211,5130.397263361,5127.17055291712,5129.08478853887,5135.07096909817,5144.16594512733,5155.52094885277,5168.39758552918,5182.15779182918,5196.25155533994,5210.20456982936,5223.60684775742,5236.10286669467,5247.38331932285,5257.17827689862,5265.25181041999,5271.39774581692,5275.43634724272,5277.21177996207,5276.59015005427,5273.45805928389,5267.72140908509,5259.30444708803,5248.14902045681,5234.2138108704,5217.47368122031,5197.91902199889,5175.55500985562,5150.40090694576,5122.48927449489,5091.86512020283,5058.5850524467,5022.71634685632,4984.33599241982,4943.52973727906,4900.39108531243,4855.02031534766,4807.52350294727,4758.01155258222,4706.59926491342,4653.40442807756,4598.54696165321,4542.14812817584,4484.32973632213,4425.21344606458,4364.92012140123,4303.56924015346,4241.27836239538,4178.16265741882,4114.33448812229,4049.90305075044,3984.97406791838,3919.6495322864,3854.02749788275,3788.20191596555,3722.26251214715,3656.29470142134,3590.37953774137,3524.59369482926,3459.00947497196,3393.69484267339,3328.71348016714,3264.12486194911,3199.98434522865,3136.34327671265,3073.24910133616,3010.74550267201,2948.87252472372,2887.66671011678
6,0,2,1,0,527895.493723415,0,27.6714923964381,56.3046476059957,96.0270166807938,157.213658345825,254.068382747915,408.279657799126,653.969294342728,1045.12963096577,1667.06079490656,2653.82626762669,4214.25864184232,6668.9735569595,10498.7336742767,16397.0067496494,25300.6026267391,20989.7218343023,17951.9754548013,15814.3117727813,14322.4122223225,13301.0676534926,12627.4124296181,12212.9132749248,11991.4135501095,11911.411803424,11931.334829649,12016.8554217078,12139.5240563823,12276.135815004,12408.4051514537,12522.6748097738,12609.5231049956,12663.2383006712,12681.194046875,12663.1842836579,12610.7777377524,12526.7372234716,12414.5310127578,12277.9461587849,12120.8010660319,11946.7463571739,11759.1392604117,11560.9756425181,11354.8647040697,11143.0333950358,10927.3499588057,10709.3584926126,10490.3185455462,10271.2456172457,10052.9498893741,9836.07160005953,9621.1122784764,9408.4616027338,9198.41999484758,8991.21728257015,8787.02786534903,8585.98286283955,8388.17972043329,8193.68971274209,8002.56373929821,7814.83675874164,7630.53114668089,7449.65922205536,7272.22513438363,7098.22627016791,6927.65430253425,6760.49597758695,6596.73371337928,6436.34606480619,6279.3080960005,6125.59168994855,5975.1658158884,5827.99676923577,5684.04839380246,5543.28229238204,5405.65802938674,5361.45421621013,5309.53935927952,5259.63995526789,5216.55522461087,5182.19576439359,5156.84151292884,5139.90708283211,5130.397263361,5127.17055291712,5129.08478853887,5135.07096909817,5144.16594512733,5155.52094885277,5168.39758552918,5182.15779182918,5196.25155533994,5210.20456982936,5223.60684775742,5236.10286669467,5247.38331932285,5257.17827689862,5265.25181041999,5271.39774581692,5275.43634724272,5277.21177996207,5276.59015005427,5273.45805928389,5267.72140908509,5259.30444708803,5248.14902045681,5234.2138108704,5217.47368122031,5197.91902199889,5175.55500985562,5150.40090694576,5122.48927449489,5091.86512020283,5058.5850524467,5022.71634685632,4984.33599241982,4943.52973727906,4900.39108531243,4855.02031534766,4807.52350294727,4758.01155258222,4706.59926491342,4653.40442807756,4598.54696165321,4542.14812817584,4484.32973632213,4425.21344606458,4364.92012140123,4303.56924015346,4241.27836239538,4178.16265741882,4114.33448812229,4049.90305075044,3984.97406791838,3919.6495322864,3854.02749788275,3788.20191596555,3722.26251214715,3656.29470142134,3590.37953774137,3524.59369482926,3459.00947497196,3393.69484267339,3328.71348016714,3264.12486194911,3199.98434522865,3136.34327671265,3073.24910133616,3010.74550267201,2948.87252472372,2887.66671011678
7,0,2,0,1,171228.02725029,0,8.97543090084088,18.2627834720205,31.1469956330689,50.9932860481709,82.4087541348451,132.428197377121,212.11924996862,338.994682714044,540.722153970658,860.786037365508,1366.92256045417,2163.12551858351,3405.33344894443,5318.47718777333,8206.41718099601,6808.15458930221,5822.84153379817,5129.47623234169,4645.56878223746,4314.28894115951,4095.78443022629,3961.338898048,3889.49400272567,3863.54490901451,3870.00707385392,3897.74624142849,3937.53462141346,3981.84554552933,4024.7479763992,4061.8120930584,4089.98190990277,4107.40478757791,4113.228852179,4107.38726680372,4090.38885830489,4063.12976371065,4026.73493987971,3982.432742464,3931.46169611768,3875.0059043613,3814.1543062844,3749.87863101602,3683.02518995661,3614.31630900327,3544.35796521011,3473.65099668965,3402.60394648896,3331.54619860762,3260.74054080679,3190.39463854221,3120.67116610639,3051.69651816183,2983.56813856901,2916.36057347389,2850.13039048647,2784.92011913097,2720.76136646228,2657.67725087042,2595.68428195406,2534.79379877847,2475.01305901969,2416.3460584069,2358.7941428638,2302.35646468516,2247.03032299453,2192.81141880352,2139.69404929184,2087.67125859836,2036.73495861025,1986.87602938883,1938.08440590201,1890.34915584577,1843.65855172222,1798.00013914443,1753.36080256306,1739.02300447699,1722.18407853717,1705.99887803251,1692.0240617359,1680.87934440182,1672.65552586669,1667.16273187493,1664.07815926426,1663.03155446929,1663.65244940711,1665.59410651762,1668.54412192427,1672.22719220673,1676.40381416367,1680.86702775033,1685.43843281629,1689.9641850097,1694.31130217035,1698.3644682555,1702.0233573983,1705.20041643214,1707.81912023057,1709.81259487538,1711.12254186031,1711.69841516209,1711.49678540525,1710.48087112488,1708.62015083108,1705.89005374353,1702.27171760671,1697.75174055091,1692.32196918937,1685.97928661494,1678.725371908,1670.56647287553,1661.51315096563,1651.5800047223,1640.78539544568,1629.15114442962,1616.70222355975,1603.46644581091,1589.4741397822,1574.7578315722,1559.35192748859,1543.29240012733,1526.61648583928,1509.36238998274,1491.56900926323,1473.27567598319,1454.52189958956,1435.34714129611,1415.79060413704,1395.89104153102,1375.68658486274,1355.21459005093,1334.51150274213,1313.61274145785,1292.55259802496,1271.36415443492,1250.0792151579,1228.72825390359,1207.34037376558,1185.94327965997,1164.5632619706,1143.22519032445,1121.95251644472,1100.76728506612,1079.69015194075,1058.74040801327,1037.9360087593,1017.29360882157,996.828597277413,976.555143181523,956.486235070314,936.633725785162
8,0,2,1,1,171228.02725029,0,8.97543090084088,18.2627834720205,31.1469956330689,50.9932860481709,82.4087541348451,132.428197377121,212.11924996862,338.994682714044,540.722153970658,860.786037365508,1366.92256045417,2163.12551858351,3405.33344894443,5318.47718777333,8206.41718099601,6808.15458930221,5822.84153379817,5129.47623234169,4645.56878223746,4314.28894115951,4095.78443022629,3961.338898048,3889.49400272567,3863.54490901451,3870.00707385392,3897.74624142849,3937.53462141346,3981.84554552933,4024.7479763992,4061.8120930584,4089.98190990277,4107.40478757791,4113.228852179,4107.38726680372,4090.38885830489,4063.12976371065,4026.73493987971,3982.432742464,3931.46169611768,3875.0059043613,3814.1543062844,3749.87863101602,3683.02518995661,3614.31630900327,3544.35796521011,3473.65099668965,3402.60394648896,3331.54619860762,3260.74054080679,3190.39463854221,3120.67116610639,3051.69651816183,2983.56813856901,2916.36057347389,2850.13039048647,2784.92011913097,2720.76136646228,2657.67725087042,2595.68428195406,2534.79379877847,2475.01305901969,2416.3460584069,2358.7941428638,2302.35646468516,2247.03032299453,2192.81141880352,2139.69404929184,2087.67125859836,2036.73495861025,1986.87602938883,1938.08440590201,1890.34915584577,1843.65855172222,1798.00013914443,1753.36080256306,1739.02300447699,1722.18407853717,1705.99887803251,1692.0240617359,1680.87934440182,1672.65552586669,1667.16273187493,1664.07815926426,1663.03155446929,1663.65244940711,1665.59410651762,1668.54412192427,1672.22719220673,1676.40381416367,1680.86702775033,1685.43843281629,1689.9641850097,1694.31130217035,1698.3644682555,1702.0233573983,1705.20041643214,1707.81912023057,1709.81259487538,1711.12254186031,1711.69841516209,1711.49678540525,1710.48087112488,1708.62015083108,1705.89005374353,1702.27171760671,1697.75174055091,1692.32196918937,1685.97928661494,1678.725371908,1670.56647287553,1661.51315096563,1651.5800047223,1640.78539544568,1629.15114442962,1616.70222355975,1603.46644581091,1589.4741397822,1574.7578315722,1559.35192748859,1543.29240012733,1526.61648583928,1509.36238998274,1491.56900926323,1473.27567598319,1454.52189958956,1435.34714129611,1415.79060413704,1395.89104153102,1375.68658486274,1355.21459005093,1334.51150274213,1313.61274145785,1292.55259802496,1271.36415443492,1250.0792151579,1228.72825390359,1207.34037376558,1185.94327965997,1164.5632619706,1143.22519032445,1121.95251644472,1100.76728506612,1079.69015194075,1058.74040801327,1037.9360087593,1017.29360882157,996.828597277413,976.555143181523,956.486235070314,936.633725785162
9,11,2,0,0,292.1211864,0,0.721667824360037,1.19799525358673,1.51623019001876,1.73643077891463,1.90205085972298,2.04760662035688,2.20494920769658,2.40932853007764,2.70636150630534,3.16111091075614,3.87063845092474,4.98136787517893,6.71177122718495,9.37788699794194,13.4114008146036,11.4799934390828,10.1777281628404,9.303747594517,8.72531821672413,8.35418002918693,8.13083875018156,8.01418665577314,7.97473492121308,7.99030943934393,8.04344538643656,8.11991712892221,8.20799073621196,8.29808547837458,8.38261891597011,8.45589225291069,8.51394264388095,8.55434092454034,8.57594551852195,8.57863589581865,8.56305091909529,8.53035147366735,8.482019299288,8.41969659689369,8.3450656350098,8.25976408358261,8.16533017763518,8.06317133477345,7.95455019913124,7.84058292091849,7.7222454259436,7.60038443337109,7.47573083509742,7.34891378271711,7.22047441083531,7.09087854855951,6.9605280866317,6.82977088026445,6.69890920356046,6.56820685548899,6.43789505988265,6.30817731911695,6.17923338147108,6.05122247147894,5.92428591697693,5.79854929031089,5.67412416039232,5.55110953860049,5.42959308373042,5.30965211966682,5.19135450794929,5.07475940709517,4.9599179447138,4.84687382085384,4.73566385717012,4.62631850253953,4.51886230273117,4.41331433980434,4.3096886452798,4.20799458989309,4.10823725195048,4.01115985415099,3.91956379626948,3.83505811557245,3.75800131715659,3.68809555354638,3.62473335065654,3.56719407046632,3.51474998734821,3.46671931698885,3.42248874437947,3.38151894748188,3.34334161680132,3.30755232726941,3.2738021160164,3.24178910501332,3.21125088517013,3.18195791588803,3.15370801106843,3.12632184628264,3.09963934860267,3.07351682568601,3.04782474314288,3.02244600884587,2.99727463208908,2.97221471018636,2.94717965446855,2.92209159652269,2.89688091227342,2.87148583299712,2.84585213443912,2.81993283186671,2.79368790981987,2.76708405936215,2.74009438570651,2.71269812953898,2.68488036262452,2.65663165773021,2.62794776324244,2.5988292473955,2.5692811336026,2.53931253832525,2.50893628978176,2.47816855495898,2.44702846841697,2.41553776347303,2.38372041665844,2.35160229989537,2.31921085186249,2.2865747735644,2.25372371913314,2.22068802424507,2.18749845095222,2.15418595253996,2.12078145921708,2.08731568452745,2.05381895215417,2.0203210424065,1.98685105770443,1.95343730618378,1.92010720240261,1.88688718410591,1.85380264394624,1.82087787502637,1.78813602913487,1.75559908655511,1.72328783635201,1.69122186607808,1.65941955988445,1.6278981040724,1.59667349909883,1.56576057770462,1.53517302615811,1.50492341387815,1.47502322144105,1.44548287358104
10,11,2,0,1,67.8788136,0,0.163033739156939,0.270642030989412,0.342535262010061,0.392281314363286,0.429696950951497,0.462579808009757,0.498125455850391,0.544297287279476,0.611400731735048,0.714134279337438,0.874425377268946,1.12535297181479,1.51627261545751,2.11858133487042,3.02980228344835,2.59347333037956,2.2992754041407,2.10183232133368,1.97115792915967,1.88731319559159,1.83685762227207,1.81050446297921,1.8015918253578,1.80511030275242,1.81711437421818,1.83439029216331,1.85428721569627,1.87464073874017,1.89373789389907,1.91029125224302,1.923405557717,1.9325320318774,1.93741277842157,1.93802056812151,1.93449972800073,1.92711251649355,1.91619367704323,1.90211420327049,1.88525414056283,1.86598345893393,1.84464966481133,1.82157071134064,1.79703184553915,1.77128521962433,1.74455130737692,1.71702139318947,1.68886059463378,1.66021104488178,1.63119499297254,1.60191767549642,1.5724698845716,1.54293020501796,1.51336692431562,1.48383963793344,1.45440058221166,1.42509573086848,1.39596569127628,1.36704643423803,1.33836988747012,1.30996441932759,1.28185523461549,1.25406470123612,1.22661262240175,1.19951646653985,1.17279156441643,1.14645128067649,1.12050716568301,1.09496909182064,1.06984537755924,1.04514290167891,1.02086720937423,0.997022611519778,0.973612278010658,0.950638325812594,0.928101902178149,0.906170910360809,0.885478221419466,0.866387336889237,0.848979247531309,0.833186665895708,0.818872356029513,0.805873516839019,0.794025746051975,0.783175020110514,0.773182783524444,0.763927196736108,0.75530246280481,0.747217217076512,0.739592624497794,0.732360487066515,0.725461523304832,0.718843877135967,0.712461872205025,0.706274996892753,0.700247088733386,0.694345685839205,0.688541524780133,0.682808152987951,0.677121625843654,0.671460277737407,0.665804547211666,0.660136842823258,0.654441435627423,0.648704371301083,0.642913399910557,0.637057907020227,0.631128852639878,0.625118711866399,0.619021408832823,0.612832253751877,0.606547874149555,0.600166140296665,0.5936860917008,0.587107856733158,0.580432570245274,0.573662291759213,0.566799919329075,0.55984910527831,0.552814172342071,0.545700030347101,0.538512095890087,0.531256213760097,0.523938582695984,0.516565686611729,0.509144224744663,0.501681050301456,0.494183112812342,0.486657405009549,0.479110914412019,0.471550579591395,0.463983251044915,0.456415656514915,0.448854370600107,0.441305788460527,0.433776103385886,0.426271287991664,0.418797078793959,0.411358963906899,0.403962173607531,0.396611673515309,0.389312160138613,0.38206805854923,0.374883521955597,0.367762432956977,0.360708406255629,0.353724792752239,0.346814684345084,0.339980920622248,0.33322609518874,0.326552563121705
