"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,42.244677383167,88.3231114996098,155.469157398104,261.883473779241,433.00070412969,708.002022821967,1148.73048516882,1853.14420112608,2976.01156450306,4760.43533920201,7584.61734740202,12027.8707594936,18955.4103344064,29606.4594816122,45633.1767641387,52670.5774950795,63899.0494998297,78602.3601738591,96243.2073378877,116127.717032635,137204.958109376,158007.858343437,176760.408218305,191644.559985599,201155.164226243,204419.041160605,201358.53639257,192647.051303336,179493.862644807,163353.561306372,145658.151828695,127632.07146965,110203.900544424,93996.5205846907,79365.5976460493,66458.8306389766,55277.0538332551,45727.1100981167,37662.8685179309,30914.5263961421,25308.054792899,20677.1142582941,16869.6028620259,13750.5938665549,11202.9805273,9126.75969343199,7437.58438643417,6064.99287351717,4950.56666896471,4046.16211284825,3312.29361804778,2716.70177637828,2233.11264742546,1840.18051717401,1520.59793825213,1260.35354066423,1048.11788387778,874.73808003417,732.824103643836,616.41128720574,520.686054728028,441.763367080802,376.506744368812,322.382841175976,277.344118260354,239.73431959918,208.212365456835,181.691096532454,159.288022336275,140.285708846004,124.099942715398,110.254094767631,98.3585432217535,88.094092295862,79.1986306253523,71.4564092738265,64.6892699286819,58.7498263556746,53.5156908099548,48.8850011059078,44.7725490142355,41.1070182516347,37.8283781928765,34.8859868907601,32.2369427064244,29.8447789503531,27.6783858440508,25.7111260189569,23.9201086508254,22.2855917355463,20.7904872423738,19.4199556624077,18.1610600051703,17.0024877375297,15.9343135824422,14.9478011205046,14.0352373172999,13.1897917192939,12.4053984456292,11.6766557216844,10.9987402718195,10.3673345646405,9.7785642939336,9.22894477320299,8.71533479347698,8.23489668436874,7.78506176103454,7.36350027793669,6.96809523574608,6.59691950999662,6.24821579894956,5.92037901355162,5.61194077242182,5.32155571126101,5.04798937325641,4.79010747057543,4.54686634070362,4.31730445939197,4.1005348403009,3.89573826363754,3.70215722576008,3.5190904819215,3.34588815296024,3.1819473250772,3.0267080782834,2.87964990263074,2.74028845740626,2.6081726359778,2.48288190475642,2.3640238868903,2.25123216543893,2.14416428366964,2.04249992245599,1.94593923715094,1.85420133821651,1.76702290159459,1.68415689633991,1.60537141835598,1.53044862025186,1.45918372838066,1.39138413903953,1.32686858662852,1.26546637729208,1.20701668221203,1.15136788529677,1.09837698052436,1.04790901465559,0.999836571443354,0.954039293831324,0.91040344096452
2,0,1,1,0,0,818021.22396571,0,42.244677383167,88.3231114996098,155.469157398104,261.883473779241,433.00070412969,708.002022821967,1148.73048516882,1853.14420112608,2976.01156450306,4760.43533920201,7584.61734740202,12027.8707594936,18955.4103344064,29606.4594816122,45633.1767641387,52670.5774950795,63899.0494998297,78602.3601738591,96243.2073378877,116127.717032635,137204.958109376,158007.858343437,176760.408218305,191644.559985599,201155.164226243,204419.041160605,201358.53639257,192647.051303336,179493.862644807,163353.561306372,145658.151828695,127632.07146965,110203.900544424,93996.5205846907,79365.5976460493,66458.8306389766,55277.0538332551,45727.1100981167,37662.8685179309,30914.5263961421,25308.054792899,20677.1142582941,16869.6028620259,13750.5938665549,11202.9805273,9126.75969343199,7437.58438643417,6064.99287351717,4950.56666896471,4046.16211284825,3312.29361804778,2716.70177637828,2233.11264742546,1840.18051717401,1520.59793825213,1260.35354066423,1048.11788387778,874.73808003417,732.824103643836,616.41128720574,520.686054728028,441.763367080802,376.506744368812,322.382841175976,277.344118260354,239.73431959918,208.212365456835,181.691096532454,159.288022336275,140.285708846004,124.099942715398,110.254094767631,98.3585432217535,88.094092295862,79.1986306253523,71.4564092738265,64.6892699286819,58.7498263556746,53.5156908099548,48.8850011059078,44.7725490142355,41.1070182516347,37.8283781928765,34.8859868907601,32.2369427064244,29.8447789503531,27.6783858440508,25.7111260189569,23.9201086508254,22.2855917355463,20.7904872423738,19.4199556624077,18.1610600051703,17.0024877375297,15.9343135824422,14.9478011205046,14.0352373172999,13.1897917192939,12.4053984456292,11.6766557216844,10.9987402718195,10.3673345646405,9.7785642939336,9.22894477320299,8.71533479347698,8.23489668436874,7.78506176103454,7.36350027793669,6.96809523574608,6.59691950999662,6.24821579894956,5.92037901355162,5.61194077242182,5.32155571126101,5.04798937325641,4.79010747057543,4.54686634070362,4.31730445939197,4.1005348403009,3.89573826363754,3.70215722576008,3.5190904819215,3.34588815296024,3.1819473250772,3.0267080782834,2.87964990263074,2.74028845740626,2.6081726359778,2.48288190475642,2.3640238868903,2.25123216543893,2.14416428366964,2.04249992245599,1.94593923715094,1.85420133821651,1.76702290159459,1.68415689633991,1.60537141835598,1.53044862025186,1.45918372838066,1.39138413903953,1.32686858662852,1.26546637729208,1.20701668221203,1.15136788529677,1.09837698052436,1.04790901465559,0.999836571443354,0.954039293831324,0.91040344096452
3,0,1,0,1,0,2335.27250675705,0,0.120473959434906,0.251881079726475,0.443369108772539,0.74684293859288,1.23483743979051,2.01909003123959,3.27596559956245,5.2848224472997,8.48703123585969,13.5758758137904,21.6299174059806,34.3012493816539,54.057303242875,84.4321135713109,130.137329171778,150.206686608139,182.228199485292,224.159305684428,274.467719365992,331.174641107158,391.283010818387,450.609011492858,504.08779445135,546.534625799397,573.657099456764,582.965069164387,574.237079033695,549.393544504149,511.883097862207,465.853961668862,415.389946421176,363.982919347718,314.281018726578,268.0605867866,226.335916939613,189.528218995979,157.639872137886,130.405209562119,107.407493087861,88.1624770197014,72.1738632027285,58.9672824765669,48.1089684375838,39.2141351361176,31.948815926661,26.0278204306228,21.2106067597051,17.2962311627985,14.1180949885607,11.5389014769602,9.44604508060919,7.74752796986794,6.3684217554638,5.24785243281946,4.33646238242513,3.59429378414725,2.98903718165464,2.49459024185129,2.08987798710206,1.75789029553894,1.48489974409465,1.25982692405947,1.07372717837658,0.919375877298572,0.790933819892812,0.68367767216172,0.593782924233854,0.518149200070741,0.454259801000478,0.400068738684342,0.353909945363352,0.314424163311531,0.280500263706492,0.251227959570961,0.225859758064118,0.203780383363734,0.184481761112161,0.167543573193474,0.152616792532033,0.139410927127951,0.127682978965952,0.11722956727587,0.107879495884441,0.0994883433811897,0.0919337622747875,0.0851117563520857,0.0789336063134086,0.0733233473400325,0.0682156990605014,0.0635543609524853,0.0592906011318649,0.055382100080443,0.0517919639085608,0.0484879313766483,0.0454416974413714,0.0426283474601769,0.0400258852940708,0.0376148317605154,0.0353778880959828,0.0332996494443606,0.0313663607209898,0.029565709129697,0.0278866458700521,0.0263192332645645,0.0248545131697313,0.023484393077614,0.0222015475769933,0.0209993326670911,0.0198717110597307,0.0188131869545146,0.0178187488538647,0.0168838193424598,0.0160042108698229,0.0151760867073046,0.0143959264137701,0.0136604952113776,0.0129668167688301,0.0123121489978801,0.0116939623785285,0.0111099206483583,0.0105578635479315,0.0100357912577102,0.00954185044324858,0.00907432170657567,0.00863160826006718,0.00821222570620229,0.00781479279538894,0.0074380230554495,0.00708071720283694,0.00674175625177942,0.00642009524934175,0.00611475757264323,0.00582482973113701,0.00554945662368174,0.00528783720558025,0.00503922052561543,0.0048029020974964,0.00457822057389036,0.00436455469457316,0.0041613204832061,0.00396796866986638,0.00378398231879105,0.00360887464286501,0.00344218698822422,0.00328348697398665,0.0031323667735868,0.00298844152549724,0.00285134786228949,0.00272074254803375,0.00259630121497536
4,0,1,1,1,0,2335.27250675705,0,0.120473959434906,0.251881079726475,0.443369108772539,0.74684293859288,1.23483743979051,2.01909003123959,3.27596559956245,5.2848224472997,8.48703123585969,13.5758758137904,21.6299174059806,34.3012493816539,54.057303242875,84.4321135713109,130.137329171778,150.206686608139,182.228199485292,224.159305684428,274.467719365992,331.174641107158,391.283010818387,450.609011492858,504.08779445135,546.534625799397,573.657099456764,582.965069164387,574.237079033695,549.393544504149,511.883097862207,465.853961668862,415.389946421176,363.982919347718,314.281018726578,268.0605867866,226.335916939613,189.528218995979,157.639872137886,130.405209562119,107.407493087861,88.1624770197014,72.1738632027285,58.9672824765669,48.1089684375838,39.2141351361176,31.948815926661,26.0278204306228,21.2106067597051,17.2962311627985,14.1180949885607,11.5389014769602,9.44604508060919,7.74752796986794,6.3684217554638,5.24785243281946,4.33646238242513,3.59429378414725,2.98903718165464,2.49459024185129,2.08987798710206,1.75789029553894,1.48489974409465,1.25982692405947,1.07372717837658,0.919375877298572,0.790933819892812,0.68367767216172,0.593782924233854,0.518149200070741,0.454259801000478,0.400068738684342,0.353909945363352,0.314424163311531,0.280500263706492,0.251227959570961,0.225859758064118,0.203780383363734,0.184481761112161,0.167543573193474,0.152616792532033,0.139410927127951,0.127682978965952,0.11722956727587,0.107879495884441,0.0994883433811897,0.0919337622747875,0.0851117563520857,0.0789336063134086,0.0733233473400325,0.0682156990605014,0.0635543609524853,0.0592906011318649,0.055382100080443,0.0517919639085608,0.0484879313766483,0.0454416974413714,0.0426283474601769,0.0400258852940708,0.0376148317605154,0.0353778880959828,0.0332996494443606,0.0313663607209898,0.029565709129697,0.0278866458700521,0.0263192332645645,0.0248545131697313,0.023484393077614,0.0222015475769933,0.0209993326670911,0.0198717110597307,0.0188131869545146,0.0178187488538647,0.0168838193424598,0.0160042108698229,0.0151760867073046,0.0143959264137701,0.0136604952113776,0.0129668167688301,0.0123121489978801,0.0116939623785285,0.0111099206483583,0.0105578635479315,0.0100357912577102,0.00954185044324858,0.00907432170657567,0.00863160826006718,0.00821222570620229,0.00781479279538894,0.0074380230554495,0.00708071720283694,0.00674175625177942,0.00642009524934175,0.00611475757264323,0.00582482973113701,0.00554945662368174,0.00528783720558025,0.00503922052561543,0.0048029020974964,0.00457822057389036,0.00436455469457316,0.0041613204832061,0.00396796866986638,0.00378398231879105,0.00360887464286501,0.00344218698822422,0.00328348697398665,0.0031323667735868,0.00298844152549724,0.00285134786228949,0.00272074254803375,0.00259630121497536
5,0,2,0,0,0,527895.493723415,0,27.6714924153657,56.3046476438165,96.0270167436527,157.213658445857,254.068382905134,408.279658045206,653.969294727123,1045.12963156524,1667.06079583959,2653.82626605054,4214.25863666452,6668.97355165753,10498.7336480301,16397.0066571437,25300.6022958949,29234.6821453666,35528.0486177472,43819.0410272872,53858.9091059179,65325.3282172878,77706.7397777211,90258.0516099139,102040.61390988,112046.361087983,119375.27833365,123408.444572068,123916.822165298,121072.992349905,115373.5408302,107509.908222042,98232.9776248626,88244.8217121219,78131.8227788705,68337.3449951928,59163.6029324315,50790.5750217265,43301.9171453157,36711.2039916911,30984.9122259003,26060.7697783293,21861.4186748762,18303.9903305716,15306.4162254552,12791.2885696152,10687.9724364447,8933.52547321564,7472.84346596456,6258.33201510255,5249.31480456005,4411.31609977298,3715.3089235409,3136.98395102621,2656.06944898476,2255.71849011708,1921.96836703485,1643.27142167293,1410.09285830214,1214.56923745619,1050.22076119709,911.71028499195,794.642563732633,695.397557802042,610.992594066696,538.968624146098,477.296571420393,424.300373312453,378.59381251549,339.028708340087,304.652475372347,274.673356208708,248.431961949854,225.377939646368,205.050892824814,187.064728920195,171.094830719858,156.867560835125,144.151485803848,132.750476990684,122.497706937882,113.250929580729,104.888315278534,97.3054036564996,90.4121988395703,84.1309909287672,78.3944377985815,73.1440085348139,68.3286729471894,63.9038036179672,59.8302556649006,56.073592791858,52.6034331240261,49.3929010076014,46.41815137794,43.6579769880205,41.093467804319,38.7077201693705,36.4855888873768,34.4134725784316,32.479129851449,30.6715199898739,28.9806647399024,27.3975285772661,25.9139141414622,24.5223710138968,23.2161158958835,21.9889624745311,20.8352597936931,19.7498378980166,18.7279597930087,17.7652789261151,16.8578014425894,16.0018526299574,15.1940470273997,14.4312617415467,13.7106125893606,13.0294327272152,12.3852534729598,11.7757870881837,11.1989112281005,10.6526549633652,10.1351861826917,9.64480014861201,9.17990915407848,8.73903315132168,8.3207912350299,7.92389390340514,7.54713601326967,7.1893903585834,6.84960181196587,6.52678197264567,6.22000427169865,5.92839949071775,5.6511516543662,5.3874942617002,5.13670682473417,4.89811168593983,4.67107108929966,4.45498448207381,4.24928602671915,4.0534423044351,3.86695019361735,3.68933490811846,3.52014818166186,3.35896658604944,3.20538997196423,3.05904002221126,2.91955890817553,2.78660804111731,2.65986691068309,2.53903200369296
6,0,2,1,0,0,527895.493723415,0,27.6714924153657,56.3046476438165,96.0270167436527,157.213658445857,254.068382905134,408.279658045206,653.969294727123,1045.12963156524,1667.06079583959,2653.82626605054,4214.25863666452,6668.97355165753,10498.7336480301,16397.0066571437,25300.6022958949,29234.6821453666,35528.0486177472,43819.0410272872,53858.9091059179,65325.3282172878,77706.7397777211,90258.0516099139,102040.61390988,112046.361087983,119375.27833365,123408.444572068,123916.822165298,121072.992349905,115373.5408302,107509.908222042,98232.9776248626,88244.8217121219,78131.8227788705,68337.3449951928,59163.6029324315,50790.5750217265,43301.9171453157,36711.2039916911,30984.9122259003,26060.7697783293,21861.4186748762,18303.9903305716,15306.4162254552,12791.2885696152,10687.9724364447,8933.52547321564,7472.84346596456,6258.33201510255,5249.31480456005,4411.31609977298,3715.3089235409,3136.98395102621,2656.06944898476,2255.71849011708,1921.96836703485,1643.27142167293,1410.09285830214,1214.56923745619,1050.22076119709,911.71028499195,794.642563732633,695.397557802042,610.992594066696,538.968624146098,477.296571420393,424.300373312453,378.59381251549,339.028708340087,304.652475372347,274.673356208708,248.431961949854,225.377939646368,205.050892824814,187.064728920195,171.094830719858,156.867560835125,144.151485803848,132.750476990684,122.497706937882,113.250929580729,104.888315278534,97.3054036564996,90.4121988395703,84.1309909287672,78.3944377985815,73.1440085348139,68.3286729471894,63.9038036179672,59.8302556649006,56.073592791858,52.6034331240261,49.3929010076014,46.41815137794,43.6579769880205,41.093467804319,38.7077201693705,36.4855888873768,34.4134725784316,32.479129851449,30.6715199898739,28.9806647399024,27.3975285772661,25.9139141414622,24.5223710138968,23.2161158958835,21.9889624745311,20.8352597936931,19.7498378980166,18.7279597930087,17.7652789261151,16.8578014425894,16.0018526299574,15.1940470273997,14.4312617415467,13.7106125893606,13.0294327272152,12.3852534729598,11.7757870881837,11.1989112281005,10.6526549633652,10.1351861826917,9.64480014861201,9.17990915407848,8.73903315132168,8.3207912350299,7.92389390340514,7.54713601326967,7.1893903585834,6.84960181196587,6.52678197264567,6.22000427169865,5.92839949071775,5.6511516543662,5.3874942617002,5.13670682473417,4.89811168593983,4.67107108929966,4.45498448207381,4.24928602671915,4.0534423044351,3.86695019361735,3.68933490811846,3.52014818166186,3.35896658604944,3.20538997196423,3.05904002221126,2.91955890817553,2.78660804111731,2.65986691068309,2.53903200369296
7,0,2,0,1,0,171228.02725029,0,8.97543090698016,18.2627834842879,31.1469956534576,50.9932860806172,82.40875418584,132.428197456939,212.119250093301,338.994682908485,540.722154273291,860.786036854275,1366.92255877472,2163.12551686378,3405.33344043116,5318.4771577685,8206.4170736845,9482.46179658744,11523.7566822146,14212.9947039702,17469.4920732595,21188.7006703147,25204.6930975915,29275.7937975759,33097.5455210865,36342.9755514491,38720.1581541819,40028.3422002719,40193.237822604,39270.8228824869,37422.1682253791,34871.5471713008,31862.5136015176,28622.7894139936,25342.5715701103,22165.6681599952,19190.1044713142,16474.2576941806,14045.2621652508,11907.520924188,10050.1604563976,8452.98240575651,7090.89520361252,5937.01987836593,4964.73696477485,4148.93873610065,3466.7142884476,2897.647854948,2423.86602069206,2029.93122854854,1702.64984736257,1430.83944544949,1205.08493148028,1017.50141575692,861.513628020502,731.657156388177,623.403104710889,533.005914001603,457.372910435767,393.953535606132,340.646024352712,295.719238677004,257.747551865592,225.556780214324,198.179474037947,174.81802479028,154.814288099019,137.624622022812,122.799397843684,109.966195589056,98.8160379028415,89.0921130538894,80.5805439076449,73.1028198583986,66.5096082761964,60.6756774934141,55.4957357780536,50.8810270399564,46.7564843106375,43.0584919748282,39.7329384472932,36.7336852796081,34.0212162250156,31.561648872605,29.3257924672723,27.2884412912119,25.4277524822624,23.7247411527121,22.1628553240805,20.7276197993498,19.406337678017,18.1878393205129,17.0622701655395,16.020912917688,15.0560332731132,14.1607525214982,13.3289370688612,12.5551041025163,11.8343411784068,11.1622365993333,10.5348197894322,9.94850961953566,9.40006957727048,8.88656893080034,8.40534881222941,7.95399262919207,7.53030017406063,7.13226487548395,6.75805380859874,6.40599006431879,6.07453716726577,5.76228528447692,5.46793898284764,5.19030634517236,4.92828927492562,4.68087484106469,4.44712753981584,4.22618236287564,4.01723857692108,3.81955413892356,3.63244065236632,3.45525883332881,3.28741442444267,3.12835448287674,2.97756402538786,2.83456298872921,2.69890346716342,2.57016720228511,2.44796329796324,2.33192613749097,2.22171348334965,2.11700474123598,2.01749937241376,1.92291544016493,1.8329882775121,1.74746926482328,1.66612470707267,1.58873480157553,1.51509268796507,1.44500357300276,1.37828392355287,1.31476072171248,1.25427077667387,1.19666008842153,1.14178325883477,1.08950294618734,1.0396893594115,0.992219788832133,0.946978170380027,0.903854680566318,0.862745359745834,0.82355176141866
8,0,2,1,1,0,171228.02725029,0,8.97543090698016,18.2627834842879,31.1469956534576,50.9932860806172,82.40875418584,132.428197456939,212.119250093301,338.994682908485,540.722154273291,860.786036854275,1366.92255877472,2163.12551686378,3405.33344043116,5318.4771577685,8206.4170736845,9482.46179658744,11523.7566822146,14212.9947039702,17469.4920732595,21188.7006703147,25204.6930975915,29275.7937975759,33097.5455210865,36342.9755514491,38720.1581541819,40028.3422002719,40193.237822604,39270.8228824869,37422.1682253791,34871.5471713008,31862.5136015176,28622.7894139936,25342.5715701103,22165.6681599952,19190.1044713142,16474.2576941806,14045.2621652508,11907.520924188,10050.1604563976,8452.98240575651,7090.89520361252,5937.01987836593,4964.73696477485,4148.93873610065,3466.7142884476,2897.647854948,2423.86602069206,2029.93122854854,1702.64984736257,1430.83944544949,1205.08493148028,1017.50141575692,861.513628020502,731.657156388177,623.403104710889,533.005914001603,457.372910435767,393.953535606132,340.646024352712,295.719238677004,257.747551865592,225.556780214324,198.179474037947,174.81802479028,154.814288099019,137.624622022812,122.799397843684,109.966195589056,98.8160379028415,89.0921130538894,80.5805439076449,73.1028198583986,66.5096082761964,60.6756774934141,55.4957357780536,50.8810270399564,46.7564843106375,43.0584919748282,39.7329384472932,36.7336852796081,34.0212162250156,31.561648872605,29.3257924672723,27.2884412912119,25.4277524822624,23.7247411527121,22.1628553240805,20.7276197993498,19.406337678017,18.1878393205129,17.0622701655395,16.020912917688,15.0560332731132,14.1607525214982,13.3289370688612,12.5551041025163,11.8343411784068,11.1622365993333,10.5348197894322,9.94850961953566,9.40006957727048,8.88656893080034,8.40534881222941,7.95399262919207,7.53030017406063,7.13226487548395,6.75805380859874,6.40599006431879,6.07453716726577,5.76228528447692,5.46793898284764,5.19030634517236,4.92828927492562,4.68087484106469,4.44712753981584,4.22618236287564,4.01723857692108,3.81955413892356,3.63244065236632,3.45525883332881,3.28741442444267,3.12835448287674,2.97756402538786,2.83456298872921,2.69890346716342,2.57016720228511,2.44796329796324,2.33192613749097,2.22171348334965,2.11700474123598,2.01749937241376,1.92291544016493,1.8329882775121,1.74746926482328,1.66612470707267,1.58873480157553,1.51509268796507,1.44500357300276,1.37828392355287,1.31476072171248,1.25427077667387,1.19666008842153,1.14178325883477,1.08950294618734,1.0396893594115,0.992219788832133,0.946978170380027,0.903854680566318,0.862745359745834,0.82355176141866
9,11,2,0,0,1,292.1211864,0,0.721667824857917,1.19799525442165,1.51623019109327,1.73643078017194,1.90205086113345,2.04760662191045,2.20494920939957,2.40932853195285,2.70636150839542,3.16111091160888,3.87063844972657,4.98136787351906,6.71177121779431,9.37788696140914,13.4114006735506,14.9964773481074,17.7138833154052,21.4037776617974,25.9673554877226,31.2817292820816,37.1445114121568,43.2470705248074,49.1824011876281,54.4899668858608,58.7280779025566,61.5521512296056,62.7734194116773,62.3805093266781,60.521599187918,57.4585600566203,53.510581485196,49.0027852496955,44.2288540039887,39.4299471681768,34.7875963609846,30.426323050265,26.4217019108366,22.8105330275978,19.6009537473872,16.7813230709734,14.327420108787,12.207928235939,10.388396787584,8.83395656355458,7.51107241586217,6.38858463083925,5.43824618890814,4.63491632851456,3.95653195181806,3.3839421240349,2.90066748592693,2.49262582863973,2.14785007303147,1.85621596354302,1.60918879170344,1.39959413846279,1.22141429382852,1.06961012504541,0.939966966130642,0.828962461190124,0.733654069482976,0.651583810791473,0.580698028596056,0.519280035846914,0.46589374682785,0.419336631895296,0.378600523296575,0.342839006845667,0.31134033441084,0.283504933182757,0.258826749820599,0.236877759120498,0.217295130884835,0.199770571322846,0.184041478058648,0.169883617777365,0.157104913827263,0.145540530626275,0.135048518121159,0.125506357951268,0.116807879350157,0.10886096854827,0.101585372003973,0.094911020351396,0.088776541370028,0.0831280368989829,0.0779180421743599,0.0731046440995775,0.0686507339494925,0.0645233719436693,0.0606932444385561,0.0571342038709249,0.0538228662775342,0.050738274529619,0.047861603941523,0.0451759084035426,0.0426659017601439,0.0403177669685827,0.038118991031856,0.0360582207596387,0.0341251366011568,0.0323103423998652,0.030605268398111,0.0290020859589175,0.0274936323907902,0.0260733444438978,0.0247351994606354,0.0234736631346225,0.0222836430494387,0.0211604473022966,0.0200997475615092,0.0190975460364339,0.0181501458937969,0.0172541247092651,0.0164063106100568,0.0156037607988949,0.0148437421902218,0.0141237139439613,0.0134413116237257,0.0127943328922442,0.0121807245635534,0.0115985707963444,0.0110460823788548,0.0105215869825794,0.0100235202717497,0.00955041779457527,0.00910090757508668,0.00867370333679105,0.00826759829899107,0.00788145949022206,0.00751422253031868,0.00716488683766305,0.00683251122229511,0.00651620982983049,0.00621514840459916,0.00592854084354213,0.00565564601525621,0.0053957648210614,0.00514823747720374,0.00491244099931275,0.00468778687201997,0.00447371888825078,0.00426971114414325,0.00407526617684095,0.00388991323357044,0.00371320666146192,0.00354472440851525,0.00338406662696525,0.00323085437106887,0.00308472838203179
10,11,2,0,1,1,67.8788136,0,0.163033739269416,0.27064203117803,0.342535262252804,0.392281314647328,0.429696951270139,0.462579808360729,0.498125456235118,0.54429728770311,0.611400732207223,0.714134279530083,0.874425376998263,1.1253529714398,1.51627261333604,2.11858132661721,3.02980225158273,3.38789079090843,4.00178660377609,4.83537963935287,5.86634864168309,7.0669317932741,8.39140721016865,9.77005123028129,11.1109162632355,12.309961381218,13.2674033824973,13.9053966788875,14.1812963539397,14.0925330778899,13.6725821524797,12.9806035081466,12.0887060355364,11.0703387884128,9.99184833173222,8.90771557854759,7.85895077980385,6.87368488415095,5.96899115078835,5.1531831766921,4.42809928974259,3.79110964339803,3.23674243739393,2.75792285658527,2.34686806721316,1.99570068318269,1.69684469738203,1.44326074286312,1.22856746650706,1.04708525752465,0.893829787646168,0.764474622464044,0.655296869721181,0.563115183253007,0.485226051009484,0.419342277712857,0.363535766546747,0.316185726997143,0.275932683515693,0.24163823332558,0.21235023095034,0.187272932374965,0.165741581040534,0.147200888638294,0.131186908612745,0.117311820003542,0.105251193182318,0.0947333617429782,0.0855305680484662,0.0774515966046662,0.0703356546543882,0.0640472912412454,0.0584721826201828,0.0535136325729617,0.0490896732442891,0.0451306572316199,0.0415772593914369,0.0383788226284209,0.0354919544374879,0.0328794164100752,0.0305091402632797,0.028353447575288,0.0263883530491835,0.0245930470385168,0.0229493992698693,0.0214415802018197,0.0200557250862768,0.0187796576581969,0.0176026550369473,0.0165152485326065,0.0155090548225276,0.0145766324005354,0.0137113589498863,0.0129073274107682,0.0121592550549858,0.0114624074064416,0.0108125317344647,0.0102057997020614,0.00963875797653493,0.00910828511604374,0.00861155427890167,0.00814600063817924,0.00770929287898015,0.00729930829265157,0.00691411086433088,0.00655193200753587,0.00621115358115319,0.00589029286539836,0.00558798926699582,0.0053029925172868,0.00503415217605166,0.00478040828408288,0.00454078301740742,0.00431437322538615,0.0041003437473934,0.00389792141519703,0.00370638966327713,0.00352508367712006,0.00335338601869846,0.00319072268063074,0.00303655950732308,0.00289039896338865,0.00275177720857643,0.00262026143050146,0.00249544742396861,0.00237695738916457,0.0022644379231787,0.00215755818813363,0.00205600823759029,0.00195949748568751,0.00186775330565328,0.00178051974513942,0.00169755634742556,0.00161863706867687,0.00154354928237287,0.00147209286298798,0.0014040793417881,0.00133933112831299,0.00127768079175892,0.00121897039703719,0.00116305089078999,0.00110978153309804,0.0010590293710184,0.00101066875045364,0.000964580863179019,0.000920653326146791,0.000878779790449211,0.000838859577559014,0.000800797340678994,0.00076450274922484,0.000729890194639069,0.000696878515890821
