"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,128800.546398125,0,1.39743313300928,2.34076219327576,2.97712109863963,3.40745148686862,3.70110926670507,3.90586068721354,4.05473468226655,4.17073083765045,4.27005867505777,4.36437473325667,4.46233510975798,4.57067781943667,4.6949882160891,4.8402474757778,5.01123810157628,3.97956881874988,3.18263048164421,2.56656236369032,2.09019805251893,1.72201845059186,1.43784196655542,1.21907949593733,1.05141167329342,0.923786191519923,0.827655057015309,0.756394926813782,0.704864767284628,0.669067969356529,0.645893488056662,0.632917316260576,0.628249772230926,0.630417615285885,0.638273025605259,0.650923054700775,0.66767481126516,0.6879926298067,0.711464986093864,0.737778246530337,0.766696268157453,0.798044342177936,0.831696327277716,0.867564867885329,0.905593273297699,0.945749199341424,0.988019618118121,1.03240671852377,1.07892462679821,1.12759672935041,1.17845346351751,1.23153048754747,1.28686713394812,1.34450508258152,1.40448720305429,1.46685652178491,1.53165528170834,1.598924068332,1.66870098086171,1.74102083252829,1.81591436748912,1.89340748484752,1.97352046309402,2.05626718039491,2.14165432820519,2.22968061745184,2.32033597812321,2.41360075462407,2.5094449006501,2.60782717412472,2.7086943703574,2.81198050059969,2.9176060966695,3.02547750372726,3.13548668621805,3.24750818344909,3.36140303038164,4.25844206220007,5.03002046957727,5.71904653068473,6.35429365129357,6.95506772095,7.53434257764279,8.1008572771832,8.66051359534341,9.21730286873838,9.77391786545547,10.3321546578588,10.893176468813,11.4576847361943,12.026031406757,12.5982924875579,13.1743159029818,13.7537556593199,14.3360946599311,14.9206624680866,15.506650055793,16.0931227483736,16.679032372551,17.263230079983,17.8444786767738,18.4214655125438,18.9928168840927,19.5571119016516,20.1128972829722,20.6587024368515,21.193054626819,21.7144944970292,22.2215912356597,22.712957292554,23.1872625789305,23.6432478933906,24.0797373344379,24.4956495405758,24.8900075760068,25.2619473130215,25.6107241971034,25.9357183078174,26.236437666697,26.5125197815481,26.763731453693,26.9899669119305,27.1912443715642,27.367701155401,27.5195875063657,27.6472592840864,27.7511697743445,27.831860740864,27.8899529564574,27.926136464451,27.9411606433161,27.9358243367508,27.9109662052557,27.8674554188205,27.8061828174527,27.7280526349399,27.6339748608117,27.52485829347,27.4016043157904,27.2651014063446,27.1162203831603,26.9558103622355,26.7846954014427,26.60367179121,26.4135059462941,26.2149328481756,26.0086549847637,25.7953417329209,25.5756291296139,25.3501199789649,25.1193842448794,24.8839596820216
2,0,1,1,0,128800.546398125,0,1.39743313300928,2.34076219327576,2.97712109863963,3.40745148686862,3.70110926670507,3.90586068721354,4.05473468226655,4.17073083765045,4.27005867505777,4.36437473325667,4.46233510975798,4.57067781943667,4.6949882160891,4.8402474757778,5.01123810157628,3.97956881874988,3.18263048164421,2.56656236369032,2.09019805251893,1.72201845059186,1.43784196655542,1.21907949593733,1.05141167329342,0.923786191519923,0.827655057015309,0.756394926813782,0.704864767284628,0.669067969356529,0.645893488056662,0.632917316260576,0.628249772230926,0.630417615285885,0.638273025605259,0.650923054700775,0.66767481126516,0.6879926298067,0.711464986093864,0.737778246530337,0.766696268157453,0.798044342177936,0.831696327277716,0.867564867885329,0.905593273297699,0.945749199341424,0.988019618118121,1.03240671852377,1.07892462679821,1.12759672935041,1.17845346351751,1.23153048754747,1.28686713394812,1.34450508258152,1.40448720305429,1.46685652178491,1.53165528170834,1.598924068332,1.66870098086171,1.74102083252829,1.81591436748912,1.89340748484752,1.97352046309402,2.05626718039491,2.14165432820519,2.22968061745184,2.32033597812321,2.41360075462407,2.5094449006501,2.60782717412472,2.7086943703574,2.81198050059969,2.9176060966695,3.02547750372726,3.13548668621805,3.24750818344909,3.36140303038164,4.25844206220007,5.03002046957727,5.71904653068473,6.35429365129357,6.95506772095,7.53434257764279,8.1008572771832,8.66051359534341,9.21730286873838,9.77391786545547,10.3321546578588,10.893176468813,11.4576847361943,12.026031406757,12.5982924875579,13.1743159029818,13.7537556593199,14.3360946599311,14.9206624680866,15.506650055793,16.0931227483736,16.679032372551,17.263230079983,17.8444786767738,18.4214655125438,18.9928168840927,19.5571119016516,20.1128972829722,20.6587024368515,21.193054626819,21.7144944970292,22.2215912356597,22.712957292554,23.1872625789305,23.6432478933906,24.0797373344379,24.4956495405758,24.8900075760068,25.2619473130215,25.6107241971034,25.9357183078174,26.236437666697,26.5125197815481,26.763731453693,26.9899669119305,27.1912443715642,27.367701155401,27.5195875063657,27.6472592840864,27.7511697743445,27.831860740864,27.8899529564574,27.926136464451,27.9411606433161,27.9358243367508,27.9109662052557,27.8674554188205,27.8061828174527,27.7280526349399,27.6339748608117,27.52485829347,27.4016043157904,27.2651014063446,27.1162203831603,26.9558103622355,26.7846954014427,26.60367179121,26.4135059462941,26.2149328481756,26.0086549847637,25.7953417329209,25.5756291296139,25.3501199789649,25.1193842448794,24.8839596820216
3,0,1,0,1,1041.95678301625,0,0.0112940420932945,0.0189180191286284,0.024061066115174,0.0275389924673393,0.0299123320198045,0.0315671311706625,0.0327703294683191,0.0337078093595715,0.034510576053888,0.035272837593428,0.036064552480922,0.0369401772923774,0.0379448528072647,0.0391188368460087,0.0405007815557124,0.0321628396310716,0.0257219911121523,0.0207429340881324,0.0168929619821131,0.0139173377294504,0.0116206259249146,0.0098525895922757,0.00849749974797412,0.0074660317447625,0.00668910077473945,0.00611317703924265,0.0056967107504098,0.00540740134944083,0.00522010539866618,0.00511523209416737,0.00507750904502966,0.00509502953322764,0.00515851688923162,0.00526075431133889,0.00539614185819587,0.00556035028608531,0.00575005365984543,0.00596271719555349,0.00619643238792777,0.00644978724202989,0.00672176228488679,0.00701165150955048,0.00731899674226533,0.00764353657771093,0.00798516572452894,0.00834390187335712,0.00871985919233969,0.00911322669022488,0.00952425036129946,0.00995321839520478,0.0104004486769177,0.0108662780627109,0.011351053024362,0.0118551213010006,0.0123788242996496,0.0129224900320174,0.0134864264155449,0.0140709148104524,0.0146762036907452,0.0153025023727449,0.0159499747470307,0.0166187329768185,0.0173088311423879,0.0180202588254624,0.0187529346402975,0.0195066997305485,0.0202813112622522,0.0210764359173143,0.0218916436959014,0.0227264012775382,0.0235800664010871,0.0244518821489718,0.0253409753788026,0.0262463321183818,0.0271668292535081,0.0344166906925801,0.0406525804860543,0.0462212829546774,0.051355344506768,0.0562107951691178,0.060892489384416,0.0654710561236354,0.0699941934858277,0.0744941594178476,0.0789927168473143,0.0835043816150242,0.0880385548777759,0.0926009056502146,0.0971942783628653,0.101819287304081,0.1064747034001,0.111157730332858,0.115864188931923,0.120588660733644,0.125324607181008,0.13006447424163,0.13479979058845,0.139521271239431,0.144218917204564,0.14888211965521,0.15349977633438,0.158060403623661,0.162552256108907,0.166963448485157,0.171282078109418,0.175496350480786,0.1795947017909,0.183565917871794,0.187399248957821,0.191084518194529,0.194612221956534,0.197973620689883,0.201160818808189,0.204166832439029,0.206985644099453,0.209612243598044,0.212042654769232,0.214273947954344,0.216304238443752,0.218132671395551,0.219759394025663,0.221185516175786,0.222413060307002,0.223444902473645,0.22428470612735,0.224936849797693,0.225406350564998,0.22569878535326,0.22582021063259,0.225777082650615,0.225576179454008,0.225224525666858,0.224729321050146,0.224097873613261,0.223337537883451,0.222455658761279,0.221459521215089,0.22035630592076,0.219153050821809,0.217856618466145,0.216473668882128,0.215010637681883,0.213473719022626,0.211868853018113,0.210201717169349,0.208477721374158,0.206702006077617,0.204879443137258,0.20301463899627,0.201111939783045
4,0,1,1,1,1041.95678301625,0,0.0112940420932945,0.0189180191286284,0.024061066115174,0.0275389924673393,0.0299123320198045,0.0315671311706625,0.0327703294683191,0.0337078093595715,0.034510576053888,0.035272837593428,0.036064552480922,0.0369401772923774,0.0379448528072647,0.0391188368460087,0.0405007815557124,0.0321628396310716,0.0257219911121523,0.0207429340881324,0.0168929619821131,0.0139173377294504,0.0116206259249146,0.0098525895922757,0.00849749974797412,0.0074660317447625,0.00668910077473945,0.00611317703924265,0.0056967107504098,0.00540740134944083,0.00522010539866618,0.00511523209416737,0.00507750904502966,0.00509502953322764,0.00515851688923162,0.00526075431133889,0.00539614185819587,0.00556035028608531,0.00575005365984543,0.00596271719555349,0.00619643238792777,0.00644978724202989,0.00672176228488679,0.00701165150955048,0.00731899674226533,0.00764353657771093,0.00798516572452894,0.00834390187335712,0.00871985919233969,0.00911322669022488,0.00952425036129946,0.00995321839520478,0.0104004486769177,0.0108662780627109,0.011351053024362,0.0118551213010006,0.0123788242996496,0.0129224900320174,0.0134864264155449,0.0140709148104524,0.0146762036907452,0.0153025023727449,0.0159499747470307,0.0166187329768185,0.0173088311423879,0.0180202588254624,0.0187529346402975,0.0195066997305485,0.0202813112622522,0.0210764359173143,0.0218916436959014,0.0227264012775382,0.0235800664010871,0.0244518821489718,0.0253409753788026,0.0262463321183818,0.0271668292535081,0.0344166906925801,0.0406525804860543,0.0462212829546774,0.051355344506768,0.0562107951691178,0.060892489384416,0.0654710561236354,0.0699941934858277,0.0744941594178476,0.0789927168473143,0.0835043816150242,0.0880385548777759,0.0926009056502146,0.0971942783628653,0.101819287304081,0.1064747034001,0.111157730332858,0.115864188931923,0.120588660733644,0.125324607181008,0.13006447424163,0.13479979058845,0.139521271239431,0.144218917204564,0.14888211965521,0.15349977633438,0.158060403623661,0.162552256108907,0.166963448485157,0.171282078109418,0.175496350480786,0.1795947017909,0.183565917871794,0.187399248957821,0.191084518194529,0.194612221956534,0.197973620689883,0.201160818808189,0.204166832439029,0.206985644099453,0.209612243598044,0.212042654769232,0.214273947954344,0.216304238443752,0.218132671395551,0.219759394025663,0.221185516175786,0.222413060307002,0.223444902473645,0.22428470612735,0.224936849797693,0.225406350564998,0.22569878535326,0.22582021063259,0.225777082650615,0.225576179454008,0.225224525666858,0.224729321050146,0.224097873613261,0.223337537883451,0.222455658761279,0.221459521215089,0.22035630592076,0.219153050821809,0.217856618466145,0.216473668882128,0.215010637681883,0.213473719022626,0.211868853018113,0.210201717169349,0.208477721374158,0.206702006077617,0.204879443137258,0.20301463899627,0.201111939783045
5,11,1,0,0,16.86357925,0,0.00205676119004461,0.00340717335371566,0.00425523163996482,0.00474971485485347,0.00499892207957922,0.00508145900086688,0.0050541608573552,0.00495792986749081,0.00482204265889463,0.00466733433945615,0.00450855556942987,0.0043561157766186,0.00421737661977623,0.00409761072162734,0.0040007181728315,0.00321657935537814,0.0026013204586916,0.00211761707224814,0.00173650432858465,0.00143548649812505,0.00119707556877822,0.00100766492287323,0.000856658580798885,0.00073579818425763,0.000638641393976298,0.000560158247065175,0.000496417931436845,0.000444345742444145,0.000401534211782259,0.000366096384185059,0.000336551693449553,0.000311737027695122,0.00029073752203575,0.000272832598975437,0.000257453863943762,0.000244152125503727,0.00023257189714835,0.0002224311984631,0.000213505891572891,0.000205617413870271,0.000198623004755268,0.000192408345513913,0.000186881505160335,0.000181968294348788,0.000177608624830192,0.000173753600931739,0.000170363250206518,0.000167404725711377,0.00016485087891946,0.000162679132328614,0.00016087058093488,0.000159409275155615,0.0001582816471301,0.000157476048534062,0.000156982376537442,0.000156791769020122,0.000156896354008057,0.000157289041801542,0.000157963350585456,0.000158913258277028,0.000160133074976262,0.00016161733157085,0.000163360681028685,0.000165357809699172,0.000167603356556744,0.000170091838823807,0.000172817582818513,0.000175774658856731,0.000178956822066145,0.000182357451216886,0.000185969498290075,0.000189785437867152,0.000193797236352947,0.000197996217820837,0.000202373190125773,0.000621127720462244,0.000978234306095286,0.00129865971446609,0.00159789526944046,0.00188544302466241,0.00216705519838248,0.00244616170267391,0.00272477260459715,0.00300404206658998,0.00328461580563437,0.0035668410406531,0.00385089085107595,0.00413683418989495,0.00442467415260928,0.00471436682450501,0.00500582885026892,0.00529893974575757,0.00559354052288752,0.00588943196949008,0.00618637267423093,0.00648407769219244,0.00678221804941847,0.00708042112679097,0.00737827202401425,0.0076753157764434,0.00797106045497783,0.00826498079229805,0.00855652251875794,0.00884510726395398,0.00913013774746843,0.00941100342486949,0.00968708635868517,0.00995776714631284,0.0102224309132225,0.0104804732720134,0.0107313061187709,0.0109743632001926,0.0112091053666073,0.011435025427741,0.0116516525459454,0.0118585561068357,0.0120553490174617,0.0122416903959007,0.012417287628154,0.0125818977812925,0.0127353283752917,0.0128774375294396,0.0130081335089566,0.0131273737060502,0.0132351631123734,0.0133315523284544,0.0134166351704287,0.0134905459551078,0.0135534564983466,0.0136055729127028,0.0136471322697108,0.0136783991814367,0.0136996623609216,0.0137112312124477,0.0137134324974674,0.0137066071161907,0.0136911070374031,0.0136672924029581,0.0136355288272676,0.0135961849059411,0.0135496299423659,0.013496231896175,0.0134363555532091,0.0133703609129424,0.0132986017863167,0.0132214245944915,0.0131391673571509,0.0130521588576683,0.0129607179715413,0.0128651531440338
6,11,1,0,1,0.1364211665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,23,1,0,0,75.8716428322748,0,0.00645957994948391,0.0106965450847364,0.0133485856488626,0.0148820620123809,0.0156369012544569,0.0158598187657219,0.0157289215050781,0.0153719410711125,0.0148797391065924,0.0143163091246517,0.0137261809051194,0.0131398861522006,0.0125779968091091,0.0120540966376689,0.0115769771034082,0.00925474327631833,0.00743518992901397,0.00600701607905009,0.00488384596455668,0.00399859992766386,0.00329913969104149,0.00274491004775477,0.00230434115574121,0.0019528398269299,0.00167123217736039,0.00144455815097971,0.00126113592905444,0.00111183593208923,0.000989516670744471,0.000888586559841398,0.000804663180427999,0.000734307846075426,0.000674819145214361,0.000624072062206298,0.000580392528137135,0.000542459233021542,0.000509227781458413,0.000479870665121112,0.000453730765533385,0.000430284981084976,0.000409115283667886,0.000389886959493912,0.00037233073110052,0.000356229064919826,0.000341405464709597,0.000327715934951092,0.000315042339437695,0.000303287156312441,0.000292369329977661,0.000282221009740593,0.000272784965307791,0.000264012539094875,0.000255862022924115,0.000248297365193891,0.000241287139751549,0.000234803720940898,0.000228822620675219,0.000223321953693391,0.000218282003959957,0.000213684870907594,0.000209514178891767,0.000205754836652122,0.000202392836375638,0.000199415084185367,0.000196809255583147,0.000194563670750841,0.000192667185708247,0.000191109095704089,0.000189879051713702,0.000188966977749564,0.000188363004996676,0.000188057406988146,0.000188040536624836,0.000188302772130019,0.000188834462231117,0.000616920108438658,0.000980705106799546,0.00130660876043995,0.00161145084800585,0.00190579925841706,0.00219618438105486,0.0024865551394202,0.00277923018327903,0.00307551363056261,0.00337608917774009,0.00368126845136484,0.0039911450695688,0.00430568644168806,0.00462478714327284,0.0049482976888858,0.00527603787328887,0.00560780214733623,0.00594335898378112,0.00628244857136024,0.00662477931851024,0.00697002443075387,0.00731781909597492,0.00766775835752892,0.0080193960061464,0.00837224456095931,0.00872577624290532,0.00907942461785513,0.0094325872380039,0.00978462916426178,0.0101348869507894,0.0104826733530667,0.0108272825576085,0.0111679957210762,0.0115040868298027,0.0118348287674792,0.0121594994617971,0.0124773880270486,0.0127878008001781,0.013090067170635,0.0133835451159312,0.0136676263579133,0.0139417410635373,0.014205362025174,0.0144580082664244,0.0146992480322133,0.0149287011355374,0.0151460406460903,0.0153509939258968,0.0155433430136395,0.0157229243896675,0.0158896281624949,0.016043396712826,0.0161842228618907,0.016312147605029,0.0164272574826019,0.0165296816564856,0.0166195887525553,0.0166971835349702,0.0167627034725467,0.0168164152540968,0.016858611305804,0.0168896063569411,0.0169097340947094,0.016919343943047,0.0169187979938111,0.0169084681128392,0.0168887332377519,0.0168599768790276,0.0168225848311094,0.0167769430960588,0.0167234360185767,0.0166624446280841,0.0165943451809852,0.0165195078941813,0.0164382958593353
8,23,1,1,0,3.48637621542896,0,0.000214513069841914,0.000355216398089874,0.000443286731951355,0.000494211207666624,0.00051927829938484,0.000526681059322319,0.000522334155431636,0.000510479364661598,0.000494134067410518,0.000475423393340025,0.000455826110395595,0.000436356131191936,0.000417696619452687,0.000400298671761783,0.000384454239650683,0.000307336298385853,0.000246911630323253,0.000199484094907707,0.00016218528119244,0.000132787573226237,0.000109559536145869,9.11543916769439e-05,7.6523752186178e-05,6.48509143721882e-05,5.54991419856651e-05,4.79716337525283e-05,4.18804537980857e-05,3.69224223274863e-05,3.28603810713893e-05,2.95086417789554e-05,2.67216708164063e-05,2.43852745073971e-05,2.24097429802063e-05,2.07245076171156e-05,1.92739750723192e-05,1.80142666008551e-05,1.69106993804077e-05,1.5935793086737e-05,1.5067725789827e-05,1.42891260610193e-05,1.35861118068297e-05,1.29475676787701e-05,1.23645513716783e-05,1.18298389183915e-05,1.1337569140469e-05,1.08829601602947e-05,1.04620888496562e-05,1.00717166523195e-05,9.70915183210051e-06,9.37214116812288e-06,9.05878412722012e-06,8.76746486317966e-06,8.49679830927691e-06,8.24558724529073e-06,8.01278805529995e-06,7.79748333223436e-06,7.59885986305265e-06,7.41619087069129e-06,7.24882161485378e-06,7.09615764424797e-06,6.95765514800566e-06,6.83281296775259e-06,6.72116592479346e-06,6.6222791908945e-06,6.53574348775043e-06,6.46117094592331e-06,6.39819149035847e-06,6.34644963214236e-06,6.30560169551458e-06,6.27531307187338e-06,6.25525603250922e-06,6.24510757588201e-06,6.24454733613712e-06,6.25325578833962e-06,6.27091242804111e-06,2.04870018396407e-05,3.25677621013144e-05,4.33905390870973e-05,5.35138927002071e-05,6.32887668583078e-05,7.29320261074532e-05,8.25748083404141e-05,9.22941124771002e-05,0.000102133246339856,0.000112114914474423,0.000122249465536463,0.00013254000844529,0.000142985460913291,0.000153582321950847,0.000164325627368285,0.000175209392816916,0.000186226792314457,0.000197370137184426,0.000208630799480097,0.000219999095878114,0.000231464174018561,0.000243013919032115,0.000254634882909211,0.000266312247701786,0.000278029824893201,0.000289770087723554,0.000301514225755493,0.000313242232590919,0.000324933022844343,0.000336564564463402,0.000348114035076851,0.000359557995665641,0.000370872574508626,0.000382033661768684,0.000393017110991589,0.000403798943226889,0.000414355551014549,0.000424663898833274,0.00043470171670127,0.000444447684003901,0.000453881600725829,0.000462984543556799,0.000471739004713344,0.000480129011682602,0.000488140226518864,0.000495760023775607,0.000502977546582239,0.000509783741035944,0.000516171368964642,0.00052213500012324,0.000527670985178478,0.000532777410678991,0.00053745403822848,0.000541702229221385,0.000545524857534739,0.0005489262124429,0.000551911893761081,0.000554488701403329,0.000556664521356841,0.000558448209961532,0.000559849478257256,0.000560878777936388,0.000561547190255984,0.000561866319066796,0.000561848188902376,0.000561505148875669,0.000560849782943048,0.000559894826918716,0.000558653092463945,0.000557137398134719,0.000555360507448527,0.000553335073827331,0.000551073592188284,0.000548588356885602,0.000545891425654909
9,23,1,0,1,0.61377824161797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,23,1,1,1,0.0282037106782461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
