"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,99.1752296929488,94.2730869630713,113.060608634877,152.935213315475,217.689653650087,316.634101242213,465.525288100424,688.994725165217,1024.66988525143,1529.55021638166,2289.53921027814,3433.36259446476,5152.29489645893,7726.88520026282,11560.378070373,17214.3212245494,22539.9705550743,25625.031781986,27264.7992037504,28000.6900654995,28200.7092136493,28113.5484345076,27904.9360427851,27682.0905196823,27510.3488283727,27424.7231934065,27438.2897583948,27548.591959174,27742.7470254255,28001.5977811476,28303.0503645526,28624.6520331697,28945.4504527785,29247.2005184474,29515.0131985502,29737.5614714341,29906.9620054266,30018.4439796593,30069.8988024374,30061.3835359447,29994.630472276,29872.5965445278,29699.0713413644,29478.3513689941,29214.9804118193,28913.5509396837,28578.5588912888,28214.3031001476,27824.8206637836,27413.8502301067,26984.8161965637,26540.8279650003,26084.6895273928,25618.9156914858,25145.7521711377,24667.1974874426,24185.0252603027,23700.8059249252,23215.9272712192,22731.6134632017,22248.9423866166,21768.8612977484,21292.2008310378,20819.6874718332,20351.9546279111,19889.5524422447,19432.9564888941,18982.575488231,18538.7581625966,18101.7993429866,17671.9454246139,17249.399254327,16834.3245217713,16426.8497163877,16027.0717024117,15635.0589550818,15794.2099904029,16744.9190170209,18155.4038211461,19811.5405931773,21576.1577706975,23362.322320167,25115.7755277346,26803.370373432,28405.4570062835,29910.8909253442,31313.7587143012,32611.2601942224,33802.3572149042,34886.9360109657,35865.3154166974,36737.984391685,37505.4924585567,38168.4373024932,38727.5110621858,39183.5763131572,39537.7530231403,39791.5010431649,39946.6897927852,40005.6487244723,39971.1965182102,39846.6481355174,39635.8015519354,39342.9064129169,38972.618058844,38529.9401637648,38020.159670865,37448.7771984845,36821.4359812238,36143.8516758682,35421.7453766722,34660.781288429,33866.5101326603,33044.3192655121,32199.3898055398,31336.6610584711,30460.8017621358,29576.1885819587,28686.8907244928,27796.6605560289,26908.929461516,26026.8084415454,25153.0927872077,24290.2700471666,23440.5309733217,22605.782647338,21787.6633770977,20987.5588109023,20206.6189795083,19445.7757200601,18705.7602917461,17987.1208701932,17290.2396754986,16615.349591025,15962.5500911632,15331.8223788741,14723.0436691528,14136.0005564995,13570.4014262939,13025.8879186534,12502.0454396426,11998.4127406842,11514.4905996153,11049.7496374861,10603.637316081,10175.5841642645,9765.00928260152,9371.32517831902,8993.9419823447,8632.27109942591,8285.72834130329
2,0,1,0,0,1,818021.22396571,99.1752296929488,94.2730869630713,113.060608634877,152.935213315475,217.689653650087,316.634101242213,465.525288100424,688.994725165217,1024.66988525143,1529.55021638166,2289.53921027814,3433.36259446476,5152.29489645893,7726.88520026282,11560.378070373,17214.3212245494,22539.9705550743,25625.031781986,27264.7992037504,28000.6900654995,28200.7092136493,28113.5484345076,27904.9360427851,27682.0905196823,27510.3488283727,27424.7231934065,27438.2897583948,27548.591959174,27742.7470254255,28001.5977811476,28303.0503645526,28624.6520331697,28945.4504527785,29247.2005184474,29515.0131985502,29737.5614714341,29906.9620054266,30018.4439796593,30069.8988024374,30061.3835359447,29994.630472276,29872.5965445278,29699.0713413644,29478.3513689941,29214.9804118193,28913.5509396837,28578.5588912888,28214.3031001476,27824.8206637836,27413.8502301067,26984.8161965637,26540.8279650003,26084.6895273928,25618.9156914858,25145.7521711377,24667.1974874426,24185.0252603027,23700.8059249252,23215.9272712192,22731.6134632017,22248.9423866166,21768.8612977484,21292.2008310378,20819.6874718332,20351.9546279111,19889.5524422447,19432.9564888941,18982.575488231,18538.7581625966,18101.7993429866,17671.9454246139,17249.399254327,16834.3245217713,16426.8497163877,16027.0717024117,15635.0589550818,15794.2099904029,16744.9190170209,18155.4038211461,19811.5405931773,21576.1577706975,23362.322320167,25115.7755277346,26803.370373432,28405.4570062835,29910.8909253442,31313.7587143012,32611.2601942224,33802.3572149042,34886.9360109657,35865.3154166974,36737.984391685,37505.4924585567,38168.4373024932,38727.5110621858,39183.5763131572,39537.7530231403,39791.5010431649,39946.6897927852,40005.6487244723,39971.1965182102,39846.6481355174,39635.8015519354,39342.9064129169,38972.618058844,38529.9401637648,38020.159670865,37448.7771984845,36821.4359812238,36143.8516758682,35421.7453766722,34660.781288429,33866.5101326603,33044.3192655121,32199.3898055398,31336.6610584711,30460.8017621358,29576.1885819587,28686.8907244928,27796.6605560289,26908.929461516,26026.8084415454,25153.0927872077,24290.2700471666,23440.5309733217,22605.782647338,21787.6633770977,20987.5588109023,20206.6189795083,19445.7757200601,18705.7602917461,17987.1208701932,17290.2396754986,16615.349591025,15962.5500911632,15331.8223788741,14723.0436691528,14136.0005564995,13570.4014262939,13025.8879186534,12502.0454396426,11998.4127406842,11514.4905996153,11049.7496374861,10603.637316081,10175.5841642645,9765.00928260152,9371.32517831902,8993.9419823447,8632.27109942591,8285.72834130329
3,0,1,1,0,0,2335.27250675705,0.283123689787011,0.269129139516318,0.322763423743777,0.436596739188792,0.621456568950616,0.903921426082294,1.32897335014213,1.96692994245148,2.92520944619143,4.36653287637696,6.53613600021815,9.80150274550543,14.7086802467971,22.0585750618594,33.0023626337974,49.1431394448266,64.3467088606799,73.1538870289215,77.8350660317816,79.9358742346363,80.5068853573488,80.2580603082745,79.6625173459578,79.0263418921803,78.5360567525908,78.2916142059283,78.3303437954551,78.6452325652912,79.1995030108263,79.9384655651971,80.799047062953,81.7171498124242,82.6329594608485,83.4943902057045,84.2589371031224,84.8942639722376,85.3778656173695,85.6961223835724,85.8430147006094,85.8187054685925,85.6281400043229,85.2797597080509,84.7843830303991,84.1542755612191,83.4024088157735,82.54189329566,81.5855639270818,80.5456929438386,79.4338053804618,78.2605742628105,77.0357755000857,75.7682857576225,74.4661098220691,73.1364269220494,71.7856480817251,70.4194786437302,69.0429819067595,67.6606411214371,66.2764181258237,64.8938076416813,63.5158867981468,62.1453598056895,60.7845979448041,59.4356751730006,58.1003997315847,56.7803421589753,55.4768601155791,54.1911204090768,52.9241185658338,51.6766962641566,50.449556908736,49.2432795831641,48.0583315857419,46.8950797258508,45.7538005297952,44.6346894794733,45.0890310372701,47.8030983337437,51.8297253793158,56.5576353134911,61.5952331885641,66.6943441195723,71.7000712908873,76.5177871767862,81.0913957306124,85.3890818283872,89.3939639539194,93.0980482059724,96.4983708917261,99.5946072357846,102.387667440636,104.878947379449,107.070015819691,108.962579022435,110.558612892962,111.860579896602,112.87167729741,113.596072652258,114.03910274699,114.207417661277,114.109064112831,113.753505595102,113.151584501423,112.315432644388,111.258340007296,109.994590990228,108.539278664983,106.908106099405,105.117183499717,103.182827821712,101.121371543972,98.9489847380542,96.681513505481,94.3343375751918,91.9222479127051,89.4593451605596,86.9589575488502,84.43357950454,81.8948277264503,79.3534144034306,76.8191353924788,74.3008719230019,71.8066039425127,69.343432860894,66.9176127978801,64.5345880564425,62.1990356489168,59.9149112995402,57.6854980957549,55.5134562297417,53.4008732872849,51.349314190458,49.3598700944273,47.4332058304934,45.5696053763859,43.7690150706505,42.0310843888291,40.3552041046791,38.740541721946,37.1860742011814,35.6906179669594,34.2528562550083,32.871363894736,31.5446296244895,30.2710760679542,29.049077509015,27.8769756062498,26.7530931956918,25.6757463295573,24.6432546965405,23.6539505663418
4,0,1,1,0,1,2335.27250675705,0.283123689787011,0.269129139516318,0.322763423743777,0.436596739188792,0.621456568950616,0.903921426082294,1.32897335014213,1.96692994245148,2.92520944619143,4.36653287637696,6.53613600021815,9.80150274550543,14.7086802467971,22.0585750618594,33.0023626337974,49.1431394448266,64.3467088606799,73.1538870289215,77.8350660317816,79.9358742346363,80.5068853573488,80.2580603082745,79.6625173459578,79.0263418921803,78.5360567525908,78.2916142059283,78.3303437954551,78.6452325652912,79.1995030108263,79.9384655651971,80.799047062953,81.7171498124242,82.6329594608485,83.4943902057045,84.2589371031224,84.8942639722376,85.3778656173695,85.6961223835724,85.8430147006094,85.8187054685925,85.6281400043229,85.2797597080509,84.7843830303991,84.1542755612191,83.4024088157735,82.54189329566,81.5855639270818,80.5456929438386,79.4338053804618,78.2605742628105,77.0357755000857,75.7682857576225,74.4661098220691,73.1364269220494,71.7856480817251,70.4194786437302,69.0429819067595,67.6606411214371,66.2764181258237,64.8938076416813,63.5158867981468,62.1453598056895,60.7845979448041,59.4356751730006,58.1003997315847,56.7803421589753,55.4768601155791,54.1911204090768,52.9241185658338,51.6766962641566,50.449556908736,49.2432795831641,48.0583315857419,46.8950797258508,45.7538005297952,44.6346894794733,45.0890310372701,47.8030983337437,51.8297253793158,56.5576353134911,61.5952331885641,66.6943441195723,71.7000712908873,76.5177871767862,81.0913957306124,85.3890818283872,89.3939639539194,93.0980482059724,96.4983708917261,99.5946072357846,102.387667440636,104.878947379449,107.070015819691,108.962579022435,110.558612892962,111.860579896602,112.87167729741,113.596072652258,114.03910274699,114.207417661277,114.109064112831,113.753505595102,113.151584501423,112.315432644388,111.258340007296,109.994590990228,108.539278664983,106.908106099405,105.117183499717,103.182827821712,101.121371543972,98.9489847380542,96.681513505481,94.3343375751918,91.9222479127051,89.4593451605596,86.9589575488502,84.43357950454,81.8948277264503,79.3534144034306,76.8191353924788,74.3008719230019,71.8066039425127,69.343432860894,66.9176127978801,64.5345880564425,62.1990356489168,59.9149112995402,57.6854980957549,55.5134562297417,53.4008732872849,51.349314190458,49.3598700944273,47.4332058304934,45.5696053763859,43.7690150706505,42.0310843888291,40.3552041046791,38.740541721946,37.1860742011814,35.6906179669594,34.2528562550083,32.871363894736,31.5446296244895,30.2710760679542,29.049077509015,27.8769756062498,26.7530931956918,25.6757463295573,24.6432546965405,23.6539505663418
5,0,2,0,0,0,527895.493723415,64.000976148373,59.2110176337444,67.1863120559001,86.5802436443496,119.455641548884,170.84956529814,249.309062438742,368.239369486027,548.179187414651,820.320148536871,1231.77843359954,1853.31895771811,2790.36417276525,4198.04786207847,6300.36349940209,9411.35277152433,12366.3260200308,14120.926639973,15105.8060445295,15611.9024256688,15835.7459223029,15909.514861744,15920.943146533,15926.51358014,15960.3056943778,16040.0870274547,16171.7338427021,16352.6428142787,16574.5042455454,16825.6049447391,17092.713734691,17362.5570340562,17622.8906014418,17863.1945090309,18075.0401735411,18252.1943761133,18390.5297864929,18487.8085475849,18543.395576862,18557.9458498242,18533.0976305374,18471.1921598411,18375.0311352672,18247.676453115,18092.2918689268,17912.0232043543,17709.9121245565,17488.8378740418,17251.4814079337,17000.3068027395,16737.5554940079,16465.2496277839,16185.2015400538,15899.0270411772,15608.1607682365,15313.8723294755,15017.2823690483,14719.3779699341,14421.027043601,14122.9915187743,13825.9392616699,13530.4547375829,13237.0484754353,12946.1654256962,12658.1923172124,12373.4641217558,12092.2697327605,11814.8569590393,11541.4369224818,11272.1879406251,11007.2589652407,10746.7726370825,10490.8280086834,10239.5029798452,9992.85648311103,9750.9304499428,9528.32594137076,9334.46918135032,9166.41233217747,9024.47644034526,8909.95772373818,8824.01482477782,8767.19824457646,8739.31258085385,8739.43892699989,8766.02397033012,8816.98749956546,8889.82783380015,8981.71731587271,9089.58764411319,9210.20743930329,9340.25488025547,9476.38731225012,9615.30846290776,9753.832638551,9888.94443748446,10017.8518824714,10138.0310688178,10247.2608592031,10343.6465153208,10425.6322287608,10492.002778122,10541.8755539583,10574.6842610893,10590.1561151845,10588.2841680849,10569.2965649886,10533.6242204003,10481.8682992363,10414.7685245571,10333.1732537918,10238.0118450316,10130.2696912997,10010.9661615424,9881.13547916167,9741.81050925541,9594.0091698944,9438.7235444312,9276.91115854467,9109.48835070786,8937.32540558188,8761.24323163303,8582.01135128476,8400.3469290799,8216.9147340888,8032.32779255307,7847.14861127599,7661.89081878152,7477.02115435968,7292.96165949783,7110.09203304908,6928.75207253136,6749.24414979115,6571.83568432819,6396.76158034912,6224.22660004066,6054.40765976874,5887.45603319517,5723.49945113154,5562.64409439331,5404.97647516257,5250.56520608979,5099.4626581372,4951.70650879102,4807.32118369593,4666.31919543934,4528.7023835734,4394.46306045272,4263.58506764237,4136.04474772496,4011.8118364079
6,0,2,0,0,1,527895.493723415,64.000976148373,59.2110176337444,67.1863120559001,86.5802436443496,119.455641548884,170.84956529814,249.309062438742,368.239369486027,548.179187414651,820.320148536871,1231.77843359954,1853.31895771811,2790.36417276525,4198.04786207847,6300.36349940209,9411.35277152433,12366.3260200308,14120.926639973,15105.8060445295,15611.9024256688,15835.7459223029,15909.514861744,15920.943146533,15926.51358014,15960.3056943778,16040.0870274547,16171.7338427021,16352.6428142787,16574.5042455454,16825.6049447391,17092.713734691,17362.5570340562,17622.8906014418,17863.1945090309,18075.0401735411,18252.1943761133,18390.5297864929,18487.8085475849,18543.395576862,18557.9458498242,18533.0976305374,18471.1921598411,18375.0311352672,18247.676453115,18092.2918689268,17912.0232043543,17709.9121245565,17488.8378740418,17251.4814079337,17000.3068027395,16737.5554940079,16465.2496277839,16185.2015400538,15899.0270411772,15608.1607682365,15313.8723294755,15017.2823690483,14719.3779699341,14421.027043601,14122.9915187743,13825.9392616699,13530.4547375829,13237.0484754353,12946.1654256962,12658.1923172124,12373.4641217558,12092.2697327605,11814.8569590393,11541.4369224818,11272.1879406251,11007.2589652407,10746.7726370825,10490.8280086834,10239.5029798452,9992.85648311103,9750.9304499428,9528.32594137076,9334.46918135032,9166.41233217747,9024.47644034526,8909.95772373818,8824.01482477782,8767.19824457646,8739.31258085385,8739.43892699989,8766.02397033012,8816.98749956546,8889.82783380015,8981.71731587271,9089.58764411319,9210.20743930329,9340.25488025547,9476.38731225012,9615.30846290776,9753.832638551,9888.94443748446,10017.8518824714,10138.0310688178,10247.2608592031,10343.6465153208,10425.6322287608,10492.002778122,10541.8755539583,10574.6842610893,10590.1561151845,10588.2841680849,10569.2965649886,10533.6242204003,10481.8682992363,10414.7685245571,10333.1732537918,10238.0118450316,10130.2696912997,10010.9661615424,9881.13547916167,9741.81050925541,9594.0091698944,9438.7235444312,9276.91115854467,9109.48835070786,8937.32540558188,8761.24323163303,8582.01135128476,8400.3469290799,8216.9147340888,8032.32779255307,7847.14861127599,7661.89081878152,7477.02115435968,7292.96165949783,7110.09203304908,6928.75207253136,6749.24414979115,6571.83568432819,6396.76158034912,6224.22660004066,6054.40765976874,5887.45603319517,5723.49945113154,5562.64409439331,5404.97647516257,5250.56520608979,5099.4626581372,4951.70650879102,4807.32118369593,4666.31919543934,4528.7023835734,4394.46306045272,4263.58506764237,4136.04474772496,4011.8118364079
7,0,2,1,0,0,171228.02725029,20.7593378202249,19.2056682836929,21.7925324393499,28.0831423915106,38.7465967971493,55.4167148051042,80.8658142465058,119.442013699058,177.807240176701,266.078802372249,399.53929083018,601.141992626863,905.081703278972,1361.67757117209,2043.58405364145,3052.66361994933,4011.13787467415,4580.25961626313,4899.71481057099,5063.87208406797,5136.47789487179,5160.40556639583,5164.1124414924,5165.91926570059,5176.88006594677,5202.75791570413,5245.4588380204,5304.13841889057,5376.10132755412,5457.5482765721,5544.18760520526,5631.71389850835,5716.15561794045,5794.10052280562,5862.81472030664,5920.27640540569,5965.14683847395,5996.70014884158,6014.73034132664,6019.44986358984,6011.39010248229,5991.31046219486,5960.11970051582,5918.81097322931,5868.41047515345,5809.93858407504,5744.38189361132,5672.67431466522,5595.6854410529,5514.21451990631,5428.98858260153,5340.66353183562,5249.82721637664,5157.00373999809,5062.65844116252,4967.20312962693,4871.00129719984,4774.37311382643,4677.60009501547,4580.92937974448,4484.57759690298,4388.73432348244,4293.56515449397,4199.21441394101,4105.80754107869,4013.45318725254,3922.24505785194,3832.26353207062,3743.57708934268,3656.24356869205,3570.31128407155,3485.82001520014,3402.80189072824,3321.28217821269,3241.27999299585,3162.80893595442,3090.60500295442,3027.72568122862,2973.21481100542,2927.17652683099,2890.03126955752,2862.15485610046,2843.72584683885,2834.6808611465,2834.72184274531,2843.34495958931,2859.87547495918,2883.50194437131,2913.30718977956,2948.29597775572,2987.42017908591,3029.60232882568,3073.75820447223,3118.818628085,3163.75028899873,3207.57511240541,3249.38749338883,3288.36877896393,3323.79852168196,3355.06214478254,3381.65500670684,3403.18293859819,3419.35965751601,3430.00148012194,3435.01992617067,3434.41274195941,3428.25392859759,3416.68325738735,3399.89572200431,3378.13125880304,3351.66504074999,3320.79851416264,3285.85130083242,3247.15404297129,3205.04220097808,3159.85079467247,3111.90999566084,3061.54159580797,3009.05617786172,2954.75096510001,2898.90824279981,2841.79428059009,2783.65868053802,2724.73406192401,2665.23604904843,2605.3634829229,2545.29881808886,2485.20865494344,2425.24438490562,2365.54290122827,2306.2273629198,2247.40798660332,2189.1828495221,2131.63869178651,2074.85170685602,2018.88831133334,1963.80588975894,1909.65350921334,1856.47260042504,1804.29760417217,1753.15658152068,1703.07178764972,1654.06020958921,1606.13406839752,1559.30128676958,1513.56592328456,1468.92857461906,1425.38674721067,1382.9351999142,1341.56625921669,1301.27010860108
8,0,2,1,0,1,171228.02725029,20.7593378202249,19.2056682836929,21.7925324393499,28.0831423915106,38.7465967971493,55.4167148051042,80.8658142465058,119.442013699058,177.807240176701,266.078802372249,399.53929083018,601.141992626863,905.081703278972,1361.67757117209,2043.58405364145,3052.66361994933,4011.13787467415,4580.25961626313,4899.71481057099,5063.87208406797,5136.47789487179,5160.40556639583,5164.1124414924,5165.91926570059,5176.88006594677,5202.75791570413,5245.4588380204,5304.13841889057,5376.10132755412,5457.5482765721,5544.18760520526,5631.71389850835,5716.15561794045,5794.10052280562,5862.81472030664,5920.27640540569,5965.14683847395,5996.70014884158,6014.73034132664,6019.44986358984,6011.39010248229,5991.31046219486,5960.11970051582,5918.81097322931,5868.41047515345,5809.93858407504,5744.38189361132,5672.67431466522,5595.6854410529,5514.21451990631,5428.98858260153,5340.66353183562,5249.82721637664,5157.00373999809,5062.65844116252,4967.20312962693,4871.00129719984,4774.37311382643,4677.60009501547,4580.92937974448,4484.57759690298,4388.73432348244,4293.56515449397,4199.21441394101,4105.80754107869,4013.45318725254,3922.24505785194,3832.26353207062,3743.57708934268,3656.24356869205,3570.31128407155,3485.82001520014,3402.80189072824,3321.28217821269,3241.27999299585,3162.80893595442,3090.60500295442,3027.72568122862,2973.21481100542,2927.17652683099,2890.03126955752,2862.15485610046,2843.72584683885,2834.6808611465,2834.72184274531,2843.34495958931,2859.87547495918,2883.50194437131,2913.30718977956,2948.29597775572,2987.42017908591,3029.60232882568,3073.75820447223,3118.818628085,3163.75028899873,3207.57511240541,3249.38749338883,3288.36877896393,3323.79852168196,3355.06214478254,3381.65500670684,3403.18293859819,3419.35965751601,3430.00148012194,3435.01992617067,3434.41274195941,3428.25392859759,3416.68325738735,3399.89572200431,3378.13125880304,3351.66504074999,3320.79851416264,3285.85130083242,3247.15404297129,3205.04220097808,3159.85079467247,3111.90999566084,3061.54159580797,3009.05617786172,2954.75096510001,2898.90824279981,2841.79428059009,2783.65868053802,2724.73406192401,2665.23604904843,2605.3634829229,2545.29881808886,2485.20865494344,2425.24438490562,2365.54290122827,2306.2273629198,2247.40798660332,2189.1828495221,2131.63869178651,2074.85170685602,2018.88831133334,1963.80588975894,1909.65350921334,1856.47260042504,1804.29760417217,1753.15658152068,1703.07178764972,1654.06020958921,1606.13406839752,1559.30128676958,1513.56592328456,1468.92857461906,1425.38674721067,1382.9351999142,1341.56625921669,1301.27010860108
9,11,2,0,0,0,146.0605932,0.0177080892956215,0.0161202688767289,0.0176447591252116,0.02192552671663,0.0294146766023564,0.0412679722772884,0.0594680860794151,0.0871387571363667,0.129077113910011,0.19257941413515,0.288681591453725,0.433984389770315,0.653270965194429,0.98312371146279,1.47661216342012,2.20868970819699,2.9224160562777,3.38448303033436,3.68980768275345,3.90007227073967,4.0554375179206,4.18202202798245,4.29664869594079,4.40984155425968,4.52773087539989,4.65329432388606,4.78721821292254,4.9285466544735,5.07520977222466,5.22446987621972,5.37329518548864,5.51865905466335,5.65776208504461,5.78817962680534,5.9079425877626,6.01556369204076,6.11002290432733,6.19072553228997,6.25744468569672,6.31025731860425,6.34948057915781,6.37561283646303,6.38928185573057,6.39120117164187,6.38213470837414,6.36286906439898,6.33419254072819,6.296879851153,6.25168145232191,6.19931651157157,6.14046865429966,6.07578377210985,6.00586931033108,5.9312945785826,5.85259173852212,5.77025720947933,5.68475330869341,5.59650999717963,5.50592664568838,5.41337376624416,5.31919467771258,5.22370708905522,5.12720459442263,5.02995808060794,4.93221705122886,4.83421087383946,4.73614995672923,4.63822686225569,4.54061736270961,4.44348144403649,4.34696426196693,4.25119705414226,4.15629801115422,4.06237310880478,3.96951690335931,3.87781329113845,3.78739462316161,3.69893331627295,3.61365241246562,3.53281719643189,3.45747702282483,3.38838050468978,3.32597453202838,3.27043880954564,3.22173121086337,3.17963209198955,3.14378285610868,3.11371785974803,3.08889033622701,3.06869374989381,3.05248000635097,3.03957570670955,3.02929720333787,3.02096483018534,3.01391633224674,3.00751929603243,3.00118221521927,2.99436385090514,2.98658060934095,2.97741172701841,2.9665022553603,2.95356388613086,2.93837385609254,2.92077218019776,2.90065756403053,2.87798230934342,2.85274656314782,2.82499219855032,2.79479660107634,2.76226656069937,2.72753245907641,2.69074286027196,2.65205958444534,2.61165331843239,2.56969977609333,2.52637640947122,2.481859621689,2.43632250055682,2.38993297457389,2.34285237963204,2.29523437528576,2.24722416982114,2.19895801049085,2.15056288564466,2.10215641928584,2.0538469101974,2.00573349198881,1.95790638336258,1.91044721498163,1.86342940298198,1.81691856130466,1.77097293673419,1.72564385585281,1.68097617596389,1.63700873295253,1.59377477984624,1.55130241322175,1.50961498381105,1.46873148896801,1.42866694597126,1.38943274502303,1.35103698158816,1.31348476809726,1.27677852519258,1.24091825300182,1.20590178307666,1.17172501172208,1.13838211555112,1.10586575014498,1.07416723272094,1.04327670973026
10,11,2,0,0,1,146.0605932,0.0177080892956215,0.0161202688767289,0.0176447591252116,0.02192552671663,0.0294146766023564,0.0412679722772884,0.0594680860794151,0.0871387571363667,0.129077113910011,0.19257941413515,0.288681591453725,0.433984389770315,0.653270965194429,0.98312371146279,1.47661216342012,2.20868970819699,2.9224160562777,3.38448303033436,3.68980768275345,3.90007227073967,4.0554375179206,4.18202202798245,4.29664869594079,4.40984155425968,4.52773087539989,4.65329432388606,4.78721821292254,4.9285466544735,5.07520977222466,5.22446987621972,5.37329518548864,5.51865905466335,5.65776208504461,5.78817962680534,5.9079425877626,6.01556369204076,6.11002290432733,6.19072553228997,6.25744468569672,6.31025731860425,6.34948057915781,6.37561283646303,6.38928185573057,6.39120117164187,6.38213470837414,6.36286906439898,6.33419254072819,6.296879851153,6.25168145232191,6.19931651157157,6.14046865429966,6.07578377210985,6.00586931033108,5.9312945785826,5.85259173852212,5.77025720947933,5.68475330869341,5.59650999717963,5.50592664568838,5.41337376624416,5.31919467771258,5.22370708905522,5.12720459442263,5.02995808060794,4.93221705122886,4.83421087383946,4.73614995672923,4.63822686225569,4.54061736270961,4.44348144403649,4.34696426196693,4.25119705414226,4.15629801115422,4.06237310880478,3.96951690335931,3.87781329113845,3.78739462316161,3.69893331627295,3.61365241246562,3.53281719643189,3.45747702282483,3.38838050468978,3.32597453202838,3.27043880954564,3.22173121086337,3.17963209198955,3.14378285610868,3.11371785974803,3.08889033622701,3.06869374989381,3.05248000635097,3.03957570670955,3.02929720333787,3.02096483018534,3.01391633224674,3.00751929603243,3.00118221521927,2.99436385090514,2.98658060934095,2.97741172701841,2.9665022553603,2.95356388613086,2.93837385609254,2.92077218019776,2.90065756403053,2.87798230934342,2.85274656314782,2.82499219855032,2.79479660107634,2.76226656069937,2.72753245907641,2.69074286027196,2.65205958444534,2.61165331843239,2.56969977609333,2.52637640947122,2.481859621689,2.43632250055682,2.38993297457389,2.34285237963204,2.29523437528576,2.24722416982114,2.19895801049085,2.15056288564466,2.10215641928584,2.0538469101974,2.00573349198881,1.95790638336258,1.91044721498163,1.86342940298198,1.81691856130466,1.77097293673419,1.72564385585281,1.68097617596389,1.63700873295253,1.59377477984624,1.55130241322175,1.50961498381105,1.46873148896801,1.42866694597126,1.38943274502303,1.35103698158816,1.31348476809726,1.27677852519258,1.24091825300182,1.20590178307666,1.17172501172208,1.13838211555112,1.10586575014498,1.07416723272094,1.04327670973026
