"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,99.1752296929488,94.2730869630713,113.060608634877,152.935213315475,217.689653650087,316.634101242213,465.525288100424,688.994725165217,1024.66988525143,1529.55021638166,2289.53921027814,3433.36259446476,5152.29489645893,7726.88520026282,11560.378070373,17214.3212245494,22539.9705550743,25625.031781986,27264.7992037504,28000.6900654995,28200.7092136493,28113.5484345076,27904.9360427851,27682.0905196823,27510.3488283727,27424.7231934065,27438.2897583948,27548.591959174,27742.7470254255,28001.5977811476,28303.0503645526,28624.6520331697,28945.4504527785,29247.2005184474,29515.0131985502,29737.5614714341,29906.9620054266,30018.4439796593,30069.8988024374,30061.3835359447,29994.630472276,29872.5965445278,29699.0713413644,29478.3513689941,29214.9804118193,28913.5509396837,28578.5588912888,28214.3031001476,27824.8206637836,27413.8502301067,26984.8161965637,26540.8279650003,26084.6895273928,25618.9156914858,25145.7521711377,24667.1974874426,24185.0252603027,23700.8059249252,23215.9272712192,22731.6134632017,22248.9423866166,21768.8612977484,21292.2008310378,20819.6874718332,20351.9546279111,19889.5524422447,19432.9564888941,18982.575488231,18538.7581625966,18101.7993429866,17671.9454246139,17249.399254327,16834.3245217713,16426.8497163877,16027.0717024117,15635.0589550818,15250.8544964142,14874.4785714331,14505.9310623483,14145.1937062875,13792.2320925175,13446.9975443479,13109.4287333952,12779.4532348361,12456.9888972145,12141.9451089169,11834.2239413177,11533.7211854938,11240.3272943731,10953.9282343362,10674.4062551407,10401.6405851934,10135.5080545154,9875.88366131926,9622.64107513348,9375.65308893326,9134.79202316862,8899.93008592045,8670.93969277668,8447.69375052309,8230.06590759353,8017.93077448465,7811.16411698591,7609.64302463451,7413.24605693749,7221.85336936155,7035.34682109408,6853.61006646656,6676.52863149786,6503.98997720011,6335.88355095885,6172.10082714601,6012.53533821389,5857.08269719125,5705.64061251735,5558.10889610917,5414.38946534202,5274.3863396721,5138.00563252964,5005.1555389891,4875.74631989488,4749.69028258074,4626.9017588786,4507.29708073744,4390.79455369733,4277.31442859266,4166.77887174244,4059.11193386135,3954.23951792847,3852.08934620391,3752.59092656913,3655.67551835504,3561.27609779682,3469.32732324245,3379.76550022951,3292.52854652969,3207.55595725051,3124.78877007362,3044.16953069903,2965.64225855679,2889.15241284002,2814.64685890586,2742.07383508539,2671.38291993744,2602.52499997641,2535.45223789957,2470.11804133532,2406.47703213001,2344.48501618783,2284.09895387504,2225.27693099734
2,0,1,0,0,1,818021.22396571,99.1752296929488,94.2730869630713,113.060608634877,152.935213315475,217.689653650087,316.634101242213,465.525288100424,688.994725165217,1024.66988525143,1529.55021638166,2289.53921027814,3433.36259446476,5152.29489645893,7726.88520026282,11560.378070373,17214.3212245494,22539.9705550743,25625.031781986,27264.7992037504,28000.6900654995,28200.7092136493,28113.5484345076,27904.9360427851,27682.0905196823,27510.3488283727,27424.7231934065,27438.2897583948,27548.591959174,27742.7470254255,28001.5977811476,28303.0503645526,28624.6520331697,28945.4504527785,29247.2005184474,29515.0131985502,29737.5614714341,29906.9620054266,30018.4439796593,30069.8988024374,30061.3835359447,29994.630472276,29872.5965445278,29699.0713413644,29478.3513689941,29214.9804118193,28913.5509396837,28578.5588912888,28214.3031001476,27824.8206637836,27413.8502301067,26984.8161965637,26540.8279650003,26084.6895273928,25618.9156914858,25145.7521711377,24667.1974874426,24185.0252603027,23700.8059249252,23215.9272712192,22731.6134632017,22248.9423866166,21768.8612977484,21292.2008310378,20819.6874718332,20351.9546279111,19889.5524422447,19432.9564888941,18982.575488231,18538.7581625966,18101.7993429866,17671.9454246139,17249.399254327,16834.3245217713,16426.8497163877,16027.0717024117,15635.0589550818,15250.8544964142,14874.4785714331,14505.9310623483,14145.1937062875,13792.2320925175,13446.9975443479,13109.4287333952,12779.4532348361,12456.9888972145,12141.9451089169,11834.2239413177,11533.7211854938,11240.3272943731,10953.9282343362,10674.4062551407,10401.6405851934,10135.5080545154,9875.88366131926,9622.64107513348,9375.65308893326,9134.79202316862,8899.93008592045,8670.93969277668,8447.69375052309,8230.06590759353,8017.93077448465,7811.16411698591,7609.64302463451,7413.24605693749,7221.85336936155,7035.34682109408,6853.61006646656,6676.52863149786,6503.98997720011,6335.88355095885,6172.10082714601,6012.53533821389,5857.08269719125,5705.64061251735,5558.10889610917,5414.38946534202,5274.3863396721,5138.00563252964,5005.1555389891,4875.74631989488,4749.69028258074,4626.9017588786,4507.29708073744,4390.79455369733,4277.31442859266,4166.77887174244,4059.11193386135,3954.23951792847,3852.08934620391,3752.59092656913,3655.67551835504,3561.27609779682,3469.32732324245,3379.76550022951,3292.52854652969,3207.55595725051,3124.78877007362,3044.16953069903,2965.64225855679,2889.15241284002,2814.64685890586,2742.07383508539,2671.38291993744,2602.52499997641,2535.45223789957,2470.11804133532,2406.47703213001,2344.48501618783,2284.09895387504,2225.27693099734
3,0,1,1,0,0,2335.27250675705,0.283123689787011,0.269129139516318,0.322763423743777,0.436596739188792,0.621456568950616,0.903921426082294,1.32897335014213,1.96692994245148,2.92520944619143,4.36653287637696,6.53613600021815,9.80150274550543,14.7086802467971,22.0585750618594,33.0023626337974,49.1431394448266,64.3467088606799,73.1538870289215,77.8350660317816,79.9358742346363,80.5068853573488,80.2580603082745,79.6625173459578,79.0263418921803,78.5360567525908,78.2916142059283,78.3303437954551,78.6452325652912,79.1995030108263,79.9384655651971,80.799047062953,81.7171498124242,82.6329594608485,83.4943902057045,84.2589371031224,84.8942639722376,85.3778656173695,85.6961223835724,85.8430147006094,85.8187054685925,85.6281400043229,85.2797597080509,84.7843830303991,84.1542755612191,83.4024088157735,82.54189329566,81.5855639270818,80.5456929438386,79.4338053804618,78.2605742628105,77.0357755000857,75.7682857576225,74.4661098220691,73.1364269220494,71.7856480817251,70.4194786437302,69.0429819067595,67.6606411214371,66.2764181258237,64.8938076416813,63.5158867981468,62.1453598056895,60.7845979448041,59.4356751730006,58.1003997315847,56.7803421589753,55.4768601155791,54.1911204090768,52.9241185658338,51.6766962641566,50.449556908736,49.2432795831641,48.0583315857419,46.8950797258508,45.7538005297952,44.6346894794733,43.5378693933755,42.4633980666384,41.4112751629963,40.3814485459252,39.3738199802731,38.3882505046856,37.42456503998,36.4825568290526,35.5619913473815,34.6626099185361,33.7841329776106,32.9262630308161,32.0886873451106,31.2710803793368,30.4731059821871,29.6944193770561,28.9346689404683,28.1934978195343,27.4705453682609,26.7654484382858,26.0778425322905,25.4073628321668,24.7536451121941,24.1163265489147,23.4950464361147,22.8894468140599,22.2991730211257,21.7238741746992,21.1632035886112,20.6168191328099,20.0843835409952,19.5655646716125,19.0600357263674,18.5674754309498,18.0875681817134,17.6200041616166,17.1644794289893,16.7206959817543,16.288361799775,15.8671908678859,15.4569031815466,15.0572247372001,14.6678875091294,14.2886294142583,13.9191942668344,13.5593317233868,13.2087972199459,12.8673519024412,12.5347625509748,12.2108014990408,11.8952465484247,11.5878808804516,11.288492964258,10.9968764626318,10.712830135921,10.4361577444807,10.1666679500538,9.90417421644887,9.64849470984241,9.39945219898824,9.15687395559056,8.92059165506688,8.69044127789886,8.46626301174659,8.24790115448021,8.03520401826209,7.82802383479624,7.62621666184517,7.42964229109973,7.23816415747508,7.05164924989372,6.86996802360607,6.69299431408984,6.52060525256067,6.35268118311883
4,0,1,1,0,1,2335.27250675705,0.283123689787011,0.269129139516318,0.322763423743777,0.436596739188792,0.621456568950616,0.903921426082294,1.32897335014213,1.96692994245148,2.92520944619143,4.36653287637696,6.53613600021815,9.80150274550543,14.7086802467971,22.0585750618594,33.0023626337974,49.1431394448266,64.3467088606799,73.1538870289215,77.8350660317816,79.9358742346363,80.5068853573488,80.2580603082745,79.6625173459578,79.0263418921803,78.5360567525908,78.2916142059283,78.3303437954551,78.6452325652912,79.1995030108263,79.9384655651971,80.799047062953,81.7171498124242,82.6329594608485,83.4943902057045,84.2589371031224,84.8942639722376,85.3778656173695,85.6961223835724,85.8430147006094,85.8187054685925,85.6281400043229,85.2797597080509,84.7843830303991,84.1542755612191,83.4024088157735,82.54189329566,81.5855639270818,80.5456929438386,79.4338053804618,78.2605742628105,77.0357755000857,75.7682857576225,74.4661098220691,73.1364269220494,71.7856480817251,70.4194786437302,69.0429819067595,67.6606411214371,66.2764181258237,64.8938076416813,63.5158867981468,62.1453598056895,60.7845979448041,59.4356751730006,58.1003997315847,56.7803421589753,55.4768601155791,54.1911204090768,52.9241185658338,51.6766962641566,50.449556908736,49.2432795831641,48.0583315857419,46.8950797258508,45.7538005297952,44.6346894794733,43.5378693933755,42.4633980666384,41.4112751629963,40.3814485459252,39.3738199802731,38.3882505046856,37.42456503998,36.4825568290526,35.5619913473815,34.6626099185361,33.7841329776106,32.9262630308161,32.0886873451106,31.2710803793368,30.4731059821871,29.6944193770561,28.9346689404683,28.1934978195343,27.4705453682609,26.7654484382858,26.0778425322905,25.4073628321668,24.7536451121941,24.1163265489147,23.4950464361147,22.8894468140599,22.2991730211257,21.7238741746992,21.1632035886112,20.6168191328099,20.0843835409952,19.5655646716125,19.0600357263674,18.5674754309498,18.0875681817134,17.6200041616166,17.1644794289893,16.7206959817543,16.288361799775,15.8671908678859,15.4569031815466,15.0572247372001,14.6678875091294,14.2886294142583,13.9191942668344,13.5593317233868,13.2087972199459,12.8673519024412,12.5347625509748,12.2108014990408,11.8952465484247,11.5878808804516,11.288492964258,10.9968764626318,10.712830135921,10.4361577444807,10.1666679500538,9.90417421644887,9.64849470984241,9.39945219898824,9.15687395559056,8.92059165506688,8.69044127789886,8.46626301174659,8.24790115448021,8.03520401826209,7.82802383479624,7.62621666184517,7.42964229109973,7.23816415747508,7.05164924989372,6.86996802360607,6.69299431408984,6.52060525256067,6.35268118311883
5,0,2,0,0,0,527895.493723415,64.000976148373,59.2110176337444,67.1863120559001,86.5802436443496,119.455641548884,170.84956529814,249.309062438742,368.239369486027,548.179187414651,820.320148536871,1231.77843359954,1853.31895771811,2790.36417276525,4198.04786207847,6300.36349940209,9411.35277152433,12366.3260200308,14120.926639973,15105.8060445295,15611.9024256688,15835.7459223029,15909.514861744,15920.943146533,15926.51358014,15960.3056943778,16040.0870274547,16171.7338427021,16352.6428142787,16574.5042455454,16825.6049447391,17092.713734691,17362.5570340562,17622.8906014418,17863.1945090309,18075.0401735411,18252.1943761133,18390.5297864929,18487.8085475849,18543.395576862,18557.9458498242,18533.0976305374,18471.1921598411,18375.0311352672,18247.676453115,18092.2918689268,17912.0232043543,17709.9121245565,17488.8378740418,17251.4814079337,17000.3068027395,16737.5554940079,16465.2496277839,16185.2015400538,15899.0270411772,15608.1607682365,15313.8723294755,15017.2823690483,14719.3779699341,14421.027043601,14122.9915187743,13825.9392616699,13530.4547375829,13237.0484754353,12946.1654256962,12658.1923172124,12373.4641217558,12092.2697327605,11814.8569590393,11541.4369224818,11272.1879406251,11007.2589652407,10746.7726370825,10490.8280086834,10239.5029798452,9992.85648311103,9750.9304499428,9513.75158484674,9281.33297483558,9053.67553552644,8830.7693350299,8612.59478292948,8399.12374830606,8190.32051652664,7986.14271084447,7786.54210283175,7591.4653617478,7400.85473069696,7214.6486401031,7032.7822654729,6855.18803197828,6681.79607109929,6512.53463350517,6347.33045955804,6186.10911679351,6028.79530019487,5875.31310257763,5725.58625677709,5579.53835204962,5437.09302682478,5298.17414016492,5162.70592363341,5030.61311546326,4901.82107865748,4776.25590442718,4653.84450246403,4534.51467918833,4418.19520515537,4304.81587272681,4194.30754484351,4086.60219587645,3981.63294531815,3879.33408498887,3779.64110050149,3682.49068751886,3587.82076335583,3495.57047445953,3405.68020016335,3318.09155314937,3232.74737699322,3149.59174108868,3068.56993336126,2989.6284508478,2912.71498856026,2837.7784268271,2764.76881725919,2693.63736756417,2624.33642536623,2556.81946117261,2491.04105063048,2426.95685619057,2364.52360828488,2303.69908611921,2244.44209816625,2186.71246243777,2130.47098660724,2075.67944804494,2022.3005738218,1970.29802073237,1919.63635538066,1870.28103436873,1822.19838462246,1775.35558388523,1729.72064140625,1685.2623788471,1641.95041142667,1599.7551293221,1558.64767934083,1518.59994687628,1479.58453815805,1441.57476280534,1404.5446166908
6,0,2,0,0,1,527895.493723415,64.000976148373,59.2110176337444,67.1863120559001,86.5802436443496,119.455641548884,170.84956529814,249.309062438742,368.239369486027,548.179187414651,820.320148536871,1231.77843359954,1853.31895771811,2790.36417276525,4198.04786207847,6300.36349940209,9411.35277152433,12366.3260200308,14120.926639973,15105.8060445295,15611.9024256688,15835.7459223029,15909.514861744,15920.943146533,15926.51358014,15960.3056943778,16040.0870274547,16171.7338427021,16352.6428142787,16574.5042455454,16825.6049447391,17092.713734691,17362.5570340562,17622.8906014418,17863.1945090309,18075.0401735411,18252.1943761133,18390.5297864929,18487.8085475849,18543.395576862,18557.9458498242,18533.0976305374,18471.1921598411,18375.0311352672,18247.676453115,18092.2918689268,17912.0232043543,17709.9121245565,17488.8378740418,17251.4814079337,17000.3068027395,16737.5554940079,16465.2496277839,16185.2015400538,15899.0270411772,15608.1607682365,15313.8723294755,15017.2823690483,14719.3779699341,14421.027043601,14122.9915187743,13825.9392616699,13530.4547375829,13237.0484754353,12946.1654256962,12658.1923172124,12373.4641217558,12092.2697327605,11814.8569590393,11541.4369224818,11272.1879406251,11007.2589652407,10746.7726370825,10490.8280086834,10239.5029798452,9992.85648311103,9750.9304499428,9513.75158484674,9281.33297483558,9053.67553552644,8830.7693350299,8612.59478292948,8399.12374830606,8190.32051652664,7986.14271084447,7786.54210283175,7591.4653617478,7400.85473069696,7214.6486401031,7032.7822654729,6855.18803197828,6681.79607109929,6512.53463350517,6347.33045955804,6186.10911679351,6028.79530019487,5875.31310257763,5725.58625677709,5579.53835204962,5437.09302682478,5298.17414016492,5162.70592363341,5030.61311546326,4901.82107865748,4776.25590442718,4653.84450246403,4534.51467918833,4418.19520515537,4304.81587272681,4194.30754484351,4086.60219587645,3981.63294531815,3879.33408498887,3779.64110050149,3682.49068751886,3587.82076335583,3495.57047445953,3405.68020016335,3318.09155314937,3232.74737699322,3149.59174108868,3068.56993336126,2989.6284508478,2912.71498856026,2837.7784268271,2764.76881725919,2693.63736756417,2624.33642536623,2556.81946117261,2491.04105063048,2426.95685619057,2364.52360828488,2303.69908611921,2244.44209816625,2186.71246243777,2130.47098660724,2075.67944804494,2022.3005738218,1970.29802073237,1919.63635538066,1870.28103436873,1822.19838462246,1775.35558388523,1729.72064140625,1685.2623788471,1641.95041142667,1599.7551293221,1558.64767934083,1518.59994687628,1479.58453815805,1441.57476280534,1404.5446166908
7,0,2,1,0,0,171228.02725029,20.7593378202249,19.2056682836929,21.7925324393499,28.0831423915106,38.7465967971493,55.4167148051042,80.8658142465058,119.442013699058,177.807240176701,266.078802372249,399.53929083018,601.141992626863,905.081703278972,1361.67757117209,2043.58405364145,3052.66361994933,4011.13787467415,4580.25961626313,4899.71481057099,5063.87208406797,5136.47789487179,5160.40556639583,5164.1124414924,5165.91926570059,5176.88006594677,5202.75791570413,5245.4588380204,5304.13841889057,5376.10132755412,5457.5482765721,5544.18760520526,5631.71389850835,5716.15561794045,5794.10052280562,5862.81472030664,5920.27640540569,5965.14683847395,5996.70014884158,6014.73034132664,6019.44986358984,6011.39010248229,5991.31046219486,5960.11970051582,5918.81097322931,5868.41047515345,5809.93858407504,5744.38189361132,5672.67431466522,5595.6854410529,5514.21451990631,5428.98858260153,5340.66353183562,5249.82721637664,5157.00373999809,5062.65844116252,4967.20312962693,4871.00129719984,4774.37311382643,4677.60009501547,4580.92937974448,4484.57759690298,4388.73432348244,4293.56515449397,4199.21441394101,4105.80754107869,4013.45318725254,3922.24505785194,3832.26353207062,3743.57708934268,3656.24356869205,3570.31128407155,3485.82001520014,3402.80189072824,3321.28217821269,3241.27999299585,3162.80893595442,3085.87766895418,3010.49043689473,2936.64753676537,2864.34574706137,2793.57871344099,2724.33731136758,2656.60995645326,2590.38290338891,2525.64050881586,2462.36547439073,2400.53906610381,2340.14131326548,2281.15118942213,2223.54677602237,2167.30541053361,2112.403820364,2058.81824303891,2006.52453566607,1955.49827233238,1905.71483180578,1857.14947609114,1809.7774206221,1763.5738967821,1718.51420751899,1674.57377660492,1631.72819215525,1589.95324493557,1549.22496191284,1509.51963553611,1470.81384911708,1433.08449869401,1396.30881173793,1360.46436297266,1325.52908762515,1291.48129235366,1258.2996640723,1225.96327691342,1194.45159750082,1163.74448871299,1133.8222121094,1104.66542914814,1076.25520133592,1048.57298943173,1021.60065180057,995.320442050019,969.715005974684,944.767377944001,920.460976796332,896.779601286852,873.707425161944,851.228991910992,829.329209241397,807.993343323416,787.207012842598,766.956182894577,747.22715875495,728.006579552022,709.281411867896,691.038943291054,673.266775940545,655.952819980055,639.085287138132,622.65268424887,606.643806825861,591.047732680676,575.853815595797,561.0516790607,546.631210078695,532.582553051106,518.896103744495,505.562503345794,492.572632609474,479.917606100218,467.588766533953,455.577679219565
8,0,2,1,0,1,171228.02725029,20.7593378202249,19.2056682836929,21.7925324393499,28.0831423915106,38.7465967971493,55.4167148051042,80.8658142465058,119.442013699058,177.807240176701,266.078802372249,399.53929083018,601.141992626863,905.081703278972,1361.67757117209,2043.58405364145,3052.66361994933,4011.13787467415,4580.25961626313,4899.71481057099,5063.87208406797,5136.47789487179,5160.40556639583,5164.1124414924,5165.91926570059,5176.88006594677,5202.75791570413,5245.4588380204,5304.13841889057,5376.10132755412,5457.5482765721,5544.18760520526,5631.71389850835,5716.15561794045,5794.10052280562,5862.81472030664,5920.27640540569,5965.14683847395,5996.70014884158,6014.73034132664,6019.44986358984,6011.39010248229,5991.31046219486,5960.11970051582,5918.81097322931,5868.41047515345,5809.93858407504,5744.38189361132,5672.67431466522,5595.6854410529,5514.21451990631,5428.98858260153,5340.66353183562,5249.82721637664,5157.00373999809,5062.65844116252,4967.20312962693,4871.00129719984,4774.37311382643,4677.60009501547,4580.92937974448,4484.57759690298,4388.73432348244,4293.56515449397,4199.21441394101,4105.80754107869,4013.45318725254,3922.24505785194,3832.26353207062,3743.57708934268,3656.24356869205,3570.31128407155,3485.82001520014,3402.80189072824,3321.28217821269,3241.27999299585,3162.80893595442,3085.87766895418,3010.49043689473,2936.64753676537,2864.34574706137,2793.57871344099,2724.33731136758,2656.60995645326,2590.38290338891,2525.64050881586,2462.36547439073,2400.53906610381,2340.14131326548,2281.15118942213,2223.54677602237,2167.30541053361,2112.403820364,2058.81824303891,2006.52453566607,1955.49827233238,1905.71483180578,1857.14947609114,1809.7774206221,1763.5738967821,1718.51420751899,1674.57377660492,1631.72819215525,1589.95324493557,1549.22496191284,1509.51963553611,1470.81384911708,1433.08449869401,1396.30881173793,1360.46436297266,1325.52908762515,1291.48129235366,1258.2996640723,1225.96327691342,1194.45159750082,1163.74448871299,1133.8222121094,1104.66542914814,1076.25520133592,1048.57298943173,1021.60065180057,995.320442050019,969.715005974684,944.767377944001,920.460976796332,896.779601286852,873.707425161944,851.228991910992,829.329209241397,807.993343323416,787.207012842598,766.956182894577,747.22715875495,728.006579552022,709.281411867896,691.038943291054,673.266775940545,655.952819980055,639.085287138132,622.65268424887,606.643806825861,591.047732680676,575.853815595797,561.0516790607,546.631210078695,532.582553051106,518.896103744495,505.562503345794,492.572632609474,479.917606100218,467.588766533953,455.577679219565
9,11,2,0,0,0,146.0605932,0.0177080892956215,0.0161202688767289,0.0176447591252116,0.02192552671663,0.0294146766023564,0.0412679722772884,0.0594680860794151,0.0871387571363667,0.129077113910011,0.19257941413515,0.288681591453725,0.433984389770315,0.653270965194429,0.98312371146279,1.47661216342012,2.20868970819699,2.9224160562777,3.38448303033436,3.68980768275345,3.90007227073967,4.0554375179206,4.18202202798245,4.29664869594079,4.40984155425968,4.52773087539989,4.65329432388606,4.78721821292254,4.9285466544735,5.07520977222466,5.22446987621972,5.37329518548864,5.51865905466335,5.65776208504461,5.78817962680534,5.9079425877626,6.01556369204076,6.11002290432733,6.19072553228997,6.25744468569672,6.31025731860425,6.34948057915781,6.37561283646303,6.38928185573057,6.39120117164187,6.38213470837414,6.36286906439898,6.33419254072819,6.296879851153,6.25168145232191,6.19931651157157,6.14046865429966,6.07578377210985,6.00586931033108,5.9312945785826,5.85259173852212,5.77025720947933,5.68475330869341,5.59650999717963,5.50592664568838,5.41337376624416,5.31919467771258,5.22370708905522,5.12720459442263,5.02995808060794,4.93221705122886,4.83421087383946,4.73614995672923,4.63822686225569,4.54061736270961,4.44348144403649,4.34696426196693,4.25119705414226,4.15629801115422,4.06237310880478,3.96951690335931,3.87781329113845,3.78733622701243,3.69815044298075,3.61031206605978,3.52386926990387,3.43886286117999,3.35532685457046,3.27328899301614,3.19277125910818,3.11379034740286,3.03635811342346,2.96048199436892,2.8861654029658,2.81340809723871,2.74220652563613,2.67255414922428,2.6044417419173,2.53785766871515,2.47278814569473,2.40921747965508,2.34712829021976,2.28650171476786,2.22731759773029,2.16955466452401,2.11319068148278,2.05820260260798,2.00456670376867,1.95225870544433,1.90125388464234,1.85152717671223,1.80305326787333,1.75580667901488,1.70976184145286,1.66489316524544,1.62117510059263,1.57858219288399,1.53708913186982,1.49667079542148,1.45730228832469,1.41895897649814,1.38161651702502,1.34525088434664,1.30983839294077,1.27535571679438,1.24177990594126,1.20908840041143,1.17725904164337,1.14627008174963,1.1161001908129,1.08672846236691,1.05813441725526,1.03029800602893,1.00319961003212,0.97682004131267,0.951140541483271,0.926142779648321,0.901808849502103,0.87812126569484,0.855062959554722,0.832617274246563,0.810767959440421,0.789499165557035,0.76879543765089,0.748641708986079,0.729023294355018,0.709925883185338,0.691335532475913,0.673238659598966,0.655622035001577,0.638472774836475,0.621778333548969,0.605526496444018,0.589705372254866,0.574303385732286,0.559309270271354,0.544712060590664
10,11,2,0,0,1,146.0605932,0.0177080892956215,0.0161202688767289,0.0176447591252116,0.02192552671663,0.0294146766023564,0.0412679722772884,0.0594680860794151,0.0871387571363667,0.129077113910011,0.19257941413515,0.288681591453725,0.433984389770315,0.653270965194429,0.98312371146279,1.47661216342012,2.20868970819699,2.9224160562777,3.38448303033436,3.68980768275345,3.90007227073967,4.0554375179206,4.18202202798245,4.29664869594079,4.40984155425968,4.52773087539989,4.65329432388606,4.78721821292254,4.9285466544735,5.07520977222466,5.22446987621972,5.37329518548864,5.51865905466335,5.65776208504461,5.78817962680534,5.9079425877626,6.01556369204076,6.11002290432733,6.19072553228997,6.25744468569672,6.31025731860425,6.34948057915781,6.37561283646303,6.38928185573057,6.39120117164187,6.38213470837414,6.36286906439898,6.33419254072819,6.296879851153,6.25168145232191,6.19931651157157,6.14046865429966,6.07578377210985,6.00586931033108,5.9312945785826,5.85259173852212,5.77025720947933,5.68475330869341,5.59650999717963,5.50592664568838,5.41337376624416,5.31919467771258,5.22370708905522,5.12720459442263,5.02995808060794,4.93221705122886,4.83421087383946,4.73614995672923,4.63822686225569,4.54061736270961,4.44348144403649,4.34696426196693,4.25119705414226,4.15629801115422,4.06237310880478,3.96951690335931,3.87781329113845,3.78733622701243,3.69815044298075,3.61031206605978,3.52386926990387,3.43886286117999,3.35532685457046,3.27328899301614,3.19277125910818,3.11379034740286,3.03635811342346,2.96048199436892,2.8861654029658,2.81340809723871,2.74220652563613,2.67255414922428,2.6044417419173,2.53785766871515,2.47278814569473,2.40921747965508,2.34712829021976,2.28650171476786,2.22731759773029,2.16955466452401,2.11319068148278,2.05820260260798,2.00456670376867,1.95225870544433,1.90125388464234,1.85152717671223,1.80305326787333,1.75580667901488,1.70976184145286,1.66489316524544,1.62117510059263,1.57858219288399,1.53708913186982,1.49667079542148,1.45730228832469,1.41895897649814,1.38161651702502,1.34525088434664,1.30983839294077,1.27535571679438,1.24177990594126,1.20908840041143,1.17725904164337,1.14627008174963,1.1161001908129,1.08672846236691,1.05813441725526,1.03029800602893,1.00319961003212,0.97682004131267,0.951140541483271,0.926142779648321,0.901808849502103,0.87812126569484,0.855062959554722,0.832617274246563,0.810767959440421,0.789499165557035,0.76879543765089,0.748641708986079,0.729023294355018,0.709925883185338,0.691335532475913,0.673238659598966,0.655622035001577,0.638472774836475,0.621778333548969,0.605526496444018,0.589705372254866,0.574303385732286,0.559309270271354,0.544712060590664
