"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,2.43512965128987,7.05526211919621,20.4977796708294,44.1001134674017,82.8437408874467,145.665764037122,247.116911502383,410.437891461422,672.585149640375,1092.1839596353,1761.91829688518,2827.5160907383,4516.08735848979,7176.58014847975,11333.0454097375,17743.9904709492,23878.1821632037,27367.3309565979,29128.8083098911,29790.5781646197,29781.3914495628,29392.274542436,28818.4750521041,28188.1151464673,27581.895503526,27046.78263077,26605.744539363,26264.8798867083,26018.8051273742,25854.8220623046,25756.1615126955,25704.4688594646,25681.636194993,25671.0649180336,25658.4450327471,25632.1404055145,25583.2714528277,25505.5820790972,25395.1675816121,25250.1265982235,25070.1860480976,24856.333597198,24610.480460678,24335.1673341437,24033.3188132874,23708.0464112734,23362.496867017,22999.7404892498,22622.6934163009,22234.0675686964,21836.3424218334,21431.7533654407,21022.2921928021,20609.7160293825,20195.5617580122,19781.1636701315,19367.6726332941,18956.0755428157,18547.2142094803,18141.8031311814,17740.4458200629,17343.6495358455,16951.8383816797,16565.364810896,16184.5196394326,15809.5406923864,15440.6202256244,15077.911267032,14721.5330177062,14371.575443232,14028.1031760168,13691.1588331899,13360.7658429887,13036.9308602961,12719.6458393086,12408.8898204252,12518.2922182209,13232.5022963335,14299.6511013888,15556.4524432797,16898.1296762852,18258.4541009917,19596.4790372522,20887.7322070166,22118.3662448964,23281.276069637,24373.5485968898,25394.7715082404,26345.9421676503,27228.7598970666,28045.1869598244,28797.1794854954,29486.5392535452,30114.8401442106,30683.4117917194,31193.3498402824,31645.5488046335,32040.7553400333,32379.6148927185,32662.7281996554,32890.7038942902,33064.2024826352,33183.9805504835,33250.9225535593,33266.0664766992,33230.6222617332,33145.9809574209,33013.7178482426,32835.5884841076,32613.5194600692,32349.5944626197,32046.0366344664,31705.1883092732,31329.488918057,30921.4519098637,30483.641435318,30018.6493611281,29529.073168096,29017.4950897373,28486.4628412337,27938.4721687048,27375.951351719,26801.2476695005,26216.6159410216,25624.2090573219,25026.0704339742,24424.1283050408,23820.1917189302,23215.948104176,22612.9622595431,22012.676613254,21416.4126009913,20825.3730122346,20240.6451601719,19663.2047383444,19093.9202350846,18533.5577869703,17982.7863626751,17442.1831790343,16912.2392618843,16393.3650744832,15885.8961463288,15390.0986447313,14906.1748403598,14434.268426266,13974.4696574708,13526.8202850593,13091.3182649179,12667.9222267371,12256.5556937268,11857.1110477048
2,0,1,1,0,818021.22396571,2.43512965128987,7.05526211919621,20.4977796708294,44.1001134674017,82.8437408874467,145.665764037122,247.116911502383,410.437891461422,672.585149640375,1092.1839596353,1761.91829688518,2827.5160907383,4516.08735848979,7176.58014847975,11333.0454097375,17743.9904709492,23878.1821632037,27367.3309565979,29128.8083098911,29790.5781646197,29781.3914495628,29392.274542436,28818.4750521041,28188.1151464673,27581.895503526,27046.78263077,26605.744539363,26264.8798867083,26018.8051273742,25854.8220623046,25756.1615126955,25704.4688594646,25681.636194993,25671.0649180336,25658.4450327471,25632.1404055145,25583.2714528277,25505.5820790972,25395.1675816121,25250.1265982235,25070.1860480976,24856.333597198,24610.480460678,24335.1673341437,24033.3188132874,23708.0464112734,23362.496867017,22999.7404892498,22622.6934163009,22234.0675686964,21836.3424218334,21431.7533654407,21022.2921928021,20609.7160293825,20195.5617580122,19781.1636701315,19367.6726332941,18956.0755428157,18547.2142094803,18141.8031311814,17740.4458200629,17343.6495358455,16951.8383816797,16565.364810896,16184.5196394326,15809.5406923864,15440.6202256244,15077.911267032,14721.5330177062,14371.575443232,14028.1031760168,13691.1588331899,13360.7658429887,13036.9308602961,12719.6458393086,12408.8898204252,12518.2922182209,13232.5022963335,14299.6511013888,15556.4524432797,16898.1296762852,18258.4541009917,19596.4790372522,20887.7322070166,22118.3662448964,23281.276069637,24373.5485968898,25394.7715082404,26345.9421676503,27228.7598970666,28045.1869598244,28797.1794854954,29486.5392535452,30114.8401442106,30683.4117917194,31193.3498402824,31645.5488046335,32040.7553400333,32379.6148927185,32662.7281996554,32890.7038942902,33064.2024826352,33183.9805504835,33250.9225535593,33266.0664766992,33230.6222617332,33145.9809574209,33013.7178482426,32835.5884841076,32613.5194600692,32349.5944626197,32046.0366344664,31705.1883092732,31329.488918057,30921.4519098637,30483.641435318,30018.6493611281,29529.073168096,29017.4950897373,28486.4628412337,27938.4721687048,27375.951351719,26801.2476695005,26216.6159410216,25624.2090573219,25026.0704339742,24424.1283050408,23820.1917189302,23215.948104176,22612.9622595431,22012.676613254,21416.4126009913,20825.3730122346,20240.6451601719,19663.2047383444,19093.9202350846,18533.5577869703,17982.7863626751,17442.1831790343,16912.2392618843,16393.3650744832,15885.8961463288,15390.0986447313,14906.1748403598,14434.268426266,13974.4696574708,13526.8202850593,13091.3182649179,12667.9222267371,12256.5556937268,11857.1110477048
3,0,1,0,1,2335.27250675705,2.43512965128987,2.00815012315396,1.68611701217339,1.45838156392043,1.32730883688128,1.30869103828383,1.43608675399948,1.76927557661328,2.40832981956292,3.51608173075057,5.35328226310392,8.33260035469754,13.0993208218925,20.6466212345583,32.4673948585757,50.7234514188539,68.1951107014148,78.1275721342345,83.1362883659435,85.0115061749171,84.9754607592807,83.8577100175498,82.214740254674,80.4116671582642,78.6784171668212,77.1487524551203,75.8880281390942,74.9135174291838,74.2097700055362,73.7404931818878,73.457799057798,73.3092901932547,73.2432824179582,73.2124037598031,73.1758154219473,73.1003092855461,72.9605427558488,72.7386585039275,72.4235078557689,72.0096576825542,71.4963203680907,70.8863053139751,70.185057024263,69.3998162383257,68.5389193866242,67.6112366735184,66.6257393501842,65.591181185802,64.5158766794213,63.4075582624571,62.2732957409599,61.1194630509462,59.9517396142598,58.7751357691658,57.5940338819395,56.4122386633564,55.2330318131811,54.0592274781876,52.8932261045413,51.7370651095204,50.5924654355451,49.4608735603855,48.3434988387764,47.2413463131721,46.1552452637624,45.0858738639044,44.0337803427889,42.9994010675428,41.9830759448238,40.9850615129757,40.0055420696848,39.0446391331328,38.102419501605,37.1789021415625,36.2740640980249,35.3878455900482,35.6998407374267,37.7366348769855,40.7799446145026,44.3641081148108,48.1903218771264,52.0697139714592,55.885512082986,59.5679258266338,63.0774650915601,66.3938675069766,69.5088254974656,72.4211632068978,75.1337249311135,77.6513568196227,79.9796548819378,82.1241976352918,84.090123419195,85.8819206470103,87.5033811879704,88.9576296153505,90.2472169186085,91.3742724195184,92.3406368105686,93.1480232817414,93.7981675423224,94.2929532325144,94.6345379941846,94.8254441304583,94.8686317809277,94.7675514745376,94.5261702235021,94.1489804460329,93.6409886438047,93.0076891074198,92.2550241230356,91.389333679987,90.4172976780411,89.3458729205495,88.1822272965103,86.9336732863914,85.6076024117745,84.2114222045914,82.7524967143518,81.2380915506995,79.6753241171833,78.0711194153019,76.4321714486441,74.7649105413644,73.0754763381191,71.3696962799036,69.6530693314767,67.9307545622901,66.2075642045413,64.4879607731466,62.776057805003,61.0756237887984,59.3900888563254,57.7225538224801,56.0758011836946,54.4523077070937,52.8542582716422,51.2835606515223,49.7418609617455,48.2305595166322,46.7508268810197,45.3036199226036,43.8896977010269,42.5096370546015,41.163847769174,39.8525872352699,38.5759745192152,37.334003791579,36.1265570719356,34.95341626271,33.814274456871
4,0,1,1,1,2335.27250675705,2.43512965128987,2.00815012315396,1.68611701217339,1.45838156392043,1.32730883688128,1.30869103828383,1.43608675399948,1.76927557661328,2.40832981956292,3.51608173075057,5.35328226310392,8.33260035469754,13.0993208218925,20.6466212345583,32.4673948585757,50.7234514188539,68.1951107014148,78.1275721342345,83.1362883659435,85.0115061749171,84.9754607592807,83.8577100175498,82.214740254674,80.4116671582642,78.6784171668212,77.1487524551203,75.8880281390942,74.9135174291838,74.2097700055362,73.7404931818878,73.457799057798,73.3092901932547,73.2432824179582,73.2124037598031,73.1758154219473,73.1003092855461,72.9605427558488,72.7386585039275,72.4235078557689,72.0096576825542,71.4963203680907,70.8863053139751,70.185057024263,69.3998162383257,68.5389193866242,67.6112366735184,66.6257393501842,65.591181185802,64.5158766794213,63.4075582624571,62.2732957409599,61.1194630509462,59.9517396142598,58.7751357691658,57.5940338819395,56.4122386633564,55.2330318131811,54.0592274781876,52.8932261045413,51.7370651095204,50.5924654355451,49.4608735603855,48.3434988387764,47.2413463131721,46.1552452637624,45.0858738639044,44.0337803427889,42.9994010675428,41.9830759448238,40.9850615129757,40.0055420696848,39.0446391331328,38.102419501605,37.1789021415625,36.2740640980249,35.3878455900482,35.6998407374267,37.7366348769855,40.7799446145026,44.3641081148108,48.1903218771264,52.0697139714592,55.885512082986,59.5679258266338,63.0774650915601,66.3938675069766,69.5088254974656,72.4211632068978,75.1337249311135,77.6513568196227,79.9796548819378,82.1241976352918,84.090123419195,85.8819206470103,87.5033811879704,88.9576296153505,90.2472169186085,91.3742724195184,92.3406368105686,93.1480232817414,93.7981675423224,94.2929532325144,94.6345379941846,94.8254441304583,94.8686317809277,94.7675514745376,94.5261702235021,94.1489804460329,93.6409886438047,93.0076891074198,92.2550241230356,91.389333679987,90.4172976780411,89.3458729205495,88.1822272965103,86.9336732863914,85.6076024117745,84.2114222045914,82.7524967143518,81.2380915506995,79.6753241171833,78.0711194153019,76.4321714486441,74.7649105413644,73.0754763381191,71.3696962799036,69.6530693314767,67.9307545622901,66.2075642045413,64.4879607731466,62.776057805003,61.0756237887984,59.3900888563254,57.7225538224801,56.0758011836946,54.4523077070937,52.8542582716422,51.2835606515223,49.7418609617455,48.2305595166322,46.7508268810197,45.3036199226036,43.8896977010269,42.5096370546015,41.163847769174,39.8525872352699,38.5759745192152,37.334003791579,36.1265570719356,34.95341626271,33.814274456871
5,0,2,0,0,527895.493723415,2.43512965128987,5.32726923763622,13.8630525710449,28.4578977890354,51.69987626181,88.4434195792179,146.680237583075,239.210704533831,386.400165666315,620.556710138931,992.767034302785,1583.3991524254,2517.84505721451,3989.16307787456,6288.32733156746,9839.11217121232,13255.2509089868,15232.863338514,16274.8016335566,16723.0359746851,16809.7951645608,16692.0502552497,16474.7731230455,16226.6431886204,15990.7327407214,15791.8653942708,15641.828959101,15543.2017164961,15492.2701056112,15481.3168100311,15500.4281800731,15538.8975674925,15586.2697323109,15633.0639457284,15671.2188370546,15694.3071021334,15697.5719045976,15677.835531133,15633.3258148218,15563.4581054045,15468.6023082128,15349.8558798371,15208.8365690484,15047.5025891637,14868.0033525067,14672.5606790828,14463.3782964523,14242.5762578213,14012.146386878,13773.9248107322,13529.5778756966,13280.5981529039,13028.3077365614,12773.866525695,12518.2836547668,12262.4306644591,12007.0553586335,11752.7955950669,11500.1924994185,11249.7027777524,11001.7099431977,10756.5343834239,10514.4422613089,10275.6532970509,10040.3475079639,9808.67100170147,9580.74092467494,9356.64966862333,9136.46843378193,8920.25023957205,8708.03246676891,8499.83900347717,8295.68205905469,8095.56370156359,7899.4771655085,7707.40796909377,7530.30898060901,7374.90164934926,7238.22383999598,7119.77024981443,7019.91960843621,6939.14366153758,6877.65394375086,6835.28449625277,6811.49187227554,6805.40691059057,6815.9029647356,6841.66146674378,6881.22881660956,6933.06165284543,6995.56162146213,7067.10159973168,7146.04577223818,7230.76581176983,7319.65463729545,7411.13954794889,7503.69507452586,7595.85581049334,7686.22939223975,7773.50911588886,7856.48626649337,7934.06029211393,8005.24821399918,8069.19124663853,8125.15903864354,8172.5516802767,8210.89870525372,8239.85600941266,8259.20040926106,8268.82246071327,8268.71776913655,8258.97720222814,8239.77642218546,8211.36505928887,8174.05586025543,8128.21408287027,8074.24734969611,8012.59614160585,7943.725023112,7868.11471580417,7786.25503535752,7698.63870250599,7605.75600001443,7508.09025338008,7406.1140708751,7300.28628846597,7191.04954824092,7078.82844238464,6964.0281568094,6847.03354476852,6728.20857087317,6607.896067814,6486.41775255239,6364.07445638639,6241.14652708176,6117.89436680315,5994.55907498541,5871.3631692487,5748.51136181412,5626.19137262306,5504.57476345213,5383.8177802524,5264.06219339216,5145.4361275405,5028.05487474519,4912.02168574965,4797.42853583305,4684.3568625024,4572.87827320918,4463.05522194958,4354.94165416624
6,0,2,1,0,527895.493723415,2.43512965128987,5.32726923763622,13.8630525710449,28.4578977890354,51.69987626181,88.4434195792179,146.680237583075,239.210704533831,386.400165666315,620.556710138931,992.767034302785,1583.3991524254,2517.84505721451,3989.16307787456,6288.32733156746,9839.11217121232,13255.2509089868,15232.863338514,16274.8016335566,16723.0359746851,16809.7951645608,16692.0502552497,16474.7731230455,16226.6431886204,15990.7327407214,15791.8653942708,15641.828959101,15543.2017164961,15492.2701056112,15481.3168100311,15500.4281800731,15538.8975674925,15586.2697323109,15633.0639457284,15671.2188370546,15694.3071021334,15697.5719045976,15677.835531133,15633.3258148218,15563.4581054045,15468.6023082128,15349.8558798371,15208.8365690484,15047.5025891637,14868.0033525067,14672.5606790828,14463.3782964523,14242.5762578213,14012.146386878,13773.9248107322,13529.5778756966,13280.5981529039,13028.3077365614,12773.866525695,12518.2836547668,12262.4306644591,12007.0553586335,11752.7955950669,11500.1924994185,11249.7027777524,11001.7099431977,10756.5343834239,10514.4422613089,10275.6532970509,10040.3475079639,9808.67100170147,9580.74092467494,9356.64966862333,9136.46843378193,8920.25023957205,8708.03246676891,8499.83900347717,8295.68205905469,8095.56370156359,7899.4771655085,7707.40796909377,7530.30898060901,7374.90164934926,7238.22383999598,7119.77024981443,7019.91960843621,6939.14366153758,6877.65394375086,6835.28449625277,6811.49187227554,6805.40691059057,6815.9029647356,6841.66146674378,6881.22881660956,6933.06165284543,6995.56162146213,7067.10159973168,7146.04577223818,7230.76581176983,7319.65463729545,7411.13954794889,7503.69507452586,7595.85581049334,7686.22939223975,7773.50911588886,7856.48626649337,7934.06029211393,8005.24821399918,8069.19124663853,8125.15903864354,8172.5516802767,8210.89870525372,8239.85600941266,8259.20040926106,8268.82246071327,8268.71776913655,8258.97720222814,8239.77642218546,8211.36505928887,8174.05586025543,8128.21408287027,8074.24734969611,8012.59614160585,7943.725023112,7868.11471580417,7786.25503535752,7698.63870250599,7605.75600001443,7508.09025338008,7406.1140708751,7300.28628846597,7191.04954824092,7078.82844238464,6964.0281568094,6847.03354476852,6728.20857087317,6607.896067814,6486.41775255239,6364.07445638639,6241.14652708176,6117.89436680315,5994.55907498541,5871.3631692487,5748.51136181412,5626.19137262306,5504.57476345213,5383.8177802524,5264.06219339216,5145.4361275405,5028.05487474519,4912.02168574965,4797.42853583305,4684.3568625024,4572.87827320918,4463.05522194958,4354.94165416624
7,0,2,0,1,171228.02725029,2.43512965128987,3.07497564438165,5.59943615071161,10.1334550981779,17.508467188201,29.2924703713978,48.0722502173821,77.995289183998,125.663616091276,201.553620948884,322.233193782099,513.768251084113,816.82889208698,1294.03353178843,2039.76045663595,3191.46278146432,4299.49504338256,4940.93450957012,5278.88410825225,5424.26372146238,5452.39796457418,5414.20116492625,5343.72142308271,5263.23518221669,5186.71307605725,5122.20668736623,5073.53937143406,5041.54733013601,5025.02597951164,5021.47210306766,5027.67009894206,5040.14715898713,5055.51202755169,5070.68954348495,5083.06492819512,5090.55342694348,5091.61211517791,5085.21026973064,5070.77306764797,5048.11086644936,5017.34364137661,4978.82735480222,4933.08673018502,4880.75692363066,4822.53510849837,4759.14194454409,4691.29222351929,4619.6735971744,4544.93212543851,4467.66336724869,4388.40781220128,4307.64958491476,4225.81751481387,4143.2878223459,4060.38782655909,3977.40021711859,3894.5675488904,3812.09671504773,3730.16323310025,3648.9152385353,3568.47712625376,3488.95281601764,3410.4286394367,3332.97586414487,3256.65287989491,3181.50707762665,3107.5764545175,3034.89097840977,2963.47374354682,2893.34194710918,2824.50771378276,2756.97879181957,2690.75914139533,2625.84943329146,2562.2474730683,2499.94856345452,2442.50533944963,2392.09794741998,2347.76559925292,2309.34439667429,2276.95718313374,2250.7569724483,2230.81237726852,2217.06956775538,2209.3522733678,2207.37857593318,2210.78304024681,2219.13798009941,2231.97191075023,2248.78423273045,2269.05650939099,2292.26097275282,2317.86703530637,2345.34653839043,2374.17821468252,2403.85194829325,2433.87294323399,2463.76588523936,2493.07915199688,2521.38890549368,2548.30309107171,2573.46473745729,2596.55500901502,2617.29535300555,2635.44887514333,2650.82099075188,2663.25910099172,2672.65159341043,2678.92607697156,2682.04705276473,2682.01309536185,2678.8536782993,2672.62577876832,2663.4103659953,2651.30888143877,2636.43979886821,2618.93533334788,2598.93835775145,2576.59955663983,2552.07485522833,2525.52312845884,2497.10419354822,2466.97707694196,2435.29854844999,2402.22190167965,2367.89596310018,2332.46430658969,2296.06465142116,2258.8284223152,2220.88044896054,2182.33878567717,2143.3146325074,2103.91234046761,2064.22948617167,2024.35700226476,1984.37935190491,1944.37473728254,1904.41533345405,1864.5675401773,1824.89224565226,1785.4450970717,1746.27677383942,1707.43326010859,1668.95611395989,1630.88273112876,1593.24660167418,1556.07755838404,1519.40201605035,1483.24320102188,1447.62137066383,1412.55402253599
8,0,2,1,1,171228.02725029,2.43512965128987,3.07497564438165,5.59943615071161,10.1334550981779,17.508467188201,29.2924703713978,48.0722502173821,77.995289183998,125.663616091276,201.553620948884,322.233193782099,513.768251084113,816.82889208698,1294.03353178843,2039.76045663595,3191.46278146432,4299.49504338256,4940.93450957012,5278.88410825225,5424.26372146238,5452.39796457418,5414.20116492625,5343.72142308271,5263.23518221669,5186.71307605725,5122.20668736623,5073.53937143406,5041.54733013601,5025.02597951164,5021.47210306766,5027.67009894206,5040.14715898713,5055.51202755169,5070.68954348495,5083.06492819512,5090.55342694348,5091.61211517791,5085.21026973064,5070.77306764797,5048.11086644936,5017.34364137661,4978.82735480222,4933.08673018502,4880.75692363066,4822.53510849837,4759.14194454409,4691.29222351929,4619.6735971744,4544.93212543851,4467.66336724869,4388.40781220128,4307.64958491476,4225.81751481387,4143.2878223459,4060.38782655909,3977.40021711859,3894.5675488904,3812.09671504773,3730.16323310025,3648.9152385353,3568.47712625376,3488.95281601764,3410.4286394367,3332.97586414487,3256.65287989491,3181.50707762665,3107.5764545175,3034.89097840977,2963.47374354682,2893.34194710918,2824.50771378276,2756.97879181957,2690.75914139533,2625.84943329146,2562.2474730683,2499.94856345452,2442.50533944963,2392.09794741998,2347.76559925292,2309.34439667429,2276.95718313374,2250.7569724483,2230.81237726852,2217.06956775538,2209.3522733678,2207.37857593318,2210.78304024681,2219.13798009941,2231.97191075023,2248.78423273045,2269.05650939099,2292.26097275282,2317.86703530637,2345.34653839043,2374.17821468252,2403.85194829325,2433.87294323399,2463.76588523936,2493.07915199688,2521.38890549368,2548.30309107171,2573.46473745729,2596.55500901502,2617.29535300555,2635.44887514333,2650.82099075188,2663.25910099172,2672.65159341043,2678.92607697156,2682.04705276473,2682.01309536185,2678.8536782993,2672.62577876832,2663.4103659953,2651.30888143877,2636.43979886821,2618.93533334788,2598.93835775145,2576.59955663983,2552.07485522833,2525.52312845884,2497.10419354822,2466.97707694196,2435.29854844999,2402.22190167965,2367.89596310018,2332.46430658969,2296.06465142116,2258.8284223152,2220.88044896054,2182.33878567717,2143.3146325074,2103.91234046761,2064.22948617167,2024.35700226476,1984.37935190491,1944.37473728254,1904.41533345405,1864.5675401773,1824.89224565226,1785.4450970717,1746.27677383942,1707.43326010859,1668.95611395989,1630.88273112876,1593.24660167418,1556.07755838404,1519.40201605035,1483.24320102188,1447.62137066383,1412.55402253599
9,11,2,0,0,292.1211864,2.43512965128987,2.08386601877193,1.92909206709941,1.8904512894625,1.91850074654269,1.98425871985206,2.07266980074374,2.17880396412996,2.30612056234927,2.46650590168596,2.68210473310584,2.98925757819699,3.4451097115397,4.13758739759993,5.19913612746685,6.82319119638958,8.38480320357157,9.30397758719422,9.8146412512727,10.0713203969168,10.1760227535733,10.195872667303,10.1746558184812,10.1403657906366,10.1101609886291,10.0936528334301,10.0951519016678,10.1152651204687,10.152086739546,10.2021217046148,10.2610132643825,10.3241096485362,10.3868882751231,10.4452515723193,10.4957106614531,10.53547544808,10.5624716326695,10.5753049352001,10.5731909859236,10.5558662912679,10.5234923776448,10.4765617155372,10.4158111411813,10.3421460102136,10.2565764569666,10.160165824944,10.0539904750461,9.93910968897896,9.8165441673856,9.68726159174595,9.55216780319977,9.41210230616839,9.26783699315115,9.12007717349342,8.96946417040852,8.81657891394577,8.66194609382364,8.50603855227092,8.34928169079605,8.19205773739968,8.03470977575358,7.87754548292555,7.72084054867897,7.56484177358331,7.40976985557697,7.25582188434267,7.10317356753246,6.9519812148048,6.80238350620697,6.65450306998316,6.50844789373766,6.36431258995918,6.22217953487381,6.08211989733792,5.94419457208633,5.80845502953514,5.67501652673888,5.54467196086055,5.41891708416652,5.29931989205217,5.18719180551176,5.08347579581619,4.98874300677505,4.90323780297678,4.82693853630655,4.75961807687251,4.70089675948617,4.65028526125666,4.60721788087804,4.57107740422733,4.54121325657837,4.51695474986594,4.49762087907908,4.48252799974507,4.47099612985006,4.4623548469168,4.45594892784969,4.45114382081856,4.44733127450245,4.44393470580546,4.44041446784954,4.43627231351903,4.43105548004008,4.42435973860364,4.41583147108514,4.40516886053183,4.39212188831846,4.37649148431304,4.35812772238499,4.33692729534989,4.31283035968562,4.28581690537776,4.25590281512713,4.22313573800017,4.18759090953,4.14936702750555,4.10858226953623,4.06537052753637,4.01987790041569,3.97225949338008,3.92267653666893,3.87129383168813,3.81827751798076,3.76379315644321,3.7080041071281,3.65107018334016,3.59314655669983,3.53438288853339,3.47492266342406,3.41490269874441,3.35445280756722,3.2936955928229,3.23274635192749,3.17171307395494,3.11069651270833,3.04979032104962,2.98908123392114,2.92864928895428,2.86856807523727,2.80890500229039,2.74972158250205,2.69107372146068,2.63301201161435,2.57558202553188,2.51882460579817,2.4627761492063,2.40746888343802,2.35293113487841,2.29918758658103,2.2462595257063,2.19416508000847
10,11,2,0,1,67.8788136,2.43512965128987,2.01408165006601,1.6993615763349,1.46158835729263,1.28039988665469,1.14172278925828,1.03599405800384,0.957055079836003,0.901556981317224,0.86880336162914,0.861028316979858,0.884174822450312,0.949296806807718,1.07473842483991,1.28917671378661,1.63529257379411,1.97106825585477,2.16479301608496,2.26875487124735,2.31740555352849,2.33341517816666,2.33164119157194,2.32172415454728,2.30978252705015,2.29952424256566,2.29298279628142,2.29101914373816,2.29367799750545,2.30045317431383,2.31049316047286,2.32276300153851,2.33617028686135,2.34965931692375,2.36227656898804,2.37321107645132,2.38181386705002,2.38760105713341,2.39024515654325,2.38955872819921,2.38547386331173,2.37802018983958,2.36730334415546,2.35348518641384,2.33676648129539,2.31737234702963,2.29554048143439,2.27151198077184,2.24552445759621,2.2178071152915,2.18857743071809,2.15803911587096,2.12638106481519,2.0937770350837,2.0603858551025,2.02635199043232,1.99180633871619,1.95686715414339,1.92164102861934,1.88622387811764,1.85070189917143,1.81515247295219,1.77964500462468,1.74424169167818,1.70899822044716,1.67396439286196,1.63918468769197,1.6046987616223,1.57054189595255,1.53674539485264,1.5033369407908,1.47034091249888,1.43777867018733,1.40566881226736,1.37402740733298,1.34286820461861,1.31220282567343,1.28205730337619,1.25261075886474,1.22420109774889,1.19718254688255,1.17185137028032,1.14842059499806,1.12701924798423,1.10770253297578,1.09046555835983,1.07525701182131,1.06199112157766,1.05055734293286,1.04082787645971,1.03266328542904,1.02591659660543,1.02043629295638,1.01606852676932,1.0126588540822,1.01005365835906,1.00810148270754,1.00665430398545,1.0055687689636,1.00470746603897,1.00394013786594,1.0031448714593,1.00220910656286,1.00103055840532,0.999517906646909,0.997591264535296,0.995182447850699,0.992234974262714,0.988703871341669,0.984555268901056,0.979765828555788,0.974322030904052,0.968219355429991,0.961461390229477,0.954058899816251,0.946028880830614,0.9373936303288,0.928179846101202,0.918417775995489,0.908140425571704,0.897382835024439,0.886181428269726,0.874573435994673,0.862596391188337,0.850287696116387,0.837684255846581,0.82482217419227,0.811736506352636,0.798461062682894,0.785028258135206,0.771469001455933,0.757812619033001,0.744086808393498,0.730317616657954,0.71652943990151,0.702745039661627,0.688985573284835,0.675270635273566,0.661618307124407,0.648045213527824,0.634566583133011,0.62119631235372,0.607947030957835,0.594830168408744,0.581856020116664,0.569033812929603,0.556371769335892,0.543877169969754,0.531556414113954,0.519415077977352,0.507457970594299,0.495689187249988
