"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,2.43512965128987,7.05526212269021,20.4977796839414,44.1001134973575,82.8437409451054,145.665764139701,247.116911677298,410.437891752081,672.585150115169,1092.18396040145,1761.91829564915,2827.516086014,4516.08735510804,7176.58013406847,11333.0453350296,17743.9902208965,23878.181833617,27367.3305830191,29128.8079157772,29790.5777651362,29781.3910542318,29392.2741565155,28818.4746808304,28188.1147898928,27581.8951623823,27046.7823049269,26605.7442291586,26264.8795923034,26018.8048487909,25854.821799505,25756.1612656385,25704.4686280489,25681.6359791697,25671.0647176163,25658.4448474711,25632.1402350225,25583.2712966441,25505.5819366451,25395.1674524233,25250.1264814727,25070.185942924,24856.3335027552,24610.4803762054,24335.1672589134,24033.3187466301,23708.0463524984,23362.4968155269,22999.7404445399,22622.693377748,22234.0675358203,21836.3423942482,21431.7533426316,21022.2921743904,20609.716015061,20195.5617473894,19781.163662911,19367.6726292236,18956.0755416099,18547.2142109196,18141.8031350257,17740.4458261274,17343.6495439408,16951.8383916323,16565.3648225571,16184.5196526381,15809.5407070108,15440.6202415596,15077.9112841329,14721.5330358605,14371.5754623657,14028.1031960198,13691.1588539658,13360.7658644622,13036.930882401,12719.6458619586,12408.8898435544,13653.0676541303,17185.3255763252,22188.9381870088,28190.3750720219,34901.2312358093,42126.5319021753,49710.7223224656,57506.0631486162,65355.277280026,73084.2629833231,80502.4954667716,87409.5010766449,93605.7651089486,98906.149535531,103153.67922122,106231.483242261,108071.183633312,108656.598072275,108022.57556917,106249.487399684,103454.50524106,99781.078815989,95387.9682857821,90438.9902417954,85094.2550761826,79503.3440268691,73800.53470188,68101.940999522,62504.3023026779,57085.084741442,51903.5320791717,47002.354268692,42409.7692633871,38141.690333026,34203.8952386088,30594.0692833628,27303.6509950929,24319.4610148068,21625.0796349205,19201.9978341108,17030.5470394758,15090.6359471089,13362.3156738607,11826.2005094643,10463.7677600454,9257.55933325504,8191.30455421075,7249.98171540478,6419.83264378377,5688.34241775712,5044.19418935134,4477.20695940194,3978.26248710106,3539.2264769233,3152.86727368768,2812.77514829822,2513.28391550434,2249.39631557217,2016.71393454739,1811.37230165971,1629.98117125727,1469.5701638023,1327.53961597208,1201.61631544736,1089.81393943019,990.397793160264,901.853509209709,822.859382916817,752.261962719712,689.054586468472,632.358549310738,581.406606087902,535.528552713527,494.138638924922,456.724594629019
2,0,1,1,0,0,818021.22396571,2.43512965128987,7.05526212269021,20.4977796839414,44.1001134973575,82.8437409451054,145.665764139701,247.116911677298,410.437891752081,672.585150115169,1092.18396040145,1761.91829564915,2827.516086014,4516.08735510804,7176.58013406847,11333.0453350296,17743.9902208965,23878.181833617,27367.3305830191,29128.8079157772,29790.5777651362,29781.3910542318,29392.2741565155,28818.4746808304,28188.1147898928,27581.8951623823,27046.7823049269,26605.7442291586,26264.8795923034,26018.8048487909,25854.821799505,25756.1612656385,25704.4686280489,25681.6359791697,25671.0647176163,25658.4448474711,25632.1402350225,25583.2712966441,25505.5819366451,25395.1674524233,25250.1264814727,25070.185942924,24856.3335027552,24610.4803762054,24335.1672589134,24033.3187466301,23708.0463524984,23362.4968155269,22999.7404445399,22622.693377748,22234.0675358203,21836.3423942482,21431.7533426316,21022.2921743904,20609.716015061,20195.5617473894,19781.163662911,19367.6726292236,18956.0755416099,18547.2142109196,18141.8031350257,17740.4458261274,17343.6495439408,16951.8383916323,16565.3648225571,16184.5196526381,15809.5407070108,15440.6202415596,15077.9112841329,14721.5330358605,14371.5754623657,14028.1031960198,13691.1588539658,13360.7658644622,13036.930882401,12719.6458619586,12408.8898435544,13653.0676541303,17185.3255763252,22188.9381870088,28190.3750720219,34901.2312358093,42126.5319021753,49710.7223224656,57506.0631486162,65355.277280026,73084.2629833231,80502.4954667716,87409.5010766449,93605.7651089486,98906.149535531,103153.67922122,106231.483242261,108071.183633312,108656.598072275,108022.57556917,106249.487399684,103454.50524106,99781.078815989,95387.9682857821,90438.9902417954,85094.2550761826,79503.3440268691,73800.53470188,68101.940999522,62504.3023026779,57085.084741442,51903.5320791717,47002.354268692,42409.7692633871,38141.690333026,34203.8952386088,30594.0692833628,27303.6509950929,24319.4610148068,21625.0796349205,19201.9978341108,17030.5470394758,15090.6359471089,13362.3156738607,11826.2005094643,10463.7677600454,9257.55933325504,8191.30455421075,7249.98171540478,6419.83264378377,5688.34241775712,5044.19418935134,4477.20695940194,3978.26248710106,3539.2264769233,3152.86727368768,2812.77514829822,2513.28391550434,2249.39631557217,2016.71393454739,1811.37230165971,1629.98117125727,1469.5701638023,1327.53961597208,1201.61631544736,1089.81393943019,990.397793160264,901.853509209709,822.859382916817,752.261962719712,689.054586468472,632.358549310738,581.406606087902,535.528552713527,494.138638924922,456.724594629019
3,0,1,0,1,0,2335.27250675705,2.43512965128987,2.00815012316392,1.68611701221078,1.45838156400586,1.32730883704571,1.30869103857636,1.43608675449831,1.76927557744219,2.40832982091694,3.51608173293547,5.35328225958328,8.33260034123465,13.0993208122595,20.6466211934671,32.467394645526,50.7234507057499,68.1951097614946,78.1275710688573,83.136287242004,85.0115050356643,84.97545963187,83.8577089169764,82.2147391958706,80.4116661413799,78.6784161939426,77.1487515258761,75.8880272544489,74.9135165895959,74.2097692110685,73.7404924324323,73.4577983532376,73.3092895333002,73.2432818024701,73.2124031882504,73.1758148935746,73.1003087993346,72.9605423104423,72.7386580976807,72.4235074873464,72.0096573496027,71.496320068155,70.8863050446416,70.1850567833627,69.3998160237827,68.5389191965299,67.6112365059029,66.6257392033438,65.5911810582976,64.5158765694754,63.4075581687004,62.2732956622918,61.1194629858986,59.9517395617527,58.7751357283233,57.5940338516452,56.4122386427647,55.2330318015727,54.0592274747487,52.8932261086459,51.7370651204836,50.59246545284,49.4608735834719,48.3434988671593,47.2413463464275,46.1552453014221,45.0858739056106,44.0337803882332,42.9994011163114,41.9830759965966,40.9850615675415,40.0055421267296,39.0446391923819,38.1024195628435,37.1789022046017,36.2740641626186,35.3878456560084,38.9360091331154,49.009351370184,63.2787234240204,80.3937046595657,99.5318176900127,120.137030730156,141.765730578898,163.996592103775,186.381090277071,208.422719349206,229.57813806418,249.275632862941,266.946224932776,282.061935065515,294.175099383589,302.952423758284,308.198906955248,309.868400002684,308.060285792638,303.003768248548,295.032999191672,284.557070539349,272.028736731078,257.915172204006,242.67298200478,226.728743991357,210.46539291677,194.214064013661,178.250640001702,162.79603986979,148.019215807523,134.041968653309,120.944770759679,108.773003811024,97.5431449066411,87.2485929620249,77.8649322515016,69.3545776955034,61.6707033432096,54.7605249097755,48.5679512850115,43.0356858085609,38.1068379775659,33.7261233534409,29.8407186597707,26.4008366656004,23.3600764336471,20.6755988491853,18.308168162648,16.2220941463082,14.3851032554699,12.7681611748928,11.3452643784227,10.0932153687684,8.99139081094673,8.02151135023337,7.16741808059998,6.41485974712493,5.75129289162282,5.16569676251834,4.64840301003492,4.19094066442894,3.78589596962302,3.426786147059,3.10794657371192,2.8244302228998,2.57191840049651,2.34664185073627,2.14531114438718,1.96505546830718,1.80336891975782,1.65806345830796,1.52722778660787,1.40919145389884,1.30249356119346
4,0,1,1,1,0,2335.27250675705,2.43512965128987,2.00815012316392,1.68611701221078,1.45838156400586,1.32730883704571,1.30869103857636,1.43608675449831,1.76927557744219,2.40832982091694,3.51608173293547,5.35328225958328,8.33260034123465,13.0993208122595,20.6466211934671,32.467394645526,50.7234507057499,68.1951097614946,78.1275710688573,83.136287242004,85.0115050356643,84.97545963187,83.8577089169764,82.2147391958706,80.4116661413799,78.6784161939426,77.1487515258761,75.8880272544489,74.9135165895959,74.2097692110685,73.7404924324323,73.4577983532376,73.3092895333002,73.2432818024701,73.2124031882504,73.1758148935746,73.1003087993346,72.9605423104423,72.7386580976807,72.4235074873464,72.0096573496027,71.496320068155,70.8863050446416,70.1850567833627,69.3998160237827,68.5389191965299,67.6112365059029,66.6257392033438,65.5911810582976,64.5158765694754,63.4075581687004,62.2732956622918,61.1194629858986,59.9517395617527,58.7751357283233,57.5940338516452,56.4122386427647,55.2330318015727,54.0592274747487,52.8932261086459,51.7370651204836,50.59246545284,49.4608735834719,48.3434988671593,47.2413463464275,46.1552453014221,45.0858739056106,44.0337803882332,42.9994011163114,41.9830759965966,40.9850615675415,40.0055421267296,39.0446391923819,38.1024195628435,37.1789022046017,36.2740641626186,35.3878456560084,38.9360091331154,49.009351370184,63.2787234240204,80.3937046595657,99.5318176900127,120.137030730156,141.765730578898,163.996592103775,186.381090277071,208.422719349206,229.57813806418,249.275632862941,266.946224932776,282.061935065515,294.175099383589,302.952423758284,308.198906955248,309.868400002684,308.060285792638,303.003768248548,295.032999191672,284.557070539349,272.028736731078,257.915172204006,242.67298200478,226.728743991357,210.46539291677,194.214064013661,178.250640001702,162.79603986979,148.019215807523,134.041968653309,120.944770759679,108.773003811024,97.5431449066411,87.2485929620249,77.8649322515016,69.3545776955034,61.6707033432096,54.7605249097755,48.5679512850115,43.0356858085609,38.1068379775659,33.7261233534409,29.8407186597707,26.4008366656004,23.3600764336471,20.6755988491853,18.308168162648,16.2220941463082,14.3851032554699,12.7681611748928,11.3452643784227,10.0932153687684,8.99139081094673,8.02151135023337,7.16741808059998,6.41485974712493,5.75129289162282,5.16569676251834,4.64840301003492,4.19094066442894,3.78589596962302,3.426786147059,3.10794657371192,2.8244302228998,2.57191840049651,2.34664185073627,2.14531114438718,1.96505546830718,1.80336891975782,1.65806345830796,1.52722778660787,1.40919145389884,1.30249356119346
5,0,2,0,0,0,527895.493723415,2.43512965128987,5.32726923992366,13.863052579356,28.4578978071714,51.6998762949592,88.4434196352475,146.680237674239,239.210704679268,386.400165895873,620.556710499005,992.767033426992,1583.39914905341,2517.84505362804,3989.16306906164,6288.3272947516,9839.11204570694,13255.2507382977,15232.8631417811,16274.8014234226,16723.0357593629,16809.794949265,16692.0500429235,16474.7729167414,16226.6429884518,15990.7325473023,15791.8652077504,15641.8287799021,15543.2015449457,15492.2699419522,15481.3166544622,15500.4280327722,15538.8974285974,15586.2696019609,15633.0638239704,15671.2187238612,15694.3069974042,15697.5718081425,15677.8354426846,15633.3257341646,15563.4580320961,15468.6022417734,15349.8558197891,15208.8365149577,15047.5025406135,14868.0033091111,14672.5606404369,14463.3782622074,14242.5762276834,14012.1463604755,13773.9247877814,13529.5778559708,13280.5981360941,13028.3077224425,12773.8665140851,12518.2836454307,12262.4306572201,12007.0553533409,11752.79559155,11500.1924975457,11249.7027773802,11001.7099442155,10756.5343857189,10514.4422647759,10275.6533016025,10040.3475134991,9808.67100814597,9580.74093196571,9356.64967667012,9136.4684425168,8920.25024895278,8708.03247672742,8499.8390139544,8295.68207000531,8095.56371294816,7899.47717727313,7707.40798119819,8328.84122212083,10153.1772029851,12761.4554750417,15913.9544176061,19468.7121578855,23334.155638403,27440.8743175729,31724.5757693146,36116.0070632364,40535.7434594361,44892.7551775738,49086.127743621,53009.3482531795,56556.4214487028,59628.9143448838,62142.8765109494,64034.6904952723,65265.0768243828,65820.859545621,65714.4421360017,64981.2839007859,63675.9052438973,61867.0260157834,59632.4432288267,57054.1463107852,54214.0292487983,51190.4176675375,48055.4785433511,44873.4941750168,41699.9095909893,38581.0178313447,35554.1469789281,32648.2026679406,29884.4488477405,27277.4185972775,24835.878527417,22563.7769572042,20461.1502433278,18524.9434841087,16749.7422112387,15128.4040299254,13652.5941692258,12313.2284513796,11100.8325463695,10005.8264196931,9018.74402566618,8130.39770835989,7331.99660661745,6615.22719616918,5972.30334278173,5395.99229063572,4879.62198689165,4417.07423845815,4002.76769130809,3631.63340199577,3299.08567111912,3000.98997553139,2733.62953957678,2493.67160512606,2278.13440924233,2084.35523733065,1909.96013713625,1752.83550515298,1611.10164754479,1483.08843791705,1367.31302012581,1262.45951164786,1167.36063249823,1080.9811329826,1002.40290966743,930.811679987248,865.485082220596,805.782078907365,751.133538835942,701.033881903585
6,0,2,1,0,0,527895.493723415,2.43512965128987,5.32726923992366,13.863052579356,28.4578978071714,51.6998762949592,88.4434196352475,146.680237674239,239.210704679268,386.400165895873,620.556710499005,992.767033426992,1583.39914905341,2517.84505362804,3989.16306906164,6288.3272947516,9839.11204570694,13255.2507382977,15232.8631417811,16274.8014234226,16723.0357593629,16809.794949265,16692.0500429235,16474.7729167414,16226.6429884518,15990.7325473023,15791.8652077504,15641.8287799021,15543.2015449457,15492.2699419522,15481.3166544622,15500.4280327722,15538.8974285974,15586.2696019609,15633.0638239704,15671.2187238612,15694.3069974042,15697.5718081425,15677.8354426846,15633.3257341646,15563.4580320961,15468.6022417734,15349.8558197891,15208.8365149577,15047.5025406135,14868.0033091111,14672.5606404369,14463.3782622074,14242.5762276834,14012.1463604755,13773.9247877814,13529.5778559708,13280.5981360941,13028.3077224425,12773.8665140851,12518.2836454307,12262.4306572201,12007.0553533409,11752.79559155,11500.1924975457,11249.7027773802,11001.7099442155,10756.5343857189,10514.4422647759,10275.6533016025,10040.3475134991,9808.67100814597,9580.74093196571,9356.64967667012,9136.4684425168,8920.25024895278,8708.03247672742,8499.8390139544,8295.68207000531,8095.56371294816,7899.47717727313,7707.40798119819,8328.84122212083,10153.1772029851,12761.4554750417,15913.9544176061,19468.7121578855,23334.155638403,27440.8743175729,31724.5757693146,36116.0070632364,40535.7434594361,44892.7551775738,49086.127743621,53009.3482531795,56556.4214487028,59628.9143448838,62142.8765109494,64034.6904952723,65265.0768243828,65820.859545621,65714.4421360017,64981.2839007859,63675.9052438973,61867.0260157834,59632.4432288267,57054.1463107852,54214.0292487983,51190.4176675375,48055.4785433511,44873.4941750168,41699.9095909893,38581.0178313447,35554.1469789281,32648.2026679406,29884.4488477405,27277.4185972775,24835.878527417,22563.7769572042,20461.1502433278,18524.9434841087,16749.7422112387,15128.4040299254,13652.5941692258,12313.2284513796,11100.8325463695,10005.8264196931,9018.74402566618,8130.39770835989,7331.99660661745,6615.22719616918,5972.30334278173,5395.99229063572,4879.62198689165,4417.07423845815,4002.76769130809,3631.63340199577,3299.08567111912,3000.98997553139,2733.62953957678,2493.67160512606,2278.13440924233,2084.35523733065,1909.96013713625,1752.83550515298,1611.10164754479,1483.08843791705,1367.31302012581,1262.45951164786,1167.36063249823,1080.9811329826,1002.40290966743,930.811679987248,865.485082220596,805.782078907365,751.133538835942,701.033881903585
7,0,2,0,1,0,171228.02725029,2.43512965128987,3.07497564512359,5.59943615340739,10.1334551040604,17.5084671989531,29.2924703895713,48.0722502469517,77.9952892311714,125.663616165735,201.553621065676,322.233193498032,513.76824999039,816.828890923694,1294.03352892991,2039.76044469449,3191.46274075583,4299.49498801841,4940.93444575852,5278.88404009391,5424.26365162122,5452.39789474156,5414.20109605686,5343.7213561666,5263.23511729069,5186.71301332049,5122.2066268671,5073.53931330971,5041.5472744925,5025.02592642777,5021.47205260784,5027.67005116404,5040.14711393558,5055.51198527181,5070.68950399192,5083.06489148008,5090.55339297387,5091.61208389207,5085.21024104182,5070.77304148628,5048.1108426713,5017.34361982656,4978.82733532527,4933.08671264036,4880.75690788308,4822.53509442273,4759.14193200904,4691.29221241174,4619.67358739898,4544.93211687467,4467.66335980446,4388.40780580311,4307.64957946241,4225.81751023432,4143.28781858014,4060.38782353088,3977.40021477057,3894.56754717372,3812.09671390702,3730.16323249281,3648.91523841458,3568.47712658388,3488.95281676205,3410.42864056124,3332.97586562123,3256.6528816903,3181.50707971696,3107.57645688231,3034.8909810198,2963.47374638004,2893.34195015188,2824.50771701287,2756.97879521793,2690.75914494723,2625.84943698412,2562.24747688423,2499.94856738067,2701.51453393404,3293.24993076451,4139.26217556597,5161.79598101468,6314.80507820668,7568.58714252453,8900.6284074209,10290.0752008387,11714.4648784605,13148.0355025267,14561.2609639402,15921.4089880708,17193.9314125067,18344.4479770037,19341.0312941505,20156.4514885318,20770.0738205032,21169.1577340115,21349.4295219881,21314.9123339356,21077.1076291754,20653.6994599839,20066.9775626848,19342.1759108901,18505.8883157645,17584.6776316794,16603.9492911257,15587.1111284283,14555.0135307857,13525.6404585337,12514.0073642701,11532.2218576404,10589.6596715719,9693.21790815843,8847.61046732349,8055.68085706906,7318.70974069502,6636.70891073292,6008.68748969274,5432.88925909997,4906.99753613868,4428.30888293129,3993.8767865608,3600.62818565478,3245.45573289445,2925.28905398536,2637.1480721847,2378.18141374863,2145.69253229809,1937.15594388754,1750.22565650653,1582.7375458509,1432.70713567545,1298.324077023,1177.94422468499,1070.08017684278,973.390873669156,886.670754488371,808.838817239903,738.927907466767,676.074356144059,619.508156214719,568.543746453886,522.571435779535,481.049507690231,443.496988024359,409.487061614475,378.641113505624,350.623353637654,325.135989112028,301.914902012894,280.725789555877,261.360727016657,243.635112936441,227.384959077371
8,0,2,1,1,0,171228.02725029,2.43512965128987,3.07497564512359,5.59943615340739,10.1334551040604,17.5084671989531,29.2924703895713,48.0722502469517,77.9952892311714,125.663616165735,201.553621065676,322.233193498032,513.76824999039,816.828890923694,1294.03352892991,2039.76044469449,3191.46274075583,4299.49498801841,4940.93444575852,5278.88404009391,5424.26365162122,5452.39789474156,5414.20109605686,5343.7213561666,5263.23511729069,5186.71301332049,5122.2066268671,5073.53931330971,5041.5472744925,5025.02592642777,5021.47205260784,5027.67005116404,5040.14711393558,5055.51198527181,5070.68950399192,5083.06489148008,5090.55339297387,5091.61208389207,5085.21024104182,5070.77304148628,5048.1108426713,5017.34361982656,4978.82733532527,4933.08671264036,4880.75690788308,4822.53509442273,4759.14193200904,4691.29221241174,4619.67358739898,4544.93211687467,4467.66335980446,4388.40780580311,4307.64957946241,4225.81751023432,4143.28781858014,4060.38782353088,3977.40021477057,3894.56754717372,3812.09671390702,3730.16323249281,3648.91523841458,3568.47712658388,3488.95281676205,3410.42864056124,3332.97586562123,3256.6528816903,3181.50707971696,3107.57645688231,3034.8909810198,2963.47374638004,2893.34195015188,2824.50771701287,2756.97879521793,2690.75914494723,2625.84943698412,2562.24747688423,2499.94856738067,2701.51453393404,3293.24993076451,4139.26217556597,5161.79598101468,6314.80507820668,7568.58714252453,8900.6284074209,10290.0752008387,11714.4648784605,13148.0355025267,14561.2609639402,15921.4089880708,17193.9314125067,18344.4479770037,19341.0312941505,20156.4514885318,20770.0738205032,21169.1577340115,21349.4295219881,21314.9123339356,21077.1076291754,20653.6994599839,20066.9775626848,19342.1759108901,18505.8883157645,17584.6776316794,16603.9492911257,15587.1111284283,14555.0135307857,13525.6404585337,12514.0073642701,11532.2218576404,10589.6596715719,9693.21790815843,8847.61046732349,8055.68085706906,7318.70974069502,6636.70891073292,6008.68748969274,5432.88925909997,4906.99753613868,4428.30888293129,3993.8767865608,3600.62818565478,3245.45573289445,2925.28905398536,2637.1480721847,2378.18141374863,2145.69253229809,1937.15594388754,1750.22565650653,1582.7375458509,1432.70713567545,1298.324077023,1177.94422468499,1070.08017684278,973.390873669156,886.670754488371,808.838817239903,738.927907466767,676.074356144059,619.508156214719,568.543746453886,522.571435779535,481.049507690231,443.496988024359,409.487061614475,378.641113505624,350.623353637654,325.135989112028,301.914902012894,280.725789555877,261.360727016657,243.635112936441,227.384959077371
9,11,2,0,0,1,292.1211864,2.43512965128987,2.08386601883403,1.92909206730486,1.89045128984933,1.91850074712504,1.98425872063203,2.07266980171871,2.17880396529744,2.30612056371055,2.46650590324951,2.68210473431795,2.9892575782891,3.44510971126356,4.13758739529254,5.19913611461072,6.82319114743695,8.3848031342489,9.30397750526952,9.81464116180517,10.0713203031779,10.1760226576621,10.1958725704201,10.1746557221153,10.1403656947832,10.1101608937318,10.0936527397375,10.0951518095798,10.1152650303456,10.1520866517085,10.2021216193615,10.2610131819973,10.3241095692787,10.3868881992413,10.4452515000122,10.495710592871,10.5354753833273,10.5624715717977,10.575304878212,10.5731909328278,10.5558662419641,10.5234923320043,10.4765616734181,10.4158111024456,10.3421459747223,10.2565764245794,10.1601657955064,10.0539904484182,9.93910966503411,9.81654414596262,9.68726157271263,9.55216778644244,9.41210229153786,9.26783698052837,9.12007716277491,8.9694641614674,8.81657890667727,8.66194608813345,8.50603854805475,8.34928168796661,8.19205773586309,8.03470977543075,7.8775454837354,7.72084055054644,7.56484177643779,7.40976985934762,7.25582188896673,7.10317357295158,6.9519812209554,6.80238351303295,6.6545030774373,6.50844790176708,6.3643125985149,6.2221795439125,6.08211990681942,5.94419458196742,5.8084550397781,5.96720146689824,6.56295288915668,7.44854470369628,8.54206996771846,9.79678686014955,11.1837648615951,12.6816017529109,14.2701973750166,15.9269951933503,17.6249138958308,19.331588608639,21.0097345261873,22.618475680407,24.1154324497582,25.4592934117406,26.6125194205658,27.5438327701609,28.2301755353108,28.6579309635737,28.8233172823183,28.7319878809194,28.3979761033926,27.8421733378762,27.0905541433969,26.1723460237859,25.1183010151718,23.9591864085311,22.7245539188009,21.4418128042046,20.1355984149045,18.8274040727239,17.535436837153,16.274647425645,15.056891531135,13.8911787142928,12.7839767446324,11.7395375797938,10.7602315338596,9.84686660597974,8.99898672841527,8.2151406856009,7.49311959322695,6.83016159152374,6.22312500355236,5.66863183414684,5.16318442238753,4.70325820169852,4.28537377163801,3.90615126653024,3.56234988211222,3.25089516704939,2.96889637234489,2.71365583571989,2.48267222406706,2.27363896719607,2.08443917565006,1.91313800828123,1.75797330660011,1.61734510097744,1.48980458520516,1.37404282393159,1.26887957947096,1.1732524420344,1.08620640389056,1.00688400317122,0.934516083031395,0.868413203482992,0.807957718478075,0.75259650455049,0.701834324154398,0.655227794213413,0.612379923819246,0.572935184837339,0.536575075230703,0.50301413533748
10,11,2,0,1,1,67.8788136,2.43512965128987,2.01408165008004,1.69936157638131,1.46158835738002,1.28039988678626,1.14172278943449,1.03599405822409,0.95705508009975,0.901556981624753,0.868803361982363,0.861028317257009,0.884174822478812,0.949296806754003,1.07473842432415,1.28917671088475,1.63529256273505,1.97106824019387,2.16479299757711,2.26875485103549,2.31740553235167,2.33341515649911,2.33164116968496,2.32172413277696,2.30978250539551,2.299524221127,2.29298277511501,2.29101912293433,2.29367797714556,2.30045315447029,2.31049314121313,2.3227629829267,2.33617026895614,2.34965929978112,2.36227655265299,2.37321106095776,2.3818138524216,2.38760104338171,2.39024514366892,2.38955871620414,2.38547385217327,2.37802017952869,2.36730333464009,2.35348517766282,2.33676647327732,2.31737233971283,2.29554047478396,2.27151197475614,2.24552445218668,2.21780711045169,2.18857742641813,2.15803911208521,2.1263810615099,2.09377703223199,2.06038585268101,2.02635198841236,1.9918063370741,1.95686715285787,1.92164102766683,1.88622387747841,1.85070189882427,1.81515247287924,1.77964500480761,1.74424169210006,1.70899822109201,1.67396439371379,1.6391846887366,1.60469876284653,1.57054189734205,1.53674539639471,1.50333694247477,1.47034091431282,1.43777867212017,1.40566881430931,1.37402740947496,1.34286820685087,1.31220282798744,1.34806551617376,1.48265308810331,1.68271922581088,1.92976012917415,2.21321623703652,2.52655178328275,2.86493173881873,3.22381522639642,3.59810644321776,3.98168738314194,4.36724641785688,4.74636044538521,5.10979507557345,5.44797622432763,5.75157112707431,6.01209922353337,6.22249449059564,6.37754785594073,6.47418312565797,6.51154595014966,6.49091350031055,6.4154560830534,6.2898933227871,6.12009319547093,5.91265855777183,5.67453667717571,5.41267826743469,5.13375942855676,4.84397225293012,4.54888217260763,4.25334479635594,3.96147332540149,3.67664531279717,3.40153910705625,3.13819008000839,2.88805938124192,2.65210758087877,2.43087016235407,2.22452966272481,2.03298305061313,1.85590247836782,1.69278893154314,1.54301847165808,1.40588135480838,1.28061444986261,1.16642759170705,1.06252453690567,0.968119245614095,0.882448164129872,0.804779154453724,0.734417659782397,0.670710623956046,0.613048611506491,0.56086654016777,0.513643327039777,0.470900740459762,0.432201675742714,0.397148039364342,0.365378378281532,0.336565389148528,0.310413367186037,0.286655682018522,0.265052322058151,0.245387539177984,0.227467622075049,0.211118808649649,0.196185345831747,0.182527699695517,0.170020912769027,0.158553104729851,0.148024109825292,0.138344242870548,0.129433185637209,0.121218984552912,0.113637150728889
