"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,2.43512965128987,7.05526211919621,20.4977796708294,44.1001134674017,82.8437408874467,145.665764037122,247.116911502383,410.437891461422,672.585149640375,1092.1839596353,1761.91829688518,2827.5160907383,4516.08735848979,7176.58014847975,11333.0454097375,17743.9904709492,23878.1821632037,27367.3309565979,29128.8083098911,29790.5781646197,29781.3914495628,29392.274542436,28818.4750521041,28188.1151464673,27581.895503526,27046.78263077,26605.744539363,26264.8798867083,26018.8051273742,25854.8220623046,25756.1615126955,25704.4688594646,25681.636194993,25671.0649180336,25658.4450327471,25632.1404055145,25583.2714528277,25505.5820790972,25395.1675816121,25250.1265982235,25070.1860480976,24856.333597198,24610.480460678,24335.1673341437,24033.3188132874,23708.0464112734,23362.496867017,22999.7404892498,22622.6934163009,22234.0675686964,21836.3424218334,21431.7533654407,21022.2921928021,20609.7160293825,20195.5617580122,19781.1636701315,19367.6726332941,18956.0755428157,18547.2142094803,18141.8031311814,17740.4458200629,17343.6495358455,16951.8383816797,16565.364810896,16184.5196394326,15809.5406923864,15440.6202256244,15077.911267032,14721.5330177062,14371.575443232,14028.1031760168,13691.1588331899,13360.7658429887,13036.9308602961,12719.6458393086,12408.8898204252,12518.1928641647,13231.1631200547,14293.9066237429,15540.9590734464,16865.6333361918,18200.2023136806,19502.6508674606,20747.8338635173,21921.5780352327,23016.7552109165,24030.6891266482,24963.4385561415,25816.678127025,26592.9757049455,27295.3315499883,27926.8945885412,28490.7917728697,28990.0355459651,29427.4783842135,29805.7964075353,30127.4942261142,30394.9187661978,30610.279879628,30775.6714728691,30893.0935975308,30964.4742673922,30991.686684593,30976.5659976433,30920.9226576246,30826.5525027834,30695.2456201101,30528.7916598602,30328.9832446893,30097.6179565481,29836.4978322054,29547.427904026,29232.2135489711,28892.6564799689,28530.5503934835,28147.6758895389,27745.7949371011,27326.6453871946,26891.9352593657,26443.3371919465,25982.4831297264,25510.9592830676,25030.3014838713,24541.990999577,24047.4509648715,23548.0430293381,23045.0648084602,22539.7478129396,22033.2559104955,21526.6843224535,21021.0591242022,20517.3372239705,20016.406787961,19519.0880745297,19026.1346388367,18538.2348678315,18056.0138046146,17580.0352215928,17110.8039027235,16648.7680965335,16194.32210349,15747.8089635165,15309.5232119035,14879.7136745031,14458.5862758247,14046.3068255619,13643.0038361043,13248.7710518959,12863.6704438864,12487.7345472305,12120.9689311875
2,0,1,1,0,818021.22396571,2.43512965128987,7.05526211919621,20.4977796708294,44.1001134674017,82.8437408874467,145.665764037122,247.116911502383,410.437891461422,672.585149640375,1092.1839596353,1761.91829688518,2827.5160907383,4516.08735848979,7176.58014847975,11333.0454097375,17743.9904709492,23878.1821632037,27367.3309565979,29128.8083098911,29790.5781646197,29781.3914495628,29392.274542436,28818.4750521041,28188.1151464673,27581.895503526,27046.78263077,26605.744539363,26264.8798867083,26018.8051273742,25854.8220623046,25756.1615126955,25704.4688594646,25681.636194993,25671.0649180336,25658.4450327471,25632.1404055145,25583.2714528277,25505.5820790972,25395.1675816121,25250.1265982235,25070.1860480976,24856.333597198,24610.480460678,24335.1673341437,24033.3188132874,23708.0464112734,23362.496867017,22999.7404892498,22622.6934163009,22234.0675686964,21836.3424218334,21431.7533654407,21022.2921928021,20609.7160293825,20195.5617580122,19781.1636701315,19367.6726332941,18956.0755428157,18547.2142094803,18141.8031311814,17740.4458200629,17343.6495358455,16951.8383816797,16565.364810896,16184.5196394326,15809.5406923864,15440.6202256244,15077.911267032,14721.5330177062,14371.575443232,14028.1031760168,13691.1588331899,13360.7658429887,13036.9308602961,12719.6458393086,12408.8898204252,12518.1928641647,13231.1631200547,14293.9066237429,15540.9590734464,16865.6333361918,18200.2023136806,19502.6508674606,20747.8338635173,21921.5780352327,23016.7552109165,24030.6891266482,24963.4385561415,25816.678127025,26592.9757049455,27295.3315499883,27926.8945885412,28490.7917728697,28990.0355459651,29427.4783842135,29805.7964075353,30127.4942261142,30394.9187661978,30610.279879628,30775.6714728691,30893.0935975308,30964.4742673922,30991.686684593,30976.5659976433,30920.9226576246,30826.5525027834,30695.2456201101,30528.7916598602,30328.9832446893,30097.6179565481,29836.4978322054,29547.427904026,29232.2135489711,28892.6564799689,28530.5503934835,28147.6758895389,27745.7949371011,27326.6453871946,26891.9352593657,26443.3371919465,25982.4831297264,25510.9592830676,25030.3014838713,24541.990999577,24047.4509648715,23548.0430293381,23045.0648084602,22539.7478129396,22033.2559104955,21526.6843224535,21021.0591242022,20517.3372239705,20016.406787961,19519.0880745297,19026.1346388367,18538.2348678315,18056.0138046146,17580.0352215928,17110.8039027235,16648.7680965335,16194.32210349,15747.8089635165,15309.5232119035,14879.7136745031,14458.5862758247,14046.3068255619,13643.0038361043,13248.7710518959,12863.6704438864,12487.7345472305,12120.9689311875
3,0,1,0,1,2335.27250675705,2.43512965128987,2.00815012315396,1.68611701217339,1.45838156392043,1.32730883688128,1.30869103828383,1.43608675399948,1.76927557661328,2.40832981956292,3.51608173075057,5.35328226310392,8.33260035469754,13.0993208218925,20.6466212345583,32.4673948585757,50.7234514188539,68.1951107014148,78.1275721342345,83.1362883659435,85.0115061749171,84.9754607592807,83.8577100175498,82.214740254674,80.4116671582642,78.6784171668212,77.1487524551203,75.8880281390942,74.9135174291838,74.2097700055362,73.7404931818878,73.457799057798,73.3092901932547,73.2432824179582,73.2124037598031,73.1758154219473,73.1003092855461,72.9605427558488,72.7386585039275,72.4235078557689,72.0096576825542,71.4963203680907,70.8863053139751,70.185057024263,69.3998162383257,68.5389193866242,67.6112366735184,66.6257393501842,65.591181185802,64.5158766794213,63.4075582624571,62.2732957409599,61.1194630509462,59.9517396142598,58.7751357691658,57.5940338819395,56.4122386633564,55.2330318131811,54.0592274781876,52.8932261045413,51.7370651095204,50.5924654355451,49.4608735603855,48.3434988387764,47.2413463131721,46.1552452637624,45.0858738639044,44.0337803427889,42.9994010675428,41.9830759448238,40.9850615129757,40.0055420696848,39.0446391331328,38.102419501605,37.1789021415625,36.2740640980249,35.3878455900482,35.699557398145,37.7328157954188,40.7635624331306,44.3199239068957,48.0976483617701,51.903590712951,55.6179316013363,59.1689617818414,62.5162617339569,65.6395032372691,68.5310540841557,71.1910818855808,73.6243623673447,75.8382186039792,77.8412067785885,79.6423070429814,81.2504368829188,82.6741872250663,83.921692801137,85.0005854070511,85.9180077248986,86.6806527515469,87.2948225731811,87.7664886213581,88.101354671065,88.3049190588101,88.3825238085128,88.3394024222286,88.1807179695468,87.911591846975,87.5371290495124,87.0624333266742,86.4926169047102,85.8328061528587,85.0881401446725,84.2637664965879,83.3648338077666,82.3964802282319,81.3638210465428,80.2719342026492,79.1258445041902,77.9305079789248,76.6907955807862,75.4114773630687,74.0972073286549,72.7525090543512,71.3817624469667,69.9891918056195,68.5788556456333,67.1546371382573,65.7202368414027,64.2791667944437,62.8347461315545,61.390098220168,59.9481492363705,58.511628104379,57.0830677089423,55.664807274266,54.2589957994532,52.8675964359952,51.4923916905132,50.1349893370104,48.796828925408,47.4791887770988,46.183193363648,44.9098209710879,43.6599115592629,42.434174733204,41.2331977512961,40.0574534719324,38.9073083885366,37.7830298428195,36.6847945643987,35.6126953374819,34.5667480445599
4,0,1,1,1,2335.27250675705,2.43512965128987,2.00815012315396,1.68611701217339,1.45838156392043,1.32730883688128,1.30869103828383,1.43608675399948,1.76927557661328,2.40832981956292,3.51608173075057,5.35328226310392,8.33260035469754,13.0993208218925,20.6466212345583,32.4673948585757,50.7234514188539,68.1951107014148,78.1275721342345,83.1362883659435,85.0115061749171,84.9754607592807,83.8577100175498,82.214740254674,80.4116671582642,78.6784171668212,77.1487524551203,75.8880281390942,74.9135174291838,74.2097700055362,73.7404931818878,73.457799057798,73.3092901932547,73.2432824179582,73.2124037598031,73.1758154219473,73.1003092855461,72.9605427558488,72.7386585039275,72.4235078557689,72.0096576825542,71.4963203680907,70.8863053139751,70.185057024263,69.3998162383257,68.5389193866242,67.6112366735184,66.6257393501842,65.591181185802,64.5158766794213,63.4075582624571,62.2732957409599,61.1194630509462,59.9517396142598,58.7751357691658,57.5940338819395,56.4122386633564,55.2330318131811,54.0592274781876,52.8932261045413,51.7370651095204,50.5924654355451,49.4608735603855,48.3434988387764,47.2413463131721,46.1552452637624,45.0858738639044,44.0337803427889,42.9994010675428,41.9830759448238,40.9850615129757,40.0055420696848,39.0446391331328,38.102419501605,37.1789021415625,36.2740640980249,35.3878455900482,35.699557398145,37.7328157954188,40.7635624331306,44.3199239068957,48.0976483617701,51.903590712951,55.6179316013363,59.1689617818414,62.5162617339569,65.6395032372691,68.5310540841557,71.1910818855808,73.6243623673447,75.8382186039792,77.8412067785885,79.6423070429814,81.2504368829188,82.6741872250663,83.921692801137,85.0005854070511,85.9180077248986,86.6806527515469,87.2948225731811,87.7664886213581,88.101354671065,88.3049190588101,88.3825238085128,88.3394024222286,88.1807179695468,87.911591846975,87.5371290495124,87.0624333266742,86.4926169047102,85.8328061528587,85.0881401446725,84.2637664965879,83.3648338077666,82.3964802282319,81.3638210465428,80.2719342026492,79.1258445041902,77.9305079789248,76.6907955807862,75.4114773630687,74.0972073286549,72.7525090543512,71.3817624469667,69.9891918056195,68.5788556456333,67.1546371382573,65.7202368414027,64.2791667944437,62.8347461315545,61.390098220168,59.9481492363705,58.511628104379,57.0830677089423,55.664807274266,54.2589957994532,52.8675964359952,51.4923916905132,50.1349893370104,48.796828925408,47.4791887770988,46.183193363648,44.9098209710879,43.6599115592629,42.434174733204,41.2331977512961,40.0574534719324,38.9073083885366,37.7830298428195,36.6847945643987,35.6126953374819,34.5667480445599
5,0,2,0,0,527895.493723415,2.43512965128987,5.32726923763622,13.8630525710449,28.4578977890354,51.69987626181,88.4434195792179,146.680237583075,239.210704533831,386.400165666315,620.556710138931,992.767034302785,1583.3991524254,2517.84505721451,3989.16307787456,6288.32733156746,9839.11217121232,13255.2509089868,15232.863338514,16274.8016335566,16723.0359746851,16809.7951645608,16692.0502552497,16474.7731230455,16226.6431886204,15990.7327407214,15791.8653942708,15641.828959101,15543.2017164961,15492.2701056112,15481.3168100311,15500.4281800731,15538.8975674925,15586.2697323109,15633.0639457284,15671.2188370546,15694.3071021334,15697.5719045976,15677.835531133,15633.3258148218,15563.4581054045,15468.6023082128,15349.8558798371,15208.8365690484,15047.5025891637,14868.0033525067,14672.5606790828,14463.3782964523,14242.5762578213,14012.146386878,13773.9248107322,13529.5778756966,13280.5981529039,13028.3077365614,12773.866525695,12518.2836547668,12262.4306644591,12007.0553586335,11752.7955950669,11500.1924994185,11249.7027777524,11001.7099431977,10756.5343834239,10514.4422613089,10275.6532970509,10040.3475079639,9808.67100170147,9580.74092467494,9356.64966862333,9136.46843378193,8920.25023957205,8708.03246676891,8499.83900347717,8295.68205905469,8095.56370156359,7899.4771655085,7707.40796909377,7530.24444452457,7374.030208408,7234.4775692803,7109.65510638164,6998.7008918869,6901.13305209038,6816.50809442407,6744.27592877043,6683.73989496453,6634.06885733733,6594.3313226225,6563.53439589312,6540.66033776999,6524.6966114313,6514.65888977941,6509.60722333951,6508.65654631479,6510.98249075505,6515.82374968141,6522.48200813055,6530.32018684739,6538.75959797702,6547.27651666922,6555.3986142566,6562.70130439691,6568.80424101448,6573.36811274547,6576.09168976883,6576.7092075427,6574.98796516881,6570.72626100407,6563.75150910991,6553.91851972208,6541.10801080398,6525.22515163073,6506.19822709776,6483.97739240963,6458.53339694512,6429.85638643733,6397.95470237901,6362.85364977808,6324.59430973553,6283.23231544403,6238.8366308907,6191.48834023205,6141.27943088804,6088.31158751658,6032.6950148389,5974.54731115341,5913.99229806433,5851.15894592588,5786.18033129107,5719.19264254552,5650.3342383078,5579.74476305756,5507.56432257255,5433.93272122832,5358.98876221601,5282.86961099551,5205.7102217156,5127.64282559766,5048.79647975254,4969.29667444685,4889.26499641384,4808.81884548705,4728.07120158859,4647.13043891582,4566.10018404923,4485.07921463794,4404.16139537479,4323.43564739895,4242.98594874846,4162.89136112919,4083.22608573539,4004.05953625526
6,0,2,1,0,527895.493723415,2.43512965128987,5.32726923763622,13.8630525710449,28.4578977890354,51.69987626181,88.4434195792179,146.680237583075,239.210704533831,386.400165666315,620.556710138931,992.767034302785,1583.3991524254,2517.84505721451,3989.16307787456,6288.32733156746,9839.11217121232,13255.2509089868,15232.863338514,16274.8016335566,16723.0359746851,16809.7951645608,16692.0502552497,16474.7731230455,16226.6431886204,15990.7327407214,15791.8653942708,15641.828959101,15543.2017164961,15492.2701056112,15481.3168100311,15500.4281800731,15538.8975674925,15586.2697323109,15633.0639457284,15671.2188370546,15694.3071021334,15697.5719045976,15677.835531133,15633.3258148218,15563.4581054045,15468.6023082128,15349.8558798371,15208.8365690484,15047.5025891637,14868.0033525067,14672.5606790828,14463.3782964523,14242.5762578213,14012.146386878,13773.9248107322,13529.5778756966,13280.5981529039,13028.3077365614,12773.866525695,12518.2836547668,12262.4306644591,12007.0553586335,11752.7955950669,11500.1924994185,11249.7027777524,11001.7099431977,10756.5343834239,10514.4422613089,10275.6532970509,10040.3475079639,9808.67100170147,9580.74092467494,9356.64966862333,9136.46843378193,8920.25023957205,8708.03246676891,8499.83900347717,8295.68205905469,8095.56370156359,7899.4771655085,7707.40796909377,7530.24444452457,7374.030208408,7234.4775692803,7109.65510638164,6998.7008918869,6901.13305209038,6816.50809442407,6744.27592877043,6683.73989496453,6634.06885733733,6594.3313226225,6563.53439589312,6540.66033776999,6524.6966114313,6514.65888977941,6509.60722333951,6508.65654631479,6510.98249075505,6515.82374968141,6522.48200813055,6530.32018684739,6538.75959797702,6547.27651666922,6555.3986142566,6562.70130439691,6568.80424101448,6573.36811274547,6576.09168976883,6576.7092075427,6574.98796516881,6570.72626100407,6563.75150910991,6553.91851972208,6541.10801080398,6525.22515163073,6506.19822709776,6483.97739240963,6458.53339694512,6429.85638643733,6397.95470237901,6362.85364977808,6324.59430973553,6283.23231544403,6238.8366308907,6191.48834023205,6141.27943088804,6088.31158751658,6032.6950148389,5974.54731115341,5913.99229806433,5851.15894592588,5786.18033129107,5719.19264254552,5650.3342383078,5579.74476305756,5507.56432257255,5433.93272122832,5358.98876221601,5282.86961099551,5205.7102217156,5127.64282559766,5048.79647975254,4969.29667444685,4889.26499641384,4808.81884548705,4728.07120158859,4647.13043891582,4566.10018404923,4485.07921463794,4404.16139537479,4323.43564739895,4242.98594874846,4162.89136112919,4083.22608573539,4004.05953625526
7,0,2,0,1,171228.02725029,2.43512965128987,3.07497564438165,5.59943615071161,10.1334550981779,17.508467188201,29.2924703713978,48.0722502173821,77.995289183998,125.663616091276,201.553620948884,322.233193782099,513.768251084113,816.82889208698,1294.03353178843,2039.76045663595,3191.46278146432,4299.49504338256,4940.93450957012,5278.88410825225,5424.26372146238,5452.39796457418,5414.20116492625,5343.72142308271,5263.23518221669,5186.71307605725,5122.20668736623,5073.53937143406,5041.54733013601,5025.02597951164,5021.47210306766,5027.67009894206,5040.14715898713,5055.51202755169,5070.68954348495,5083.06492819512,5090.55342694348,5091.61211517791,5085.21026973064,5070.77306764797,5048.11086644936,5017.34364137661,4978.82735480222,4933.08673018502,4880.75692363066,4822.53510849837,4759.14194454409,4691.29222351929,4619.6735971744,4544.93212543851,4467.66336724869,4388.40781220128,4307.64958491476,4225.81751481387,4143.2878223459,4060.38782655909,3977.40021711859,3894.5675488904,3812.09671504773,3730.16323310025,3648.9152385353,3568.47712625376,3488.95281601764,3410.4286394367,3332.97586414487,3256.65287989491,3181.50707762665,3107.5764545175,3034.89097840977,2963.47374354682,2893.34194710918,2824.50771378276,2756.97879181957,2690.75914139533,2625.84943329146,2562.2474730683,2499.94856345452,2442.48440674538,2391.81528980829,2346.55047166014,2306.06348324785,2270.07475259966,2238.42798080215,2210.97931811713,2187.55033918904,2167.91507770182,2151.8039493237,2138.91481807503,2128.92563194305,2121.50628045331,2116.32834061516,2113.07253944799,2111.43399814557,2111.12563978437,2111.8800751874,2113.45036941928,2115.61001941999,2118.15238433502,2120.88976294528,2123.65228164444,2126.28673751678,2128.65541318431,2130.63494089107,2132.11526276027,2132.99867291447,2133.19896887324,2132.64067256682,2131.25836073815,2128.99605400077,2125.80665909792,2121.65148611501,2116.49977608154,2110.32826773074,2103.12079357478,2094.86786598191,2085.56628865572,2075.21876721434,2063.83350950385,2051.42384045006,2038.0078050456,2023.60777221413,2008.25004213613,1991.9644515374,1974.78398250681,1956.74438067187,1937.88378981559,1918.24237229123,1897.86196048302,1876.78571864786,1855.05782038603,1832.72314322719,1809.82698177849,1786.41478027219,1762.53188517874,1738.22331822782,1713.53356994022,1688.50641358338,1663.18473922528,1637.61040739026,1611.82412167322,1585.86531953228,1559.77208037706,1533.58104998979,1507.32738025551,1481.04468313845,1454.76499782,1428.51876993182,1402.33484163133,1376.24045174855,1350.26124446876,1324.42128743827,1298.74309544425
8,0,2,1,1,171228.02725029,2.43512965128987,3.07497564438165,5.59943615071161,10.1334550981779,17.508467188201,29.2924703713978,48.0722502173821,77.995289183998,125.663616091276,201.553620948884,322.233193782099,513.768251084113,816.82889208698,1294.03353178843,2039.76045663595,3191.46278146432,4299.49504338256,4940.93450957012,5278.88410825225,5424.26372146238,5452.39796457418,5414.20116492625,5343.72142308271,5263.23518221669,5186.71307605725,5122.20668736623,5073.53937143406,5041.54733013601,5025.02597951164,5021.47210306766,5027.67009894206,5040.14715898713,5055.51202755169,5070.68954348495,5083.06492819512,5090.55342694348,5091.61211517791,5085.21026973064,5070.77306764797,5048.11086644936,5017.34364137661,4978.82735480222,4933.08673018502,4880.75692363066,4822.53510849837,4759.14194454409,4691.29222351929,4619.6735971744,4544.93212543851,4467.66336724869,4388.40781220128,4307.64958491476,4225.81751481387,4143.2878223459,4060.38782655909,3977.40021711859,3894.5675488904,3812.09671504773,3730.16323310025,3648.9152385353,3568.47712625376,3488.95281601764,3410.4286394367,3332.97586414487,3256.65287989491,3181.50707762665,3107.5764545175,3034.89097840977,2963.47374354682,2893.34194710918,2824.50771378276,2756.97879181957,2690.75914139533,2625.84943329146,2562.2474730683,2499.94856345452,2442.48440674538,2391.81528980829,2346.55047166014,2306.06348324785,2270.07475259966,2238.42798080215,2210.97931811713,2187.55033918904,2167.91507770182,2151.8039493237,2138.91481807503,2128.92563194305,2121.50628045331,2116.32834061516,2113.07253944799,2111.43399814557,2111.12563978437,2111.8800751874,2113.45036941928,2115.61001941999,2118.15238433502,2120.88976294528,2123.65228164444,2126.28673751678,2128.65541318431,2130.63494089107,2132.11526276027,2132.99867291447,2133.19896887324,2132.64067256682,2131.25836073815,2128.99605400077,2125.80665909792,2121.65148611501,2116.49977608154,2110.32826773074,2103.12079357478,2094.86786598191,2085.56628865572,2075.21876721434,2063.83350950385,2051.42384045006,2038.0078050456,2023.60777221413,2008.25004213613,1991.9644515374,1974.78398250681,1956.74438067187,1937.88378981559,1918.24237229123,1897.86196048302,1876.78571864786,1855.05782038603,1832.72314322719,1809.82698177849,1786.41478027219,1762.53188517874,1738.22331822782,1713.53356994022,1688.50641358338,1663.18473922528,1637.61040739026,1611.82412167322,1585.86531953228,1559.77208037706,1533.58104998979,1507.32738025551,1481.04468313845,1454.76499782,1428.51876993182,1402.33484163133,1376.24045174855,1350.26124446876,1324.42128743827,1298.74309544425
9,11,2,0,0,292.1211864,2.43512965128987,2.08386601877193,1.92909206709941,1.8904512894625,1.91850074654269,1.98425871985206,2.07266980074374,2.17880396412996,2.30612056234927,2.46650590168596,2.68210473310584,2.98925757819699,3.4451097115397,4.13758739759993,5.19913612746685,6.82319119638958,8.38480320357157,9.30397758719422,9.8146412512727,10.0713203969168,10.1760227535733,10.195872667303,10.1746558184812,10.1403657906366,10.1101609886291,10.0936528334301,10.0951519016678,10.1152651204687,10.152086739546,10.2021217046148,10.2610132643825,10.3241096485362,10.3868882751231,10.4452515723193,10.4957106614531,10.53547544808,10.5624716326695,10.5753049352001,10.5731909859236,10.5558662912679,10.5234923776448,10.4765617155372,10.4158111411813,10.3421460102136,10.2565764569666,10.160165824944,10.0539904750461,9.93910968897896,9.8165441673856,9.68726159174595,9.55216780319977,9.41210230616839,9.26783699315115,9.12007717349342,8.96946417040852,8.81657891394577,8.66194609382364,8.50603855227092,8.34928169079605,8.19205773739968,8.03470977575358,7.87754548292555,7.72084054867897,7.56484177358331,7.40976985557697,7.25582188434267,7.10317356753246,6.9519812148048,6.80238350620697,6.65450306998316,6.50844789373766,6.36431258995918,6.22217953487381,6.08211989733792,5.94419457208633,5.80845502953514,5.67499019585866,5.54431662498992,5.41738988891816,5.29519624631367,5.17853911067728,5.06796768619289,4.96377801966839,4.86604700152349,4.77467740448212,4.68944292528206,4.61002800212415,4.53606046548753,4.46713714502074,4.40284295091726,4.34276463977331,4.28650021855824,4.2336650893227,4.18389565245864,4.13685114272648,4.0922142528553,4.0496908903415,4.0090094108963,3.96991952862135,3.93219113026861,3.8956130044474,3.85999158582287,3.82514981421502,3.79092604877449,3.75717310448603,3.72375736617408,3.69055800546386,3.65746627558088,3.62438485828081,3.59122729085051,3.55791741270095,3.52438884891746,3.49058453066598,3.45645620597968,3.42196397651144,3.38707583786696,3.35176720671736,3.31602046542965,3.27982449516002,3.24317420858848,3.20607008842544,3.16851772291335,3.13052734571987,3.092113386356,3.05329403938245,3.01409081621116,2.97452813224559,2.93463290511311,2.89443417003716,2.85396271377874,2.81325072886308,2.77233148900479,2.73123904644749,2.69000795163122,2.64867299531864,2.60726897312283,2.56583047212174,2.52439167906056,2.4829862094917,2.4416469570543,2.40040596198651,2.35929429787885,2.31834197561111,2.2775778633726,2.23702962164086,2.19672365212068,2.15668505859499,2.11693762189637,2.07750377967725,2.03840462326038,1.99965989913158
10,11,2,0,1,67.8788136,2.43512965128987,2.01408165006601,1.6993615763349,1.46158835729263,1.28039988665469,1.14172278925828,1.03599405800384,0.957055079836003,0.901556981317224,0.86880336162914,0.861028316979858,0.884174822450312,0.949296806807718,1.07473842483991,1.28917671378661,1.63529257379411,1.97106825585477,2.16479301608496,2.26875487124735,2.31740555352849,2.33341517816666,2.33164119157194,2.32172415454728,2.30978252705015,2.29952424256566,2.29298279628142,2.29101914373816,2.29367799750545,2.30045317431383,2.31049316047286,2.32276300153851,2.33617028686135,2.34965931692375,2.36227656898804,2.37321107645132,2.38181386705002,2.38760105713341,2.39024515654325,2.38955872819921,2.38547386331173,2.37802018983958,2.36730334415546,2.35348518641384,2.33676648129539,2.31737234702963,2.29554048143439,2.27151198077184,2.24552445759621,2.2178071152915,2.18857743071809,2.15803911587096,2.12638106481519,2.0937770350837,2.0603858551025,2.02635199043232,1.99180633871619,1.95686715414339,1.92164102861934,1.88622387811764,1.85070189917143,1.81515247295219,1.77964500462468,1.74424169167818,1.70899822044716,1.67396439286196,1.63918468769197,1.6046987616223,1.57054189595255,1.53674539485264,1.5033369407908,1.47034091249888,1.43777867018733,1.40566881226736,1.37402740733298,1.34286820461861,1.31220282567343,1.28205135490279,1.25253048407115,1.2238560853438,1.19625096401158,1.16989661887665,1.14491712011142,1.12137934682941,1.09930066826947,1.07865911854595,1.05940357208975,1.04146273887136,1.02475254059849,1.00918189560843,0.994657029569574,0.981084585344629,0.968373747452049,0.956437630221767,0.945194091808104,0.93456614896428,0.924482117915835,0.914875559413817,0.905685105557261,0.896854213585248,0.888330898000914,0.880067443481431,0.872020121175159,0.864148930956524,0.856417356123679,0.848792145731735,0.841243114434832,0.833742965587285,0.82626713192952,0.818793628050975,0.811302920942174,0.803777804972904,0.796203285219558,0.788566469118752,0.780856455947788,0.773064232171145,0.765182567595913,0.757205908540562,0.749130274961225,0.740953154971616,0.732673399281913,0.724291116941637,0.715807570403642,0.707225071580238,0.698546880277047,0.689777106871325,0.680920611058353,0.671982908581267,0.66297008046676,0.653888686132851,0.644745680691715,0.635548336835177,0.626304171509208,0.617020877539186,0.607706260299273,0.598368179455506,0.589014495769702,0.579653022893006,0.570291484036422,0.560937473371393,0.551598421980189,0.54228156815118,0.532993931795006,0.523742292742746,0.514533172677478,0.505372820445175,0.496267200519382,0.48722198415695,0.478242543743798,0.469333948224729,0.460500962391931,0.451748047222195
