"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47900.8253995414,47227.302609661,46587.1753657441,45987.8271560246,45431.3952880603,44916.745965554,44440.8151682348,43999.5091823505,43588.2976327673,43202.5952515256,42837.9983143889,42490.4220966326,42156.1721670363,41831.9719277746,41514.96225001,41202.6837103956,40893.0488788297,40584.3095716708,40275.0222498413,39964.0134105367,39650.3472266563,39333.2946700902,39012.305171694,38686.9819312767,38357.0589471111,38022.381150526,37682.8869690015,37338.5927289699,36989.5794394188,36635.981193168,36277.9750705663,35915.7726423452,35549.6125381882,35179.7541293395,34806.4722142685,34430.0524192385,34050.7873642187,33668.9734420571,33284.9080793902,32898.8874967802,32511.2048315129,32122.1486032564,31732.0014853994,31341.0392642893,30949.5300756831,30557.7338052862,30165.9015824928,29774.2754610256,29383.0882061446,28992.5631280826,28602.9140530767,28214.3453250072,27827.051846073,27441.2191881041,27057.0237289831,26674.6328182033,26294.2049675247,25915.8900590626,25539.829568712,25166.1567961713,24794.9971147242,24426.4682087353,24060.680320997,23697.736510924,23337.7329025649,22980.7589331838,22626.8975994831,22276.225700713,21928.8140770455,21584.7278470121,21244.0266244943,20906.764768855,20572.9915840083,20242.7515298511,19916.0844367489
2,0,1,1,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47900.8253995414,47227.302609661,46587.1753657441,45987.8271560246,45431.3952880603,44916.745965554,44440.8151682348,43999.5091823505,43588.2976327673,43202.5952515256,42837.9983143889,42490.4220966326,42156.1721670362,41831.9719277746,41514.96225001,41202.6837103956,40893.0488788297,40584.3095716708,40275.0222498413,39964.0134105367,39650.3472266563,39333.2946700902,39012.305171694,38686.9819312767,38357.0589471111,38022.381150526,37682.8869690015,37338.5927289699,36989.5794394187,36635.981193168,36277.9750705662,35915.7726423452,35549.6125381882,35179.7541293395,34806.4722142684,34430.0524192385,34050.7873642187,33668.9734420571,33284.9080793902,32898.8874967802,32511.2048315129,32122.1486032563,31732.0014853994,31341.0392642893,30949.5300756831,30557.7338052861,30165.9015824928,29774.2754610256,29383.0882061446,28992.5631280826,28602.9140530767,28214.3453250072,27827.051846073,27441.2191881041,27057.0237289831,26674.6328182033,26294.2049675247,25915.8900590626,25539.829568712,25166.1567961713,24794.9971147242,24426.4682087353,24060.680320997,23697.736510924,23337.7329025649,22980.7589331838,22626.8975994832,22276.225700713,21928.8140770455,21584.7278470121,21244.0266244943,20906.764768855,20572.9915840083,20242.7515298511,19916.0844367489
3,0,1,0,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.654939588359,134.731705396568,132.903829660422,131.192362836602,129.603394536878,128.133686065824,126.774494347525,125.514140058395,124.339698832403,123.238089982555,122.196750763081,121.204028357443,120.249383185698,119.323467433796,118.418124005451,117.526335855483,116.642146951594,115.760568878966,114.877482154781,113.989537524899,113.094063670919,112.188979149254,111.272711564685,110.344127153353,109.40246526979,108.447281729327,107.478399076392,106.495862099548,105.499900136356,104.490893991767,103.46934714133,102.435861495109,101.391116200991,100.335849625216,99.2708441936017,98.196913271696,97.114890227705,96.0256192444689,94.9299475054004,93.8287188042558,92.7227681892727,91.6129175851975,90.4999722872015,89.3847179906538,88.2679186117034,87.1503145758554,86.0326213723452,84.9155286416723,83.7996995672247,82.6857703985301,81.5743503673138,80.4660216907769,79.3613396862083,78.2608330871719,77.1650044313489,76.0743305315305,74.9892630182413,73.9102289321297,72.8376313601429,71.7718500905833,70.7132423245138,69.662143352233,68.6188672578604,67.5837076548592,66.5569383925979,65.5388142645641,64.5295717098843,63.5294295059943,62.5385894478433,61.5572370244407,60.5855420371636,59.6236593125044,58.6717292693388,57.7298785214259,56.7982204886182
4,0,1,1,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.654939588359,134.731705396568,132.903829660422,131.192362836602,129.603394536878,128.133686065824,126.774494347525,125.514140058395,124.339698832403,123.238089982555,122.196750763081,121.204028357443,120.249383185698,119.323467433796,118.418124005451,117.526335855483,116.642146951594,115.760568878966,114.877482154781,113.989537524899,113.094063670919,112.188979149254,111.272711564685,110.344127153353,109.40246526979,108.447281729327,107.478399076392,106.495862099548,105.499900136356,104.490893991767,103.46934714133,102.435861495109,101.391116200991,100.335849625216,99.2708441936017,98.196913271696,97.114890227705,96.0256192444689,94.9299475054004,93.8287188042557,92.7227681892727,91.6129175851975,90.4999722872014,89.3847179906537,88.2679186117034,87.1503145758554,86.0326213723452,84.9155286416723,83.7996995672247,82.6857703985301,81.5743503673138,80.4660216907768,79.3613396862083,78.2608330871719,77.1650044313489,76.0743305315305,74.9892630182413,73.9102289321297,72.8376313601429,71.7718500905832,70.7132423245137,69.662143352233,68.6188672578603,67.5837076548591,66.5569383925979,65.538814264564,64.5295717098842,63.5294295059942,62.5385894478433,61.5572370244407,60.5855420371636,59.6236593125044,58.6717292693388,57.7298785214259,56.7982204886182
5,0,2,0,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.2162142114,29057.3758846481,28631.5281169965,28203.8474927484,27775.4422705613,27347.3662355737,26920.6116602351,26496.0964163991,26074.6517859562,25657.013917713,25243.8196435614,24835.6064394327,24432.81579981,24035.7991193031,23644.8252511407,23260.0890179266,22881.7200905091,22509.7917895845,22144.3295261378,21785.3186249878,21432.7114380996,21086.4337229214,20746.3902578738,20412.4696538331,20084.5485191441,19762.4949450475,19446.1714403785,19135.4373259374,18830.1506970764,18530.170006719,18235.3552863235,17945.5691255451,17660.6773965944,17380.5497771839,17105.0601416501,16834.0867939313,16567.5126071131,16305.2250889908,16047.1163620494,15793.0831099453,15543.02647872,15296.8519469804,15054.4691834981,14815.7918787615,14580.7375822349,14349.2275292172,14121.1864608048,13896.5424484726,13675.2267319939,13457.1735331284,13242.3199078566,13030.6055914296,12821.9728439913,12616.3663079049,12413.7328714837,12214.0215393218,12017.1833088182,11823.1710533064,11631.9394110241,11443.4446817665,11257.6447242501,11074.4988659797,10893.9678158035,10716.0135770011,10540.5993698369,10367.6895574538,10197.2495758452,10029.2458678667,9863.64582122774,9700.41770921373,9539.53063857442,9380.95449138974,9224.65988120843,9070.61810747796,8918.80111055702
6,0,2,1,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.2162142114,29057.3758846481,28631.5281169965,28203.8474927484,27775.4422705613,27347.3662355737,26920.6116602351,26496.0964163991,26074.6517859562,25657.013917713,25243.8196435614,24835.6064394327,24432.81579981,24035.7991193031,23644.8252511407,23260.0890179266,22881.7200905091,22509.7917895845,22144.3295261378,21785.3186249878,21432.7114380996,21086.4337229214,20746.3902578738,20412.4696538331,20084.5485191441,19762.4949450475,19446.1714403785,19135.4373259374,18830.1506970764,18530.170006719,18235.3552863235,17945.5691255451,17660.6773965944,17380.5497771839,17105.0601416501,16834.0867939313,16567.5126071131,16305.2250889908,16047.1163620494,15793.0831099453,15543.02647872,15296.8519469804,15054.4691834981,14815.7918787615,14580.7375822349,14349.2275292172,14121.1864608048,13896.5424484726,13675.2267319939,13457.1735331284,13242.3199078566,13030.6055914296,12821.9728439913,12616.3663079049,12413.7328714837,12214.0215393218,12017.1833088182,11823.1710533064,11631.9394110241,11443.4446817665,11257.6447242501,11074.4988659797,10893.9678158035,10716.0135770011,10540.5993698369,10367.6895574538,10197.2495758453,10029.2458678667,9863.64582122775,9700.41770921373,9539.53063857443,9380.95449138974,9224.65988120843,9070.61810747796,8918.80111055702
7,0,2,0,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.13674180967,9424.98401928014,9286.85589608606,9148.13335149147,9009.17585270605,8870.32519827917,8731.90323488973,8594.20767706015,8457.50815344665,8322.04343581408,8188.02008197537,8055.6124231197,7924.96365835139,7796.18776241088,7669.37193731564,7544.57937287417,7421.85212660035,7301.21397856649,7182.67316911067,7066.22493645071,6951.85382392929,6839.53574886545,6729.23982397128,6620.92991798454,6514.56600661429,6410.10530305879,6307.50320989094,6206.71409568504,6107.69193159181,6010.39080479823,5914.76531455238,5820.77088992077,5728.36402473632,5637.50244721711,5548.14524682734,5460.25294984284,5373.78756461183,5288.71260281846,5204.99307298735,5122.59546312299,5041.48770866585,4961.63915038329,4883.02048817916,4805.60372645524,4729.36212132399,4654.27012444765,4580.30332464068,4507.43839097044,4435.65302018431,4364.92587627708,4295.23654256113,4226.56547140659,4158.89393416674,4092.20397490021,4026.47836617028,3961.70056698499,3897.85468274631,3834.9254273416,3772.89808712955,3711.75848741845,3651.49295917481,3592.08830978754,3533.53179470404,3475.81108923927,3418.91426345492,3362.82975812202,3307.54636200654,3253.05319046507,3199.3396653318,3146.39549569078,3094.21066097293,3042.77539209941,2992.0801572546,2942.11564710482,2892.87276020605
8,0,2,1,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.13674180967,9424.98401928014,9286.85589608606,9148.13335149147,9009.17585270605,8870.32519827917,8731.90323488973,8594.20767706015,8457.50815344666,8322.04343581409,8188.02008197537,8055.6124231197,7924.96365835139,7796.18776241088,7669.37193731564,7544.57937287417,7421.85212660035,7301.21397856649,7182.67316911067,7066.22493645071,6951.85382392929,6839.53574886545,6729.23982397127,6620.92991798454,6514.56600661429,6410.10530305879,6307.50320989093,6206.71409568504,6107.69193159181,6010.39080479823,5914.76531455238,5820.77088992077,5728.36402473632,5637.5024472171,5548.14524682734,5460.25294984284,5373.78756461183,5288.71260281846,5204.99307298735,5122.59546312299,5041.48770866586,4961.63915038329,4883.02048817916,4805.60372645524,4729.36212132399,4654.27012444765,4580.30332464068,4507.43839097044,4435.65302018431,4364.92587627708,4295.23654256113,4226.56547140659,4158.89393416674,4092.20397490021,4026.47836617028,3961.70056698499,3897.85468274631,3834.9254273416,3772.89808712955,3711.75848741845,3651.49295917481,3592.08830978754,3533.53179470404,3475.81108923927,3418.91426345491,3362.82975812202,3307.54636200654,3253.05319046507,3199.3396653318,3146.39549569078,3094.21066097293,3042.77539209941,2992.0801572546,2942.11564710482,2892.87276020605
9,11,2,0,0,292.1211864,0,0.305511292709965,0.562823727676702,0.795158188585574,1.01590529094117,1.23255297185864,1.44928201891785,1.66874104027559,1.89336321319341,2.1265052946733,2.37365789815999,2.64398659648372,2.95251191734507,3.3233097134096,3.79417703781932,4.42316142473436,5.2557319062611,6.21347542508263,7.21976286882248,8.22780771850294,9.21034526124662,10.1528081401726,11.0487938105375,11.8970360299815,12.6993610148195,13.4592991364508,14.1811349760132,14.869262300794,15.5277586550768,16.1601237662392,16.7691427533707,17.3568440608318,17.9245267855542,18.4728356492963,19.0018647682862,19.5112747700662,20.0004112597093,20.4684159518921,20.9143249461777,21.3371511767044,21.7359500907657,22.1098690809607,22.458182126683,22.780311633428,23.0758396777648,23.3445108441884,23.586228674335,23.801047513468,23.9891612549606,24.1508901993699,24.2866669857095,24.3970223162432,24.4825709959775,24.5439986471338,24.5820493276026,24.5975141818929,24.5912211791482,24.5640259383185,24.5168036036718,24.4504417103481,24.3658339646971,24.2638748588601,24.1454550362812,24.0114573283516,23.862753385789,23.7002008340715,23.5246408899947,23.3368963810618,23.1377701174933,22.9280435718311,22.7084758263731,22.4798027545273,22.2427364060848,21.9979645701402,21.7461504930655,21.4879327318821,21.22392568053,20.9547326706699,20.6809763587951,20.4033101229864,20.12240939347,19.8389551836874,19.5536167482968,19.2670366198866,18.9798192438792,18.6925233541352,18.4056576577779,18.1196792427027,17.8349940648302,17.5519589186458,17.2708843971885,16.9920384472146,16.7156502128983,16.4419139421034,16.1709928081539,15.9030225306509,15.6381147238278,15.3763599741748,15.1178306175231,14.8625831836279,14.6106605857411,14.3620940228203,14.1169046468095,13.8751050033102,13.6367002762873,13.4016893645264,13.1700657941467,12.9418185112977,12.7169325548556,12.4953896262039,12.2771685861084,12.0622458692474,11.8505958406739,11.6421911053154,11.4370027646852,11.2350006433071,11.0361534814373,10.8404290999211,10.6477945429956,10.4582162063844,10.2716599422338,10.088091152361,9.90747487600847,9.72977586223293,9.55495863120617,9.38298753978235,9.21382682688905,9.04744065975479,8.88379317828922,8.72284853165167,8.56457091229253,8.40892458687333,8.25587392424846,8.1053834209874,7.95741772466105,7.81194165472307,7.66892022250662,7.52831864815282,7.39010237643403,7.25423709204162,7.12068873256457,6.9894235004771,6.86040787402616,6.73360861705429,6.608992787818,6.48652774700886,6.36618116444209,6.24792102615143,6.13171563926919,6.01753363686234,5.90534398241012
10,11,2,0,1,67.8788136,0,0.302128571729903,0.539743892310036,0.728366793560024,0.879407754436836,1.00139803257311,1.10085747377959,1.18292587161472,1.25184899054015,1.3113901907537,1.3652301500062,1.41741836010008,1.47295018432111,1.53855905355994,1.6238271527782,1.7427067716514,1.90614169877676,2.09695333691258,2.29825552833046,2.4998140610021,2.69573198566664,2.88292170472268,3.06009229801533,3.22707455453232,3.38436675970224,3.53282718729867,3.67346448849437,3.80729603895938,3.93525514099181,4.05813461370356,4.17655807114647,4.29097218607004,4.4016542929462,4.50873047865083,4.61219995390995,4.71196225665867,4.80784461074133,4.89962750616365,4.98706727588076,5.06991501701056,5.14793165809127,5.22089930323062,5.28862919219816,5.3509667339023,5.40779411878546,5.45903100951907,5.50463377091096,5.54459364590706,5.57893421967787,5.60770844903116,5.63099547543896,5.64889738621261,5.6615360428374,5.66905005888871,5.67159198009026,5.66932569620676,5.66242409762849,5.65106697708682,5.63543916851332,5.61572890967874,5.59212641181228,5.56482261815635,5.53400813275335,5.49987230151937,5.46260242840694,5.42238311072934,5.37939567945284,5.33381773130191,5.28582274133449,5.23557974581125,5.18325308636344,5.12900220778315,5.0729815026391,5.01534019676126,4.95622227046656,4.89576641106107,4.83410611811349,4.77137264964254,4.70770187505287,4.64323683754517,4.57812578436873,4.51251843551099,4.44656205566544,4.38039806406993,4.31415945769052,4.24796907992353,4.18193863731761,4.11616833179083,4.05074696307604,3.98575236662872,3.92125207541424,3.85730411648888,3.79395787308374,3.73125496112934,3.66923008696914,3.60791185997842,3.54732354385706,3.48748374703218,3.42840704539862,3.3701045301669,3.31258429831702,3.25585187833773,3.19991060308683,3.14476193164301,3.09040572706265,3.03684049629464,2.98406359321778,2.93207139476154,2.8808594500617,2.83042260650321,2.78075511942333,2.73185074333627,2.68370281015754,2.63630429693158,2.58964788174065,2.54372599287296,2.49853085047317,2.45405450198681,2.41028885273719,2.36722569318151,2.32485672112756,2.28317356134675,2.24216778394828,2.20183091940697,2.16215447121841,2.12312992936409,2.08474877953251,2.04700251248011,2.00988263298031,1.97338066711018,1.93748816900461,1.90219672695009,1.86749796885824,1.83338356722498,1.79984524362189,1.76687477269395,1.73446398595773,1.7026047749898,1.67128909437996,1.64050896456318,1.61025647419218,1.58052378230604,1.55130312027542,1.52258679353244,1.49436718309878,1.46663674694956,1.43938802112621,1.41261362089088,1.38630624148492,1.36045865886114,1.33506373033584
