"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47915.6877201505,47332.2493438159,46901.4782746609,46652.2265611645,46594.0186515943,46724.5043410618,47034.3122065228,47510.1858479257,48136.9795605061,48898.9061528821,49780.2902608978,50766.0005988052,51841.6747103045,52993.8115464218,54209.7830615904,55477.7982600796,56786.8416008794,58126.601503372,59487.3976310665,60860.1134642824,62236.1376606076,63607.3164722971,64965.9174296279,66304.6040266025,67616.4209361969,68894.7879940772,70133.501623915,71326.7418485683,72469.083167286,73555.5077094544,74581.4190776716,75542.6556120739,76435.5019201696,77256.6978721933,78003.4444283032,78673.405821204,79264.7079025199,79775.9326370104,80206.1087575929,80554.6989674191,80821.5836741597,81007.0419145203,81111.7297222155,81136.6564393678,81083.1593411344,80952.8770142362,80747.721958949,80469.8527056096,80121.645873195,79705.6684558486,79224.6506393484,78681.4593664926,78079.0729026971,77420.5565427423,76709.0396079469,75947.6938392055,75139.7132654841,74288.2955940663,73396.625150745,72467.8573719798,71505.1048357755,70511.4247998991,69489.808203535,68443.1700774518,67374.3412985886,66286.0616185183,65180.973890138,64061.6194136358,62930.434320946,61789.7469172244,60641.775898342,59488.6293647366,58332.3045540509,57174.6882176992,56017.5575696899
2,0,1,1,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47915.6877201505,47332.2493438159,46901.4782746609,46652.2265611645,46594.0186515943,46724.5043410618,47034.3122065228,47510.1858479257,48136.9795605061,48898.9061528821,49780.2902608978,50766.0005988052,51841.6747103045,52993.8115464218,54209.7830615904,55477.7982600796,56786.8416008794,58126.601503372,59487.3976310665,60860.1134642824,62236.1376606076,63607.3164722971,64965.9174296279,66304.6040266025,67616.4209361969,68894.7879940772,70133.501623915,71326.7418485683,72469.083167286,73555.5077094544,74581.4190776716,75542.6556120739,76435.5019201696,77256.6978721933,78003.4444283032,78673.405821204,79264.7079025199,79775.9326370104,80206.1087575929,80554.6989674191,80821.5836741597,81007.0419145203,81111.7297222155,81136.6564393678,81083.1593411344,80952.8770142362,80747.721958949,80469.8527056096,80121.645873195,79705.6684558486,79224.6506393484,78681.4593664926,78079.0729026971,77420.5565427423,76709.0396079469,75947.6938392055,75139.7132654841,74288.2955940663,73396.625150745,72467.8573719798,71505.1048357755,70511.4247998991,69489.808203535,68443.1700774518,67374.3412985886,66286.0616185183,65180.973890138,64061.6194136358,62930.434320946,61789.7469172244,60641.775898342,59488.6293647366,58332.3045540509,57174.6882176992,56017.5575696899
3,0,1,0,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.697324161215,135.030993954865,133.800163074267,133.087106315268,132.918980040417,133.289076583325,134.170665328981,135.525936677378,137.311693317569,139.482908761301,141.994875643066,144.804438409718,147.870634258789,151.154957144014,154.621390836295,158.236306382342,161.968286438796,165.78792137605,169.667601897694,173.581326743406,177.504535453296,181.413972664898,185.287584538878,189.104446561687,192.844721376793,196.489641622211,200.021513990352,203.423739217944,206.68084310137,209.778514004492,212.703642332517,215.444358355575,217.990065086035,220.331463928132,222.460571292768,224.370724818823,226.056578654355,227.514087752299,228.740481217647,229.734225807592,230.494979542306,231.023537302898,231.321769138698,231.392552709686,231.239700918656,230.867885989843,230.282561333096,229.489882023634,228.496625116678,227.310110612232,225.938123931236,224.38884052756,222.670753352486,220.792603573603,218.763314973817,216.591932331171,214.287564006441,211.859328870547,209.316307652167,206.667498711307,203.921778201082,201.087864528171,198.174286986779,195.189358409446,192.141151651931,189.037479710985,185.88587925929,182.693597372388,179.467581217222,176.214470469949,172.940592232019,169.651958217347,166.35426398936,163.052890034424,159.752904467266
4,0,1,1,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.697324161215,135.030993954865,133.800163074267,133.087106315268,132.918980040417,133.289076583325,134.170665328981,135.525936677378,137.311693317569,139.482908761301,141.994875643066,144.804438409718,147.870634258789,151.154957144014,154.621390836295,158.236306382342,161.968286438796,165.78792137605,169.667601897694,173.581326743406,177.504535453296,181.413972664898,185.287584538878,189.104446561687,192.844721376793,196.489641622211,200.021513990352,203.423739217944,206.68084310137,209.778514004492,212.703642332517,215.444358355575,217.990065086035,220.331463928132,222.460571292768,224.370724818823,226.056578654355,227.514087752299,228.740481217647,229.734225807592,230.494979542306,231.023537302898,231.321769138698,231.392552709686,231.239700918656,230.867885989843,230.282561333096,229.489882023634,228.496625116678,227.310110612232,225.938123931236,224.38884052756,222.670753352486,220.792603573603,218.763314973817,216.591932331171,214.287564006441,211.859328870547,209.316307652167,206.667498711307,203.921778201082,201.087864528171,198.174286986779,195.189358409446,192.141151651931,189.037479710985,185.88587925929,182.693597372388,179.467581217222,176.214470469949,172.940592232019,169.651958217347,166.35426398936,163.052890034424,159.752904467266
5,0,2,0,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.6083478242,29060.2359558879,28640.5185067447,28224.0415877425,27813.3208291818,27410.8550232047,27019.1006003212,26640.4180004875,26277.0149519179,25930.8979435,25603.83538194,25297.3324404912,25012.6158125757,24750.6263934214,24512.0179273257,24297.1601301008,24106.1452905713,23938.7976512626,23794.6853252659,23673.1345400901,23573.2463280603,23493.9154870004,23433.851784791,23391.6031982866,23365.5808307738,23354.085070202,23355.3324500785,23367.4826285429,23388.6648767208,23417.0035213313,23450.6418060642,23487.763761402,23526.6136876953,23565.5131271599,23602.8751119065,23637.2156792997,23667.1627021285,23691.462188308,23708.9821726749,23718.7145285952,23719.7747465184,23711.4001267955,23692.9465473682,23663.8840852227,23623.7917104613,23572.3512714292,23509.3409962878,23434.6286424028,23348.1644789893,23249.9742160925,23140.1519947301,23018.8535188585,22886.2894064029,22742.7188117385,22588.4433555994,22423.8013924429,22249.162634083,22064.9231363507,21871.5006522521,21669.3303473069,21458.8608693462,21240.550761177,21014.8652023577,20782.2730643246,20543.2442620728,20298.247384966,20047.747588877,19792.2047320298,19532.0717371589,19267.7931630733,18999.8039693612,18728.5284586523,18454.3793816277,18177.7571907778,17899.0494297165
6,0,2,1,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.6083478242,29060.2359558879,28640.5185067447,28224.0415877425,27813.3208291818,27410.8550232047,27019.1006003212,26640.4180004875,26277.0149519179,25930.8979435,25603.83538194,25297.3324404912,25012.6158125757,24750.6263934214,24512.0179273257,24297.1601301008,24106.1452905713,23938.7976512626,23794.6853252659,23673.1345400901,23573.2463280603,23493.9154870004,23433.851784791,23391.6031982866,23365.5808307738,23354.085070202,23355.3324500785,23367.4826285429,23388.6648767208,23417.0035213313,23450.6418060642,23487.763761402,23526.6136876953,23565.5131271599,23602.8751119065,23637.2156792997,23667.1627021285,23691.462188308,23708.9821726749,23718.7145285952,23719.7747465184,23711.4001267955,23692.9465473682,23663.8840852227,23623.7917104613,23572.3512714292,23509.3409962878,23434.6286424028,23348.1644789893,23249.9742160925,23140.1519947301,23018.8535188585,22886.2894064029,22742.7188117385,22588.4433555994,22423.8013924429,22249.162634083,22064.9231363507,21871.5006522521,21669.3303473069,21458.8608693462,21240.550761177,21014.8652023577,20782.2730643246,20543.2442620728,20298.247384966,20047.747588877,19792.2047320298,19532.0717371589,19267.7931630733,18999.8039693612,18728.5284586523,18454.3793816277,18177.7571907778,17899.0494297165
7,0,2,0,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.26393293091,9425.91170223323,9289.77198824325,9154.68343927229,9021.46201279638,8890.91820490835,8763.84877160219,8641.01933387021,8523.14597980392,8410.87952434435,8304.79355905198,8205.37629411911,8113.02561309995,8028.04669914501,7950.65159622609,7880.96022191629,7819.00250862388,7764.72144627499,7717.97694762252,7678.55046832874,7646.15042060127,7620.41832321141,7600.93567932811,7587.23151421002,7578.79045734357,7575.06122703404,7575.46534291053,7579.40587676346,7586.27604421338,7595.46745718587,7606.37786350347,7618.41824050414,7631.01911450256,7643.63606576705,7655.75434995953,7666.892633216,7676.60585626864,7684.48727779344,7690.16973673812,7693.32623992715,7693.66989023271,7690.95330040178,7684.96754463333,7675.54073836661,7662.53631726688,7645.85108626043,7625.41311172583,7601.17949945173,7573.13411851029,7541.28530772459,7505.66360197399,7466.31950450122,7423.32133027437,7376.75313739559,7326.71275822635,7273.30993996857,7216.66460080373,7156.90520378262,7094.16724959083,7028.59188678991,6960.32463702966,6889.51423147194,6816.31155396319,6740.86868584502,6663.33804695389,6583.87162715821,6502.62030265967,6419.73323134101,6335.35732152127,6249.63676863255,6162.71265454367,6074.72260447554,5985.80049670486,5896.07622051538,5805.67547811749
8,0,2,1,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.26393293091,9425.91170223323,9289.77198824325,9154.68343927229,9021.46201279638,8890.91820490835,8763.84877160219,8641.01933387021,8523.14597980392,8410.87952434435,8304.79355905198,8205.37629411911,8113.02561309995,8028.04669914501,7950.65159622609,7880.96022191629,7819.00250862388,7764.72144627499,7717.97694762252,7678.55046832874,7646.15042060127,7620.41832321141,7600.93567932811,7587.23151421002,7578.79045734357,7575.06122703404,7575.46534291053,7579.40587676346,7586.27604421338,7595.46745718587,7606.37786350347,7618.41824050414,7631.01911450256,7643.63606576705,7655.75434995953,7666.892633216,7676.60585626864,7684.48727779344,7690.16973673812,7693.32623992715,7693.66989023271,7690.95330040178,7684.96754463333,7675.54073836661,7662.53631726688,7645.85108626043,7625.41311172583,7601.17949945173,7573.13411851029,7541.28530772459,7505.66360197399,7466.31950450122,7423.32133027437,7376.75313739559,7326.71275822635,7273.30993996857,7216.66460080373,7156.90520378262,7094.16724959083,7028.59188678991,6960.32463702966,6889.51423147194,6816.31155396319,6740.86868584502,6663.33804695389,6583.87162715821,6502.62030265967,6419.73323134101,6335.35732152127,6249.63676863255,6162.71265454367,6074.72260447554,5985.80049670486,5896.07622051538,5805.67547811749
9,11,2,0,0,292.1211864,0,0.305511292709965,0.562823727676702,0.795158188585574,1.01590529094117,1.23255297185864,1.44928201891785,1.66874104027559,1.89336321319341,2.1265052946733,2.37365789815999,2.64398659648372,2.95251191734507,3.3233097134096,3.79417703781932,4.42316142473436,5.2557319062611,6.21347542508263,7.21976286882248,8.22780771850294,9.21034526124662,10.1528081401726,11.0487938105375,11.8970360299815,12.6993610148195,13.4592991364508,14.1811349760132,14.869262300794,15.5277586550768,16.1601237662392,16.7691427533707,17.3568440608318,17.9245267855542,18.4728356492963,19.0018647682862,19.5112747700662,20.0004112597093,20.4684159518921,20.9143249461777,21.3371511767044,21.7359500907657,22.1098690809607,22.458182126683,22.780311633428,23.0758396777648,23.3445108441884,23.586228674335,23.801047513468,23.9891612549606,24.1508901993699,24.2866669857095,24.3970223162432,24.4825709959775,24.5439986471338,24.5820493276026,24.5975141818929,24.5912211791482,24.5640259383185,24.5168036036718,24.4504417103481,24.3658339646971,24.2638748588601,24.1454550362812,24.0114573283516,23.862753385789,23.7002008340715,23.5246408899947,23.3368963810618,23.1377701174933,22.9280435718311,22.7084758263731,22.4798027545273,22.2427364060848,21.9979645701402,21.7461504930655,21.4879327318821,21.2239274539991,20.9547807541348,20.681290416191,20.4044550711011,20.1254465051091,19.8455521740817,19.5661131825861,19.2884690922108,19.0139135600442,18.7436611392962,18.4788239112249,18.2203960944207,17.9692447195098,17.7261048076471,17.4915777646724,17.2661320830681,17.0501057627136,16.8437100402729,16.6470342682543,16.4600518088552,16.2826269760181,16.1145229329543,15.9554105363059,15.8048780427477,15.6624415337208,15.527555889865,15.3996261000673,15.27801867409,15.1620729146489,15.051111825204,14.9444524351484,14.8414153717137,14.7413335134707,14.643559664219,14.5474731537638,14.4524853499915,14.3580440904723,14.2636370850364,14.1687943283207,14.073089646436,13.9761413869428,13.877612427238,13.7772095609184,13.6746823713003,13.569821678238,13.4624576447236,13.3524576366029,13.2397238875182,13.1241910473405,13.0058236619628,12.8846136338099,12.7605777002493,12.6337549618312,12.5042044884299,12.3720030191124,12.2372427721243,12.1000293755275,11.9604799243042,11.8187211680104,11.6748878297324,11.5291210554321,11.3815669909589,11.2323754828947,11.0816988983533,10.9296910582356,10.7765062780012,10.6222985096922,10.4672205788744,10.3114235101263,10.1550559347873,9.99826357484755,9.84118879705436,9.68397023155936,9.52674244970224,9.36963569580935
10,11,2,0,1,67.8788136,0,0.302128571729903,0.539743892310036,0.728366793560024,0.879407754436836,1.00139803257311,1.10085747377959,1.18292587161472,1.25184899054015,1.3113901907537,1.3652301500062,1.41741836010008,1.47295018432111,1.53855905355994,1.6238271527782,1.7427067716514,1.90614169877676,2.09695333691258,2.29825552833046,2.4998140610021,2.69573198566664,2.88292170472268,3.06009229801533,3.22707455453232,3.38436675970224,3.53282718729867,3.67346448849437,3.80729603895938,3.93525514099181,4.05813461370356,4.17655807114647,4.29097218607004,4.4016542929462,4.50873047865083,4.61219995390995,4.71196225665867,4.80784461074133,4.89962750616365,4.98706727588076,5.06991501701056,5.14793165809127,5.22089930323062,5.28862919219816,5.3509667339023,5.40779411878546,5.45903100951907,5.50463377091096,5.54459364590706,5.57893421967787,5.60770844903116,5.63099547543896,5.64889738621261,5.6615360428374,5.66905005888871,5.67159198009026,5.66932569620676,5.66242409762849,5.65106697708682,5.63543916851332,5.61572890967874,5.59212641181228,5.56482261815635,5.53400813275335,5.49987230151937,5.46260242840694,5.42238311072934,5.37939567945284,5.33381773130191,5.28582274133449,5.23557974581125,5.18325308636344,5.12900220778315,5.0729815026391,5.01534019676126,4.95622227046656,4.89576641106107,4.83410651869139,4.77138351222836,4.70777282446167,4.64349549550685,4.57881190561218,4.51400877765326,4.44938515557578,4.38523992613992,4.32186178780128,4.25952174170553,4.19846780412411,4.13892152148135,4.08107585602201,4.0250940893112,3.97110945254423,3.91922527855136,3.86951554242156,3.82202569806491,3.77677377479176,3.73375170341314,3.69292687941697,3.65424394223958,3.61762676863248,3.58298066109198,3.55019469873812,3.51914421258197,3.48969333658167,3.46169758228337,3.43500638188559,3.40946554917499,3.38491960900413,3.36121395674434,3.33819681040622,3.31572094158698,3.29364516412161,3.27183557690634,3.25016656274847,3.22852155485782,3.20679357978649,3.18488560485373,3.16271069213569,3.14019199856441,3.11726263559186,3.09386541308001,3.06995248687241,3.04548492958266,3.02043224567873,2.99477184263503,2.96848847582783,2.94157367798574,2.91402518434317,2.88584636189208,2.85704564994626,2.82763601835303,2.79763444692809,2.76706142981244,2.73594050713001,2.70429782525643,2.6721617266204,2.63956236920503,2.60653137554152,2.57310151057802,2.53930638755623,2.50518020079182,2.47075748411513,2.43607289362883,2.4011610133662,2.36605618241736,2.33079234208352,2.29540290163726,2.25992062130569,2.22437751113712,2.18880474446759,2.15323258476585,2.11769032469853
