"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47915.6867228991,47332.2280425441,46901.3401009397,46651.725344593,46592.6929463684,46721.626678493,47028.8570627877,47500.8092500546,48122.013094157,48876.3636197205,49747.881023945,50721.1556190483,51781.5792625943,52915.4476823246,54109.9785697315,55353.2830965576,56634.3098163148,57942.777405363,59269.103370787,60604.3380025899,61940.1043766665,63268.5440795535,64582.277164866,65874.3679837594,67138.3006033473,68367.9638512586,69557.6404528783,70702.0038750178,71796.1185780459,72835.4429937391,73815.8347926369,74733.5562725809,75585.2796398199,76368.0910451131,77079.492830361,77717.4035205613,78280.1551805932,78766.4880377757,79175.5422383905,79506.8468519995,79760.306235418,79936.1839655208,80035.0846770981,80057.933963958,80005.9567960434,79880.6547291974,79683.7822553526,79417.3225913632,79083.4632210398,78684.5714766497,78223.1704027225,77701.9151389033,77123.5700178896,76490.986546463,75807.0824124608,75074.8216294728,74297.1959063263,73477.2073040786,72617.8522203903,71722.1067214965,70792.9132239013,69833.1685122841,68845.7130667403,67833.3216610373,66798.6951842445,65744.4536305736,64673.1301964251,63587.1664193729,62488.9082909164,61380.6032731465,60264.3981488748,59142.3376350784,58016.3636906119,56888.3154508797,55759.9297244379
2,0,1,1,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47915.6867228991,47332.2280425441,46901.3401009397,46651.725344593,46592.6929463684,46721.626678493,47028.8570627877,47500.8092500546,48122.013094157,48876.3636197205,49747.881023945,50721.1556190483,51781.5792625943,52915.4476823246,54109.9785697315,55353.2830965576,56634.3098163148,57942.777405363,59269.103370787,60604.3380025899,61940.1043766665,63268.5440795535,64582.277164866,65874.3679837594,67138.3006033473,68367.9638512586,69557.6404528783,70702.0038750178,71796.1185780459,72835.4429937391,73815.8347926369,74733.5562725809,75585.2796398199,76368.0910451131,77079.492830361,77717.4035205613,78280.1551805932,78766.4880377757,79175.5422383905,79506.8468519995,79760.306235418,79936.1839655208,80035.0846770981,80057.933963958,80005.9567960434,79880.6547291974,79683.7822553526,79417.3225913632,79083.4632210398,78684.5714766497,78223.1704027225,77701.9151389033,77123.5700178896,76490.986546463,75807.0824124608,75074.8216294728,74297.1959063263,73477.2073040786,72617.8522203903,71722.1067214965,70792.9132239013,69833.1685122841,68845.7130667403,67833.3216610373,66798.6951842445,65744.4536305736,64673.1301964251,63587.1664193729,62488.9082909164,61380.6032731465,60264.3981488748,59142.3376350784,58016.3636906119,56888.3154508797,55759.9297244379
3,0,1,0,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.697321317251,135.030933207613,133.799769028535,133.085676938878,132.915199375797,133.280870025134,134.155108274096,135.499196364961,137.26901174036,139.41862165122,141.902450529669,144.676548871762,147.699253223883,150.931477984774,154.336766996134,157.881212304508,161.533294170798,165.263689252664,169.045067285366,172.851902718767,176.66030361037,180.447856836126,184.193513887666,187.877493421456,191.481211151285,194.987237192982,198.379265080958,201.642102762282,204.761673311282,207.725023417612,210.52033840376,213.136957588344,215.565389343222,217.797322600252,219.825633254987,221.644384140612,223.248817487016,224.635339582507,225.80149726226,226.745946548122,227.468413758769,227.96964968675,228.251377801227,228.316236927569,228.167719694995,227.810107541175,227.248403265564,226.488261981948,225.535921367245,224.398132022942,223.08208864168,221.595362654146,219.945836915316,218.141642909186,216.191100879353,214.102663204235,211.884861265222,209.546255986599,207.095392160976,204.540756617858,201.89074024142,199.153603798954,196.337447503341,193.45018420025,190.499516044221,187.492914506297,184.437603539233,181.340545714159,178.20843113427,175.047668926345,171.864381109168,168.66439863882,165.453259433908,162.236208188799,159.018197789388
4,0,1,1,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.697321317251,135.030933207613,133.799769028535,133.085676938878,132.915199375797,133.280870025134,134.155108274096,135.499196364961,137.26901174036,139.41862165122,141.902450529669,144.676548871762,147.699253223883,150.931477984774,154.336766996134,157.881212304508,161.533294170798,165.263689252664,169.045067285366,172.851902718767,176.66030361037,180.447856836126,184.193513887666,187.877493421456,191.481211151285,194.987237192982,198.379265080958,201.642102762282,204.761673311282,207.725023417612,210.52033840376,213.136957588344,215.565389343222,217.797322600252,219.825633254987,221.644384140612,223.248817487016,224.635339582507,225.80149726226,226.745946548122,227.468413758769,227.96964968675,228.251377801227,228.316236927569,228.167719694995,227.810107541175,227.248403265564,226.488261981948,225.535921367245,224.398132022942,223.08208864168,221.595362654146,219.945836915316,218.141642909186,216.191100879353,214.102663204235,211.884861265222,209.546255986599,207.095392160976,204.540756617858,201.89074024142,199.153603798954,196.337447503341,193.45018420025,190.499516044221,187.492914506297,184.437603539233,181.340545714159,178.20843113427,175.047668926345,171.864381109168,168.66439863882,165.453259433908,162.236208188799,159.018197789388
5,0,2,0,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.6077753362,29060.2205869331,28640.4186876282,28223.6795017117,27812.3640443641,27408.7822509402,27015.1802957955,26633.6981466358,26266.3223911633,25914.8453537312,25580.8347071339,25265.6139212436,24970.2519926271,24695.5606393997,24442.097114893,24210.170981269,23999.8537148266,23810.9902395926,23643.2120488803,23495.9513600377,23368.4563571658,23259.8076321498,23168.9353436755,23094.6374952982,23035.5988235871,22990.4105442758,22957.5902741227,22935.6021577452,22922.8768220876,22917.8306317652,22918.8842274237,22924.4797693785,22933.0967976765,22943.2664575786,22953.5839210862,22962.7189525458,22969.4245552135,22972.5437596362,22971.014574994,22963.8732480364,22950.2559356104,22929.398946071,22900.6377548532,22863.404877634,22817.2268522211,22761.7204605032,22696.5883474041,22621.614179683,22536.6574772944,22441.6482327222,22336.5814193819,22221.5114776854,22096.546850905,21961.8446331778,21817.6053781219,21664.0681066203,21501.5055435822,21330.2196042927,21150.5371445861,20962.8059830199,20767.3911979914,20564.6716989055,20355.0370670889,20138.8846595002,19916.616966348,19688.6392121841,19455.3571889748,19217.17530897,18974.4948647694,18727.7124838275,18477.2187646766,18223.3970823308,17966.6225506414,17707.2611297697,17445.6688674062
6,0,2,1,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.6077753362,29060.2205869331,28640.4186876282,28223.6795017117,27812.3640443641,27408.7822509402,27015.1802957955,26633.6981466358,26266.3223911633,25914.8453537312,25580.8347071339,25265.6139212436,24970.2519926271,24695.5606393997,24442.097114893,24210.170981269,23999.8537148266,23810.9902395926,23643.2120488803,23495.9513600377,23368.4563571658,23259.8076321498,23168.9353436755,23094.6374952982,23035.5988235871,22990.4105442758,22957.5902741227,22935.6021577452,22922.8768220876,22917.8306317652,22918.8842274237,22924.4797693785,22933.0967976765,22943.2664575786,22953.5839210862,22962.7189525458,22969.4245552135,22972.5437596362,22971.014574994,22963.8732480364,22950.2559356104,22929.398946071,22900.6377548532,22863.404877634,22817.2268522211,22761.7204605032,22696.5883474041,22621.614179683,22536.6574772944,22441.6482327222,22336.5814193819,22221.5114776854,22096.546850905,21961.8446331778,21817.6053781219,21664.0681066203,21501.5055435822,21330.2196042927,21150.5371445861,20962.8059830199,20767.3911979914,20564.6716989055,20355.0370670889,20138.8846595002,19916.616966348,19688.6392121841,19455.3571889748,19217.17530897,18974.4948647694,18727.7124838275,18477.2187646766,18223.3970823308,17966.6225506414,17707.2611297697,17445.6688674062
7,0,2,0,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.26374724065,9425.90671721147,9289.73961125507,9154.56599428223,9021.15167333598,8890.24588756575,8762.57719499629,8638.83970499274,8519.67777726425,8405.67276107386,8297.33313861504,8195.08818339112,8099.28462894209,8010.18575897077,7927.97231996843,7852.74471827533,7784.52613561982,7723.26627010938,7668.84559228955,7621.07993632533,7579.72544407252,7544.48389783052,7515.00828597817,7490.9087315821,7471.75861888707,7457.10099810664,7446.45504720633,7439.32260017204,7435.19461936997,7433.5574411417,7433.8987888403,7435.71336591602,7438.50800022919,7441.8062581769,7445.15247369487,7448.11517527875,7450.28989055213,7451.30134812109,7450.80508357263,7448.48849653064,7444.07139314944,7437.30606441561,7427.97696684066,7415.90003260559,7400.92169061546,7382.91764106267,7361.7914344046,7337.47290108754,7309.91647506297,7279.09944853225,7245.0201907095,7207.69635933954,7167.16312836845,7123.47145198765,7076.68638077362,7026.88544242875,6974.15709679294,6918.59927181059,6860.31798507061,6799.42605357177,6736.04189266743,6670.28840390061,6602.29195033321,6532.18141711473,6460.08735440786,6386.14119928668,6310.47457287864,6233.21864879947,6154.5035887937,6074.45804144277,5993.2086998147,5910.87991398863,5827.59335448747,5743.46772278072,5658.61850516853
8,0,2,1,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.26374724065,9425.90671721147,9289.73961125507,9154.56599428223,9021.15167333598,8890.24588756575,8762.57719499629,8638.83970499274,8519.67777726425,8405.67276107386,8297.33313861504,8195.08818339112,8099.28462894209,8010.18575897077,7927.97231996843,7852.74471827533,7784.52613561982,7723.26627010938,7668.84559228955,7621.07993632533,7579.72544407252,7544.48389783052,7515.00828597817,7490.9087315821,7471.75861888707,7457.10099810664,7446.45504720633,7439.32260017204,7435.19461936997,7433.5574411417,7433.8987888403,7435.71336591602,7438.50800022919,7441.8062581769,7445.15247369487,7448.11517527875,7450.28989055213,7451.30134812109,7450.80508357263,7448.48849653064,7444.07139314944,7437.30606441561,7427.97696684066,7415.90003260559,7400.92169061546,7382.91764106267,7361.7914344046,7337.47290108754,7309.91647506297,7279.09944853225,7245.0201907095,7207.69635933954,7167.16312836845,7123.47145198765,7076.68638077362,7026.88544242875,6974.15709679294,6918.59927181059,6860.31798507061,6799.42605357177,6736.04189266743,6670.28840390061,6602.29195033321,6532.18141711473,6460.08735440786,6386.14119928668,6310.47457287864,6233.21864879947,6154.5035887937,6074.45804144277,5993.2086998147,5910.87991398863,5827.59335448747,5743.46772278072,5658.61850516853
9,11,2,0,0,292.1211864,0,0.305511292709965,0.562823727676702,0.795158188585574,1.01590529094117,1.23255297185864,1.44928201891785,1.66874104027559,1.89336321319341,2.1265052946733,2.37365789815999,2.64398659648372,2.95251191734507,3.3233097134096,3.79417703781932,4.42316142473436,5.2557319062611,6.21347542508263,7.21976286882248,8.22780771850294,9.21034526124662,10.1528081401726,11.0487938105375,11.8970360299815,12.6993610148195,13.4592991364508,14.1811349760132,14.869262300794,15.5277586550768,16.1601237662392,16.7691427533707,17.3568440608318,17.9245267855542,18.4728356492963,19.0018647682862,19.5112747700662,20.0004112597093,20.4684159518921,20.9143249461777,21.3371511767044,21.7359500907657,22.1098690809607,22.458182126683,22.780311633428,23.0758396777648,23.3445108441884,23.586228674335,23.801047513468,23.9891612549606,24.1508901993699,24.2866669857095,24.3970223162432,24.4825709959775,24.5439986471338,24.5820493276026,24.5975141818929,24.5912211791482,24.5640259383185,24.5168036036718,24.4504417103481,24.3658339646971,24.2638748588601,24.1454550362812,24.0114573283516,23.862753385789,23.7002008340715,23.5246408899947,23.3368963810618,23.1377701174933,22.9280435718311,22.7084758263731,22.4798027545273,22.2427364060848,21.9979645701402,21.7461504930655,21.4879327318821,21.2239271956665,20.9547737710789,20.6812451281359,20.4042910126625,20.1250135262885,19.8446152255644,19.5643428647939,19.2854372280665,19.0090929495872,18.7364286205024,18.4684662199246,18.2061180560047,17.9501795475585,17.7013262717014,17.4601141080635,17.226981466258,17.0022529844471,16.7861441952612,16.578766975929,16.3801354783358,16.1901725591466,16.0087167627583,15.8355295777607,15.6703032034021,15.5126685819915,15.3622037766097,15.2184424782728,15.0808825930622,14.9489947959465,14.8222308328756,14.7000315545425,14.5818344594081,14.4670807011717,14.3552214604355,14.2457236066281,14.138074625482,14.0317867807574,13.9264005292639,13.8214871918234,13.7166509325683,13.61153008397,13.5057978748431,13.3991626405758,13.2913675441815,13.1821899072982,13.0714402017718,12.958960763581,12.8446242858705,12.7283321445034,12.6100126030692,12.4896189389744,12.3671275275887,12.2425359150928,12.1158609069004,11.9871366931307,11.8564130286391,11.723753481649,11.589233761285,11.4529401316786,11.3149679178097,11.1754201060198,11.0344060404827,10.8920402154202,10.7484411616593,10.6037304252221,10.4580316349029,10.3114696552402,10.1641698209116,10.016257248314,9.86785621993519,9.71908963706012,9.5700785363547,9.42094166592899,9.27179511658496,9.12275200408761
10,11,2,0,1,67.8788136,0,0.302128571729903,0.539743892310036,0.728366793560024,0.879407754436836,1.00139803257311,1.10085747377959,1.18292587161472,1.25184899054015,1.3113901907537,1.3652301500062,1.41741836010008,1.47295018432111,1.53855905355994,1.6238271527782,1.7427067716514,1.90614169877676,2.09695333691258,2.29825552833046,2.4998140610021,2.69573198566664,2.88292170472268,3.06009229801533,3.22707455453232,3.38436675970224,3.53282718729867,3.67346448849437,3.80729603895938,3.93525514099181,4.05813461370356,4.17655807114647,4.29097218607004,4.4016542929462,4.50873047865083,4.61219995390995,4.71196225665867,4.80784461074133,4.89962750616365,4.98706727588076,5.06991501701056,5.14793165809127,5.22089930323062,5.28862919219816,5.3509667339023,5.40779411878546,5.45903100951907,5.50463377091096,5.54459364590706,5.57893421967787,5.60770844903116,5.63099547543896,5.64889738621261,5.6615360428374,5.66905005888871,5.67159198009026,5.66932569620676,5.66242409762849,5.65106697708682,5.63543916851332,5.61572890967874,5.59212641181228,5.56482261815635,5.53400813275335,5.49987230151937,5.46260242840694,5.42238311072934,5.37939567945284,5.33381773130191,5.28582274133449,5.23557974581125,5.18325308636344,5.12900220778315,5.0729815026391,5.01534019676126,4.95622227046656,4.89576641106107,4.83410646034036,4.77138193467805,4.70776259333513,4.64345843267277,4.57871409031803,4.513797109335,4.44898521877098,4.38455499032026,4.32077275193757,4.25788782574418,4.1961278728163,4.13569593499046,4.07676879651328,4.01949630980128,3.96400142111271,3.91038066718334,3.85870500452508,3.80902085755745,3.76135134420493,3.71569761018029,3.6720402764999,3.63034101214714,3.59054416875806,3.55257853074934,3.51635912573997,3.48178911318734,3.44876170246145,3.41716208917214,3.38686938414341,3.35775848569158,3.32970189144115,3.30257139942843,3.2762396883623,3.2505817543834,3.22547618761669,3.20080628292677,3.17646097779875,3.15233562164106,3.12833257710432,3.10436166524521,3.08034046298001,3.05619446575526,3.03185713333233,3.0072698251467,2.98238164762722,2.95714922491229,2.93153640691161,2.90551392753368,2.87905902514242,2.85215503584274,2.82479096899659,2.79696107331898,2.76866440047453,2.73990437224323,2.71068835610407,2.68102725319005,2.65093510178426,2.62042869868234,2.58952724015189,2.55825198365368,2.52662593098597,2.49467353314056,2.46242041682125,2.42989313230553,2.39711892212713,2.36412550988935,2.33094090839648,2.29759324620505,2.26411061163573,2.23052091325259,2.19685175580161,2.16313033060031,2.12938331938423,2.09563681063872,2.06191622747534
