"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.542243819279225,2.30494788513525,6.47992596771942,14.6397187707952,29.2211456725984,54.1228272580609,95.5939701911345,163.62559367616,274.148143207738,452.492282105641,738.798796490593,1196.36747435728,1924.27638909809,3075.81066362209,4883.83645047258,7527.70827793367,10685.6970488795,14038.6267721231,17387.0066065335,20612.2707016543,23650.130162983,26472.1879379037,29073.2083366711,31462.2547418827,33656.5170092496,35677.0145321272,37545.6467020931,39283.2336101807,40908.2994760173,42436.4183928164,43879.9815147957,45248.268703414,46547.7269632463,47782.3733470963,48954.2564314339,50063.9261502046,51110.8761129802,52093.9358431012,53011.6008648488,53862.2968118598,54644.5796532826,55357.2778567039,55999.5844282668,56571.1076249424,57071.8890319548,57502.3970168054,57863.5026161781,58156.4437618186,58382.7826045819,58544.3596541068,58643.2474996474,58681.7060766072,58662.1408016353,58587.0643771049,58459.0626718616,58280.7647979377,58054.817295061,57783.8621992928,57470.5186895465,57117.3679576627,56726.9409387672,56301.7085375672,55844.0740106875,55356.3671879388,54840.8402450066,54299.6647796579,53734.929966079,53148.641599625,52542.7218692001,51919.0097178675,51279.2616777318,50625.1530828506,49958.2795794321,49280.1588678569,48592.2326226476,47970.0357083715,47717.6828672674,48068.2076881664,49157.7058398902,51065.0593980555,53833.1360563374,57479.2676641472,61999.5020546907,67369.3837868898,73543.0487361006,80451.921717687,88003.9665941001,96084.184414879,104556.768013311,113269.038851342,122056.972244578,130751.851318628,139187.431023602,147206.917123181,154669.140278826,161453.436281117,167462.960932477,172626.360122678,176897.894306713,180256.262584025,182702.406568592,184256.637725674,184955.385142262,184847.829230627,183992.62828066,182454.887292443,180303.466794809,177608.678417745,174440.386480626,170866.497302223,166951.818477803,162757.229418188,158339.135413638,153749.154268799,149033.988143956,144235.444984033,139390.571238906,134531.867254767,129687.558874954,124881.904692438,120135.522244809,115465.720267975,110886.827033872,106410.507728409,102046.065830254,97800.7251828043,93679.8908989102,89687.3882396475,85825.6793792642,82096.0586975023,78498.8273971299,75033.448763114,71698.6853891688,68492.7197696424,65413.2598918356,62457.6310932256,59622.8556986174,56905.7216716549,54302.8415834173,51810.7029627707,49425.7110956039,47144.2252057435,44962.5888389084,42877.1552240265,40884.3082680593,38980.4797784345,37162.1634413317,35425.9260087731,33768.4161006283,32186.3709724684
2,0,1,1,0,0,818021.22396571,0,0.542243819279225,2.30494788513525,6.47992596771942,14.6397187707952,29.2211456725984,54.1228272580609,95.5939701911345,163.62559367616,274.148143207738,452.492282105641,738.798796490593,1196.36747435728,1924.27638909809,3075.81066362209,4883.83645047258,7527.70827793367,10685.6970488795,14038.6267721231,17387.0066065335,20612.2707016543,23650.130162983,26472.1879379037,29073.2083366711,31462.2547418827,33656.5170092496,35677.0145321272,37545.6467020931,39283.2336101807,40908.2994760173,42436.4183928164,43879.9815147957,45248.268703414,46547.7269632463,47782.3733470963,48954.2564314339,50063.9261502046,51110.8761129802,52093.9358431012,53011.6008648488,53862.2968118598,54644.5796532826,55357.2778567039,55999.5844282668,56571.1076249424,57071.8890319548,57502.3970168054,57863.5026161781,58156.4437618186,58382.7826045819,58544.3596541068,58643.2474996474,58681.7060766072,58662.1408016353,58587.0643771049,58459.0626718616,58280.7647979377,58054.817295061,57783.8621992928,57470.5186895465,57117.3679576627,56726.9409387672,56301.7085375672,55844.0740106875,55356.3671879388,54840.8402450066,54299.6647796579,53734.929966079,53148.641599625,52542.7218692001,51919.0097178675,51279.2616777318,50625.1530828506,49958.2795794321,49280.1588678569,48592.2326226476,47970.0357083715,47717.6828672674,48068.2076881664,49157.7058398902,51065.0593980555,53833.1360563374,57479.2676641472,61999.5020546907,67369.3837868898,73543.0487361006,80451.921717687,88003.9665941001,96084.184414879,104556.768013311,113269.038851342,122056.972244578,130751.851318628,139187.431023602,147206.917123181,154669.140278826,161453.436281117,167462.960932477,172626.360122678,176897.894306713,180256.262584025,182702.406568592,184256.637725674,184955.385142262,184847.829230627,183992.62828066,182454.887292443,180303.466794809,177608.678417745,174440.386480626,170866.497302223,166951.818477803,162757.229418188,158339.135413638,153749.154268799,149033.988143956,144235.444984033,139390.571238906,134531.867254767,129687.558874954,124881.904692438,120135.522244809,115465.720267975,110886.827033872,106410.507728409,102046.065830254,97800.7251828043,93679.8908989102,89687.3882396475,85825.6793792642,82096.0586975023,78498.8273971299,75033.448763114,71698.6853891688,68492.7197696424,65413.2598918356,62457.6310932256,59622.8556986174,56905.7216716549,54302.8415834173,51810.7029627707,49425.7110956039,47144.2252057435,44962.5888389084,42877.1552240265,40884.3082680593,38980.4797784345,37162.1634413317,35425.9260087731,33768.4161006283,32186.3709724684
3,0,1,0,1,0,2335.27250675705,0,0.301828925914186,0.538061434160896,0.72533212351358,0.878927283860984,1.01460681672088,1.15067080724308,1.3107909288179,1.52822084876668,1.85226218735856,2.35829675261818,3.16334770390015,4.44999794030884,6.50246708046651,9.7592397877672,14.885487288499,22.3935606699097,31.3666387201085,40.8950387709705,50.4102821689995,59.5745792973323,68.2048521376974,76.2203178813852,83.606195835443,90.3884435022154,96.6161613673719,102.349345271936,107.650480112265,112.578956544933,117.187605014929,121.52083275159,125.613962106729,129.493436717731,133.17761704077,136.677930557399,140.000188776576,143.145927880631,146.113670745095,148.900046012186,151.500729817756,153.911199275178,156.127303710841,158.145670259176,159.963966472382,161.581045035154,162.996995382309,164.213125072198,165.231891043803,166.056797604432,166.692274723401,167.143547235756,167.416502844812,167.517564527688,167.453571117702,167.231668348489,166.859211521045,166.343680135746,165.692604238427,164.913501843083,164.013826558184,163.000924406371,161.881998801766,160.664082645971,159.354016573579,157.958432442893,156.483741252024,154.936124773384,153.321530263864,151.645667715333,149.914009181244,148.131789781782,146.304010062551,144.435439432306,142.530620449432,140.593873770472,138.629303607001,136.852314511081,136.130178646166,137.127458268373,140.23226702396,145.669556323313,153.561571533055,163.957734802546,176.846770473789,192.158931600133,209.763417876073,229.464661491154,251.000188564571,274.042039737928,298.202914674653,323.047399200251,348.10772220747,372.902731493614,396.958324189233,419.827349529072,441.107216184478,460.453809768515,477.590946258422,492.315134734209,504.495932360728,514.072590875001,521.047793627222,525.479463274757,527.471487023962,527.164116574646,524.724632852211,520.338701678161,514.202699017561,506.517139176686,497.481260882468,487.288719072427,476.124331762121,464.161714573889,451.561723825818,438.471562870223,425.024416606204,411.339512588726,397.522499519957,383.666061503142,369.850692595555,356.14557303343,342.60949947747,329.291832536771,316.233433125171,303.467567562455,291.020767049043,278.91363208126,267.161576501695,255.775508735649,244.762449963175,234.126091055231,223.867290549243,213.984517418281,204.474242414607,195.331281974306,186.549099345992,178.120066549625,170.035691485997,162.286813717257,154.86377263361,147.756551042414,140.954897222945,134.448428106969,128.226715927498,122.279360543945,116.596049314891,111.166606212709,105.981031686526,101.029534565228,96.3025571586726,91.7907945579107
4,0,1,1,1,0,2335.27250675705,0,0.301828925914186,0.538061434160896,0.72533212351358,0.878927283860984,1.01460681672088,1.15067080724308,1.3107909288179,1.52822084876668,1.85226218735856,2.35829675261818,3.16334770390015,4.44999794030884,6.50246708046651,9.7592397877672,14.885487288499,22.3935606699097,31.3666387201085,40.8950387709705,50.4102821689995,59.5745792973323,68.2048521376974,76.2203178813852,83.606195835443,90.3884435022154,96.6161613673719,102.349345271936,107.650480112265,112.578956544933,117.187605014929,121.52083275159,125.613962106729,129.493436717731,133.17761704077,136.677930557399,140.000188776576,143.145927880631,146.113670745095,148.900046012186,151.500729817756,153.911199275178,156.127303710841,158.145670259176,159.963966472382,161.581045035154,162.996995382309,164.213125072198,165.231891043803,166.056797604432,166.692274723401,167.143547235756,167.416502844812,167.517564527688,167.453571117702,167.231668348489,166.859211521045,166.343680135746,165.692604238427,164.913501843083,164.013826558184,163.000924406371,161.881998801766,160.664082645971,159.354016573579,157.958432442893,156.483741252024,154.936124773384,153.321530263864,151.645667715333,149.914009181244,148.131789781782,146.304010062551,144.435439432306,142.530620449432,140.593873770472,138.629303607001,136.852314511081,136.130178646166,137.127458268373,140.23226702396,145.669556323313,153.561571533055,163.957734802546,176.846770473789,192.158931600133,209.763417876073,229.464661491154,251.000188564571,274.042039737928,298.202914674653,323.047399200251,348.10772220747,372.902731493614,396.958324189233,419.827349529072,441.107216184478,460.453809768515,477.590946258422,492.315134734209,504.495932360728,514.072590875001,521.047793627222,525.479463274757,527.471487023962,527.164116574646,524.724632852211,520.338701678161,514.202699017561,506.517139176686,497.481260882468,487.288719072427,476.124331762121,464.161714573889,451.561723825818,438.471562870223,425.024416606204,411.339512588726,397.522499519957,383.666061503142,369.850692595555,356.14557303343,342.60949947747,329.291832536771,316.233433125171,303.467567562455,291.020767049043,278.91363208126,267.161576501695,255.775508735649,244.762449963175,234.126091055231,223.867290549243,213.984517418281,204.474242414607,195.331281974306,186.549099345992,178.120066549625,170.035691485997,162.286813717257,154.86377263361,147.756551042414,140.954897222945,134.448428106969,128.226715927498,122.279360543945,116.596049314891,111.166606212709,105.981031686526,101.029534565228,96.3025571586726,91.7907945579107
5,0,2,0,0,0,527895.493723415,0,0.460304575228098,1.69140540678767,4.42740804354274,9.57704195553017,18.5084085679044,33.3876696773824,57.6733736998952,96.884969661618,159.81436357096,260.433665546432,420.879993828185,676.070194776345,1080.69839418495,1719.51274726931,2721.61240010833,4187.65638722534,5942.78402706506,7813.2744364103,9690.7702766471,11510.867313035,13238.5144049057,14858.0098428978,16366.1095617561,17767.2422460176,19070.1768062758,20285.6967948806,21424.9978407801,22498.6192629895,23515.7805299588,24484.0282254543,25409.118714041,26295.0728507455,27144.3482038822,27958.0818963148,28736.3659103798,29478.5254827224,30183.3794897641,30849.469538835,31475.2507409607,32059.2420815745,32600.1378713096,33096.8840032273,33548.7240095391,33955.220409047,34316.2567474563,34632.0252899802,34903.0047171256,35129.9314478893,35313.7674935277,35455.6670914669,35556.9437737167,35619.0390251239,35643.4932880591,35631.9197474865,35585.981088649,35507.3692446248,35397.7880261738,35258.9384468389,35092.5065096774,34900.1531964428,34683.5063998735,34444.1545424447,34183.641644995,33903.4636259616,33605.0656337236,33289.8402426118,32959.126359071,32614.2087107382,32256.3178084193,31886.6302871465,31506.2695499247,31116.3066499162,30717.7613574246,30311.6033684466,29898.7536194322,29518.8402190714,29331.3450027081,29459.6211742101,29977.3347410292,30929.245890261,32342.4217620266,34231.8769218766,36602.9150319516,39451.5448408023,42763.8480938236,46514.9375478419,50667.9927579408,55173.7627025693,59970.8110699059,64986.6618290266,70139.8551194851,75342.7817807994,80505.0612983892,85537.1472158441,90353.8408016663,94877.4176672674,99040.1504012532,102786.095971336,106072.105167342,108868.100207704,111156.703697779,112932.357787129,114200.07173074,114973.937773739,115275.537437909,115132.341520589,114576.181180311,113641.844739719,112365.835483124,110785.305098785,108937.171456865,106857.406357591,104580.486607755,102138.991209329,99563.3226935501,96881.5360139028,94119.2548000979,91299.6587032362,88443.5258827952,85569.3172146761,82693.2906664156,79829.6362299506,76990.6233978877,74186.7549420684,71426.9220304325,68718.5568642717,66067.7800876502,63479.5410135567,60957.7492678134,58505.3972234618,56124.6727286703,53817.0621573615,51583.4439398163,49424.1729263598,47339.1560816498,45327.9200459253,43389.6711526779,41523.3484914358,39727.6706626316,38001.1767667356,36342.2622189059,34749.2099129843,33220.2172214848,31753.4193001734,30346.9091089452,28998.7545316794,27707.0129427936,26469.7435282339,25285.017641359,24150.9274424436
6,0,2,1,0,0,527895.493723415,0,0.460304575228098,1.69140540678767,4.42740804354274,9.57704195553017,18.5084085679044,33.3876696773824,57.6733736998952,96.884969661618,159.81436357096,260.433665546432,420.879993828185,676.070194776345,1080.69839418495,1719.51274726931,2721.61240010833,4187.65638722534,5942.78402706506,7813.2744364103,9690.7702766471,11510.867313035,13238.5144049057,14858.0098428978,16366.1095617561,17767.2422460176,19070.1768062758,20285.6967948806,21424.9978407801,22498.6192629895,23515.7805299588,24484.0282254543,25409.118714041,26295.0728507455,27144.3482038822,27958.0818963148,28736.3659103798,29478.5254827224,30183.3794897641,30849.469538835,31475.2507409607,32059.2420815745,32600.1378713096,33096.8840032273,33548.7240095391,33955.220409047,34316.2567474563,34632.0252899802,34903.0047171256,35129.9314478893,35313.7674935277,35455.6670914669,35556.9437737167,35619.0390251239,35643.4932880591,35631.9197474865,35585.981088649,35507.3692446248,35397.7880261738,35258.9384468389,35092.5065096774,34900.1531964428,34683.5063998735,34444.1545424447,34183.641644995,33903.4636259616,33605.0656337236,33289.8402426118,32959.126359071,32614.2087107382,32256.3178084193,31886.6302871465,31506.2695499247,31116.3066499162,30717.7613574246,30311.6033684466,29898.7536194322,29518.8402190714,29331.3450027081,29459.6211742101,29977.3347410292,30929.245890261,32342.4217620266,34231.8769218766,36602.9150319516,39451.5448408023,42763.8480938236,46514.9375478419,50667.9927579408,55173.7627025693,59970.8110699059,64986.6618290266,70139.8551194851,75342.7817807994,80505.0612983892,85537.1472158441,90353.8408016663,94877.4176672674,99040.1504012532,102786.095971336,106072.105167342,108868.100207704,111156.703697779,112932.357787129,114200.07173074,114973.937773739,115275.537437909,115132.341520589,114576.181180311,113641.844739719,112365.835483124,110785.305098785,108937.171456865,106857.406357591,104580.486607755,102138.991209329,99563.3226935501,96881.5360139028,94119.2548000979,91299.6587032362,88443.5258827952,85569.3172146761,82693.2906664156,79829.6362299506,76990.6233978877,74186.7549420684,71426.9220304325,68718.5568642717,66067.7800876502,63479.5410135567,60957.7492678134,58505.3972234618,56124.6727286703,53817.0621573615,51583.4439398163,49424.1729263598,47339.1560816498,45327.9200459253,43389.6711526779,41523.3484914358,39727.6706626316,38001.1767667356,36342.2622189059,34749.2099129843,33220.2172214848,31753.4193001734,30346.9091089452,28998.7545316794,27707.0129427936,26469.7435282339,25285.017641359,24150.9274424436
7,0,2,0,1,0,171228.02725029,0,0.352766988564486,0.908741961812116,1.91500512686598,3.67362784276057,6.63433263407473,11.5045946649528,19.4101807892509,32.1445867017966,52.5621479153348,85.1969403550556,137.231011407881,219.991268577022,351.219241754365,558.404464205955,883.421826642186,1358.92133654297,1928.18624733325,2534.86941702622,3143.82472160347,3734.16245224017,4294.51371797877,4819.78570164055,5308.92627127177,5763.37197470395,6185.96711886816,6580.20945556118,6949.73038242519,7297.94840762312,7627.85392840761,7941.89472408221,8241.9378993197,8529.28763084932,8804.74103007233,9068.66691103573,9321.0950880488,9561.80667540259,9790.41854552601,10006.4576365316,10209.4228308833,10398.8337293286,10574.2668008513,10735.3801173233,10881.928292393,11013.7694057307,11130.8656648616,11233.2794132085,11321.1658955887,11394.7639567099,11454.3856143269,11500.4052367227,11533.2488611196,11553.3840277616,11561.3103750755,11557.5511366653,11542.6456024935,11517.1425498456,11481.5946091835,11436.5535042239,11382.566090461,11320.1711080699,11249.8965650696,11172.2576675019,11087.7552198876,10996.8744248389,10900.0840177683,10797.8356817337,10690.5636926272,10578.6847534373,10462.5979818992,10342.6850211031,10219.3102482826,10092.8210609431,9963.54822293065,9831.80625642094,9697.89386835791,9574.66469229987,9513.84770804983,9555.45333593506,9723.37562691403,10032.1328388308,10490.5043733391,11103.3603002855,11872.4208941723,12796.3915631887,13870.7578267873,15087.447340842,16434.5171487441,17895.9923545719,19451.9456833332,21078.869054516,22750.3404234159,24437.9431794472,26112.3618051623,27744.5513154733,29306.8769386091,30774.1282552608,32124.337431631,33339.3589750181,34405.1971533027,35312.0960384413,36054.419156646,36630.3637812418,37041.5546958918,37292.5628120225,37390.3882373502,37343.9413049781,37163.5466599458,36860.4881230066,36446.6057740776,35933.950007211,35334.4953760615,34659.9095703044,33921.3753686803,33129.459984467,32294.0246783507,31424.1692587362,30528.204918172,29613.6501286684,28687.2444226311,27754.9757062939,26822.1173580718,25893.2719948906,24972.4193070858,24062.9659374927,23167.7957946214,22289.3195615556,21429.5225091681,20590.0099793967,19772.0500848121,18976.6134210176,18204.4096306875,17455.9208287166,16731.4319394871,16031.0580607854,15354.7690157429,14702.4112667715,14073.72738269,13468.3732499874,12885.9332380716,12325.9334943651,11787.8535610213,11271.136483172,10775.1975665514,10299.4319364891,9843.2210318137,9405.93815778983,8986.95321087589,8585.63667511788,8201.36298114853,7833.51330846674
8,0,2,1,1,0,171228.02725029,0,0.352766988564486,0.908741961812116,1.91500512686598,3.67362784276057,6.63433263407473,11.5045946649528,19.4101807892509,32.1445867017966,52.5621479153348,85.1969403550556,137.231011407881,219.991268577022,351.219241754365,558.404464205955,883.421826642186,1358.92133654297,1928.18624733325,2534.86941702622,3143.82472160347,3734.16245224017,4294.51371797877,4819.78570164055,5308.92627127177,5763.37197470395,6185.96711886816,6580.20945556118,6949.73038242519,7297.94840762312,7627.85392840761,7941.89472408221,8241.9378993197,8529.28763084932,8804.74103007233,9068.66691103573,9321.0950880488,9561.80667540259,9790.41854552601,10006.4576365316,10209.4228308833,10398.8337293286,10574.2668008513,10735.3801173233,10881.928292393,11013.7694057307,11130.8656648616,11233.2794132085,11321.1658955887,11394.7639567099,11454.3856143269,11500.4052367227,11533.2488611196,11553.3840277616,11561.3103750755,11557.5511366653,11542.6456024935,11517.1425498456,11481.5946091835,11436.5535042239,11382.566090461,11320.1711080699,11249.8965650696,11172.2576675019,11087.7552198876,10996.8744248389,10900.0840177683,10797.8356817337,10690.5636926272,10578.6847534373,10462.5979818992,10342.6850211031,10219.3102482826,10092.8210609431,9963.54822293065,9831.80625642094,9697.89386835791,9574.66469229987,9513.84770804983,9555.45333593506,9723.37562691403,10032.1328388308,10490.5043733391,11103.3603002855,11872.4208941723,12796.3915631887,13870.7578267873,15087.447340842,16434.5171487441,17895.9923545719,19451.9456833332,21078.869054516,22750.3404234159,24437.9431794472,26112.3618051623,27744.5513154733,29306.8769386091,30774.1282552608,32124.337431631,33339.3589750181,34405.1971533027,35312.0960384413,36054.419156646,36630.3637812418,37041.5546958918,37292.5628120225,37390.3882373502,37343.9413049781,37163.5466599458,36860.4881230066,36446.6057740776,35933.950007211,35334.4953760615,34659.9095703044,33921.3753686803,33129.459984467,32294.0246783507,31424.1692587362,30528.204918172,29613.6501286684,28687.2444226311,27754.9757062939,26822.1173580718,25893.2719948906,24972.4193070858,24062.9659374927,23167.7957946214,22289.3195615556,21429.5225091681,20590.0099793967,19772.0500848121,18976.6134210176,18204.4096306875,17455.9208287166,16731.4319394871,16031.0580607854,15354.7690157429,14702.4112667715,14073.72738269,13468.3732499874,12885.9332380716,12325.9334943651,11787.8535610213,11271.136483172,10775.1975665514,10299.4319364891,9843.2210318137,9405.93815778983,8986.95321087589,8585.63667511788,8201.36298114853,7833.51330846674
9,11,2,0,0,1,292.1211864,0,0.305511292712975,0.562823727697286,0.79515818864543,1.01590529106432,1.23255297206893,1.44928201923786,1.6687410407264,1.89336321379495,2.12650529544517,2.37365789883543,2.64398659660934,2.95251191690338,3.32330971320902,3.79417703793482,4.42316142147416,5.25573189496447,6.21347540393214,7.21976283695093,8.22780767564473,9.21034520750944,10.1528080759423,11.048793736043,11.8970359459897,12.6993609218894,13.4592990351987,14.1811348670211,14.869262184675,15.5277585324688,16.1601236377934,16.7691426197364,17.3568439226815,17.9245266435423,18.472835504094,19.001864620547,19.511274620429,20.0004111087938,20.4684158002917,20.9143247944548,21.3371510254069,21.735949940385,22.1098689319347,22.4581819794321,22.780311488311,23.0758395350954,23.3445107042781,23.5862285374344,23.8010473797902,23.9891611247183,24.150890072726,24.2866668627969,24.3970221971888,24.482570880873,24.5439985360498,24.5820492205966,24.5975140790005,24.5912210803915,24.5640258437027,24.5168035131927,24.4504416239846,24.3658338824207,24.2638747806282,24.1454549620512,24.0114572580608,23.8627533193846,23.7002007714813,23.5246408311372,23.336896325869,23.1377700658837,22.9280435237096,22.7084757816567,22.4798027131273,22.2427363679067,21.997964535086,21.7461504610451,21.4879327027992,21.2379130611858,21.0540550801178,20.981694971883,21.0487993464869,21.2734613346588,21.6678833759152,22.2403302169962,22.9958848026231,23.9365006318196,25.0606595077766,26.362857304403,27.8330899204274,29.4564826806023,31.2131734563012,33.0785241179792,35.023686442372,37.0164978112607,39.022640934404,41.0069640747026,42.934847849689,44.7735030511445,46.4931036719345,48.0676862499406,49.475776741621,50.700740581811,51.7308690866136,52.559240729152,53.1834015009398,53.6049140168177,53.8288221325551,53.8630744292017,53.7179411841583,53.4054527004377,52.9388787515211,52.332261492291,51.600010343484,50.7565588404623,49.8160836719042,48.7922828502804,47.6982063293327,46.5461339869322,45.3474939250755,44.1128150379272,42.8517076256061,41.5728665224755,40.2840917888938,38.9923226645694,37.7036810468512,36.4235214469725,35.1564848903444,33.9065547021367,32.6771125939244,31.4709938334573,30.2905405230582,29.1376524167634,28.0138347684779,26.9202429753386,25.85772387016,24.8268536419326,23.8279724205058,22.8612156616393,21.9265424582862,21.0237609586528,20.1525510998527,19.312484838777,18.5030440961312,17.7236366083233,16.9736098773272,16.2522634050033,15.5588593811196,14.8926319856306,14.2527954537829,13.6385510387063,13.0490929957402,12.4836137008121
10,11,2,0,1,1,67.8788136,0,0.302128571730584,0.539743892314687,0.728366793573547,0.879407754464658,1.00139803262062,1.10085747385188,1.18292587171656,1.25184899067605,1.31139019092808,1.36523015015569,1.41741836012128,1.47295018421324,1.53855905350949,1.62382715280196,1.74270677091493,1.90614169622476,2.09695333213446,2.29825552113031,2.49981405131992,2.69573197352677,2.88292169021217,3.06009228118617,3.22707453555768,3.38436673870834,3.53282716442462,3.67346446387171,3.80729601272662,3.93525511329308,4.05813458468599,4.17655804095679,4.29097215486012,4.40165426086392,4.50873044584781,4.61219992053382,4.71196222285375,4.80784457664762,4.89962747191522,4.98706724160471,5.06991498283067,5.14793162411851,5.2208992695639,5.28862915893247,5.35096670111868,5.40779408655477,5.45903097791168,5.50463373998352,5.54459361570766,5.57893419025459,5.60770842042079,5.63099544767152,5.64889735931679,5.6615360168339,5.66905003379348,5.6715919559163,5.66932567296212,5.66242407531814,5.65106695571194,5.63543914807297,5.61572889016816,5.592126393225,5.56482260048277,5.53400811598387,5.49987228563981,5.46260241340536,5.42238309658941,5.37939566615619,5.33381771883315,5.28582272967523,5.23557973494,5.18325307626143,5.12900219843038,5.07298149401418,5.01534018884206,4.95622226323273,4.89576640449088,4.83726604132443,4.79381081744002,4.7756379506493,4.78906088302509,4.83816273703846,4.92569606615527,5.05352405121894,5.22279125580762,5.43393544487834,5.68661025735174,5.97956902595284,6.31054863982865,6.67618581403883,7.07199067778151,7.4923945372254,7.93087771441055,8.38017189048569,8.83252209559425,9.27998495849933,9.71473747865585,10.129370214682,10.5171432443398,10.8721893328788,11.1896555471591,11.4657823343164,11.697923037257,11.8845125513254,12.0249951103475,12.1197224203892,12.1698327069419,12.177120469755,12.1439047663888,12.0729023209918,11.9671099217412,11.8296988970638,11.6639235925731,11.4730438466312,11.2602615155022,11.0286703572179,10.7812177639749,10.5206771950577,10.249629717996,9.97045329138844,9.68531838369109,9.39618867839231,9.10482574706698,8.81279671846355,8.52148409946117,8.23209705954149,7.94568360633224,7.66314318711943,7.38523935842953,7.11261224853128,6.84579059270339,6.58520321252155,6.33118982446065,6.08401112453784,5.8438581159831,5.61086067518446,5.38509536406812,5.1665925196778,4.9553426493854,4.75130217251885,4.55439855557961,4.3645348820798,4.18159390578244,4.00544163132608,3.8359304651831,3.67290197907964,3.51618932410983,3.36561933181529,3.22101433579221,3.08219374424635,2.94897539156431,2.82117669427425
