"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47915.6838682858,47332.1498941493,46900.8283089807,46649.855377332,46587.7198498143,46710.7919183558,47008.2630573592,47465.3568178743,48065.3928384894,48791.0910891489,49625.3700643546,50551.8200957596,51554.9613521427,52620.3654529264,53734.6923708854,54885.6749929746,56062.0746847611,57253.6206035115,58450.9432885766,59645.5079582279,60829.5494498643,61996.0123312314,63138.496013848,64251.2057262059,65328.9086270484,66366.8947389454,67360.9433138855,68307.2924035029,69202.6122112011,70043.9816303311,70828.8666480679,71555.1012174458,72220.8695796721,72824.6895594305,73365.3971128453,73842.1312947312,74254.3196457615,74601.6640104445,74884.126298149,75101.9143591408,75255.4678740198,75345.4440709335,75372.7034560445,75338.295443311,75243.4439303788,75089.5328858354,74878.0918683039,74610.7818333527,74289.3813867963,73915.7723462276,73491.9262892851,73019.8913043599,72501.7791237786,71939.7527064193,71336.0143252552,70692.7942010624,70012.3397183672,69296.9052541115,68548.7426422749,67770.0922912181,66963.1749642544,66130.1842278126,65273.2795658478,64394.5801539101,63496.1592814879,62580.039406971,61648.1878258423,60702.5129294953,59744.8610293871,58777.0137267651,57800.6857463026,56817.5234002163,55829.1031612278,54836.9310640871,53842.442297287
2,0,1,1,0,818021.22396571,0,0.542243819113024,2.30494788390841,6.47992596370013,14.6397187611272,29.2211456526798,54.1228272205112,95.5939701241749,163.625593561066,274.148143014874,452.492282791825,738.798799879772,1196.36748044307,1924.27639470454,3075.81066976835,4883.83647691689,7527.7083432012,10685.6971593265,14038.6269298254,17387.0068108694,20612.2709503748,23650.1304527231,26472.1882658904,29073.2086984347,31462.2551336898,33656.517427365,35677.0149732119,37545.6471629147,39283.2340876249,40908.2999671137,42436.4188947865,43879.9820249245,45248.2692192171,46547.7274822942,47782.3738671505,48954.2569504057,50063.9266661592,51110.8766241478,52093.9363478809,53011.6013617283,53862.2972995738,54644.5801307876,55357.2783230274,55999.5848826699,56571.108066854,57071.8894607921,57502.3974322017,57863.5030178895,58156.4441495729,58382.7829782715,58544.3600137076,58643.2478451285,58681.7064080406,58662.1411191396,58587.0646808213,58459.0629619822,58280.7650746722,58054.8175586602,57783.8624500085,57470.5189276739,57117.3681834947,56726.9411526278,56301.7087397526,55844.0742015535,55356.3673677774,54840.8404141673,54299.6649385051,53734.9301149101,53148.6417387724,52542.7219990305,51919.0098386923,51279.2617898707,50625.1531866323,49958.2796751851,49280.1589558794,48592.2327032472,47915.6838682858,47332.1498941493,46900.8283089807,46649.855377332,46587.7198498143,46710.7919183558,47008.2630573592,47465.3568178743,48065.3928384894,48791.0910891489,49625.3700643546,50551.8200957596,51554.9613521427,52620.3654529264,53734.6923708854,54885.6749929746,56062.0746847611,57253.6206035115,58450.9432885766,59645.5079582279,60829.5494498643,61996.0123312314,63138.496013848,64251.2057262059,65328.9086270484,66366.8947389454,67360.9433138855,68307.2924035029,69202.6122112011,70043.9816303311,70828.8666480679,71555.1012174458,72220.8695796721,72824.6895594305,73365.3971128453,73842.1312947312,74254.3196457615,74601.6640104445,74884.126298149,75101.9143591408,75255.4678740198,75345.4440709335,75372.7034560445,75338.295443311,75243.4439303788,75089.5328858354,74878.0918683039,74610.7818333527,74289.3813867963,73915.7723462276,73491.9262892851,73019.8913043599,72501.7791237786,71939.7527064193,71336.0143252552,70692.7942010624,70012.3397183672,69296.9052541115,68548.7426422749,67770.0922912181,66963.1749642544,66130.1842278126,65273.2795658478,64394.5801539101,63496.1592814879,62580.039406971,61648.1878258423,60702.5129294953,59744.8610293871,58777.0137267651,57800.6857463026,56817.5234002163,55829.1031612278,54836.9310640871,53842.442297287
3,0,1,0,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.697313176452,135.030710342958,133.798309493122,133.080344140217,132.90101702979,133.249971305266,134.096378002558,135.398092625031,137.107541306537,139.175440260696,141.553072068532,144.193635467597,147.052981110054,150.089958372455,153.266520586491,156.547681000882,159.901386051339,163.298342285119,166.711826965865,170.117497841654,173.493207599969,176.818833069755,180.07611868916,183.24853668453,186.321161908236,189.280560423361,192.114693579728,194.812831229199,197.365475726457,199.764295016048,202.002061040245,204.072595185839,205.970717867044,207.69220088336,209.23372334996,210.592828823964,211.767883628391,212.758036404844,213.563177503917,214.183898703724,214.621452966769,214.877713705781,214.955134087467,214.856706049227,214.585919162287,214.146719527341,213.543468475891,212.780902092481,211.864092010095,210.798404232707,209.589460771998,208.243101861432,206.765349261156,205.162370844663,203.440446625473,201.605936341439,199.665248699538,197.624812368081,195.4910487826,193.270346813225,190.969039323509,188.593381633143,186.149531880724,183.643533267797,181.081298151671,178.468593942409,175.811030748647,173.11405070781,170.382918928589,167.62271598932,164.838331759366,162.034461018581,159.215599387113,156.386041618231,153.549880433541
4,0,1,1,1,2335.27250675705,0,0.301828925913712,0.538061434157398,0.725332123502118,0.878927283833413,1.01460681666408,1.150670807136,1.31079092862694,1.52822084843845,1.85226218680855,2.35829675457904,3.1633477135747,4.4499979576748,6.50246709646168,9.75923980529822,14.8854873639132,22.3935608560405,31.3666390350825,40.8950392207082,50.4102827517274,59.5745800066369,68.2048529639824,76.2203188167421,83.6061968671251,90.3884446195762,96.6161625597592,102.349346529827,107.650481426442,112.578957906515,117.187606415445,121.520834183115,125.613963561521,129.493438188706,133.177618520998,136.677932040497,140.000190256586,143.145929352037,146.11367220285,148.900047451723,151.500731234764,153.911200666047,156.127305072596,158.145671589044,159.963967768254,161.581046295403,162.996996605273,164.21312625683,165.231892189409,166.056798710234,166.692275789094,167.143548261271,167.41650383006,167.517565472874,167.453572023166,167.231669214632,166.859212348415,166.343680924941,165.692604990162,164.913502558077,164.013827237279,163.000925050402,161.881999411656,160.664083222567,159.354017117893,157.958432955759,156.483741734438,154.936125226386,153.321530688302,151.645668112155,149.914009551495,148.131790126351,146.30401038235,144.435439728271,142.530620722501,140.593874021495,138.629303836856,136.697313176452,135.030710342958,133.798309493122,133.080344140217,132.90101702979,133.249971305266,134.096378002558,135.398092625031,137.107541306537,139.175440260696,141.553072068532,144.193635467597,147.052981110054,150.089958372455,153.266520586491,156.547681000882,159.901386051339,163.298342285119,166.711826965865,170.117497841654,173.493207599969,176.818833069755,180.07611868916,183.24853668453,186.321161908236,189.280560423361,192.114693579728,194.812831229199,197.365475726457,199.764295016048,202.002061040245,204.072595185839,205.970717867044,207.69220088336,209.23372334996,210.592828823964,211.767883628391,212.758036404844,213.563177503917,214.183898703724,214.621452966769,214.877713705781,214.955134087467,214.856706049227,214.585919162287,214.146719527341,213.543468475891,212.780902092481,211.864092010095,210.798404232707,209.589460771998,208.243101861432,206.765349261156,205.162370844663,203.440446625473,201.605936341439,199.665248699538,197.624812368081,195.4910487826,193.270346813225,190.969039323509,188.593381633143,186.149531880724,183.643533267797,181.081298151671,178.468593942409,175.811030748647,173.11405070781,170.382918928589,167.62271598932,164.838331759366,162.034461018581,159.215599387113,156.386041618231,153.549880433541
5,0,2,0,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.6059285029,29060.1697934913,28640.0853002808,28222.4596882058,27809.117913379,27401.709838096,27001.7442489937,26610.5893294108,26229.461415909,25859.4128289919,25501.3236884178,25155.8993481435,24823.6730663328,24505.0131859826,24200.133529364,23909.105982631,23631.8742444012,23368.2680401496,23118.0171623603,22880.7649623247,22656.0810705635,22443.4731702184,22242.3977516146,22052.2698592416,21872.4719003401,21702.3615176125,21541.2785934433,21388.5515295846,21243.5028099198,21105.4539753114,20973.7300348401,20847.6633928014,20726.5973582723,20609.8892333974,20496.9130768363,20387.0621364614,20279.7509702827,20174.417319496,20070.5237017577,19967.5587640614,19865.0384188378,19762.5067400928,19659.5366626232,19555.7304806179,19450.7201494469,19344.1674115261,19235.7637437741,19125.2301609782,19012.3168550194,18896.8027025136,18778.4946391657,18657.2269224089,18532.860290997,18405.28103289,18274.3999740291,18140.1513997257,18002.4919203083,17861.3992922518,17716.8712056082,17568.9240479853,17417.5916547601,17262.9240545657,17104.9862183954,16943.8568199722,16779.6270143023,16612.3992406055,16442.2860550941,16269.4089983654,16093.8975014884,15915.8878381134,15735.5220989456,15552.9472978949,15368.3143375683,15181.7772383544,14993.492333194
6,0,2,1,0,527895.493723415,0,0.460304575118769,1.69140540599654,4.42740804102751,9.57704194969869,18.5084085563655,33.387669656507,57.6733736641213,96.8849696023583,159.814363474909,260.43366595251,420.879995786899,676.070198356825,1080.69839763073,1719.51275071605,2721.61241310878,4187.65642010556,5942.7840836193,7813.27451810943,9690.77038348822,11510.8674441137,13238.5145586855,14858.0100181467,16366.1097562464,17767.2424579213,19070.177033726,20285.6970361798,21424.9980942485,22498.6195269749,23515.7808028542,24484.0285057294,25409.1190001738,26295.0731413187,27144.3484974881,27958.0821916367,28736.3662061734,29478.5257778207,30183.3797830879,30849.4698293963,31475.2510278188,32059.2423639322,32600.1381485013,33096.884274626,33548.7242746596,33955.2206675045,34316.2569988574,34632.0255340638,34903.0049537048,35129.9316767604,35313.7677145881,35455.6673046646,35556.9439789982,35619.0392224984,35643.4934775638,35631.9199291762,35585.981262609,35507.3694109509,35397.7881849909,35258.9385982702,35092.5066538773,34900.1533335624,34683.5065300863,34444.1546659049,34183.6417618984,33903.4637364608,33605.065738011,33289.8403408912,32959.126451501,32614.2087975026,32256.3178897255,31886.630363166,31506.2696208355,31116.3067159033,30717.761418674,30311.6034251251,29898.753671714,29480.6059285029,29060.1697934913,28640.0853002808,28222.4596882058,27809.117913379,27401.709838096,27001.7442489937,26610.5893294108,26229.461415909,25859.4128289919,25501.3236884178,25155.8993481435,24823.6730663328,24505.0131859826,24200.133529364,23909.105982631,23631.8742444012,23368.2680401496,23118.0171623603,22880.7649623247,22656.0810705635,22443.4731702184,22242.3977516146,22052.2698592416,21872.4719003401,21702.3615176125,21541.2785934433,21388.5515295846,21243.5028099198,21105.4539753114,20973.7300348401,20847.6633928014,20726.5973582723,20609.8892333974,20496.9130768363,20387.0621364614,20279.7509702827,20174.417319496,20070.5237017577,19967.5587640614,19865.0384188378,19762.5067400928,19659.5366626232,19555.7304806179,19450.7201494469,19344.1674115261,19235.7637437741,19125.2301609782,19012.3168550194,18896.8027025136,18778.4946391657,18657.2269224089,18532.860290997,18405.28103289,18274.3999740291,18140.1513997257,18002.4919203083,17861.3992922518,17716.8712056082,17568.9240479853,17417.5916547601,17262.9240545657,17104.9862183954,16943.8568199722,16779.6270143023,16612.3992406055,16442.2860550941,16269.4089983654,16093.8975014884,15915.8878381134,15735.5220989456,15552.9472978949,15368.3143375683,15181.7772383544,14993.492333194
7,0,2,0,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.26314820813,9425.89024202396,9289.63147487208,9154.17033973362,9020.09876936053,8887.95190385592,8758.21912467897,8631.34420784964,8507.72167704414,8387.69285640056,8271.54321575446,8159.50153863891,8051.7407883127,7948.38043683731,7849.48983657645,7755.09230209106,7665.16956957658,7579.66640739,7498.49517006073,7421.54017443952,7348.66182564664,7279.70043584479,7214.4797125484,7152.80992011707,7094.49073687523,7039.31380867409,6987.06502075339,6937.52653459571,6890.47859224236,6845.70112991534,6802.97520882903,6762.0842889349,6722.81536726999,6684.95997966067,6648.31509706266,6612.68391462068,6577.87653960213,6543.71059893088,6510.01175597447,6476.61414935707,6443.36076145901,6410.10370908374,6376.70447025152,6343.03404592246,6308.97305788261,6274.41178956761,6239.25016901878,6203.39770510242,6166.77337048904,6129.3054419524,6090.93129743606,6051.59717688488,6011.25790965205,5969.87661216098,5927.42435990698,5883.87983760172,5839.22897123784,5793.46454571357,5746.58581152729,5698.59808386522,5649.51233722441,5599.34479850232,5548.11654126024,5495.85308364023,5442.58399218049,5388.34249353746,5333.16509588952,5277.09122156789,5220.16285223811,5162.42418900975,5103.92131979944,5044.7019294047,4984.81496395395,4924.31038085477,4863.23888761227
8,0,2,1,1,171228.02725029,0,0.352766988529024,0.908741961555508,1.91500512605015,3.67362784086909,6.63433263033201,11.5045946581817,19.4101807776474,32.1445866825753,52.5621478841801,85.1969404867723,137.231012043209,219.991269738381,351.219242872028,558.404465323928,883.421830858967,1358.92134720789,1928.18626567699,2534.86944352588,3143.82475625809,3734.16249475641,4294.51376785826,4819.78575848367,5308.92633435596,5763.3720434363,6185.96719264313,6580.20953382816,6949.73046463935,7297.94849324851,7627.85401692304,7941.89481499131,8241.93799212877,8529.28772509868,8804.74112530536,9068.66700682534,9321.0951839914,9561.8067711197,9790.41864066751,10006.457730777,10209.4229239276,10398.8338209132,10574.2668907602,10735.3802053533,10881.9283783865,11013.7694895631,11130.8657464052,11233.2794923786,11321.1659723247,11394.7640309458,11454.3856860293,11500.4053058747,11533.248927704,11553.3840917813,11561.3104365426,11557.5511955975,11542.6456589186,11517.1426037945,11481.5946606969,11436.5535533417,11382.5661372332,11320.1711525455,11249.8966073049,11172.257707547,11087.755257806,10996.8744606801,10900.0840515946,10797.8357136112,10690.5637226075,10578.6847815799,10462.5980082714,10342.6850457605,10219.310271283,10092.8210823465,9963.54824279728,9831.806274805,9697.89388531586,9562.26314820813,9425.89024202396,9289.63147487208,9154.17033973362,9020.09876936053,8887.95190385592,8758.21912467897,8631.34420784964,8507.72167704414,8387.69285640056,8271.54321575446,8159.50153863891,8051.7407883127,7948.38043683731,7849.48983657645,7755.09230209106,7665.16956957658,7579.66640739,7498.49517006073,7421.54017443952,7348.66182564664,7279.70043584479,7214.4797125484,7152.80992011707,7094.49073687523,7039.31380867409,6987.06502075339,6937.52653459571,6890.47859224236,6845.70112991534,6802.97520882903,6762.0842889349,6722.81536726999,6684.95997966067,6648.31509706266,6612.68391462068,6577.87653960213,6543.71059893088,6510.01175597447,6476.61414935707,6443.36076145901,6410.10370908374,6376.70447025152,6343.03404592246,6308.97305788261,6274.41178956761,6239.25016901878,6203.39770510242,6166.77337048904,6129.3054419524,6090.93129743606,6051.59717688488,6011.25790965205,5969.87661216098,5927.42435990698,5883.87983760172,5839.22897123784,5793.46454571357,5746.58581152729,5698.59808386522,5649.51233722441,5599.34479850232,5548.11654126024,5495.85308364023,5442.58399218049,5388.34249353746,5333.16509588952,5277.09122156789,5220.16285223811,5162.42418900975,5103.92131979944,5044.7019294047,4984.81496395395,4924.31038085477,4863.23888761227
9,11,2,0,0,292.1211864,0,0.305511292709965,0.562823727676702,0.795158188585574,1.01590529094117,1.23255297185864,1.44928201891785,1.66874104027559,1.89336321319341,2.1265052946733,2.37365789815999,2.64398659648372,2.95251191734507,3.3233097134096,3.79417703781932,4.42316142473436,5.2557319062611,6.21347542508263,7.21976286882248,8.22780771850294,9.21034526124662,10.1528081401726,11.0487938105375,11.8970360299815,12.6993610148195,13.4592991364508,14.1811349760132,14.869262300794,15.5277586550768,16.1601237662392,16.7691427533707,17.3568440608318,17.9245267855542,18.4728356492963,19.0018647682862,19.5112747700662,20.0004112597093,20.4684159518921,20.9143249461777,21.3371511767044,21.7359500907657,22.1098690809607,22.458182126683,22.780311633428,23.0758396777648,23.3445108441884,23.586228674335,23.801047513468,23.9891612549606,24.1508901993699,24.2866669857095,24.3970223162432,24.4825709959775,24.5439986471338,24.5820493276026,24.5975141818929,24.5912211791482,24.5640259383185,24.5168036036718,24.4504417103481,24.3658339646971,24.2638748588601,24.1454550362812,24.0114573283516,23.862753385789,23.7002008340715,23.5246408899947,23.3368963810618,23.1377701174933,22.9280435718311,22.7084758263731,22.4798027545273,22.2427364060848,21.9979645701402,21.7461504930655,21.4879327318821,21.2239264414825,20.9547530557755,20.6811092037255,20.4037937316156,20.1236900558202,19.841731008749,19.5588612392814,19.2760041764208,18.9940362076357,18.7137683151422,18.4359344656987,18.1611855182029,17.8900873727497,17.6231222772216,17.3606922691671,17.1031240377894,16.8506745801249,16.6035372606377,16.3618479248135,16.1256908670788,15.8951045468829,15.670086944738,15.4506005282083,15.2365768133526,15.0279205493638,14.824513524159,14.6262180014813,14.4328798601392,14.2443314264577,14.0603940483782,13.8808804310188,13.7055967510714,13.534344584268,13.3669226462195,13.2031283771313,13.0427593774109,12.8856146981553,12.731496011569,12.5802086541372,12.4315625545942,12.2853730592954,12.1414616471424,11.9996565500035,11.8597932802535,11.7217150660605,11.5852732042305,11.4503273317034,11.3167456253569,11.1844049186255,11.0531907741633,10.9229974781344,10.7937279831469,10.6652938007705,10.5376148478195,10.4106192515801,10.2842431187479,10.158430272825,10.0331319645216,9.90830655955097,9.78391920797823,9.65994149906502,9.53635110530218,9.4131314190612,9.29027118503041,9.16776413133085,9.04560860193469,8.92380719274153,8.80236639340549,8.68129623675142,8.56060995866482,8.44032366108832,8.32045601475871,8.20102791169749,8.08206220165575,7.96358341474628
10,11,2,0,1,67.8788136,0,0.302128571729903,0.539743892310036,0.728366793560024,0.879407754436836,1.00139803257311,1.10085747377959,1.18292587161472,1.25184899054015,1.3113901907537,1.3652301500062,1.41741836010008,1.47295018432111,1.53855905355994,1.6238271527782,1.7427067716514,1.90614169877676,2.09695333691258,2.29825552833046,2.4998140610021,2.69573198566664,2.88292170472268,3.06009229801533,3.22707455453232,3.38436675970224,3.53282718729867,3.67346448849437,3.80729603895938,3.93525514099181,4.05813461370356,4.17655807114647,4.29097218607004,4.4016542929462,4.50873047865083,4.61219995390995,4.71196225665867,4.80784461074133,4.89962750616365,4.98706727588076,5.06991501701056,5.14793165809127,5.22089930323062,5.28862919219816,5.3509667339023,5.40779411878546,5.45903100951907,5.50463377091096,5.54459364590706,5.57893421967787,5.60770844903116,5.63099547543896,5.64889738621261,5.6615360428374,5.66905005888871,5.67159198009026,5.66932569620676,5.66242409762849,5.65106697708682,5.63543916851332,5.61572890967874,5.59212641181228,5.56482261815635,5.53400813275335,5.49987230151937,5.46260242840694,5.42238311072934,5.37939567945284,5.33381773130191,5.28582274133449,5.23557974581125,5.18325308636344,5.12900220778315,5.0729815026391,5.01534019676126,4.95622227046656,4.89576641106107,4.83410628998158,4.77137725485303,4.70773188633869,4.6433460907159,4.5784151018921,4.51314552889252,4.44774685139093,4.38242394661972,4.31737124663668,4.25276858087923,4.18877854484956,4.12554511574605,4.06319322668001,4.00182905459017,3.94154079089426,3.88239973329938,3.82446155734398,3.76776767938469,3.71234663207268,3.65821540719136,3.60538074186456,3.5538403236759,3.5035839079137,3.45459434364106,3.40684851485746,3.36031819623858,3.31497082582107,3.27077021058169,3.22767716288561,3.18565007873733,3.14464546230203,3.10461840061502,3.06552299620551,3.02731275769606,2.98994095526246,2.95336094253238,2.91752644581778,2.88239182633454,2.84791231378266,2.81404421400214,2.78074509354773,2.74797393940442,2.71569129744064,2.68385938996152,2.65244221250069,2.62140561206266,2.59071734705102,2.56034713108112,2.53026665809906,2.50044961753901,2.47087169190714,2.44151054280298,2.41234578560211,2.38335895374441,2.35453345379532,2.32585451235453,2.29730911588284,2.26888594447167,2.24057530054473,2.21236903343005,2.18426046069084,2.15624428704762,2.12831652166514,2.10047439451759,2.07271627248466,2.04504157576967,2.01745069517033,1.98994491067382,1.96252631179018,1.93519772027618,1.90796261357318,1.88082505727866,1.85378962620696,1.8268613445243,1.80004562274545
