"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.542243819279225,2.30494788513525,6.47992596771942,14.6397187707952,29.2211456725984,54.1228272580609,95.5939701911345,163.62559367616,274.148143207738,452.492282105641,738.798796490593,1196.36747435728,1924.27638909809,3075.81066362209,4883.83645047258,7607.51315229796,11307.8836045333,16084.2760300149,22112.1275106896,29607.090816408,38792.0803657934,49860.7574452855,62936.9317967101,78034.5276786893,95026.5429973875,113631.921158623,133425.997686793,153874.011220751,174380.873256225,194346.678622854,213217.451866201,230523.634008255,245903.053964107,259108.889918717,270005.525685376,278556.157946724,284805.879363156,288863.250509052,290882.477921435,291047.483799296,289558.494403865,286621.310618035,282439.132534101,277206.64982169,271106.040992172,264304.516194584,256953.062151809,249186.091938798,241121.744883952,232862.637507479,224496.902444534,216099.392200726,207732.958217695,199449.737470103,191292.401803807,183295.339191093,175485.74895751,167884.641111792,160507.736678552,153366.270129044,146467.69802646,139816.319929652,133413.818584303,127259.726876249,121351.829190217,115686.504432406,110259.017710076,105063.767107248,100094.491367283,95344.4438075593,90806.5371242224,86473.4633768073,82337.7926270914,78392.0535735948,74628.7988787116,71040.6583161996,67620.3775216279,64360.8547299172,61255.163017679,58296.5692539717,55478.5483982839,52794.7915630662,50239.2124413635,47805.9497146459,45489.3676579077,43284.0547074266,41184.8205796744,39186.6922589122,37284.9090751815,35474.9171129376,33752.3631295284,32113.0881071742,30553.1206292224,29068.6700726067,27656.1197816823,26312.0202557105,25033.0823974831,23816.1708734268,22658.2976075129,21556.6154367843,20508.4119454592,19511.1034891155,18562.2294181543,17659.4465053102,16800.5235797806,15983.3363682142,15205.8625412414,14466.1769627743,13762.4471382722,13092.9288574449,12455.9620261498,11849.966681885,11273.4391869517,10724.9485931443,10203.1331717569,9706.69710263469,9234.4073160798,8785.09048225891,8357.6301381648,7950.96395153389,7564.08111475596,7196.01986021996,6845.86509341661,6512.74613877606,6195.83459289648,5894.34228025274,5607.51930668082,5334.65220611743,5075.06217626003,4828.10339899397,4593.1614416098,4369.65173500661,4157.01812524375,3954.7314949653,3762.28845137737,3579.21007760911,3405.04074443255,3239.34697945595,3081.71639103837,2931.75664430145,2789.09448673674,2653.37482102445,2524.25982279155,2401.4281011446,2284.57389991512,2173.40633765313,2067.64868449826,1967.03767414664,1871.32284921722,1780.26593840213
2,0,1,1,0,0,818021.22396571,0,0.542243819279225,2.30494788513525,6.47992596771942,14.6397187707952,29.2211456725984,54.1228272580609,95.5939701911345,163.62559367616,274.148143207738,452.492282105641,738.798796490593,1196.36747435728,1924.27638909809,3075.81066362209,4883.83645047258,7607.51315229796,11307.8836045333,16084.2760300149,22112.1275106896,29607.090816408,38792.0803657934,49860.7574452855,62936.9317967101,78034.5276786893,95026.5429973875,113631.921158623,133425.997686793,153874.011220751,174380.873256225,194346.678622854,213217.451866201,230523.634008255,245903.053964107,259108.889918717,270005.525685376,278556.157946724,284805.879363156,288863.250509052,290882.477921435,291047.483799296,289558.494403865,286621.310618035,282439.132534101,277206.64982169,271106.040992172,264304.516194584,256953.062151809,249186.091938798,241121.744883952,232862.637507479,224496.902444534,216099.392200726,207732.958217695,199449.737470103,191292.401803807,183295.339191093,175485.74895751,167884.641111792,160507.736678552,153366.270129044,146467.69802646,139816.319929652,133413.818584303,127259.726876249,121351.829190217,115686.504432406,110259.017710076,105063.767107248,100094.491367283,95344.4438075593,90806.5371242224,86473.4633768073,82337.7926270914,78392.0535735948,74628.7988787116,71040.6583161996,67620.3775216279,64360.8547299172,61255.163017679,58296.5692539717,55478.5483982839,52794.7915630662,50239.2124413635,47805.9497146459,45489.3676579077,43284.0547074266,41184.8205796744,39186.6922589122,37284.9090751815,35474.9171129376,33752.3631295284,32113.0881071742,30553.1206292224,29068.6700726067,27656.1197816823,26312.0202557105,25033.0823974831,23816.1708734268,22658.2976075129,21556.6154367843,20508.4119454592,19511.1034891155,18562.2294181543,17659.4465053102,16800.5235797806,15983.3363682142,15205.8625412414,14466.1769627743,13762.4471382722,13092.9288574449,12455.9620261498,11849.966681885,11273.4391869517,10724.9485931443,10203.1331717569,9706.69710263469,9234.4073160798,8785.09048225891,8357.6301381648,7950.96395153389,7564.08111475596,7196.01986021996,6845.86509341661,6512.74613877606,6195.83459289648,5894.34228025274,5607.51930668082,5334.65220611743,5075.06217626003,4828.10339899397,4593.1614416098,4369.65173500661,4157.01812524375,3954.7314949653,3762.28845137737,3579.21007760911,3405.04074443255,3239.34697945595,3081.71639103837,2931.75664430145,2789.09448673674,2653.37482102445,2524.25982279155,2401.4281011446,2284.57389991512,2173.40633765313,2067.64868449826,1967.03767414664,1871.32284921722,1780.26593840213
3,0,1,0,1,0,2335.27250675705,0,0.301828925914186,0.538061434160896,0.72533212351358,0.878927283860984,1.01460681672088,1.15067080724308,1.3107909288179,1.52822084876668,1.85226218735856,2.35829675261818,3.16334770390015,4.44999794030884,6.50246708046651,9.7592397877672,14.885487288499,22.6211493221316,33.1409990062732,46.7288498206564,63.8854477848914,85.2261325994665,111.386876655155,142.920166207056,180.179234123086,223.203900219516,271.632056371065,324.662233909647,381.083400674505,439.370532397541,497.826550210001,554.740629003618,608.532918946147,657.864304402289,701.701915625726,739.341834320488,770.397277706188,794.763257442753,812.568336414059,824.122075802232,829.864210578349,830.319219544848,826.058078176372,817.66766042447,805.727424091476,790.792557752207,773.382571464655,753.974289322482,732.99827026971,710.837809342183,687.829792928073,664.266840293199,640.400266378593,616.443514664317,592.575804799777,568.94580170959,545.6751784424,522.861984858662,500.58377098083,478.900436863244,457.856800140448,437.484884377853,417.805939964318,398.832214782808,380.568494704775,363.013435224732,346.160706032296,329.999969221379,314.517711079746,299.697945822107,285.522807837923,271.973047640446,259.028444800701,246.668150100019,234.870966809379,223.615580624599,212.880745948641,202.645437441394,192.888960509116,183.591056061202,174.731963923142,166.292476866746,158.253981371091,150.598480602614,143.308612732651,136.367657792267,129.759539386431,123.468820598685,117.480695764495,111.780979018779,106.356090249902,101.193039145237,96.2794078393264,91.6033325172818,87.1534845174087,82.9190509100817,78.8897150238531,75.0556370108223,71.4074345866884,67.9361640890279,64.6333019174516,61.4907264349391,58.5007003787073,55.6558538134016,52.9491676528332,50.3739577638486,47.9238596596498,45.5928137832483,43.3750513772792,41.2650809322619,39.2576752024517,37.347858776359,35.530896186975,33.8022805457297,32.1577226832752,30.5931407795717,29.1046504655577,27.6885553785083,26.341338153426,25.0596518351938,23.8403116831089,22.6802873660957,21.5766955287285,20.526792703659,19.5279685599525,18.5777394730064,17.6737424008079,16.8137290525208,15.995560335983,15.2172010712183,14.4767149575985,13.7722597828065,13.1020828622573,12.4645166981252,11.8579748475993,11.2809479904545,10.7320001864671,10.2097653136334,9.7129436785665,9.24029879083578,8.79065429340244,8.36289104166314,7.95594432396707,7.56880121680497,7.20049806818927,6.8501181030504,6.51678914476692,6.19968144722628,5.89800563207961,5.6110107261087,5.33798229386555,5.07824066097704
4,0,1,1,1,0,2335.27250675705,0,0.301828925914186,0.538061434160896,0.72533212351358,0.878927283860984,1.01460681672088,1.15067080724308,1.3107909288179,1.52822084876668,1.85226218735856,2.35829675261818,3.16334770390015,4.44999794030884,6.50246708046651,9.7592397877672,14.885487288499,22.6211493221316,33.1409990062732,46.7288498206564,63.8854477848914,85.2261325994665,111.386876655155,142.920166207056,180.179234123086,223.203900219516,271.632056371065,324.662233909647,381.083400674505,439.370532397541,497.826550210001,554.740629003618,608.532918946147,657.864304402289,701.701915625726,739.341834320488,770.397277706188,794.763257442753,812.568336414059,824.122075802232,829.864210578349,830.319219544848,826.058078176372,817.66766042447,805.727424091476,790.792557752207,773.382571464655,753.974289322482,732.99827026971,710.837809342183,687.829792928073,664.266840293199,640.400266378593,616.443514664317,592.575804799777,568.94580170959,545.6751784424,522.861984858662,500.58377098083,478.900436863244,457.856800140448,437.484884377853,417.805939964318,398.832214782808,380.568494704775,363.013435224732,346.160706032296,329.999969221379,314.517711079746,299.697945822107,285.522807837923,271.973047640446,259.028444800701,246.668150100019,234.870966809379,223.615580624599,212.880745948641,202.645437441394,192.888960509116,183.591056061202,174.731963923142,166.292476866746,158.253981371091,150.598480602614,143.308612732651,136.367657792267,129.759539386431,123.468820598685,117.480695764495,111.780979018779,106.356090249902,101.193039145237,96.2794078393264,91.6033325172818,87.1534845174087,82.9190509100817,78.8897150238531,75.0556370108223,71.4074345866884,67.9361640890279,64.6333019174516,61.4907264349391,58.5007003787073,55.6558538134016,52.9491676528332,50.3739577638486,47.9238596596498,45.5928137832483,43.3750513772792,41.2650809322619,39.2576752024517,37.347858776359,35.530896186975,33.8022805457297,32.1577226832752,30.5931407795717,29.1046504655577,27.6885553785083,26.341338153426,25.0596518351938,23.8403116831089,22.6802873660957,21.5766955287285,20.526792703659,19.5279685599525,18.5777394730064,17.6737424008079,16.8137290525208,15.995560335983,15.2172010712183,14.4767149575985,13.7722597828065,13.1020828622573,12.4645166981252,11.8579748475993,11.2809479904545,10.7320001864671,10.2097653136334,9.7129436785665,9.24029879083578,8.79065429340244,8.36289104166314,7.95594432396707,7.56880121680497,7.20049806818927,6.8501181030504,6.51678914476692,6.19968144722628,5.89800563207961,5.6110107261087,5.33798229386555,5.07824066097704
5,0,2,0,0,0,527895.493723415,0,0.460304575228098,1.69140540678767,4.42740804354274,9.57704195553017,18.5084085679044,33.3876696773824,57.6733736998952,96.884969661618,159.81436357096,260.433665546432,420.879993828185,676.070194776345,1080.69839418495,1719.51274726931,2721.61240010833,4231.33786770863,6283.65991967259,8935.62987376086,12288.2926217041,16467.8842653777,21608.788511879,27834.4576205083,35235.6469689913,43848.029666511,53633.3548709347,64468.871980296,76148.4636304592,88396.1134680652,100889.18023012,113286.757130103,125257.848174342,136505.055416518,146781.271586725,155898.729894062,163731.169928286,170210.664519015,175320.883021761,179088.42581219,181573.534886595,182861.105765314,183052.578182073,182259.004299375,180595.391374096,178176.282623863,175112.461199698,171508.624011246,167461.859971192,163060.774326984,158385.111466932,153505.754120576,148484.992133178,143376.975371823,138228.284692984,133078.567827031,127961.20193106,122903.953933438,117929.619171006,113056.62481098,108299.590132374,103669.83926174,99175.8649665118,94823.7439721812,90617.505770551,86559.4576218491,82650.4691005091,78890.2196846262,75277.4130171962,71809.9613724968,68485.1436616414,65299.7401412489,62250.1466831707,59332.4713061864,56542.6152225771,53876.3405926498,51329.3268098366,48897.217387205,46575.6563963819,44360.3218553155,42246.9490997506,40231.3506303249,38309.4324120914,36477.2047361961,34730.7917898007,33066.4376721228,31480.5107776585,29969.5063046118,28530.0473694196,27158.8849984327,25852.8971743584,24609.087143745,23424.5811420568,22296.6256361677,21222.5842719249,20199.9345052119,19226.2640751927,18299.2673531117,17416.7416141804,16576.5832820882,15776.7841734328,15015.4277719334,14290.6855538063,13600.8133806955,12944.1479736424,12319.1034780628,11724.1681272088,11157.9010092231,10618.9289414341,10105.9434538206,9617.69788247119,9153.00457298636,8710.73219284689,8289.80315127167,7889.19112456415,7507.91868454606,7145.05502743703,6799.71380029268,6471.05102201684,6158.2630963049,5860.58491098349,5577.28802381027,5307.67893082056,5051.09741227693,4806.91495413347,4574.53324211836,4353.38272527759,4142.92124603961,3942.63273396046,3752.02596039251,3570.63335141233,3398.00985643387,3233.73187002591,3077.39620454594,2928.61911129371,2787.03534797857,2652.2972903838,2524.07408619799,2402.05084906831,2285.9278910134,2175.419991413,2070.25570086948,1970.17667831079,1874.93705977678,1784.30285740015,1698.05138716033,1615.97072405271,1537.85918337737,1463.52482691083,1392.78499278076,1325.46584791828,1261.40196201438
6,0,2,1,0,0,527895.493723415,0,0.460304575228098,1.69140540678767,4.42740804354274,9.57704195553017,18.5084085679044,33.3876696773824,57.6733736998952,96.884969661618,159.81436357096,260.433665546432,420.879993828185,676.070194776345,1080.69839418495,1719.51274726931,2721.61240010833,4231.33786770863,6283.65991967259,8935.62987376086,12288.2926217041,16467.8842653777,21608.788511879,27834.4576205083,35235.6469689913,43848.029666511,53633.3548709347,64468.871980296,76148.4636304592,88396.1134680652,100889.18023012,113286.757130103,125257.848174342,136505.055416518,146781.271586725,155898.729894062,163731.169928286,170210.664519015,175320.883021761,179088.42581219,181573.534886595,182861.105765314,183052.578182073,182259.004299375,180595.391374096,178176.282623863,175112.461199698,171508.624011246,167461.859971192,163060.774326984,158385.111466932,153505.754120576,148484.992133178,143376.975371823,138228.284692984,133078.567827031,127961.20193106,122903.953933438,117929.619171006,113056.62481098,108299.590132374,103669.83926174,99175.8649665118,94823.7439721812,90617.505770551,86559.4576218491,82650.4691005091,78890.2196846262,75277.4130171962,71809.9613724968,68485.1436616414,65299.7401412489,62250.1466831707,59332.4713061864,56542.6152225771,53876.3405926498,51329.3268098366,48897.217387205,46575.6563963819,44360.3218553155,42246.9490997506,40231.3506303249,38309.4324120914,36477.2047361961,34730.7917898007,33066.4376721228,31480.5107776585,29969.5063046118,28530.0473694196,27158.8849984327,25852.8971743584,24609.087143745,23424.5811420568,22296.6256361677,21222.5842719249,20199.9345052119,19226.2640751927,18299.2673531117,17416.7416141804,16576.5832820882,15776.7841734328,15015.4277719334,14290.6855538063,13600.8133806955,12944.1479736424,12319.1034780628,11724.1681272088,11157.9010092231,10618.9289414341,10105.9434538206,9617.69788247119,9153.00457298636,8710.73219284689,8289.80315127167,7889.19112456415,7507.91868454606,7145.05502743703,6799.71380029268,6471.05102201684,6158.2630963049,5860.58491098349,5577.28802381027,5307.67893082056,5051.09741227693,4806.91495413347,4574.53324211836,4353.38272527759,4142.92124603961,3942.63273396046,3752.02596039251,3570.63335141233,3398.00985643387,3233.73187002591,3077.39620454594,2928.61911129371,2787.03534797857,2652.2972903838,2524.07408619799,2402.05084906831,2285.9278910134,2175.419991413,2070.25570086948,1970.17667831079,1874.93705977678,1784.30285740015,1698.05138716033,1615.97072405271,1537.85918337737,1463.52482691083,1392.78499278076,1325.46584791828,1261.40196201438
7,0,2,0,1,0,171228.02725029,0,0.352766988564486,0.908741961812116,1.91500512686598,3.67362784276057,6.63433263407473,11.5045946649528,19.4101807892509,32.1445867017966,52.5621479153348,85.1969403550556,137.231011407881,219.991268577022,351.219241754365,558.404464205955,883.421826642186,1373.08971257792,2038.75158931126,2898.91279892266,3986.34821066719,5342.00356513129,7009.46728072569,9028.78204696536,11429.3850706404,14222.8472346022,17396.7616791468,20911.3134731914,24699.6471130818,28672.2348863796,32724.4259752883,36745.645012316,40628.5312557022,44276.6217077526,47609.7654800767,50567.0591575047,53107.5493232107,55209.2033301041,56866.7242036793,58088.7399284518,58894.7903702694,59312.4119281557,59374.5072261188,59117.096743251,58577.4838201243,57792.8212837413,56799.0423593872,55630.1061605429,54317.5040974482,52889.9758483332,51373.3870140887,49790.7288588921,48162.205488975,46505.380755683,44835.3634525523,43165.0135686189,41505.1571917743,39864.8006958478,38251.3378867692,36670.7457264157,35127.766063563,33626.0719430767,32168.4180403198,30756.7753719933,29392.4509215032,28076.193055518,26808.2838182481,25588.6192386989,24416.7788276977,23292.0854107632,22213.6563782309,21180.4473788827,20191.2893840704,19244.9199983932,18340.0097476739,17475.1840555719,16649.0415000139,15860.1690211309,15107.1537404501,14388.5937904268,13703.1058951251,13049.3318077446,12425.9435974679,11831.6471725095,11265.1853841736,10725.3399781894,10210.9330164295,9720.82769052881,9253.92868338074,8809.18216643241,8385.57549038561,7982.13663621213,7597.93347726131,7232.07288483897,6883.6997381246,6551.99583142932,6236.17873026482,5935.5005870481,5649.24693185888,5376.73545431818,5117.31478544052,4870.36328914676,4635.28787037213,4411.522805086,4198.52859659771,3995.79086138108,3802.8192468436,3619.14638269636,3444.3268671085,3277.9362882717,3119.57028164219,2968.84362284359,2825.3893559138,2688.85795641681,2558.91652877068,2435.2480370125,2317.55056814383,2205.53662711993,2098.93246251478,1997.47742200469,1900.92333587519,1809.03392857189,1721.58425702596,1638.36017415087,1559.15781683265,1483.7831174746,1412.0513380722,1343.7866258645,1278.82158964082,1216.99689580846,1158.16088335716,1102.1691968855,1048.88443688452,998.175826504008,949.918894056504,903.995170543505,860.291901517314,818.701772620044,779.122648168945,741.457322183877,705.613281278791,671.502478864113,639.041120131259,608.149457313857,578.751594742844,550.77530323425,524.151843369358,498.815797246937,474.70490830642,451.759928839356,429.924474824042,409.144887735171
8,0,2,1,1,0,171228.02725029,0,0.352766988564486,0.908741961812116,1.91500512686598,3.67362784276057,6.63433263407473,11.5045946649528,19.4101807892509,32.1445867017966,52.5621479153348,85.1969403550556,137.231011407881,219.991268577022,351.219241754365,558.404464205955,883.421826642186,1373.08971257792,2038.75158931126,2898.91279892266,3986.34821066719,5342.00356513129,7009.46728072569,9028.78204696536,11429.3850706404,14222.8472346022,17396.7616791468,20911.3134731914,24699.6471130818,28672.2348863796,32724.4259752883,36745.645012316,40628.5312557022,44276.6217077526,47609.7654800767,50567.0591575047,53107.5493232107,55209.2033301041,56866.7242036793,58088.7399284518,58894.7903702694,59312.4119281557,59374.5072261188,59117.096743251,58577.4838201243,57792.8212837413,56799.0423593872,55630.1061605429,54317.5040974482,52889.9758483332,51373.3870140887,49790.7288588921,48162.205488975,46505.380755683,44835.3634525523,43165.0135686189,41505.1571917743,39864.8006958478,38251.3378867692,36670.7457264157,35127.766063563,33626.0719430767,32168.4180403198,30756.7753719933,29392.4509215032,28076.193055518,26808.2838182481,25588.6192386989,24416.7788276977,23292.0854107632,22213.6563782309,21180.4473788827,20191.2893840704,19244.9199983932,18340.0097476739,17475.1840555719,16649.0415000139,15860.1690211309,15107.1537404501,14388.5937904268,13703.1058951251,13049.3318077446,12425.9435974679,11831.6471725095,11265.1853841736,10725.3399781894,10210.9330164295,9720.82769052881,9253.92868338074,8809.18216643241,8385.57549038561,7982.13663621213,7597.93347726131,7232.07288483897,6883.6997381246,6551.99583142932,6236.17873026482,5935.5005870481,5649.24693185888,5376.73545431818,5117.31478544052,4870.36328914676,4635.28787037213,4411.522805086,4198.52859659771,3995.79086138108,3802.8192468436,3619.14638269636,3444.3268671085,3277.9362882717,3119.57028164219,2968.84362284359,2825.3893559138,2688.85795641681,2558.91652877068,2435.2480370125,2317.55056814383,2205.53662711993,2098.93246251478,1997.47742200469,1900.92333587519,1809.03392857189,1721.58425702596,1638.36017415087,1559.15781683265,1483.7831174746,1412.0513380722,1343.7866258645,1278.82158964082,1216.99689580846,1158.16088335716,1102.1691968855,1048.88443688452,998.175826504008,949.918894056504,903.995170543505,860.291901517314,818.701772620044,779.122648168945,741.457322183877,705.613281278791,671.502478864113,639.041120131259,608.149457313857,578.751594742844,550.77530323425,524.151843369358,498.815797246937,474.70490830642,451.759928839356,429.924474824042,409.144887735171
9,11,2,0,0,1,292.1211864,0,0.305511292712975,0.562823727697286,0.79515818864543,1.01590529106432,1.23255297206893,1.44928201923786,1.6687410407264,1.89336321379495,2.12650529544517,2.37365789883543,2.64398659660934,2.95251191690338,3.32330971320902,3.79417703793482,4.42316142147416,5.27433716658818,6.35892965316152,7.70007353330922,9.34368736395395,11.3497574498983,13.7847179475385,16.7130420084637,20.1875089468574,24.2387938246467,28.8660142813796,34.0302958507622,39.6530945624084,45.6199918698971,51.7893527774823,58.0041511305847,64.1047729911752,69.9407622781123,75.380078980994,80.3151979712533,84.6660442080239,88.3802149961731,91.431161985038,93.8150435896716,95.546879492801,96.6565050457509,97.1846783826139,97.1795624301445,96.6936991525141,95.7815163626781,94.4973552976937,92.8939756328071,91.0214776912774,88.9265766060035,86.6521616491196,84.2370823862471,81.7161075051973,79.1200109465811,76.4757485958845,73.8066947346104,71.1329148950705,68.4714565832378,65.8366444855987,63.2403701121044,60.6923691654455,58.2004820551498,55.7708949664697,53.4083601122331,51.1163949503462,48.8974607289984,46.7531212991551,44.684183398634,42.6908198190629,40.7726769454963,38.9289681572784,37.1585545627499,35.4600144465742,33.8317027691189,32.2718018690306,30.7783645034264,29.3493501950024,27.9826559760572,26.6761411374522,25.4276495782811,24.2350265923669,23.0961331469644,22.0088580485509,20.9711265639694,19.9809082513182,19.0362224532418,18.1351426976744,17.275799833545,16.4563842010722,15.6751470112169,14.9304010435918,14.2205207962034,13.5439421894552,12.8991618863346,12.2847363604512,11.6992806918781,11.1414672007338,10.6100239426921,10.1037331002108,9.62142930433942,9.16199790840971,8.72437323559032,8.3075368171776,7.91051563512703,7.53238038002174,7.1722437335259,6.82925868248554,6.5026168701286,6.1915469888201,5.89531321749626,5.61321370608548,5.34457910854064,5.08877116536534,4.84518133610228,4.61322948180325,4.39236259714146,4.18205359158975,3.98180011884154,3.79112345351325,3.6095674142303,3.43669733072469,3.27209905525549,3.11537801665249,2.96615831473837,2.82408185421318,2.68880751669377,2.56001036943071,2.43738090930295,2.32062434072091,2.20945988609117,2.10362012752788,2.00285037852623,1.90690808434962,1.81556224991885,1.72859289402951,1.64579052876253,1.56695566299235,1.49189832893588,1.42043763072495,1.35240131402305,1.2876253557455,1.22595357297929,1.16723725023522,1.11133478420059,1.05811134519509,1.00743855456615,0.95919417729242,0.913261829095394,0.869530697389507,0.827895275430345,0.788255109048611,0.750514555384698
10,11,2,0,1,1,67.8788136,0,0.302128571730584,0.539743892314687,0.728366793573547,0.879407754464658,1.00139803262062,1.10085747385188,1.18292587171656,1.25184899067605,1.31139019092808,1.36523015015569,1.41741836012128,1.47295018421324,1.53855905350949,1.62382715280196,1.74270677091493,1.91034485839502,2.12981325620515,2.40676368246887,2.75190515450788,3.17905181356512,3.7034153114745,4.33971642895713,5.09999551971809,5.99126818226538,7.01339579887256,8.15763685507321,9.40627205984169,10.7334649744615,12.107220678579,13.4920594314177,14.8519108807441,16.1527689784492,17.3647846797986,18.4636446693282,19.431235205541,20.2556929275151,20.9309946199083,21.4562465109422,21.8348158213748,22.0734170429693,22.1812326639818,22.1691185455738,22.0489204657729,21.8329109491604,21.5333437214099,21.162116005448,20.730525053232,20.2491041766653,19.7275231928003,19.1745401047426,18.597991786661,18.0048134239583,17.4010784094863,16.792051738006,16.1822516232621,15.5755151507881,14.9750649432285,14.3835745685677,13.8032311756986,13.2357943225161,12.6826504115658,12.1448624234521,11.6232148989961,11.1182542519939,10.6303246248819,10.1595995593965,9.70610980107118,9.26976757413298,8.85038766308189,8.44770563362114,8.06139350440482,7.69107317217841,7.33632785034755,6.99671177723171,6.67175841295541,6.36098737172785,6.06390999771314,5.78003440488582,5.50886925529485,5.24992697408357,5.00272648683791,4.76679515731439,4.54167054654122,4.32690164461755,4.12204985600502,3.9266896995037,3.74040929053357,3.56281064513568,3.39350983037718,3.23213699127051,3.07833627732528,2.93176568272525,2.79209682982004,2.65901469143459,2.53221727679083,2.4114152864986,2.29633174423821,2.18670161299712,2.08227140066225,1.98279875992279,1.88805208628475,1.79781011723794,1.71186153509559,1.63000457554148,1.55204664349414,1.47780393751166,1.40710108373594,1.33977078007473,1.27565345113581,1.21459691427362,1.1564560569414,1.1010925254485,1.04837442512159,0.998176031787534,0.95037751444261,0.90486466891707,0.861528662313233,0.820265788010279,0.780977230693256,0.743568841475799,0.707950922728055,0.674038022097149,0.641748735510924,0.611005518866378,0.581734508065693,0.553865347080619,0.527331023733026,0.502067712884628,0.478014626736227,0.455113871943821,0.433310313267175,0.412551443474945,0.392787259238994,0.373970142759518,0.356054748871526,0.338997897392126,0.322758470477042,0.30729731476351,0.292577148085426,0.278562470555075,0.265219479814079,0.252515990264303,0.240421356097312,0.228906397948603,0.217943333010237,0.207505708442638,0.197568337933204,0.188107241256077,0.179099586693767,0.170523636187546
