"ego","naics","age","sick","wfh","shift","work_poi","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,0,1474458.23637445,0,15.1656229140977,31.4859441346768,53.0163758414129,83.9740404501613,130.070655409006,200.371242030058,310.934607048197,491.558331537388,794.358174366781,1301.73359264698,2137.05775474051,3482.94802763448,5608.49135423003,8904.75052802835,13925.2324704762,21421.9926296894,32357.8718067506,47173.4375140044,63960.8642828838,80945.8018695139,97010.59436973,111497.892205211,124067.83745442,134594.93029625,143094.116472865,149668.347497877,154471.835839947,157684.725709816,159496.0010717,160092.30715331,159650.962445069,158335.906595464,156295.672756382,153662.725466573,150553.69081518,147070.143846987,143299.718368668,139317.377339974,135186.734460056,130961.355755549,126685.996470083,122397.747768451,118127.080209968,113898.780147879,109732.780597886,105644.891869611,101647.439246815,97749.8160070758,93958.9604042102,90279.7651587324,86715.4275063127,83267.7472326661,79937.3796278758,76724.0493770327,73626.7309227903,70643.8000356062,67773.1608187656,65012.3517648406,62358.6340557483,59809.0648090338,57360.5575776122,55009.9321254436,52753.9552022283,50589.3736984795,48512.9414691887,46521.4408375646,44611.6996691178,42780.6047571544,41025.1121482915,39342.2549257406,37729.1489056983,36182.9966180097,34701.0898628128,33280.8111295214,31919.6340788996,30615.1232756433,29364.9333223512,28166.8075186549,27018.5761511849,25918.1544996442,24863.5406303931,23852.8130359895,22884.1281685756,21955.7179063975,21065.8869851924,20213.0104202489,19395.5309397738,18611.9564459873,17860.8575169168,17140.8649589096,16450.6674175304,15789.0090525352,15154.6872809864,14546.5505912678,13963.4964296702,13404.4846408825,12868.5687736052,12354.8335800489,11862.3879298578,11390.3707096208,10937.9527212575,10504.3365148695,10088.7552830717,9690.47143097048,9308.77514211352,8942.9830806243,8592.43727335036,8256.50416514968,7934.573818713,7633.46723739039,7382.8627838086,7204.99421823948,7111.82933495773,7109.33687175777,7200.12990337127,7385.09351118911,7664.38045530766,8038.01257086713,8506.23788078774,9069.73667433423,9729.73445453168,10488.0576154497,11347.1544863362,12310.0943482732,13380.5531269687,14562.7891428777,15861.6127478356,17282.3485178518,18830.792418213,20513.1622204303,22336.0379482366,24306.2961319537,26431.033718471,28717.4782041435,31172.8863058514,33804.4283999382,36619.0605118288,39623.377519734,42823.4505535661,46224.6507513587,49831.457899332,53647.2562296614,57674.1201223411,61912.5930697937,66361.4644578654,71017.5497040821,75875.4801874554,80927.5103002625,86163.3496151795,91570.0285426528
2,0,1,0,0,1,0,1474458.23637445,0,15.1656229140977,31.4859441346768,53.0163758414129,83.9740404501613,130.070655409006,200.371242030058,310.934607048197,491.558331537388,794.358174366781,1301.73359264698,2137.05775474051,3482.94802763448,5608.49135423003,8904.75052802835,13925.2324704762,21421.9926296894,32357.8718067506,47173.4375140044,63960.8642828838,80945.8018695139,97010.59436973,111497.892205211,124067.83745442,134594.93029625,143094.116472865,149668.347497877,154471.835839947,157684.725709816,159496.0010717,160092.30715331,159650.962445069,158335.906595464,156295.672756382,153662.725466573,150553.69081518,147070.143846987,143299.718368668,139317.377339974,135186.734460056,130961.355755549,126685.996470083,122397.747768451,118127.080209968,113898.780147879,109732.780597886,105644.891869611,101647.439246815,97749.8160070758,93958.9604042102,90279.7651587324,86715.4275063127,83267.7472326661,79937.3796278758,76724.0493770327,73626.7309227903,70643.8000356062,67773.1608187656,65012.3517648406,62358.6340557483,59809.0648090338,57360.5575776122,55009.9321254436,52753.9552022283,50589.3736984795,48512.9414691887,46521.4408375646,44611.6996691178,42780.6047571544,41025.1121482915,39342.2549257406,37729.1489056983,36182.9966180097,34701.0898628128,33280.8111295214,31919.6340788996,30615.1232756433,29364.9333223512,28166.8075186549,27018.5761511849,25918.1544996442,24863.5406303931,23852.8130359895,22884.1281685756,21955.7179063975,21065.8869851924,20213.0104202489,19395.5309397738,18611.9564459873,17860.8575169168,17140.8649589096,16450.6674175304,15789.0090525352,15154.6872809864,14546.5505912678,13963.4964296702,13404.4846408825,12868.5687736052,12354.8335800489,11862.3879298578,11390.3707096208,10937.9527212575,10504.3365148695,10088.7552830717,9690.47143097048,9308.77514211352,8942.9830806243,8592.43727335036,8256.50416514968,7934.573818713,7633.46723739039,7382.8627838086,7204.99421823948,7111.82933495773,7109.33687175777,7200.12990337127,7385.09351118911,7664.38045530766,8038.01257086713,8506.23788078774,9069.73667433423,9729.73445453168,10488.0576154497,11347.1544863362,12310.0943482732,13380.5531269687,14562.7891428777,15861.6127478356,17282.3485178518,18830.792418213,20513.1622204303,22336.0379482366,24306.2961319537,26431.033718471,28717.4782041435,31172.8863058514,33804.4283999382,36619.0605118288,39623.377519734,42823.4505535661,46224.6507513587,49831.457899332,53647.2562296614,57674.1201223411,61912.5930697937,66361.4644578654,71017.5497040821,75875.4801874554,80927.5103002625,86163.3496151795,91570.0285426528
3,0,1,1,0,0,0,4209.25726727975,0,0.0432945517812406,0.0898855158433901,0.151350211074157,0.239727603880344,0.371323404104311,0.572016274087737,0.887650610969232,1.40329202161966,2.26771965172657,3.71616601253123,6.10083464069956,9.94305836218674,16.011021817286,25.4211241449484,39.7535071044401,61.1551252735747,92.3746795237692,134.669894188826,182.594342899957,231.082641996588,276.944127192092,318.302208548938,354.186665690052,384.239223948167,408.502550163393,427.270548493989,440.983461965086,450.155563079982,455.326359913674,457.028683957595,455.768740898708,452.014542742891,446.190119302303,438.67362799683,429.798010920838,419.853242713749,409.08949881526,397.720782155618,385.928695996852,373.866159683387,361.660939692326,349.41892322421,337.227097092273,325.156220938903,313.263199184413,301.593166820773,290.181309849847,279.054444034148,268.232376577828,257.729075132784,247.553667110799,237.711290508266,228.203816035713,219.030457729011,210.188287845205,201.672669562555,193.47761955223,185.596110746406,178.020324415711,170.741859271419,163.751904179038,157.04138025703,150.601057279684,144.421648327635,138.493886363588,132.808585620809,127.356690345922,122.129313011578,117.117763793554,112.313572790332,107.708506285056,103.294578109459,99.0640569425242,95.0094703613745,91.1236062174889,87.3995118732817,83.8304917297785,80.4101033987228,77.1321528208035,73.9906885734272,70.9799955718849,68.0945883307515,65.3292039222435,62.6787947436834,60.1385211846692,57.7037442676178,55.3700183205859,53.1330837292501,50.9888598050717,48.9334377982531,46.9630740773702,45.0741834919299,43.2633329294545,41.5272350749693,39.862742377667,38.2668854205819,36.7369622913014,35.2703601566411,33.8645350334391,32.517028630376,31.2254737674531,29.9875938988194,28.8011999563288,27.6641862671385,26.5745264598078,25.5302697591754,24.5295377951351,23.5705219056851,22.6514808525939,21.7918871154567,21.0764659584318,20.5686899266851,20.302724467417,20.2956090276039,20.5548033667242,21.0828341994617,21.880137622635,22.9467759708157,24.283457295445,25.8921236742712,27.7762736516321,29.9411211849807,32.393655721305,35.1426393898954,38.1985661583787,41.5735926045947,45.2814512357937,49.3373425572935,53.7578127881745,58.560612312458,63.7645256653945,69.3891838439953,75.4548470865851,81.9821483217925,88.9918038964837,96.5042836740896,104.539445592833,113.116116594267,122.251628432571,131.961314537506,142.257963723456,153.151237236518,164.64705697997,176.746974506357,189.447533775828,202.739643498721,216.60797743089,231.030423548549,245.97760492197,261.412496196528
4,0,1,1,0,1,0,4209.25726727975,0,0.0432945517812406,0.0898855158433901,0.151350211074157,0.239727603880344,0.371323404104311,0.572016274087737,0.887650610969232,1.40329202161966,2.26771965172657,3.71616601253123,6.10083464069956,9.94305836218674,16.011021817286,25.4211241449484,39.7535071044401,61.1551252735747,92.3746795237692,134.669894188826,182.594342899957,231.082641996588,276.944127192092,318.302208548938,354.186665690052,384.239223948167,408.502550163393,427.270548493989,440.983461965086,450.155563079982,455.326359913674,457.028683957595,455.768740898708,452.014542742891,446.190119302303,438.67362799683,429.798010920838,419.853242713749,409.08949881526,397.720782155618,385.928695996852,373.866159683387,361.660939692326,349.41892322421,337.227097092273,325.156220938903,313.263199184413,301.593166820773,290.181309849847,279.054444034148,268.232376577828,257.729075132784,247.553667110799,237.711290508266,228.203816035713,219.030457729011,210.188287845205,201.672669562555,193.47761955223,185.596110746406,178.020324415711,170.741859271419,163.751904179038,157.04138025703,150.601057279684,144.421648327635,138.493886363588,132.808585620809,127.356690345922,122.129313011578,117.117763793554,112.313572790332,107.708506285056,103.294578109459,99.0640569425242,95.0094703613745,91.1236062174889,87.3995118732817,83.8304917297785,80.4101033987228,77.1321528208035,73.9906885734272,70.9799955718849,68.0945883307515,65.3292039222435,62.6787947436834,60.1385211846692,57.7037442676178,55.3700183205859,53.1330837292501,50.9888598050717,48.9334377982531,46.9630740773702,45.0741834919299,43.2633329294545,41.5272350749693,39.862742377667,38.2668854205819,36.7369622913014,35.2703601566411,33.8645350334391,32.517028630376,31.2254737674531,29.9875938988194,28.8011999563288,27.6641862671385,26.5745264598078,25.5302697591754,24.5295377951351,23.5705219056851,22.6514808525939,21.7918871154567,21.0764659584318,20.5686899266851,20.302724467417,20.2956090276039,20.5548033667242,21.0828341994617,21.880137622635,22.9467759708157,24.283457295445,25.8921236742712,27.7762736516321,29.9411211849807,32.393655721305,35.1426393898954,38.1985661583787,41.5735926045947,45.2814512357937,49.3373425572935,53.7578127881745,58.560612312458,63.7645256653945,69.3891838439953,75.4548470865851,81.9821483217925,88.9918038964837,96.5042836740896,104.539445592833,113.116116594267,122.251628432571,131.961314537506,142.257963723456,153.151237236518,164.64705697997,176.746974506357,189.447533775828,202.739643498721,216.60797743089,231.030423548549,245.97760492197,261.412496196528
5,11,1,0,0,0,0,109.18829073,0,0.00110967418181524,0.00223450300084383,0.0036186483474348,0.0055200192147616,0.00832216261243249,0.0127555810214047,0.0204264720624265,0.0348011952711354,0.0620739242234343,0.111051756657703,0.192756065286233,0.320874067856973,0.513196778741908,0.793727139917906,1.19504285357505,1.76028649638673,2.54378353534508,3.56629350537344,4.70429695593333,5.84483310403624,6.91723687524061,7.88040041683972,8.7135351890961,9.4095186734402,9.97013872819284,10.4027285619776,10.7178154749337,10.9275051129199,11.0443951605036,11.0808682074709,11.0486526445049,10.9585708511683,10.8204161561059,10.6429163542645,10.4337535276865,10.1996188013828,9.94628709243945,9.67870158505658,9.40106101363706,9.11690527115555,8.82919654566038,8.54039440734322,8.25252405628015,7.96723752173607,7.68586794262046,7.40947729273437,7.13889803797031,6.87476927293903,6.61756790307526,6.36763543091417,6.12520087151349,5.89040028075625,5.66329334739886,5.44387743992093,5.23209946777254,5.02786586459751,4.83105096798591,4.64150403067039,4.45905507059112,4.28351973550119,4.11470333217304,3.95240415181492,3.79641620391755,3.64653144857054,3.50254161127455,3.36423964631014,3.23142090685685,3.10388407036845,2.98143186039604,2.86387159883838,2.75101561853718,2.64268156065454,2.53869257607208,2.43887744971017,2.34307066107078,2.25111239342856,2.16284850170101,2.07813044725131,1.99681520668393,1.9187651603525,1.84384796538301,1.77193641715933,1.70290830252007,1.63664624734369,1.57303756069798,1.51197407733381,1.45335199995831,1.39707174243985,1.34303777486551,1.29115847117285,1.24134595991831,1.19351597861041,1.147587731925,1.10348375402995,1.0611297751719,1.02045903457161,0.981421325528676,0.943964420919164,0.90803206673558,0.87356638314569,0.840509367456852,0.8088038191927,0.778393896787549,0.749225439628974,0.721246142397199,0.694405636749414,0.668655515245575,0.643949319973203,0.620242508947455,0.597953706908553,0.578923571284086,0.564516976392051,0.555437983231997,0.551994947520814,0.554268798859434,0.562219354178718,0.575752099034878,0.594759640324798,0.619147004442376,0.648846646267674,0.683826922226943,0.724096431121057,0.769705806009587,0.820747879223805,0.877356898139903,0.939707082158706,1.00801085550871,1.0825167272775,1.16350701628363,1.25129535232756,1.34622381499598,1.44865990946885,1.55899317291063,1.6776312467678,1.80499548641652,1.94151599012716,2.08762608487201,2.24375593818863,2.41032541181963,2.58773619283678,2.77636307971221,2.97654447208215,3.18857212066222,3.41268022074897,3.64903398462588,3.89771787465264,4.15872372521874,4.43193903252944,4.71713573718138,5.01395986335414
6,11,1,0,0,1,0,109.18829073,0,0.00110967418181524,0.00223450300084383,0.0036186483474348,0.0055200192147616,0.00832216261243249,0.0127555810214047,0.0204264720624265,0.0348011952711354,0.0620739242234343,0.111051756657703,0.192756065286233,0.320874067856973,0.513196778741908,0.793727139917906,1.19504285357505,1.76028649638673,2.54378353534508,3.56629350537344,4.70429695593333,5.84483310403624,6.91723687524061,7.88040041683972,8.7135351890961,9.4095186734402,9.97013872819284,10.4027285619776,10.7178154749337,10.9275051129199,11.0443951605036,11.0808682074709,11.0486526445049,10.9585708511683,10.8204161561059,10.6429163542645,10.4337535276865,10.1996188013828,9.94628709243945,9.67870158505658,9.40106101363706,9.11690527115555,8.82919654566038,8.54039440734322,8.25252405628015,7.96723752173607,7.68586794262046,7.40947729273437,7.13889803797031,6.87476927293903,6.61756790307526,6.36763543091417,6.12520087151349,5.89040028075625,5.66329334739886,5.44387743992093,5.23209946777254,5.02786586459751,4.83105096798591,4.64150403067039,4.45905507059112,4.28351973550119,4.11470333217304,3.95240415181492,3.79641620391755,3.64653144857054,3.50254161127455,3.36423964631014,3.23142090685685,3.10388407036845,2.98143186039604,2.86387159883838,2.75101561853718,2.64268156065454,2.53869257607208,2.43887744971017,2.34307066107078,2.25111239342856,2.16284850170101,2.07813044725131,1.99681520668393,1.9187651603525,1.84384796538301,1.77193641715933,1.70290830252007,1.63664624734369,1.57303756069798,1.51197407733381,1.45335199995831,1.39707174243985,1.34303777486551,1.29115847117285,1.24134595991831,1.19351597861041,1.147587731925,1.10348375402995,1.0611297751719,1.02045903457161,0.981421325528676,0.943964420919164,0.90803206673558,0.87356638314569,0.840509367456852,0.8088038191927,0.778393896787549,0.749225439628974,0.721246142397199,0.694405636749414,0.668655515245575,0.643949319973203,0.620242508947455,0.597953706908553,0.578923571284086,0.564516976392051,0.555437983231997,0.551994947520814,0.554268798859434,0.562219354178718,0.575752099034878,0.594759640324798,0.619147004442376,0.648846646267674,0.683826922226943,0.724096431121057,0.769705806009587,0.820747879223805,0.877356898139903,0.939707082158706,1.00801085550871,1.0825167272775,1.16350701628363,1.25129535232756,1.34622381499598,1.44865990946885,1.55899317291063,1.6776312467678,1.80499548641652,1.94151599012716,2.08762608487201,2.24375593818863,2.41032541181963,2.58773619283678,2.77636307971221,2.97654447208215,3.18857212066222,3.41268022074897,3.64903398462588,3.89771787465264,4.15872372521874,4.43193903252944,4.71713573718138,5.01395986335414
7,11,1,1,0,0,0,0.31170879915,0,3.16787820698388e-06,6.37901960396502e-06,1.03304532325197e-05,1.57584531199691e-05,2.37579624784768e-05,3.64144068568167e-05,5.83131307842756e-05,9.93498360897941e-05,0.000177207539827332,0.000317028588686935,0.000550276602349471,0.000916025607703664,0.00146506507758104,0.00226591818575466,0.00341158717963445,0.00502523472324959,0.00726194819791329,0.0101809915563681,0.0134297436581822,0.0166857260600997,0.0197472053587604,0.0224968275840896,0.024875245980915,0.0268621273093313,0.0284625755156181,0.0296975253139165,0.0305970298542732,0.0311956481201502,0.0315293437584033,0.0316334663671143,0.0315414979483496,0.0312843340396694,0.030889932462294,0.030383209170708,0.0297860948367116,0.0291176911655166,0.0283944842881729,0.0276305859194137,0.0268379825318718,0.0260267797493362,0.0252054339738002,0.0243809667426995,0.0235591595613539,0.0227447286136592,0.0219414797209703,0.0211524445872917,0.0203799997215142,0.0196259695996172,0.0188917156827918,0.018178212886429,0.0174861149986609,0.0168158104294134,0.0161674695770913,0.0155410849292771,0.0149365049240086,0.014353462449709,0.0137915987675552,0.0132504835269175,0.0127296314660211,0.0122285162993356,0.011746582220082,0.0112832533935729,0.0108379417617497,0.0104100534159596,0.00999899377784952,0.00960417177696533,0.00922500319118742,0.00886091328847531,0.0085113388875155,0.00817572993427609,0.00785355067987626,0.00754428052953433,0.00724741461751837,0.00696246416205046,0.00668895663814343,0.00642643580383939,0.00617446160848605,0.00593261000661291,0.00570047269756271,0.00547765680720566,0.00526378452544814,0.00505849271080431,0.00486143247130483,0.00467226872938572,0.00449067977696889,0.00431635682581631,0.00414900355725401,0.00398833567455665,0.00383408046062024,0.003685976342984,0.00354377246780664,0.00340722828401939,0.00327611313856137,0.00315020588334665,0.00302929449439823,0.00291318838422561,0.00280174422362939,0.00269481291554089,0.00259223386701549,0.00249384184373294,0.00239947126063323,0.0023089588228092,0.00222214511474783,0.00213887551969171,0.00205900071734002,0.0019823769170395,0.00190886592608741,0.00183833511725773,0.00177065733288079,0.00170702765545303,0.0016527007612091,0.00161157306918633,0.00158565452026051,0.00157582540287267,0.00158231675341464,0.0016050138579721,0.00164364689838435,0.00169790929072206,0.00176752990601607,0.0018523159176539,0.00195217699012148,0.00206713767112329,0.00219734250702132,0.00234305651391124,0.00250466293882571,0.00268265914022556,0.00287765154303723,0.00309034958660404,0.00332155922969057,0.00357217581709825,0.0038431759115745,0.00413560866040019,0.00445058610737555,0.00478927198008449,0.0051528691563946,0.00554260547323304,0.0059597179847681,0.00640543472566967,0.00688095430980675,0.00738742346631973,0.00792591216325095,0.00849738645789035,0.00910267923501533,0.00974245907121194,0.0104171976115819,0.0111271359777743,0.0118722508587487,0.0126522210806639,0.013466395583573,0.0143137638435712
8,11,1,1,0,1,0,0.31170879915,0,3.16787820698388e-06,6.37901960396502e-06,1.03304532325197e-05,1.57584531199691e-05,2.37579624784768e-05,3.64144068568167e-05,5.83131307842756e-05,9.93498360897941e-05,0.000177207539827332,0.000317028588686935,0.000550276602349471,0.000916025607703664,0.00146506507758104,0.00226591818575466,0.00341158717963445,0.00502523472324959,0.00726194819791329,0.0101809915563681,0.0134297436581822,0.0166857260600997,0.0197472053587604,0.0224968275840896,0.024875245980915,0.0268621273093313,0.0284625755156181,0.0296975253139165,0.0305970298542732,0.0311956481201502,0.0315293437584033,0.0316334663671143,0.0315414979483496,0.0312843340396694,0.030889932462294,0.030383209170708,0.0297860948367116,0.0291176911655166,0.0283944842881729,0.0276305859194137,0.0268379825318718,0.0260267797493362,0.0252054339738002,0.0243809667426995,0.0235591595613539,0.0227447286136592,0.0219414797209703,0.0211524445872917,0.0203799997215142,0.0196259695996172,0.0188917156827918,0.018178212886429,0.0174861149986609,0.0168158104294134,0.0161674695770913,0.0155410849292771,0.0149365049240086,0.014353462449709,0.0137915987675552,0.0132504835269175,0.0127296314660211,0.0122285162993356,0.011746582220082,0.0112832533935729,0.0108379417617497,0.0104100534159596,0.00999899377784952,0.00960417177696533,0.00922500319118742,0.00886091328847531,0.0085113388875155,0.00817572993427609,0.00785355067987626,0.00754428052953433,0.00724741461751837,0.00696246416205046,0.00668895663814343,0.00642643580383939,0.00617446160848605,0.00593261000661291,0.00570047269756271,0.00547765680720566,0.00526378452544814,0.00505849271080431,0.00486143247130483,0.00467226872938572,0.00449067977696889,0.00431635682581631,0.00414900355725401,0.00398833567455665,0.00383408046062024,0.003685976342984,0.00354377246780664,0.00340722828401939,0.00327611313856137,0.00315020588334665,0.00302929449439823,0.00291318838422561,0.00280174422362939,0.00269481291554089,0.00259223386701549,0.00249384184373294,0.00239947126063323,0.0023089588228092,0.00222214511474783,0.00213887551969171,0.00205900071734002,0.0019823769170395,0.00190886592608741,0.00183833511725773,0.00177065733288079,0.00170702765545303,0.0016527007612091,0.00161157306918633,0.00158565452026051,0.00157582540287267,0.00158231675341464,0.0016050138579721,0.00164364689838435,0.00169790929072206,0.00176752990601607,0.0018523159176539,0.00195217699012148,0.00206713767112329,0.00219734250702132,0.00234305651391124,0.00250466293882571,0.00268265914022556,0.00287765154303723,0.00309034958660404,0.00332155922969057,0.00357217581709825,0.0038431759115745,0.00413560866040019,0.00445058610737555,0.00478927198008449,0.0051528691563946,0.00554260547323304,0.0059597179847681,0.00640543472566967,0.00688095430980675,0.00738742346631973,0.00792591216325095,0.00849738645789035,0.00910267923501533,0.00974245907121194,0.0104171976115819,0.0111271359777743,0.0118722508587487,0.0126522210806639,0.013466395583573,0.0143137638435712
9,23,1,0,0,0,0,201.045803432998,0,0.00200564199159475,0.00384079032287077,0.00578615059081659,0.00810127465574923,0.0111216526060037,0.0154258144955588,0.0222110408171212,0.033996782386927,0.0553618813327509,0.093279154520461,0.157478947032263,0.261426874988385,0.423915937473591,0.67103070657304,1.03824960470554,1.57239523021425,2.33291557381578,3.34635316039316,4.48805661789137,5.6424018081236,6.73654791091558,7.72755685182585,8.59307388414063,9.32462744639775,9.92284541831812,10.3940714491815,10.7479992488963,10.9960438587123,11.1502425890804,11.222534962712,11.2243105543299,11.1661442207909,11.0576604862779,10.907485126896,10.7232539068301,10.5116572369467,10.2785058895969,10.0288075238426,9.76684708182504,9.49626652045493,9.22014100696672,8.94104991387205,8.6611417305294,8.38219258938632,8.10565844553462,7.8327211893835,7.56432910137867,7.30123212719814,7.04401247785751,6.7931110596473,6.54885021321615,6.31145320666606,6.08106090035511,5.85774594780579,5.64152486966262,5.4323682905217,5.230209598554,5.0349522515637,4.84647592787451,4.66464169100648,4.48929631318171,4.32027588550064,4.15740882444642,4.0005183632188,3.84942461076747,3.70394624426678,3.56390189310414,3.42911126319092,3.29939604323953,3.17458062761082,3.05449268636206,2.9389636077295,2.8278288330618,2.7209281039,2.61810563530881,2.51921022863667,2.42409533445209,2.33261907460342,2.2446442310936,2.16003820808884,2.07867297241491,2.00042497699628,1.92517507095503,1.85280839947419,1.78321429599397,1.71628616887791,1.6519213843104,1.59002114687511,1.53049037900533,1.47323760027447,1.41817480731304,1.36521735498445,1.31428383932289,1.26529598262979,1.21817852103632,1.1730268855623,1.13044835068043,1.0908518126856,1.05437283369772,1.02097300289219,0.990507916454111,0.962773213319063,0.937535354129484,0.914551787945561,0.89358380082954,0.874404344297279,0.856802449474421,0.840585373545003,0.825579224393421,0.812063948456459,0.801678402354822,0.795629861058496,0.794517498154798,0.798580144314578,0.80785274093558,0.822264552415173,0.841700387232241,0.866038254599788,0.895172103887863,0.929025153158267,0.967557313826748,1.01076894522246,1.05870239882899,1.11144219869472,1.16911447437283,1.23188590979519,1.29996250605653,1.37358814723644,1.45304312611798,1.53864258120258,1.63073475223206,1.7296991744061,1.83594465938836,1.94990694666588,2.07204603315479,2.20284309844354,2.34279700928069,2.49242015048943,2.65223363067017,2.82276183218,3.00452617646241,3.19803808624464,3.40379112294536,3.62225229512118,3.85385256544874,4.09897661668604,4.35795197207711,4.63103760723362,4.91841223361174,5.22016247639266
10,23,1,0,0,1,0,201.045803432998,0,0.00200564199159475,0.00384079032287077,0.00578615059081659,0.00810127465574923,0.0111216526060037,0.0154258144955588,0.0222110408171212,0.033996782386927,0.0553618813327509,0.093279154520461,0.157478947032263,0.261426874988385,0.423915937473591,0.67103070657304,1.03824960470554,1.57239523021425,2.33291557381578,3.34635316039316,4.48805661789137,5.6424018081236,6.73654791091558,7.72755685182585,8.59307388414063,9.32462744639775,9.92284541831812,10.3940714491815,10.7479992488963,10.9960438587123,11.1502425890804,11.222534962712,11.2243105543299,11.1661442207909,11.0576604862779,10.907485126896,10.7232539068301,10.5116572369467,10.2785058895969,10.0288075238426,9.76684708182504,9.49626652045493,9.22014100696672,8.94104991387205,8.6611417305294,8.38219258938632,8.10565844553462,7.8327211893835,7.56432910137867,7.30123212719814,7.04401247785751,6.7931110596473,6.54885021321615,6.31145320666606,6.08106090035511,5.85774594780579,5.64152486966262,5.4323682905217,5.230209598554,5.0349522515637,4.84647592787451,4.66464169100648,4.48929631318171,4.32027588550064,4.15740882444642,4.0005183632188,3.84942461076747,3.70394624426678,3.56390189310414,3.42911126319092,3.29939604323953,3.17458062761082,3.05449268636206,2.9389636077295,2.8278288330618,2.7209281039,2.61810563530881,2.51921022863667,2.42409533445209,2.33261907460342,2.2446442310936,2.16003820808884,2.07867297241491,2.00042497699628,1.92517507095503,1.85280839947419,1.78321429599397,1.71628616887791,1.6519213843104,1.59002114687511,1.53049037900533,1.47323760027447,1.41817480731304,1.36521735498445,1.31428383932289,1.26529598262979,1.21817852103632,1.1730268855623,1.13044835068043,1.0908518126856,1.05437283369772,1.02097300289219,0.990507916454111,0.962773213319063,0.937535354129484,0.914551787945561,0.89358380082954,0.874404344297279,0.856802449474421,0.840585373545003,0.825579224393421,0.812063948456459,0.801678402354822,0.795629861058496,0.794517498154798,0.798580144314578,0.80785274093558,0.822264552415173,0.841700387232241,0.866038254599788,0.895172103887863,0.929025153158267,0.967557313826748,1.01076894522246,1.05870239882899,1.11144219869472,1.16911447437283,1.23188590979519,1.29996250605653,1.37358814723644,1.45304312611798,1.53864258120258,1.63073475223206,1.7296991744061,1.83594465938836,1.94990694666588,2.07204603315479,2.20284309844354,2.34279700928069,2.49242015048943,2.65223363067017,2.82276183218,3.00452617646241,3.19803808624464,3.40379112294536,3.62225229512118,3.85385256544874,4.09897661668604,4.35795197207711,4.63103760723362,4.91841223361174,5.22016247639266
