"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,409911.11078778,0,0.132901290086996,0.243339847575359,0.340885568310513,0.432078286936113,0.521747242076898,0.613928027666597,0.712602118767636,0.822442701665206,0.949762147219105,1.10392636701484,1.2996523621716,1.56088561435184,1.92744547879489,2.4664586624496,3.29193688784727,4.51211951029086,5.99888789275041,7.61916189262113,9.2910965424694,10.9656829885821,12.6151342120738,14.2256504131794,15.792984465509,17.3197681675995,18.8139415756299,20.2878526653702,21.757760421451,23.2435722012109,24.7687063284969,26.3600075566688,28.0476623778288,29.8650699011617,31.8486269749953,34.0373864882884,36.4725484653104,39.1967471451418,42.253105799218,45.6840479455291,49.5298731879885,53.8271377106288,58.6069092445402,63.8929994820746,69.7002960566175,76.0333316152204,82.885215951456,90.2370507547077,98.0578762879539,106.305192643157,114.926015022441,123.858403200469,133.033345842872,142.376881779982,151.81231895272,161.262424090581,170.651471319459,179.907059565603,188.961644047199,197.753738998328,206.228783411345,214.339683397335,222.047051401061,229.319179329738,236.131791123674,242.467617242509,248.315836726551,253.671430396319,258.534483679414,262.909471817456,266.804554843534,270.230904862579,273.20208085402,275.733463587679,277.841755685179,279.54455021519,280.859966976799,281.83759133825,282.62324773469,283.328078925317,284.013055966163,284.706233895337,285.414696674335,286.132762645818,286.847555137436,287.542730829387,288.200925078163,288.805297848892,289.340473789222,289.793060754769,290.151889546259,290.408070127718,290.554929993008,290.587881910683,290.504252662133,290.303089511959,289.984966364154,289.551791782151,289.006625513755,288.353508993358,287.597308683761,286.743574386768,285.798411664572,284.768367199563,283.660326769313,282.481424871988,281.238964447048,279.940345408596,278.593001432557,277.204343913709,275.781712102347,274.332328340786,272.863257917872,271.381372864537,269.893318990798,268.405485843146,266.923979130965,265.454595302336,264.002798117815,262.573697032497,261.17202733422,259.802132047718,258.467945641201,257.17297965163,255.920310368682,254.712568752423,253.551932776688,252.44012239635,251.378397340398,250.367557902563,249.407948888251,248.499466837053,247.641570585363,246.833295205683,246.073269236799,245.359735127175,244.690572804462,244.06332604966,243.475231413978,242.923249367258,242.404097297254,241.914283948662,241.450144862797,241.007878380528,240.583581796339,240.173287330024,239.77299635006,239.378713388576,238.986478940772,238.592399640534,238.192676468264,237.783630617711
2,0,1,0,0,1,409911.11078778,0,0.132901290086996,0.243339847575359,0.340885568310513,0.432078286936113,0.521747242076898,0.613928027666597,0.712602118767636,0.822442701665206,0.949762147219105,1.10392636701484,1.2996523621716,1.56088561435184,1.92744547879489,2.4664586624496,3.29193688784727,4.51211951029086,5.99888789275041,7.61916189262113,9.2910965424694,10.9656829885821,12.6151342120738,14.2256504131794,15.792984465509,17.3197681675995,18.8139415756299,20.2878526653702,21.757760421451,23.2435722012109,24.7687063284969,26.3600075566688,28.0476623778288,29.8650699011617,31.8486269749953,34.0373864882884,36.4725484653104,39.1967471451418,42.253105799218,45.6840479455291,49.5298731879885,53.8271377106288,58.6069092445402,63.8929994820746,69.7002960566175,76.0333316152204,82.885215951456,90.2370507547077,98.0578762879539,106.305192643157,114.926015022441,123.858403200469,133.033345842872,142.376881779982,151.81231895272,161.262424090581,170.651471319459,179.907059565603,188.961644047199,197.753738998328,206.228783411345,214.339683397335,222.047051401061,229.319179329738,236.131791123674,242.467617242509,248.315836726551,253.671430396319,258.534483679414,262.909471817456,266.804554843534,270.230904862579,273.20208085402,275.733463587679,277.841755685179,279.54455021519,280.859966976799,281.837569120884,282.623087817353,283.327587307077,284.011983065348,284.704286942164,285.41154721235,286.12805217413,286.840900370737,287.533729150967,288.189160289332,288.790346088961,289.321909412461,289.770461955057,290.124843548398,290.376177817014,290.517809902398,290.54517353137,290.455619078043,290.248219385192,289.923575321314,289.483623259307,288.931451124832,288.271128488227,287.50754956163,286.646291227604,285.693485233916,284.655703378258,283.53985535274,282.353098278603,281.102756369773,279.796249435375,278.44102966036,277.044525575672,275.61409222288,274.156966430406,272.680226717228,271.190757144335,269.695214412503,268.199997883607,266.711222072589,265.23469128947,263.775876278793,262.339892666128,260.931481158857,259.554989510377,258.214356283905,256.913096531745,255.654289529714,254.440568741662,253.274114205863,252.156647541473,251.089429776962,250.073262172316,249.108490193917,248.195010761536,247.332282832178,246.519341357635,245.754814530262,245.036944239612,244.363609653144,243.732353599929,243.1404114958,242.584742499077,242.062062516538,241.568878648795,241.101524636272,240.656196868612,240.228990545582,239.815935656163,239.413031209701,239.016279259559,238.621717711938,238.225450511418,237.823675859367,237.412712091915
3,0,1,1,0,0,770.3959473966,0,0.000249777604442172,0.000457338255730324,0.000640667826367772,0.000812057425264526,0.000980583229590706,0.0011538298232477,0.00133928007794119,0.00154571688264585,0.00178500384583892,0.00207474346752408,0.0024425952029385,0.00293356271640285,0.0036224833789886,0.00463551659851485,0.00618693851115421,0.00848017653929093,0.0112744417017135,0.0143196202546284,0.0174618909681,0.0206091455257312,0.0237091603937456,0.0267359999252815,0.0296816819776926,0.0325511528109696,0.0353593351411391,0.0381294360251492,0.0408920129559262,0.0436844802582184,0.0465508508443666,0.0495415773336165,0.0527133928824248,0.0561290685103749,0.0598570092538558,0.063970611970372,0.0685473088907034,0.0736672277404556,0.0794114153433866,0.0858596033912551,0.0930875318450418,0.10116390520016,0.110147112832981,0.120081906961256,0.130996267730253,0.142898713896422,0.155776295854426,0.169593495704095,0.184292127035482,0.199792314587693,0.215994477567523,0.232782204154638,0.250025792931042,0.267586239649528,0.285319407569331,0.303080142785041,0.320726124425163,0.338121280321029,0.355138665325734,0.371662721739961,0.387590906407233,0.402834710038068,0.417320106795802,0.430987503794227,0.443791276073413,0.455698966879791,0.466690239063981,0.476755659469791,0.485895388651737,0.494117837477235,0.501438342091751,0.507877899594748,0.513461993030051,0.518219529354383,0.522181899841782,0.525382169292026,0.527854392453612,0.529691761157015,0.531168341049421,0.532493016274287,0.533780377173858,0.535083151003125,0.536414651514962,0.537764200477737,0.539107597190536,0.540414125659059,0.541651150390792,0.542787021854221,0.543792843274339,0.544643445160762,0.545317835874987,0.54579930728809,0.54607531894544,0.546137249503475,0.545980074856409,0.5456020044124,0.545004116779223,0.544189998952923,0.543165401490751,0.541937919953291,0.54051670047765,0.538912173483265,0.537135813897864,0.535199925700161,0.533117450171807,0.530901796045399,0.528566688625805,0.526126035474168,0.523593807604338,0.520983934154491,0.518310208672874,0.515586204988313,0.512825201759886,0.510040114433506,0.50724343329053,0.504447166985013,0.501662790721312,0.498901198471297,0.496172658946601,0.493486774969383,0.490852446143637,0.48827783484547,0.485770335600871,0.483336548069558,0.480982253897935,0.478712397770152,0.476531073018084,0.474441512162708,0.472446082766363,0.470546288918667,0.468742778654477,0.467035357528026,0.465423008464548,0.463903917958097,0.462475508454342,0.461134476772308,0.45987683840145,0.458697977069809,0.457592699091019,0.456555291905321,0.45557958609914,0.454659020130556,0.453786706935406,0.452955501591997,0.452158069269839,0.451386952835644,0.450634637173472,0.449893613113229,0.449156439074601,0.448415797779779,0.447664549267863,0.44689577950956
4,0,1,1,0,1,770.3959473966,0,0.000249777604442172,0.000457338255730324,0.000640667826367772,0.000812057425264526,0.000980583229590706,0.0011538298232477,0.00133928007794119,0.00154571688264585,0.00178500384583892,0.00207474346752408,0.0024425952029385,0.00293356271640285,0.0036224833789886,0.00463551659851485,0.00618693851115421,0.00848017653929093,0.0112744417017135,0.0143196202546284,0.0174618909681,0.0206091455257312,0.0237091603937456,0.0267359999252815,0.0296816819776926,0.0325511528109696,0.0353593351411391,0.0381294360251492,0.0408920129559262,0.0436844802582184,0.0465508508443666,0.0495415773336165,0.0527133928824248,0.0561290685103749,0.0598570092538558,0.063970611970372,0.0685473088907034,0.0736672277404556,0.0794114153433866,0.0858596033912551,0.0930875318450418,0.10116390520016,0.110147112832981,0.120081906961256,0.130996267730253,0.142898713896422,0.155776295854426,0.169593495704095,0.184292127035482,0.199792314587693,0.215994477567523,0.232782204154638,0.250025792931042,0.267586239649528,0.285319407569331,0.303080142785041,0.320726124425163,0.338121280321029,0.355138665325734,0.371662721739961,0.387590906407233,0.402834710038068,0.417320106795802,0.430987503794227,0.443791276073413,0.455698966879791,0.466690239063981,0.476755659469791,0.485895388651737,0.494117837477235,0.501438342091751,0.507877899594748,0.513461993030051,0.518219529354383,0.522181899841782,0.525382169292026,0.527854392453612,0.529691719401208,0.531168040497266,0.532492092316166,0.533778360740494,0.535079491856558,0.536408732346913,0.537755347513758,0.539095090075796,0.540397207706868,0.541629039388189,0.542758921188114,0.543757952976793,0.544600972480085,0.545267005032405,0.545739368178676,0.546005554631617,0.546056982437088,0.545888671829985,0.545498880290652,0.544888737104542,0.544061881533422,0.543024117092621,0.541783092222041,0.540348005211501,0.538729337376612,0.536938612858847,0.534988182839167,0.532891033544732,0.530660616226444,0.528310696172872,0.525855218336295,0.523308188516839,0.520683568058761,0.517995180188782,0.515256625961229,0.512481208900184,0.509681867061115,0.506871111193709,0.504060968399267,0.501262930431508,0.498487906038207,0.495746177056851,0.493047357906526,0.490400358376839,0.487813349731047,0.48529373419139,0.482848118024393,0.480482288488679,0.478201194974064,0.476008934692377,0.473908743292486,0.471902990778998,0.469993183057537,0.468179969405213,0.466463156090774,0.464841726266134,0.463313866198484,0.461876997682398,0.460527816486481,0.459262336671454,0.458075940176292,0.456963431180773,0.455919094660238,0.454936758417729,0.454009857821401,0.453131502422459,0.452294543632028,0.451491642682768,0.450715338248742,0.449958110780217,0.449212446448444,0.448470898807296,0.447726145524614,0.446971041416526,0.446198667083068
5,11,1,0,0,0,57.3921369,0,1.8636181169376e-05,3.42736939401732e-05,4.83600188923103e-05,6.19208964249986e-05,7.57831196224816e-05,9.07440756699365e-05,0.00010773463582988,0.000128020365718526,0.000153498809118797,0.000187181805012826,0.000234011262569396,0.00030226316886359,0.000405978474471341,0.000569167885134634,0.000833026519788154,0.00123667786391589,0.00173214419085504,0.00226888856372141,0.00281516137499508,0.00335164276373748,0.00386724715454839,0.00435637197549747,0.00481710681706179,0.00525007506230645,0.00565769339103331,0.00604370219008582,0.00641287182960031,0.00677082166883571,0.00712390923799923,0.00747916067258525,0.00784422163847125,0.00822731272592684,0.00863717596687631,0.00908300062323804,0.00957431755855375,0.0101208529698071,0.0107323345621717,0.0114182471549237,0.0121875390795122,0.0130482875876023,0.0140073378643776,0.0150699373020376,0.0162393907341666,0.0175167655911862,0.0189006734915733,0.0203871534099853,0.0219696667640984,0.0236392133383283,0.0253845594545109,0.0271925657337593,0.0290485893018356,0.0309369356031458,0.0328413305185887,0.0347453860991105,0.0366330364349244,0.0384889247470485,0.0402987302476786,0.0420494257954006,0.0437294646483318,0.0453288991761981,0.046839435754489,0.0482544335652046,0.0495688567731274,0.050779188869246,0.0518833186137867,0.0528804065572727,0.0537707400527313,0.0545555834819721,0.0552370293032801,0.0558178545876418,0.0563013862024498,0.056691377282444,0.0569918961879299,0.0572072287704437,0.0573417939861702,0.057405233528717,0.0574230868489216,0.0574151540612249,0.0573929503087091,0.057362553028919,0.0573265614426113,0.0572854351664648,0.0572383982504891,0.0571840414030663,0.0571207154037047,0.0570467791543638,0.0569607505656523,0.0568613903135602,0.0567477416206106,0.0566191413539765,0.0564752129209491,0.0563158484127921,0.05614118491777,0.0559515775969897,0.0557475728614948,0.05552988191552,0.0552993556228461,0.0550569615000031,0.0548037625789217,0.054540898426272,0.0542695681468004,0.0539910151491574,0.0537065136056835,0.0534173564308902,0.0531248445248222,0.05283027709281,0.0525349429407914,0.0522401125781085,0.0519470309886145,0.051656910914922,0.0513709265928358,0.0510902078501448,0.0508158344818342,0.0505488308754626,0.0502901608442359,0.0500407226480776,0.0498013442103468,0.0495727785374601,0.0493556993699536,0.0491506971046748,0.0489582750363398,0.0487788459763107,0.0486127293116796,0.0484601485739266,0.0483212295840236,0.0481959992417184,0.0480843850234964,0.0479862152420997,0.0479012201155971,0.0478290336801669,0.0477691965643525,0.0477211596335337,0.0476842884795228,0.0476578687307024,0.0476411121543504,0.0476331634620248,0.047633107742669,0.0476399784355366,0.0476527657374974,0.0476704253314603,0.047691887316131,0.0477160652187918,0.0477418649790308,0.0477681938150428,0.0477939685781997,0.047818123971754,0.0478396203819976,0.0478574509729638,0.04787064820765,0.0478782897067014
6,11,1,0,0,1,57.3921369,0,1.8636181169376e-05,3.42736939401732e-05,4.83600188923103e-05,6.19208964249986e-05,7.57831196224816e-05,9.07440756699365e-05,0.00010773463582988,0.000128020365718526,0.000153498809118797,0.000187181805012826,0.000234011262569396,0.00030226316886359,0.000405978474471341,0.000569167885134634,0.000833026519788154,0.00123667786391589,0.00173214419085504,0.00226888856372141,0.00281516137499508,0.00335164276373748,0.00386724715454839,0.00435637197549747,0.00481710681706179,0.00525007506230645,0.00565769339103331,0.00604370219008582,0.00641287182960031,0.00677082166883571,0.00712390923799923,0.00747916067258525,0.00784422163847125,0.00822731272592684,0.00863717596687631,0.00908300062323804,0.00957431755855375,0.0101208529698071,0.0107323345621717,0.0114182471549237,0.0121875390795122,0.0130482875876023,0.0140073378643776,0.0150699373020376,0.0162393907341666,0.0175167655911862,0.0189006734915733,0.0203871534099853,0.0219696667640984,0.0236392133383283,0.0253845594545109,0.0271925657337593,0.0290485893018356,0.0309369356031458,0.0328413305185887,0.0347453860991105,0.0366330364349244,0.0384889247470485,0.0402987302476786,0.0420494257954006,0.0437294646483318,0.0453288991761981,0.046839435754489,0.0482544335652046,0.0495688567731274,0.050779188869246,0.0518833186137867,0.0528804065572727,0.0537707400527313,0.0545555834819721,0.0552370293032801,0.0558178545876418,0.0563013862024498,0.056691377282444,0.0569918961879299,0.0572072287704437,0.0573417939861702,0.057405223688139,0.057423015590277,0.0574149329997773,0.0573924623888583,0.0573616563297488,0.0573250914699261,0.0572832070299712,0.0572352093011505,0.0571796744457985,0.0571149423782377,0.0570393650839828,0.0569514575578971,0.0568499814251726,0.0567339844371143,0.0566028111813522,0.0564560955268688,0.0562937422915068,0.0561159030789399,0.0559229488987388,0.0557154429247168,0.0554941136616963,0.055259829482454,0.0550135753396904,0.0547564313944431,0.0544895538460136,0.0542141577851633,0.0539315018459483,0.0536428745826247,0.0533495823927295,0.053052938727867,0.0527542543985827,0.052454828870961,0.0521559423835071,0.0518588487417908,0.0515647686334905,0.0512748833993525,0.0509903291723858,0.0507121912961292,0.0504414989946777,0.0501792202510535,0.049926256873671,0.0496834397578769,0.0494515243494902,0.0492311863385721,0.0490230176228055,0.0488275225886395,0.0486451147678778,0.0484761139327166,0.0483207436984771,0.0481791297008381,0.0480512984153055,0.0479371766834177,0.047836591998564,0.0477492735994408,0.0476748544053257,0.0476128738109708,0.0475627813498905,0.0475239412010327,0.0474956375142941,0.0474770805265535,0.0474674133792319,0.0474657195621066,0.0474710308955649,0.0474823359459561,0.0474985887608878,0.0475187178047885,0.0475416349765353,0.0475662445971827,0.0475914522795547,0.0476161732853661,0.047639340746062,0.0476599134956879,0.0476768831668522,0.0476892807129805,0.0476961822678262
7,11,1,1,0,0,0.107864043,0,3.50252483282141e-08,6.4414733387139e-08,9.08888819799454e-08,1.16375493148515e-07,1.4242845998009e-07,1.70546409469156e-07,2.0247884151781e-07,2.40604287949745e-07,2.88489034239789e-07,3.51793596741316e-07,4.39805908120308e-07,5.68080040309817e-07,7.63004864303129e-07,1.06970662798898e-06,1.56560834295351e-06,2.32423954736161e-06,3.25542984764849e-06,4.26419901433317e-06,5.29087613750114e-06,6.29915104604545e-06,7.26818926600788e-06,8.18746120061359e-06,9.05337638423333e-06,9.8671064166954e-06,1.06331932591141e-05,1.13586666766996e-05,1.20524922078916e-05,1.27252309999391e-05,1.3388831534789e-05,1.40564988858542e-05,1.47426024855609e-05,1.54625922918688e-05,1.62328982716396e-05,1.70707909256115e-05,1.79941827681188e-05,1.9021353427458e-05,2.01705853664507e-05,2.14597045628269e-05,2.29055287073078e-05,2.45232383641303e-05,2.63256985247181e-05,2.83227712532567e-05,3.05206677265915e-05,3.29213940969086e-05,3.55223410094706e-05,3.83160640262247e-05,4.12902743918981e-05,4.44280569035864e-05,4.7708298739743e-05,5.11063054630145e-05,5.4594556933853e-05,5.81435564596646e-05,6.17227181034667e-05,6.53012419937628e-05,6.88489335067302e-05,7.23369307745606e-05,7.57383189940259e-05,7.90286146693451e-05,8.21861166001409e-05,8.51921289915258e-05,8.80310646233829e-05,9.06904425964644e-05,9.31607984514244e-05,9.54355231839691e-05,9.75106488836835e-05,9.93845978707781e-05,0.000101057910202846,0.000102532962186838,0.000103813686434827,0.000104905302235037,0.000105814062175138,0.000106547019979017,0.000107111821812413,0.000107516522598865,0.00010776942742171,0.000107888657091745,0.000107922211013976,0.000107907301958495,0.000107865571738199,0.00010780844242273,0.000107740799044686,0.000107663505417748,0.000107575103204458,0.000107472943751187,0.000107353927476709,0.000107214970065312,0.000107053286045633,0.000106866546204897,0.000106652952354497,0.000106411258188025,0.000106140755928874,0.000105841242770992,0.000105512976361075,0.000105156624196712,0.000104773213214821,0.000104364080068268,0.000103930823889134,0.000103475263049243,0.000102999395434161,0.000102505362770524,0.000101995418682135,0.000101471900058532,0.000100937201607204,0.00010039375326009,9.98439999573137e-05,9.92903834539183e-05,9.87353259600981e-05,9.81812152990236e-05,9.76303913207011e-05,9.70851332802408e-05,9.6547648062212e-05,9.60200590897839e-05,9.55043957533746e-05,9.50025833094679e-05,9.45164331697777e-05,9.40476335437394e-05,9.35977404487034e-05,9.31681691014728e-05,9.27601857448134e-05,9.23748999835311e-05,9.20132577207731e-05,9.16760348032826e-05,9.13638314941777e-05,9.10770679034328e-05,9.08159805017471e-05,9.05806198450974e-05,9.03708496311971e-05,9.01863471872416e-05,9.00266054791426e-05,8.9890936706453e-05,8.97784775163647e-05,8.96881958532085e-05,8.96188993962979e-05,8.95692455399208e-05,8.95377528621813e-05,8.95228139151913e-05,8.95227091950098e-05,8.95356221261348e-05,8.95596548623781e-05,8.95928446912547e-05,8.96331808167665e-05,8.96786212982178e-05,8.9727109934434e-05,8.97765929272816e-05,8.98250345834324e-05,8.98704327607745e-05,8.99108335864643e-05,8.99443447908658e-05,8.99691479636793e-05,8.99835095648809e-05
8,11,1,1,0,1,0.107864043,0,3.50252483282141e-08,6.4414733387139e-08,9.08888819799454e-08,1.16375493148515e-07,1.4242845998009e-07,1.70546409469156e-07,2.0247884151781e-07,2.40604287949745e-07,2.88489034239789e-07,3.51793596741316e-07,4.39805908120308e-07,5.68080040309817e-07,7.63004864303129e-07,1.06970662798898e-06,1.56560834295351e-06,2.32423954736161e-06,3.25542984764849e-06,4.26419901433317e-06,5.29087613750114e-06,6.29915104604545e-06,7.26818926600788e-06,8.18746120061359e-06,9.05337638423333e-06,9.8671064166954e-06,1.06331932591141e-05,1.13586666766996e-05,1.20524922078916e-05,1.27252309999391e-05,1.3388831534789e-05,1.40564988858542e-05,1.47426024855609e-05,1.54625922918688e-05,1.62328982716396e-05,1.70707909256115e-05,1.79941827681188e-05,1.9021353427458e-05,2.01705853664507e-05,2.14597045628269e-05,2.29055287073078e-05,2.45232383641303e-05,2.63256985247181e-05,2.83227712532567e-05,3.05206677265915e-05,3.29213940969086e-05,3.55223410094706e-05,3.83160640262247e-05,4.12902743918981e-05,4.44280569035864e-05,4.7708298739743e-05,5.11063054630145e-05,5.4594556933853e-05,5.81435564596646e-05,6.17227181034667e-05,6.53012419937628e-05,6.88489335067302e-05,7.23369307745606e-05,7.57383189940259e-05,7.90286146693451e-05,8.21861166001409e-05,8.51921289915258e-05,8.80310646233829e-05,9.06904425964644e-05,9.31607984514244e-05,9.54355231839691e-05,9.75106488836835e-05,9.93845978707781e-05,0.000101057910202846,0.000102532962186838,0.000103813686434827,0.000104905302235037,0.000105814062175138,0.000106547019979017,0.000107111821812413,0.000107516522598865,0.00010776942742171,0.000107888638597146,0.000107922077088914,0.000107906886490754,0.000107864654730911,0.000107806757146609,0.000107738036345726,0.000107659317809069,0.00010756910982301,0.000107464736395756,0.000107343077525813,0.000107201035898551,0.000107035820562689,0.000106845104089408,0.000106627096801587,0.00010638056690282,0.000106104826278429,0.000105799696040975,0.000105465461117734,0.000105102818792244,0.000104712827505743,0.0001042968564262,0.000103856537592488,0.000103393722146354,0.000102910440166182,0.000102408864638341,0.000101891279231104,0.000101360049448968,0.000100817597029112,0.000100266377243769,9.97088586227397e-05,9.91475047321625e-05,9.8584757817146e-05,9.80230239860635e-05,9.74646596686492e-05,9.69119590521447e-05,9.63671423743024e-05,9.58323449084605e-05,9.53096064731111e-05,9.48008614146301e-05,9.43079289815765e-05,9.38325040524969e-05,9.33761482303606e-05,9.29402813166375e-05,9.2526173218073e-05,9.21349363601769e-05,9.17675186979227e-05,9.14246974320677e-05,9.11070735495031e-05,9.0815067317776e-05,9.05489148593418e-05,9.03086659328475e-05,9.00941830426734e-05,8.99051419761054e-05,8.97410338584004e-05,8.96011687899845e-05,8.94846810992349e-05,8.93905362273451e-05,8.93175391982602e-05,8.92643446275693e-05,8.9229468217111e-05,8.92112995680467e-05,8.92081161709283e-05,8.92180984077201e-05,8.92393453677983e-05,8.92698912652567e-05,8.93077222326004e-05,8.93507932686737e-05,8.93970451303939e-05,8.94444210024587e-05,8.94908822039032e-05,8.95344236385262e-05,8.95730885161583e-05,8.96049816889696e-05,8.96282819095382e-05,8.96412528433429e-05
9,23,1,0,0,0,8.588468444831,0,2.78985426925714e-06,5.13607259177328e-06,7.25778464538309e-06,9.30900555003212e-06,1.14125594528646e-05,1.36856842503229e-05,1.62642688243834e-05,1.93323627206855e-05,2.31653824523351e-05,2.81998900508193e-05,3.51513459209419e-05,4.52165148298458e-05,6.04236423096416e-05,8.42379136771174e-05,0.000122600255109919,0.000181342658770565,0.000254471074188597,0.000335610713910291,0.000420760730284539,0.000507359628243974,0.000593723120498124,0.000678714211914886,0.000761555258499795,0.000841724137703603,0.000918899069414871,0.000992929800558488,0.00106382231312216,0.00113172967660381,0.00119694498021636,0.00125989425438649,0.00132112832847177,0.00138131304324079,0.00144121740158165,0.00150169924076093,0.00156368796366285,0.00162816385617994,0.00169613360354647,0.00176860186816252,0.00184653911893727,0.00193084645786451,0.00202231874256806,0.00212160789893056,0.00222918871655559,0.0023453296677711,0.00247007110385821,0.00260321306647222,0.0027443135890583,0.00289269828011925,0.00304748036175412,0.0032075899937032,0.00337181056433696,0.00353881966973729,0.00370723208763189,0.0038756422944513,0.00404266436175829,0.00420696748710156,0.00436730609094783,0.00452254364306834,0.00467167004304254,0.00481381280109656,0.00494824239330317,0.00507437248840399,0.00519175590793468,0.0053000771234992,0.00539914215757021,0.00548886671578703,0.00556926328331587,0.00564042780971491,0.00570252650472073,0.00575578317882899,0.00580046742256269,0.00583688386863924,0.00586536264284463,0.00588625107410773,0.00589990665747876,0.00590761307622535,0.00591349445675274,0.00592065943484363,0.00593075118126792,0.00594445804464364,0.00596186453595953,0.00598269098140043,0.00600645537416934,0.00603258121516372,0.00606046795573152,0.00608953535899018,0.00611925037454335,0.00614914188608321,0.00617880747364333,0.00620791493515813,0.00623620045643028,0.00626346478051194,0.00628956827721353,0.00631442538770369,0.00633799906424994,0.00636029526080151,0.00638135765694035,0.00640126276607115,0.00642011538735031,0.00643804445614732,0.0064551992636972,0.00647174600598238,0.00648786464894099,0.00650374607738538,0.00651958947941791,0.00653559992993786,0.00655198615290067,0.00656895842974578,0.00658672662682023,0.00660549831181277,0.00662547694662146,0.00664686014064627,0.00666983794903224,0.00669459121157926,0.00672128992686307,0.00675009166106897,0.00678113999601268,0.00681456302314465,0.00685047189432183,0.00688895944258083,0.00693009888990066,0.00697394265997876,0.00702052131576721,0.00706984264383965,0.00712189090579179,0.00717662627772006,0.00723398449795364,0.00729387673916995,0.00735618972023717,0.00742078606887656,0.00748750494117274,0.00755616290176001,0.00762655505820526,0.00769845644326861,0.00777162363778061,0.00784579660853914,0.00792070073966277,0.00799604903205194,0.00807154444016179,0.0081468823127689,0.00822175290229292,0.00829584390744262,0.00836884301551379,0.00844044041697795,0.00851033117877482,0.00857821758009679,0.0086438113377229,0.00870683561995391,0.00876702689275778,0.00882413657145104
10,23,1,0,0,1,8.588468444831,0,2.78985426925714e-06,5.13607259177328e-06,7.25778464538309e-06,9.30900555003212e-06,1.14125594528646e-05,1.36856842503229e-05,1.62642688243834e-05,1.93323627206855e-05,2.31653824523351e-05,2.81998900508193e-05,3.51513459209419e-05,4.52165148298458e-05,6.04236423096416e-05,8.42379136771174e-05,0.000122600255109919,0.000181342658770565,0.000254471074188597,0.000335610713910291,0.000420760730284539,0.000507359628243974,0.000593723120498124,0.000678714211914886,0.000761555258499795,0.000841724137703603,0.000918899069414871,0.000992929800558488,0.00106382231312216,0.00113172967660381,0.00119694498021636,0.00125989425438649,0.00132112832847177,0.00138131304324079,0.00144121740158165,0.00150169924076093,0.00156368796366285,0.00162816385617994,0.00169613360354647,0.00176860186816252,0.00184653911893727,0.00193084645786451,0.00202231874256806,0.00212160789893056,0.00222918871655559,0.0023453296677711,0.00247007110385821,0.00260321306647222,0.0027443135890583,0.00289269828011925,0.00304748036175412,0.0032075899937032,0.00337181056433696,0.00353881966973729,0.00370723208763189,0.0038756422944513,0.00404266436175829,0.00420696748710156,0.00436730609094783,0.00452254364306834,0.00467167004304254,0.00481381280109656,0.00494824239330317,0.00507437248840399,0.00519175590793468,0.0053000771234992,0.00539914215757021,0.00548886671578703,0.00556926328331587,0.00564042780971491,0.00570252650472073,0.00575578317882899,0.00580046742256269,0.00583688386863924,0.00586536264284463,0.00588625107410773,0.00589990665747876,0.00590760829972898,0.00591346044355095,0.00592055661880114,0.00593053164394846,0.00594406975588889,0.00596125402372162,0.00598180502843889,0.00600524211619462,0.00603099086963065,0.00605845331940882,0.00608705215666311,0.00611625750487908,0.00614560159222818,0.00617468545371472,0.0062031804020212,0.00623082615307089,0.00625742695602954,0.00628284662782812,0.00630700296754172,0.00632986217010998,0.00635143329548554,0.00637176297556174,0.00639093050926785,0.00640904330535785,0.00642623272720613,0.00644265030974031,0.00645846430832808,0.00647385656617137,0.0064890196672814,0.00650415432645337,0.00651946697938023,0.00653516755244058,0.00655146737930388,0.00656857723689475,0.00658670547058874,0.00660605619593205,0.00662682756073362,0.00664921005199009,0.00667338484327199,0.00669952217706188,0.00672777978152535,0.0067583013261392,0.00679121492297109,0.0068266316843839,0.0068646443503823,0.0069053260026017,0.00694872888295676,0.0069948833366986,0.00704379690195975,0.00709545356598893,0.00714981320912633,0.00720681125669925,0.00726635855497144,0.00732834148649472,0.00739262233596048,0.0074590399125848,0.00752741043286016,0.00759752865720657,0.00766916927420945,0.00774208852518653,0.00781602604350891,0.00789070688712418,0.00796584373894634,0.00804113924433388,0.0081162884523568,0.00819098132543262,0.00826490528212106,0.00833774773942402,0.00840919862725416,0.00847895276150347,0.0085467121795211,0.00861218836507197,0.00867510426184698,0.00873519611915624,0.00879221514314093
