"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.232810513964706,0.990675894452956,2.78773140242853,6.30368954633479,12.5921551821117,23.3387388350017,41.2452946602678,70.6314778231883,118.385026038895,195.458335119556,319.20810445298,517.006541907499,831.701033076622,1329.59067273286,2111.41750293922,3255.41316453818,4624.85095834142,6083.36430091613,7545.37575847526,8959.69644327353,10298.2454368787,11548.2619363647,12706.9074770981,13777.5031193197,14766.9035924631,15683.6645962567,16536.7803411769,17334.840782496,18085.504317164,18795.209984034,19469.0697883322,20110.8917276548,20723.2921304249,21307.8623112434,21865.3614278072,22395.9140318289,22899.196870275,23374.6051430831,23821.3928955442,24238.7857469892,24626.0667029032,24982.6374070739,25308.0581197519,25602.0700941254,25864.6040018002,26095.7777851804,26295.8869211514,26465.3896027534,26604.8888648903,26715.1132417322,26796.8971427609,26851.1617951071,26878.8973274518,26881.1463491544,26858.9892097691,26813.5310010695,26745.8902743179,26657.1893864422,26548.546352663,26421.0680613345,26275.8447019977,26113.9452561088,25936.4139096065,25744.267255094,25538.4921639277,25320.0442240442,25089.8466491527,24848.7895803048,24597.7297109339,24337.4901764813,24068.8606603103,23792.5976747031,23509.4249825077,23220.0341312653,22925.0850765757,22625.2068370165,22320.998399533,22013.0292608019,21701.840424136,21387.9451739152,21071.829964628,20753.9552503329,20434.7563696331,20114.6444064161,19794.0070517615,19473.2094584826,19152.5950859762,18832.4865336357,18513.1863610201,18194.9778933025,17878.1260103421,17562.8779194951,17249.4639102238,16938.0980901453,16628.9791020596,16322.2908215039,16018.2030344354,15716.8720948349,15418.4415621254,15123.0428183048,14830.7956648246,14541.8088992983,14256.1808721615,13974.0000234874,13695.3454001931,13420.2871539056,13148.8870198196,12881.1987768821,12617.2686896823,12357.1359324523,12100.8329955866,11848.386075123,11599.8154456322,11355.1358169694,11114.3566753622,10877.4826092784,10644.5136205894,10415.4454213798,10190.2697173986,9968.97447763546,9751.54419124543,9537.96011220378,9328.200491968,9122.24080065294,8920.05393715941,8721.61042868778,8526.87862005386,8335.82485321771,8148.41363742506,7964.60781034912,7784.36869061091,7607.65622204492,7434.42911006519,7264.64495047653,7098.26035106387,6935.23104628186,6775.51200535572,6619.05753409355,6465.82137069929,6315.7567758654,6168.81661741333,6024.95344974027,5884.11958832028,5746.26717949837,5611.34826580662,5479.31484702212,5350.11893717766,5223.71261772726,5100.04808706028,4979.07770654967
2,0,1,1,0,818021.22396571,0,0.232810513964706,0.990675894452956,2.78773140242853,6.30368954633479,12.5921551821117,23.3387388350017,41.2452946602678,70.6314778231883,118.385026038895,195.458335119556,319.20810445298,517.006541907499,831.701033076622,1329.59067273286,2111.41750293922,3255.41316453818,4624.85095834142,6083.36430091613,7545.37575847526,8959.69644327353,10298.2454368787,11548.2619363647,12706.9074770981,13777.5031193197,14766.9035924631,15683.6645962567,16536.7803411769,17334.840782496,18085.504317164,18795.209984034,19469.0697883322,20110.8917276548,20723.2921304249,21307.8623112434,21865.3614278072,22395.9140318289,22899.196870275,23374.6051430831,23821.3928955442,24238.7857469892,24626.0667029032,24982.6374070739,25308.0581197519,25602.0700941254,25864.6040018002,26095.7777851804,26295.8869211514,26465.3896027534,26604.8888648903,26715.1132417322,26796.8971427609,26851.1617951071,26878.8973274518,26881.1463491544,26858.9892097691,26813.5310010695,26745.8902743179,26657.1893864422,26548.546352663,26421.0680613345,26275.8447019977,26113.9452561088,25936.4139096065,25744.267255094,25538.4921639277,25320.0442240442,25089.8466491527,24848.7895803048,24597.7297109339,24337.4901764813,24068.8606603103,23792.5976747031,23509.4249825077,23220.0341312653,22925.0850765757,22625.2068370165,22320.998399533,22013.0292608019,21701.840424136,21387.9451739152,21071.829964628,20753.9552503329,20434.7563696331,20114.6444064161,19794.0070517615,19473.2094584826,19152.5950859762,18832.4865336357,18513.1863610201,18194.9778933025,17878.1260103421,17562.8779194951,17249.4639102238,16938.0980901453,16628.9791020596,16322.2908215039,16018.2030344354,15716.8720948349,15418.4415621254,15123.0428183048,14830.7956648246,14541.8088992983,14256.1808721615,13974.0000234874,13695.3454001931,13420.2871539056,13148.8870198196,12881.1987768821,12617.2686896823,12357.1359324523,12100.8329955866,11848.386075123,11599.8154456322,11355.1358169694,11114.3566753622,10877.4826092784,10644.5136205894,10415.4454213798,10190.2697173986,9968.97447763546,9751.54419124543,9537.96011220378,9328.200491968,9122.24080065294,8920.05393715941,8721.61042868778,8526.87862005386,8335.82485321771,8148.41363742506,7964.60781034912,7784.36869061091,7607.65622204492,7434.42911006519,7264.64495047653,7098.26035106387,6935.23104628186,6775.51200535572,6619.05753409355,6465.82137069929,6315.7567758654,6168.81661741333,6024.95344974027,5884.11958832028,5746.26717949837,5611.34826580662,5479.31484702212,5350.11893717766,5223.71261772726,5100.04808706028,4979.07770654967
3,0,1,0,1,2335.27250675705,0,0.129656705319199,0.231696299702685,0.313117273779418,0.380376164224723,0.440165966651838,0.500303126289146,0.570946839688517,0.666415698502768,0.807980475493947,1.02819983024392,1.37764798500838,1.93525858851457,2.82393181317865,4.23331232783969,6.45115912942937,9.70094553305343,13.5930501080481,17.738818453294,21.894388558036,25.9139284337991,29.7174734500935,33.2687229064222,36.5596515445702,39.5997827644606,42.408703485241,45.0108403328589,47.4318615454995,49.6962753590252,51.8259277001233,53.8391826256399,55.7506162196561,57.5710830448473,59.3080371473444,60.9660078416577,62.5471501182953,64.051808356719,65.4790493161504,66.8271364861847,68.0939306303988,69.2772114025654,70.3749221727728,71.3853447895483,72.3072136534271,73.1397795783425,73.8828338549093,74.5367021511499,75.1022167636071,75.5806743690701,75.9737850561244,76.2836171653098,76.5125413237087,76.6631760920155,76.7383368652182,76.7409890359494,76.6742059489146,76.541131823863,76.3449495695858,76.0888532429229,75.7760248037023,75.4096147544041,74.9927262397143,74.5284021767453,74.0196150143363,73.4692587444035,72.8801428239846,72.2549877109318,71.5964217441387,70.9069791430484,70.1890989299381,69.4451246070611,68.6773044509022,67.8877923060371,67.0786487803956,66.2518427615832,65.4092531879773,64.5526709103009,63.6838012666386,62.8042656218662,61.9156042040597,61.0192783080506,60.1166728254756,59.209098605578,58.2977949741774,57.3839321838962,56.4686138678748,55.5528794726678,54.6377066636858,53.7240136981883,52.8126617606746,51.904457256451,51.0001540586519,50.1004557090213,49.2060175669314,48.3174489056025,47.4353149542037,46.560138884541,45.6924037411893,44.8325543144732,43.9809989559911,43.1381113363859,42.3042321454546,41.4796707348265,40.6647067035549,39.8595914272019,39.0645495310807,38.2797803084199,37.505459084394,36.7417385269724,35.9887499056603,35.2466042992892,34.5153937540151,33.7951923927837,33.0860574775379,32.3880304254541,31.7011377805611,31.0253921420038,30.3607930504176,29.7073278334142,29.064972413013,28.4336920735466,27.8134421935248,27.2041689425434,26.605809944028,26.0182949052534,25.4415462158923,24.8754795163241,24.3200042368902,23.7750241092671,23.2404376510962,22.716138624973,22.2020164728757,21.6979567270749,21.2038413985393,20.7195493438172,20.2449566113431,19.7799367680875,19.3243612074355,18.8780994391498,18.4410193622414,18.0129875215442,17.5938693487564,17.1835293886847,16.7818315114002,16.3886391109828,16.0038152915099,15.6272230409128,15.2587253933038,14.8981855803488,14.5454671722376,14.200434208781
4,0,1,1,1,2335.27250675705,0,0.129656705319199,0.231696299702685,0.313117273779418,0.380376164224723,0.440165966651838,0.500303126289146,0.570946839688517,0.666415698502768,0.807980475493947,1.02819983024392,1.37764798500838,1.93525858851457,2.82393181317865,4.23331232783969,6.45115912942937,9.70094553305343,13.5930501080481,17.738818453294,21.894388558036,25.9139284337991,29.7174734500935,33.2687229064222,36.5596515445702,39.5997827644606,42.408703485241,45.0108403328589,47.4318615454995,49.6962753590252,51.8259277001233,53.8391826256399,55.7506162196561,57.5710830448473,59.3080371473444,60.9660078416577,62.5471501182953,64.051808356719,65.4790493161504,66.8271364861847,68.0939306303988,69.2772114025654,70.3749221727728,71.3853447895483,72.3072136534271,73.1397795783425,73.8828338549093,74.5367021511499,75.1022167636071,75.5806743690701,75.9737850561244,76.2836171653098,76.5125413237087,76.6631760920155,76.7383368652182,76.7409890359494,76.6742059489146,76.541131823863,76.3449495695858,76.0888532429229,75.7760248037023,75.4096147544041,74.9927262397143,74.5284021767453,74.0196150143363,73.4692587444035,72.8801428239846,72.2549877109318,71.5964217441387,70.9069791430484,70.1890989299381,69.4451246070611,68.6773044509022,67.8877923060371,67.0786487803956,66.2518427615832,65.4092531879773,64.5526709103009,63.6838012666386,62.8042656218662,61.9156042040597,61.0192783080506,60.1166728254756,59.209098605578,58.2977949741774,57.3839321838962,56.4686138678748,55.5528794726678,54.6377066636858,53.7240136981883,52.8126617606746,51.904457256451,51.0001540586519,50.1004557090213,49.2060175669314,48.3174489056025,47.4353149542037,46.560138884541,45.6924037411893,44.8325543144732,43.9809989559911,43.1381113363859,42.3042321454546,41.4796707348265,40.6647067035549,39.8595914272019,39.0645495310807,38.2797803084199,37.505459084394,36.7417385269724,35.9887499056603,35.2466042992892,34.5153937540151,33.7951923927837,33.0860574775379,32.3880304254541,31.7011377805611,31.0253921420038,30.3607930504176,29.7073278334142,29.064972413013,28.4336920735466,27.8134421935248,27.2041689425434,26.605809944028,26.0182949052534,25.4415462158923,24.8754795163241,24.3200042368902,23.7750241092671,23.2404376510962,22.716138624973,22.2020164728757,21.6979567270749,21.2038413985393,20.7195493438172,20.2449566113431,19.7799367680875,19.3243612074355,18.8780994391498,18.4410193622414,18.0129875215442,17.5938693487564,17.1835293886847,16.7818315114002,16.3886391109828,16.0038152915099,15.6272230409128,15.2587253933038,14.8981855803488,14.5454671722376,14.200434208781
5,0,2,0,0,527895.493723415,0,0.197653279113764,0.727128958937495,1.90514630994703,4.12468911963079,7.97758299358174,14.4007432265011,24.8898537212044,41.83165636076,69.0278425527794,112.520031043574,181.880607757394,292.208728187482,467.15766221562,743.382578319196,1176.73269841019,1811.10414979175,2572.20249543656,3385.82135821611,4205.49234272794,5003.42400726062,5764.32064200411,6481.14443573829,7152.19321882609,7779.06882167045,8365.25936797944,8915.14733365985,9433.32356109469,9924.12765406427,10391.3603258474,10838.1280147634,11266.7882591134,11678.9689504872,12075.638360109,12457.2060012785,12823.638046476,13174.5747139911,13509.4405377882,13827.5417515076,14128.1476861559,14410.5551931504,14674.1366369819,14918.3729724565,15142.873976916,15347.38793376,15531.8030390324,15696.142624909,15840.5560428207,15965.3067467776,16070.7588149733,16157.3628724584,16225.6421268729,16276.1790176141,16309.6028093804,16326.5783238746,16327.7958998719,16313.9625967569,16285.794602779,16244.0107744661,16189.3272131218,16122.4527725143,16044.0853911572,15954.9091429669,15855.5919081531,15746.7835728178,15629.1146749592,15503.1954256183,15369.6150408358,15228.9413308363,15081.7204998239,14928.4771167257,14769.7142244708,14605.9135602647,14437.5358639559,14265.0212558628,14088.7896687783,13909.2412969577,13726.7572022523,13541.6996836698,13354.4129355369,13165.2235597178,12974.4411491465,12782.3588289868,12589.2538320379,12395.3880556256,12201.0086172565,12006.3484036249,11811.6266116723,11617.0492808471,11422.8098155579,11229.089497064,11036.0579838763,10843.873801006,10652.6848168269,10462.6287075157,10273.8334088925,10086.4175554628,9900.49090649875,9716.15475911618,9533.50234834302,9352.61923418216,9173.58367574374,8996.46699254687,8821.33391310826,8648.24291098433,8477.24652844401,8308.39168796825,8141.71999180837,7977.26800983202,7815.06755590987,7655.14595311244,7497.52628798228,7342.22765416862,7189.26538571232,7038.65128026937,6890.39381257578,6744.49833843393,6600.96728954483,6459.80035940818,6320.99468091136,6184.54499528735,6050.4438132042,5918.68156822362,5789.24676280134,5662.12610714393,5537.30465119533,5414.76591002121,5294.49198284968,5176.46366602302,5060.66056010793,4947.06117140452,4835.64300808802,4726.38267121027,4619.2559407807,4514.23785714009,4411.30279783304,4310.42455017853,4211.57637973081,4114.73109481647,4019.8611073266,3926.93848993659,3835.93502991964,3746.82227971385,3659.57160439654,3574.15422621349,3490.54126630509,3408.70378376534,3328.61281216473,3250.23939366194,3173.55461082479,3098.52961627534
6,0,2,1,0,527895.493723415,0,0.197653279113764,0.727128958937495,1.90514630994703,4.12468911963079,7.97758299358174,14.4007432265011,24.8898537212044,41.83165636076,69.0278425527794,112.520031043574,181.880607757394,292.208728187482,467.15766221562,743.382578319196,1176.73269841019,1811.10414979175,2572.20249543656,3385.82135821611,4205.49234272794,5003.42400726062,5764.32064200411,6481.14443573829,7152.19321882609,7779.06882167045,8365.25936797944,8915.14733365985,9433.32356109469,9924.12765406427,10391.3603258474,10838.1280147634,11266.7882591134,11678.9689504872,12075.638360109,12457.2060012785,12823.638046476,13174.5747139911,13509.4405377882,13827.5417515076,14128.1476861559,14410.5551931504,14674.1366369819,14918.3729724565,15142.873976916,15347.38793376,15531.8030390324,15696.142624909,15840.5560428207,15965.3067467776,16070.7588149733,16157.3628724584,16225.6421268729,16276.1790176141,16309.6028093804,16326.5783238746,16327.7958998719,16313.9625967569,16285.794602779,16244.0107744661,16189.3272131218,16122.4527725143,16044.0853911572,15954.9091429669,15855.5919081531,15746.7835728178,15629.1146749592,15503.1954256183,15369.6150408358,15228.9413308363,15081.7204998239,14928.4771167257,14769.7142244708,14605.9135602647,14437.5358639559,14265.0212558628,14088.7896687783,13909.2412969577,13726.7572022523,13541.6996836698,13354.4129355369,13165.2235597178,12974.4411491465,12782.3588289868,12589.2538320379,12395.3880556256,12201.0086172565,12006.3484036249,11811.6266116723,11617.0492808471,11422.8098155579,11229.089497064,11036.0579838763,10843.873801006,10652.6848168269,10462.6287075157,10273.8334088925,10086.4175554628,9900.49090649875,9716.15475911618,9533.50234834302,9352.61923418216,9173.58367574374,8996.46699254687,8821.33391310826,8648.24291098433,8477.24652844401,8308.39168796825,8141.71999180837,7977.26800983202,7815.06755590987,7655.14595311244,7497.52628798228,7342.22765416862,7189.26538571232,7038.65128026937,6890.39381257578,6744.49833843393,6600.96728954483,6459.80035940818,6320.99468091136,6184.54499528735,6050.4438132042,5918.68156822362,5789.24676280134,5662.12610714393,5537.30465119533,5414.76591002121,5294.49198284968,5176.46366602302,5060.66056010793,4947.06117140452,4835.64300808802,4726.38267121027,4619.2559407807,4514.23785714009,4411.30279783304,4310.42455017853,4211.57637973081,4114.73109481647,4019.8611073266,3926.93848993659,3835.93502991964,3746.82227971385,3659.57160439654,3574.15422621349,3490.54126630509,3408.70378376534,3328.61281216473,3250.23939366194,3173.55461082479,3098.52961627534
7,0,2,0,1,171228.02725029,0,0.151512515936861,0.390926556012911,0.824720636237306,1.583423008202,2.86149531668632,4.96487130616744,8.38034868482834,13.8834378844747,22.7083458112065,36.8156087418952,59.3108222984134,95.0920887238286,151.831981286126,241.420232985564,381.972219628475,587.72619089815,834.5844582767,1098.4778554316,1364.33418010812,1623.13919614537,1869.93171849974,2102.42904820601,2320.07912242741,2523.40154088428,2713.52772557734,2891.87917998541,3059.9449865702,3219.13273205802,3370.67520664262,3515.5800048191,3654.61180804185,3788.29863019374,3916.95453152407,4040.71233439474,4159.56105986061,4273.38400302252,4381.99449996673,4485.16751505281,4582.66604290643,4674.2620045498,4759.75181420998,4838.96710819597,4911.78130739553,4978.11275822201,5037.92518887369,5091.22616005785,5138.06410788332,5178.5244786155,5212.72535687377,5240.81289955897,5262.95680645018,5279.34598977151,5290.18455007241,5295.68812127636,5296.08061415686,5291.5913631407,5282.45266386876,5268.89767765558,5251.15867233344,5229.46556513464,5204.04473303579,5175.11805611201,5142.90216206824,5107.60784226066,5069.43961251269,5028.59539561111,4985.26630461576,4939.63650960294,4891.88317272198,4842.17643870033,4790.67947028353,4737.54851967765,4682.93302856523,4626.97575065107,4569.81289178141,4511.57425557193,4452.38344000639,4392.35795730307,4331.60944738958,4270.24384404105,4208.36156414891,4146.05768324674,4083.4221221434,4020.53982755151,3957.49095231455,3894.35103347817,3831.19116778364,3768.07818430735,3705.07481391957,3642.23985531707,3579.62833732936,3517.29167760754,3455.27783729572,3393.63147167341,3332.39407671096,3271.60413147416,3211.29723632472,3151.50624690284,3092.26140389062,3033.59045855691,2975.51879410817,2918.06954287776,2861.26369939163,2805.12022936458,2749.6561746845,2694.88675444815,2640.82546212383,2587.48415891506,2534.87316340747,2483.00133758622,2431.87616930991,2381.50385133427,2331.88935697885,2283.03651253023,2234.94806648004,2187.62575568857,2141.07036857919,2095.28180543564,2050.25913600353,2006.00065429239,1962.50393082553,1919.76586241479,1877.78271951622,1836.55019126868,1796.0634283041,1756.31708341624,1717.30535017192,1679.02199954725,1641.4604146691,1604.61362373992,1568.47433122149,1533.03494735155,1498.28761606442,1464.22424138476,1430.83651236139,1398.11592660573,1366.05381249728,1334.64135011637,1303.86959096225,1273.72947651246,1244.21185567739,1215.30750120181,1187.00712506328,1159.3013929153,1132.18093762128,1105.63637192339,1079.65830028881,1054.23732997394,1029.36408134559,1005.02919749638
8,0,2,1,1,171228.02725029,0,0.151512515936861,0.390926556012911,0.824720636237306,1.583423008202,2.86149531668632,4.96487130616744,8.38034868482834,13.8834378844747,22.7083458112065,36.8156087418952,59.3108222984134,95.0920887238286,151.831981286126,241.420232985564,381.972219628475,587.72619089815,834.5844582767,1098.4778554316,1364.33418010812,1623.13919614537,1869.93171849974,2102.42904820601,2320.07912242741,2523.40154088428,2713.52772557734,2891.87917998541,3059.9449865702,3219.13273205802,3370.67520664262,3515.5800048191,3654.61180804185,3788.29863019374,3916.95453152407,4040.71233439474,4159.56105986061,4273.38400302252,4381.99449996673,4485.16751505281,4582.66604290643,4674.2620045498,4759.75181420998,4838.96710819597,4911.78130739553,4978.11275822201,5037.92518887369,5091.22616005785,5138.06410788332,5178.5244786155,5212.72535687377,5240.81289955897,5262.95680645018,5279.34598977151,5290.18455007241,5295.68812127636,5296.08061415686,5291.5913631407,5282.45266386876,5268.89767765558,5251.15867233344,5229.46556513464,5204.04473303579,5175.11805611201,5142.90216206824,5107.60784226066,5069.43961251269,5028.59539561111,4985.26630461576,4939.63650960294,4891.88317272198,4842.17643870033,4790.67947028353,4737.54851967765,4682.93302856523,4626.97575065107,4569.81289178141,4511.57425557193,4452.38344000639,4392.35795730307,4331.60944738958,4270.24384404105,4208.36156414891,4146.05768324674,4083.4221221434,4020.53982755151,3957.49095231455,3894.35103347817,3831.19116778364,3768.07818430735,3705.07481391957,3642.23985531707,3579.62833732936,3517.29167760754,3455.27783729572,3393.63147167341,3332.39407671096,3271.60413147416,3211.29723632472,3151.50624690284,3092.26140389062,3033.59045855691,2975.51879410817,2918.06954287776,2861.26369939163,2805.12022936458,2749.6561746845,2694.88675444815,2640.82546212383,2587.48415891506,2534.87316340747,2483.00133758622,2431.87616930991,2381.50385133427,2331.88935697885,2283.03651253023,2234.94806648004,2187.62575568857,2141.07036857919,2095.28180543564,2050.25913600353,2006.00065429239,1962.50393082553,1919.76586241479,1877.78271951622,1836.55019126868,1796.0634283041,1756.31708341624,1717.30535017192,1679.02199954725,1641.4604146691,1604.61362373992,1568.47433122149,1533.03494735155,1498.28761606442,1464.22424138476,1430.83651236139,1398.11592660573,1366.05381249728,1334.64135011637,1303.86959096225,1273.72947651246,1244.21185567739,1215.30750120181,1187.00712506328,1159.3013929153,1132.18093762128,1105.63637192339,1079.65830028881,1054.23732997394,1029.36408134559,1005.02919749638
9,11,2,0,0,292.1211864,0,0.131236701746726,0.242334130593059,0.343153552215423,0.439381312750802,0.534195710187886,0.629369815120602,0.726027136269717,0.825204020559425,0.928338262263033,1.03779043126178,1.15750944605267,1.2939752244541,1.45758332980674,1.66466453924381,1.94031275602266,2.30433810002209,2.72340955311944,3.16478291353687,3.60838404305572,4.04243725267051,4.46057374381084,4.85991017940826,5.23976380979622,5.60078427317219,5.94436276395215,6.27222669288471,6.58616344881196,6.88783726448283,7.1786756794922,7.45980918033096,7.73205134831924,7.99590881943701,8.25161184187099,8.49915741846636,8.73835844114782,8.96889367654307,9.19035486315802,9.40228852194711,9.60423117049464,9.79573749583617,9.97640167280422,10.1458724172221,10.3038625966541,10.4501543206194,10.5846004282868,10.7071232255212,10.8177112263807,10.9164145359799,11.0033393927296,11.0786422791589,11.1425239109257,11.1952233289922,11.2370122517466,11.2681897880468,11.2890775692929,11.3000153269908,11.3013569188319,11.29346679032,11.2767168486919,11.2514837192475,11.2181463516373,11.1770839422742,11.1286741402547,11.0732915054466,11.0113061896409,10.9430828147851,10.8689795241802,10.7893471858123,10.704528729108,10.6148585985531,10.5206623100195,10.4222560972504,10.3199466374873,10.2140308467368,10.1047957363866,9.99251830680121,9.87746557523238,9.75989446835638,9.64005193496606,9.51817499305061,9.3944908313166,9.26921693068933,9.14256120982642,9.01472218908989,8.88588917085466,8.75624243377864,8.62595343912888,8.49518504676099,8.36409173933059,8.23281985303432,8.10150781361964,7.97028637566814,7.83927886480785,7.70860142130423,7.5783632440553,7.44866683419611,7.31960823751102,7.1912772848928,7.06375783028266,6.9371279855014,6.81146035148339,6.68682224549053,6.56327592394459,6.44087880054811,6.31968365943975,6.19973886315743,6.08108855522728,5.96377285724069,5.84782806030607,5.73328681080107,5.62017829037517,5.50852839017797,5.39835987931391,5.28969256754106,5.18254346225379,5.0769269197937,4.97285479117137,4.87033656223793,4.76937948858526,4.66998872491379,4.57216744925261,4.47591698212077,4.38123690068609,4.2881251480657,4.19657813789885,4.10659085432358,4.01815694748979,3.93126882474337,3.84591773761629,3.76209386475771,3.67978639094065,3.59898358227798,3.51967285778037,3.44184085738687,3.36547350659737,3.29055607783386,3.21707324865487,3.14500915694544,3.0743474532017,3.00507135002693,2.93716366895247,2.8706068846944,2.80538316695348,2.74147441986298,2.67886231918572,2.6175283473588,2.55745382648102,2.49861994933518,2.44100780853417,2.38459842387683
10,11,2,0,1,67.8788136,0,0.129785277331552,0.232419237988365,0.31442437562206,0.380592731954969,0.434505564829914,0.478899632643034,0.515933802414585,0.547394597952736,0.574870829347349,0.599923962487828,0.624281520211582,0.650085266875753,0.680232846208463,0.718857618099557,0.771986822465074,0.844383999737668,0.928750343577102,1.01787307470282,1.10736384435813,1.19467819793677,1.27846811277706,1.3581526449128,1.43363151711309,1.50509213326483,1.57287867395848,1.63740262414884,1.69908207936724,1.75830176853978,1.81538854068871,1.87059865324359,1.92411403840121,1.97604516296062,2.02643842575865,2.07528630378108,2.12253877484963,2.16811486966322,2.21191352001904,2.25382317088908,2.29372986822253,2.33152372831801,2.36710383614233,2.40038170999644,2.43128352183834,2.45975128437124,2.48574321459874,2.50923346817681,2.53021141669047,2.54868061299627,2.56465756267398,2.57817039486535,2.58925750311937,2.59796620761596,2.60435147463263,2.60847471642558,2.61040268494216,2.61020646557719,2.60796057184452,2.60374213818405,2.59763020577025,2.58970509466715,2.58004785507081,2.56873979005604,2.55586204250257,2.54149523915451,2.52571918526379,2.50861260396531,2.49025291494863,2.47071604772804,2.45007628528891,2.42840613437031,2.40577621918566,2.38225519574376,2.35790968427768,2.33280421763,2.30700120371613,2.28056089672403,2.25354139799562,2.2259986283038,2.19798634820411,2.16955616480676,2.14075755057292,2.11163786713932,2.08224239445453,2.05261436437418,2.02279499806743,1.99282354672469,1.9627373351311,1.93257180755172,1.90236057560512,1.87213546773437,1.84192657998926,1.81176232765287,1.78166949764221,1.7516733013225,1.72179742750996,1.69206409548041,1.66249410779845,1.63310690279083,1.6039206065331,1.57495208421207,1.54621699075068,1.51772982059629,1.48950395658754,1.46155171782228,1.43388440646628,1.40651235344868,1.37944496300045,1.35269075600224,1.32625741211362,1.30015181066444,1.27438007029505,1.24894758733748,1.22385907293578,1.19911858890768,1.17472958235454,1.15069491902801,1.12701691547027,1.10369736993534,1.08073759215152,1.05813843186715,1.03590030626316,1.01402322625134,0.992506821670381,0.97135036541063,0.950552796496137,0.930112742152385,0.910028538888717,0.890298252624772,0.870919697890488,0.851890456129206,0.833207893133388,0.814869175642353,0.796871287131099,0.779211042819035,0.761885103927043,0.744889991210798,0.728222097797843,0.71187770135533,0.695852975614771,0.680144001279555,0.664746776340324,0.649657225822689,0.634871210991074,0.620384538031811,0.606192966237933,0.592292215717421,0.57867797464597,0.565345906084671,0.552291654382313,0.539510851181328
