"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.232810513964706,0.990675894452956,2.78773140242853,6.30368954633479,12.5921551821117,23.3387388350017,41.2452946602678,70.6314778231883,118.385026038895,195.458335119556,319.20810445298,517.006541907499,831.701033076622,1329.59067273286,2111.41750293922,3255.41316453818,4624.85095834142,6083.36430091613,7545.37575847526,8959.69644327353,10298.2454368787,11548.2619363647,12706.9074770981,13777.5031193197,14766.9035924631,15683.6645962567,16536.7803411769,17334.840782496,18085.504317164,18795.209984034,19469.0697883322,20110.8917276548,20723.2921304249,21307.8623112434,21865.3614278072,22395.9140318289,22899.196870275,23374.6051430831,23821.3928955442,24238.7857469892,24626.0667029032,24982.6374070739,25308.0581197519,25602.0700941254,25864.6040018002,26095.7777851804,26295.8869211514,26465.3896027534,26604.8888648903,26715.1132417322,26796.8971427609,26851.1617951071,26878.8973274518,26881.1463491544,26858.9892097691,26813.5310010695,26745.8902743179,26657.1893864422,26548.546352663,26421.0680613345,26275.8447019977,26113.9452561088,25936.4139096065,25744.267255094,25538.4921639277,25320.0442240442,25089.8466491527,24848.7895803048,24597.7297109339,24337.4901764813,24068.8606603103,23792.5976747031,23509.4249825077,23220.0341312653,22925.0850765757,22633.7101619906,22381.0814323486,22192.9832155742,22082.076582908,22052.7298088216,22104.1887987233,22232.6479522883,22432.5903437642,22697.6454889201,23021.129064964,23396.3700829164,23816.9040600285,24276.5752259382,24769.5835603551,25290.4957039646,25834.2357490513,26396.063978934,26971.5505857659,27556.5474062933,28147.1616749845,28739.7321587863,29330.8075621442,29917.1308477855,30495.6259541583,31063.3885039972,31617.680534973,32155.9269248554,32675.7150465104,33174.7958410136,33651.0860198522,34102.6712126804,34527.8091402894,34924.9327117973,35292.6525611628,35629.7587865333,35935.2216910163,36208.191358534,36447.9960189012,36654.1391415445,36826.2953038186,36964.3048782415,37068.1676255298,37138.0353372492,37174.2035911789,37177.1028153656,37147.2887785348,37085.4326562744,36992.3108020355,36868.79435946,36715.8388408024,36534.4737781708,36325.792551911,36090.94248335,35831.115267318,35547.5378091939,35241.4635180191,34914.1640966463,34566.9218594359,34201.022598162,33817.7490082597,33418.3746796597,33004.1586495969,32576.3405088696,32136.1360479259,31684.7334249541,31223.2898347169,30752.9286541458,30274.7370386718,29789.7639418098,29299.0185295833,28803.4689609185,28304.0415050762,27801.6199674751,27297.0453958367,26791.1160393952
2,0,1,1,0,818021.22396571,0,0.232810513964706,0.990675894452956,2.78773140242853,6.30368954633479,12.5921551821117,23.3387388350017,41.2452946602678,70.6314778231883,118.385026038895,195.458335119556,319.20810445298,517.006541907499,831.701033076622,1329.59067273286,2111.41750293922,3255.41316453818,4624.85095834142,6083.36430091613,7545.37575847526,8959.69644327353,10298.2454368787,11548.2619363647,12706.9074770981,13777.5031193197,14766.9035924631,15683.6645962567,16536.7803411769,17334.840782496,18085.504317164,18795.209984034,19469.0697883322,20110.8917276548,20723.2921304249,21307.8623112434,21865.3614278072,22395.9140318289,22899.196870275,23374.6051430831,23821.3928955442,24238.7857469892,24626.0667029032,24982.6374070739,25308.0581197519,25602.0700941254,25864.6040018002,26095.7777851804,26295.8869211514,26465.3896027534,26604.8888648903,26715.1132417322,26796.8971427609,26851.1617951071,26878.8973274518,26881.1463491544,26858.9892097691,26813.5310010695,26745.8902743179,26657.1893864422,26548.546352663,26421.0680613345,26275.8447019977,26113.9452561088,25936.4139096065,25744.267255094,25538.4921639277,25320.0442240442,25089.8466491527,24848.7895803048,24597.7297109339,24337.4901764813,24068.8606603103,23792.5976747031,23509.4249825077,23220.0341312653,22925.0850765757,22633.7101619906,22381.0814323486,22192.9832155742,22082.076582908,22052.7298088216,22104.1887987233,22232.6479522883,22432.5903437642,22697.6454889201,23021.129064964,23396.3700829164,23816.9040600285,24276.5752259382,24769.5835603551,25290.4957039646,25834.2357490513,26396.063978934,26971.5505857659,27556.5474062933,28147.1616749845,28739.7321587863,29330.8075621442,29917.1308477855,30495.6259541583,31063.3885039972,31617.680534973,32155.9269248554,32675.7150465104,33174.7958410136,33651.0860198522,34102.6712126804,34527.8091402894,34924.9327117973,35292.6525611628,35629.7587865333,35935.2216910163,36208.191358534,36447.9960189012,36654.1391415445,36826.2953038186,36964.3048782415,37068.1676255298,37138.0353372492,37174.2035911789,37177.1028153656,37147.2887785348,37085.4326562744,36992.3108020355,36868.79435946,36715.8388408024,36534.4737781708,36325.792551911,36090.94248335,35831.115267318,35547.5378091939,35241.4635180191,34914.1640966463,34566.9218594359,34201.022598162,33817.7490082597,33418.3746796597,33004.1586495969,32576.3405088696,32136.1360479259,31684.7334249541,31223.2898347169,30752.9286541458,30274.7370386718,29789.7639418098,29299.0185295833,28803.4689609185,28304.0415050762,27801.6199674751,27297.0453958367,26791.1160393952
3,0,1,0,1,2335.27250675705,0,0.129656705319199,0.231696299702685,0.313117273779418,0.380376164224723,0.440165966651838,0.500303126289146,0.570946839688517,0.666415698502768,0.807980475493947,1.02819983024392,1.37764798500838,1.93525858851457,2.82393181317865,4.23331232783969,6.45115912942937,9.70094553305343,13.5930501080481,17.738818453294,21.894388558036,25.9139284337991,29.7174734500935,33.2687229064222,36.5596515445702,39.5997827644606,42.408703485241,45.0108403328589,47.4318615454995,49.6962753590252,51.8259277001233,53.8391826256399,55.7506162196561,57.5710830448473,59.3080371473444,60.9660078416577,62.5471501182953,64.051808356719,65.4790493161504,66.8271364861847,68.0939306303988,69.2772114025654,70.3749221727728,71.3853447895483,72.3072136534271,73.1397795783425,73.8828338549093,74.5367021511499,75.1022167636071,75.5806743690701,75.9737850561244,76.2836171653098,76.5125413237087,76.6631760920155,76.7383368652182,76.7409890359494,76.6742059489146,76.541131823863,76.3449495695858,76.0888532429229,75.7760248037023,75.4096147544041,74.9927262397143,74.5284021767453,74.0196150143363,73.4692587444035,72.8801428239846,72.2549877109318,71.5964217441387,70.9069791430484,70.1890989299381,69.4451246070611,68.6773044509022,67.8877923060371,67.0786487803956,66.2518427615832,65.4092531879773,64.5769208107144,63.8551468964078,63.3174608166993,62.9999669782426,62.9151203902539,63.0607681292903,63.4260550512489,63.9952457315471,64.7501706523796,65.6717653792132,66.7410035914248,67.9394479701776,69.2495416676184,70.6547424460227,72.1395537902416,73.6894986410047,75.2910587606178,76.9315997780304,78.5992905816272,80.2830284653041,81.9723710666256,83.6574747794692,85.3290500374343,86.9783234321726,88.5970112137723,90.1773042614713,91.711857886901,93.1937908483036,94.6166884090384,95.9746086161173,97.2620912753624,98.4741669985423,99.6063660344696,100.654725501218,101.615794345043,102.486635451597,103.26482443509,103.948444974592,104.536080524701,105.026802531659,105.420155281276,105.716137626459,105.915182004458,106.018130923782,106.026211479665,105.941008233655,105.764434883413,105.498705090746,105.146302857173,104.709952802814,104.192590652998,103.597334230062,102.927455199093,102.186351782676,101.377522629299,100.5045419824,99.5710362668901,98.58066218017,97.537086346555,96.4439665697125,95.3049346952174,94.1235810757715,92.903440614776,91.6479803494123,90.3605885223957,89.0445650817719,87.7031135403601,86.3393341206293,84.9562181066254,83.5566433219241,82.1433706512736,80.7190415234169,79.2861762734015,77.847173304324,76.4043089707818
4,0,1,1,1,2335.27250675705,0,0.129656705319199,0.231696299702685,0.313117273779418,0.380376164224723,0.440165966651838,0.500303126289146,0.570946839688517,0.666415698502768,0.807980475493947,1.02819983024392,1.37764798500838,1.93525858851457,2.82393181317865,4.23331232783969,6.45115912942937,9.70094553305343,13.5930501080481,17.738818453294,21.894388558036,25.9139284337991,29.7174734500935,33.2687229064222,36.5596515445702,39.5997827644606,42.408703485241,45.0108403328589,47.4318615454995,49.6962753590252,51.8259277001233,53.8391826256399,55.7506162196561,57.5710830448473,59.3080371473444,60.9660078416577,62.5471501182953,64.051808356719,65.4790493161504,66.8271364861847,68.0939306303988,69.2772114025654,70.3749221727728,71.3853447895483,72.3072136534271,73.1397795783425,73.8828338549093,74.5367021511499,75.1022167636071,75.5806743690701,75.9737850561244,76.2836171653098,76.5125413237087,76.6631760920155,76.7383368652182,76.7409890359494,76.6742059489146,76.541131823863,76.3449495695858,76.0888532429229,75.7760248037023,75.4096147544041,74.9927262397143,74.5284021767453,74.0196150143363,73.4692587444035,72.8801428239846,72.2549877109318,71.5964217441387,70.9069791430484,70.1890989299381,69.4451246070611,68.6773044509022,67.8877923060371,67.0786487803956,66.2518427615832,65.4092531879773,64.5769208107144,63.8551468964078,63.3174608166993,62.9999669782426,62.9151203902539,63.0607681292903,63.4260550512489,63.9952457315471,64.7501706523796,65.6717653792132,66.7410035914248,67.9394479701776,69.2495416676184,70.6547424460227,72.1395537902416,73.6894986410047,75.2910587606178,76.9315997780304,78.5992905816272,80.2830284653041,81.9723710666256,83.6574747794692,85.3290500374343,86.9783234321726,88.5970112137723,90.1773042614713,91.711857886901,93.1937908483036,94.6166884090384,95.9746086161173,97.2620912753624,98.4741669985423,99.6063660344696,100.654725501218,101.615794345043,102.486635451597,103.26482443509,103.948444974592,104.536080524701,105.026802531659,105.420155281276,105.716137626459,105.915182004458,106.018130923782,106.026211479665,105.941008233655,105.764434883413,105.498705090746,105.146302857173,104.709952802814,104.192590652998,103.597334230062,102.927455199093,102.186351782676,101.377522629299,100.5045419824,99.5710362668901,98.58066218017,97.537086346555,96.4439665697125,95.3049346952174,94.1235810757715,92.903440614776,91.6479803494123,90.3605885223957,89.0445650817719,87.7031135403601,86.3393341206293,84.9562181066254,83.5566433219241,82.1433706512736,80.7190415234169,79.2861762734015,77.847173304324,76.4043089707818
5,0,2,0,0,527895.493723415,0,0.197653279113764,0.727128958937495,1.90514630994703,4.12468911963079,7.97758299358174,14.4007432265011,24.8898537212044,41.83165636076,69.0278425527794,112.520031043574,181.880607757394,292.208728187482,467.15766221562,743.382578319196,1176.73269841019,1811.10414979175,2572.20249543656,3385.82135821611,4205.49234272794,5003.42400726062,5764.32064200411,6481.14443573829,7152.19321882609,7779.06882167045,8365.25936797944,8915.14733365985,9433.32356109469,9924.12765406427,10391.3603258474,10838.1280147634,11266.7882591134,11678.9689504872,12075.638360109,12457.2060012785,12823.638046476,13174.5747139911,13509.4405377882,13827.5417515076,14128.1476861559,14410.5551931504,14674.1366369819,14918.3729724565,15142.873976916,15347.38793376,15531.8030390324,15696.142624909,15840.5560428207,15965.3067467776,16070.7588149733,16157.3628724584,16225.6421268729,16276.1790176141,16309.6028093804,16326.5783238746,16327.7958998719,16313.9625967569,16285.794602779,16244.0107744661,16189.3272131218,16122.4527725143,16044.0853911572,15954.9091429669,15855.5919081531,15746.7835728178,15629.1146749592,15503.1954256183,15369.6150408358,15228.9413308363,15081.7204998239,14928.4771167257,14769.7142244708,14605.9135602647,14437.5358639559,14265.0212558628,14088.7896687783,13909.4653137098,13728.3867095994,13546.7990480356,13365.801371606,13186.4457623957,13009.7650690877,12836.7672522053,12668.4169250255,12505.6147917828,12349.1797126415,12199.835216371,12058.200630823,11924.7861848529,11799.9913194063,11684.1054288377,11577.3103290979,11479.683975046,11391.2050411833,11311.7582240634,11241.1400269007,11179.0650507083,11125.17284006,11079.0350783075,11040.1633021242,11008.0169188858,10982.0116318516,10961.5279798308,10945.9200036517,10934.5238736635,10926.6662533161,10921.6723855358,10918.8736524012,10917.6145658752,10917.2590777123,10917.1961325651,10916.8444371656,10915.6564147234,10913.1213664905,10908.7678460652,10902.1653048738,10892.9250514134,10880.7005880789,10865.1874117799,10846.122311787,10823.2822714454,10796.4830290427,10765.5773644835,10730.4531726108,10691.0313800766,10647.2637554057,10599.1306559975,10546.6387505896,10489.8187488003,10428.7231652532,10363.4241399205,10294.0113321134,10220.5899018252,10143.2785881953,10062.2078921243,9977.51836744992,9889.35902282407,9797.88583474786,9703.26037071816,9605.64852025835,9505.21933072716,9402.14394408742,9296.59463031097,9188.74391275344,9078.76378060398,8966.82498340123,8853.0964025781,8737.74449503399,8620.93280382475,8502.82153119332,8383.56716932574
6,0,2,1,0,527895.493723415,0,0.197653279113764,0.727128958937495,1.90514630994703,4.12468911963079,7.97758299358174,14.4007432265011,24.8898537212044,41.83165636076,69.0278425527794,112.520031043574,181.880607757394,292.208728187482,467.15766221562,743.382578319196,1176.73269841019,1811.10414979175,2572.20249543656,3385.82135821611,4205.49234272794,5003.42400726062,5764.32064200411,6481.14443573829,7152.19321882609,7779.06882167045,8365.25936797944,8915.14733365985,9433.32356109469,9924.12765406427,10391.3603258474,10838.1280147634,11266.7882591134,11678.9689504872,12075.638360109,12457.2060012785,12823.638046476,13174.5747139911,13509.4405377882,13827.5417515076,14128.1476861559,14410.5551931504,14674.1366369819,14918.3729724565,15142.873976916,15347.38793376,15531.8030390324,15696.142624909,15840.5560428207,15965.3067467776,16070.7588149733,16157.3628724584,16225.6421268729,16276.1790176141,16309.6028093804,16326.5783238746,16327.7958998719,16313.9625967569,16285.794602779,16244.0107744661,16189.3272131218,16122.4527725143,16044.0853911572,15954.9091429669,15855.5919081531,15746.7835728178,15629.1146749592,15503.1954256183,15369.6150408358,15228.9413308363,15081.7204998239,14928.4771167257,14769.7142244708,14605.9135602647,14437.5358639559,14265.0212558628,14088.7896687783,13909.4653137098,13728.3867095994,13546.7990480356,13365.801371606,13186.4457623957,13009.7650690877,12836.7672522053,12668.4169250255,12505.6147917828,12349.1797126415,12199.835216371,12058.200630823,11924.7861848529,11799.9913194063,11684.1054288377,11577.3103290979,11479.683975046,11391.2050411833,11311.7582240634,11241.1400269007,11179.0650507083,11125.17284006,11079.0350783075,11040.1633021242,11008.0169188858,10982.0116318516,10961.5279798308,10945.9200036517,10934.5238736635,10926.6662533161,10921.6723855358,10918.8736524012,10917.6145658752,10917.2590777123,10917.1961325651,10916.8444371656,10915.6564147234,10913.1213664905,10908.7678460652,10902.1653048738,10892.9250514134,10880.7005880789,10865.1874117799,10846.122311787,10823.2822714454,10796.4830290427,10765.5773644835,10730.4531726108,10691.0313800766,10647.2637554057,10599.1306559975,10546.6387505896,10489.8187488003,10428.7231652532,10363.4241399205,10294.0113321134,10220.5899018252,10143.2785881953,10062.2078921243,9977.51836744992,9889.35902282407,9797.88583474786,9703.26037071816,9605.64852025835,9505.21933072716,9402.14394408742,9296.59463031097,9188.74391275344,9078.76378060398,8966.82498340123,8853.0964025781,8737.74449503399,8620.93280382475,8502.82153119332,8383.56716932574
7,0,2,0,1,171228.02725029,0,0.151512515936861,0.390926556012911,0.824720636237306,1.583423008202,2.86149531668632,4.96487130616744,8.38034868482834,13.8834378844747,22.7083458112065,36.8156087418952,59.3108222984134,95.0920887238286,151.831981286126,241.420232985564,381.972219628475,587.72619089815,834.5844582767,1098.4778554316,1364.33418010812,1623.13919614537,1869.93171849974,2102.42904820601,2320.07912242741,2523.40154088428,2713.52772557734,2891.87917998541,3059.9449865702,3219.13273205802,3370.67520664262,3515.5800048191,3654.61180804185,3788.29863019374,3916.95453152407,4040.71233439474,4159.56105986061,4273.38400302252,4381.99449996673,4485.16751505281,4582.66604290643,4674.2620045498,4759.75181420998,4838.96710819597,4911.78130739553,4978.11275822201,5037.92518887369,5091.22616005785,5138.06410788332,5178.5244786155,5212.72535687377,5240.81289955897,5262.95680645018,5279.34598977151,5290.18455007241,5295.68812127636,5296.08061415686,5291.5913631407,5282.45266386876,5268.89767765558,5251.15867233344,5229.46556513464,5204.04473303579,5175.11805611201,5142.90216206824,5107.60784226066,5069.43961251269,5028.59539561111,4985.26630461576,4939.63650960294,4891.88317272198,4842.17643870033,4790.67947028353,4737.54851967765,4682.93302856523,4626.97575065107,4569.81289178141,4511.64691688152,4452.91198145201,4394.01196973743,4335.30336167292,4277.12740532381,4219.81911034968,4163.70541384336,4109.09919300122,4056.29259576611,4005.55122348011,3957.10975617892,3911.16907570134,3867.8946769623,3827.41612014056,3789.82727112775,3755.18710209906,3723.5208972459,3694.82173856489,3669.05222572778,3646.14635235528,3626.01154658756,3608.53089155038,3593.56545916965,3580.95681243308,3570.52960587882,3562.09431835722,3555.45002292639,3550.38719787752,3546.6905251205,3544.14160296502,3542.52156898883,3541.61355206711,3541.20493986172,3541.08942547997,3541.06880866058,3540.95454268799,3540.5690170268,3539.74658279511,3538.33432288507,3536.19258568491,3533.19529621477,3529.23006537835,3524.1981252909,3518.01410153036,3510.60565690044,3501.913024638,3491.88845268413,3480.49557875273,3467.70875465326,3453.51233597002,3437.89995128696,3420.87376345318,3402.44373314473,3382.62689364337,3361.44664385002,3338.9320651865,3315.11726683034,3290.0407624517,3263.74488073221,3236.27521109639,3207.68008534964,3178.01009537104,3147.31764652163,3115.65654604563,3083.08162545709,3049.64839567362,3015.41273349471,2980.43059791103,2944.75777465711,2908.44964738279,2871.56099380941,2834.14580524865,2796.2571278914,2757.94692431729,2719.26595372781
8,0,2,1,1,171228.02725029,0,0.151512515936861,0.390926556012911,0.824720636237306,1.583423008202,2.86149531668632,4.96487130616744,8.38034868482834,13.8834378844747,22.7083458112065,36.8156087418952,59.3108222984134,95.0920887238286,151.831981286126,241.420232985564,381.972219628475,587.72619089815,834.5844582767,1098.4778554316,1364.33418010812,1623.13919614537,1869.93171849974,2102.42904820601,2320.07912242741,2523.40154088428,2713.52772557734,2891.87917998541,3059.9449865702,3219.13273205802,3370.67520664262,3515.5800048191,3654.61180804185,3788.29863019374,3916.95453152407,4040.71233439474,4159.56105986061,4273.38400302252,4381.99449996673,4485.16751505281,4582.66604290643,4674.2620045498,4759.75181420998,4838.96710819597,4911.78130739553,4978.11275822201,5037.92518887369,5091.22616005785,5138.06410788332,5178.5244786155,5212.72535687377,5240.81289955897,5262.95680645018,5279.34598977151,5290.18455007241,5295.68812127636,5296.08061415686,5291.5913631407,5282.45266386876,5268.89767765558,5251.15867233344,5229.46556513464,5204.04473303579,5175.11805611201,5142.90216206824,5107.60784226066,5069.43961251269,5028.59539561111,4985.26630461576,4939.63650960294,4891.88317272198,4842.17643870033,4790.67947028353,4737.54851967765,4682.93302856523,4626.97575065107,4569.81289178141,4511.64691688152,4452.91198145201,4394.01196973743,4335.30336167292,4277.12740532381,4219.81911034968,4163.70541384336,4109.09919300122,4056.29259576611,4005.55122348011,3957.10975617892,3911.16907570134,3867.8946769623,3827.41612014056,3789.82727112775,3755.18710209906,3723.5208972459,3694.82173856489,3669.05222572778,3646.14635235528,3626.01154658756,3608.53089155038,3593.56545916965,3580.95681243308,3570.52960587882,3562.09431835722,3555.45002292639,3550.38719787752,3546.6905251205,3544.14160296502,3542.52156898883,3541.61355206711,3541.20493986172,3541.08942547997,3541.06880866058,3540.95454268799,3540.5690170268,3539.74658279511,3538.33432288507,3536.19258568491,3533.19529621477,3529.23006537835,3524.1981252909,3518.01410153036,3510.60565690044,3501.913024638,3491.88845268413,3480.49557875273,3467.70875465326,3453.51233597002,3437.89995128696,3420.87376345318,3402.44373314473,3382.62689364337,3361.44664385002,3338.9320651865,3315.11726683034,3290.0407624517,3263.74488073221,3236.27521109639,3207.68008534964,3178.01009537104,3147.31764652163,3115.65654604563,3083.08162545709,3049.64839567362,3015.41273349471,2980.43059791103,2944.75777465711,2908.44964738279,2871.56099380941,2834.14580524865,2796.2571278914,2757.94692431729,2719.26595372781
9,11,2,0,0,292.1211864,0,0.131236701746726,0.242334130593059,0.343153552215423,0.439381312750802,0.534195710187886,0.629369815120602,0.726027136269717,0.825204020559425,0.928338262263033,1.03779043126178,1.15750944605267,1.2939752244541,1.45758332980674,1.66466453924381,1.94031275602266,2.30433810002209,2.72340955311944,3.16478291353687,3.60838404305572,4.04243725267051,4.46057374381084,4.85991017940826,5.23976380979622,5.60078427317219,5.94436276395215,6.27222669288471,6.58616344881196,6.88783726448283,7.1786756794922,7.45980918033096,7.73205134831924,7.99590881943701,8.25161184187099,8.49915741846636,8.73835844114782,8.96889367654307,9.19035486315802,9.40228852194711,9.60423117049464,9.79573749583617,9.97640167280422,10.1458724172221,10.3038625966541,10.4501543206194,10.5846004282868,10.7071232255212,10.8177112263807,10.9164145359799,11.0033393927296,11.0786422791589,11.1425239109257,11.1952233289922,11.2370122517466,11.2681897880468,11.2890775692929,11.3000153269908,11.3013569188319,11.29346679032,11.2767168486919,11.2514837192475,11.2181463516373,11.1770839422742,11.1286741402547,11.0732915054466,11.0113061896409,10.9430828147851,10.8689795241802,10.7893471858123,10.704528729108,10.6148585985531,10.5206623100195,10.4222560972504,10.3199466374873,10.2140308467368,10.1047957363866,9.99251921150971,9.877490014837,9.76005448246829,9.64063580658039,9.51972371857896,9.39785243295082,9.27557661044389,9.15344982528693,9.03200722820439,8.91175255693675,8.79314910250127,8.67661387248228,8.56251424890547,8.45116647604626,8.34283548385048,8.23773561710877,8.13603201102654,8.03784239828888,7.94323927109484,7.85225226708704,7.76487078816222,7.68104687506042,7.60069821849091,7.52371140697154,7.44994530754258,7.3792346129176,7.31139346182455,7.24621911154216,7.18349561216109,7.12299738935582,7.06449272624759,7.00774704817825,6.95252598955401,6.89859819793435,6.84573784234989,6.79372681320815,6.74235659879896,6.6914298448117,6.64076159655009,6.59018024475472,6.53952818984883,6.4886622479436,6.43745383171661,6.38578891746048,6.33356784020894,6.28070493816065,6.22712807252161,6.17277804683802,6.11760794862392,6.06158243337859,6.0046769689163,5.94687705599568,5.88817743859041,5.8285813155673,5.76809956326003,5.70674997675331,5.64455653621902,5.58154870305489,5.51776074944869,5.45323112391449,5.38800185438608,5.32211798973357,5.25562707991611,5.1885786944554,5.12102397851354,5.05301524552287,4.98460560506524,4.91584862451757,4.8467980228481,4.77750739486485,4.70802996417349,4.63841836308582,4.56872443773039,4.49899907664662,4.42929206118744
10,11,2,0,1,67.8788136,0,0.129785277331552,0.232419237988365,0.31442437562206,0.380592731954969,0.434505564829914,0.478899632643034,0.515933802414585,0.547394597952736,0.574870829347349,0.599923962487828,0.624281520211582,0.650085266875753,0.680232846208463,0.718857618099557,0.771986822465074,0.844383999737668,0.928750343577102,1.01787307470282,1.10736384435813,1.19467819793677,1.27846811277706,1.3581526449128,1.43363151711309,1.50509213326483,1.57287867395848,1.63740262414884,1.69908207936724,1.75830176853978,1.81538854068871,1.87059865324359,1.92411403840121,1.97604516296062,2.02643842575865,2.07528630378108,2.12253877484963,2.16811486966322,2.21191352001904,2.25382317088908,2.29372986822253,2.33152372831801,2.36710383614233,2.40038170999644,2.43128352183834,2.45975128437124,2.48574321459874,2.50923346817681,2.53021141669047,2.54868061299627,2.56465756267398,2.57817039486535,2.58925750311937,2.59796620761596,2.60435147463263,2.60847471642558,2.61040268494216,2.61020646557719,2.60796057184452,2.60374213818405,2.59763020577025,2.58970509466715,2.58004785507081,2.56873979005604,2.55586204250257,2.54149523915451,2.52571918526379,2.50861260396531,2.49025291494863,2.47071604772804,2.45007628528891,2.42840613437031,2.40577621918566,2.38225519574376,2.35790968427768,2.33280421763,2.30700120371613,2.28056110095355,2.25354691906793,2.22603477735225,2.19811825195659,2.1699060410495,2.14151697808855,2.11307459780382,2.08470226804008,2.05651926963973,2.0286378586323,2.00116122222161,1.97418215716016,1.9477823118156,1.92203184176884,1.89698936726739,1.87270213541566,1.84920632850771,1.82652746994442,1.80468091045028,1.78367236496489,1.76349850223891,1.74414759230585,1.72560018488359,1.70782984133453,1.6908038967221,1.67448425954267,1.65882822806318,1.64378931851958,1.62931809376886,1.61536297133676,1.60187100872793,1.58878864426813,1.57606238876846,1.56363945788121,1.55146833768807,1.53949928066145,1.52768472861142,1.51597966406416,1.50434188999991,1.49273224267153,1.48111474084953,1.46945667676388,1.45772865622049,1.44590459044542,1.43396164912055,1.42188017940391,1.40964359683465,1.39723825355918,1.3846532890291,1.37188046770957,1.35891400784575,1.34575040489812,1.33238825265959,1.31882806471169,1.30507209836215,1.29112418282878,1.27698955310111,1.26267469055239,1.24818717111957,1.23353552162581,1.21872908460297,1.20377789180889,1.18869254648713,1.17348411429711,1.15816402275235,1.14274396892841,1.1272358351458,1.11165161229217,1.09600333041847,1.08030299622471,1.06456253704133,1.04879375090825,1.0330082623563,1.01721748350234,1.00143258007928
