"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,5.53731990226954,11.2735115664516,18.4752261048819,28.3991448627011,42.6309200606646,63.4141281735025,94.0634876604506,139.55024601501,207.366351666216,308.812202560905,460.909593624218,689.209860429749,1031.83815993754,1545.13155150168,2311.09066784095,3388.90902061365,4660.33732120707,6010.33800112381,7367.65892328091,8690.52685752939,9956.8703907536,11157.5903938772,12291.8877768534,13363.9827093031,14380.7969773312,15350.3149440689,16280.4464782524,17178.2753326636,18049.6111705547,18898.780574635,19728.6005623756,20540.4828605436,21334.6230162379,22110.2349058828,22865.7991230743,23599.3023364164,24308.4522323155,24990.8595559381,25644.1839902154,26266.2443870392,26855.0963935147,27409.0818602303,27926.855020463,28407.3903456099,28849.9766736346,29254.2015639634,29619.9291924261,29947.2744326213,30236.5751598349,30488.3642816632,30703.3425553503,30882.3528951077,31026.3565955885,31136.4116886219,31213.6535030194,31259.2773896946,31274.5235087693,31260.6635339107,31218.9891085945,31150.8018819171,31057.4049543715,30940.0955728081,30800.1589256564,30638.8629032022,30457.4537026903,30257.1521704924,30039.1507866128,29804.6112104615,29554.6623152128,29290.398647656,29012.8792593991,28723.1268619497,28422.127263612,28110.8290518385,27790.1434898016,27501.3240919947,27409.7226369741,27641.3901127236,28268.9439754871,29332.4908933392,30850.2184850545,32823.2118574113,35237.1700525816,38062.7108074911,41255.4032898044,44756.3019662117,48493.4531197043,52384.5385825594,56340.5460481149,60270.1223635765,64084.1294782954,67699.9062398913,71044.8147894196,74058.7961808383,76695.8267440832,78924.3169825574,80726.6044443179,82097.7553251122,83043.9021995032,83580.3368565562,83729.5369953698,83519.2643385483,82980.8272560417,82147.5642871986,81053.5721185594,79732.6798944505,78217.6563405369,76539.6254414727,74727.6640455254,72808.5487642146,70806.6267129788,68743.7825735878,66639.4784958654,64510.8474265328,62372.82338025,60238.2952584261,58118.2738323815,56022.0636889664,53957.4341418008,51930.7847807425,49947.3025360322,48011.1084811836,46125.3931944015,44292.5402266624,42514.2377021438,40791.5783620908,39125.1486305529,37515.1074116356,35961.2553944022,34463.0956808558,33019.8865932009,31630.6874220659,30294.3979008028,29009.7921316762,27775.5475838308,26590.2697948018,25452.513302995,24360.799307928,23313.6304836824,22309.5033380828,21346.9184540905,20424.3889107442,19540.44714812,18693.6505006233,17882.5855978865,17105.8718047107,16362.1638470444,15650.1537525483,14968.5722149571,14316.1894763299
2,0,1,0,0,1,818021.22396571,0,5.53731990226954,11.2735115664516,18.4752261048819,28.3991448627011,42.6309200606646,63.4141281735025,94.0634876604506,139.55024601501,207.366351666216,308.812202560905,460.909593624218,689.209860429749,1031.83815993754,1545.13155150168,2311.09066784095,3388.90902061365,4660.33732120707,6010.33800112381,7367.65892328091,8690.52685752939,9956.8703907536,11157.5903938772,12291.8877768534,13363.9827093031,14380.7969773312,15350.3149440689,16280.4464782524,17178.2753326636,18049.6111705547,18898.780574635,19728.6005623756,20540.4828605436,21334.6230162379,22110.2349058828,22865.7991230743,23599.3023364164,24308.4522323155,24990.8595559381,25644.1839902154,26266.2443870392,26855.0963935147,27409.0818602303,27926.855020463,28407.3903456099,28849.9766736346,29254.2015639634,29619.9291924261,29947.2744326213,30236.5751598349,30488.3642816632,30703.3425553503,30882.3528951077,31026.3565955885,31136.4116886219,31213.6535030194,31259.2773896946,31274.5235087693,31260.6635339107,31218.9891085945,31150.8018819171,31057.4049543715,30940.0955728081,30800.1589256564,30638.8629032022,30457.4537026903,30257.1521704924,30039.1507866128,29804.6112104615,29554.6623152128,29290.398647656,29012.8792593991,28723.1268619497,28422.127263612,28110.8290518385,27790.1434898016,27501.3240919947,27409.7226369741,27641.3901127236,28268.9439754871,29332.4908933392,30850.2184850545,32823.2118574113,35237.1700525816,38062.7108074911,41255.4032898044,44756.3019662117,48493.4531197043,52384.5385825594,56340.5460481149,60270.1223635765,64084.1294782954,67699.9062398913,71044.8147894196,74058.7961808383,76695.8267440832,78924.3169825574,80726.6044443179,82097.7553251122,83043.9021995032,83580.3368565562,83729.5369953698,83519.2643385483,82980.8272560417,82147.5642871986,81053.5721185594,79732.6798944505,78217.6563405369,76539.6254414727,74727.6640455254,72808.5487642146,70806.6267129788,68743.7825735878,66639.4784958654,64510.8474265328,62372.82338025,60238.2952584261,58118.2738323815,56022.0636889664,53957.4341418008,51930.7847807425,49947.3025360322,48011.1084811836,46125.3931944015,44292.5402266624,42514.2377021438,40791.5783620908,39125.1486305529,37515.1074116356,35961.2553944022,34463.0956808558,33019.8865932009,31630.6874220659,30294.3979008028,29009.7921316762,27775.5475838308,26590.2697948018,25452.513302995,24360.799307928,23313.6304836824,22309.5033380828,21346.9184540905,20424.3889107442,19540.44714812,18693.6505006233,17882.5855978865,17105.8718047107,16362.1638470444,15650.1537525483,14968.5722149571,14316.1894763299
3,0,1,1,0,0,2335.27250675705,0,0.0158078428163506,0.0321834212174983,0.0527427483723325,0.0810733759348728,0.121701995790272,0.181033530335095,0.268530779138243,0.39838557152607,0.591985789225596,0.881591608217001,1.31579654727433,1.9675441067956,2.94567330984792,4.41101419600329,6.59766071969057,9.67459746994506,13.3042484712901,17.1582065099694,21.0330622465883,24.8095622033309,28.4246973008183,31.8524915064677,35.0906635921615,38.1512612234134,41.0540445926428,43.8218073183499,46.4771303537549,49.040236270879,51.5277103935119,53.9519041733682,56.3208595820476,58.6386067921297,60.9057040480102,63.1199071380238,65.2768784876702,67.3708704741271,69.3953390411335,71.3434633862938,73.2085624138764,74.9844094208803,76.6654537030866,78.2469616049136,79.7250912553476,81.0969149934907,82.360402606553,83.5143766664868,84.558449424856,85.492948820776,86.3188394146307,87.0376425415906,87.6513587110288,88.1623942595127,88.5734934739975,88.8876768050159,89.1081853691583,89.238431633048,89.2819559838432,89.2423887730138,89.123417361485,88.9287576740507,88.6621297789265,88.3272370334528,87.9277483708031,87.4672833417169,86.949399568024,86.3775823003307,85.7552358094402,85.0856763800682,84.372126699366,83.6177114601275,82.8254540241327,81.9982740100859,81.1389856860798,80.2502970627785,79.3348095981524,78.510293094966,78.2487908830166,78.9101510910132,80.7016807473173,83.7378756578423,88.0706575146464,93.7031240613481,100.594449176744,108.660752896436,117.775194866941,127.76949842342,138.43825136853,149.546453254535,160.839993324376,172.058078214904,182.946238197355,193.268493677464,202.817479381602,211.421740093978,218.949888256161,225.311742732571,230.456881068125,234.371218325796,237.072261670867,238.603665832014,239.029599746646,238.42931708892,236.892196439042,234.513412068871,231.390302595445,227.619442861028,223.294380443464,218.50396754308,213.331212231491,207.852555905173,202.137504278202,196.248533352618,190.241203329152,184.164425040757,178.060831848071,171.967218758633,165.915019127459,159.930795524347,154.036727648259,148.251084935015,142.588674941229,137.061262434602,131.677955821303,126.445559620457,121.368893059078,116.451075675525,111.693781582791,107.097464417504,102.661555190329,98.3846353656637,94.2645876148688,90.298726417486,86.4839107517693,82.8166409465684,79.2931414642139,75.9094314179509,72.6613843296123,69.5447785457647,66.5553395268861,63.6887751301345,60.9408048462957,58.3071838397362,55.7837225463684,53.3663024699965,51.0508887459192,48.833539961215,46.7104156513409,44.6777818400208,42.732014934202,40.869604242688
4,0,1,1,0,1,2335.27250675705,0,0.0158078428163506,0.0321834212174983,0.0527427483723325,0.0810733759348728,0.121701995790272,0.181033530335095,0.268530779138243,0.39838557152607,0.591985789225596,0.881591608217001,1.31579654727433,1.9675441067956,2.94567330984792,4.41101419600329,6.59766071969057,9.67459746994506,13.3042484712901,17.1582065099694,21.0330622465883,24.8095622033309,28.4246973008183,31.8524915064677,35.0906635921615,38.1512612234134,41.0540445926428,43.8218073183499,46.4771303537549,49.040236270879,51.5277103935119,53.9519041733682,56.3208595820476,58.6386067921297,60.9057040480102,63.1199071380238,65.2768784876702,67.3708704741271,69.3953390411335,71.3434633862938,73.2085624138764,74.9844094208803,76.6654537030866,78.2469616049136,79.7250912553476,81.0969149934907,82.360402606553,83.5143766664868,84.558449424856,85.492948820776,86.3188394146307,87.0376425415906,87.6513587110288,88.1623942595127,88.5734934739975,88.8876768050159,89.1081853691583,89.238431633048,89.2819559838432,89.2423887730138,89.123417361485,88.9287576740507,88.6621297789265,88.3272370334528,87.9277483708031,87.4672833417169,86.949399568024,86.3775823003307,85.7552358094402,85.0856763800682,84.372126699366,83.6177114601275,82.8254540241327,81.9982740100859,81.1389856860798,80.2502970627785,79.3348095981524,78.510293094966,78.2487908830166,78.9101510910132,80.7016807473173,83.7378756578423,88.0706575146464,93.7031240613481,100.594449176744,108.660752896436,117.775194866941,127.76949842342,138.43825136853,149.546453254535,160.839993324376,172.058078214904,182.946238197355,193.268493677464,202.817479381602,211.421740093978,218.949888256161,225.311742732571,230.456881068125,234.371218325796,237.072261670867,238.603665832014,239.029599746646,238.42931708892,236.892196439042,234.513412068871,231.390302595445,227.619442861028,223.294380443464,218.50396754308,213.331212231491,207.852555905173,202.137504278202,196.248533352618,190.241203329152,184.164425040757,178.060831848071,171.967218758633,165.915019127459,159.930795524347,154.036727648259,148.251084935015,142.588674941229,137.061262434602,131.677955821303,126.445559620457,121.368893059078,116.451075675525,111.693781582791,107.097464417504,102.661555190329,98.3846353656637,94.2645876148688,90.298726417486,86.4839107517693,82.8166409465684,79.2931414642139,75.9094314179509,72.6613843296123,69.5447785457647,66.5553395268861,63.6887751301345,60.9408048462957,58.3071838397362,55.7837225463684,53.3663024699965,51.0508887459192,48.833539961215,46.7104156513409,44.6777818400208,42.732014934202,40.869604242688
5,0,2,0,0,0,527895.493723415,0,3.53997585932418,7.03595249775109,11.1791162852763,16.6568855840047,24.3344712744438,35.4332131570873,51.7564276660609,76.0105994910833,112.280518896691,166.738538804204,248.700372265916,372.179457801725,558.135153236501,837.627980781986,1256.03687662136,1846.78474728545,2546.60066492759,3293.77820011774,4050.21678933658,4793.60534043744,5512.13204887519,6200.87137942496,6859.28779696446,7489.48480678966,8094.96459719607,8679.74583566127,9247.74782599422,9802.38206122971,10346.3102226019,10881.3355766974,11408.3977245728,11927.6420522075,12438.5376814764,12940.0209861127,13430.6460976029,13908.7288161675,14372.474797465,14820.0870263976,15249.8507508924,15660.1963405952,16049.7420689586,16417.3196265951,16761.9855266261,17083.021492154,17379.9267087331,17652.4044104334,17900.3448585271,18123.8063471513,18322.9954831674,18498.2476509744,18650.0082930314,18778.8154128176,18885.2835337651,18970.0892181206,19033.9581589611,19077.6537936456,19101.9673482458,19107.7091991601,19095.7014277916,19066.7714423043,19021.7465445744,18961.4493282392,18886.6938031855,18798.2821522591,18697.002037058,18583.6243788073,18458.9015497804,18323.5659204488,18178.3287135726,18023.8791232605,17860.8836633113,17689.9857138122,17511.8052387795,17326.9386515545,17135.9588081458,16960.4001134902,16886.6751122618,16981.7418232551,17285.7321642945,17822.7872337468,18606.5597506739,19642.6896579062,20929.5880982744,22458.3658299712,24212.4802504561,26167.5150131116,28291.3826560308,30545.1089746678,32884.228005021,35260.6906571909,37625.0942521099,39928.9954475847,42127.0694692853,44178.9225115816,46050.4323790616,47714.5668629616,49151.6949744304,50349.4559465422,51302.2759469616,52010.6368099116,52480.1940132469,52720.8299976094,52745.710362853,52570.3934710174,52212.0261957227,51688.6443429881,51018.5852684806,50220.0111920148,49310.5371764061,48306.9520142558,47225.0212451821,46079.3595480188,44883.3597758121,43649.1676268202,42387.6917359331,41108.6403608099,39820.5772882445,38530.9907396718,37246.3703221014,35972.2881258524,34713.4808229951,33473.9306026724,32256.943229749,31065.2220863448,29900.9374663373,28765.790711601,27661.0729798297,26587.7187080301,25546.3538621265,24537.3392195621,23560.8089907071,22616.7050863045,21704.8073900292,20824.7603910483,19976.0965066743,19158.2564327299,18370.6068311797,17612.4556495036,16883.0653333474,16181.664183755,15507.4560780285,14859.6287545148,14237.3608430384,13639.8277991372,13066.2068855579,12515.6813270172,11987.4437487419,11480.6989971012,10994.6664277149,10528.5817359732
6,0,2,0,0,1,527895.493723415,0,3.53997585932418,7.03595249775109,11.1791162852763,16.6568855840047,24.3344712744438,35.4332131570873,51.7564276660609,76.0105994910833,112.280518896691,166.738538804204,248.700372265916,372.179457801725,558.135153236501,837.627980781986,1256.03687662136,1846.78474728545,2546.60066492759,3293.77820011774,4050.21678933658,4793.60534043744,5512.13204887519,6200.87137942496,6859.28779696446,7489.48480678966,8094.96459719607,8679.74583566127,9247.74782599422,9802.38206122971,10346.3102226019,10881.3355766974,11408.3977245728,11927.6420522075,12438.5376814764,12940.0209861127,13430.6460976029,13908.7288161675,14372.474797465,14820.0870263976,15249.8507508924,15660.1963405952,16049.7420689586,16417.3196265951,16761.9855266261,17083.021492154,17379.9267087331,17652.4044104334,17900.3448585271,18123.8063471513,18322.9954831674,18498.2476509744,18650.0082930314,18778.8154128176,18885.2835337651,18970.0892181206,19033.9581589611,19077.6537936456,19101.9673482458,19107.7091991601,19095.7014277916,19066.7714423043,19021.7465445744,18961.4493282392,18886.6938031855,18798.2821522591,18697.002037058,18583.6243788073,18458.9015497804,18323.5659204488,18178.3287135726,18023.8791232605,17860.8836633113,17689.9857138122,17511.8052387795,17326.9386515545,17135.9588081458,16960.4001134902,16886.6751122618,16981.7418232551,17285.7321642945,17822.7872337468,18606.5597506739,19642.6896579062,20929.5880982744,22458.3658299712,24212.4802504561,26167.5150131116,28291.3826560308,30545.1089746678,32884.228005021,35260.6906571909,37625.0942521099,39928.9954475847,42127.0694692853,44178.9225115816,46050.4323790616,47714.5668629616,49151.6949744304,50349.4559465422,51302.2759469616,52010.6368099116,52480.1940132469,52720.8299976094,52745.710362853,52570.3934710174,52212.0261957227,51688.6443429881,51018.5852684806,50220.0111920148,49310.5371764061,48306.9520142558,47225.0212451821,46079.3595480188,44883.3597758121,43649.1676268202,42387.6917359331,41108.6403608099,39820.5772882445,38530.9907396718,37246.3703221014,35972.2881258524,34713.4808229951,33473.9306026724,32256.943229749,31065.2220863448,29900.9374663373,28765.790711601,27661.0729798297,26587.7187080301,25546.3538621265,24537.3392195621,23560.8089907071,22616.7050863045,21704.8073900292,20824.7603910483,19976.0965066743,19158.2564327299,18370.6068311797,17612.4556495036,16883.0653333474,16181.664183755,15507.4560780285,14859.6287545148,14237.3608430384,13639.8277991372,13066.2068855579,12515.6813270172,11987.4437487419,11480.6989971012,10994.6664277149,10528.5817359732
7,0,2,1,0,0,171228.02725029,0,1.14822552969795,2.28217948503248,3.62605487390723,5.40282251429345,7.89312195319664,11.4931066094796,16.7876996719073,24.6547757192813,36.4192761217098,54.0832634593362,80.6683796808791,120.720019587553,181.036554325649,271.692765754294,407.407752281695,599.022558050653,826.014643493606,1068.36892928975,1313.72712784979,1554.85241987992,1787.91353192817,2011.31281883611,2224.87657458879,2429.28709154603,2625.68033847442,2815.35980917633,2999.59676788374,3179.49776547514,3355.92614409366,3529.46681075949,3700.42453419535,3868.84647175478,4034.56042796511,4197.22140532293,4356.36042234195,4511.43119247655,4661.85170272326,4807.03907379294,4946.437109207,5079.53668412492,5205.88962212971,5325.11697073171,5436.91270080412,5541.04383226353,5637.34792108341,5725.72870835393,5806.15059925358,5878.63250205153,5943.24143168865,6000.08617335003,6049.3112106209,6091.09105015167,6125.62501858224,6153.13256544419,6173.84907633074,6188.02217955938,6195.90851698628,6197.77094206191,6193.87610486865,6184.49238327554,6169.88812067602,6150.33013330062,6126.08245315712,6097.40527603767,6064.55408762677,6027.77894370655,5987.32388352652,5943.42645855765,5896.31736080546,5846.22013706858,5793.35097756694,5737.91856887664,5680.12400234382,5620.16073042468,5558.21456452581,5501.27039790586,5477.35697816755,5508.19278861509,5606.79500632334,5780.99403086599,6035.21825418686,6371.2970464854,6788.71504651701,7284.58894242069,7853.55298049653,8487.68748172914,9176.58456640158,9907.60257297782,10666.3185344382,11437.1472620997,12204.0645174942,12951.3572323803,13664.3238762727,14329.8623262448,14936.9047170176,15476.6828892985,15942.8293413114,16331.3347383276,16640.3911537285,16870.154875121,17022.4603116406,17100.5129288304,17108.5831167911,17051.7173812628,16935.4774771352,16765.7134931499,16548.3733286037,16289.3480757795,15994.3513512769,15668.8287629317,15317.8940165424,14946.2875250418,14558.3533903094,14158.0311874637,13748.8592381127,13333.9865098585,12916.1907500696,12497.9008360506,12081.2217348244,11667.9608079699,11259.6544410483,10857.5942957599,10462.8526290251,10076.306309074,9698.65929179105,9330.46342392689,8972.13750501174,8623.98462875853,8286.20783329056,7958.92414027332,7642.17708214305,7335.94781708542,7040.16494823389,6754.71316219916,6479.44079399806,6214.16642789202,5958.68463454187,5712.77093999555,5476.18611133944,5248.67984052683,5029.99389743333,4819.86481710781,4618.02618016145,4424.21053759476,4238.151026594,4059.5827181682,3888.24373247316,3723.87615371082,3566.22677229933,3415.04767862004
8,0,2,1,0,1,171228.02725029,0,1.14822552969795,2.28217948503248,3.62605487390723,5.40282251429345,7.89312195319664,11.4931066094796,16.7876996719073,24.6547757192813,36.4192761217098,54.0832634593362,80.6683796808791,120.720019587553,181.036554325649,271.692765754294,407.407752281695,599.022558050653,826.014643493606,1068.36892928975,1313.72712784979,1554.85241987992,1787.91353192817,2011.31281883611,2224.87657458879,2429.28709154603,2625.68033847442,2815.35980917633,2999.59676788374,3179.49776547514,3355.92614409366,3529.46681075949,3700.42453419535,3868.84647175478,4034.56042796511,4197.22140532293,4356.36042234195,4511.43119247655,4661.85170272326,4807.03907379294,4946.437109207,5079.53668412492,5205.88962212971,5325.11697073171,5436.91270080412,5541.04383226353,5637.34792108341,5725.72870835393,5806.15059925358,5878.63250205153,5943.24143168865,6000.08617335003,6049.3112106209,6091.09105015167,6125.62501858224,6153.13256544419,6173.84907633074,6188.02217955938,6195.90851698628,6197.77094206191,6193.87610486865,6184.49238327554,6169.88812067602,6150.33013330062,6126.08245315712,6097.40527603767,6064.55408762677,6027.77894370655,5987.32388352652,5943.42645855765,5896.31736080546,5846.22013706858,5793.35097756694,5737.91856887664,5680.12400234382,5620.16073042468,5558.21456452581,5501.27039790586,5477.35697816755,5508.19278861509,5606.79500632334,5780.99403086599,6035.21825418686,6371.2970464854,6788.71504651701,7284.58894242069,7853.55298049653,8487.68748172914,9176.58456640158,9907.60257297782,10666.3185344382,11437.1472620997,12204.0645174942,12951.3572323803,13664.3238762727,14329.8623262448,14936.9047170176,15476.6828892985,15942.8293413114,16331.3347383276,16640.3911537285,16870.154875121,17022.4603116406,17100.5129288304,17108.5831167911,17051.7173812628,16935.4774771352,16765.7134931499,16548.3733286037,16289.3480757795,15994.3513512769,15668.8287629317,15317.8940165424,14946.2875250418,14558.3533903094,14158.0311874637,13748.8592381127,13333.9865098585,12916.1907500696,12497.9008360506,12081.2217348244,11667.9608079699,11259.6544410483,10857.5942957599,10462.8526290251,10076.306309074,9698.65929179105,9330.46342392689,8972.13750501174,8623.98462875853,8286.20783329056,7958.92414027332,7642.17708214305,7335.94781708542,7040.16494823389,6754.71316219916,6479.44079399806,6214.16642789202,5958.68463454187,5712.77093999555,5476.18611133944,5248.67984052683,5029.99389743333,4819.86481710781,4618.02618016145,4424.21053759476,4238.151026594,4059.5827181682,3888.24373247316,3723.87615371082,3566.22677229933,3415.04767862004
9,11,2,0,0,0,146.0605932,0,0.000974066250158715,0.00190790125694744,0.00297065243523059,0.00432817451615969,0.00618614791225197,0.0088322736310581,0.0126894631473385,0.0183912793002394,0.0268934421363975,0.0396403563389356,0.0588133882543456,0.0876974027366261,0.131213325894263,0.196671127051606,0.294788876168847,0.433865913893309,0.600621510620721,0.782068742087275,0.97031277837778,1.1607462883928,1.3508786405105,1.53956899705116,1.72651648176514,1.91191355545029,2.09620563787553,2.27992172639022,2.46355621621516,2.64749018159436,2.83194461330201,3.0169597576259,3.20239512041175,3.38794473254488,3.57316254128364,3.75749330854165,3.94030518752205,4.12092112789476,4.29864715509869,4.47279642225303,4.64270859118072,4.80776458139214,4.96739705301643,5.12109716668206,5.26841824518969,5.40897695599045,5.5424525981237,5.66858499889033,5.78717144707318,5.8980630071617,6.00116048351041,6.09641023735242,6.18380000430802,6.26335481542438,6.33513308990985,6.39922294103807,6.45573871771431,6.50481778978807,6.54661757607094,6.58131280774386,6.60909301615855,6.63016023199541,6.64472688197432,6.653013869309,6.65524882455072,6.65166451421282,6.64249739551281,6.62798630637168,6.60837128067636,6.58389247983357,6.55478923217958,6.52129917248342,6.4836574744589,6.44209616969243,6.39684354674688,6.34812362465726,6.29615569551156,6.24491552778726,6.21003974320864,6.20380551326944,6.23385901484767,6.30515599297196,6.42092464645434,6.58307630671946,6.79230612847339,7.04803275922284,7.348278673667,7.68956595146681,8.06688308360834,8.47375778207156,8.90244935943911,9.3442517833791,9.78987928462288,10.2298947931445,10.6551373518674,11.0571087615184,11.4282894184805,11.7623657275196,12.0543637889645,12.3006946595491,12.4991230421724,12.6486761144862,12.7495097746141,12.8027490828196,12.8103171440699,12.7747641014806,12.6991048145059,12.5866709837344,12.440981201274,12.2656303791238,12.0641987536284,11.8401792951332,11.5969221006866,11.3375938595179,11.0651501574733,10.7823186084907,10.4915908122787,10.1952213319417,9.8952321077082,9.59342091790617,9.2913727300062,8.99047299289494,8.69192206863095,8.39675021563836,8.10583263534539,7.81990422471209,7.53957377494311,7.26533744104046,6.99759135175966,6.73664331343992,6.48272356430786,6.23599458734093,5.99656000678242,5.76447260344149,5.53974149999855,5.32233857214556,5.11220414298281,4.90925201978879,4.71337393258562,4.52444343163526,4.34231929635509,4.16684850772005,3.99786883027551,3.83521104703389,3.67870088711229,3.52816068150251,3.38341077953292,3.24427075506109,3.11056042826254,2.98210072628958,2.85871440331481,2.74022663817469
10,11,2,0,0,1,146.0605932,0,0.000974066250158715,0.00190790125694744,0.00297065243523059,0.00432817451615969,0.00618614791225197,0.0088322736310581,0.0126894631473385,0.0183912793002394,0.0268934421363975,0.0396403563389356,0.0588133882543456,0.0876974027366261,0.131213325894263,0.196671127051606,0.294788876168847,0.433865913893309,0.600621510620721,0.782068742087275,0.97031277837778,1.1607462883928,1.3508786405105,1.53956899705116,1.72651648176514,1.91191355545029,2.09620563787553,2.27992172639022,2.46355621621516,2.64749018159436,2.83194461330201,3.0169597576259,3.20239512041175,3.38794473254488,3.57316254128364,3.75749330854165,3.94030518752205,4.12092112789476,4.29864715509869,4.47279642225303,4.64270859118072,4.80776458139214,4.96739705301643,5.12109716668206,5.26841824518969,5.40897695599045,5.5424525981237,5.66858499889033,5.78717144707318,5.8980630071617,6.00116048351041,6.09641023735242,6.18380000430802,6.26335481542438,6.33513308990985,6.39922294103807,6.45573871771431,6.50481778978807,6.54661757607094,6.58131280774386,6.60909301615855,6.63016023199541,6.64472688197432,6.653013869309,6.65524882455072,6.65166451421282,6.64249739551281,6.62798630637168,6.60837128067636,6.58389247983357,6.55478923217958,6.52129917248342,6.4836574744589,6.44209616969243,6.39684354674688,6.34812362465726,6.29615569551156,6.24491552778726,6.21003974320864,6.20380551326944,6.23385901484767,6.30515599297196,6.42092464645434,6.58307630671946,6.79230612847339,7.04803275922284,7.348278673667,7.68956595146681,8.06688308360834,8.47375778207156,8.90244935943911,9.3442517833791,9.78987928462288,10.2298947931445,10.6551373518674,11.0571087615184,11.4282894184805,11.7623657275196,12.0543637889645,12.3006946595491,12.4991230421724,12.6486761144862,12.7495097746141,12.8027490828196,12.8103171440699,12.7747641014806,12.6991048145059,12.5866709837344,12.440981201274,12.2656303791238,12.0641987536284,11.8401792951332,11.5969221006866,11.3375938595179,11.0651501574733,10.7823186084907,10.4915908122787,10.1952213319417,9.8952321077082,9.59342091790617,9.2913727300062,8.99047299289494,8.69192206863095,8.39675021563836,8.10583263534539,7.81990422471209,7.53957377494311,7.26533744104046,6.99759135175966,6.73664331343992,6.48272356430786,6.23599458734093,5.99656000678242,5.76447260344149,5.53974149999855,5.32233857214556,5.11220414298281,4.90925201978879,4.71337393258562,4.52444343163526,4.34231929635509,4.16684850772005,3.99786883027551,3.83521104703389,3.67870088711229,3.52816068150251,3.38341077953292,3.24427075506109,3.11056042826254,2.98210072628958,2.85871440331481,2.74022663817469
