"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.232810514036017,0.990675894979953,2.7877314041569,6.30368955049627,12.5921551906929,23.3387388511904,41.2452946891539,70.6314778728651,118.385026122174,195.458334822279,319.208102984428,517.006539267711,831.701030640725,1329.59067007925,2111.41749158907,3289.65393319072,4892.10361423734,6963.02549010306,9579.49013578265,12836.0976325191,16830.8865138776,21649.6496272347,27348.4276700548,33936.1714515842,41361.1972002338,49505.2864222475,58187.898451962,67180.3221739888,76226.8860178139,85068.7356435052,93465.6730781894,101212.823443082,108150.703174876,114168.874481906,119204.404135789,123236.76006951,126280.731340931,128378.658819475,129592.885148858,129998.979237511,129680.009912865,128721.945152063,127210.12805712,125226.71143664,122848.90257667,120147.865248729,117188.135439383,114027.425455792,110716.708680033,107300.500604248,103817.266828322,100299.905511614,96776.2659606092,93269.6742121048,89799.4462163693,86381.3751469925,83028.184853922,79749.9449187775,76554.4456806608,73447.5334035458,70433.4070779816,67514.8791873894,64693.6032261203,61970.27096424,59344.7825518185,56816.3924148293,54383.8337991486,52045.4246014684,49799.1568750418,47642.772203341,45573.8248639545,43589.7345560993,41687.8301310048,39865.3857106154,38119.6503153712,36447.8722739428,34847.3176679987,33315.2875260119,31849.1291671271,30446.2459014111,29104.1047837622,27820.2415566331,26592.264915161,25417.8589512764,24294.784781347,23220.8812338657,22194.0648540972,21212.3293632954,20273.7446665949,19376.4555143365,18518.679895953,17698.7072178132,16914.8963557339,16165.6735729518,15449.5303809562,14765.0213583506,14110.7619501132,13485.4262710917,12887.7449254844,12316.5028563221,11770.5372343087,11248.7353929555,10750.0328158762,10273.4111801549,9817.89645867151,9382.55708319871,8966.50216933599,8568.87980364931,8188.87539286602,7825.71007459058,7478.63918862838,7146.95080778329,6829.9643267867,6527.02910785879,6237.52318131108,5960.85199951315,5696.44724252484,5443.76567391141,5202.28804369828,4971.51803850642,4750.98127674915,4540.22434620988,4338.81388290896,4146.33568971876,3962.39389305201,3786.61013607071,3618.6228069191,3458.08630053123,3304.67031261256,3158.05916444463,3017.95115721088,2884.05795458991,2756.10399241057,2633.8259142099,2516.97203158054,2405.30180823909,2298.58536678978,2196.60301720003,2099.14480604495,2006.01008561699,1917.00710203495,1831.9526015228,1750.67145406421,1672.99629367205,1598.76717454501,1527.83124241444,1460.04242041456,1395.26110883801,1333.3538981661,1274.19329478982
2,0,1,1,0,0,818021.22396571,0,0.232810514036017,0.990675894979953,2.7877314041569,6.30368955049627,12.5921551906929,23.3387388511904,41.2452946891539,70.6314778728651,118.385026122174,195.458334822279,319.208102984428,517.006539267711,831.701030640725,1329.59067007925,2111.41749158907,3289.65393319072,4892.10361423734,6963.02549010306,9579.49013578265,12836.0976325191,16830.8865138776,21649.6496272347,27348.4276700548,33936.1714515842,41361.1972002338,49505.2864222475,58187.898451962,67180.3221739888,76226.8860178139,85068.7356435052,93465.6730781894,101212.823443082,108150.703174876,114168.874481906,119204.404135789,123236.76006951,126280.731340931,128378.658819475,129592.885148858,129998.979237511,129680.009912865,128721.945152063,127210.12805712,125226.71143664,122848.90257667,120147.865248729,117188.135439383,114027.425455792,110716.708680033,107300.500604248,103817.266828322,100299.905511614,96776.2659606092,93269.6742121048,89799.4462163693,86381.3751469925,83028.184853922,79749.9449187775,76554.4456806608,73447.5334035458,70433.4070779816,67514.8791873894,64693.6032261203,61970.27096424,59344.7825518185,56816.3924148293,54383.8337991486,52045.4246014684,49799.1568750418,47642.772203341,45573.8248639545,43589.7345560993,41687.8301310048,39865.3857106154,38119.6503153712,36447.8722739428,34847.3176679987,33315.2875260119,31849.1291671271,30446.2459014111,29104.1047837622,27820.2415566331,26592.264915161,25417.8589512764,24294.784781347,23220.8812338657,22194.0648540972,21212.3293632954,20273.7446665949,19376.4555143365,18518.679895953,17698.7072178132,16914.8963557339,16165.6735729518,15449.5303809562,14765.0213583506,14110.7619501132,13485.4262710917,12887.7449254844,12316.5028563221,11770.5372343087,11248.7353929555,10750.0328158762,10273.4111801549,9817.89645867151,9382.55708319871,8966.50216933599,8568.87980364931,8188.87539286602,7825.71007459058,7478.63918862838,7146.95080778329,6829.9643267867,6527.02910785879,6237.52318131108,5960.85199951315,5696.44724252484,5443.76567391141,5202.28804369828,4971.51803850642,4750.98127674915,4540.22434620988,4338.81388290896,4146.33568971876,3962.39389305201,3786.61013607071,3618.6228069191,3458.08630053123,3304.67031261256,3158.05916444463,3017.95115721088,2884.05795458991,2756.10399241057,2633.8259142099,2516.97203158054,2405.30180823909,2298.58536678978,2196.60301720003,2099.14480604495,2006.01008561699,1917.00710203495,1831.9526015228,1750.67145406421,1672.99629367205,1598.76717454501,1527.83124241444,1460.04242041456,1395.26110883801,1333.3538981661,1274.19329478982
3,0,1,0,1,0,2335.27250675705,0,0.129656705319403,0.231696299704188,0.313117273784348,0.38037616423659,0.44016596667631,0.500303126335313,0.570946839770894,0.666415698644437,0.807980475731444,1.02819982939448,1.3776479808165,1.93525858098205,2.82393180622917,4.23331232027085,6.4511590970609,9.79859383399611,14.3552049548317,20.2474484863552,27.6953042746624,36.9687033440032,48.3473502739099,62.0760010363454,78.3145427883823,97.0885539265672,118.250680457124,141.463812595084,166.213100378612,191.846313544619,217.634329950346,242.838946299433,266.775160263245,288.858701670614,308.634745838366,325.788335915183,340.139988057696,351.631137812336,360.303949437051,366.279159479911,369.734545648318,370.885604451374,369.969220833336,367.230547718075,362.912956209236,357.250719542492,350.464007533993,342.755755336907,334.309997228166,325.291307964761,315.845044493009,306.098147410156,296.160304496279,286.125326572849,276.072626412261,266.06871759593,256.168678008702,246.417539546657,236.851581271039,227.499513058701,218.383545095662,209.520343701813,200.921877743862,192.596162282113,184.547907399622,176.779080754868,169.289392677987,162.076712229448,155.13742236737,148.4667217489,142.058879975546,135.907452536728,130.005460933672,124.345543040974,118.920077810317,113.721288267385,108.741325998152,103.972340754855,99.4065330497226,95.0362031845277,90.8537835943841,86.8518665060371,83.023226045328,79.3608323281919,75.857863619231,72.5077132974218,69.3039944935528,66.2405420472895,63.3114125165139,60.510882631365,57.8334464613534,55.2738115942903,52.8268945526744,50.4878155941239,48.2518931545078,46.1146379075372,44.0717466615292,42.1190961365972,40.2527366860604,38.4688860300359,36.7639230347296,35.1343815773819,33.576944523557,32.0884378365417,30.6658248355881,29.3062006141484,28.0067866263274,26.7649254467189,25.578075706666,24.4438072079889,23.3597962137508,22.3238209145331,21.333757067616,20.3875738058247,19.4833296122126,18.6191684563023,17.7933160873452,17.0040764798151,16.2498284262882,15.5290222734809,14.8401767927629,14.1818761852618,13.5527672155136,12.9515564660134,12.3770077095492,11.8279393949255,11.3032222412967,10.8017769366815,10.3225719363887,9.8646213572209,9.42698296345835,9.00875624077128,8.6090805543452,8.22713338764376,7.86212865836927,7.51331510831477,7.17997476393206,6.86142146456677,6.55699945543536,6.26608204253819,5.98807030681904,5.72239187499273,5.46849974457105,5.22587116072074,4.99400654268784,4.77242845761882,4.56068063970176,4.35832705263971,4.16495099355407,3.98015423649756,3.80355621383535,3.63479323382815
4,0,1,1,1,0,2335.27250675705,0,0.129656705319403,0.231696299704188,0.313117273784348,0.38037616423659,0.44016596667631,0.500303126335313,0.570946839770894,0.666415698644437,0.807980475731444,1.02819982939448,1.3776479808165,1.93525858098205,2.82393180622917,4.23331232027085,6.4511590970609,9.79859383399611,14.3552049548317,20.2474484863552,27.6953042746624,36.9687033440032,48.3473502739099,62.0760010363454,78.3145427883823,97.0885539265672,118.250680457124,141.463812595084,166.213100378612,191.846313544619,217.634329950346,242.838946299433,266.775160263245,288.858701670614,308.634745838366,325.788335915183,340.139988057696,351.631137812336,360.303949437051,366.279159479911,369.734545648318,370.885604451374,369.969220833336,367.230547718075,362.912956209236,357.250719542492,350.464007533993,342.755755336907,334.309997228166,325.291307964761,315.845044493009,306.098147410156,296.160304496279,286.125326572849,276.072626412261,266.06871759593,256.168678008702,246.417539546657,236.851581271039,227.499513058701,218.383545095662,209.520343701813,200.921877743862,192.596162282113,184.547907399622,176.779080754868,169.289392677987,162.076712229448,155.13742236737,148.4667217489,142.058879975546,135.907452536728,130.005460933672,124.345543040974,118.920077810317,113.721288267385,108.741325998152,103.972340754855,99.4065330497226,95.0362031845277,90.8537835943841,86.8518665060371,83.023226045328,79.3608323281919,75.857863619231,72.5077132974218,69.3039944935528,66.2405420472895,63.3114125165139,60.510882631365,57.8334464613534,55.2738115942903,52.8268945526744,50.4878155941239,48.2518931545078,46.1146379075372,44.0717466615292,42.1190961365972,40.2527366860604,38.4688860300359,36.7639230347296,35.1343815773819,33.576944523557,32.0884378365417,30.6658248355881,29.3062006141484,28.0067866263274,26.7649254467189,25.578075706666,24.4438072079889,23.3597962137508,22.3238209145331,21.333757067616,20.3875738058247,19.4833296122126,18.6191684563023,17.7933160873452,17.0040764798151,16.2498284262882,15.5290222734809,14.8401767927629,14.1818761852618,13.5527672155136,12.9515564660134,12.3770077095492,11.8279393949255,11.3032222412967,10.8017769366815,10.3225719363887,9.8646213572209,9.42698296345835,9.00875624077128,8.6090805543452,8.22713338764376,7.86212865836927,7.51331510831477,7.17997476393206,6.86142146456677,6.55699945543536,6.26608204253819,5.98807030681904,5.72239187499273,5.46849974457105,5.22587116072074,4.99400654268784,4.77242845761882,4.56068063970176,4.35832705263971,4.16495099355407,3.98015423649756,3.80355621383535,3.63479323382815
5,0,2,0,0,0,527895.493723415,0,0.197653279160674,0.727128959277336,1.9051463110287,4.12468912214121,7.97758299855382,14.4007432355036,24.8898537366425,41.8316563863476,69.0278425942716,112.520030867725,181.880606908934,292.208726635149,467.157660719848,743.382576830285,1176.73269283065,1829.84595437851,2718.62145080877,3868.45037326082,5323.69077287834,7139.66943768816,9375.40155344824,12085.4028972713,15310.3122125716,19067.2074847987,23341.4049326634,28081.7775384859,33201.0889390354,38581.634562801,44085.1269582315,49564.8145434348,54877.5780987007,59894.1523532807,64506.385407702,68631.2424052245,72211.8638271247,75216.3285729806,77634.8745888139,79476.2731637198,80763.9146508323,81532.0028261036,81822.1074661371,81680.2059933884,81154.2587811283,80292.3055480183,79141.036199322,77744.7727347567,76144.7932154562,74378.9314309232,72481.3901453914,70482.7164297294,68409.8938781989,66286.515463157,64133.008913483,61966.8919318155,59803.0408514251,57653.9602896579,55530.0453312753,53439.8303148477,51390.2206763906,49386.7058049032,47433.5521597354,45533.976698514,43690.3013224626,41904.0893680661,40176.2654636177,38507.220146708,36896.9007033533,35344.8896603374,33850.4722880681,32412.6944064398,31030.4116648202,29702.3314055536,28427.0480388356,27203.0728331697,26028.8588748569,24902.8220338451,23823.3576242487,22788.8555154705,21797.7112251962,20848.3353647638,19939.1616092567,19068.652269728,18235.3033325693,17437.6479272447,16674.2590733101,15943.751589065,15244.7833690907,14576.0561466303,13936.3158155861,13324.3524007863,12738.9997443966,12179.1349497788,11643.6776680984,11131.58921481,10641.8715875432,10173.5664003672,9725.75375585653,9297.55107739662,8888.11191468058,8496.6247363876,8122.31172043505,7764.42755002592,7422.25822243762,7095.11987596779,6782.35763934873,6483.34450688908,6197.48024193703,5924.19031048183,5662.92484619611,5413.15764780346,5174.38520921932,4946.12578265676,4727.91847462498,4519.32237453735,4319.91571550492,4129.29506674916,3947.07455699001,3772.88512821792,3606.37381830208,3447.20307265404,3295.05008385467,3149.60615779558,3010.57610576781,2877.67766167143,2750.64092341177,2629.20781759934,2513.13158669127,2402.17629772731,2296.11637183223,2194.73613367688,2097.82938011184,2005.19896721068,1916.6564149825,1832.02152903783,1751.12203851528,1673.79324960042,1599.87771399176,1529.22491169242,1461.69094752862,1397.13826081886,1335.43534763986,1276.45649515627,1220.08152750265,1166.19556272601,1114.68878031721,1065.45619887827,1018.39746349127,973.416642372145,930.422032409961,889.325973208606
6,0,2,1,0,0,527895.493723415,0,0.197653279160674,0.727128959277336,1.9051463110287,4.12468912214121,7.97758299855382,14.4007432355036,24.8898537366425,41.8316563863476,69.0278425942716,112.520030867725,181.880606908934,292.208726635149,467.157660719848,743.382576830285,1176.73269283065,1829.84595437851,2718.62145080877,3868.45037326082,5323.69077287834,7139.66943768816,9375.40155344824,12085.4028972713,15310.3122125716,19067.2074847987,23341.4049326634,28081.7775384859,33201.0889390354,38581.634562801,44085.1269582315,49564.8145434348,54877.5780987007,59894.1523532807,64506.385407702,68631.2424052245,72211.8638271247,75216.3285729806,77634.8745888139,79476.2731637198,80763.9146508323,81532.0028261036,81822.1074661371,81680.2059933884,81154.2587811283,80292.3055480183,79141.036199322,77744.7727347567,76144.7932154562,74378.9314309232,72481.3901453914,70482.7164297294,68409.8938781989,66286.515463157,64133.008913483,61966.8919318155,59803.0408514251,57653.9602896579,55530.0453312753,53439.8303148477,51390.2206763906,49386.7058049032,47433.5521597354,45533.976698514,43690.3013224626,41904.0893680661,40176.2654636177,38507.220146708,36896.9007033533,35344.8896603374,33850.4722880681,32412.6944064398,31030.4116648202,29702.3314055536,28427.0480388356,27203.0728331697,26028.8588748569,24902.8220338451,23823.3576242487,22788.8555154705,21797.7112251962,20848.3353647638,19939.1616092567,19068.652269728,18235.3033325693,17437.6479272447,16674.2590733101,15943.751589065,15244.7833690907,14576.0561466303,13936.3158155861,13324.3524007863,12738.9997443966,12179.1349497788,11643.6776680984,11131.58921481,10641.8715875432,10173.5664003672,9725.75375585653,9297.55107739662,8888.11191468058,8496.6247363876,8122.31172043505,7764.42755002592,7422.25822243762,7095.11987596779,6782.35763934873,6483.34450688908,6197.48024193703,5924.19031048183,5662.92484619611,5413.15764780346,5174.38520921932,4946.12578265676,4727.91847462498,4519.32237453735,4319.91571550492,4129.29506674916,3947.07455699001,3772.88512821792,3606.37381830208,3447.20307265404,3295.05008385467,3149.60615779558,3010.57610576781,2877.67766167143,2750.64092341177,2629.20781759934,2513.13158669127,2402.17629772731,2296.11637183223,2194.73613367688,2097.82938011184,2005.19896721068,1916.6564149825,1832.02152903783,1751.12203851528,1673.79324960042,1599.87771399176,1529.22491169242,1461.69094752862,1397.13826081886,1335.43534763986,1276.45649515627,1220.08152750265,1166.19556272601,1114.68878031721,1065.45619887827,1018.39746349127,973.416642372145,930.422032409961,889.325973208606
7,0,2,0,1,0,171228.02725029,0,0.151512515952077,0.390926556123141,0.824720636588152,1.58342300901627,2.86149531829905,4.96487130908746,8.38034868983577,13.8834378927742,22.7083458246647,36.8156086848561,59.3108220232072,95.0920882203164,151.831980800961,241.420232502625,381.972217818716,593.805218715444,882.076411283278,1255.02175675842,1727.02920932652,2316.04447835222,3041.20960744306,3920.20720961837,4966.21877619662,6184.78369976807,7571.13922520312,9108.70198595449,10769.1763052451,12514.3839373323,14299.4704398532,16076.8359709538,17800.0588670045,19427.2110821597,20923.2128302527,22261.1312023642,23422.5234321524,24397.03569302,25181.5015907188,25778.7661427154,26196.4161561086,26445.5458429136,26539.6386260372,26493.6075774603,26323.0089524679,26043.424742718,25669.9991191957,25217.1082073325,24698.1408112483,24125.368563096,23509.8853482933,22861.5993042633,22189.2627315473,21500.5281603635,20802.021453581,20099.4245881071,19397.5627955092,18700.4920258789,18011.5839887203,17333.6068484488,16668.8004243952,16018.9452318954,15385.4251211742,14769.2835298286,14171.2735781787,13591.9023412316,13031.4697249358,12490.1023995468,11967.7832638911,11464.3769048685,10979.6514924424,10513.2975293473,10064.9438353715,9634.17112605551,9220.52348676067,8823.51803539541,8442.65301818569,8077.41461008246,7727.28231870569,7391.73388573402,7070.2488849857,6762.31178608319,6467.41453960171,6185.05838445379,5914.75548243844,5656.03004302056,5408.41921434182,5171.4737023017,4944.75818493272,4727.85155968086,4520.34704784531,4321.85218493165,4131.98871893549,3950.39242995189,3776.71289878018,3610.61322034789,3451.769685154,3299.87143358865,3154.6200900787,3015.72938433671,2882.92476391431,2755.9430025981,2634.53180801851,2518.4494311385,2407.46427987509,2301.35453861026,2199.90779498976,2102.92067506681,2010.19848763205,1921.55487831917,1836.81149390857,1755.797657116,1678.35005201147,1604.31242013059,1533.53526725488,1465.87558076931,1401.19655745938,1339.36734156412,1280.26277287628,1223.76314469767,1169.75397114778,1118.12576389679,1068.77381796866,1021.59800614429,976.50258178109,933.395989780475,892.190685400638,852.802960627954,815.152777827527,779.16361039803,744.762290162329,711.878861231833,680.446440089619,650.401081644827,621.681651018265,594.229700826919,567.989353742785,542.907190109134,518.932140405015,496.015382356364,474.110242499523,453.172102010308,433.158306618879,414.028080437638,395.742443536147,378.264133103654,361.557528046166,345.588576871205,330.324728719329,315.734867407291,301.789248353254,288.459438259839
8,0,2,1,1,0,171228.02725029,0,0.151512515952077,0.390926556123141,0.824720636588152,1.58342300901627,2.86149531829905,4.96487130908746,8.38034868983577,13.8834378927742,22.7083458246647,36.8156086848561,59.3108220232072,95.0920882203164,151.831980800961,241.420232502625,381.972217818716,593.805218715444,882.076411283278,1255.02175675842,1727.02920932652,2316.04447835222,3041.20960744306,3920.20720961837,4966.21877619662,6184.78369976807,7571.13922520312,9108.70198595449,10769.1763052451,12514.3839373323,14299.4704398532,16076.8359709538,17800.0588670045,19427.2110821597,20923.2128302527,22261.1312023642,23422.5234321524,24397.03569302,25181.5015907188,25778.7661427154,26196.4161561086,26445.5458429136,26539.6386260372,26493.6075774603,26323.0089524679,26043.424742718,25669.9991191957,25217.1082073325,24698.1408112483,24125.368563096,23509.8853482933,22861.5993042633,22189.2627315473,21500.5281603635,20802.021453581,20099.4245881071,19397.5627955092,18700.4920258789,18011.5839887203,17333.6068484488,16668.8004243952,16018.9452318954,15385.4251211742,14769.2835298286,14171.2735781787,13591.9023412316,13031.4697249358,12490.1023995468,11967.7832638911,11464.3769048685,10979.6514924424,10513.2975293473,10064.9438353715,9634.17112605551,9220.52348676067,8823.51803539541,8442.65301818569,8077.41461008246,7727.28231870569,7391.73388573402,7070.2488849857,6762.31178608319,6467.41453960171,6185.05838445379,5914.75548243844,5656.03004302056,5408.41921434182,5171.4737023017,4944.75818493272,4727.85155968086,4520.34704784531,4321.85218493165,4131.98871893549,3950.39242995189,3776.71289878018,3610.61322034789,3451.769685154,3299.87143358865,3154.6200900787,3015.72938433671,2882.92476391431,2755.9430025981,2634.53180801851,2518.4494311385,2407.46427987509,2301.35453861026,2199.90779498976,2102.92067506681,2010.19848763205,1921.55487831917,1836.81149390857,1755.797657116,1678.35005201147,1604.31242013059,1533.53526725488,1465.87558076931,1401.19655745938,1339.36734156412,1280.26277287628,1223.76314469767,1169.75397114778,1118.12576389679,1068.77381796866,1021.59800614429,976.50258178109,933.395989780475,892.190685400638,852.802960627954,815.152777827527,779.16361039803,744.762290162329,711.878861231833,680.446440089619,650.401081644827,621.681651018265,594.229700826919,567.989353742785,542.907190109134,518.932140405015,496.015382356364,474.110242499523,453.172102010308,433.158306618879,414.028080437638,395.742443536147,378.264133103654,361.557528046166,345.588576871205,330.324728719329,315.734867407291,301.789248353254,288.459438259839
9,11,2,0,0,1,292.1211864,0,0.131236701748017,0.242334130601901,0.343153552241169,0.43938131280384,0.534195710278574,0.629369815258787,0.726027136464645,0.825204020819878,0.928338262597672,1.03779043155565,1.15750944610934,1.29397522426545,1.45758332972296,1.66466453930116,1.9403127546388,2.31232080427663,2.78588748646891,3.37132224261274,4.08874903374798,4.96440327230186,6.0273819811501,7.30604004578816,8.82380176289497,10.5946633693802,12.6190881797369,14.8811823424497,17.3479044602391,19.9706257258236,22.688789321103,25.4349493007371,28.1402537609559,30.7394985242836,33.1751340504109,35.3999312285518,37.3782975651618,39.0864309830856,40.5115949738623,41.6508166715138,42.5092769734877,43.0986056240602,43.4352328583796,43.5388937464276,43.4313367197504,43.1352548530523,42.6734360965511,42.0681150323901,41.3405013278407,40.5104577472817,39.596299768554,38.6146923065481,37.5806207233452,36.5074169528458,35.4068251707362,34.2890939217641,33.1630847457468,32.0363893702084,30.9154497134524,29.8056763506307,28.711562512421,27.6367915888657,26.5843369621379,25.5565535110426,24.5552606288276,23.5818168458083,22.6371864000743,21.7219982184801,20.8365978628639,19.9810930352969,19.1553932409813,18.3592442044507,17.5922575994778,16.8539366389945,16.1436979962585,15.4608905223231,14.8048111584788,14.1747184813559,13.5698437890886,12.9894010356473,12.4325945462225,11.8986255919878,11.3866980903075,10.896022761567,10.4258209613237,9.97532749263139,9.54379294295335,9.13048546480473,8.73469212821425,8.35571991908741,7.99289642922502,7.64557029481169,7.31311142731383,6.99491106230363,6.69038168473936,6.39895682023519,6.12009074089437,5.85325809631979,5.59795348470291,5.35369097943081,5.12000362091335,4.89644288359228,4.68257812594154,4.47799602982348,4.28230003456951,4.09510977023106,3.91606049362679,3.74480253006734,3.58100072319597,3.42433389479732,3.27449431605879,3.13118719145749,2.9941301561096,2.86305278722176,2.73769613007286,2.61781223878219,2.50316373199888,2.39352336352429,2.28867360780071,2.18840626017678,2.09252205138861,2.00083027649083,1.91314843783284,1.8293019014903,1.74912356694088,1.67245354965386,1.5991388761943,1.52903319145227,1.46199647760939,1.39789478445306,1.33659997065126,1.27798945560388,1.2219459814918,1.16835738515181,1.11711637941257,1.06812034353527,1.0212711224115,0.976474834180235,0.933641685935231,0.892685797204423,0.853525030892433,0.816080831387587,0.780278069544725,0.746044894265003,0.713312590403687,0.682015442746596,0.652090605805272,0.623477979190281,0.596120088331016,0.569961970319273,0.544951064662358,0.521037108739897
10,11,2,0,1,1,67.8788136,0,0.129785277331844,0.232419237990363,0.314424375627877,0.380592731966952,0.434505564850402,0.478899632674252,0.515933802458621,0.547394598011576,0.574870829422948,0.599923962552927,0.624281520221397,0.650085266829772,0.680232846187397,0.718857618111544,0.771986822152467,0.846187391873416,0.942864885827149,1.06453287847504,1.21588427151917,1.40296179111171,1.63242958482035,1.91076381150159,2.24331027607238,2.63327154509073,3.08078217932951,3.58227280142054,4.13029325083609,4.71386643310011,5.31931615973091,5.93140641909374,6.5345808436771,7.11410501006936,7.65697214409814,8.15250575618356,8.5926573071154,8.97204121287977,9.28777130091905,9.53916685535395,9.72738905776503,9.85505593009608,9.92587003278281,9.94428064140674,9.91519203595475,9.8437221011811,9.73501038099071,9.59407165181809,9.42568940775468,9.23434312785414,9.02416301140957,8.79890664780079,8.56195246612561,8.31630563395629,8.06461288839267,7.80918334303086,7.55201302136696,7.29481132491227,7.03902813580898,6.78588057195897,6.53637873277192,6.29134997760371,6.05146147123229,5.81724084796257,5.58909495861351,5.36732672109412,5.15215015214166,4.94370368465752,4.74206189602229,4.54724578154508,4.35923170828711,4.17795918382651,4.00333756656621,3.83525184099967,3.67356756438826,3.51813508990754,3.36879315632141,3.22537194329224,3.08769557020516,2.95558433736285,2.82885646370739,2.70732956824509,2.59082195372354,2.4791535420427,2.37214673626928,2.26962705253355,2.17142364462845,2.07736970310194,1.98730275775646,1.90106490028434,1.81850293737351,1.7394684871119,1.66381802861024,1.59141291060944,1.52211933227618,1.45580829383399,1.39235552798875,1.33164141454465,1.27355088157293,1.21797329661733,1.16480235012446,1.11393593334579,1.06527601247205,1.01872850043466,0.974203127583821,0.931613312244516,0.890876031966833,0.851911696118627,0.814644020368796,0.778999903477042,0.744909306723108,0.712305136238113,0.681123128424849,0.65130173860944,0.622782033019085,0.595507584141789,0.56942436949674,0.544480673816166,0.520626994621965,0.497815951175473,0.476002196671106,0.455142333726664,0.435194833077123,0.416119955336636,0.397879675780175,0.380437612069059,0.363758954828878,0.347810400990724,0.332560089807055,0.317977541453145,0.304033598125698,0.290700367550901,0.277951168815498,0.265760480435983,0.254103890582683,0.242958049377467,0.232300623185827,0.222110250826215,0.212366501621761,0.20304983522171,0.194141563122245,0.185623811818594,0.177479487522663,0.169692242382652,0.162246442143374,0.155127135188182,0.148320022905595,0.141811431325783,0.135588283974188,0.129638075891522,0.123948848771372,0.118509167168514
