"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.127865809627703,0.506635852318041,1.17493222921844,2.22728102573796,3.82161645195486,6.20155424436732,9.73520919213483,14.9763515359191,22.7580454885103,34.334546993396,51.5950994677071,77.3837683380543,115.97371695325,173.760231987335,260.251039814051,388.776544076686,571.234941422046,813.612271753562,1117.72555683912,1482.86757418274,1906.91051566298,2387.0392031733,2920.22806835283,3503.53976681795,4134.29749941162,4810.16840097793,5529.18435112421,6289.72021640484,7090.44509919872,7930.25888183583,8808.22361118121,9723.49686230309,10675.2719129254,11662.727683665,12684.9897610466,13741.1025728321,14830.0119361468,15950.5566462258,17101.4675243886,18281.3722787344,19488.804618092,20722.21623742,21979.9904985414,23260.4568700929,24561.9053937539,25882.6006483203,27220.7948446,28574.7398200113,29942.6978080257,31322.9509376907,32713.8094764134,34113.6188689231,35520.7656508775,36933.682329494,38350.8513305788,39770.8081113688,41192.1435355189,42613.5056007345,44033.6006025501,45451.1938099144,46865.1097205693,48274.2319565398,49677.5028531439,51073.9227884492,52462.549294009,53842.4959830399,55212.931327478,56573.0773107718,57922.207980481,59259.6479215369,60584.7706681078,61896.9970697795,63195.7936259493,64480.6708003816,65751.1813261013,67007.0488050859,68249.4001165284,69481.3037673683,70706.9410234534,71930.9775063825,73158.1706813232,74393.1305685191,75640.1793472973,76903.2741932407,78185.9702355824,79491.4079723703,80822.3155241662,82181.0192204878,83569.4585132653,84989.2027683506,86441.4685005097,87927.1363352358,89446.7674056278,91000.6191445985,92588.6606478526,94210.587806959,95865.8384590194,97553.6077660617,99272.863999118,101022.36483971,102800.674261013,104606.179975881,106437.11139515,108291.557984655,110167.487888527,112062.766648696,113975.175846165,115902.431485782,117842.201944299,119792.125306747,121749.825954296,123712.93026186,125679.081296721,127645.952429193,129611.259777282,131572.773500617,133528.327805656,135475.829777608,137413.266981759,139338.713890424,141250.337168823,143146.39985502,145025.264550642,146885.395617047,148725.360496435,150543.830210557,152339.579144484,154111.484129181,155858.52296743,157579.772430371,159274.405811901,160941.690102209,162580.982849608,164191.728753049,165773.456060744,167325.772808293,168848.362948016,170340.982408339,171803.4551197,173235.669039029,174637.572200773,176009.168818977,177350.515461184,178661.717311846,179942.924539937,181194.328782718,182416.159755195,183608.681992563,184772.191730991,185907.013930327
2,0,1,0,0,1,818021.22396571,0,0.127865809627703,0.506635852318041,1.17493222921844,2.22728102573796,3.82161645195486,6.20155424436732,9.73520919213483,14.9763515359191,22.7580454885103,34.334546993396,51.5950994677071,77.3837683380543,115.97371695325,173.760231987335,260.251039814051,388.776544076686,571.234941422046,813.612271753562,1117.72555683912,1482.86757418274,1906.91051566298,2387.0392031733,2920.22806835283,3503.53976681795,4134.29749941162,4810.16840097793,5529.18435112421,6289.72021640484,7090.44509919872,7930.25888183583,8808.22361118121,9723.49686230309,10675.2719129254,11662.727683665,12684.9897610466,13741.1025728321,14830.0119361468,15950.5566462258,17101.4675243886,18281.3722787344,19488.804618092,20722.21623742,21979.9904985414,23260.4568700929,24561.9053937539,25882.6006483203,27220.7948446,28574.7398200113,29942.6978080257,31322.9509376907,32713.8094764134,34113.6188689231,35520.7656508775,36933.682329494,38350.8513305788,39770.8081113688,41192.1435355189,42613.5056007345,44033.6006025501,45451.1938099144,46865.1097205693,48274.2319565398,49677.5028531439,51073.9227884492,52462.549294009,53842.4959830399,55212.931327478,56573.0773107718,57922.207980481,59259.6479215369,60584.7706681078,61896.9970697795,63195.7936259493,64480.6708003816,65751.1813261013,67007.0488050859,68249.4001165284,69481.3037673683,70706.9410234534,71930.9775063825,73158.1706813232,74393.1305685191,75640.1793472973,76903.2741932407,78185.9702355824,79491.4079723703,80822.3155241662,82181.0192204878,83569.4585132653,84989.2027683506,86441.4685005097,87927.1363352358,89446.7674056278,91000.6191445985,92588.6606478526,94210.587806959,95865.8384590194,97553.6077660617,99272.863999118,101022.36483971,102800.674261013,104606.179975881,106437.11139515,108291.557984655,110167.487888527,112062.766648696,113975.175846165,115902.431485782,117842.201944299,119792.125306747,121749.825954296,123712.93026186,125679.081296721,127645.952429193,129611.259777282,131572.773500617,133528.327805656,135475.829777608,137413.266981759,139338.713890424,141250.337168823,143146.39985502,145025.264550642,146885.395617047,148725.360496435,150543.830210557,152339.579144484,154111.484129181,155858.52296743,157579.772430371,159274.405811901,160941.690102209,162580.982849608,164191.728753049,165773.456060744,167325.772808293,168848.362948016,170340.982408339,171803.4551197,173235.669039029,174637.572200773,176009.168818977,177350.515461184,178661.717311846,179942.924539937,181194.328782718,182416.159755195,183608.681992563,184772.191730991,185907.013930327
3,0,1,1,0,0,2335.27250675705,0,0.000365029049405597,0.00144633506099023,0.00335417572528852,0.00635840243730099,0.0109098829836654,0.0177040872556145,0.027791902835609,0.0427542232019479,0.0649692653195417,0.0980176568487136,0.147292776446816,0.220913811738325,0.331079713793221,0.496047633777239,0.742960060603714,1.10987239457294,1.63075139680948,2.32268590804422,3.19086312984897,4.23326409596388,5.44381437743764,6.81447725365561,8.33661538563023,10.0018432946221,11.8025193017915,13.7319835849958,15.7846175889844,17.9557819115705,20.2416771297894,22.6391626471949,25.1455608117841,27.7584666837773,30.4755772467042,33.2945484976791,36.212884176595,39.2278563327453,42.336455503524,45.5353667021278,48.8209666997312,52.1893379017125,55.6362943659977,59.1574160187684,62.7480877099793,66.4035404362726,70.1188926389098,73.8891900681642,77.7094431663953,81.5746613100169,85.4798835539116,89.4202057504993,93.3908040810917,97.3869551505965,101.404052869577,105.437622387389,109.483331360094,113.536998836943,117.594602040448,121.652281298394,125.706343366179,129.753263355461,133.789685463205,137.812422673334,141.81845558344,145.804930490529,149.769156852367,153.708604227658,157.620898784809,161.503819455942,165.355293804885,169.173393668657,172.956330623695,176.702451321651,180.410232734448,184.07827734271,187.705308296596,191.290536539923,194.837179067461,198.35399579849,201.852923336723,205.347281016093,208.850650363927,212.376191984394,215.936244758511,219.542105561068,223.203923512056,226.930664049697,230.730115364269,234.608918620091,238.572610530193,242.625671292423,246.771573791596,251.01283202178,255.351047895808,259.786956328603,264.32046909513,268.950718032024,273.676098286596,278.494312221653,283.402414475606,288.396858499658,293.473544749853,298.627870497398,303.854781095694,309.148822385631,314.504193861052,319.914802108853,325.374314025753,330.876209302834,336.413831663332,341.980438354212,347.569247500897,353.173482920519,358.786416083283,364.401404967958,370.011929588663,375.611624236591,381.19430604268,386.75400019084,392.284961618086,397.781693362071,403.238961651127,408.65180783707,414.015557504019,419.325826737965,424.578525898264,429.769861041346,434.896333303409,439.954736281377,444.94215182473,449.855944316065,454.693753689439,459.45348736142,464.133311272305,468.731640158494,473.247127271336,477.678653637795,482.025317010559,486.286420618416,490.461461821097,494.550120760029,498.552249084873,502.467858825808,506.297111470857,510.04030729873,513.697875009155,517.270361684793,520.758423111972,524.162814481086,527.484381481906,530.724051804054
4,0,1,1,0,1,2335.27250675705,0,0.000365029049405597,0.00144633506099023,0.00335417572528852,0.00635840243730099,0.0109098829836654,0.0177040872556145,0.027791902835609,0.0427542232019479,0.0649692653195417,0.0980176568487136,0.147292776446816,0.220913811738325,0.331079713793221,0.496047633777239,0.742960060603714,1.10987239457294,1.63075139680948,2.32268590804422,3.19086312984897,4.23326409596388,5.44381437743764,6.81447725365561,8.33661538563023,10.0018432946221,11.8025193017915,13.7319835849958,15.7846175889844,17.9557819115705,20.2416771297894,22.6391626471949,25.1455608117841,27.7584666837773,30.4755772467042,33.2945484976791,36.212884176595,39.2278563327453,42.336455503524,45.5353667021278,48.8209666997312,52.1893379017125,55.6362943659977,59.1574160187684,62.7480877099793,66.4035404362726,70.1188926389098,73.8891900681642,77.7094431663953,81.5746613100169,85.4798835539116,89.4202057504993,93.3908040810917,97.3869551505965,101.404052869577,105.437622387389,109.483331360094,113.536998836943,117.594602040448,121.652281298394,125.706343366179,129.753263355461,133.789685463205,137.812422673334,141.81845558344,145.804930490529,149.769156852367,153.708604227658,157.620898784809,161.503819455942,165.355293804885,169.173393668657,172.956330623695,176.702451321651,180.410232734448,184.07827734271,187.705308296596,191.290536539923,194.837179067461,198.35399579849,201.852923336723,205.347281016093,208.850650363927,212.376191984394,215.936244758511,219.542105561068,223.203923512056,226.930664049697,230.730115364269,234.608918620091,238.572610530193,242.625671292423,246.771573791596,251.01283202178,255.351047895808,259.786956328603,264.32046909513,268.950718032024,273.676098286596,278.494312221653,283.402414475606,288.396858499658,293.473544749853,298.627870497398,303.854781095694,309.148822385631,314.504193861052,319.914802108853,325.374314025753,330.876209302834,336.413831663332,341.980438354212,347.569247500897,353.173482920519,358.786416083283,364.401404967958,370.011929588663,375.611624236591,381.19430604268,386.75400019084,392.284961618086,397.781693362071,403.238961651127,408.65180783707,414.015557504019,419.325826737965,424.578525898264,429.769861041346,434.896333303409,439.954736281377,444.94215182473,449.855944316065,454.693753689439,459.45348736142,464.133311272305,468.731640158494,473.247127271336,477.678653637795,482.025317010559,486.286420618416,490.461461821097,494.550120760029,498.552249084873,502.467858825808,506.297111470857,510.04030729873,513.697875009155,517.270361684793,520.758423111972,524.162814481086,527.484381481906,530.724051804054
5,0,2,0,0,0,527895.493723415,0,0.0821257264904205,0.321270764608074,0.731561279555258,1.35768558117721,2.27897739093541,3.62145857940073,5.57889296227635,8.44607766205291,12.6699777347705,18.9274189479529,28.2424220836847,42.1621475222492,63.0185075559505,94.3117790613893,141.261483136609,211.212931741461,310.786058870991,443.427943008129,610.352912511953,811.426491055884,1045.75506878776,1312.07590729712,1609.0099263414,1935.21927596278,2289.49743547513,2670.81159887966,3078.31127614666,3511.31379346968,3969.2751466268,4451.75300408011,4958.36722638501,5488.76196404896,6042.57209717807,6619.39569830532,7218.77324127355,7840.1735414364,8482.9859081754,9146.51766380295,9829.99603880281,10532.5734205381,11253.3349924696,11991.3079154955,12745.4713341832,13514.7666419514,14298.1075672542,15094.3897706274,15902.4997430728,16721.3228804612,17549.7506740155,18386.6870057472,19231.0535725384,20081.7944859269,20937.8801091382,21798.3102000787,22662.1164320555,23528.3643625949,24396.1549176227,25264.6254534894,26132.9504539582,27000.3419134718,27866.0494524555,28729.3602049412,29589.5985139134,30446.1254652436,31298.3382868565,32145.6696365442,32987.586798603,33823.5908063855,34653.2155059635,35476.0265739476,36291.6205005869,37099.6235478093,37899.6906906771,38691.5045494772,39474.774318549,40249.2381462507,41014.6959568496,41771.030746255,42518.2001938888,43256.233717434,43985.2325029896,44705.3693007631,45416.8866742103,46120.0933798506,46815.3589849675,47503.1070430287,48183.8071676904,48857.9663334991,49526.1196927988,50188.8211575196,50846.6339653193,51500.1214238,52149.8380078189,52796.320981968,53440.0826821161,54081.6035998313,54721.3263688646,55359.6507234957,55996.9294960493,56633.4656487762,57269.5103512571,57905.2620402879,58540.8664136865,59176.4172577884,59811.9580271733,60447.4840547341,61082.9452974641,61718.2494905165,62353.2656249814,62987.8276372104,63621.7382214693,64254.7726913608,64886.6828196493,65517.200598208,66146.0418690919,66772.90979715,67397.4981414586,68019.494316979,68638.5822271844,69254.4448624829,69866.7666602818,70475.2356250357,71079.5452252968,71679.3960603258,72274.4973155289,72864.5680136605,73449.3380817251,74028.5492308949,74601.9556798148,75169.324723475,75730.4371647642,76285.0876200127,76833.0847130294,77374.2511637657,77908.4237896703,78435.4534250627,78955.2047702553,79467.5561789253,79972.3993921767,80469.6392269581,80959.1932258704,81440.9912748136,81914.9751943072,82381.0983097873,82839.3250056582,83289.6302673877,83731.9992154856,84166.4266347801,84592.916502018,85011.4815144552
6,0,2,0,0,1,527895.493723415,0,0.0821257264904205,0.321270764608074,0.731561279555258,1.35768558117721,2.27897739093541,3.62145857940073,5.57889296227635,8.44607766205291,12.6699777347705,18.9274189479529,28.2424220836847,42.1621475222492,63.0185075559505,94.3117790613893,141.261483136609,211.212931741461,310.786058870991,443.427943008129,610.352912511953,811.426491055884,1045.75506878776,1312.07590729712,1609.0099263414,1935.21927596278,2289.49743547513,2670.81159887966,3078.31127614666,3511.31379346968,3969.2751466268,4451.75300408011,4958.36722638501,5488.76196404896,6042.57209717807,6619.39569830532,7218.77324127355,7840.1735414364,8482.9859081754,9146.51766380295,9829.99603880281,10532.5734205381,11253.3349924696,11991.3079154955,12745.4713341832,13514.7666419514,14298.1075672542,15094.3897706274,15902.4997430728,16721.3228804612,17549.7506740155,18386.6870057472,19231.0535725384,20081.7944859269,20937.8801091382,21798.3102000787,22662.1164320555,23528.3643625949,24396.1549176227,25264.6254534894,26132.9504539582,27000.3419134718,27866.0494524555,28729.3602049412,29589.5985139134,30446.1254652436,31298.3382868565,32145.6696365442,32987.586798603,33823.5908063855,34653.2155059635,35476.0265739476,36291.6205005869,37099.6235478093,37899.6906906771,38691.5045494772,39474.774318549,40249.2381462507,41014.6959568496,41771.030746255,42518.2001938888,43256.233717434,43985.2325029896,44705.3693007631,45416.8866742103,46120.0933798506,46815.3589849675,47503.1070430287,48183.8071676904,48857.9663334991,49526.1196927988,50188.8211575196,50846.6339653193,51500.1214238,52149.8380078189,52796.320981968,53440.0826821161,54081.6035998313,54721.3263688646,55359.6507234957,55996.9294960493,56633.4656487762,57269.5103512571,57905.2620402879,58540.8664136865,59176.4172577884,59811.9580271733,60447.4840547341,61082.9452974641,61718.2494905165,62353.2656249814,62987.8276372104,63621.7382214693,64254.7726913608,64886.6828196493,65517.200598208,66146.0418690919,66772.90979715,67397.4981414586,68019.494316979,68638.5822271844,69254.4448624829,69866.7666602818,70475.2356250357,71079.5452252968,71679.3960603258,72274.4973155289,72864.5680136605,73449.3380817251,74028.5492308949,74601.9556798148,75169.324723475,75730.4371647642,76285.0876200127,76833.0847130294,77374.2511637657,77908.4237896703,78435.4534250627,78955.2047702553,79467.5561789253,79972.3993921767,80469.6392269581,80959.1932258704,81440.9912748136,81914.9751943072,82381.0983097873,82839.3250056582,83289.6302673877,83731.9992154856,84166.4266347801,84592.916502018,85011.4815144552
7,0,2,1,0,0,171228.02725029,0,0.0266382765161837,0.104207290820056,0.237289001706416,0.440378496227399,0.739208436968277,1.17465524084265,1.80956808218485,2.73956726903561,4.10963025565534,6.13929204914896,9.16070372953981,13.6757017832263,20.4406645962325,30.5909409478837,45.8195331680643,68.5089644860449,100.806474747545,143.830157316549,197.973891382841,263.194058244641,339.200806872842,425.584555807613,521.897986986648,627.70715579068,742.620715524429,866.303665537566,998.480141133919,1138.9287104382,1287.47292040081,1443.96929649407,1608.29453679941,1780.33321807999,1959.96691015427,2147.06524394717,2341.47916768933,2543.03638648494,2751.53881690439,2966.76178221645,3188.45462712786,3416.34242025275,3650.12843196725,3889.49711246607,4134.11733738107,4383.64573739252,4637.72996978092,4896.01183132215,5158.13014456468,5423.72337684061,5692.43197256872,5963.90039524028,6237.77888677275,6513.72495949474,6791.40464072463,7070.49349223076,7350.67742785154,7631.65335210068,7913.1296415757,8194.82648943583,8476.47613147709,8757.82297044834,9038.62361345126,9318.64683548986,9597.67348065311,9875.49631094198,10151.9198113832,10426.7599590249,10699.843962358,10971.0099767074,11240.1068005217,11506.993556794,11771.5393632201,12033.6229942287,12293.1325376324,12549.9650482407,12804.0262004149,13055.2310600334,13303.5147305905,13548.8392606736,13791.1909231923,14030.5792600578,14267.0370919633,14500.6204521155,14731.4080183255,14959.4999387673,15185.0160861765,15408.0938442313,15628.8855366792,15847.5556056353,16064.2776329567,16279.2312853542,16492.599254429,16704.5642544695,16915.3061347774,17124.999162338,17333.8095182631,17541.8930546566,17749.393344072,17956.4400442026,18163.1475996379,18369.6142791243,18575.9215519533,18782.1337830257,18988.298230843,19194.4453159133,19400.5891331513,19606.7281687356,19812.8461907312,20018.9132721396,20224.8869189491,20430.7132668037,20636.3283176732,20841.6591923439,21046.6253759025,21251.139937312,21455.1107071845,21658.4414041579,21861.0326960159,22062.7831927674,22263.5903654358,22463.351388883,22661.963907319,22859.3267219606,23055.3404063572,23249.9078469732,23442.9347152722,23634.3298735575,23824.0057210315,24011.878479206,24197.8684265129,24381.9000828235,24563.9023494272,24743.8086081373,24921.5567842286,25097.0893751966,25270.3534511969,25441.3006288934,25609.8870225189,25776.0731749081,25939.8239712372,26101.1085379595,26259.9001292175,26416.1760028221,26569.9172876943,26721.1088444861,26869.7391209334,27015.8000033298,27159.2866653684,27300.1974154576,27438.5335434936,27574.2991679548
8,0,2,1,0,1,171228.02725029,0,0.0266382765161837,0.104207290820056,0.237289001706416,0.440378496227399,0.739208436968277,1.17465524084265,1.80956808218485,2.73956726903561,4.10963025565534,6.13929204914896,9.16070372953981,13.6757017832263,20.4406645962325,30.5909409478837,45.8195331680643,68.5089644860449,100.806474747545,143.830157316549,197.973891382841,263.194058244641,339.200806872842,425.584555807613,521.897986986648,627.70715579068,742.620715524429,866.303665537566,998.480141133919,1138.9287104382,1287.47292040081,1443.96929649407,1608.29453679941,1780.33321807999,1959.96691015427,2147.06524394717,2341.47916768933,2543.03638648494,2751.53881690439,2966.76178221645,3188.45462712786,3416.34242025275,3650.12843196725,3889.49711246607,4134.11733738107,4383.64573739252,4637.72996978092,4896.01183132215,5158.13014456468,5423.72337684061,5692.43197256872,5963.90039524028,6237.77888677275,6513.72495949474,6791.40464072463,7070.49349223076,7350.67742785154,7631.65335210068,7913.1296415757,8194.82648943583,8476.47613147709,8757.82297044834,9038.62361345126,9318.64683548986,9597.67348065311,9875.49631094198,10151.9198113832,10426.7599590249,10699.843962358,10971.0099767074,11240.1068005217,11506.993556794,11771.5393632201,12033.6229942287,12293.1325376324,12549.9650482407,12804.0262004149,13055.2310600334,13303.5147305905,13548.8392606736,13791.1909231923,14030.5792600578,14267.0370919633,14500.6204521155,14731.4080183255,14959.4999387673,15185.0160861765,15408.0938442313,15628.8855366792,15847.5556056353,16064.2776329567,16279.2312853542,16492.599254429,16704.5642544695,16915.3061347774,17124.999162338,17333.8095182631,17541.8930546566,17749.393344072,17956.4400442026,18163.1475996379,18369.6142791243,18575.9215519533,18782.1337830257,18988.298230843,19194.4453159133,19400.5891331513,19606.7281687356,19812.8461907312,20018.9132721396,20224.8869189491,20430.7132668037,20636.3283176732,20841.6591923439,21046.6253759025,21251.139937312,21455.1107071845,21658.4414041579,21861.0326960159,22062.7831927674,22263.5903654358,22463.351388883,22661.963907319,22859.3267219606,23055.3404063572,23249.9078469732,23442.9347152722,23634.3298735575,23824.0057210315,24011.878479206,24197.8684265129,24381.9000828235,24563.9023494272,24743.8086081373,24921.5567842286,25097.0893751966,25270.3534511969,25441.3006288934,25609.8870225189,25776.0731749081,25939.8239712372,26101.1085379595,26259.9001292175,26416.1760028221,26569.9172876943,26721.1088444861,26869.7391209334,27015.8000033298,27159.2866653684,27300.1974154576,27438.5335434936,27574.2991679548
9,11,2,0,0,0,146.0605932,0,2.26600381470178e-05,8.79719534329874e-05,0.000198059535851307,0.000362477370834259,0.000599071834946392,0.000936729400674585,0.00142025163861984,0.00211810769459746,0.00313437535303152,0.00462691577878021,0.00683486259661645,0.0101199123609092,0.0150278614620166,0.0223791474930975,0.0333995472380881,0.0498222197991793,0.0732573729089745,0.104644251462004,0.144455885272109,0.192886622647254,0.249973037321388,0.315671509066299,0.389907208972967,0.472603938436611,0.5637007510415,0.663159380365622,0.770965185700268,0.887123656654703,1.01165409008466,1.14458175569744,1.28592961119419,1.43571038759615,1.59391961507537,1.76052994447292,1.93548692475925,2.11870624306166,2.3100723273148,2.50943814067172,2.71662596396421,2.93142895292795,3.15361326687713,3.3829205873204,3.61907087056957,3.86176520865785,4.11068869851569,4.36551324545577,4.62590024770303,4.8915031262979,5.16196967862264,5.43694424447952,5.71606968157687,5.99898915293437,6.28534773259199,6.57479383842703,6.86698050237019,7.16156648894643,7.45821727322885,7.75660588908607,8.05641365818727,8.35733080966921,8.6590569997655,8.96130174005582,9.26378474238718,9.56623618792922,9.86839692723136,10.1700186177079,10.4708638044993,10.7707059501173,11.069329418002,11.3665294147428,11.6621118953241,11.955893435452,12.2477010747821,12.5373721345637,12.8247540128789,13.1097039660292,13.3920891519808,13.6717879875305,13.9486927909063,14.2227124805675,14.4937746147885,14.7618265565852,15.0268357896619,15.2887895124963,15.5476936563233,15.8035714747159,16.0564618235809,16.3064172311318,16.5535018366125,16.7977892605686,17.0393604589706,17.2783016050541,17.5147020373667,17.7486523107667,17.9802423788355,18.209559937766,18.4366889527539,18.6617083818468,18.8846911118227,19.1057031060797,19.3248027679291,19.5420405076101,19.7574585044301,19.9710906447889,20.1829626208167,20.3930921657656,20.6014894080799,20.8081573186652,21.0130922351317,21.2162844404995,21.4177187784663,21.6173752902941,21.815229858865,22.0112548477722,22.2054197252304,22.397691665807,22.5880361218072,22.7764173608526,22.9627989658412,23.1471442953498,23.3294169030984,23.5095809156347,23.6876013707763,23.86344451522,24.0370780643829,24.2084714255656,24.3775958878397,24.5444247780719,24.7089335884581,24.8711000759371,25.0309043365406,25.1883288567128,25.3433585442416,25.4959807399167,25.646185213221,25.7939641430467,25.9393120855947,26.0822259310315,26.2227048504668,26.360750234676,26.496365625871,26.6295566437201,26.7603309066983,26.8886979497551,27.0146691391855,27.1382575854998,27.2594780550045,27.3783468807246,27.4948818732281,27.6091022318426
10,11,2,0,0,1,146.0605932,0,2.26600381470178e-05,8.79719534329874e-05,0.000198059535851307,0.000362477370834259,0.000599071834946392,0.000936729400674585,0.00142025163861984,0.00211810769459746,0.00313437535303152,0.00462691577878021,0.00683486259661645,0.0101199123609092,0.0150278614620166,0.0223791474930975,0.0333995472380881,0.0498222197991793,0.0732573729089745,0.104644251462004,0.144455885272109,0.192886622647254,0.249973037321388,0.315671509066299,0.389907208972967,0.472603938436611,0.5637007510415,0.663159380365622,0.770965185700268,0.887123656654703,1.01165409008466,1.14458175569744,1.28592961119419,1.43571038759615,1.59391961507537,1.76052994447292,1.93548692475925,2.11870624306166,2.3100723273148,2.50943814067172,2.71662596396421,2.93142895292795,3.15361326687713,3.3829205873204,3.61907087056957,3.86176520865785,4.11068869851569,4.36551324545577,4.62590024770303,4.8915031262979,5.16196967862264,5.43694424447952,5.71606968157687,5.99898915293437,6.28534773259199,6.57479383842703,6.86698050237019,7.16156648894643,7.45821727322885,7.75660588908607,8.05641365818727,8.35733080966921,8.6590569997655,8.96130174005582,9.26378474238718,9.56623618792922,9.86839692723136,10.1700186177079,10.4708638044993,10.7707059501173,11.069329418002,11.3665294147428,11.6621118953241,11.955893435452,12.2477010747821,12.5373721345637,12.8247540128789,13.1097039660292,13.3920891519808,13.6717879875305,13.9486927909063,14.2227124805675,14.4937746147885,14.7618265565852,15.0268357896619,15.2887895124963,15.5476936563233,15.8035714747159,16.0564618235809,16.3064172311318,16.5535018366125,16.7977892605686,17.0393604589706,17.2783016050541,17.5147020373667,17.7486523107667,17.9802423788355,18.209559937766,18.4366889527539,18.6617083818468,18.8846911118227,19.1057031060797,19.3248027679291,19.5420405076101,19.7574585044301,19.9710906447889,20.1829626208167,20.3930921657656,20.6014894080799,20.8081573186652,21.0130922351317,21.2162844404995,21.4177187784663,21.6173752902941,21.815229858865,22.0112548477722,22.2054197252304,22.397691665807,22.5880361218072,22.7764173608526,22.9627989658412,23.1471442953498,23.3294169030984,23.5095809156347,23.6876013707763,23.86344451522,24.0370780643829,24.2084714255656,24.3775958878397,24.5444247780719,24.7089335884581,24.8711000759371,25.0309043365406,25.1883288567128,25.3433585442416,25.4959807399167,25.646185213221,25.7939641430467,25.9393120855947,26.0822259310315,26.2227048504668,26.360750234676,26.496365625871,26.6295566437201,26.7603309066983,26.8886979497551,27.0146691391855,27.1382575854998,27.2594780550045,27.3783468807246,27.4948818732281,27.6091022318426
