"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.00426663167831102,0.0291527311568628,0.109987691045217,0.308441141331588,0.724746354477845,1.52022989861943,2.95413982871895,5.4424717300649,9.65147396634191,16.6458312121748,28.1226944601674,46.7790504190094,76.8828018478839,125.146716924708,202.032535730766,322.814377163559,501.357831595661,744.579720766326,1054.42683261156,1429.7888214331,1867.788952041,2364.64663969057,2916.24353856161,3518.48422546828,4167.51277450206,4859.82922178369,5592.33637281598,6362.33920784241,7167.51348526201,8005.85607474909,8875.62649117017,9775.28669815828,10703.4441164594,11658.8010969926,12640.1126598688,13646.1531706943,14675.691806108,15727.4760670025,16800.2222764989,17892.6118294687,19003.2919496877,20130.8797767661,21273.9687419114,22431.1363459732,23600.952623579,24781.9887387394,25972.8252995178,27172.0601059027,28378.315148182,29590.2427540872,30806.5308465309,32025.9073196145,33247.1435725371,34469.0572622062,35690.5143471466,36910.4305009199,38127.7719740283,39341.5559803796,40550.8506794773,41754.7748202281,42952.4971040282,44143.2353196672,45326.255294456,46500.869700761,47666.4367512263,48822.3588101987,49968.0809454405,51103.0894393202,52226.9102758326,53339.1076168948,54439.2822786531,55527.070216699,56602.1410274082,57664.1964711028,58712.9690215802,59748.2204489315,60769.74041417,61777.3451521228,62770.8761174488,63750.1987434928,64715.2011512528,65665.793002005,66601.9043050155,67523.4843039584,68430.5003932788,69322.9370740637,70200.79494927,71064.089756402,71912.8514379317,72747.1232486364,73566.9609002778,74372.4317396876,75163.6139629493,75940.5958634002,76703.4751124037,77452.3580723089,78187.3591407119,78908.6001250168,79616.2096464685,80310.3225726803,80991.0794777579,81658.6261290939,82313.11299992,82954.694806711,83583.5300705417,84199.7807015134,84803.611605377,85395.1903114962,85974.6866213123,86542.2722764849,87098.1206459081,87642.4064308149,88175.3053872069,88696.994064865,89207.6495622147,89707.4492963685,90196.5707876194,90675.191457863,91143.4884417722,91601.638411106,92049.8174107902,92488.2007062832,92916.9626418538,93336.2765091714,93746.3144256986,94147.2472223914,94539.2443402349,94922.473735161,95297.1017909109,95663.2932394255,96021.2110883634,96371.0165553621,96712.8690086765,97046.9259138426,97373.3427860303,97692.2731477663,98003.8684917179,98308.2782482474,98605.6497574562,98896.1282454535,99179.8568045951,99456.9763774505,99727.6257442675,99991.9415137158,100250.058116701,100502.107803047,100748.220640867,100988.52451843,101223.145148367,101452.206074045
2,0,1,1,0,818021.22396571,0,0.00426663167831102,0.0291527311568628,0.109987691045217,0.308441141331588,0.724746354477845,1.52022989861943,2.95413982871895,5.4424717300649,9.65147396634191,16.6458312121748,28.1226944601674,46.7790504190094,76.8828018478839,125.146716924708,202.032535730766,322.814377163559,501.357831595661,744.579720766326,1054.42683261156,1429.7888214331,1867.788952041,2364.64663969057,2916.24353856161,3518.48422546828,4167.51277450206,4859.82922178369,5592.33637281598,6362.33920784241,7167.51348526201,8005.85607474909,8875.62649117017,9775.28669815828,10703.4441164594,11658.8010969926,12640.1126598688,13646.1531706943,14675.691806108,15727.4760670025,16800.2222764989,17892.6118294687,19003.2919496877,20130.8797767661,21273.9687419114,22431.1363459732,23600.952623579,24781.9887387394,25972.8252995178,27172.0601059027,28378.315148182,29590.2427540872,30806.5308465309,32025.9073196145,33247.1435725371,34469.0572622062,35690.5143471466,36910.4305009199,38127.7719740283,39341.5559803796,40550.8506794773,41754.7748202281,42952.4971040282,44143.2353196672,45326.255294456,46500.869700761,47666.4367512263,48822.3588101987,49968.0809454405,51103.0894393202,52226.9102758326,53339.1076168948,54439.2822786531,55527.070216699,56602.1410274082,57664.1964711028,58712.9690215802,59748.2204489315,60769.74041417,61777.3451521228,62770.8761174488,63750.1987434928,64715.2011512528,65665.793002005,66601.9043050155,67523.4843039584,68430.5003932788,69322.9370740637,70200.79494927,71064.089756402,71912.8514379317,72747.1232486364,73566.9609002778,74372.4317396876,75163.6139629493,75940.5958634002,76703.4751124037,77452.3580723089,78187.3591407119,78908.6001250168,79616.2096464685,80310.3225726803,80991.0794777579,81658.6261290939,82313.11299992,82954.694806711,83583.5300705417,84199.7807015134,84803.611605377,85395.1903114962,85974.6866213123,86542.2722764849,87098.1206459081,87642.4064308149,88175.3053872069,88696.994064865,89207.6495622147,89707.4492963685,90196.5707876194,90675.191457863,91143.4884417722,91601.638411106,92049.8174107902,92488.2007062832,92916.9626418538,93336.2765091714,93746.3144256986,94147.2472223914,94539.2443402349,94922.473735161,95297.1017909109,95663.2932394255,96021.2110883634,96371.0165553621,96712.8690086765,97046.9259138426,97373.3427860303,97692.2731477663,98003.8684917179,98308.2782482474,98605.6497574562,98896.1282454535,99179.8568045951,99456.9763774505,99727.6257442675,99991.9415137158,100250.058116701,100502.107803047,100748.220640867,100988.52451843,101223.145148367,101452.206074045
3,0,1,0,1,2335.27250675705,0,0.00306598046733153,0.011369248595315,0.0238171424813195,0.0396197657882975,0.0582830780667094,0.0796389704001716,0.1039223335915,0.131915948754135,0.165198443052482,0.206551584234855,0.260615186237631,0.334924556685488,0.441530759391162,0.599486132538619,0.838557786539505,1.20225569520698,1.73008811763749,2.44175883826879,3.3428076883469,4.43006377581371,5.69532481716151,7.12781561685451,8.71580137281682,10.4476154098481,12.3122761081281,14.2998184731055,16.4014271666206,18.6094344470307,20.9172303417713,23.319120776546,25.8101606597294,28.385982071833,31.0426316266071,33.7764262943722,36.5838328193951,39.4613726417273,42.4055518979507,45.4128143833536,48.4795144420506,51.6019062663562,54.7761460565431,57.9983036807617,61.2643808655836,64.570333388102,67.9120952265214,71.2856030870406,74.6868201305263,78.1117580834172,81.5564972115689,85.0172038667168,88.4901454965108,91.9717031398969,95.4583815207563,98.9468169131271,102.433782984977,105.916194843537,109.391111507379,112.855737022183,116.307420423124,119.74365473178,123.162075152016,126.560456614665,129.936710797648,133.288882733303,136.615147097822,139.913804261292,143.183276167028,146.422102094948,149.628934355624,152.802533953378,155.941766249051,159.04559664782,162.11308633268,165.143388059821,168.135742028906,171.08947184776,174.003980531584,176.878746751304,179.713320978902,182.50732195292,185.260433002038,187.972398777678,190.643021858652,193.272159579896,195.859720946443,198.405663659869,200.909991256798,203.372750354026,205.794028001125,208.173949138162,210.512674159751,212.810396574243,215.067340765709,217.283759852238,219.459933637562,221.59616665436,223.692786296703,225.750141038802,227.768598737699,229.748545017118,231.690381729916,233.594525496505,235.461406316641,237.291466252001,239.085158176986,240.842944595242,242.565296519403,244.252692411628,245.905617182528,247.524561246154,249.110019628738,250.66249112897,252.182477527626,253.670482844425,255.127012640052,256.552573361412,257.947671728052,259.312814158256,260.648506231473,261.955252188151,263.233554463108,264.48391325105,265.70682610317,266.902787553122,268.072288770917,269.215817243337,270.333856479507,271.426885740348,272.495379790664,273.539808672661,274.560637499777,275.558326269716,276.533329695643,277.486097054542,278.417072051786,279.326692700984,280.21539121826,281.083593930107,281.931721194032,282.760187331236,283.56940057059,284.359763003239,285.131670547161,285.885512921063,286.621673627021,287.340529941292,288.042452912768,288.727807368556,289.396951926198,290.050239012077
4,0,1,1,1,2335.27250675705,0,0.00306598046733153,0.011369248595315,0.0238171424813195,0.0396197657882975,0.0582830780667094,0.0796389704001716,0.1039223335915,0.131915948754135,0.165198443052482,0.206551584234855,0.260615186237631,0.334924556685488,0.441530759391162,0.599486132538619,0.838557786539505,1.20225569520698,1.73008811763749,2.44175883826879,3.3428076883469,4.43006377581371,5.69532481716151,7.12781561685451,8.71580137281682,10.4476154098481,12.3122761081281,14.2998184731055,16.4014271666206,18.6094344470307,20.9172303417713,23.319120776546,25.8101606597294,28.385982071833,31.0426316266071,33.7764262943722,36.5838328193951,39.4613726417273,42.4055518979507,45.4128143833536,48.4795144420506,51.6019062663562,54.7761460565431,57.9983036807617,61.2643808655836,64.570333388102,67.9120952265214,71.2856030870406,74.6868201305263,78.1117580834172,81.5564972115689,85.0172038667168,88.4901454965108,91.9717031398969,95.4583815207563,98.9468169131271,102.433782984977,105.916194843537,109.391111507379,112.855737022183,116.307420423124,119.74365473178,123.162075152016,126.560456614665,129.936710797648,133.288882733303,136.615147097822,139.913804261292,143.183276167028,146.422102094948,149.628934355624,152.802533953378,155.941766249051,159.04559664782,162.11308633268,165.143388059821,168.135742028906,171.08947184776,174.003980531584,176.878746751304,179.713320978902,182.50732195292,185.260433002038,187.972398777678,190.643021858652,193.272159579896,195.859720946443,198.405663659869,200.909991256798,203.372750354026,205.794028001125,208.173949138162,210.512674159751,212.810396574243,215.067340765709,217.283759852238,219.459933637562,221.59616665436,223.692786296703,225.750141038802,227.768598737699,229.748545017118,231.690381729916,233.594525496505,235.461406316641,237.291466252001,239.085158176986,240.842944595242,242.565296519403,244.252692411628,245.905617182528,247.524561246154,249.110019628738,250.66249112897,252.182477527626,253.670482844425,255.127012640052,256.552573361412,257.947671728052,259.312814158256,260.648506231473,261.955252188151,263.233554463108,264.48391325105,265.70682610317,266.902787553122,268.072288770917,269.215817243337,270.333856479507,271.426885740348,272.495379790664,273.539808672661,274.560637499777,275.558326269716,276.533329695643,277.486097054542,278.417072051786,279.326692700984,280.21539121826,281.083593930107,281.931721194032,282.760187331236,283.56940057059,284.359763003239,285.131670547161,285.885512921063,286.621673627021,287.340529941292,288.042452912768,288.727807368556,289.396951926198,290.050239012077
5,0,2,0,0,527895.493723415,0,0.00385836017979876,0.023028422188929,0.0797473310013492,0.211905318861039,0.479296529656717,0.975808672240616,1.84962269667545,3.33559419042225,5.80676641402048,9.85602287807295,16.4250810275738,27.0071174337242,43.962164786929,71.0009036010988,113.909484970608,181.1507739178,280.455014692812,415.769330479062,588.339363014471,797.751182800233,1042.6308142731,1321.10992182543,1631.13059378516,1970.63909013639,2337.70179849918,2730.56708874358,3147.68939787615,3587.72751153011,4049.52603727054,4532.0869429592,5034.53642325824,5556.09106898328,6096.02613851322,6653.64778388197,7228.27024790619,7819.19839020339,8425.71541890288,9047.07535567676,9682.49957293454,10331.176643984,10992.2647449674,11664.8958913346,12348.1813784326,13041.21789273,13743.0938664428,14452.8957486166,15169.7139537703,15892.6483271634,16620.8130289409,17353.340788758,18089.3865208445,18828.1303167423,19568.7798516394,20310.5722521827,21052.7754797904,21794.6892859074,22535.645795085,23275.009769003,24012.1786006336,24746.5820837512,25477.6819970806,26204.9715387097,26927.9746407057,27646.2451902429,28359.3661794728,29066.9488024238,29768.6315148665,30464.0790697565,31152.9815389423,31835.0533298644,32510.0322041458,33177.6783037527,33837.7731892704,34490.1188938405,35134.5369955436,35770.8677133506,36398.9690077614,37018.7157473447,37629.9988444488,38232.7244678942,38826.813224007,39412.1994296845,39988.8303575086,40556.6655314172,41115.6760418043,41665.8438860389,42207.1613342308,42739.6303189423,43263.2618489752,43778.0754466467,44284.0986087745,44781.366288817,45269.9204018565,45749.8093509359,46221.087574055,46683.8151114415,47138.0571925108,47583.8838418676,48021.3695038129,48450.5926847288,48871.6356127667,49284.5839142476,49689.5263061968,50086.5543044375,50475.7619466771,50857.245530028,51231.1033624164,51597.4355273388,51956.3436614423,52307.9307444116,52652.3009006614,52989.5592123446,53319.8115431967,53643.1643727561,53959.7246405046,54269.5995995081,54572.8966791038,54869.7233563104,55160.1870352268,55444.3949346611,55722.4539831383,55994.4707209869,56260.551209269,56520.8009451854,56775.3247836351,57024.2268646224,57267.6105462193,57505.5783427986,57738.2318682679,57965.6717840439,58187.9977515182,58405.3083887749,58617.7012313324,58825.2726966902,59028.1180524718,59226.3313879618,59420.0055888498,59609.2323149941,59794.1019810349,59974.7037396876,60151.1254675598,60323.4537533397,60491.7738882122,60656.1698583653,60816.7243394565,60973.5186929147,61126.6329639592,61276.1458812239,61422.1348578792,61564.6759941506
6,0,2,1,0,527895.493723415,0,0.00385836017979876,0.023028422188929,0.0797473310013492,0.211905318861039,0.479296529656717,0.975808672240616,1.84962269667545,3.33559419042225,5.80676641402048,9.85602287807295,16.4250810275738,27.0071174337242,43.962164786929,71.0009036010988,113.909484970608,181.1507739178,280.455014692812,415.769330479062,588.339363014471,797.751182800233,1042.6308142731,1321.10992182543,1631.13059378516,1970.63909013639,2337.70179849918,2730.56708874358,3147.68939787615,3587.72751153011,4049.52603727054,4532.0869429592,5034.53642325824,5556.09106898328,6096.02613851322,6653.64778388197,7228.27024790619,7819.19839020339,8425.71541890288,9047.07535567676,9682.49957293454,10331.176643984,10992.2647449674,11664.8958913346,12348.1813784326,13041.21789273,13743.0938664428,14452.8957486166,15169.7139537703,15892.6483271634,16620.8130289409,17353.340788758,18089.3865208445,18828.1303167423,19568.7798516394,20310.5722521827,21052.7754797904,21794.6892859074,22535.645795085,23275.009769003,24012.1786006336,24746.5820837512,25477.6819970806,26204.9715387097,26927.9746407057,27646.2451902429,28359.3661794728,29066.9488024238,29768.6315148665,30464.0790697565,31152.9815389423,31835.0533298644,32510.0322041458,33177.6783037527,33837.7731892704,34490.1188938405,35134.5369955436,35770.8677133506,36398.9690077614,37018.7157473447,37629.9988444488,38232.7244678942,38826.813224007,39412.1994296845,39988.8303575086,40556.6655314172,41115.6760418043,41665.8438860389,42207.1613342308,42739.6303189423,43263.2618489752,43778.0754466467,44284.0986087745,44781.366288817,45269.9204018565,45749.8093509359,46221.087574055,46683.8151114415,47138.0571925108,47583.8838418676,48021.3695038129,48450.5926847288,48871.6356127667,49284.5839142476,49689.5263061968,50086.5543044375,50475.7619466771,50857.245530028,51231.1033624164,51597.4355273388,51956.3436614423,52307.9307444116,52652.3009006614,52989.5592123446,53319.8115431967,53643.1643727561,53959.7246405046,54269.5995995081,54572.8966791038,54869.7233563104,55160.1870352268,55444.3949346611,55722.4539831383,55994.4707209869,56260.551209269,56520.8009451854,56775.3247836351,57024.2268646224,57267.6105462193,57505.5783427986,57738.2318682679,57965.6717840439,58187.9977515182,58405.3083887749,58617.7012313324,58825.2726966902,59028.1180524718,59226.3313879618,59420.0055888498,59609.2323149941,59794.1019810349,59974.7037396876,60151.1254675598,60323.4537533397,60491.7738882122,60656.1698583653,60816.7243394565,60973.5186929147,61126.6329639592,61276.1458812239,61422.1348578792,61564.6759941506
7,0,2,0,1,171228.02725029,0,0.0033206740062422,0.0151166150014846,0.0417919586149451,0.0949822713125221,0.193553745113552,0.367533835999008,0.664644217694078,1.16078840451322,1.9767476706692,3.30465523657093,5.44982774764435,8.89648116454881,14.4100261968208,23.1939847071597,37.1250869739884,58.9482858518686,91.1709140832073,135.073232376017,191.059264674302,258.99474724112,338.434023153116,428.77108973268,529.33845651283,639.469987998022,758.53851427454,885.975893578743,1021.28082408057,1164.01828622685,1313.81353328918,1470.342859489,1633.32285280701,1802.49942169402,1977.63750361955,2158.51205636531,2344.90066172114,2536.57785765329,2733.31115898259,2934.85861335371,3140.96767804331,3351.37517135543,3565.80805170555,3783.98479175202,4005.61714309226,4230.41211848615,4458.07405302893,4688.30663822773,4920.81485149301,5155.30672884475,5391.49494912759,5629.0982140372,5867.84242070113,6107.4616324035,6347.69885910605,6588.30666329576,6829.04760868144,7069.69457004702,7310.03092238684,7549.85062655215,7788.95822736714,8027.16877887638,8264.30770946908,8500.21063843484,8734.72315366273,8967.70055901632,9199.00759859542,9428.5181638164,9656.11498847974,9881.68933591578,10105.1406816753,10326.3763945947,10545.3114184755,10761.8679562179,10975.9751578839,11187.5688138414,11396.5910538888,11602.9900540262,11806.7197447453,12007.7395406951,12206.0140603479,12401.5128706348,12594.2102213115,12784.0848091764,12971.1195332205,13155.3012661774,13336.6206323743,13515.0717938278,13690.6522445281,13863.3626124912,14033.2064696186,14200.190149177,14364.3225709668,14525.6150733536,14684.0812527079,14839.7368097712,14992.5994027234,15142.688506826,15290.0252804511,15434.6324372874,15576.5341245483,15715.7558069779,15852.3241564706,15986.2669471105,16117.6129554443,16246.3918658009,16372.6341804736,16496.3711345845,16617.6346154533,16736.4570862956,16852.8715140807,16966.9113013807,17078.6102220491,17188.0023605701,17295.1220549213,17400.0038428036,17502.6824110876,17603.1925483412,17701.5691002929,17797.8469281228,17892.0608693455,17984.2457013628,18074.4361074089,18162.6666447922,18248.9717153568,18333.3855380441,18415.9421234503,18496.6752502813,18575.6184436085,18652.8049548355,18728.267743285,18802.0394593255,18874.1524289525,18944.6386397508,19013.5297281605,19080.8569679785,19146.651260025,19210.9431229123,19273.7626848528,19335.1396764467,19395.1034243942,19453.6828460766,19510.9064449565,19566.8023067466,19621.3980963013,19674.7210551864,19726.7979998843,19777.6553205949,19827.3189805932,19875.8145161071,19923.1670366823,19969.4012259985
8,0,2,1,1,171228.02725029,0,0.0033206740062422,0.0151166150014846,0.0417919586149451,0.0949822713125221,0.193553745113552,0.367533835999008,0.664644217694078,1.16078840451322,1.9767476706692,3.30465523657093,5.44982774764435,8.89648116454881,14.4100261968208,23.1939847071597,37.1250869739884,58.9482858518686,91.1709140832073,135.073232376017,191.059264674302,258.99474724112,338.434023153116,428.77108973268,529.33845651283,639.469987998022,758.53851427454,885.975893578743,1021.28082408057,1164.01828622685,1313.81353328918,1470.342859489,1633.32285280701,1802.49942169402,1977.63750361955,2158.51205636531,2344.90066172114,2536.57785765329,2733.31115898259,2934.85861335371,3140.96767804331,3351.37517135543,3565.80805170555,3783.98479175202,4005.61714309226,4230.41211848615,4458.07405302893,4688.30663822773,4920.81485149301,5155.30672884475,5391.49494912759,5629.0982140372,5867.84242070113,6107.4616324035,6347.69885910605,6588.30666329576,6829.04760868144,7069.69457004702,7310.03092238684,7549.85062655215,7788.95822736714,8027.16877887638,8264.30770946908,8500.21063843484,8734.72315366273,8967.70055901632,9199.00759859542,9428.5181638164,9656.11498847974,9881.68933591578,10105.1406816753,10326.3763945947,10545.3114184755,10761.8679562179,10975.9751578839,11187.5688138414,11396.5910538888,11602.9900540262,11806.7197447453,12007.7395406951,12206.0140603479,12401.5128706348,12594.2102213115,12784.0848091764,12971.1195332205,13155.3012661774,13336.6206323743,13515.0717938278,13690.6522445281,13863.3626124912,14033.2064696186,14200.190149177,14364.3225709668,14525.6150733536,14684.0812527079,14839.7368097712,14992.5994027234,15142.688506826,15290.0252804511,15434.6324372874,15576.5341245483,15715.7558069779,15852.3241564706,15986.2669471105,16117.6129554443,16246.3918658009,16372.6341804736,16496.3711345845,16617.6346154533,16736.4570862956,16852.8715140807,16966.9113013807,17078.6102220491,17188.0023605701,17295.1220549213,17400.0038428036,17502.6824110876,17603.1925483412,17701.5691002929,17797.8469281228,17892.0608693455,17984.2457013628,18074.4361074089,18162.6666447922,18248.9717153568,18333.3855380441,18415.9421234503,18496.6752502813,18575.6184436085,18652.8049548355,18728.267743285,18802.0394593255,18874.1524289525,18944.6386397508,19013.5297281605,19080.8569679785,19146.651260025,19210.9431229123,19273.7626848528,19335.1396764467,19395.1034243942,19453.6828460766,19510.9064449565,19566.8023067466,19621.3980963013,19674.7210551864,19726.7979998843,19777.6553205949,19827.3189805932,19875.8145161071,19923.1670366823,19969.4012259985
9,11,2,0,0,292.1211864,0,0.00308456120711309,0.0116287861722762,0.0249612660315865,0.0427562265060257,0.0648842963757854,0.0913252402666478,0.122122248336229,0.157365681852957,0.197200297577271,0.241855010714977,0.291699190795555,0.347334945163082,0.409741605820403,0.480496835178893,0.562107406701367,0.658285974109272,0.772417161148189,0.90620028015691,1.06015433506785,1.23408782971593,1.42740572501142,1.63930859907077,1.86891990144351,2.11536504983396,2.37781767495883,2.65552354250272,2.9478091515428,3.25407999585301,3.57381215620416,3.90653999498086,4.2518420681202,4.60932685468048,4.97861943645086,5.35934988118231,5.75114374561938,6.15361484679777,6.56636025285443,6.98895730032282,7.42096236580793,7.86191107794963,8.3113196530395,8.7686870540971,9.23349770753222,9.70522455017665,10.1833322222996,10.6672802629046,11.156526199513,11.6505284567294,12.1487490341687,12.6506559251018,13.1557252636403,13.6634432003422,14.1733075146911,14.6848289787826,15.1975324900517,15.7109579928,16.2246612089395,16.7382141980731,17.2512057661526,17.7632417409705,18.273945130897,18.7829561822299,19.289932348594,19.7945481846497,20.2964951749531,20.7954815073488,21.2912317994702,21.7834867856009,22.2720029704122,22.7565522553081,23.2369215423011,23.7129123197982,24.184340234173,24.651034650486,25.1128382053116,25.5696063583705,26.0212069189078,26.4675196206818,26.9084356398039,27.3438571589115,27.7736968997281,28.1978776974936,28.6163320524166,29.0290017015748,29.4358371955083,29.8367974835134,30.2318495082241,30.6209678096445,31.0041341392159,31.3813370842209,31.7525717030988,32.1178391710186,32.4771464367415,32.8305058905274,33.1779350430638,33.5194562154791,33.8550962404175,34.1848861740869,34.5088610191821,34.8270594585548,35.1395235994778,35.4462987283306,35.7474330755137,36.0429775903862,36.3329857260058,36.6175132334407,36.8966179654126,37.1703596890235,37.4387999073135,37.7020016893906,37.9600295088746,38.2129490903908,38.4608272638521,38.7037318262674,38.9417314108138,39.1748953629243,39.4032936231156,39.6269966163631,39.8460751475285,40.0606003030542,40.2706433583336,40.476275690559,40.6775686969016,40.8745937177706,41.0674219649321,41.2561244542774,41.4407719430324,41.6214348712104,41.7981833071141,41.9710868966982,42.1402148166122,42.3056357307479,42.4674177501219,42.6256283959304,42.7803345656182,42.9316025018113,43.0794977639657,43.2240852025942,43.3654289359345,43.5035923289307,43.638637974403,43.7706276762869,43.8996224348284,44.0256824336244,44.1488670284053,44.2692347374594,44.3868432336021,44.5017493376005,44.6140090129648,44.7236773620229
10,11,2,0,1,67.8788136,0,0.00306752000523161,0.0113885110934612,0.0238848440712369,0.0397331964500089,0.0582989141991676,0.0790897671027275,0.101723917648311,0.125908494674523,0.151426705639667,0.178132685104529,0.20595450546478,0.234907089845071,0.265118369530923,0.296873937959261,0.330687453263452,0.367359633669991,0.407628849642738,0.451862148015735,0.500167427132792,0.552498015546519,0.608720751880214,0.668659949766725,0.732125312784201,0.798929128463214,0.868896170550409,0.941868663956756,1.01770787423438,1.09629343215776,1.17752120902102,1.26130035806489,1.3475499911374,1.43619584495658,1.52716718701396,1.62039412658482,1.71580542098188,1.81332680743012,1.91287984694854,2.0143812345313,2.11774251243622,2.22287011421928,2.3296656668525,2.43802648217783,2.54784617688635,2.65901536908299,2.77142240929084,2.88495411303639,2.99949647034432,3.11493531478438,3.23115694070284,3.34804866200576,3.46549930961525,3.58339966747266,3.70164284892108,3.82012461664591,3.9387436501591,4.05740176525744,4.17600409004554,4.29445920205302,4.41267923078409,4.53057992981945,4.64808072217795,4.76510472241236,4.88157873847973,4.99743325616266,5.11260240849934,5.22702393235044,5.3406391140501,5.45339272578965,5.56523295421673,5.67611132255512,5.78598260736827,5.89480475096654,6.00253877034404,6.10914866341526,6.21460131322975,6.31886639151755,6.42191625717849,6.52372586376204,6.62427265569048,6.72353647369717,6.82149945339357,6.91814593277289,7.01346235463439,7.10743717333322,7.20006076246757,7.29132532438196,7.38122480162458,7.46975479040735,7.55691245620318,7.64269645155483,7.72710683622745,7.81014499957248,7.89181358532934,7.97211641881946,8.05105843653264,8.1286456181233,8.20488492081557,8.27978421620144,8.3533522294135,8.42559848064701,8.49653322900039,8.56616741859818,8.63451262695627,8.70158101554616,8.76738528251101,8.83193861748431,8.89525465845943,8.95734745065673,9.01823140733345,9.07792127248039,9.13643208534901,9.19377914675168,9.24997798707792,9.3050443359693,9.35899409359553,9.41184330347762,9.46360812679735,9.51430481815084,9.5639497026376,9.61255915433217,9.66014957600814,9.70673738007123,9.75233897066902,9.79697072692172,9.84064898722576,9.88339003458335,9.92521008291263,9.96612526429431,10.006151617112,10.0453050750445,10.0836014568709,10.121056457048,10.157685637025,10.1935044172565,10.2285280698822,10.2627717120364,10.2962502997582,10.328978622469,10.3609712979884,10.3922427680605,10.4228072943616,10.4526789549643,10.4818716412321,10.5103990551207,10.5382747068617,10.5655119130086,10.592123794822,10.6181232769745,10.6435230865566,10.6683357523636
