"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.127865809627703,0.506635852318041,1.17493222921844,2.22728102573796,3.82161645195486,6.20155424436732,9.73520919213483,14.9763515359191,22.7580454885103,34.334546993396,51.5950994677071,77.3837683380543,115.97371695325,173.760231987335,260.251039814051,388.776544076686,571.234941422046,813.612271753562,1117.72555683912,1482.86757418274,1906.91051566298,2387.0392031733,2920.22806835283,3503.53976681795,4134.29749941162,4810.16840097793,5529.18435112421,6289.72021640484,7090.44509919872,7930.25888183583,8808.22361118121,9723.49686230309,10675.2719129254,11662.727683665,12684.9897610466,13741.1025728321,14830.0119361468,15950.5566462258,17101.4675243886,18281.3722787344,19488.804618092,20722.21623742,21979.9904985414,23260.4568700929,24561.9053937539,25882.6006483203,27220.7948446,28574.7398200113,29942.6978080257,31322.9509376907,32713.8094764134,34113.6188689231,35520.7656508775,36933.682329494,38350.8513305788,39770.8081113688,41192.1435355189,42613.5056007345,44033.6006025501,45451.1938099144,46865.1097205693,48274.2319565398,49677.5028531439,51073.9227884492,52462.549294009,53842.4959830399,55212.931327478,56573.0773107718,57922.207980481,59259.6479215369,60584.7706681078,61896.9970697795,63195.7936259493,64480.6708003816,65751.1813261013,67007.0488072387,68249.3999071044,69481.3016951524,70706.9308316783,71930.9432316084,73158.0800734221,74392.9273279037,75639.7748783484,76902.5392769571,78184.7267716669,79489.4216229206,80819.2892245022,82176.5880191259,83563.1859990585,84980.5792846536,86429.9113191447,87911.9918472936,89427.3153415281,90976.0787269217,92558.1984776233,94173.3272909264,95820.8704442833,97500.0020654315,99209.6814503946,100948.669548995,102715.545691199,104508.724576649,106326.473506464,108166.929800499,110028.11830736,111907.968893325,113804.333780502,115715.004596165,117637.728993342,119570.226704948,121510.204930382,123455.372891258,125403.455509735,127352.20610773,129299.418069851,131242.93542729,133180.662346008,135110.571490362,137030.711294617,138939.212146898,140834.291521753,142714.258114638,144577.515010945,146422.561956089,148247.996796583,150052.516147172,151834.915356194,153594.087836341,155329.023828975,157038.808668185,158722.620608971,160379.728281093,162009.487826907,163611.339777999,165184.805721552,166729.484803498,168245.050111447,169731.244976395,171187.879228306,172614.825436806,174012.015164599,175379.435257744,176717.124193624,178025.16850445,179303.69929126,180552.888840826,181772.947355494,182964.119803846,184126.682898164,185260.942202944
2,0,1,0,0,1,818021.22396571,0,0.127865809627703,0.506635852318041,1.17493222921844,2.22728102573796,3.82161645195486,6.20155424436732,9.73520919213483,14.9763515359191,22.7580454885103,34.334546993396,51.5950994677071,77.3837683380543,115.97371695325,173.760231987335,260.251039814051,388.776544076686,571.234941422046,813.612271753562,1117.72555683912,1482.86757418274,1906.91051566298,2387.0392031733,2920.22806835283,3503.53976681795,4134.29749941162,4810.16840097793,5529.18435112421,6289.72021640484,7090.44509919872,7930.25888183583,8808.22361118121,9723.49686230309,10675.2719129254,11662.727683665,12684.9897610466,13741.1025728321,14830.0119361468,15950.5566462258,17101.4675243886,18281.3722787344,19488.804618092,20722.21623742,21979.9904985414,23260.4568700929,24561.9053937539,25882.6006483203,27220.7948446,28574.7398200113,29942.6978080257,31322.9509376907,32713.8094764134,34113.6188689231,35520.7656508775,36933.682329494,38350.8513305788,39770.8081113688,41192.1435355189,42613.5056007345,44033.6006025501,45451.1938099144,46865.1097205693,48274.2319565398,49677.5028531439,51073.9227884492,52462.549294009,53842.4959830399,55212.931327478,56573.0773107718,57922.207980481,59259.6479215369,60584.7706681078,61896.9970697795,63195.7936259493,64480.6708003816,65751.1813261013,67007.0488072387,68249.3999071044,69481.3016951524,70706.9308316783,71930.9432316084,73158.0800734221,74392.9273279037,75639.7748783484,76902.5392769571,78184.7267716669,79489.4216229206,80819.2892245022,82176.5880191259,83563.1859990585,84980.5792846536,86429.9113191447,87911.9918472936,89427.3153415281,90976.0787269217,92558.1984776233,94173.3272909264,95820.8704442833,97500.0020654315,99209.6814503946,100948.669548995,102715.545691199,104508.724576649,106326.473506464,108166.929800499,110028.11830736,111907.968893325,113804.333780502,115715.004596165,117637.728993342,119570.226704948,121510.204930382,123455.372891258,125403.455509735,127352.20610773,129299.418069851,131242.93542729,133180.662346008,135110.571490362,137030.711294617,138939.212146898,140834.291521753,142714.258114638,144577.515010945,146422.561956089,148247.996796583,150052.516147172,151834.915356194,153594.087836341,155329.023828975,157038.808668185,158722.620608971,160379.728281093,162009.487826907,163611.339777999,165184.805721552,166729.484803498,168245.050111447,169731.244976395,171187.879228306,172614.825436806,174012.015164599,175379.435257744,176717.124193624,178025.16850445,179303.69929126,180552.888840826,181772.947355494,182964.119803846,184126.682898164,185260.942202944
3,0,1,1,0,0,2335.27250675705,0,0.000365029049405597,0.00144633506099023,0.00335417572528852,0.00635840243730099,0.0109098829836654,0.0177040872556145,0.027791902835609,0.0427542232019479,0.0649692653195417,0.0980176568487136,0.147292776446816,0.220913811738325,0.331079713793221,0.496047633777239,0.742960060603714,1.10987239457294,1.63075139680948,2.32268590804422,3.19086312984897,4.23326409596388,5.44381437743764,6.81447725365561,8.33661538563023,10.0018432946221,11.8025193017915,13.7319835849958,15.7846175889844,17.9557819115705,20.2416771297894,22.6391626471949,25.1455608117841,27.7584666837773,30.4755772467042,33.2945484976791,36.212884176595,39.2278563327453,42.336455503524,45.5353667021278,48.8209666997312,52.1893379017125,55.6362943659977,59.1574160187684,62.7480877099793,66.4035404362726,70.1188926389098,73.8891900681642,77.7094431663953,81.5746613100169,85.4798835539116,89.4202057504993,93.3908040810917,97.3869551505965,101.404052869577,105.437622387389,109.483331360094,113.536998836943,117.594602040448,121.652281298394,125.706343366179,129.753263355461,133.789685463205,137.812422673334,141.81845558344,145.804930490529,149.769156852367,153.708604227658,157.620898784809,161.503819455942,165.355293804885,169.173393668657,172.956330623695,176.702451321651,180.410232734448,184.07827734271,187.705308296596,191.290536546069,194.837178469601,198.353989882765,201.852894241424,205.347183169075,208.850391698095,212.375611776683,215.935090087717,219.540007535074,223.200373693286,226.924993454458,230.721475937571,234.596268504899,238.554703867693,242.601053123847,246.73858055486,250.969597805742,255.295516487624,259.716898778718,264.233506230906,268.844347370568,273.547724394305,278.341279616606,283.222042054184,288.186474488531,293.230521215987,298.34965654916,303.538934009965,308.793036052099,314.106324048335,319.472888217579,324.886597121532,330.341146336832,335.830105903223,341.346966154606,346.88518164442,352.438212699088,357.999564466667,363.56282317035,369.121689403583,374.670008344783,380.201796844044,385.711267299467,391.192848415748,396.641202858005,402.051241904139,407.418137247884,412.73733004569,418.004537397331,423.215756459861,428.367266352124,433.45562805589,438.477682505301,443.430547059279,448.311610545774,453.118527061712,457.849208704274,462.501817400067,467.07475598856,471.566658705318,475.976381199247,480.302990206637,484.545752993367,488.704126665383,492.777747436706,496.766419933763,500.670106604907,504.488917294694,508.223099033748,511.873026086991,515.439190295652,518.922191741661,522.322729756991,525.641594294967,528.879657675699
4,0,1,1,0,1,2335.27250675705,0,0.000365029049405597,0.00144633506099023,0.00335417572528852,0.00635840243730099,0.0109098829836654,0.0177040872556145,0.027791902835609,0.0427542232019479,0.0649692653195417,0.0980176568487136,0.147292776446816,0.220913811738325,0.331079713793221,0.496047633777239,0.742960060603714,1.10987239457294,1.63075139680948,2.32268590804422,3.19086312984897,4.23326409596388,5.44381437743764,6.81447725365561,8.33661538563023,10.0018432946221,11.8025193017915,13.7319835849958,15.7846175889844,17.9557819115705,20.2416771297894,22.6391626471949,25.1455608117841,27.7584666837773,30.4755772467042,33.2945484976791,36.212884176595,39.2278563327453,42.336455503524,45.5353667021278,48.8209666997312,52.1893379017125,55.6362943659977,59.1574160187684,62.7480877099793,66.4035404362726,70.1188926389098,73.8891900681642,77.7094431663953,81.5746613100169,85.4798835539116,89.4202057504993,93.3908040810917,97.3869551505965,101.404052869577,105.437622387389,109.483331360094,113.536998836943,117.594602040448,121.652281298394,125.706343366179,129.753263355461,133.789685463205,137.812422673334,141.81845558344,145.804930490529,149.769156852367,153.708604227658,157.620898784809,161.503819455942,165.355293804885,169.173393668657,172.956330623695,176.702451321651,180.410232734448,184.07827734271,187.705308296596,191.290536546069,194.837178469601,198.353989882765,201.852894241424,205.347183169075,208.850391698095,212.375611776683,215.935090087717,219.540007535074,223.200373693286,226.924993454458,230.721475937571,234.596268504899,238.554703867693,242.601053123847,246.73858055486,250.969597805742,255.295516487624,259.716898778718,264.233506230906,268.844347370568,273.547724394305,278.341279616606,283.222042054184,288.186474488531,293.230521215987,298.34965654916,303.538934009965,308.793036052099,314.106324048335,319.472888217579,324.886597121532,330.341146336832,335.830105903223,341.346966154606,346.88518164442,352.438212699088,357.999564466667,363.56282317035,369.121689403583,374.670008344783,380.201796844044,385.711267299467,391.192848415748,396.641202858005,402.051241904139,407.418137247884,412.73733004569,418.004537397331,423.215756459861,428.367266352124,433.45562805589,438.477682505301,443.430547059279,448.311610545774,453.118527061712,457.849208704274,462.501817400067,467.07475598856,471.566658705318,475.976381199247,480.302990206637,484.545752993367,488.704126665383,492.777747436706,496.766419933763,500.670106604907,504.488917294694,508.223099033748,511.873026086991,515.439190295652,518.922191741661,522.322729756991,525.641594294967,528.879657675699
5,0,2,0,0,0,527895.493723415,0,0.0821257264904205,0.321270764608074,0.731561279555258,1.35768558117721,2.27897739093541,3.62145857940073,5.57889296227635,8.44607766205291,12.6699777347705,18.9274189479529,28.2424220836847,42.1621475222492,63.0185075559505,94.3117790613893,141.261483136609,211.212931741461,310.786058870991,443.427943008129,610.352912511953,811.426491055884,1045.75506878776,1312.07590729712,1609.0099263414,1935.21927596278,2289.49743547513,2670.81159887966,3078.31127614666,3511.31379346968,3969.2751466268,4451.75300408011,4958.36722638501,5488.76196404896,6042.57209717807,6619.39569830532,7218.77324127355,7840.1735414364,8482.9859081754,9146.51766380295,9829.99603880281,10532.5734205381,11253.3349924696,11991.3079154955,12745.4713341832,13514.7666419514,14298.1075672542,15094.3897706274,15902.4997430728,16721.3228804612,17549.7506740155,18386.6870057472,19231.0535725384,20081.7944859269,20937.8801091382,21798.3102000787,22662.1164320555,23528.3643625949,24396.1549176227,25264.6254534894,26132.9504539582,27000.3419134718,27866.0494524555,28729.3602049412,29589.5985139134,30446.1254652436,31298.3382868565,32145.6696365442,32987.586798603,33823.5908063855,34653.2155059635,35476.0265739476,36291.6205005869,37099.6235478093,37899.6906906771,38691.5045494772,39474.774318549,40249.2381432799,41014.6958042664,41771.029230713,42518.1927191107,43256.2085630259,43985.1659446088,44705.219963168,45416.5894846272,46119.5534358446,46814.4456394969,47501.6484412482,48181.5854576205,48854.7137565607,49521.5157157379,50182.4907905658,50838.1473641712,51488.9948351913,52135.5360582572,52778.2602660837,53417.6365562046,54054.1080238446,54688.0866129719,55319.9487400731,55950.0317182069,56578.6309956418,57205.998214379,57832.3400569034,58457.8178451108,59082.5478355632,59706.6021498623,60330.0102599738,60952.7609527923,61574.8046909815,62196.0562922683,62816.3978462888,63435.681792906,64053.7341095462,64670.3575260747,65285.3347294444,65898.431508263,66509.3997998491,67117.9806104616,67723.9067824504,68326.9055927594,68926.7011694475,69523.0167181529,70115.5765570775,70704.1079571996,71288.3427913771,71868.0189991366,72442.881872158,73012.6851690985,73577.1920689355,74136.1759727439,74689.4211641089,75236.7233386747,75777.8900132764,76312.7408249599,76841.1077299331,77362.8351121346,77877.7798106734,78385.8110749333,78886.8104556242,79380.6716395449,79867.3002352954,80346.6135166491,80818.5401297798,81283.0197700337,81740.0028334541,82189.4500477991,82631.3320873555,83065.6291754314,83492.3306780212,83911.434691768,84322.947629009
6,0,2,0,0,1,527895.493723415,0,0.0821257264904205,0.321270764608074,0.731561279555258,1.35768558117721,2.27897739093541,3.62145857940073,5.57889296227635,8.44607766205291,12.6699777347705,18.9274189479529,28.2424220836847,42.1621475222492,63.0185075559505,94.3117790613893,141.261483136609,211.212931741461,310.786058870991,443.427943008129,610.352912511953,811.426491055884,1045.75506878776,1312.07590729712,1609.0099263414,1935.21927596278,2289.49743547513,2670.81159887966,3078.31127614666,3511.31379346968,3969.2751466268,4451.75300408011,4958.36722638501,5488.76196404896,6042.57209717807,6619.39569830532,7218.77324127355,7840.1735414364,8482.9859081754,9146.51766380295,9829.99603880281,10532.5734205381,11253.3349924696,11991.3079154955,12745.4713341832,13514.7666419514,14298.1075672542,15094.3897706274,15902.4997430728,16721.3228804612,17549.7506740155,18386.6870057472,19231.0535725384,20081.7944859269,20937.8801091382,21798.3102000787,22662.1164320555,23528.3643625949,24396.1549176227,25264.6254534894,26132.9504539582,27000.3419134718,27866.0494524555,28729.3602049412,29589.5985139134,30446.1254652436,31298.3382868565,32145.6696365442,32987.586798603,33823.5908063855,34653.2155059635,35476.0265739476,36291.6205005869,37099.6235478093,37899.6906906771,38691.5045494772,39474.774318549,40249.2381432799,41014.6958042664,41771.029230713,42518.1927191107,43256.2085630259,43985.1659446088,44705.219963168,45416.5894846272,46119.5534358446,46814.4456394969,47501.6484412482,48181.5854576205,48854.7137565607,49521.5157157379,50182.4907905658,50838.1473641712,51488.9948351913,52135.5360582572,52778.2602660837,53417.6365562046,54054.1080238446,54688.0866129719,55319.9487400731,55950.0317182069,56578.6309956418,57205.998214379,57832.3400569034,58457.8178451108,59082.5478355632,59706.6021498623,60330.0102599738,60952.7609527923,61574.8046909815,62196.0562922683,62816.3978462888,63435.681792906,64053.7341095462,64670.3575260747,65285.3347294444,65898.431508263,66509.3997998491,67117.9806104616,67723.9067824504,68326.9055927594,68926.7011694475,69523.0167181529,70115.5765570775,70704.1079571996,71288.3427913771,71868.0189991366,72442.881872158,73012.6851690985,73577.1920689355,74136.1759727439,74689.4211641089,75236.7233386747,75777.8900132764,76312.7408249599,76841.1077299331,77362.8351121346,77877.7798106734,78385.8110749333,78886.8104556242,79380.6716395449,79867.3002352954,80346.6135166491,80818.5401297798,81283.0197700337,81740.0028334541,82189.4500477991,82631.3320873555,83065.6291754314,83492.3306780212,83911.434691768,84322.947629009
7,0,2,1,0,0,171228.02725029,0,0.0266382765161837,0.104207290820056,0.237289001706416,0.440378496227399,0.739208436968277,1.17465524084265,1.80956808218485,2.73956726903561,4.10963025565534,6.13929204914896,9.16070372953981,13.6757017832263,20.4406645962325,30.5909409478837,45.8195331680643,68.5089644860449,100.806474747545,143.830157316549,197.973891382841,263.194058244641,339.200806872842,425.584555807613,521.897986986648,627.70715579068,742.620715524429,866.303665537566,998.480141133919,1138.9287104382,1287.47292040081,1443.96929649407,1608.29453679941,1780.33321807999,1959.96691015427,2147.06524394717,2341.47916768933,2543.03638648494,2751.53881690439,2966.76178221645,3188.45462712786,3416.34242025275,3650.12843196725,3889.49711246607,4134.11733738107,4383.64573739252,4637.72996978092,4896.01183132215,5158.13014456468,5423.72337684061,5692.43197256872,5963.90039524028,6237.77888677275,6513.72495949474,6791.40464072463,7070.49349223076,7350.67742785154,7631.65335210068,7913.1296415757,8194.82648943583,8476.47613147709,8757.82297044834,9038.62361345126,9318.64683548986,9597.67348065311,9875.49631094198,10151.9198113832,10426.7599590249,10699.843962358,10971.0099767074,11240.1068005217,11506.993556794,11771.5393632201,12033.6229942287,12293.1325376324,12549.9650482407,12804.0262004149,13055.2310590699,13303.5146810987,13548.8387690928,13791.1884986755,14030.5711009813,14267.0155031065,14500.572013017,14731.3116219996,14959.3248026882,15184.7198337079,15407.6207325863,15628.1649034537,15846.5006007352,16062.7842883098,16277.1779693888,16489.8465429739,16700.9552374573,16910.6671586194,17119.1409938399,17326.528899457,17532.9745977077,17738.6117066163,17943.562320524,18147.9358501953,18351.8281271438,18555.3207738952,18758.4808299194,18961.3606215391,19163.9978576988,19366.4159317399,19568.6244031806,19770.6196349412,19972.385559106,20173.8945459778,20375.1083501858,20575.9791091671,20776.4503770109,20976.4581672343,21175.9319922411,21374.7958832931,21572.9693788516,21770.368471783,21966.9065069103,22162.4950238632,22357.0445408999,22550.4652770826,22742.6678123442,22933.5636843793,23123.065923547,23311.0895279891,23497.5518805896,23682.373110579,23865.47640276,24046.7882575718,24226.2387053015,24403.7614778482,24579.2941414291,24752.7781935695,24924.1591276343,25093.3864680435,25260.4137791726,25425.1986507901,25587.7026627192,25747.891331241,25905.7340395889,26061.2039547082,26214.2779322929,26364.9364119432,26513.1633041342,26658.9458705332,26802.2745990603,26943.1430749536,27081.5478489703,27217.4883037379,27350.9665191603
8,0,2,1,0,1,171228.02725029,0,0.0266382765161837,0.104207290820056,0.237289001706416,0.440378496227399,0.739208436968277,1.17465524084265,1.80956808218485,2.73956726903561,4.10963025565534,6.13929204914896,9.16070372953981,13.6757017832263,20.4406645962325,30.5909409478837,45.8195331680643,68.5089644860449,100.806474747545,143.830157316549,197.973891382841,263.194058244641,339.200806872842,425.584555807613,521.897986986648,627.70715579068,742.620715524429,866.303665537566,998.480141133919,1138.9287104382,1287.47292040081,1443.96929649407,1608.29453679941,1780.33321807999,1959.96691015427,2147.06524394717,2341.47916768933,2543.03638648494,2751.53881690439,2966.76178221645,3188.45462712786,3416.34242025275,3650.12843196725,3889.49711246607,4134.11733738107,4383.64573739252,4637.72996978092,4896.01183132215,5158.13014456468,5423.72337684061,5692.43197256872,5963.90039524028,6237.77888677275,6513.72495949474,6791.40464072463,7070.49349223076,7350.67742785154,7631.65335210068,7913.1296415757,8194.82648943583,8476.47613147709,8757.82297044834,9038.62361345126,9318.64683548986,9597.67348065311,9875.49631094198,10151.9198113832,10426.7599590249,10699.843962358,10971.0099767074,11240.1068005217,11506.993556794,11771.5393632201,12033.6229942287,12293.1325376324,12549.9650482407,12804.0262004149,13055.2310590699,13303.5146810987,13548.8387690928,13791.1884986755,14030.5711009813,14267.0155031065,14500.572013017,14731.3116219996,14959.3248026882,15184.7198337079,15407.6207325863,15628.1649034537,15846.5006007352,16062.7842883098,16277.1779693888,16489.8465429739,16700.9552374573,16910.6671586194,17119.1409938399,17326.528899457,17532.9745977077,17738.6117066163,17943.562320524,18147.9358501953,18351.8281271438,18555.3207738952,18758.4808299194,18961.3606215391,19163.9978576988,19366.4159317399,19568.6244031806,19770.6196349412,19972.385559106,20173.8945459778,20375.1083501858,20575.9791091671,20776.4503770109,20976.4581672343,21175.9319922411,21374.7958832931,21572.9693788516,21770.368471783,21966.9065069103,22162.4950238632,22357.0445408999,22550.4652770826,22742.6678123442,22933.5636843793,23123.065923547,23311.0895279891,23497.5518805896,23682.373110579,23865.47640276,24046.7882575718,24226.2387053015,24403.7614778482,24579.2941414291,24752.7781935695,24924.1591276343,25093.3864680435,25260.4137791726,25425.1986507901,25587.7026627192,25747.891331241,25905.7340395889,26061.2039547082,26214.2779322929,26364.9364119432,26513.1633041342,26658.9458705332,26802.2745990603,26943.1430749536,27081.5478489703,27217.4883037379,27350.9665191603
9,11,2,0,0,0,146.0605932,0,2.26600381470178e-05,8.79719534329874e-05,0.000198059535851307,0.000362477370834259,0.000599071834946392,0.000936729400674585,0.00142025163861984,0.00211810769459746,0.00313437535303152,0.00462691577878021,0.00683486259661645,0.0101199123609092,0.0150278614620166,0.0223791474930975,0.0333995472380881,0.0498222197991793,0.0732573729089745,0.104644251462004,0.144455885272109,0.192886622647254,0.249973037321388,0.315671509066299,0.389907208972967,0.472603938436611,0.5637007510415,0.663159380365622,0.770965185700268,0.887123656654703,1.01165409008466,1.14458175569744,1.28592961119419,1.43571038759615,1.59391961507537,1.76052994447292,1.93548692475925,2.11870624306166,2.3100723273148,2.50943814067172,2.71662596396421,2.93142895292795,3.15361326687713,3.3829205873204,3.61907087056957,3.86176520865785,4.11068869851569,4.36551324545577,4.62590024770303,4.8915031262979,5.16196967862264,5.43694424447952,5.71606968157687,5.99898915293437,6.28534773259199,6.57479383842703,6.86698050237019,7.16156648894643,7.45821727322885,7.75660588908607,8.05641365818727,8.35733080966921,8.6590569997655,8.96130174005582,9.26378474238718,9.56623618792922,9.86839692723136,10.1700186177079,10.4708638044993,10.7707059501173,11.069329418002,11.3665294147428,11.6621118953241,11.955893435452,12.2477010747821,12.5373721345637,12.8247540128789,13.1097039653368,13.3920891173858,13.671787644427,13.948691101444,14.2227068041008,14.4937596165857,14.7617929500643,15.0267689928776,15.2886682882507,15.5474888024079,15.8032446118942,16.0559643299939,16.3056893651671,16.5524720817766,16.7963739224867,17.0374635347333,17.2758149376841,17.5115057559709,17.7446155480945,17.9752242479613,18.2034107365909,18.4292515596664,18.6528198024345,18.8741841282457,19.093407984236,19.3105489759318,19.5256584050747,19.7387809641387,19.9499545770147,20.1592103743052,20.3665727877292,20.5720597490698,20.7756829775089,20.9774483402155,21.1773562702799,21.3754022266432,21.5715771863919,21.765868152232,21.9582586679537,22.1487293315856,22.3372582985117,22.5238217682719,22.7083944495885,22.8909499998684,23.0714614362068,23.2499015157815,23.4262430848074,23.6004593950585,23.7725243881504,23.9424129484449,24.1101011252216,24.2755663253869,24.4387874781695,24.599745173408,24.7584217751189,24.9148015121134,25.0688705474471,25.2206170284747,25.3700311192554,25.5171050170014,25.6618329541932,25.8042111879136,25.9442379778672,26.0819135544616,26.2172400782404,26.3502215918625,26.4808639657357,26.6091748383203,26.7351635520361,26.8588410856208,26.9802199837114,27.0993142843456,27.2161394450068,27.3307122677767,27.4430508240918
10,11,2,0,0,1,146.0605932,0,2.26600381470178e-05,8.79719534329874e-05,0.000198059535851307,0.000362477370834259,0.000599071834946392,0.000936729400674585,0.00142025163861984,0.00211810769459746,0.00313437535303152,0.00462691577878021,0.00683486259661645,0.0101199123609092,0.0150278614620166,0.0223791474930975,0.0333995472380881,0.0498222197991793,0.0732573729089745,0.104644251462004,0.144455885272109,0.192886622647254,0.249973037321388,0.315671509066299,0.389907208972967,0.472603938436611,0.5637007510415,0.663159380365622,0.770965185700268,0.887123656654703,1.01165409008466,1.14458175569744,1.28592961119419,1.43571038759615,1.59391961507537,1.76052994447292,1.93548692475925,2.11870624306166,2.3100723273148,2.50943814067172,2.71662596396421,2.93142895292795,3.15361326687713,3.3829205873204,3.61907087056957,3.86176520865785,4.11068869851569,4.36551324545577,4.62590024770303,4.8915031262979,5.16196967862264,5.43694424447952,5.71606968157687,5.99898915293437,6.28534773259199,6.57479383842703,6.86698050237019,7.16156648894643,7.45821727322885,7.75660588908607,8.05641365818727,8.35733080966921,8.6590569997655,8.96130174005582,9.26378474238718,9.56623618792922,9.86839692723136,10.1700186177079,10.4708638044993,10.7707059501173,11.069329418002,11.3665294147428,11.6621118953241,11.955893435452,12.2477010747821,12.5373721345637,12.8247540128789,13.1097039653368,13.3920891173858,13.671787644427,13.948691101444,14.2227068041008,14.4937596165857,14.7617929500643,15.0267689928776,15.2886682882507,15.5474888024079,15.8032446118942,16.0559643299939,16.3056893651671,16.5524720817766,16.7963739224867,17.0374635347333,17.2758149376841,17.5115057559709,17.7446155480945,17.9752242479613,18.2034107365909,18.4292515596664,18.6528198024345,18.8741841282457,19.093407984236,19.3105489759318,19.5256584050747,19.7387809641387,19.9499545770147,20.1592103743052,20.3665727877292,20.5720597490698,20.7756829775089,20.9774483402155,21.1773562702799,21.3754022266432,21.5715771863919,21.765868152232,21.9582586679537,22.1487293315856,22.3372582985117,22.5238217682719,22.7083944495885,22.8909499998684,23.0714614362068,23.2499015157815,23.4262430848074,23.6004593950585,23.7725243881504,23.9424129484449,24.1101011252216,24.2755663253869,24.4387874781695,24.599745173408,24.7584217751189,24.9148015121134,25.0688705474471,25.2206170284747,25.3700311192554,25.5171050170014,25.6618329541932,25.8042111879136,25.9442379778672,26.0819135544616,26.2172400782404,26.3502215918625,26.4808639657357,26.6091748383203,26.7351635520361,26.8588410856208,26.9802199837114,27.0993142843456,27.2161394450068,27.3307122677767,27.4430508240918
