"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.127865809627703,0.506635852318041,1.17493222921844,2.22728102573796,3.82161645195486,6.20155424436732,9.73520919213483,14.9763515359191,22.7580454885103,34.334546993396,51.5950994677071,77.3837683380543,115.97371695325,173.760231987335,260.251039814051,388.776544076686,571.234941422046,813.612271753562,1117.72555683912,1482.86757418274,1906.91051566298,2387.0392031733,2920.22806835283,3503.53976681795,4134.29749941162,4810.16840097793,5529.18435112421,6289.72021640484,7090.44509919872,7930.25888183583,8808.22361118121,9723.49686230309,10675.2719129254,11662.727683665,12684.9897610466,13741.1025728321,14830.0119361468,15950.5566462258,17101.4675243886,18281.3722787344,19488.804618092,20722.21623742,21979.9904985414,23260.4568700929,24561.9053937539,25882.6006483203,27220.7948446,28574.7398200113,29942.6978080257,31322.9509376907,32713.8094764134,34113.6188689231,35520.7656508775,36933.682329494,38350.8513305788,39770.8081113688,41192.1435355189,42613.5056007345,44033.6006025501,45451.1938099144,46865.1097205693,48274.2319565398,49677.5028531439,51073.9227884492,52462.549294009,53842.4959830399,55212.931327478,56573.0773107718,57922.207980481,59259.6479215369,60584.7706681078,61896.9970697795,63195.7936259493,64480.6708003816,65751.1813261013,67007.3895855198,68254.33483212,69504.1065212287,70773.2025799455,72080.6272146921,73446.6826518764,74892.0981873194,76437.2998761311,78101.7209967471,79903.116605416,81856.8886684034,83975.4563393778,86267.7204348554,88738.6723469624,91389.1870464469,94216.0204002214,97212.0087154589,100366.44709168,103665.607183251,107093.346243986,110631.757939222,114261.819932239,117964.001944896,121718.807846171,125507.235915166,129311.150177006,133113.563416559,136898.837153792,140652.807396088,144362.847116794,148017.876514361,151608.331952682,155126.103789315,158564.451686991,161917.90550265,165182.15727565,168353.949739157,171430.965058052,174411.716672885,177295.446269633,180082.027261672,182771.875589051,185365.868251732,187865.269652549,190271.665602079,192586.904666086,194813.046419894,196952.316122027,199007.06527145,200979.737501561,202872.83929553,204688.914977521,206430.52553284,208100.230781695,209700.57450799,211234.072158761,212703.200784507,214110.390913922,215458.020086623,216748.407823319,217983.811808309,219166.425109584,220298.37427332,221381.718155288,222418.447368307,223410.484242025,224359.683206078,225267.831519434,226136.650280887,226967.795664612,227762.860333238,228523.374988362,229250.81002434,229946.577256812,230612.031701984
2,0,1,0,0,1,818021.22396571,0,0.127865809627703,0.506635852318041,1.17493222921844,2.22728102573796,3.82161645195486,6.20155424436732,9.73520919213483,14.9763515359191,22.7580454885103,34.334546993396,51.5950994677071,77.3837683380543,115.97371695325,173.760231987335,260.251039814051,388.776544076686,571.234941422046,813.612271753562,1117.72555683912,1482.86757418274,1906.91051566298,2387.0392031733,2920.22806835283,3503.53976681795,4134.29749941162,4810.16840097793,5529.18435112421,6289.72021640484,7090.44509919872,7930.25888183583,8808.22361118121,9723.49686230309,10675.2719129254,11662.727683665,12684.9897610466,13741.1025728321,14830.0119361468,15950.5566462258,17101.4675243886,18281.3722787344,19488.804618092,20722.21623742,21979.9904985414,23260.4568700929,24561.9053937539,25882.6006483203,27220.7948446,28574.7398200113,29942.6978080257,31322.9509376907,32713.8094764134,34113.6188689231,35520.7656508775,36933.682329494,38350.8513305788,39770.8081113688,41192.1435355189,42613.5056007345,44033.6006025501,45451.1938099144,46865.1097205693,48274.2319565398,49677.5028531439,51073.9227884492,52462.549294009,53842.4959830399,55212.931327478,56573.0773107718,57922.207980481,59259.6479215369,60584.7706681078,61896.9970697795,63195.7936259493,64480.6708003816,65751.1813261013,67007.3895855198,68254.33483212,69504.1065212287,70773.2025799455,72080.6272146921,73446.6826518764,74892.0981873194,76437.2998761311,78101.7209967471,79903.116605416,81856.8886684034,83975.4563393778,86267.7204348554,88738.6723469624,91389.1870464469,94216.0204002214,97212.0087154589,100366.44709168,103665.607183251,107093.346243986,110631.757939222,114261.819932239,117964.001944896,121718.807846171,125507.235915166,129311.150177006,133113.563416559,136898.837153792,140652.807396088,144362.847116794,148017.876514361,151608.331952682,155126.103789315,158564.451686991,161917.90550265,165182.15727565,168353.949739157,171430.965058052,174411.716672885,177295.446269633,180082.027261672,182771.875589051,185365.868251732,187865.269652549,190271.665602079,192586.904666086,194813.046419894,196952.316122027,199007.06527145,200979.737501561,202872.83929553,204688.914977521,206430.52553284,208100.230781695,209700.57450799,211234.072158761,212703.200784507,214110.390913922,215458.020086623,216748.407823319,217983.811808309,219166.425109584,220298.37427332,221381.718155288,222418.447368307,223410.484242025,224359.683206078,225267.831519434,226136.650280887,226967.795664612,227762.860333238,228523.374988362,229250.81002434,229946.577256812,230612.031701984
3,0,1,1,0,0,2335.27250675705,0,0.000365029049405597,0.00144633506099023,0.00335417572528852,0.00635840243730099,0.0109098829836654,0.0177040872556145,0.027791902835609,0.0427542232019479,0.0649692653195417,0.0980176568487136,0.147292776446816,0.220913811738325,0.331079713793221,0.496047633777239,0.742960060603714,1.10987239457294,1.63075139680948,2.32268590804422,3.19086312984897,4.23326409596388,5.44381437743764,6.81447725365561,8.33661538563023,10.0018432946221,11.8025193017915,13.7319835849958,15.7846175889844,17.9557819115705,20.2416771297894,22.6391626471949,25.1455608117841,27.7584666837773,30.4755772467042,33.2945484976791,36.212884176595,39.2278563327453,42.336455503524,45.5353667021278,48.8209666997312,52.1893379017125,55.6362943659977,59.1574160187684,62.7480877099793,66.4035404362726,70.1188926389098,73.8891900681642,77.7094431663953,81.5746613100169,85.4798835539116,89.4202057504993,93.3908040810917,97.3869551505965,101.404052869577,105.437622387389,109.483331360094,113.536998836943,117.594602040448,121.652281298394,125.706343366179,129.753263355461,133.789685463205,137.812422673334,141.81845558344,145.804930490529,149.769156852367,153.708604227658,157.620898784809,161.503819455942,165.355293804885,169.173393668657,172.956330623695,176.702451321651,180.410232734448,184.07827734271,187.705308296596,191.291509393872,194.85126660616,198.419092696479,202.042085655008,205.774498353762,209.674289229233,213.800635908107,218.211850330861,222.963410276699,228.106002565837,233.683596458872,239.731645935811,246.275560890051,253.32959065946,260.896233095037,268.966226903083,277.519121300152,286.524356125889,295.942739942247,305.728188723227,315.829583781675,326.192620487519,336.761544148517,347.48069755501,358.295834930616,369.155182015367,380.010244008269,390.816376453409,401.533144235447,412.124499942257,422.558813152551,432.808781767301,442.851254522845,452.666989223692,462.240369802281,471.559097968851,480.61387493571,489.398083788202,497.907480722729,506.139900917841,514.09498299629,521.773914376363,529.179198702021,536.314445568089,543.184182118524,549.793685606138,556.148835670107,562.255984939057,568.121846430607,573.753396186112,579.157789669347,584.342290371888,589.314209349243,594.080854330817,598.649487265866,603.027289208045,607.221331597268,611.23855306381,615.08574096568,618.769517029523,622.296326452511,625.672429966311,628.903898397292,631.996609330462,634.956245532049,637.788294834697,640.498051231296,643.090616957106,645.570905374488,647.943644500156,650.213381039185,652.384484811393,654.46115347255,656.447417448951,658.34714501687
4,0,1,1,0,1,2335.27250675705,0,0.000365029049405597,0.00144633506099023,0.00335417572528852,0.00635840243730099,0.0109098829836654,0.0177040872556145,0.027791902835609,0.0427542232019479,0.0649692653195417,0.0980176568487136,0.147292776446816,0.220913811738325,0.331079713793221,0.496047633777239,0.742960060603714,1.10987239457294,1.63075139680948,2.32268590804422,3.19086312984897,4.23326409596388,5.44381437743764,6.81447725365561,8.33661538563023,10.0018432946221,11.8025193017915,13.7319835849958,15.7846175889844,17.9557819115705,20.2416771297894,22.6391626471949,25.1455608117841,27.7584666837773,30.4755772467042,33.2945484976791,36.212884176595,39.2278563327453,42.336455503524,45.5353667021278,48.8209666997312,52.1893379017125,55.6362943659977,59.1574160187684,62.7480877099793,66.4035404362726,70.1188926389098,73.8891900681642,77.7094431663953,81.5746613100169,85.4798835539116,89.4202057504993,93.3908040810917,97.3869551505965,101.404052869577,105.437622387389,109.483331360094,113.536998836943,117.594602040448,121.652281298394,125.706343366179,129.753263355461,133.789685463205,137.812422673334,141.81845558344,145.804930490529,149.769156852367,153.708604227658,157.620898784809,161.503819455942,165.355293804885,169.173393668657,172.956330623695,176.702451321651,180.410232734448,184.07827734271,187.705308296596,191.291509393872,194.85126660616,198.419092696479,202.042085655008,205.774498353762,209.674289229233,213.800635908107,218.211850330861,222.963410276699,228.106002565837,233.683596458872,239.731645935811,246.275560890051,253.32959065946,260.896233095037,268.966226903083,277.519121300152,286.524356125889,295.942739942247,305.728188723227,315.829583781675,326.192620487519,336.761544148517,347.48069755501,358.295834930616,369.155182015367,380.010244008269,390.816376453409,401.533144235447,412.124499942257,422.558813152551,432.808781767301,442.851254522845,452.666989223692,462.240369802281,471.559097968851,480.61387493571,489.398083788202,497.907480722729,506.139900917841,514.09498299629,521.773914376363,529.179198702021,536.314445568089,543.184182118524,549.793685606138,556.148835670107,562.255984939057,568.121846430607,573.753396186112,579.157789669347,584.342290371888,589.314209349243,594.080854330817,598.649487265866,603.027289208045,607.221331597268,611.23855306381,615.08574096568,618.769517029523,622.296326452511,625.672429966311,628.903898397292,631.996609330462,634.956245532049,637.788294834697,640.498051231296,643.090616957106,645.570905374488,647.943644500156,650.213381039185,652.384484811393,654.46115347255,656.447417448951,658.34714501687
5,0,2,0,0,0,527895.493723415,0,0.0821257264904205,0.321270764608074,0.731561279555258,1.35768558117721,2.27897739093541,3.62145857940073,5.57889296227635,8.44607766205291,12.6699777347705,18.9274189479529,28.2424220836847,42.1621475222492,63.0185075559505,94.3117790613893,141.261483136609,211.212931741461,310.786058870991,443.427943008129,610.352912511953,811.426491055884,1045.75506878776,1312.07590729712,1609.0099263414,1935.21927596278,2289.49743547513,2670.81159887966,3078.31127614666,3511.31379346968,3969.2751466268,4451.75300408011,4958.36722638501,5488.76196404896,6042.57209717807,6619.39569830532,7218.77324127355,7840.1735414364,8482.9859081754,9146.51766380295,9829.99603880281,10532.5734205381,11253.3349924696,11991.3079154955,12745.4713341832,13514.7666419514,14298.1075672542,15094.3897706274,15902.4997430728,16721.3228804612,17549.7506740155,18386.6870057472,19231.0535725384,20081.7944859269,20937.8801091382,21798.3102000787,22662.1164320555,23528.3643625949,24396.1549176227,25264.6254534894,26132.9504539582,27000.3419134718,27866.0494524555,28729.3602049412,29589.5985139134,30446.1254652436,31298.3382868565,32145.6696365442,32987.586798603,33823.5908063855,34653.2155059635,35476.0265739476,36291.6205005869,37099.6235478093,37899.6906906771,38691.5045494772,39474.774318549,40249.4793953186,41018.1946499483,41787.2021465401,42565.1626388131,43362.1687511762,44189.1581190931,45057.5013796859,45978.6603622645,46963.8599004501,48023.7481578951,49168.0426179893,50405.174780882,51741.9569501858,53183.2986781547,54731.9989105836,56388.6330044615,58151.5439195954,60016.9358889167,61979.0589668046,64030.4655663349,66162.3161226054,68364.7102587412,70627.0217413957,72938.2191147011,75287.1583321868,77662.8383199885,80054.6147619982,82452.3706884808,84846.6451469071,87228.7233402915,89590.6925343203,91925.4686623778,94226.798823475,96489.2443790482,98708.1495430244,100879.599010067,103000.368298813,105067.869635274,107080.095691415,109035.563004224,110933.256498725,112772.576132335,114553.286401771,116275.469180594,117939.480158987,119545.909008955,121095.543255976,122589.335771799,124028.37572816,125413.86280794,126747.08445515,128029.39591136,129262.202807888,130446.946065828,131585.088878014,132678.105548283,133727.471988747,134734.657682722,135701.118935061,136628.293262026,137517.594769443,138370.410395475,139188.09690178,139971.978512658,140723.345111428,141443.450915077,142133.513557572,142794.713520407,143428.193857346,144035.060166728,144616.380770918,145173.187068002,145706.474025343,146217.200788959,146706.291386248
6,0,2,0,0,1,527895.493723415,0,0.0821257264904205,0.321270764608074,0.731561279555258,1.35768558117721,2.27897739093541,3.62145857940073,5.57889296227635,8.44607766205291,12.6699777347705,18.9274189479529,28.2424220836847,42.1621475222492,63.0185075559505,94.3117790613893,141.261483136609,211.212931741461,310.786058870991,443.427943008129,610.352912511953,811.426491055884,1045.75506878776,1312.07590729712,1609.0099263414,1935.21927596278,2289.49743547513,2670.81159887966,3078.31127614666,3511.31379346968,3969.2751466268,4451.75300408011,4958.36722638501,5488.76196404896,6042.57209717807,6619.39569830532,7218.77324127355,7840.1735414364,8482.9859081754,9146.51766380295,9829.99603880281,10532.5734205381,11253.3349924696,11991.3079154955,12745.4713341832,13514.7666419514,14298.1075672542,15094.3897706274,15902.4997430728,16721.3228804612,17549.7506740155,18386.6870057472,19231.0535725384,20081.7944859269,20937.8801091382,21798.3102000787,22662.1164320555,23528.3643625949,24396.1549176227,25264.6254534894,26132.9504539582,27000.3419134718,27866.0494524555,28729.3602049412,29589.5985139134,30446.1254652436,31298.3382868565,32145.6696365442,32987.586798603,33823.5908063855,34653.2155059635,35476.0265739476,36291.6205005869,37099.6235478093,37899.6906906771,38691.5045494772,39474.774318549,40249.4793953186,41018.1946499483,41787.2021465401,42565.1626388131,43362.1687511762,44189.1581190931,45057.5013796859,45978.6603622645,46963.8599004501,48023.7481578951,49168.0426179893,50405.174780882,51741.9569501858,53183.2986781547,54731.9989105836,56388.6330044615,58151.5439195954,60016.9358889167,61979.0589668046,64030.4655663349,66162.3161226054,68364.7102587412,70627.0217413957,72938.2191147011,75287.1583321868,77662.8383199885,80054.6147619982,82452.3706884808,84846.6451469071,87228.7233402915,89590.6925343203,91925.4686623778,94226.798823475,96489.2443790482,98708.1495430244,100879.599010067,103000.368298813,105067.869635274,107080.095691415,109035.563004224,110933.256498725,112772.576132335,114553.286401771,116275.469180594,117939.480158987,119545.909008955,121095.543255976,122589.335771799,124028.37572816,125413.86280794,126747.08445515,128029.39591136,129262.202807888,130446.946065828,131585.088878014,132678.105548283,133727.471988747,134734.657682722,135701.118935061,136628.293262026,137517.594769443,138370.410395475,139188.09690178,139971.978512658,140723.345111428,141443.450915077,142133.513557572,142794.713520407,143428.193857346,144035.060166728,144616.380770918,145173.187068002,145706.474025343,146217.200788959,146706.291386248
7,0,2,1,0,0,171228.02725029,0,0.0266382765161837,0.104207290820056,0.237289001706416,0.440378496227399,0.739208436968277,1.17465524084265,1.80956808218485,2.73956726903561,4.10963025565534,6.13929204914896,9.16070372953981,13.6757017832263,20.4406645962325,30.5909409478837,45.8195331680643,68.5089644860449,100.806474747545,143.830157316549,197.973891382841,263.194058244641,339.200806872842,425.584555807613,521.897986986648,627.70715579068,742.620715524429,866.303665537566,998.480141133919,1138.9287104382,1287.47292040081,1443.96929649407,1608.29453679941,1780.33321807999,1959.96691015427,2147.06524394717,2341.47916768933,2543.03638648494,2751.53881690439,2966.76178221645,3188.45462712786,3416.34242025275,3650.12843196725,3889.49711246607,4134.11733738107,4383.64573739252,4637.72996978092,4896.01183132215,5158.13014456468,5423.72337684061,5692.43197256872,5963.90039524028,6237.77888677275,6513.72495949474,6791.40464072463,7070.49349223076,7350.67742785154,7631.65335210068,7913.1296415757,8194.82648943583,8476.47613147709,8757.82297044834,9038.62361345126,9318.64683548986,9597.67348065311,9875.49631094198,10151.9198113832,10426.7599590249,10699.843962358,10971.0099767074,11240.1068005217,11506.993556794,11771.5393632201,12033.6229942287,12293.1325376324,12549.9650482407,12804.0262004149,13055.3093115102,13304.6495656561,13554.0846113189,13806.4236480305,14064.9403164791,14333.18234489,14614.8379097797,14913.6247667356,15233.1837994933,15576.9688432868,15948.1318581733,16349.4076830641,16783.0059547576,17250.5191341804,17752.8550865684,18290.2004345454,18862.0177010412,19467.0756921647,20103.5093572435,20768.9029991711,21460.3894192728,22174.7573342142,22908.5600220689,23658.2193230526,24420.1205575261,25190.6954204031,25966.4913244379,26744.2267322995,27520.8328922053,28293.4830751653,29059.6107090022,29816.9180079499,30563.3767828807,31297.2229585879,32016.9463856687,32721.2770968346,33409.1692002574,34079.7833263274,34732.4683787124,35366.7431817857,35982.2784861264,36578.8796620986,37156.4703219262,37715.0770220941,38254.8151341652,38775.8759239776,39278.5148330644,39763.0409346255,40229.807512086,40679.2036942322,41111.6470760254,41527.5772432232,41927.4501259867,42311.7331010587,42680.9007692369,43035.4313352808,43375.8035256099,43702.4939813998,44015.9750692655,44316.7130615594,44605.1666372314,44881.7856631369,45147.0102180886,45401.2698270915,45644.9828763197,45878.5561832265,46102.3846992084,46316.8513248954,46522.3268208706,46719.1697986865,46907.7267790718,47088.332306006,47261.3091068113,47426.9682898081,47585.6095722518
8,0,2,1,0,1,171228.02725029,0,0.0266382765161837,0.104207290820056,0.237289001706416,0.440378496227399,0.739208436968277,1.17465524084265,1.80956808218485,2.73956726903561,4.10963025565534,6.13929204914896,9.16070372953981,13.6757017832263,20.4406645962325,30.5909409478837,45.8195331680643,68.5089644860449,100.806474747545,143.830157316549,197.973891382841,263.194058244641,339.200806872842,425.584555807613,521.897986986648,627.70715579068,742.620715524429,866.303665537566,998.480141133919,1138.9287104382,1287.47292040081,1443.96929649407,1608.29453679941,1780.33321807999,1959.96691015427,2147.06524394717,2341.47916768933,2543.03638648494,2751.53881690439,2966.76178221645,3188.45462712786,3416.34242025275,3650.12843196725,3889.49711246607,4134.11733738107,4383.64573739252,4637.72996978092,4896.01183132215,5158.13014456468,5423.72337684061,5692.43197256872,5963.90039524028,6237.77888677275,6513.72495949474,6791.40464072463,7070.49349223076,7350.67742785154,7631.65335210068,7913.1296415757,8194.82648943583,8476.47613147709,8757.82297044834,9038.62361345126,9318.64683548986,9597.67348065311,9875.49631094198,10151.9198113832,10426.7599590249,10699.843962358,10971.0099767074,11240.1068005217,11506.993556794,11771.5393632201,12033.6229942287,12293.1325376324,12549.9650482407,12804.0262004149,13055.3093115102,13304.6495656561,13554.0846113189,13806.4236480305,14064.9403164791,14333.18234489,14614.8379097797,14913.6247667356,15233.1837994933,15576.9688432868,15948.1318581733,16349.4076830641,16783.0059547576,17250.5191341804,17752.8550865684,18290.2004345454,18862.0177010412,19467.0756921647,20103.5093572435,20768.9029991711,21460.3894192728,22174.7573342142,22908.5600220689,23658.2193230526,24420.1205575261,25190.6954204031,25966.4913244379,26744.2267322995,27520.8328922053,28293.4830751653,29059.6107090022,29816.9180079499,30563.3767828807,31297.2229585879,32016.9463856687,32721.2770968346,33409.1692002574,34079.7833263274,34732.4683787124,35366.7431817857,35982.2784861264,36578.8796620986,37156.4703219262,37715.0770220941,38254.8151341652,38775.8759239776,39278.5148330644,39763.0409346255,40229.807512086,40679.2036942322,41111.6470760254,41527.5772432232,41927.4501259867,42311.7331010587,42680.9007692369,43035.4313352808,43375.8035256099,43702.4939813998,44015.9750692655,44316.7130615594,44605.1666372314,44881.7856631369,45147.0102180886,45401.2698270915,45644.9828763197,45878.5561832265,46102.3846992084,46316.8513248954,46522.3268208706,46719.1697986865,46907.7267790718,47088.332306006,47261.3091068113,47426.9682898081,47585.6095722518
9,11,2,0,0,0,146.0605932,0,2.26600381470178e-05,8.79719534329874e-05,0.000198059535851307,0.000362477370834259,0.000599071834946392,0.000936729400674585,0.00142025163861984,0.00211810769459746,0.00313437535303152,0.00462691577878021,0.00683486259661645,0.0101199123609092,0.0150278614620166,0.0223791474930975,0.0333995472380881,0.0498222197991793,0.0732573729089745,0.104644251462004,0.144455885272109,0.192886622647254,0.249973037321388,0.315671509066299,0.389907208972967,0.472603938436611,0.5637007510415,0.663159380365622,0.770965185700268,0.887123656654703,1.01165409008466,1.14458175569744,1.28592961119419,1.43571038759615,1.59391961507537,1.76052994447292,1.93548692475925,2.11870624306166,2.3100723273148,2.50943814067172,2.71662596396421,2.93142895292795,3.15361326687713,3.3829205873204,3.61907087056957,3.86176520865785,4.11068869851569,4.36551324545577,4.62590024770303,4.8915031262979,5.16196967862264,5.43694424447952,5.71606968157687,5.99898915293437,6.28534773259199,6.57479383842703,6.86698050237019,7.16156648894643,7.45821727322885,7.75660588908607,8.05641365818727,8.35733080966921,8.6590569997655,8.96130174005582,9.26378474238718,9.56623618792922,9.86839692723136,10.1700186177079,10.4708638044993,10.7707059501173,11.069329418002,11.3665294147428,11.6621118953241,11.955893435452,12.2477010747821,12.5373721345637,12.8247540128789,13.1097478172527,13.3927255751621,13.6747330887029,13.9572590110839,14.2420732866939,14.5311294712655,14.8264970860234,15.1303048977084,15.4446846600628,15.7717104393398,16.1133326094673,16.4713085433313,16.8471341181395,17.2419812338757,17.6566466719898,18.0915167370433,18.5465505634212,19.0212830365085,19.5148463504773,20.0260076223678,20.5532188953563,21.0946753481908,21.6483775297551,22.212193866959,22.7839203157367,23.3613348280347,23.942245103583,24.5245287782232,25.1061657838498,25.6852631196314,26.2600725561549,26.8290020071177,27.3906214445363,27.9436642029374,28.4870246232893,29.0197527535027,29.5410468769665,30.0502445022106,30.5468123477335,31.030335765782,31.5005079690833,31.9571193380619,32.4000470267436,32.8292450227526,33.2447347695202,33.6465964233195,34.0349607791485,34.4100018811786,34.7719303117857,35.1209871390423,35.4574384942017,35.7815707415768,36.0936862014894,36.3940993834583,36.6831336872154,36.9611185281899,37.2283868477611,37.4852729688192,37.7321107592095,37.9692320710975,38.1969654234763,38.4156349000219,38.6255592360318,38.8270510713585,39.0204163480998,39.2059538343745,39.3839547574466,39.5547025312674,39.7184725653582,39.8755321433935,40.0261403612782,40.1705481157788,40.3089981358485,40.4417250498041,40.568955482389
10,11,2,0,0,1,146.0605932,0,2.26600381470178e-05,8.79719534329874e-05,0.000198059535851307,0.000362477370834259,0.000599071834946392,0.000936729400674585,0.00142025163861984,0.00211810769459746,0.00313437535303152,0.00462691577878021,0.00683486259661645,0.0101199123609092,0.0150278614620166,0.0223791474930975,0.0333995472380881,0.0498222197991793,0.0732573729089745,0.104644251462004,0.144455885272109,0.192886622647254,0.249973037321388,0.315671509066299,0.389907208972967,0.472603938436611,0.5637007510415,0.663159380365622,0.770965185700268,0.887123656654703,1.01165409008466,1.14458175569744,1.28592961119419,1.43571038759615,1.59391961507537,1.76052994447292,1.93548692475925,2.11870624306166,2.3100723273148,2.50943814067172,2.71662596396421,2.93142895292795,3.15361326687713,3.3829205873204,3.61907087056957,3.86176520865785,4.11068869851569,4.36551324545577,4.62590024770303,4.8915031262979,5.16196967862264,5.43694424447952,5.71606968157687,5.99898915293437,6.28534773259199,6.57479383842703,6.86698050237019,7.16156648894643,7.45821727322885,7.75660588908607,8.05641365818727,8.35733080966921,8.6590569997655,8.96130174005582,9.26378474238718,9.56623618792922,9.86839692723136,10.1700186177079,10.4708638044993,10.7707059501173,11.069329418002,11.3665294147428,11.6621118953241,11.955893435452,12.2477010747821,12.5373721345637,12.8247540128789,13.1097478172527,13.3927255751621,13.6747330887029,13.9572590110839,14.2420732866939,14.5311294712655,14.8264970860234,15.1303048977084,15.4446846600628,15.7717104393398,16.1133326094673,16.4713085433313,16.8471341181395,17.2419812338757,17.6566466719898,18.0915167370433,18.5465505634212,19.0212830365085,19.5148463504773,20.0260076223678,20.5532188953563,21.0946753481908,21.6483775297551,22.212193866959,22.7839203157367,23.3613348280347,23.942245103583,24.5245287782232,25.1061657838498,25.6852631196314,26.2600725561549,26.8290020071177,27.3906214445363,27.9436642029374,28.4870246232893,29.0197527535027,29.5410468769665,30.0502445022106,30.5468123477335,31.030335765782,31.5005079690833,31.9571193380619,32.4000470267436,32.8292450227526,33.2447347695202,33.6465964233195,34.0349607791485,34.4100018811786,34.7719303117857,35.1209871390423,35.4574384942017,35.7815707415768,36.0936862014894,36.3940993834583,36.6831336872154,36.9611185281899,37.2283868477611,37.4852729688192,37.7321107592095,37.9692320710975,38.1969654234763,38.4156349000219,38.6255592360318,38.8270510713585,39.0204163480998,39.2059538343745,39.3839547574466,39.5547025312674,39.7184725653582,39.8755321433935,40.0261403612782,40.1705481157788,40.3089981358485,40.4417250498041,40.568955482389
