"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.00426663167914404,0.0291527311691946,0.109987691105197,0.308441141519573,0.724746354946027,1.5202298996356,2.95413983073551,5.44247173382866,9.65147397306698,16.6458311762634,28.1226942806736,46.7790500645194,76.8828014747261,125.146716703667,202.032535580045,323.205346869236,507.492523446088,775.02380806279,1148.75180579133,1655.58369764092,2326.86017349602,3198.16327217799,4308.36697167887,5697.88379003388,7406.19370549248,9468.91966118052,11914.8586266772,14763.4366308,18022.9825256724,21690.042149109,25749.7446618019,30177.0529623882,34938.6236695481,39994.9758873532,45302.7022183376,50816.5224210826,56491.0546191153,62282.2448570923,68148.4457582506,74051.1680874796,79955.5475690374,85830.5769987604,91649.1540459936,97387.9911766894,103027.4279776,108551.179197796,113946.0450686,119201.604325022,124309.905097834,129265.164373053,134063.483340096,138702.583186351,143181.563724582,147500.685865504,151661.17775443,155665.063683718,159515.014415035,163214.217243293,166766.26402891,170175.055355042,173444.719057696,176579.541398872,179583.909337676,182462.262442639,185219.053136415,187858.71411751,190385.631916543,192804.125674902,195118.430358428,197332.683708337,199450.916338776,201477.044450631,203414.864744854,205268.051138663,207040.15297417,208734.594101003,210354.674678853,211903.570307732,213384.335235213,214799.904381401,216153.096074846,217446.61504966,218683.055671557,219864.90531636,220994.547837101,222074.267084708,223106.250442622,224092.592348726,225035.297782386,225936.285697896,226797.392391822,227620.37478923,228406.913647811,229158.616668633,229877.021510333,230563.598705402,231219.754477148,231846.833456174,232446.121297653,233018.847200016,233566.186326724,234089.262133158,234589.148600789,235066.872381131,235523.414852093,235959.714089436,236376.666756152,236775.12991256,237155.922749965,237519.828250672,237867.594777153,238199.937593071,238517.540318864,238821.056324469,239111.110061749,239388.298339063,239653.191540373,239906.334790875,240148.249072804,240379.43229161,240600.360295005,240811.48784794,241013.249564771,241206.060800366,241390.31850202,241566.402023872,241734.673905446,241895.480615892,242049.153265397,242196.008285217,242336.348077692,242470.461637558,242598.625145819,242721.102537372,242838.146043546,242949.996710659,243056.884895633,243159.030739696,243256.644621119,243349.927587929,243439.071771455,243524.260781586,243605.670084518,243683.467363779,243757.812865265,243828.859726997,243896.75429427,243961.636420841,244023.639756775,244082.892023535
2,0,1,1,0,0,818021.22396571,0,0.00426663167914404,0.0291527311691946,0.109987691105197,0.308441141519573,0.724746354946027,1.5202298996356,2.95413983073551,5.44247173382866,9.65147397306698,16.6458311762634,28.1226942806736,46.7790500645194,76.8828014747261,125.146716703667,202.032535580045,323.205346869236,507.492523446088,775.02380806279,1148.75180579133,1655.58369764092,2326.86017349602,3198.16327217799,4308.36697167887,5697.88379003388,7406.19370549248,9468.91966118052,11914.8586266772,14763.4366308,18022.9825256724,21690.042149109,25749.7446618019,30177.0529623882,34938.6236695481,39994.9758873532,45302.7022183376,50816.5224210826,56491.0546191153,62282.2448570923,68148.4457582506,74051.1680874796,79955.5475690374,85830.5769987604,91649.1540459936,97387.9911766894,103027.4279776,108551.179197796,113946.0450686,119201.604325022,124309.905097834,129265.164373053,134063.483340096,138702.583186351,143181.563724582,147500.685865504,151661.17775443,155665.063683718,159515.014415035,163214.217243293,166766.26402891,170175.055355042,173444.719057696,176579.541398872,179583.909337676,182462.262442639,185219.053136415,187858.71411751,190385.631916543,192804.125674902,195118.430358428,197332.683708337,199450.916338776,201477.044450631,203414.864744854,205268.051138663,207040.15297417,208734.594101003,210354.674678853,211903.570307732,213384.335235213,214799.904381401,216153.096074846,217446.61504966,218683.055671557,219864.90531636,220994.547837101,222074.267084708,223106.250442622,224092.592348726,225035.297782386,225936.285697896,226797.392391822,227620.37478923,228406.913647811,229158.616668633,229877.021510333,230563.598705402,231219.754477148,231846.833456174,232446.121297653,233018.847200016,233566.186326724,234089.262133158,234589.148600789,235066.872381131,235523.414852093,235959.714089436,236376.666756152,236775.12991256,237155.922749965,237519.828250672,237867.594777153,238199.937593071,238517.540318864,238821.056324469,239111.110061749,239388.298339063,239653.191540373,239906.334790875,240148.249072804,240379.43229161,240600.360295005,240811.48784794,241013.249564771,241206.060800366,241390.31850202,241566.402023872,241734.673905446,241895.480615892,242049.153265397,242196.008285217,242336.348077692,242470.461637558,242598.625145819,242721.102537372,242838.146043546,242949.996710659,243056.884895633,243159.030739696,243256.644621119,243349.927587929,243439.071771455,243524.260781586,243605.670084518,243683.467363779,243757.812865265,243828.859726997,243896.75429427,243961.636420841,244023.639756775,244082.892023535
3,0,1,0,1,0,2335.27250675705,0,0.00306598046733386,0.0113692485953502,0.0238171424814906,0.0396197657888336,0.0582830780680446,0.0796389704030696,0.103922333597251,0.131915948764868,0.16519844307166,0.206551584132819,0.260615185726622,0.334924555675532,0.441530758327611,0.599486131908534,0.838557786109668,1.2033706680686,1.74758311734145,2.52857971051418,3.61180496082167,5.0739887491342,7.00451052143426,9.50484996047352,12.685878371972,16.6628574475085,21.5483915024726,27.4440867934878,34.432084203797,42.5678011062319,51.8750081693125,62.3438732458764,73.9320059173502,86.568023303345,100.156854275201,114.585924287982,129.731460716184,145.464349457856,161.655186061288,178.178352532644,194.915093454438,211.755659298608,228.600637704285,245.361615423374,261.961314650821,278.333336152617,294.421624061764,310.179747353382,325.570073745847,340.562894270457,355.13554176892,369.271533823692,382.959760999802,396.193733395968,408.970892310451,421.291989908603,433.160536375578,444.582312020992,455.564940439969,466.117517973278,476.250294409383,485.97439967138,495.301611492306,504.244159145492,512.814558823859,521.025476513638,528.889614630092,536.41961912034,543.628004060302,550.527091144573,557.128961823749,563.44542009931,569.48796429174,575.267766269373,580.795656949524,586.082116940754,591.137271440952,595.9708876273,600.592379804185,605.010806926913,609.234881755019,613.272976632161,617.133131293722,620.823061418777,624.35016783498,627.721546157879,630.943996682768,634.024034429129,636.967899224634,639.781565752772,642.470753500848,645.040936554933,647.497353206194,649.845015325727,652.088717505116,654.23304593058,656.282386981625,658.240935550337,660.11270307735,661.901525301109,663.611069724125,665.244842797998,666.806196831915,668.298336630518,669.72432586722,671.087093200193,672.389438138415,673.634036665576,674.823446629803,675.96011290724,677.046372347555,678.084458509389,679.076506193662,680.024555782541,680.930557391673,681.796374843142,682.623789466391,683.41450373413,684.170144739989,684.892267523648,685.582358253818,686.241837269667,686.872061987774,687.474329683388,688.049880149565,688.599898239161,689.125516295036,689.627816473285,690.107832964143,690.566554115009,691.004924459859,691.423846659122,691.824183353928,692.206758938492,692.572361254201,692.921743208849,693.2556243243,693.574692215727,693.879604005435,694.170987674147,694.449443352507,694.715544555428,694.969839361817,695.212851542073,695.445081635671,695.667007981031,695.87908769978,696.081757637425,696.275435262353,696.460519525016,696.637391679039,696.806416065961
4,0,1,1,1,0,2335.27250675705,0,0.00306598046733386,0.0113692485953502,0.0238171424814906,0.0396197657888336,0.0582830780680446,0.0796389704030696,0.103922333597251,0.131915948764868,0.16519844307166,0.206551584132819,0.260615185726622,0.334924555675532,0.441530758327611,0.599486131908534,0.838557786109668,1.2033706680686,1.74758311734145,2.52857971051418,3.61180496082167,5.0739887491342,7.00451052143426,9.50484996047352,12.685878371972,16.6628574475085,21.5483915024726,27.4440867934878,34.432084203797,42.5678011062319,51.8750081693125,62.3438732458764,73.9320059173502,86.568023303345,100.156854275201,114.585924287982,129.731460716184,145.464349457856,161.655186061288,178.178352532644,194.915093454438,211.755659298608,228.600637704285,245.361615423374,261.961314650821,278.333336152617,294.421624061764,310.179747353382,325.570073745847,340.562894270457,355.13554176892,369.271533823692,382.959760999802,396.193733395968,408.970892310451,421.291989908603,433.160536375578,444.582312020992,455.564940439969,466.117517973278,476.250294409383,485.97439967138,495.301611492306,504.244159145492,512.814558823859,521.025476513638,528.889614630092,536.41961912034,543.628004060302,550.527091144573,557.128961823749,563.44542009931,569.48796429174,575.267766269373,580.795656949524,586.082116940754,591.137271440952,595.9708876273,600.592379804185,605.010806926913,609.234881755019,613.272976632161,617.133131293722,620.823061418777,624.35016783498,627.721546157879,630.943996682768,634.024034429129,636.967899224634,639.781565752772,642.470753500848,645.040936554933,647.497353206194,649.845015325727,652.088717505116,654.23304593058,656.282386981625,658.240935550337,660.11270307735,661.901525301109,663.611069724125,665.244842797998,666.806196831915,668.298336630518,669.72432586722,671.087093200193,672.389438138415,673.634036665576,674.823446629803,675.96011290724,677.046372347555,678.084458509389,679.076506193662,680.024555782541,680.930557391673,681.796374843142,682.623789466391,683.41450373413,684.170144739989,684.892267523648,685.582358253818,686.241837269667,686.872061987774,687.474329683388,688.049880149565,688.599898239161,689.125516295036,689.627816473285,690.107832964143,690.566554115009,691.004924459859,691.423846659122,691.824183353928,692.206758938492,692.572361254201,692.921743208849,693.2556243243,693.574692215727,693.879604005435,694.170987674147,694.449443352507,694.715544555428,694.969839361817,695.212851542073,695.445081635671,695.667007981031,695.87908769978,696.081757637425,696.275435262353,696.460519525016,696.637391679039,696.806416065961
5,0,2,0,0,0,527895.493723415,0,0.00385836018034782,0.023028422196952,0.0797473310395782,0.211905318977749,0.479296529938726,0.975808672833021,1.84962269781213,3.33559419247392,5.80676641756974,9.85602285772149,16.4250809269062,27.0071172338653,43.9621645733911,71.0009034685644,113.90948490101,181.364746540772,283.814634345563,432.458087980974,640.113865002766,921.893713267097,1295.53670119289,1781.3955616395,2402.0229157941,3181.31852512208,4143.26198034468,5310.34625155774,6701.90804646555,8332.59575026684,10211.1965207527,12339.9719810065,14714.552454355,17324.3441511287,20153.3361514901,23181.1631623084,26384.2813255679,29737.1371680658,33213.2424450285,36786.1010061408,40429.9624896287,44120.3993554766,47834.7183764227,51552.2262384897,55254.3727546276,58924.7958269846,62549.2908922994,66115.7249998432,69613.9126549865,73035.4674129397,76373.6404069592,79623.1542012111,82780.0383383401,85841.471068367,88805.6301835406,91671.5548722952,94439.0195233455,97108.4198078012,99680.6708738744,102157.117170978,104539.453210395,106829.654432682,109029.917311081,111142.607774919,113170.217086349,115115.324324815,116980.564688941,118768.602898522,120482.111032319,122123.750206545,123696.155569095,125201.92413556,126643.60505817,128023.691954433,129344.616996248,130608.746472105,131818.377592415,132975.736109004,134082.975919953,135142.177142208,136155.34699771,137124.420106087,138051.25932663,138937.656969123,139785.336187843,140595.952608722,141371.096078219,142112.292523986,142821.005886565,143498.640095855,144146.541072812,144765.998737194,145358.249007591,145924.475781164,146465.81288378,146983.34598539,147478.11447153,147951.113268412,148403.294618465,148835.569803208,149248.810812656,149643.851960025,150021.491441427,150382.492840729,150727.586579923,151057.471315761,151372.815283555,151674.257589261,151962.409451059,152237.855391777,152501.154383551,152752.840946168,152993.426200589,153223.398879128,153443.226293794,153653.355264289,153854.213007128,154046.207987333,154229.730734113,154405.154621729,154572.836617811,154733.11799918,154886.325036745,155032.76965139,155172.750041641,155306.551284213,155434.445908614,155556.694446893,155673.545959573,155785.238538757,155891.999789386,155994.047289568,156091.589030861,156184.823839375,156273.941778503,156359.12453408,156440.545782706,156518.371543977,156592.760517306,156663.864404002,156731.828215244,156796.790566562,156858.88395941,156918.235050393,156974.964908675,157029.189262098,157081.018732492,157130.559060648,157177.91132141,157223.172129315,157266.433835188,157307.784714103
6,0,2,1,0,0,527895.493723415,0,0.00385836018034782,0.023028422196952,0.0797473310395782,0.211905318977749,0.479296529938726,0.975808672833021,1.84962269781213,3.33559419247392,5.80676641756974,9.85602285772149,16.4250809269062,27.0071172338653,43.9621645733911,71.0009034685644,113.90948490101,181.364746540772,283.814634345563,432.458087980974,640.113865002766,921.893713267097,1295.53670119289,1781.3955616395,2402.0229157941,3181.31852512208,4143.26198034468,5310.34625155774,6701.90804646555,8332.59575026684,10211.1965207527,12339.9719810065,14714.552454355,17324.3441511287,20153.3361514901,23181.1631623084,26384.2813255679,29737.1371680658,33213.2424450285,36786.1010061408,40429.9624896287,44120.3993554766,47834.7183764227,51552.2262384897,55254.3727546276,58924.7958269846,62549.2908922994,66115.7249998432,69613.9126549865,73035.4674129397,76373.6404069592,79623.1542012111,82780.0383383401,85841.471068367,88805.6301835406,91671.5548722952,94439.0195233455,97108.4198078012,99680.6708738744,102157.117170978,104539.453210395,106829.654432682,109029.917311081,111142.607774919,113170.217086349,115115.324324815,116980.564688941,118768.602898522,120482.111032319,122123.750206545,123696.155569095,125201.92413556,126643.60505817,128023.691954433,129344.616996248,130608.746472105,131818.377592415,132975.736109004,134082.975919953,135142.177142208,136155.34699771,137124.420106087,138051.25932663,138937.656969123,139785.336187843,140595.952608722,141371.096078219,142112.292523986,142821.005886565,143498.640095855,144146.541072812,144765.998737194,145358.249007591,145924.475781164,146465.81288378,146983.34598539,147478.11447153,147951.113268412,148403.294618465,148835.569803208,149248.810812656,149643.851960025,150021.491441427,150382.492840729,150727.586579923,151057.471315761,151372.815283555,151674.257589261,151962.409451059,152237.855391777,152501.154383551,152752.840946168,152993.426200589,153223.398879128,153443.226293794,153653.355264289,153854.213007128,154046.207987333,154229.730734113,154405.154621729,154572.836617811,154733.11799918,154886.325036745,155032.76965139,155172.750041641,155306.551284213,155434.445908614,155556.694446893,155673.545959573,155785.238538757,155891.999789386,155994.047289568,156091.589030861,156184.823839375,156273.941778503,156359.12453408,156440.545782706,156518.371543977,156592.760517306,156663.864404002,156731.828215244,156796.790566562,156858.88395941,156918.235050393,156974.964908675,157029.189262098,157081.018732492,157130.559060648,157177.91132141,157223.172129315,157266.433835188,157307.784714103
7,0,2,0,1,0,171228.02725029,0,0.00332067400642026,0.0151166150040869,0.0417919586273449,0.0949822713503779,0.193553745205024,0.367533836191159,0.664644218062769,1.16078840517869,1.97674767182043,3.30465522997005,5.44982771499273,8.89648109972391,14.4100261275588,23.1939846641715,37.125086951414,59.017689282114,92.2606288559014,140.486340842788,207.852665563704,299.261195038648,420.465714105814,578.067770071256,779.38246097257,1032.16184054097,1344.18385704442,1722.74426456296,2174.11506337162,2703.04756590024,3312.39195710288,4002.88182185175,4773.09983922372,5619.60985611354,6537.21863735752,7519.32057787268,8558.2790838198,9645.80572911018,10773.3088879939,11932.1943701501,13114.1098863211,14311.1322128355,15515.9006614242,16721.7032285063,17922.523047483,19113.0529725537,20288.6856681361,21445.4857394898,22580.1494617693,23689.9566434859,24772.7182520785,25826.7225230054,26850.6816185257,27843.6802914352,28805.1275023776,29734.7116112765,30632.3594448713,31498.199346711,32332.5281559454,33135.7819581875,33908.5103837222,34651.3541839031,35365.0258033056,36050.292650527,36707.9627865233,37338.8727562047,37943.8773069536,38523.8407613895,39079.6298289205,39612.1076630437,40122.1289941322,40610.5361839715,41078.1560694318,41525.7974742179,41954.2492916371,42364.2790451776,42756.6318522967,43132.0296522958,43491.1710781505,43834.7308313522,44163.3599693352,44477.6860004164,44778.3131568993,45065.8227878183,45340.7738110948,45603.7032413203,45855.1267570186,46095.5393041671,46325.4157227588,46545.2113878844,46755.3628589983,46956.2885311492,47148.3892837021,47332.0491224835,47507.6358123216,47675.5014983154,47835.9833128681,47989.4039676709,48136.0723296117,48276.2839796027,48410.3217540653,48538.4562686705,48660.9464242387,48778.0398948513,48889.9735982897,48996.9741490436,49099.2582941833,49197.0333324557,49290.4975170017,49379.8404421262,49465.2434145775,49546.879809804,49624.915413671,49699.5087501199,49770.8113952581,49838.9682783612,49904.1179702658,49966.3929596227,50025.9199174695,50082.8199505088,50137.2088438307,50189.1972930964,50238.8911266875,50286.3915184488,50331.795191277,50375.1946119121,50416.6781773147,50456.3303929815,50494.2320435334,50530.460355904,50565.0891554387,50598.1890152044,50629.8273988005,50660.0687969448,50688.9748581041,50716.6045134209,50743.0140961839,50768.2574560761,50792.3860684247,50815.4491386698,50837.4937022588,50858.5647201631,50878.7051702084,50897.9561343997,50916.3568824151,50933.944951435,50950.7562224668,50966.8249933174,50982.1840483589,50996.8647252297,51010.8969786026,51024.3094411492
8,0,2,1,1,0,171228.02725029,0,0.00332067400642026,0.0151166150040869,0.0417919586273449,0.0949822713503779,0.193553745205024,0.367533836191159,0.664644218062769,1.16078840517869,1.97674767182043,3.30465522997005,5.44982771499273,8.89648109972391,14.4100261275588,23.1939846641715,37.125086951414,59.017689282114,92.2606288559014,140.486340842788,207.852665563704,299.261195038648,420.465714105814,578.067770071256,779.38246097257,1032.16184054097,1344.18385704442,1722.74426456296,2174.11506337162,2703.04756590024,3312.39195710288,4002.88182185175,4773.09983922372,5619.60985611354,6537.21863735752,7519.32057787268,8558.2790838198,9645.80572911018,10773.3088879939,11932.1943701501,13114.1098863211,14311.1322128355,15515.9006614242,16721.7032285063,17922.523047483,19113.0529725537,20288.6856681361,21445.4857394898,22580.1494617693,23689.9566434859,24772.7182520785,25826.7225230054,26850.6816185257,27843.6802914352,28805.1275023776,29734.7116112765,30632.3594448713,31498.199346711,32332.5281559454,33135.7819581875,33908.5103837222,34651.3541839031,35365.0258033056,36050.292650527,36707.9627865233,37338.8727562047,37943.8773069536,38523.8407613895,39079.6298289205,39612.1076630437,40122.1289941322,40610.5361839715,41078.1560694318,41525.7974742179,41954.2492916371,42364.2790451776,42756.6318522967,43132.0296522958,43491.1710781505,43834.7308313522,44163.3599693352,44477.6860004164,44778.3131568993,45065.8227878183,45340.7738110948,45603.7032413203,45855.1267570186,46095.5393041671,46325.4157227588,46545.2113878844,46755.3628589983,46956.2885311492,47148.3892837021,47332.0491224835,47507.6358123216,47675.5014983154,47835.9833128681,47989.4039676709,48136.0723296117,48276.2839796027,48410.3217540653,48538.4562686705,48660.9464242387,48778.0398948513,48889.9735982897,48996.9741490436,49099.2582941833,49197.0333324557,49290.4975170017,49379.8404421262,49465.2434145775,49546.879809804,49624.915413671,49699.5087501199,49770.8113952581,49838.9682783612,49904.1179702658,49966.3929596227,50025.9199174695,50082.8199505088,50137.2088438307,50189.1972930964,50238.8911266875,50286.3915184488,50331.795191277,50375.1946119121,50416.6781773147,50456.3303929815,50494.2320435334,50530.460355904,50565.0891554387,50598.1890152044,50629.8273988005,50660.0687969448,50688.9748581041,50716.6045134209,50743.0140961839,50768.2574560761,50792.3860684247,50815.4491386698,50837.4937022588,50858.5647201631,50878.7051702084,50897.9561343997,50916.3568824151,50933.944951435,50950.7562224668,50966.8249933174,50982.1840483589,50996.8647252297,51010.8969786026,51024.3094411492
9,11,2,0,0,1,292.1211864,0,0.00308456120712822,0.0116287861724902,0.0249612660325482,0.0427562265087383,0.0648842963817261,0.0913252402777542,0.122122248354872,0.157365681881917,0.197200297619723,0.241855010764027,0.291699190828146,0.347334945172981,0.409741605849534,0.480496835274363,0.562107406870685,0.658377093950469,0.773849574373471,0.913329689477352,1.08233022375411,1.28743003283537,1.53647814850305,1.83864407113591,2.2042909956395,2.64464951143718,3.17129242844851,3.79544918965515,4.52723562543525,5.37490116724366,6.34419667770656,7.43794327059982,8.65584388300919,9.99453725195312,11.4478595279125,13.007258061336,14.6622952857137,16.4011850514893,18.2113148285816,20.0797207396502,21.993495494199,23.9401202973337,25.9077200840517,27.885247030241,29.8626005940776,31.8306938914861,33.7814765203156,35.7079234192259,37.6039983857743,39.4645996378679,41.2854936516692,43.0632421479279,44.7951261572134,46.4790701084684,48.1135680323806,49.697613409662,51.2306336074666,52.7124294788483,54.1431203688898,55.5230945555319,56.8529649828507,58.1335300331348,59.3657390172637,60.5506620121041,61.6894636658047,62.7833805853986,63.8337019300304,64.8417528575573,65.8088804896043,66.7364420879009,67.6257951653683,68.4782892778462,69.2952592734834,70.0780197932225,70.8278608538473,71.546044350453,72.2338013453317,72.8923299030879,73.5227940919184,74.1263222531592,74.7040068613872,75.2569041479106,75.7860340600602,76.2923805174769,76.7768917830843,77.2404810264176,77.6840269850539,78.1083747254727,78.5143364743386,78.9026925016957,79.2741920431752,79.6295542474493,79.9694691386843,80.2945985859329,80.6055772698849,80.9030136454339,81.1874908914632,81.4595678456128,81.71977992113,81.9686400028908,82.2066393212456,82.43424830213,82.6519173925117,82.8600778605958,83.0591425703988,83.2495067305676,83.4315486174859,83.6056302728693,83.7720981761577,83.931283892121,84.083504694168,84.2290641639018,84.3682527675218,84.5013484096941,84.6286169655454,84.7503127914454,84.8666792152544,84.9779490067136,85.0843448286495,85.1860796695642,85.2833572587571,85.3763724639638,85.4653116722971,85.5503531554823,85.6316674197778,85.7094175411416,85.7837594862553,85.8548424199654,85.9228089996856,85.9877956572839,86.049932868962,86.1093454136164,86.1661526201525,86.220468604209,86.2724024947273,86.3220586507918,86.3695368691435,86.4149325827605,86.4583370508772,86.4998375408056,86.5395175019031,86.5774567320204,86.6137315367472,86.6484148817631,86.681576538587,86.7132832240063,86.7435987334569,86.7725840686119,86.8002975594281,86.8267949808883,86.852129664666,86.8763526059335
10,11,2,0,1,1,67.8788136,0,0.003067520005235,0.0113885110935095,0.0238848440714542,0.0397331964506217,0.0582989142005097,0.0790897671052367,0.101723917652523,0.125908494681066,0.151426705649257,0.178132685115904,0.205954505472821,0.234907089848072,0.26511836953799,0.296873937981049,0.330687453301697,0.367380218782423,0.407952449631373,0.45347277027459,0.505177236259368,0.564548682814914,0.633361569227412,0.713692312742081,0.80788981512788,0.918501072799354,1.04815198837722,1.1993920485448,1.37451996301569,1.57541331810791,1.80338553639747,2.05908828915525,2.34246878747347,2.65278186639957,2.98864900182765,3.3481517253999,3.72894540970107,4.12838039768553,4.54361995024596,4.9717475461486,5.40985903020286,5.85513759173,6.30491142554857,6.75669519308431,7.20821714746609,7.65743413677054,8.10253676995008,8.54194691064437,8.97430944693635,9.39848000497353,9.81351001438147,10.2186302259491,10.6132335694013,10.9968580163383,11.3691699207634,11.7299481828035,12.0790694486666,12.4164944766823,12.7422557244412,13.0564461633492,13.3592092884531,13.6507302662299,13.9312281479346,14.2009490646328,14.4601603182742,14.7091452817044,14.9481990225264,15.1776245712421,15.3977297580215,15.6088245487157,15.8112188176527,16.0052204998195,16.1911340720685,16.3692593166916,16.5398903292999,16.7033147341635,16.8598130769739,17.0096583405411,17.1531157249115,17.2904422595805,17.4218867772093,17.547689832496,17.6680836970784,17.7832924211225,17.8935319208658,17.9990101093369,18.0999270491324,18.1964751274917,18.2888392471409,18.3771970287318,18.4617190219631,18.5425689222827,18.6199037908617,18.6938742760169,18.7646248339398,18.8322939483678,18.897014347273,18.9589132160643,19.0181124066507,19.0747286417145,19.1288737138911,19.1806546795095,19.2301740466848,19.2775299576377,19.322816365154,19.3661232031609,19.4075365514319,19.447138794468,19.4850087746286,19.5212219396086,19.5558504843732,19.588963487678,19.6206270433095,19.6509043861909,19.6798560135015,19.7075398009634,19.7340111144485,19.7593229170621,19.7835258718555,19.8066684402992,19.8287969767766,19.8499558190962,19.8701873752011,19.8895322063018,19.9080291065215,19.9257151791823,19.9426259098703,19.9587952364089,19.9742556158631,19.9890380886944,20.0031723401824,20.0166867592234,20.0296084946149,20.0419635089288,20.0537766300736,20.0650716006413,20.0758711251318,20.0861969151432,20.0960697326141,20.1055094311997,20.1145349958602,20.1231645807375,20.1314155453933,20.1393044894769,20.1468472858917,20.1540591125221,20.1609544825846,20.1675472736601,20.1738507554657,20.1798776164184,20.1856399890439,20.19114947428
