"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.0107029721309617,0.0719514427290323,0.267710061380935,0.740996685119674,1.7199005693528,3.56719266076791,6.86171729666545,12.5283233920083,22.044196379542,37.7655540486469,63.443089777129,105.029974815867,171.935247750625,278.935393168322,449.010680079638,715.334803175236,1105.00102088439,1625.94204462784,2273.25128625776,3034.83905195039,3895.14155167791,4837.50323738433,5845.65387906043,6904.57123266146,8000.92480951005,9123.24018007617,10261.8792468461,11408.904844535,12557.8791207341,13703.6314860424,14842.0217575355,15969.7163177748,17083.9885243299,18182.549664976,19263.4126694498,20324.7878477453,21365.0079457124,22382.4785417473,23375.6493099305,24343.0015722033,25283.0478820659,26194.3398463257,27075.4810140064,27925.1422704306,28742.0777851626,29525.1401036217,30273.2934262747,30985.6245027193,31661.3508638954,32299.8263365883,32900.5439456626,33463.1364144512,33987.3745380093,34473.1637361344,34920.5390993623,35329.6592326363,35700.7991808434,36034.3426922887,36330.7740454013,36590.6696348031,36814.6894773458,37003.5687751256,37158.1096417673,37279.1730777971,37367.6712598178,37424.5601893523,37450.8327350656,37447.5120877493,37415.6456388345,37356.2992848735,37270.5521539315,37159.4917454754,37024.2094713536,36865.7965828949,36685.3404674103,36484.1718275401,36266.1811698587,36038.627244979,35810.3367733979,35590.4115444988,35387.471589882,35209.2424974365,35062.36019454,34952.3111855034,34883.453406336,34859.0831216515,34881.5250728015,34952.2318449848,35071.8837582149,35240.4841878689,35457.4476409742,35721.6792911751,36031.6457690096,36385.4375380171,36780.8237370576,37215.2999388436,37686.1302068147,38190.3842041814,38724.9702720417,39286.6652426393,39872.1417244703,40477.9933924634,41100.7587519293,41736.943708481,42383.0431603395,43035.5617637408,43691.0339271207,44346.0430154916,44997.2397517768,45641.3596890113,46275.2396807419,46895.833219967,47500.2245570798,48085.6414664301,48649.4666442724,49189.2475530468,49702.704767949,50187.7387586571,50642.4351077036,51065.0681871195,51454.1033050411,51808.1974324992,52126.1985182213,52407.1435138503,52650.2551885668,52854.9378333678,53020.7719916138,53147.5082577326,53235.0603407719,53283.4974481515,53293.0361232176,53264.0316370798,53196.9690402099,53092.4539704952,52951.2033098664,52774.0357744143,52561.8625161345,52315.6778072494,52036.549870661,51725.6119129325,51384.0534089869,51013.1116808019,50614.0638057383,50188.2188838092,49736.910687264,49261.4907103281,48763.3216318254,48243.7711987431,47704.20653456,47145.9888723632
2,0,1,1,0,818021.22396571,0,0.0107029721309617,0.0719514427290323,0.267710061380935,0.740996685119674,1.7199005693528,3.56719266076791,6.86171729666545,12.5283233920083,22.044196379542,37.7655540486469,63.443089777129,105.029974815867,171.935247750625,278.935393168322,449.010680079638,715.334803175236,1105.00102088439,1625.94204462784,2273.25128625776,3034.83905195039,3895.14155167791,4837.50323738433,5845.65387906043,6904.57123266146,8000.92480951005,9123.24018007617,10261.8792468461,11408.904844535,12557.8791207341,13703.6314860424,14842.0217575355,15969.7163177748,17083.9885243299,18182.549664976,19263.4126694498,20324.7878477453,21365.0079457124,22382.4785417473,23375.6493099305,24343.0015722033,25283.0478820659,26194.3398463257,27075.4810140064,27925.1422704306,28742.0777851626,29525.1401036217,30273.2934262747,30985.6245027193,31661.3508638954,32299.8263365883,32900.5439456626,33463.1364144512,33987.3745380093,34473.1637361344,34920.5390993623,35329.6592326363,35700.7991808434,36034.3426922887,36330.7740454013,36590.6696348031,36814.6894773458,37003.5687751256,37158.1096417673,37279.1730777971,37367.6712598178,37424.5601893523,37450.8327350656,37447.5120877493,37415.6456388345,37356.2992848735,37270.5521539315,37159.4917454754,37024.2094713536,36865.7965828949,36685.3404674103,36484.1718275401,36266.1811698587,36038.627244979,35810.3367733979,35590.4115444988,35387.471589882,35209.2424974365,35062.36019454,34952.3111855034,34883.453406336,34859.0831216515,34881.5250728015,34952.2318449848,35071.8837582149,35240.4841878689,35457.4476409742,35721.6792911751,36031.6457690096,36385.4375380171,36780.8237370576,37215.2999388436,37686.1302068147,38190.3842041814,38724.9702720417,39286.6652426393,39872.1417244703,40477.9933924634,41100.7587519293,41736.943708481,42383.0431603395,43035.5617637408,43691.0339271207,44346.0430154916,44997.2397517768,45641.3596890113,46275.2396807419,46895.833219967,47500.2245570798,48085.6414664301,48649.4666442724,49189.2475530468,49702.704767949,50187.7387586571,50642.4351077036,51065.0681871195,51454.1033050411,51808.1974324992,52126.1985182213,52407.1435138503,52650.2551885668,52854.9378333678,53020.7719916138,53147.5082577326,53235.0603407719,53283.4974481515,53293.0361232176,53264.0316370798,53196.9690402099,53092.4539704952,52951.2033098664,52774.0357744143,52561.8625161345,52315.6778072494,52036.549870661,51725.6119129325,51384.0534089869,51013.1116808019,50614.0638057383,50188.2188838092,49736.910687264,49261.4907103281,48763.3216318254,48243.7711987431,47704.20653456,47145.9888723632
3,0,1,0,1,2335.27250675705,0,0.00766821088992707,0.027696477121851,0.0564833112276873,0.0914375951954678,0.130888465338794,0.174093142772834,0.221360435525959,0.274333102064593,0.336504768374004,0.414093671819141,0.517465741088518,0.663400973105382,0.878637238778614,1.20529697298311,1.70895578352648,2.48430055709343,3.60871038859974,5.10494741297798,6.95917487072327,9.13708037946076,11.5944479608089,14.2839480127859,17.1593467051821,20.1779640211088,23.3019378209694,26.498691419029,29.7408767214651,33.0059877811177,36.2757857285326,39.535637086488,42.7738384978651,45.9809786571531,49.1493694584446,52.2725642913159,55.3449697735452,58.3615488267613,61.3176073598118,64.2086532140347,67.030314605011,69.7783050037456,72.4484223135911,75.0365715233819,77.5388017933222,79.9513506670766,82.2706898453505,84.4935684996432,86.6170514000295,88.6385502243215,90.5558472599627,92.3671113401013,94.0709063152435,95.6661926613043,97.1523230082075,98.5290324649887,99.7964246353361,100.954954193206,102.005406829671,102.94887730193,103.786746227596,104.520656184225,105.152487572663,105.684334635508,106.11848193432,106.45738153083,106.703631057166,106.859952806325,106.929173939462,106.914207865642,106.818036825132,106.643695683538,106.394256925502,106.072816824294,105.682482752164,105.226361589031,104.707549182058,104.129835223058,103.504308987038,102.851664702667,102.197067884502,101.566468494262,100.98444277565,100.473016443119,100.05110800664,99.7343583580938,99.5351902458767,99.4629990428563,99.5244098169809,99.7235606901007,100.06238768999,100.540896568742,101.157413962847,101.908814196288,102.790721146795,103.797686117801,104.923344226664,106.160550592397,107.501500264264,108.937834040866,110.460732794429,112.061002484817,113.729151964117,115.45546509236,117.230068500937,119.042995951031,120.884249904218,122.743860735032,124.611943744276,126.478753920078,128.334738408988,130.170586337537,131.977275777061,133.746117482057,135.468795146753,137.137401808086,138.744472345966,140.283011553113,141.746517934052,143.129003041819,144.425006356638,145.629605768232,146.738423695115,147.747629155163,148.653935809799,149.454596330841,150.147393315249,150.730627033654,151.203100402242,151.564101297427,151.813382774214,151.951141346089,151.977993707406,151.894952184823,151.703399218551,151.405061149154,151.001981572594,150.496494505653,149.891197584561,149.188925499144,148.392723843723,147.505823545591,146.531616011321,145.473629111485,144.33550410539,143.12097358942,141.833840535612,140.477958471372,139.057212836589,137.575503541161,136.036728733797,134.444769782193
4,0,1,1,1,2335.27250675705,0,0.00766821088992707,0.027696477121851,0.0564833112276873,0.0914375951954678,0.130888465338794,0.174093142772834,0.221360435525959,0.274333102064593,0.336504768374004,0.414093671819141,0.517465741088518,0.663400973105382,0.878637238778614,1.20529697298311,1.70895578352648,2.48430055709343,3.60871038859974,5.10494741297798,6.95917487072327,9.13708037946076,11.5944479608089,14.2839480127859,17.1593467051821,20.1779640211088,23.3019378209694,26.498691419029,29.7408767214651,33.0059877811177,36.2757857285326,39.535637086488,42.7738384978651,45.9809786571531,49.1493694584446,52.2725642913159,55.3449697735452,58.3615488267613,61.3176073598118,64.2086532140347,67.030314605011,69.7783050037456,72.4484223135911,75.0365715233819,77.5388017933222,79.9513506670766,82.2706898453505,84.4935684996432,86.6170514000295,88.6385502243215,90.5558472599627,92.3671113401013,94.0709063152435,95.6661926613043,97.1523230082075,98.5290324649887,99.7964246353361,100.954954193206,102.005406829671,102.94887730193,103.786746227596,104.520656184225,105.152487572663,105.684334635508,106.11848193432,106.45738153083,106.703631057166,106.859952806325,106.929173939462,106.914207865642,106.818036825132,106.643695683538,106.394256925502,106.072816824294,105.682482752164,105.226361589031,104.707549182058,104.129835223058,103.504308987038,102.851664702667,102.197067884502,101.566468494262,100.98444277565,100.473016443119,100.05110800664,99.7343583580938,99.5351902458767,99.4629990428563,99.5244098169809,99.7235606901007,100.06238768999,100.540896568742,101.157413962847,101.908814196288,102.790721146795,103.797686117801,104.923344226664,106.160550592397,107.501500264264,108.937834040866,110.460732794429,112.061002484817,113.729151964117,115.45546509236,117.230068500937,119.042995951031,120.884249904218,122.743860735032,124.611943744276,126.478753920078,128.334738408988,130.170586337537,131.977275777061,133.746117482057,135.468795146753,137.137401808086,138.744472345966,140.283011553113,141.746517934052,143.129003041819,144.425006356638,145.629605768232,146.738423695115,147.747629155163,148.653935809799,149.454596330841,150.147393315249,150.730627033654,151.203100402242,151.564101297427,151.813382774214,151.951141346089,151.977993707406,151.894952184823,151.703399218551,151.405061149154,151.001981572594,150.496494505653,149.891197584561,149.188925499144,148.392723843723,147.505823545591,146.531616011321,145.473629111485,144.33550410539,143.12097358942,141.833840535612,140.477958471372,139.057212836589,137.575503541161,136.036728733797,134.444769782193
5,0,2,0,0,527895.493723415,0,0.00965875606298693,0.0566363465813619,0.19330264452542,0.506873375768194,1.13236525245357,2.2792724892302,4.27610114155526,7.64178249538113,13.1991928737906,22.2549395742491,36.8831112448956,60.3704150130771,97.907679575429,157.647184094317,252.278444769249,400.159378823629,616.40183533584,905.671487972738,1265.63775682254,1690.05139623627,2170.75420489594,2698.96617303605,3266.08224759392,3864.13745024351,4486.04616088603,5125.69058536109,5777.90960484889,6438.4247740256,7103.73025060919,7770.96624660109,8437.79019262183,9102.25559316065,9762.70491337361,10417.6800494764,11065.8516005039,11705.9664521724,12336.8120277562,12957.1948204306,13565.9305330455,14161.8430998512,14743.7700656934,15310.5720855963,15861.1446893023,16394.4308279594,16909.4330921982,17405.2248190382,17880.9595795315,18335.8787691017,18769.3171982134,19180.7067108211,19569.5779507752,19935.5604544648,20278.3812816051,20597.8624100395,20893.9171188106,21166.5455736823,21415.829812167,21641.9283037602,21845.0702386304,22025.5496771485,22183.7196678278,22319.9864248389,22434.8036351848,22528.6669516455,22602.1087132718,22655.6929225263,22690.0104999846,22705.674827961,22703.3175887037,22683.584897292,22647.1337251365,22594.6286071663,22526.7386232,22444.1346424117,22347.4868187363,22237.4688940172,22114.8190796519,21980.3731198085,21835.0393649461,21679.7859630836,21515.6351263135,21343.6581596783,21164.9687764188,20980.7141493583,20792.0640183479,20600.1984917018,20406.2951994817,20211.5163733753,20016.9962831655,19823.8293401027,19633.059065223,19445.6680617636,19262.56906446,19084.5971270964,18912.502953545,18746.9474726501,18588.4976249746,18437.6234097098,18294.6962109559,18159.9884016802,18033.6742071264,17915.8317907731,17806.4464943337,17705.4151424867,17612.5513073208,17527.5913986249,17450.2014346655,17379.9843531953,17316.4876790952,17259.211428783,17207.616085299,17161.130512777,17119.1596888504,17081.0921445845,17046.3070390335,17014.1807693387,16984.0930801399,16955.4326277012,16927.6019785386,16900.0220285381,16872.1358365802,16843.4119038787,16813.3468951703,16781.4678415141,16747.3338502936,16710.5373557337,16670.7049587285,16627.4978649539,16580.6119941593,16529.7777751382,16474.7596724241,16415.3554773342,16351.3953979235,16282.7409789284,16209.2838811241,16130.9445470502,16047.6707777372,15959.4362427736,15866.2389437799,15768.0996492086,15665.0603162978,15557.1825140946,15444.5458596295,15327.2464776533,15205.3954928073,15079.1175616777,14948.5494509116,14813.83866641,14675.1421375742,14532.624959654
6,0,2,1,0,527895.493723415,0,0.00965875606298693,0.0566363465813619,0.19330264452542,0.506873375768194,1.13236525245357,2.2792724892302,4.27610114155526,7.64178249538113,13.1991928737906,22.2549395742491,36.8831112448956,60.3704150130771,97.907679575429,157.647184094317,252.278444769249,400.159378823629,616.40183533584,905.671487972738,1265.63775682254,1690.05139623627,2170.75420489594,2698.96617303605,3266.08224759392,3864.13745024351,4486.04616088603,5125.69058536109,5777.90960484889,6438.4247740256,7103.73025060919,7770.96624660109,8437.79019262183,9102.25559316065,9762.70491337361,10417.6800494764,11065.8516005039,11705.9664521724,12336.8120277562,12957.1948204306,13565.9305330455,14161.8430998512,14743.7700656934,15310.5720855963,15861.1446893023,16394.4308279594,16909.4330921982,17405.2248190382,17880.9595795315,18335.8787691017,18769.3171982134,19180.7067108211,19569.5779507752,19935.5604544648,20278.3812816051,20597.8624100395,20893.9171188106,21166.5455736823,21415.829812167,21641.9283037602,21845.0702386304,22025.5496771485,22183.7196678278,22319.9864248389,22434.8036351848,22528.6669516455,22602.1087132718,22655.6929225263,22690.0104999846,22705.674827961,22703.3175887037,22683.584897292,22647.1337251365,22594.6286071663,22526.7386232,22444.1346424117,22347.4868187363,22237.4688940172,22114.8190796519,21980.3731198085,21835.0393649461,21679.7859630836,21515.6351263135,21343.6581596783,21164.9687764188,20980.7141493583,20792.0640183479,20600.1984917018,20406.2951994817,20211.5163733753,20016.9962831655,19823.8293401027,19633.059065223,19445.6680617636,19262.56906446,19084.5971270964,18912.502953545,18746.9474726501,18588.4976249746,18437.6234097098,18294.6962109559,18159.9884016802,18033.6742071264,17915.8317907731,17806.4464943337,17705.4151424867,17612.5513073208,17527.5913986249,17450.2014346655,17379.9843531953,17316.4876790952,17259.211428783,17207.616085299,17161.130512777,17119.1596888504,17081.0921445845,17046.3070390335,17014.1807693387,16984.0930801399,16955.4326277012,16927.6019785386,16900.0220285381,16872.1358365802,16843.4119038787,16813.3468951703,16781.4678415141,16747.3338502936,16710.5373557337,16670.7049587285,16627.4978649539,16580.6119941593,16529.7777751382,16474.7596724241,16415.3554773342,16351.3953979235,16282.7409789284,16209.2838811241,16130.9445470502,16047.6707777372,15959.4362427736,15866.2389437799,15768.0996492086,15665.0603162978,15557.1825140946,15444.5458596295,15327.2464776533,15205.3954928073,15079.1175616777,14948.5494509116,14813.83866641,14675.1421375742,14532.624959654
7,0,2,0,1,171228.02725029,0,0.00828983271702415,0.0369222885218117,0.10026394371735,0.224536679323001,0.451902714981972,0.849014623093363,1.52136628263178,2.63636357463119,4.46004431060625,7.41527045553731,12.1736011617951,19.7994438754953,31.9740065174258,51.33774196563,82.0007204090692,129.908994421566,199.957260368347,293.656790614103,410.252832355488,547.721411378896,703.420259075731,874.505707467366,1058.19075371875,1251.89570709062,1453.32569014019,1660.49929211011,1871.74495692197,2085.67701430112,2301.16002868818,2517.26781105822,2733.2416901092,2948.45127454001,3162.35976008549,3374.49493177647,3584.42625584138,3791.74790277235,3996.06716871744,4196.99752253297,4394.15541239165,4587.15994918211,4775.63464903613,4959.21051040844,5137.52982474784,5310.25024048815,5477.04872059271,5637.62514018677,5791.70535971097,5939.04368353999,6079.4246709123,6212.66430806122,6338.61058047283,6457.1435030149,6568.17467657204,6671.646444346,6767.53072045564,6855.82756020875,6936.56353587131,7009.78997484244,7075.58110987221,7134.03218420031,7185.25754645806,7229.38876486091,7266.57278339275,7296.97013815503,7320.75324741345,7338.10478476726,7349.21614221485,7354.28598679661,7353.51891264409,7347.12418847799,7335.31459922833,7318.30537953608,7296.31323605924,7269.55545499132,7238.24909085569,7202.6123602754,7162.88436109606,7119.33578132542,7072.26082564045,7021.97306674203,6968.80358832771,6913.09937498745,6855.22114706682,6795.54046228102,6734.43618770086,6672.29054873095,6609.48496815648,6546.39588141367,6483.39066735687,6420.8237950303,6359.03325058901,6298.33728943895,6239.0315371711,6181.38645916674,6125.64520057028,6072.02182913397,6020.69997057552,5971.83185209326,5925.53776025972,5881.90591274546,5840.9927379696,5802.82355072494,5767.39360158837,5734.66947118948,5704.59077532372,5677.07213755048,5652.00538219584,5629.26190233241,5608.69514326989,5590.14316273266,5573.43121392907,5558.37430898823,5544.77972342718,5532.44940588798,5521.18226953286,5510.77633300408,5501.03069921545,5491.74735752989,5482.73280277623,5473.79946656737,5464.76695898129,5455.46313071334,5445.72495444785,5435.39923832731,5424.34317980819,5412.42477069268,5399.52306914174,5385.52834157535,5370.34209807006,5353.87702595069,5336.05683648941,5316.81603527922,5296.09962747593,5273.86276797496,5250.07036605333,5224.69665320747,5197.72472216454,5169.14604430338,5138.95997198473,5107.17323159346,5073.79941242074,5038.85845589208,5002.37614905536,4964.38362570045,4924.91687798365,4884.01628097059,4841.72613209785,4798.09420717835,4753.17133423806,4707.01098617135
8,0,2,1,1,171228.02725029,0,0.00828983271702415,0.0369222885218117,0.10026394371735,0.224536679323001,0.451902714981972,0.849014623093363,1.52136628263178,2.63636357463119,4.46004431060625,7.41527045553731,12.1736011617951,19.7994438754953,31.9740065174258,51.33774196563,82.0007204090692,129.908994421566,199.957260368347,293.656790614103,410.252832355488,547.721411378896,703.420259075731,874.505707467366,1058.19075371875,1251.89570709062,1453.32569014019,1660.49929211011,1871.74495692197,2085.67701430112,2301.16002868818,2517.26781105822,2733.2416901092,2948.45127454001,3162.35976008549,3374.49493177647,3584.42625584138,3791.74790277235,3996.06716871744,4196.99752253297,4394.15541239165,4587.15994918211,4775.63464903613,4959.21051040844,5137.52982474784,5310.25024048815,5477.04872059271,5637.62514018677,5791.70535971097,5939.04368353999,6079.4246709123,6212.66430806122,6338.61058047283,6457.1435030149,6568.17467657204,6671.646444346,6767.53072045564,6855.82756020875,6936.56353587131,7009.78997484244,7075.58110987221,7134.03218420031,7185.25754645806,7229.38876486091,7266.57278339275,7296.97013815503,7320.75324741345,7338.10478476726,7349.21614221485,7354.28598679661,7353.51891264409,7347.12418847799,7335.31459922833,7318.30537953608,7296.31323605924,7269.55545499132,7238.24909085569,7202.6123602754,7162.88436109606,7119.33578132542,7072.26082564045,7021.97306674203,6968.80358832771,6913.09937498745,6855.22114706682,6795.54046228102,6734.43618770086,6672.29054873095,6609.48496815648,6546.39588141367,6483.39066735687,6420.8237950303,6359.03325058901,6298.33728943895,6239.0315371711,6181.38645916674,6125.64520057028,6072.02182913397,6020.69997057552,5971.83185209326,5925.53776025972,5881.90591274546,5840.9927379696,5802.82355072494,5767.39360158837,5734.66947118948,5704.59077532372,5677.07213755048,5652.00538219584,5629.26190233241,5608.69514326989,5590.14316273266,5573.43121392907,5558.37430898823,5544.77972342718,5532.44940588798,5521.18226953286,5510.77633300408,5501.03069921545,5491.74735752989,5482.73280277623,5473.79946656737,5464.76695898129,5455.46313071334,5445.72495444785,5435.39923832731,5424.34317980819,5412.42477069268,5399.52306914174,5385.52834157535,5370.34209807006,5353.87702595069,5336.05683648941,5316.81603527922,5296.09962747593,5273.86276797496,5250.07036605333,5224.69665320747,5197.72472216454,5169.14604430338,5138.95997198473,5107.17323159346,5073.79941242074,5038.85845589208,5002.37614905536,4964.38362570045,4924.91687798365,4884.01628097059,4841.72613209785,4798.09420717835,4753.17133423806,4707.01098617135
9,11,2,0,0,292.1211864,0,0.0077057890416648,0.0283073942521586,0.059209018854336,0.0988538147416944,0.146280963447278,0.200867616147279,0.262191986962083,0.329978997909044,0.404107774756386,0.484674223670873,0.572114591988541,0.667408965143024,0.772398970788992,0.890271696734648,1.02627932158537,1.18826178849098,1.38263331117819,1.6111782826326,1.87264339623599,2.16411661515728,2.48190448666046,2.82208000157778,3.18081333724399,3.55455986345904,3.94015340248181,4.33483766641138,4.73625760405748,5.14242587374505,5.55167530754176,5.96260522701835,6.3740272792732,6.78491477848866,7.19435808976844,7.60152747573299,8.00564388546445,8.40595747249644,8.8017331554944,9.19224222982397,9.57675891676649,9.95456071278648,10.3249314809649,10.6871663422147,11.0405775791375,11.3845009173445,11.7183017018308,12.0413806214501,12.3531787485079,12.6531817569455,12.9409232572008,13.2159872418676,13.478009677396,13.7266793040838,13.9617377234611,14.1829788608993,14.3902478933799,14.5834397306965,14.7624971335381,14.9274085449839,15.0782057042132,15.214961103953,15.3377853437439,15.4468244251405,15.5422570264817,15.6242917893939,15.6931646432447,15.7491361882054,15.792489154109,15.8235259477262,15.8425662983467,15.8499450087835,15.8460098164804,15.8311193677067,15.805641306224,15.7699504765152,15.7244272406593,15.6694559249608,15.6054243558831,15.5327280334261,15.4517785348854,15.3630116043535,15.2668924845965,15.1639179314421,15.0546152440116,14.9395389559226,14.819265894528,14.6943892264096,14.5655119891305,14.4332404834488,14.2981777868192,14.1609175650075,14.0220382902171,13.8820979377508,13.741629197154,13.6011352246565,13.4610859361953,13.3219148835449,13.1840166933903,13.0477450872586,12.9134114869681,12.7812842022428,12.6515881903599,12.5245053712891,12.4001754687613,12.2786973396666,12.1601307485983,12.0444985319252,11.9317890913047,11.8219591597185,11.7149367615788,11.6106243190933,11.5089018340145,11.4096300894884,11.3126538191798,11.2178047965868,11.1249048096561,11.0337684799543,10.9442059047295,10.8560251014369,10.769034242363,10.6830436699977,10.5978676873161,10.5133261317399,10.4292457288366,10.3454612385427,10.261816401984,10.1781647001229,10.0943699422187,10.0103066859517,9.92586051753174,9.84092819659717,9.75541768372377,9.66924806312471,9.58234937415041,9.49466236390643,9.40613817280648,9.31673796398487,9.22643250665906,9.13520172268201,9.04303420467098,8.94992671327639,8.85588366034742,8.76091658399985,8.66504362086737,8.56828898014828,8.47068242343856,8.37225875376502,8.27305731670835,8.17312151602711,8.07249834575969,7.97123794039203
10,11,2,0,1,67.8788136,0,0.00765181967879178,0.0276709641724216,0.0564980184058263,0.0914598397746681,0.130542424342443,0.172229221573998,0.215386169826839,0.259181184688493,0.303030521186259,0.346568088216262,0.389637116122281,0.432306850487415,0.474920706939571,0.518186556026909,0.563323948784666,0.6121699671027,0.666264252970601,0.726118619264315,0.791570278108418,0.862088284848772,0.936967871852649,1.01545130859931,1.09680046210113,1.18033769840082,1.26546584219638,1.35167453032374,1.43853778906768,1.52570620921925,1.61289612251805,1.69987751452522,1.78646192223567,1.87249119093698,1.95782764328955,2.04234596562474,2.12592690755609,2.20845273735163,2.28980429086148,2.36985938467841,2.44849233814981,2.52557434446293,2.60097444991001,2.67456092716199,2.7462028639681,2.81577182339877,2.88314346655004,2.94819905944096,3.01082681173834,3.07092301684982,3.12839297986075,3.18315173250633,3.235124543696,3.28424724022741,3.33046635614432,3.37373913116449,3.41403337907028,3.45132724656768,3.4856088820132,3.51687603182453,3.54513558062308,3.57040304949444,3.59270206458577,3.61206380690005,3.62852645219544,3.64213460864637,3.6529387585554,3.66099470911998,3.66636305646237,3.66910866606979,3.66930017215861,3.66700949783306,3.662311397336,3.65528302129043,3.64600350545616,3.6345535832148,3.6210152217554,3.60547128578409,3.58800544523683,3.56870312790827,3.54765342482773,3.52495092363742,3.50069691874229,3.47499987205822,3.44797519964995,3.41974452987701,3.39043459263527,3.36017587922857,3.32910118573329,3.29734412433486,3.26503766152933,3.23231272313335,3.19929689060414,3.16611320495579,3.13287908642541,3.09970537597032,3.06669549847528,3.03394475727777,3.00153975550549,2.9695579482843,2.9380673268911,2.90712623411619,2.87678330856788,2.84707755420417,2.81803852843791,2.78968664034671,2.76203354925804,2.7350826511734,2.70882963948728,2.68326312716808,2.65836531271272,2.63411267909424,2.61047670972122,2.58742460894244,2.56492001518518,2.54292369610938,2.52139421790967,2.5002885795787,2.47956280724537,2.45917250398302,2.43907335229955,2.41922156720188,2.39957429851963,2.38008998446575,2.36072865554751,2.34145219171179,2.32222453454629,2.30301185707094,2.28378269517509,2.26450804112126,2.24516140550027,2.22571884872431,2.20615898607613,2.18646296915241,2.16661444677071,2.14659950811823,2.12640661080734,2.10602649630183,2.08545209498923,2.06467842298285,2.04370247254478,2.02252309783512,2.00114089751092,1.97955809552874,1.95777842134139,1.9358069905283,1.91365018675912,1.89131554585961,1.86881164263115,1.84614798096661,1.82333488770809,1.8003834106036
