"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.0107029721309617,0.0719514427290323,0.267710061380935,0.740996685119674,1.7199005693528,3.56719266076791,6.86171729666545,12.5283233920083,22.044196379542,37.7655540486469,63.443089777129,105.029974815867,171.935247750625,278.935393168322,449.010680079638,715.334803175236,1105.00102088439,1625.94204462784,2273.25128625776,3034.83905195039,3895.14155167791,4837.50323738433,5845.65387906043,6904.57123266146,8000.92480951005,9123.24018007617,10261.8792468461,11408.904844535,12557.8791207341,13703.6314860424,14842.0217575355,15969.7163177748,17083.9885243299,18182.549664976,19263.4126694498,20324.7878477453,21365.0079457124,22382.4785417473,23375.6493099305,24343.0015722033,25283.0478820659,26194.3398463257,27075.4810140064,27925.1422704306,28742.0777851626,29525.1401036217,30273.2934262747,30985.6245027193,31661.3508638954,32299.8263365883,32900.5439456626,33463.1364144512,33987.3745380093,34473.1637361344,34920.5390993623,35329.6592326363,35700.7991808434,36034.3426922887,36330.7740454013,36590.6696348031,36814.6894773458,37003.5687751256,37158.1096417673,37279.1730777971,37367.6712598178,37424.5601893523,37450.8327350656,37447.5120877493,37415.6456388345,37356.2992848735,37270.5521539315,37159.4917454754,37024.2094713536,36865.7965828949,36685.3404674103,36483.9212270167,36262.6089363352,36022.4605191033,35764.5176119015,35489.8043927029,35199.3256217958,34894.065101522,34574.9842036485,34243.0206793204,33899.0876416085,33544.0727253106,33178.8374121661,32804.2165021152,32421.0177222185,32030.0214604681,31631.9806172242,31227.6205524476,30817.639132322,30402.7068599558,29983.4670812048,29560.5362590501,29134.5043089266,28705.9349876202,28275.3663300511,27843.3111274261,27410.2574415262,26976.6691499432,26542.9865175845,26109.6267901044,25676.9848052703,25245.433618603,24815.3251399307,24386.9907777912,23960.7420888853,23536.871430036,23115.6526103528,22697.3415415159,22282.1768843059,21870.3806897013,21462.1590330427,21057.7026399174,20657.1875026017,20260.7754860251,19868.6149225482,19480.841194326,19097.5773029353,18718.9344257129,18345.0124582705,17975.9005428152,17611.6775820022,17252.4127381053,16898.1659173595,16548.9882393895,16204.9224916957,15866.0035692179,15532.2588990424,15203.7088503578,14880.367129802,14562.241162373,14249.332458107,13941.6369647487,13639.1454066621,13341.8436102499,13049.712816162,12762.7299785895,12480.8680519528,12204.0962652964,11932.380384717,11665.68296415,11403.9635848487,11147.1790838904,10895.2837720427,10648.2296413289,10405.9665626233,10168.4424736109
2,0,1,1,0,818021.22396571,0,0.0107029721309617,0.0719514427290323,0.267710061380935,0.740996685119674,1.7199005693528,3.56719266076791,6.86171729666545,12.5283233920083,22.044196379542,37.7655540486469,63.443089777129,105.029974815867,171.935247750625,278.935393168322,449.010680079638,715.334803175236,1105.00102088439,1625.94204462784,2273.25128625776,3034.83905195039,3895.14155167791,4837.50323738433,5845.65387906043,6904.57123266146,8000.92480951005,9123.24018007617,10261.8792468461,11408.904844535,12557.8791207341,13703.6314860424,14842.0217575355,15969.7163177748,17083.9885243299,18182.549664976,19263.4126694498,20324.7878477453,21365.0079457124,22382.4785417473,23375.6493099305,24343.0015722033,25283.0478820659,26194.3398463257,27075.4810140064,27925.1422704306,28742.0777851626,29525.1401036217,30273.2934262747,30985.6245027193,31661.3508638954,32299.8263365883,32900.5439456626,33463.1364144512,33987.3745380093,34473.1637361344,34920.5390993623,35329.6592326363,35700.7991808434,36034.3426922887,36330.7740454013,36590.6696348031,36814.6894773458,37003.5687751256,37158.1096417673,37279.1730777971,37367.6712598178,37424.5601893523,37450.8327350656,37447.5120877493,37415.6456388345,37356.2992848735,37270.5521539315,37159.4917454754,37024.2094713536,36865.7965828949,36685.3404674103,36483.9212270167,36262.6089363352,36022.4605191033,35764.5176119015,35489.8043927029,35199.3256217958,34894.065101522,34574.9842036485,34243.0206793204,33899.0876416085,33544.0727253106,33178.8374121661,32804.2165021152,32421.0177222185,32030.0214604681,31631.9806172242,31227.6205524476,30817.639132322,30402.7068599558,29983.4670812048,29560.5362590501,29134.5043089266,28705.9349876202,28275.3663300511,27843.3111274261,27410.2574415262,26976.6691499432,26542.9865175845,26109.6267901044,25676.9848052703,25245.433618603,24815.3251399307,24386.9907777912,23960.7420888853,23536.871430036,23115.6526103528,22697.3415415159,22282.1768843059,21870.3806897013,21462.1590330427,21057.7026399174,20657.1875026017,20260.7754860251,19868.6149225482,19480.841194326,19097.5773029353,18718.9344257129,18345.0124582705,17975.9005428152,17611.6775820022,17252.4127381053,16898.1659173595,16548.9882393895,16204.9224916957,15866.0035692179,15532.2588990424,15203.7088503578,14880.367129802,14562.241162373,14249.332458107,13941.6369647487,13639.1454066621,13341.8436102499,13049.712816162,12762.7299785895,12480.8680519528,12204.0962652964,11932.380384717,11665.68296415,11403.9635848487,11147.1790838904,10895.2837720427,10648.2296413289,10405.9665626233,10168.4424736109
3,0,1,0,1,2335.27250675705,0,0.00766821088992707,0.027696477121851,0.0564833112276873,0.0914375951954678,0.130888465338794,0.174093142772834,0.221360435525959,0.274333102064593,0.336504768374004,0.414093671819141,0.517465741088518,0.663400973105382,0.878637238778614,1.20529697298311,1.70895578352648,2.48430055709343,3.60871038859974,5.10494741297798,6.95917487072327,9.13708037946076,11.5944479608089,14.2839480127859,17.1593467051821,20.1779640211088,23.3019378209694,26.498691419029,29.7408767214651,33.0059877811177,36.2757857285326,39.535637086488,42.7738384978651,45.9809786571531,49.1493694584446,52.2725642913159,55.3449697735452,58.3615488267613,61.3176073598118,64.2086532140347,67.030314605011,69.7783050037456,72.4484223135911,75.0365715233819,77.5388017933222,79.9513506670766,82.2706898453505,84.4935684996432,86.6170514000295,88.6385502243215,90.5558472599627,92.3671113401013,94.0709063152435,95.6661926613043,97.1523230082075,98.5290324649887,99.7964246353361,100.954954193206,102.005406829671,102.94887730193,103.786746227596,104.520656184225,105.152487572663,105.684334635508,106.11848193432,106.45738153083,106.703631057166,106.859952806325,106.929173939462,106.914207865642,106.818036825132,106.643695683538,106.394256925502,106.072816824294,105.682482752164,105.226361589031,104.707549182058,104.129120608394,103.494122369831,102.805563502605,102.066409496599,101.279576114321,100.447923814279,99.5742533664214,98.6613016600671,97.711738316173,96.7281627909045,95.7131019837825,94.6690083167182,93.5982582288163,92.5031510630876,91.3859083087296,90.248673178302,89.0935104576555,87.9224066388474,86.7372702924633,85.539932653846,84.3321484045321,83.1155966272572,81.8918819135047,80.6625356074252,79.4290171675688,78.1927156315277,76.9549511687242,75.7169767080119,74.4799796277317,73.2450834968498,72.0133498567596,70.7857800341712,69.5633169763616,68.3468471008206,67.1372021520406,65.9351610588974,64.741451786686,63.5567531784689,62.3816967809604,61.2168686506701,60.0628111364712,58.9200246352799,57.7889693178984,56.6700668230002,55.5637019157605,54.4702241102161,53.3899492537783,52.3231610723755,51.2701126751706,50.2310280180713,49.2061033254249,48.1955084694785,47.1993883073631,46.2178639755169,45.2510341416065,44.2989762141321,43.3617475100171,42.4393863805866,41.5319132964292,40.6393318917152,39.7616299686185,38.8987804625469,38.0507423689407,37.2174616324438,36.3988719992902,35.5948958337794,34.8054448997404,34.0304211079054,33.269717230126,32.523217581381,31.7907986705243,31.0723298207332,30.3676737606071,29.6766871868734,28.9992212996429
4,0,1,1,1,2335.27250675705,0,0.00766821088992707,0.027696477121851,0.0564833112276873,0.0914375951954678,0.130888465338794,0.174093142772834,0.221360435525959,0.274333102064593,0.336504768374004,0.414093671819141,0.517465741088518,0.663400973105382,0.878637238778614,1.20529697298311,1.70895578352648,2.48430055709343,3.60871038859974,5.10494741297798,6.95917487072327,9.13708037946076,11.5944479608089,14.2839480127859,17.1593467051821,20.1779640211088,23.3019378209694,26.498691419029,29.7408767214651,33.0059877811177,36.2757857285326,39.535637086488,42.7738384978651,45.9809786571531,49.1493694584446,52.2725642913159,55.3449697735452,58.3615488267613,61.3176073598118,64.2086532140347,67.030314605011,69.7783050037456,72.4484223135911,75.0365715233819,77.5388017933222,79.9513506670766,82.2706898453505,84.4935684996432,86.6170514000295,88.6385502243215,90.5558472599627,92.3671113401013,94.0709063152435,95.6661926613043,97.1523230082075,98.5290324649887,99.7964246353361,100.954954193206,102.005406829671,102.94887730193,103.786746227596,104.520656184225,105.152487572663,105.684334635508,106.11848193432,106.45738153083,106.703631057166,106.859952806325,106.929173939462,106.914207865642,106.818036825132,106.643695683538,106.394256925502,106.072816824294,105.682482752164,105.226361589031,104.707549182058,104.129120608394,103.494122369831,102.805563502605,102.066409496599,101.279576114321,100.447923814279,99.5742533664214,98.6613016600671,97.711738316173,96.7281627909045,95.7131019837825,94.6690083167182,93.5982582288163,92.5031510630876,91.3859083087296,90.248673178302,89.0935104576555,87.9224066388474,86.7372702924633,85.539932653846,84.3321484045321,83.1155966272572,81.8918819135047,80.6625356074252,79.4290171675688,78.1927156315277,76.9549511687242,75.7169767080119,74.4799796277317,73.2450834968498,72.0133498567596,70.7857800341712,69.5633169763616,68.3468471008206,67.1372021520406,65.9351610588974,64.741451786686,63.5567531784689,62.3816967809604,61.2168686506701,60.0628111364712,58.9200246352799,57.7889693178984,56.6700668230002,55.5637019157605,54.4702241102161,53.3899492537783,52.3231610723755,51.2701126751706,50.2310280180713,49.2061033254249,48.1955084694785,47.1993883073631,46.2178639755169,45.2510341416065,44.2989762141321,43.3617475100171,42.4393863805866,41.5319132964292,40.6393318917152,39.7616299686185,38.8987804625469,38.0507423689407,37.2174616324438,36.3988719992902,35.5948958337794,34.8054448997404,34.0304211079054,33.269717230126,32.523217581381,31.7907986705243,31.0723298207332,30.3676737606071,29.6766871868734,28.9992212996429
5,0,2,0,0,527895.493723415,0,0.00965875606298693,0.0566363465813619,0.19330264452542,0.506873375768194,1.13236525245357,2.2792724892302,4.27610114155526,7.64178249538113,13.1991928737906,22.2549395742491,36.8831112448956,60.3704150130771,97.907679575429,157.647184094317,252.278444769249,400.159378823629,616.40183533584,905.671487972738,1265.63775682254,1690.05139623627,2170.75420489594,2698.96617303605,3266.08224759392,3864.13745024351,4486.04616088603,5125.69058536109,5777.90960484889,6438.4247740256,7103.73025060919,7770.96624660109,8437.79019262183,9102.25559316065,9762.70491337361,10417.6800494764,11065.8516005039,11705.9664521724,12336.8120277562,12957.1948204306,13565.9305330455,14161.8430998512,14743.7700656934,15310.5720855963,15861.1446893023,16394.4308279594,16909.4330921982,17405.2248190382,17880.9595795315,18335.8787691017,18769.3171982134,19180.7067108211,19569.5779507752,19935.5604544648,20278.3812816051,20597.8624100395,20893.9171188106,21166.5455736823,21415.829812167,21641.9283037602,21845.0702386304,22025.5496771485,22183.7196678278,22319.9864248389,22434.8036351848,22528.6669516455,22602.1087132718,22655.6929225263,22690.0104999846,22705.674827961,22703.3175887037,22683.584897292,22647.1337251365,22594.6286071663,22526.7386232,22444.1346424117,22347.4868187363,22237.4622814929,22114.7232650303,21979.92502028,21833.7143511591,21676.7281473418,21509.5920537646,21332.9194216267,21147.3103027597,20953.3506327955,20751.6115286328,20542.6487033654,20327.0019906294,20105.1949654065,19877.7346556401,19645.1113361365,19407.7983998903,19166.2522923885,18920.9125112583,18672.201661142,18420.5255578985,18166.2733778393,17909.8178470041,17651.5154656558,17391.7067642899,17130.7165869126,16868.8543981883,16606.4146110923,16343.6769320343,16080.9067206481,15818.3553616636,15556.2606465032,15294.847162432,15034.3266872885,14774.8985879951,14516.7502212088,14260.0573346333,14004.9844676501,13751.6853500631,13500.3032978775,13250.9716051456,13003.8139310135,12758.9446812176,12516.4693833646,12276.4850555205,12039.0805673448,11804.336993536,11572.3279592265,11343.1199769839,11116.7727751706,10893.3396174787,10672.8676134923,10455.3980201755,10240.9665342217,10029.6035752339,9821.33455974144,9616.18016608185,9414.15659020678,9215.27579249121,9019.54573564616,8826.97061385325,8637.55107325513,8451.2844239495,8268.16484364636,8088.18357315844,7911.3291039034,7737.58735760329,7566.94185837323,7399.37389739524,7234.86269037743,7073.38552800075,6914.91791955774,6759.43372998809,6606.90531051639,6457.30362309669,6310.59835886734
6,0,2,1,0,527895.493723415,0,0.00965875606298693,0.0566363465813619,0.19330264452542,0.506873375768194,1.13236525245357,2.2792724892302,4.27610114155526,7.64178249538113,13.1991928737906,22.2549395742491,36.8831112448956,60.3704150130771,97.907679575429,157.647184094317,252.278444769249,400.159378823629,616.40183533584,905.671487972738,1265.63775682254,1690.05139623627,2170.75420489594,2698.96617303605,3266.08224759392,3864.13745024351,4486.04616088603,5125.69058536109,5777.90960484889,6438.4247740256,7103.73025060919,7770.96624660109,8437.79019262183,9102.25559316065,9762.70491337361,10417.6800494764,11065.8516005039,11705.9664521724,12336.8120277562,12957.1948204306,13565.9305330455,14161.8430998512,14743.7700656934,15310.5720855963,15861.1446893023,16394.4308279594,16909.4330921982,17405.2248190382,17880.9595795315,18335.8787691017,18769.3171982134,19180.7067108211,19569.5779507752,19935.5604544648,20278.3812816051,20597.8624100395,20893.9171188106,21166.5455736823,21415.829812167,21641.9283037602,21845.0702386304,22025.5496771485,22183.7196678278,22319.9864248389,22434.8036351848,22528.6669516455,22602.1087132718,22655.6929225263,22690.0104999846,22705.674827961,22703.3175887037,22683.584897292,22647.1337251365,22594.6286071663,22526.7386232,22444.1346424117,22347.4868187363,22237.4622814929,22114.7232650303,21979.92502028,21833.7143511591,21676.7281473418,21509.5920537646,21332.9194216267,21147.3103027597,20953.3506327955,20751.6115286328,20542.6487033654,20327.0019906294,20105.1949654065,19877.7346556401,19645.1113361365,19407.7983998903,19166.2522923885,18920.9125112583,18672.201661142,18420.5255578985,18166.2733778393,17909.8178470041,17651.5154656558,17391.7067642899,17130.7165869126,16868.8543981883,16606.4146110923,16343.6769320343,16080.9067206481,15818.3553616636,15556.2606465032,15294.847162432,15034.3266872885,14774.8985879951,14516.7502212088,14260.0573346333,14004.9844676501,13751.6853500631,13500.3032978775,13250.9716051456,13003.8139310135,12758.9446812176,12516.4693833646,12276.4850555205,12039.0805673448,11804.336993536,11572.3279592265,11343.1199769839,11116.7727751706,10893.3396174787,10672.8676134923,10455.3980201755,10240.9665342217,10029.6035752339,9821.33455974144,9616.18016608185,9414.15659020678,9215.27579249121,9019.54573564616,8826.97061385325,8637.55107325513,8451.2844239495,8268.16484364636,8088.18357315844,7911.3291039034,7737.58735760329,7566.94185837323,7399.37389739524,7234.86269037743,7073.38552800075,6914.91791955774,6759.43372998809,6606.90531051639,6457.30362309669,6310.59835886734
7,0,2,0,1,171228.02725029,0,0.00828983271702415,0.0369222885218117,0.10026394371735,0.224536679323001,0.451902714981972,0.849014623093363,1.52136628263178,2.63636357463119,4.46004431060625,7.41527045553731,12.1736011617951,19.7994438754953,31.9740065174258,51.33774196563,82.0007204090692,129.908994421566,199.957260368347,293.656790614103,410.252832355488,547.721411378896,703.420259075731,874.505707467366,1058.19075371875,1251.89570709062,1453.32569014019,1660.49929211011,1871.74495692197,2085.67701430112,2301.16002868818,2517.26781105822,2733.2416901092,2948.45127454001,3162.35976008549,3374.49493177647,3584.42625584138,3791.74790277235,3996.06716871744,4196.99752253297,4394.15541239165,4587.15994918211,4775.63464903613,4959.21051040844,5137.52982474784,5310.25024048815,5477.04872059271,5637.62514018677,5791.70535971097,5939.04368353999,6079.4246709123,6212.66430806122,6338.61058047283,6457.1435030149,6568.17467657204,6671.646444346,6767.53072045564,6855.82756020875,6936.56353587131,7009.78997484244,7075.58110987221,7134.03218420031,7185.25754645806,7229.38876486091,7266.57278339275,7296.97013815503,7320.75324741345,7338.10478476726,7349.21614221485,7354.28598679661,7353.51891264409,7347.12418847799,7335.31459922833,7318.30537953608,7296.31323605924,7269.55545499132,7238.24909085569,7202.61021852822,7162.8533274532,7119.19064522221,7071.83166353313,7020.9826629734,6966.84628208938,6909.62117762817,6849.50169882659,6786.67762284915,6721.33392724595,6653.65060045527,6583.8024877452,6511.95916839639,6438.28486229807,6362.93836319494,6286.07299701108,6207.8366005718,6128.37152148947,6047.81463593696,5966.29738239709,5883.94580999853,5800.88063981991,5717.21733760106,5633.06619666148,5548.53242965088,5463.71626803058,5378.71306819642,5293.61342326043,5208.50327958229,5123.46405721471,5038.57277349787,4953.90216910081,4869.52083587021,4785.49334590333,4701.88038131429,4618.7388642144,4536.12208647208,4454.07983886176,4372.65853925204,4291.90135952025,4211.84835091247,4132.53656760584,4054.00018825774,3976.27063538728,3899.37669234299,3823.34461777952,3748.19825752732,3673.95915374353,3600.64665126402,3528.27800109702,3456.86846101088,3386.43139318265,3316.97835888659,3248.5192102133,3181.06217882045,3114.61396172516,3049.17980415664,2984.76357949488,2921.36786632793,2858.99402266597,2797.64225735569,2737.31169874276,2678.00046063409,2619.70570561497,2562.42370577891,2506.14990093027,2450.87895432176,2396.60480599052,2343.32072375722,2291.01935195417,2239.69275794817,2189.33247652478,2139.9295522004,2091.47457952839,2043.95774146522
8,0,2,1,1,171228.02725029,0,0.00828983271702415,0.0369222885218117,0.10026394371735,0.224536679323001,0.451902714981972,0.849014623093363,1.52136628263178,2.63636357463119,4.46004431060625,7.41527045553731,12.1736011617951,19.7994438754953,31.9740065174258,51.33774196563,82.0007204090692,129.908994421566,199.957260368347,293.656790614103,410.252832355488,547.721411378896,703.420259075731,874.505707467366,1058.19075371875,1251.89570709062,1453.32569014019,1660.49929211011,1871.74495692197,2085.67701430112,2301.16002868818,2517.26781105822,2733.2416901092,2948.45127454001,3162.35976008549,3374.49493177647,3584.42625584138,3791.74790277235,3996.06716871744,4196.99752253297,4394.15541239165,4587.15994918211,4775.63464903613,4959.21051040844,5137.52982474784,5310.25024048815,5477.04872059271,5637.62514018677,5791.70535971097,5939.04368353999,6079.4246709123,6212.66430806122,6338.61058047283,6457.1435030149,6568.17467657204,6671.646444346,6767.53072045564,6855.82756020875,6936.56353587131,7009.78997484244,7075.58110987221,7134.03218420031,7185.25754645806,7229.38876486091,7266.57278339275,7296.97013815503,7320.75324741345,7338.10478476726,7349.21614221485,7354.28598679661,7353.51891264409,7347.12418847799,7335.31459922833,7318.30537953608,7296.31323605924,7269.55545499132,7238.24909085569,7202.61021852822,7162.8533274532,7119.19064522221,7071.83166353313,7020.9826629734,6966.84628208938,6909.62117762817,6849.50169882659,6786.67762284915,6721.33392724595,6653.65060045527,6583.8024877452,6511.95916839639,6438.28486229807,6362.93836319494,6286.07299701108,6207.8366005718,6128.37152148947,6047.81463593696,5966.29738239709,5883.94580999853,5800.88063981991,5717.21733760106,5633.06619666148,5548.53242965088,5463.71626803058,5378.71306819642,5293.61342326043,5208.50327958229,5123.46405721471,5038.57277349787,4953.90216910081,4869.52083587021,4785.49334590333,4701.88038131429,4618.7388642144,4536.12208647208,4454.07983886176,4372.65853925204,4291.90135952025,4211.84835091247,4132.53656760584,4054.00018825774,3976.27063538728,3899.37669234299,3823.34461777952,3748.19825752732,3673.95915374353,3600.64665126402,3528.27800109702,3456.86846101088,3386.43139318265,3316.97835888659,3248.5192102133,3181.06217882045,3114.61396172516,3049.17980415664,2984.76357949488,2921.36786632793,2858.99402266597,2797.64225735569,2737.31169874276,2678.00046063409,2619.70570561497,2562.42370577891,2506.14990093027,2450.87895432176,2396.60480599052,2343.32072375722,2291.01935195417,2239.69275794817,2189.33247652478,2139.9295522004,2091.47457952839,2043.95774146522
9,11,2,0,0,292.1211864,0,0.0077057890416648,0.0283073942521586,0.059209018854336,0.0988538147416944,0.146280963447278,0.200867616147279,0.262191986962083,0.329978997909044,0.404107774756386,0.484674223670873,0.572114591988541,0.667408965143024,0.772398970788992,0.890271696734648,1.02627932158537,1.18826178849098,1.38263331117819,1.6111782826326,1.87264339623599,2.16411661515728,2.48190448666046,2.82208000157778,3.18081333724399,3.55455986345904,3.94015340248181,4.33483766641138,4.73625760405748,5.14242587374505,5.55167530754176,5.96260522701835,6.3740272792732,6.78491477848866,7.19435808976844,7.60152747573299,8.00564388546445,8.40595747249644,8.8017331554944,9.19224222982397,9.57675891676649,9.95456071278648,10.3249314809649,10.6871663422147,11.0405775791375,11.3845009173445,11.7183017018308,12.0413806214501,12.3531787485079,12.6531817569455,12.9409232572008,13.2159872418676,13.478009677396,13.7266793040838,13.9617377234611,14.1829788608993,14.3902478933799,14.5834397306965,14.7624971335381,14.9274085449839,15.0782057042132,15.214961103953,15.3377853437439,15.4468244251405,15.5422570264817,15.6242917893939,15.6931646432447,15.7491361882054,15.792489154109,15.8235259477262,15.8425662983467,15.8499450087835,15.8460098164804,15.8311193677067,15.805641306224,15.7699504765152,15.7244272406593,15.6694558819595,15.6054232431758,15.532717222851,15.4517256176961,15.3628349663829,15.2664294485478,15.1628899707492,15.0525932597226,14.9359110777395,14.8132095081133,14.6848483164299,14.55118038433,14.4125512091672,14.2692984673091,14.121751636842,13.9702316777274,13.8150507604768,13.6565120458584,13.4949095095534,13.3305278082742,13.1636421847651,12.9945184086786,12.8234127502312,12.6505719842136,12.4762334215334,12.3006249659398,12.1239651935588,11.9464634530404,11.7683199842389,11.5897260534593,11.4108641034271,11.2319079162511,11.0530227877554,10.8743657116681,10.6960855722511,10.5183233440563,10.3412122975872,10.1648782097333,9.98943957793095,9.81500783708668,9.64168757837604,9.46957676909376,9.29876697286178,9.12934356940053,8.96138597341179,8.79496785188519,8.63015733935909,8.46701725071545,8.305605291083,8.14597426249785,7.98817226700743,7.83224290594262,7.67822547512047,7.52615515577364,7.37606320103438,7.22797711783008,7.08192084407417,6.93791492106136,6.79597666099848,6.6561203096234,6.51835720388351,6.38269592466243,6.24914244455968,6.11770027074201,5.98837058289815,5.86115236634042,5.73604254030645,5.61303608152429,5.49212614311143,5.3733041688861,5.25656000317504,5.1418819962075,5.02925710518968,4.91867099115791,4.81010811171178
10,11,2,0,1,67.8788136,0,0.00765181967879178,0.0276709641724216,0.0564980184058263,0.0914598397746681,0.130542424342443,0.172229221573998,0.215386169826839,0.259181184688493,0.303030521186259,0.346568088216262,0.389637116122281,0.432306850487415,0.474920706939571,0.518186556026909,0.563323948784666,0.6121699671027,0.666264252970601,0.726118619264315,0.791570278108418,0.862088284848772,0.936967871852649,1.01545130859931,1.09680046210113,1.18033769840082,1.26546584219638,1.35167453032374,1.43853778906768,1.52570620921925,1.61289612251805,1.69987751452522,1.78646192223567,1.87249119093698,1.95782764328955,2.04234596562474,2.12592690755609,2.20845273735163,2.28980429086148,2.36985938467841,2.44849233814981,2.52557434446293,2.60097444991001,2.67456092716199,2.7462028639681,2.81577182339877,2.88314346655004,2.94819905944096,3.01082681173834,3.07092301684982,3.12839297986075,3.18315173250633,3.235124543696,3.28424724022741,3.33046635614432,3.37373913116449,3.41403337907028,3.45132724656768,3.4856088820132,3.51687603182453,3.54513558062308,3.57040304949444,3.59270206458577,3.61206380690005,3.62852645219544,3.64213460864637,3.6529387585554,3.66099470911998,3.66636305646237,3.66910866606979,3.66930017215861,3.66700949783306,3.662311397336,3.65528302129043,3.64600350545616,3.6345535832148,3.6210152217554,3.60547127635057,3.58800519449012,3.56870068942753,3.54764148757038,3.52491107625468,3.50059246303418,3.47476797541953,3.44751906197089,3.41892611979729,3.38906833720497,3.35802355274585,3.32586813000944,3.29267684673705,3.25852279779459,3.22347731110323,3.18760987612096,3.15098808294443,3.11367757258822,3.07574199712863,3.03724298895998,2.99824013860516,2.95879098043096,2.9189509855957,2.87877356170196,2.83831005854047,2.79760977941191,2.75671999750901,2.71568597687778,2.67455099750236,2.63335638408221,2.59214153809663,2.55094397277632,2.50979935062435,2.46874152315297,2.42780257252429,2.38701285480405,2.34640104455864,2.30599418054457,2.2658177122587,2.22589554713516,2.18625009819222,2.1469023319458,2.10787181643552,2.06917676918526,2.03083410499945,1.99285948344005,1.95526735587949,1.91807101203554,1.88128262589293,1.84491330093257,1.80897311459801,1.77347116193687,1.73841559836365,1.70381368149769,1.66967181203708,1.63599557363593,1.60278977175813,1.57005847148666,1.53780503427218,1.5060321536096,1.47474188963537,1.4439357026423,1.41361448551197,1.38377859506846,1.35442788235937,1.32556172187339,1.2971790397054,1.26927834068251,1.24185773446631,1.21491496064783,1.18844741285357,1.162452161882,1.13692597789079,1.11186535165631,1.0872665149273
