"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.319900780616942,1.23654791965832,2.80252187074855,5.20463403336015,8.77287244437107,14.025169325847,21.749817865652,33.1371591873341,49.982061790996,74.991087262131,112.245192879856,167.891158722596,251.164721590731,375.880269085601,562.547039835689,839.601780842378,1229.7179882381,1739.29593549746,2363.98449862372,3093.52339064784,3914.8974440369,4814.34716870442,5778.60038920376,6795.57403147569,7854.71275195272,8947.08335554111,10065.3077677048,11203.3957683439,12356.5232826911,13520.7905651958,14692.9853351482,15870.368129457,17050.4901857748,18231.0487784752,19409.7805083735,20584.3899471092,21752.5091151691,22911.6822433228,24059.370064651,25192.9681339177,26309.8342959365,27407.3212197829,28482.8107205103,29533.7474247856,30557.6700169121,31552.2389362762,32515.2598788404,33444.7028384817,34338.7167061165,35195.6396413281,36014.0055588735,36792.547145783,37530.1958579741,38226.079345871,38879.5167449688,39490.0122338301,40057.2472259754,40581.0715205564,41061.4936960264,41498.6709904669,41892.8988757698,42244.6004984487,42554.3161303233,42822.6927456433,43050.4738175277,43238.4894083857,43387.6466113783,43498.9203848652,43573.3448115396,43612.0048033834,43616.0282650153,43586.5787216704,43524.8484124747,43432.0518449828,43309.4198036502,43158.5230737379,42984.311081525,42796.1560270108,42605.4729933227,42424.0160702479,42262.8816988895,42131.9633419475,42039.6917283558,41992.9510522617,41997.1007601471,42056.0582877645,42172.4122425051,42347.549261314,42581.782896287,42874.4783487438,43224.1696576099,43628.6678054389,44085.15976146,44590.2983662686,45140.2842614459,45730.9407981519,46357.7826882523,47016.0794125287,47700.9141199601,48407.2386438551,49129.925047197,49863.8140425198,50603.760441748,51344.6757201128,52081.5676448102,52809.5769307799,53524.0108004595,54220.373338818,54894.3925153949,55542.0437863957,56159.5703228824,56743.4995712598,57290.6564645843,57798.173177358,58263.495569047,58684.3864473644,59058.925848364,59385.5084757947,59662.8385993165,59889.9226029414,60066.0594534265,60190.8293662905,60264.0808938816,60285.9167184487,60256.6784111544,60176.9303782667,60047.443233611,59869.1768075202,59643.2629897939,59370.9885847299,59053.7783386652,58693.1782815675,58290.8395058079,57848.502487322,57367.9820371149,56851.1529546972,56299.9364397542,55716.2873041951,55102.1820137736,54459.6075767789,53790.551286836,53096.9913176204,52380.88815926,51644.1768792851,50888.7601851647,50116.502260635,49329.2233441294,48528.6950145598,47716.6361474178,46894.7095025548
2,0,1,0,0,1,818021.22396571,0,0.319900780616942,1.23654791965832,2.80252187074855,5.20463403336015,8.77287244437107,14.025169325847,21.749817865652,33.1371591873341,49.982061790996,74.991087262131,112.245192879856,167.891158722596,251.164721590731,375.880269085601,562.547039835689,839.601780842378,1229.7179882381,1739.29593549746,2363.98449862372,3093.52339064784,3914.8974440369,4814.34716870442,5778.60038920376,6795.57403147569,7854.71275195272,8947.08335554111,10065.3077677048,11203.3957683439,12356.5232826911,13520.7905651958,14692.9853351482,15870.368129457,17050.4901857748,18231.0487784752,19409.7805083735,20584.3899471092,21752.5091151691,22911.6822433228,24059.370064651,25192.9681339177,26309.8342959365,27407.3212197829,28482.8107205103,29533.7474247856,30557.6700169121,31552.2389362762,32515.2598788404,33444.7028384817,34338.7167061165,35195.6396413281,36014.0055588735,36792.547145783,37530.1958579741,38226.079345871,38879.5167449688,39490.0122338301,40057.2472259754,40581.0715205564,41061.4936960264,41498.6709904669,41892.8988757698,42244.6004984487,42554.3161303233,42822.6927456433,43050.4738175277,43238.4894083857,43387.6466113783,43498.9203848652,43573.3448115396,43612.0048033834,43616.0282650153,43586.5787216704,43524.8484124747,43432.0518449828,43309.4198036502,43158.5230737379,42984.311081525,42796.1560270108,42605.4729933227,42424.0160702479,42262.8816988895,42131.9633419475,42039.6917283558,41992.9510522617,41997.1007601471,42056.0582877645,42172.4122425051,42347.549261314,42581.782896287,42874.4783487438,43224.1696576099,43628.6678054389,44085.15976146,44590.2983662686,45140.2842614459,45730.9407981519,46357.7826882523,47016.0794125287,47700.9141199601,48407.2386438551,49129.925047197,49863.8140425198,50603.760441748,51344.6757201128,52081.5676448102,52809.5769307799,53524.0108004595,54220.373338818,54894.3925153949,55542.0437863957,56159.5703228824,56743.4995712598,57290.6564645843,57798.173177358,58263.495569047,58684.3864473644,59058.925848364,59385.5084757947,59662.8385993165,59889.9226029414,60066.0594534265,60190.8293662905,60264.0808938816,60285.9167184487,60256.6784111544,60176.9303782667,60047.443233611,59869.1768075202,59643.2629897939,59370.9885847299,59053.7783386652,58693.1782815675,58290.8395058079,57848.502487322,57367.9820371149,56851.1529546972,56299.9364397542,55716.2873041951,55102.1820137736,54459.6075767789,53790.551286836,53096.9913176204,52380.88815926,51644.1768792851,50888.7601851647,50116.502260635,49329.2233441294,48528.6950145598,47716.6361474178,46894.7095025548
3,0,1,1,0,0,2335.27250675705,0,0.000913181843268508,0.00352982292317552,0.00800001826439723,0.0148570356438515,0.0250428517681648,0.0400359447464619,0.0620865592481727,0.0945926172765618,0.142677711597447,0.214067934322245,0.320412697757036,0.479258467250726,0.716969377142241,1.07297967923018,1.60583460212786,2.39670906823839,3.5103263487949,4.96495652590751,6.7481789752065,8.83070490362047,11.175381495657,13.7429312087749,16.4954675782549,19.398498522457,22.421892986131,25.5401504639446,28.7322096640447,31.9809710338078,35.2726638738329,38.5961560548911,41.9422778700065,45.3032093071417,48.6719601823093,52.0419571847847,55.4067392642523,58.759753940605,62.094241630785,65.4031921491093,68.6793569591986,71.9153014680621,75.1034834367014,78.2363458515675,81.3064148985893,84.3063960643678,87.2292633303965,90.0683382375941,92.8173569731563,95.4705247255494,98.0225573588549,100.468711019394,102.80480065197,105.027208612414,107.132884657919,109.119338598269,110.98462685239,112.727334059138,114.346550788446,115.841848280224,117.213251022339,118.461207863214,119.586562250516,120.590522089123,121.474629627276,122.240731703662,122.890950620552,123.427655856131,123.8534367789,124.171076483887,124.383526841162,124.493884816984,124.50537010346,124.421304074539,124.245090070222,123.980194997481,123.630132226981,123.199385688324,122.702083906623,122.164980561109,121.620660900972,121.102677896467,120.642707208158,120.268990500498,120.005593949797,119.872169027642,119.88401469394,120.052313575989,120.384455056409,120.884397399006,121.553035662807,122.388557765239,123.386779005555,124.541450661938,125.844542717645,127.286500443899,128.856478274403,130.542553637794,132.331922927659,134.211082506242,136.165996837055,138.182255532743,140.245220495305,142.340164134426,144.452399107607,146.567399822198,148.670915558505,150.749075106589,152.788482565205,154.776303992634,156.7003445432,158.54911584131,160.311893724404,161.978765516162,163.540667739219,164.989413960989,166.317713187197,167.519179177169,168.588331243388,169.520586941925,170.312247509002,170.960476589928,171.463273030384,171.819438522678,172.028540747621,172.090872819737,172.007409780674,171.779762772345,171.410131572295,170.901256091415,170.256367397823,169.479138775212,168.573637273633,167.544276156763,166.395768597144,165.133082919704,163.761399644652,162.286070534087,160.712579803039,159.046507615268,157.29349594713,155.459216869472,153.549343267657,151.569521993435,149.525349419486,147.422349347693,145.265953205607,143.061482451767,140.8141330994,138.528962259319,136.210876596292,133.864622588596
4,0,1,1,0,1,2335.27250675705,0,0.000913181843268508,0.00352982292317552,0.00800001826439723,0.0148570356438515,0.0250428517681648,0.0400359447464619,0.0620865592481727,0.0945926172765618,0.142677711597447,0.214067934322245,0.320412697757036,0.479258467250726,0.716969377142241,1.07297967923018,1.60583460212786,2.39670906823839,3.5103263487949,4.96495652590751,6.7481789752065,8.83070490362047,11.175381495657,13.7429312087749,16.4954675782549,19.398498522457,22.421892986131,25.5401504639446,28.7322096640447,31.9809710338078,35.2726638738329,38.5961560548911,41.9422778700065,45.3032093071417,48.6719601823093,52.0419571847847,55.4067392642523,58.759753940605,62.094241630785,65.4031921491093,68.6793569591986,71.9153014680621,75.1034834367014,78.2363458515675,81.3064148985893,84.3063960643678,87.2292633303965,90.0683382375941,92.8173569731563,95.4705247255494,98.0225573588549,100.468711019394,102.80480065197,105.027208612414,107.132884657919,109.119338598269,110.98462685239,112.727334059138,114.346550788446,115.841848280224,117.213251022339,118.461207863214,119.586562250516,120.590522089123,121.474629627276,122.240731703662,122.890950620552,123.427655856131,123.8534367789,124.171076483887,124.383526841162,124.493884816984,124.50537010346,124.421304074539,124.245090070222,123.980194997481,123.630132226981,123.199385688324,122.702083906623,122.164980561109,121.620660900972,121.102677896467,120.642707208158,120.268990500498,120.005593949797,119.872169027642,119.88401469394,120.052313575989,120.384455056409,120.884397399006,121.553035662807,122.388557765239,123.386779005555,124.541450661938,125.844542717645,127.286500443899,128.856478274403,130.542553637794,132.331922927659,134.211082506242,136.165996837055,138.182255532743,140.245220495305,142.340164134426,144.452399107607,146.567399822198,148.670915558505,150.749075106589,152.788482565205,154.776303992634,156.7003445432,158.54911584131,160.311893724404,161.978765516162,163.540667739219,164.989413960989,166.317713187197,167.519179177169,168.588331243388,169.520586941925,170.312247509002,170.960476589928,171.463273030384,171.819438522678,172.028540747621,172.090872819737,172.007409780674,171.779762772345,171.410131572295,170.901256091415,170.256367397823,169.479138775212,168.573637273633,167.544276156763,166.395768597144,165.133082919704,163.761399644652,162.286070534087,160.712579803039,159.046507615268,157.29349594713,155.459216869472,153.549343267657,151.569521993435,149.525349419486,147.422349347693,145.265953205607,143.061482451767,140.8141330994,138.528962259319,136.210876596292,133.864622588596
5,0,2,0,0,0,527895.493723415,0,0.20519201413322,0.782850838675262,1.74101549725444,3.16252414585735,5.20974006663442,8.14856566171613,12.3929620620261,18.5764674014279,27.662607048071,41.1129058944525,61.1406311000509,91.0909196737798,136.004885298101,203.444036907028,304.667700304309,455.348164761979,668.14272263664,946.949441821685,1289.88095783351,1691.8644253597,2146.32693159374,2646.26618890777,3184.90499200688,3756.06336035393,4354.33708116139,4975.14561158278,5614.69315579144,6269.87561056926,6938.15819192564,7617.44265547043,8305.93811693517,9002.04522679095,9704.25954005908,10411.0968252668,11121.0404820558,11832.5094155851,12543.843584008,13253.3038357958,13959.082549724,14659.3217587161,15352.1358337479,16035.6363001991,16707.9568596092,17367.2772046536,18011.8446347351,18639.992867274,19250.1577327158,19840.8896719152,20410.8631220461,20958.8829914843,21483.8884955147,21984.9546626278,22461.2918345883,22912.2434768626,23337.2826017364,23736.0070797698,24108.1340880976,24453.4939138569,24772.0233020752,25063.7585089091,25328.8281958546,25567.4462768984,25779.9048104595,25966.5670099268,26127.8604307191,26264.2703796491,26376.3335807109,26464.6321215883,26529.7876984979,26572.4561701769,26593.3224264345,26593.0955727364,26572.5044288176,26532.293336501,26473.2182700103,26396.0519353686,26301.6636572515,26191.0619961848,26065.3602914026,25925.7581691652,25773.5323829227,25610.0286272689,25436.6510280498,25254.8485629333,25066.0988730154,24871.8902893072,24673.7030180959,24472.9903035446,24271.160195114,24069.5584324808,23869.4528008061,23672.0192379253,23478.3298240047,23289.3428837792,23105.8952048998,22928.6964379539,22758.3256966645,22595.2303295455,22439.7267700771,22292.0033496193,22152.1249400169,22020.0392128101,21895.5843072122,21778.4976638333,21668.4257838441,21564.9346508868,21467.5205758636,21375.6212301205,21288.6266550594,21205.8900499187,21126.7381894624,21050.4813062994,20976.4223444649,20903.8654961253,20832.1239629044,20760.5269010254,20688.4255433011,20615.1984823184,20540.2561502049,20463.0445120999,20383.048013689,20299.7918356947,20212.8434933151,20121.813841213,20026.3575451157,19926.173069101,19821.0022373126,19710.6294236658,19594.880421712,19473.6210435549,19346.7554939566,19214.2245622378,19076.0036711116,18932.1008180855,18782.5544415719,18627.4312404126,18466.8239722779,18300.8492532698,18129.6453781176,17953.370177633,17772.1989275448,17586.3223205088,17395.9445109676,17201.2812406088,17002.5580504373,16800.0085839344,16593.8729843976,16384.3963883452,16171.8275158111,15956.4173574326
6,0,2,0,0,1,527895.493723415,0,0.20519201413322,0.782850838675262,1.74101549725444,3.16252414585735,5.20974006663442,8.14856566171613,12.3929620620261,18.5764674014279,27.662607048071,41.1129058944525,61.1406311000509,91.0909196737798,136.004885298101,203.444036907028,304.667700304309,455.348164761979,668.14272263664,946.949441821685,1289.88095783351,1691.8644253597,2146.32693159374,2646.26618890777,3184.90499200688,3756.06336035393,4354.33708116139,4975.14561158278,5614.69315579144,6269.87561056926,6938.15819192564,7617.44265547043,8305.93811693517,9002.04522679095,9704.25954005908,10411.0968252668,11121.0404820558,11832.5094155851,12543.843584008,13253.3038357958,13959.082549724,14659.3217587161,15352.1358337479,16035.6363001991,16707.9568596092,17367.2772046536,18011.8446347351,18639.992867274,19250.1577327158,19840.8896719152,20410.8631220461,20958.8829914843,21483.8884955147,21984.9546626278,22461.2918345883,22912.2434768626,23337.2826017364,23736.0070797698,24108.1340880976,24453.4939138569,24772.0233020752,25063.7585089091,25328.8281958546,25567.4462768984,25779.9048104595,25966.5670099268,26127.8604307191,26264.2703796491,26376.3335807109,26464.6321215883,26529.7876984979,26572.4561701769,26593.3224264345,26593.0955727364,26572.5044288176,26532.293336501,26473.2182700103,26396.0519353686,26301.6636572515,26191.0619961848,26065.3602914026,25925.7581691652,25773.5323829227,25610.0286272689,25436.6510280498,25254.8485629333,25066.0988730154,24871.8902893072,24673.7030180959,24472.9903035446,24271.160195114,24069.5584324808,23869.4528008061,23672.0192379253,23478.3298240047,23289.3428837792,23105.8952048998,22928.6964379539,22758.3256966645,22595.2303295455,22439.7267700771,22292.0033496193,22152.1249400169,22020.0392128101,21895.5843072122,21778.4976638333,21668.4257838441,21564.9346508868,21467.5205758636,21375.6212301205,21288.6266550594,21205.8900499187,21126.7381894624,21050.4813062994,20976.4223444649,20903.8654961253,20832.1239629044,20760.5269010254,20688.4255433011,20615.1984823184,20540.2561502049,20463.0445120999,20383.048013689,20299.7918356947,20212.8434933151,20121.813841213,20026.3575451157,19926.173069101,19821.0022373126,19710.6294236658,19594.880421712,19473.6210435549,19346.7554939566,19214.2245622378,19076.0036711116,18932.1008180855,18782.5544415719,18627.4312404126,18466.8239722779,18300.8492532698,18129.6453781176,17953.370177633,17772.1989275448,17586.3223205088,17395.9445109676,17201.2812406088,17002.5580504373,16800.0085839344,16593.8729843976,16384.3963883452,16171.8275158111,15956.4173574326
7,0,2,1,0,0,171228.02725029,0,0.0664608053660272,0.253561998694784,0.563907384948914,1.02432788435288,1.68741226133385,2.63928515319316,4.01402677873285,6.01683739774143,8.95979870710324,13.3162922944408,19.8031858143288,29.5039546671683,44.0513937582259,65.8946431072038,98.6805496148283,147.485299951174,216.408536333443,306.712826082592,417.786860010353,547.987565473838,695.186004460686,857.114166312109,1031.57694356287,1216.57266726217,1410.35093627598,1611.42813259961,1818.5748143919,2030.78557605416,2247.23941202166,2467.25671001701,2690.25741037611,2915.72349070805,3143.16766779503,3372.10920548637,3602.05688348941,3832.49859202765,4062.89665073119,4292.68775594637,4521.28642698144,4748.09087634112,4972.49035694488,5193.87320003595,5411.63491961985,5625.18592603189,5833.95852713377,6037.41302120914,6235.04278050858,6426.3782990982,6610.99023291527,6788.49149695471,6958.5385076381,7120.83167069651,7275.11521924492,7421.17650458921,7558.84483768937,7687.9899705601,7808.52029809935,7920.3808510453,8023.55114138609,8118.04291233394,8203.89783679061,8281.18520057061,8349.99960013194,8410.45867871936,8462.7009196827,8506.8835117983,8543.18029764506,8571.77981290471,8592.88342229122,8606.70355561122,8613.46204570995,8613.38856877888,8606.7191863761,8593.69498759673,8574.56082922023,8549.56698738338,8518.9950325864,8483.17163321894,8442.45739504062,8397.24087180555,8347.9355984308,8294.97743957151,8238.82118551258,8179.93615384988,8118.80094613957,8055.89762635509,7991.70562690697,7926.6956472904,7861.32374863211,7796.02581018936,7731.21246208925,7667.26458550757,7604.52942257048,7543.31737051228,7483.89946123178,7426.50554748304,7371.32320169473,7318.49731811447,7268.13038817713,7220.2834115951,7174.97740007821,7132.19540466476,7091.88499934645,7053.96114227318,7018.30933670396,6984.78900661879,6953.23700929873,6923.47120892634,6895.29404255143,6868.49601420648,6842.85906915106,6818.15979471229,6794.17241747987,6770.67156830774,6747.43479617412,6724.24481768289,6700.89149994984,6677.17357180309,6652.90007476026,6627.89155932772,6601.98103969415,6575.01472395048,6546.852532141,6517.36842177516,6486.4505405765,6454.00122236478,6419.93684509747,6384.1875684189,6346.6969676143,6307.42157980476,6266.33037732729,6223.40418209914,6178.63503364341,6132.0255223182,6083.58809815894,6033.34436463181,5981.32436554483,5927.56587234872,5872.1136781078,5815.01890353895,5756.33831969219,5696.13369109343,5634.47114248317,5571.42055166031,5507.05497038028,5441.45007475555,5374.68364616087,5306.83508325365,5237.9849453765,5168.21452731058
8,0,2,1,0,1,171228.02725029,0,0.0664608053660272,0.253561998694784,0.563907384948914,1.02432788435288,1.68741226133385,2.63928515319316,4.01402677873285,6.01683739774143,8.95979870710324,13.3162922944408,19.8031858143288,29.5039546671683,44.0513937582259,65.8946431072038,98.6805496148283,147.485299951174,216.408536333443,306.712826082592,417.786860010353,547.987565473838,695.186004460686,857.114166312109,1031.57694356287,1216.57266726217,1410.35093627598,1611.42813259961,1818.5748143919,2030.78557605416,2247.23941202166,2467.25671001701,2690.25741037611,2915.72349070805,3143.16766779503,3372.10920548637,3602.05688348941,3832.49859202765,4062.89665073119,4292.68775594637,4521.28642698144,4748.09087634112,4972.49035694488,5193.87320003595,5411.63491961985,5625.18592603189,5833.95852713377,6037.41302120914,6235.04278050858,6426.3782990982,6610.99023291527,6788.49149695471,6958.5385076381,7120.83167069651,7275.11521924492,7421.17650458921,7558.84483768937,7687.9899705601,7808.52029809935,7920.3808510453,8023.55114138609,8118.04291233394,8203.89783679061,8281.18520057061,8349.99960013194,8410.45867871936,8462.7009196827,8506.8835117983,8543.18029764506,8571.77981290471,8592.88342229122,8606.70355561122,8613.46204570995,8613.38856877888,8606.7191863761,8593.69498759673,8574.56082922023,8549.56698738338,8518.9950325864,8483.17163321894,8442.45739504062,8397.24087180555,8347.9355984308,8294.97743957151,8238.82118551258,8179.93615384988,8118.80094613957,8055.89762635509,7991.70562690697,7926.6956472904,7861.32374863211,7796.02581018936,7731.21246208925,7667.26458550757,7604.52942257048,7543.31737051228,7483.89946123178,7426.50554748304,7371.32320169473,7318.49731811447,7268.13038817713,7220.2834115951,7174.97740007821,7132.19540466476,7091.88499934645,7053.96114227318,7018.30933670396,6984.78900661879,6953.23700929873,6923.47120892634,6895.29404255143,6868.49601420648,6842.85906915106,6818.15979471229,6794.17241747987,6770.67156830774,6747.43479617412,6724.24481768289,6700.89149994984,6677.17357180309,6652.90007476026,6627.89155932772,6601.98103969415,6575.01472395048,6546.852532141,6517.36842177516,6486.4505405765,6454.00122236478,6419.93684509747,6384.1875684189,6346.6969676143,6307.42157980476,6266.33037732729,6223.40418209914,6178.63503364341,6132.0255223182,6083.58809815894,6033.34436463181,5981.32436554483,5927.56587234872,5872.1136781078,5815.01890353895,5756.33831969219,5696.13369109343,5634.47114248317,5571.42055166031,5507.05497038028,5441.45007475555,5374.68364616087,5306.83508325365,5237.9849453765,5168.21452731058
9,11,2,0,0,0,146.0605932,0,5.66147567343684e-05,0.0002143199173432,0.0004710634981854,0.000843270754968014,0.00136664641062207,0.00210157346943046,0.00314337101922545,0.00463891559426448,0.00681240432342794,0.0100046495053877,0.014732530372991,0.0217782281443268,0.03232198795026,0.0481368700120402,0.071868489056437,0.107219095279364,0.157299125728305,0.223334816048351,0.3053140930951,0.402538829638627,0.513972742997911,0.638457239380852,0.774841071887482,0.922053385622776,1.07913883597945,1.24526748700448,1.41972800211901,1.60191038177021,1.79128299231614,1.98736755153535,2.18971483858874,2.39788309916141,2.61142035551728,2.82985121180601,3.05266821897861,3.27932748211117,3.50924795147284,3.74181370524834,3.97637850230685,4.21227191138659,4.44880639932647,4.68528485989315,4.92100816562034,5.15528243044601,5.38742575713496,5.61677432437659,5.84268773021119,6.06455355797657,6.28179116785985,6.49385474332064,6.70023563912574,6.90046408832523,7.0941103309694,7.28078522857722,7.4601404277454,7.63186813292297,7.7957005445874,7.9514090143851,8.09880296407145,8.23772861022904,8.36806753224326,8.48973511664304,8.60267890703836,8.70687688527591,8.80233570604124,8.88908890450751,8.96719509394675,9.03673616760525,9.09781551747627,9.15055628068663,9.19509962245304,9.23160306317414,9.26023885603909,9.28119242028884,9.29466083417159,9.30085140178017,9.29998091239651,9.29227783964674,9.27798721359703,9.25737524261533,9.23073212735507,9.19837271893307,9.16063523296179,9.11787844920818,9.07047785883404,9.01882115624289,8.96330342052953,8.90432223409928,8.84227292250914,8.77754404884788,8.71051325128889,8.64154348978752,8.5709797301753,8.49914611601469,8.42634362547038,8.35284822501473,8.27890952239942,8.20474991044898,8.13056418058903,8.05651958060185,7.98275628845874,7.90938825709475,7.83650438694675,7.76416997576644,7.69242839634051,7.62130294749961,7.55079882900478,7.48090519155938,7.41159721795211,7.34283819361288,7.27458153397283,7.20677273595392,7.13935122968192,7.07225211225485,7.00540774900229,6.93874923180291,6.87220769057153,6.8057154528486,6.73920705588965,6.67262011288831,6.60589603928646,6.53898064781408,6.4718246182965,6.40438385261973,6.33661972560238,6.26849924039441,6.19999509892421,6.13108569710964,6.06175505437288,5.99199268646999,5.92179343020864,5.85115722802514,5.78008887979362,5.70859776862702,5.63669756680714,5.56440592736495,5.49174416624471,5.41873693941422,5.34541191874347,5.27179946997179,5.19793233561037,5.12384532519396,5.04957501489772,4.97515945817279,4.90063790872671,4.82605055688132,4.75143828007801,4.67684240806827,4.6023045031228,4.52786615541398
10,11,2,0,0,1,146.0605932,0,5.66147567343684e-05,0.0002143199173432,0.0004710634981854,0.000843270754968014,0.00136664641062207,0.00210157346943046,0.00314337101922545,0.00463891559426448,0.00681240432342794,0.0100046495053877,0.014732530372991,0.0217782281443268,0.03232198795026,0.0481368700120402,0.071868489056437,0.107219095279364,0.157299125728305,0.223334816048351,0.3053140930951,0.402538829638627,0.513972742997911,0.638457239380852,0.774841071887482,0.922053385622776,1.07913883597945,1.24526748700448,1.41972800211901,1.60191038177021,1.79128299231614,1.98736755153535,2.18971483858874,2.39788309916141,2.61142035551728,2.82985121180601,3.05266821897861,3.27932748211117,3.50924795147284,3.74181370524834,3.97637850230685,4.21227191138659,4.44880639932647,4.68528485989315,4.92100816562034,5.15528243044601,5.38742575713496,5.61677432437659,5.84268773021119,6.06455355797657,6.28179116785985,6.49385474332064,6.70023563912574,6.90046408832523,7.0941103309694,7.28078522857722,7.4601404277454,7.63186813292297,7.7957005445874,7.9514090143851,8.09880296407145,8.23772861022904,8.36806753224326,8.48973511664304,8.60267890703836,8.70687688527591,8.80233570604124,8.88908890450751,8.96719509394675,9.03673616760525,9.09781551747627,9.15055628068663,9.19509962245304,9.23160306317414,9.26023885603909,9.28119242028884,9.29466083417159,9.30085140178017,9.29998091239651,9.29227783964674,9.27798721359703,9.25737524261533,9.23073212735507,9.19837271893307,9.16063523296179,9.11787844920818,9.07047785883404,9.01882115624289,8.96330342052953,8.90432223409928,8.84227292250914,8.77754404884788,8.71051325128889,8.64154348978752,8.5709797301753,8.49914611601469,8.42634362547038,8.35284822501473,8.27890952239942,8.20474991044898,8.13056418058903,8.05651958060185,7.98275628845874,7.90938825709475,7.83650438694675,7.76416997576644,7.69242839634051,7.62130294749961,7.55079882900478,7.48090519155938,7.41159721795211,7.34283819361288,7.27458153397283,7.20677273595392,7.13935122968192,7.07225211225485,7.00540774900229,6.93874923180291,6.87220769057153,6.8057154528486,6.73920705588965,6.67262011288831,6.60589603928646,6.53898064781408,6.4718246182965,6.40438385261973,6.33661972560238,6.26849924039441,6.19999509892421,6.13108569710964,6.06175505437288,5.99199268646999,5.92179343020864,5.85115722802514,5.78008887979362,5.70859776862702,5.63669756680714,5.56440592736495,5.49174416624471,5.41873693941422,5.34541191874347,5.27179946997179,5.19793233561037,5.12384532519396,5.04957501489772,4.97515945817279,4.90063790872671,4.82605055688132,4.75143828007801,4.67684240806827,4.6023045031228,4.52786615541398
