"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.0107029721330669,0.0719514427597216,0.267710061527974,0.740996685573986,1.71990057046936,3.56719266316213,6.86171730136526,12.5283234006958,22.044196394934,37.7655539710834,63.4430893871607,105.029974049363,171.935246948209,278.935392697526,449.010679627859,715.334800567688,1105.00101422012,1625.9420319424,2273.25126569298,3034.83902184945,3895.14151059872,4837.50318431358,5845.65381299593,6904.57115295809,8000.92471571809,9123.2400719875,10261.8791244237,11408.904707894,12557.8789701274,13703.6313218495,14842.0215802303,15969.7161279327,17083.988322599,18182.5494520753,19263.4124461514,20324.7876148659,21365.007704102,22382.4782922587,23375.6490534426,24343.0013096172,25283.0476142877,26194.3395742169,27075.4807384335,27925.1419922345,28742.0775051319,29525.1398225291,30273.2931448524,30985.6242216557,31661.3505838442,32299.8260581557,32900.5436694228,33463.1361409331,33987.3742676927,34473.1634694751,34920.5388367691,35329.658974471,35700.7989274483,36034.3424439541,36330.7738024009,36590.6693973647,36814.6892456773,37003.5685493924,37158.1094221229,37279.1728643524,37367.6710526711,37424.5599885799,37450.8325407148,37447.5118998522,37415.6454574057,37356.299109909,37270.5519854132,37159.4915833691,37024.2093156099,36865.7964334593,36685.3403242132,36484.8587980589,36275.9995902617,36083.3768922727,35938.5742602427,35876.0527193315,35930.7652667867,36136.6730378329,36525.7042186997,37126.8960056981,37965.5866271939,39062.6049367973,40433.4634100697,42087.5988583031,44027.7285649538,46249.3987613643,48740.7942633454,51482.8571885047,54449.7348160543,57609.5391719469,60925.3741807401,64356.5601683762,67859.9712587262,71391.4007606305,74906.8741313445,78363.8452261055,81722.2266170285,84945.2252078142,87999.9710934525,90857.9429634476,93495.2024672229,95892.4608992766,98035.0019997105,99912.4905707349,101518.692134418,102851.130657377,103910.704860427,104701.285810334,105229.307467775,105503.365717481,105533.834593729,105332.506473771,104912.261064012,104286.765653489,103470.207940383,102477.061301217,101321.881597275,100019.133922015,98583.0472572352,97027.4947441897,95365.8971602597,93611.1471136482,91775.5515637354,89870.7903947344,87907.8887619273,85897.2013250301,83848.4064684596,81770.5088654789,79671.848900036,77560.1177079381,75442.3765206409,73325.0795248963,71214.0992259536,69114.7536488047,67031.8347298651,64969.6373827295,62931.9888029262,60922.2776493242,58943.4828179581,56998.2015708326,55088.6768405939,53216.8235721659,51384.2539973524,49592.3017722908,47842.044930796,46134.3276289221
2,0,1,1,0,0,818021.22396571,0,0.0107029721330669,0.0719514427597216,0.267710061527974,0.740996685573986,1.71990057046936,3.56719266316213,6.86171730136526,12.5283234006958,22.044196394934,37.7655539710834,63.4430893871607,105.029974049363,171.935246948209,278.935392697526,449.010679627859,715.334800567688,1105.00101422012,1625.9420319424,2273.25126569298,3034.83902184945,3895.14151059872,4837.50318431358,5845.65381299593,6904.57115295809,8000.92471571809,9123.2400719875,10261.8791244237,11408.904707894,12557.8789701274,13703.6313218495,14842.0215802303,15969.7161279327,17083.988322599,18182.5494520753,19263.4124461514,20324.7876148659,21365.007704102,22382.4782922587,23375.6490534426,24343.0013096172,25283.0476142877,26194.3395742169,27075.4807384335,27925.1419922345,28742.0775051319,29525.1398225291,30273.2931448524,30985.6242216557,31661.3505838442,32299.8260581557,32900.5436694228,33463.1361409331,33987.3742676927,34473.1634694751,34920.5388367691,35329.658974471,35700.7989274483,36034.3424439541,36330.7738024009,36590.6693973647,36814.6892456773,37003.5685493924,37158.1094221229,37279.1728643524,37367.6710526711,37424.5599885799,37450.8325407148,37447.5118998522,37415.6454574057,37356.299109909,37270.5519854132,37159.4915833691,37024.2093156099,36865.7964334593,36685.3403242132,36484.8587980589,36275.9995902617,36083.3768922727,35938.5742602427,35876.0527193315,35930.7652667867,36136.6730378329,36525.7042186997,37126.8960056981,37965.5866271939,39062.6049367973,40433.4634100697,42087.5988583031,44027.7285649538,46249.3987613643,48740.7942633454,51482.8571885047,54449.7348160543,57609.5391719469,60925.3741807401,64356.5601683762,67859.9712587262,71391.4007606305,74906.8741313445,78363.8452261055,81722.2266170285,84945.2252078142,87999.9710934525,90857.9429634476,93495.2024672229,95892.4608992766,98035.0019997105,99912.4905707349,101518.692134418,102851.130657377,103910.704860427,104701.285810334,105229.307467775,105503.365717481,105533.834593729,105332.506473771,104912.261064012,104286.765653489,103470.207940383,102477.061301217,101321.881597275,100019.133922015,98583.0472572352,97027.4947441897,95365.8971602597,93611.1471136482,91775.5515637354,89870.7903947344,87907.8887619273,85897.2013250301,83848.4064684596,81770.5088654789,79671.848900036,77560.1177079381,75442.3765206409,73325.0795248963,71214.0992259536,69114.7536488047,67031.8347298651,64969.6373827295,62931.9888029262,60922.2776493242,58943.4828179581,56998.2015708326,55088.6768405939,53216.8235721659,51384.2539973524,49592.3017722908,47842.044930796,46134.3276289221
3,0,1,0,1,0,2335.27250675705,0,0.00766821088993291,0.0276964771219383,0.0564833112281065,0.0914375951967632,0.130888465341978,0.174093142779662,0.221360435539361,0.274333102089367,0.336504768417896,0.414093671599489,0.517465739980011,0.663400970923579,0.878637236492949,1.20529697164171,1.70895578223815,2.4843005496577,3.60871036959583,5.10494737680401,6.95917481208053,9.13708029362461,11.5944478436671,14.2839478614488,17.1593465167918,20.1779637938257,23.3019375535112,26.4986911108023,29.7408763723641,33.005987391471,36.275785299061,39.5356366182738,42.7738379922596,45.9809781157974,49.1493688831866,52.2725636842061,55.3449691367852,58.3615481626801,61.3176066708331,64.2086525025902,67.0303138736076,69.7783042549522,72.4484215499919,75.0365707474337,77.5388010074958,79.95134987377,82.2706890468122,84.4935676980769,86.6170505975228,88.6385494228376,90.5558464613657,92.3671105461202,94.0709055275155,95.6661918813375,97.1523222373699,98.5290317045806,99.7964238865226,100.954953457019,102.005406107087,102.948876593777,103.786745534654,104.520655507143,105.152486912035,105.684333991805,106.118481307979,106.457380922169,106.703630466464,106.859952233801,106.929173385249,106.914207329832,106.818036307768,106.643695184607,106.394256444954,106.07281636203,105.682482308044,105.226361162899,104.707548773716,104.131794195177,103.532307294788,102.979273253319,102.562751209997,102.381005781946,102.533704566304,103.117686831912,104.223994752063,105.935426612165,108.324232776295,111.449804726939,115.35637380943,120.070846046186,125.600966090712,131.93402965771,139.036340681652,146.853549852705,155.311931738299,164.320550823466,173.774190546871,183.55684510445,193.545533181812,203.614191504419,213.637418895924,223.493887513864,233.069280915628,242.25867690387,250.968340787141,259.116938461891,266.636204729005,273.471133451593,279.579757409879,284.932602547735,289.511888543527,293.310552771993,296.331156166605,298.584735705777,300.089636812947,300.870369944574,300.95651621258,300.381701354062,299.182651806724,297.398339946513,295.069222210874,292.236569735971,288.941888925798,285.226427401387,281.130759534953,276.694445027939,271.955753662309,266.95144913162,261.716625129789,256.284587217662,250.686773963663,244.952711981956,239.109999449405,233.184313416072,227.199436671234,221.177300633595,215.138040510934,209.100060485655,203.080106039529,197.093341519885,191.15343110048,185.272621664625,179.461826369879,173.730707861035,168.08776032089,162.540389681702,157.09499148657,151.757026004657,146.531090303677,141.420987079711,136.429790110435,131.559906261403
4,0,1,1,1,0,2335.27250675705,0,0.00766821088993291,0.0276964771219383,0.0564833112281065,0.0914375951967632,0.130888465341978,0.174093142779662,0.221360435539361,0.274333102089367,0.336504768417896,0.414093671599489,0.517465739980011,0.663400970923579,0.878637236492949,1.20529697164171,1.70895578223815,2.4843005496577,3.60871036959583,5.10494737680401,6.95917481208053,9.13708029362461,11.5944478436671,14.2839478614488,17.1593465167918,20.1779637938257,23.3019375535112,26.4986911108023,29.7408763723641,33.005987391471,36.275785299061,39.5356366182738,42.7738379922596,45.9809781157974,49.1493688831866,52.2725636842061,55.3449691367852,58.3615481626801,61.3176066708331,64.2086525025902,67.0303138736076,69.7783042549522,72.4484215499919,75.0365707474337,77.5388010074958,79.95134987377,82.2706890468122,84.4935676980769,86.6170505975228,88.6385494228376,90.5558464613657,92.3671105461202,94.0709055275155,95.6661918813375,97.1523222373699,98.5290317045806,99.7964238865226,100.954953457019,102.005406107087,102.948876593777,103.786745534654,104.520655507143,105.152486912035,105.684333991805,106.118481307979,106.457380922169,106.703630466464,106.859952233801,106.929173385249,106.914207329832,106.818036307768,106.643695184607,106.394256444954,106.07281636203,105.682482308044,105.226361162899,104.707548773716,104.131794195177,103.532307294788,102.979273253319,102.562751209997,102.381005781946,102.533704566304,103.117686831912,104.223994752063,105.935426612165,108.324232776295,111.449804726939,115.35637380943,120.070846046186,125.600966090712,131.93402965771,139.036340681652,146.853549852705,155.311931738299,164.320550823466,173.774190546871,183.55684510445,193.545533181812,203.614191504419,213.637418895924,223.493887513864,233.069280915628,242.25867690387,250.968340787141,259.116938461891,266.636204729005,273.471133451593,279.579757409879,284.932602547735,289.511888543527,293.310552771993,296.331156166605,298.584735705777,300.089636812947,300.870369944574,300.95651621258,300.381701354062,299.182651806724,297.398339946513,295.069222210874,292.236569735971,288.941888925798,285.226427401387,281.130759534953,276.694445027939,271.955753662309,266.95144913162,261.716625129789,256.284587217662,250.686773963663,244.952711981956,239.109999449405,233.184313416072,227.199436671234,221.177300633595,215.138040510934,209.100060485655,203.080106039529,197.093341519885,191.15343110048,185.272621664625,179.461826369879,173.730707861035,168.08776032089,162.540389681702,157.09499148657,151.757026004657,146.531090303677,141.420987079711,136.429790110435,131.559906261403
5,0,2,0,0,0,527895.493723415,0,0.0096587560643727,0.0566363466012995,0.193302644618971,0.506873376049594,1.13236525312404,2.27927249062041,4.27610114419135,7.64178250008926,13.1991928818607,22.2549395301881,36.8831110260428,60.3704145803898,97.9076791149655,157.647183810619,252.278444556201,400.15937753543,616.401831984673,905.671481516796,1265.63774625968,1690.05138065739,2170.75418349455,2698.96614522679,3266.08221278612,3864.13740803623,4486.04611097946,5125.69052758252,5777.90953911792,6438.42470034587,7103.73016906201,7770.96615734105,8437.79009585958,9102.25548916819,9762.7048024686,10417.679932022,11065.8514768991,11705.9663228471,12336.8118931649,12957.1946810345,13565.9303893265,14161.8429523089,14743.7699148353,15310.5719319077,15861.1445332758,16394.4306700753,16909.4329329104,17405.2246587936,17880.9594187551,18335.878608197,18769.3170375645,19180.7065507853,19569.5777916943,19935.5602966546,20278.3811253527,20597.8622556209,20893.9169664741,21166.5454236485,21415.8296646474,21641.9281589344,21845.0700966705,22025.5495381984,22183.719532021,22319.9862922831,22434.8035059816,22528.6668258707,22602.1085909943,22655.6928038019,22690.0103848519,22705.6747164496,22703.3174808325,22683.5847930688,22647.1336245612,22594.6285102282,22526.7385298793,22444.134552686,22347.4867325738,22237.9514155249,22121.7175859973,22011.7850613981,21924.8802280335,21879.3609873345,21894.013643689,21987.3250199423,22176.9895592946,22479.511781475,22909.8278998629,23480.9106916765,24203.3516347841,25084.9354098909,26130.2369421238,27340.279701774,28712.2952135616,30239.6177702028,31911.7379030504,33714.5212077171,35630.585072005,37639.8106117181,39719.9555319593,41847.3289737458,43997.4869125155,46145.9101468576,48268.6327265847,50342.7960376234,52347.1126122187,54262.23166804,56071.0044109102,57758.6542432284,59312.8590291369,60723.7575131535,61983.890940878,63088.0936723957,64033.3433992445,64818.5849361644,65444.5346507539,65913.4759125085,66229.0524147274,66396.0649156266,66420.2760279106,66308.2261748812,66067.0630482216,65704.3859347535,65228.105609385,64646.3199341217,63967.2048705483,63198.9202858146,62349.5297166781,61426.9330862167,60438.8112954251,59392.5815884824,58295.3625150502,57153.9474496234,55974.7855972723,54763.9695013456,53527.228138879,52269.9248106129,50997.0589633043,49713.2713900925,48422.8521124372,47129.7504511368,45837.5867975458,44549.6656863865,43268.9898136489,41998.2746972748,40739.9637272064,39496.2433858361,38269.0584609568,37060.127102748,35870.9556037293,34702.8528061399,33556.9440607642,32434.1846796327
6,0,2,1,0,0,527895.493723415,0,0.0096587560643727,0.0566363466012995,0.193302644618971,0.506873376049594,1.13236525312404,2.27927249062041,4.27610114419135,7.64178250008926,13.1991928818607,22.2549395301881,36.8831110260428,60.3704145803898,97.9076791149655,157.647183810619,252.278444556201,400.15937753543,616.401831984673,905.671481516796,1265.63774625968,1690.05138065739,2170.75418349455,2698.96614522679,3266.08221278612,3864.13740803623,4486.04611097946,5125.69052758252,5777.90953911792,6438.42470034587,7103.73016906201,7770.96615734105,8437.79009585958,9102.25548916819,9762.7048024686,10417.679932022,11065.8514768991,11705.9663228471,12336.8118931649,12957.1946810345,13565.9303893265,14161.8429523089,14743.7699148353,15310.5719319077,15861.1445332758,16394.4306700753,16909.4329329104,17405.2246587936,17880.9594187551,18335.878608197,18769.3170375645,19180.7065507853,19569.5777916943,19935.5602966546,20278.3811253527,20597.8622556209,20893.9169664741,21166.5454236485,21415.8296646474,21641.9281589344,21845.0700966705,22025.5495381984,22183.719532021,22319.9862922831,22434.8035059816,22528.6668258707,22602.1085909943,22655.6928038019,22690.0103848519,22705.6747164496,22703.3174808325,22683.5847930688,22647.1336245612,22594.6285102282,22526.7385298793,22444.134552686,22347.4867325738,22237.9514155249,22121.7175859973,22011.7850613981,21924.8802280335,21879.3609873345,21894.013643689,21987.3250199423,22176.9895592946,22479.511781475,22909.8278998629,23480.9106916765,24203.3516347841,25084.9354098909,26130.2369421238,27340.279701774,28712.2952135616,30239.6177702028,31911.7379030504,33714.5212077171,35630.585072005,37639.8106117181,39719.9555319593,41847.3289737458,43997.4869125155,46145.9101468576,48268.6327265847,50342.7960376234,52347.1126122187,54262.23166804,56071.0044109102,57758.6542432284,59312.8590291369,60723.7575131535,61983.890940878,63088.0936723957,64033.3433992445,64818.5849361644,65444.5346507539,65913.4759125085,66229.0524147274,66396.0649156266,66420.2760279106,66308.2261748812,66067.0630482216,65704.3859347535,65228.105609385,64646.3199341217,63967.2048705483,63198.9202858146,62349.5297166781,61426.9330862167,60438.8112954251,59392.5815884824,58295.3625150502,57153.9474496234,55974.7855972723,54763.9695013456,53527.228138879,52269.9248106129,50997.0589633043,49713.2713900925,48422.8521124372,47129.7504511368,45837.5867975458,44549.6656863865,43268.9898136489,41998.2746972748,40739.9637272064,39496.2433858361,38269.0584609568,37060.127102748,35870.9556037293,34702.8528061399,33556.9440607642,32434.1846796327
7,0,2,0,1,0,171228.02725029,0,0.00828983271747289,0.0369222885282692,0.10026394374765,0.224536679414144,0.451902715199133,0.849014623543641,1.52136628348559,2.63636357615612,4.46004431322008,7.4152704412673,12.1736010909127,19.7994437353537,31.9740063682868,51.3377418737433,82.0007203400647,129.908994004328,199.957259282929,293.656788523072,410.252828934253,547.721406333012,703.420252143979,874.505698460154,1058.19074244477,1251.89569342,1453.32567397583,1660.49927339606,1871.7449356322,2085.6769904368,2301.16000227565,2517.26778214755,2733.24165876863,2948.45124085762,3162.35972416419,3374.49489373388,3584.4262158067,3791.74786088485,3996.06712512432,4196.99747738361,4394.15536584211,4587.15990139425,4775.63460017429,4959.21046062986,5137.52977421199,5310.25018935065,5477.04866900054,5637.62508828473,5791.70530763669,5939.04363142416,6079.42461887931,6212.66425622678,6338.61052894772,6457.14345190134,6568.17462596302,6671.64639433097,6767.53067111497,6855.82751161392,6936.56348809079,7009.78992793443,7075.58106389245,7134.03213919542,7185.25750247124,7229.38872192705,7266.57274154478,7296.97009741749,7320.75320780865,7338.10474631332,7349.21610492422,7354.28595067889,7353.51887770538,7347.12415472089,7335.31456665274,7318.30534813856,7296.31320583335,7269.55542592985,7238.24906294831,7202.7686454018,7165.11873597694,7129.5098755037,7101.35961278489,7086.61393227301,7091.35757499658,7121.57828219163,7183.00714927818,7280.98986437665,7420.36415291204,7605.33179801045,7839.32329772317,8124.8600494527,8463.42383472106,8855.3461453236,9299.7302901696,9794.41729379013,10336.0032150809,10919.9100232931,11540.5076174066,12191.2796383303,12865.0219701154,13554.0613177528,14250.4804415741,14946.3377527563,15633.8708564976,16305.6760159897,16954.8583770908,17575.1503637212,18160.9976074415,18707.6140766932,19211.0087218728,19667.9875542769,20076.1347374823,20433.7771578393,20739.9359108607,20994.269228678,21197.0091362613,21348.895198883,21451.1075806193,21505.2012103077,21513.0425543402,21476.7500062145,21398.6386491779,21281.1698348207,21126.9058034432,20938.4693914992,20718.5087313488,20469.6667425167,20194.555143861,19895.7326610166,19575.6870800234,19236.8207904682,18881.4394370323,18511.7433426055,18129.8213561857,17737.6468067165,17337.0752667401,16929.8438689889,16517.571896618,16101.7624675639,15683.8050874449,15264.9789114884,14846.4565571394,14429.3083382468,14014.5068053556,13602.9314941932,13195.3738002674,12792.541908656,12395.0657213677,12003.5017341876,11618.3378237931,11239.997914197,10868.8464979062,10505.1929931511
8,0,2,1,1,0,171228.02725029,0,0.00828983271747289,0.0369222885282692,0.10026394374765,0.224536679414144,0.451902715199133,0.849014623543641,1.52136628348559,2.63636357615612,4.46004431322008,7.4152704412673,12.1736010909127,19.7994437353537,31.9740063682868,51.3377418737433,82.0007203400647,129.908994004328,199.957259282929,293.656788523072,410.252828934253,547.721406333012,703.420252143979,874.505698460154,1058.19074244477,1251.89569342,1453.32567397583,1660.49927339606,1871.7449356322,2085.6769904368,2301.16000227565,2517.26778214755,2733.24165876863,2948.45124085762,3162.35972416419,3374.49489373388,3584.4262158067,3791.74786088485,3996.06712512432,4196.99747738361,4394.15536584211,4587.15990139425,4775.63460017429,4959.21046062986,5137.52977421199,5310.25018935065,5477.04866900054,5637.62508828473,5791.70530763669,5939.04363142416,6079.42461887931,6212.66425622678,6338.61052894772,6457.14345190134,6568.17462596302,6671.64639433097,6767.53067111497,6855.82751161392,6936.56348809079,7009.78992793443,7075.58106389245,7134.03213919542,7185.25750247124,7229.38872192705,7266.57274154478,7296.97009741749,7320.75320780865,7338.10474631332,7349.21610492422,7354.28595067889,7353.51887770538,7347.12415472089,7335.31456665274,7318.30534813856,7296.31320583335,7269.55542592985,7238.24906294831,7202.7686454018,7165.11873597694,7129.5098755037,7101.35961278489,7086.61393227301,7091.35757499658,7121.57828219163,7183.00714927818,7280.98986437665,7420.36415291204,7605.33179801045,7839.32329772317,8124.8600494527,8463.42383472106,8855.3461453236,9299.7302901696,9794.41729379013,10336.0032150809,10919.9100232931,11540.5076174066,12191.2796383303,12865.0219701154,13554.0613177528,14250.4804415741,14946.3377527563,15633.8708564976,16305.6760159897,16954.8583770908,17575.1503637212,18160.9976074415,18707.6140766932,19211.0087218728,19667.9875542769,20076.1347374823,20433.7771578393,20739.9359108607,20994.269228678,21197.0091362613,21348.895198883,21451.1075806193,21505.2012103077,21513.0425543402,21476.7500062145,21398.6386491779,21281.1698348207,21126.9058034432,20938.4693914992,20718.5087313488,20469.6667425167,20194.555143861,19895.7326610166,19575.6870800234,19236.8207904682,18881.4394370323,18511.7433426055,18129.8213561857,17737.6468067165,17337.0752667401,16929.8438689889,16517.571896618,16101.7624675639,15683.8050874449,15264.9789114884,14846.4565571394,14429.3083382468,14014.5068053556,13602.9314941932,13195.3738002674,12792.541908656,12395.0657213677,12003.5017341876,11618.3378237931,11239.997914197,10868.8464979062,10505.1929931511
9,11,2,0,0,1,292.1211864,0,0.00770578904170297,0.0283073942526901,0.0592090188566862,0.0988538147482127,0.146280963461312,0.200867616173067,0.26219198700462,0.329978997973968,0.404107774849894,0.4846742237777,0.572114592056019,0.667408965156018,0.772398970836773,0.89027169691733,1.02627932188939,1.18826178843079,1.38263331034264,1.61117828057615,1.87264339251783,2.16411660936402,2.48190447841072,2.82207999057675,3.18081332317828,3.55455984609663,3.94015338162846,4.33483764192261,4.73625757582708,5.14242584170341,5.55167527165495,5.96260518728756,6.37402723572864,6.7849147311925,7.19435803880908,7.60152742122538,8.00564382754635,8.40595741132667,8.8017330912501,9.192242162693,9.57675884695301,9.95456064050945,10.3249314064535,10.6871662656953,11.0405775008455,11.3845008375158,11.7183016206945,12.0413805392372,12.3531786654438,12.6531816732493,12.9409231730862,13.2159871575392,13.478009593053,13.7266792199154,13.9617376396453,14.1829787776093,14.3902478107768,14.5834396489293,14.7624970527509,14.9274084653061,15.0782056257696,15.2149610268548,15.3377852680962,15.4468243510346,15.5422569540058,15.6242917186207,15.6931645742433,15.7491361210378,15.7924890888246,15.8235258843694,15.8425662369569,15.8499449493903,15.846009759108,15.8311193123732,15.8056412529418,15.7699504252915,15.7244271914961,15.6696323981148,15.6079493013623,15.5442374104781,15.4847425153644,15.4363651220152,15.4062471956795,15.4015253408364,15.4291635377798,15.4958150806303,15.6076859758763,15.7703862435066,15.9887660983991,16.2667416269622,16.6071204374025,17.011441486366,17.4798447873246,18.0109855335197,18.6020042713822,19.248559171981,19.944921370514,20.6841284642356,21.4581861047028,22.2583049067878,23.0751578183773,23.8991430973694,24.7206396159809,25.5302429618916,26.3189739931542,27.0784542854833,27.8010453857189,28.4799516860288,29.1092879239791,29.6841146026793,30.2004446071135,30.6552258064995,31.0463033537786,31.3723672850821,31.6328882016988,31.8280454257509,31.9586507741631,32.0260705582512,32.0321481248125,31.9791286388669,31.8695874787388,31.7063632059684,31.4924957512686,31.231170197693,30.9256663228475,30.5793138826606,30.1954534911054,29.7774028461489,29.3284279844667,28.8517192088899,28.3503712808971,27.8273674934178,27.2855672196832,26.727696546885,26.1563416230949,25.5739443853454,24.9828003016689,24.385057879209,23.7827196314295,23.1776442770973,22.5715499428725,21.9660181806936,21.362498625846,20.7623141465267,20.1666663557773,19.5766413725829,18.9932157372055,18.4172623993852,17.8495567111194,17.2907823676536,16.7415372500704,16.2023391319079
10,11,2,0,1,1,67.8788136,0,0.00765181967880029,0.0276709641725415,0.0564980184063565,0.0914598397761386,0.130542424345609,0.172229221579816,0.215386169836436,0.259181184703139,0.303030521207354,0.346568088241545,0.389637116140238,0.432306850493418,0.474920706952295,0.518186556068998,0.563323948853228,0.612169967089105,0.666264252782095,0.726118618800391,0.791570277269632,0.862088283541868,0.93696786999162,1.01545130611757,1.096800458928,1.18033769448399,1.26546583749206,1.35167452479934,1.43853778269921,1.52570620199102,1.61289611442239,1.69987750556239,1.7864619124125,1.87249118026748,1.95782763179367,2.04234595332842,2.12592689449039,2.20845272355239,2.28980427636866,2.36985936953437,2.44849232240063,2.52557432815799,2.60097443310103,2.67456090990004,2.74620284630627,2.81577180539026,2.88314344824659,2.94819904089464,3.01082679300001,3.07092299796889,3.12839296088545,3.18315171348278,3.23512452466916,3.28424722123998,3.33046633723642,3.3737391123752,3.41403336043598,3.45132722812193,3.48560886378853,3.51687601385011,3.54513556292709,3.57040303210193,3.5927020475205,3.6120637901826,3.6285264358457,3.64213459268071,3.65293874298944,3.66099469396775,3.66636304173492,3.66910865177718,3.66930015830976,3.66700948443462,3.66231138439339,3.65528300880779,3.64600349343631,3.63455357165931,3.62101521066469,3.60551109621511,3.58857504577019,3.57129951958948,3.55508974432737,3.54149868839129,3.53213384297907,3.52860154845996,3.53246926695322,3.54523444160441,3.56829368458814,3.60290923538718,3.65017200760764,3.7109622654848,3.78591029394605,3.87536026626582,3.97934085232591,4.09754584596949,4.22932743642467,4.37370348809906,4.52937904760051,4.69478097046025,4.86810339722936,5.04736119649412,5.23044802346096,5.41519564336749,5.59943152391355,5.78103209558065,5.95796979774576,6.12835265601498,6.29045569457442,6.44274414173709,6.58388865544161,6.71277331184975,6.82849709610537,6.9303699757992,7.01790439433003,7.09080344810993,7.14894637532543,7.19237234686846,7.22126326882474,7.23592618470811,7.23677579988096,7.22431751169905,7.19913125459483,7.16185637722878,7.11317769636077,7.05381281342968,6.98450073034976,6.90599176057972,6.81903870261751,6.72438921958608,6.62277935329389,6.51492809245302,6.40153290308465,6.28326613432,6.16077220839841,6.03466550660298,5.90552886731602,5.77391262127526,5.64033408119385,5.50527742982214,5.36919393720095,5.23250245582348,5.0955901422331,4.95881336246222,4.82249874203366,4.68694432686875,4.55242082597123,4.41917291034905,4.28742054675755,4.15736034790792,4.02916692373436,3.90299422100377,3.77897684075132,3.65723132506644
