"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.0107029721309617,0.0719514427290323,0.267710061380935,0.740996685119674,1.7199005693528,3.56719266076791,6.86171729666545,12.5283233920083,22.044196379542,37.7655540486469,63.443089777129,105.029974815867,171.935247750625,278.935393168322,449.010680079638,715.334803175236,1105.00102088439,1625.94204462784,2273.25128625776,3034.83905195039,3895.14155167791,4837.50323738433,5845.65387906043,6904.57123266146,8000.92480951005,9123.24018007617,10261.8792468461,11408.904844535,12557.8791207341,13703.6314860424,14842.0217575355,15969.7163177748,17083.9885243299,18182.549664976,19263.4126694498,20324.7878477453,21365.0079457124,22382.4785417473,23375.6493099305,24343.0015722033,25283.0478820659,26194.3398463257,27075.4810140064,27925.1422704306,28742.0777851626,29525.1401036217,30273.2934262747,30985.6245027193,31661.3508638954,32299.8263365883,32900.5439456626,33463.1364144512,33987.3745380093,34473.1637361344,34920.5390993623,35329.6592326363,35700.7991808434,36034.3426922887,36330.7740454013,36590.6696348031,36814.6894773458,37003.5687751256,37158.1096417673,37279.1730777971,37367.6712598178,37424.5601893523,37450.8327350656,37447.5120877493,37415.6456388345,37356.2992848735,37270.5521539315,37159.4917454754,37024.2094713536,36865.7965828949,36685.3404674103,36484.1718051706,36266.1794670513,36038.6104473716,35810.2543539902,35590.1358267602,35386.7468987528,35207.6278471608,35059.1705885317,34946.5604698155,34873.8017076789,34843.7912815143,34858.4172314068,34918.6676875759,35024.7411357563,35176.1527662392,35371.8338364813,35610.2227663407,35889.3473004331,36206.8978309399,36560.2925135942,36946.7347704948,37363.2637330406,37806.7983266078,38274.1760308617,38762.1866890713,39267.6018836769,39787.2005468802,40317.7913351426,40856.2320583838,41399.4465231754,41944.4392096129,42488.3078919704,43028.2545120027,43561.5945175964,44085.7647270124,44598.3299488652,45096.988436943,45579.5762449505,46044.0706256299,46488.5925002346,46911.4080679516,47310.9296369727,47685.7156954369,48034.4702951279,48356.0417792631,48649.4208983885,48913.7383326808,49148.2617691887,49352.3924978757,49525.6614491629,49667.7249255006,49778.3599685602,49857.459413562,49905.0266721078,49921.1702881147,49906.0983073679,49860.1125009466,49783.6024813758,49677.0397490774,49540.9717050558,49376.0156639112,49182.8528992895,48962.2227517363,48714.9168266541,48441.7733077228,48143.6714087343,47821.5259843636,47476.282317969,47108.9111021045,46720.4036428997,46311.7671786595,45884.0208096073,45438.1907972579,44975.3070757015,44496.3996147173
2,0,1,1,0,818021.22396571,0,0.0107029721309617,0.0719514427290323,0.267710061380935,0.740996685119674,1.7199005693528,3.56719266076791,6.86171729666545,12.5283233920083,22.044196379542,37.7655540486469,63.443089777129,105.029974815867,171.935247750625,278.935393168322,449.010680079638,715.334803175236,1105.00102088439,1625.94204462784,2273.25128625776,3034.83905195039,3895.14155167791,4837.50323738433,5845.65387906043,6904.57123266146,8000.92480951005,9123.24018007617,10261.8792468461,11408.904844535,12557.8791207341,13703.6314860424,14842.0217575355,15969.7163177748,17083.9885243299,18182.549664976,19263.4126694498,20324.7878477453,21365.0079457124,22382.4785417473,23375.6493099305,24343.0015722033,25283.0478820659,26194.3398463257,27075.4810140064,27925.1422704306,28742.0777851626,29525.1401036217,30273.2934262747,30985.6245027193,31661.3508638954,32299.8263365883,32900.5439456626,33463.1364144512,33987.3745380093,34473.1637361344,34920.5390993623,35329.6592326363,35700.7991808434,36034.3426922887,36330.7740454013,36590.6696348031,36814.6894773458,37003.5687751256,37158.1096417673,37279.1730777971,37367.6712598178,37424.5601893523,37450.8327350656,37447.5120877493,37415.6456388345,37356.2992848735,37270.5521539315,37159.4917454754,37024.2094713536,36865.7965828949,36685.3404674103,36484.1718051706,36266.1794670513,36038.6104473716,35810.2543539902,35590.1358267602,35386.7468987528,35207.6278471608,35059.1705885317,34946.5604698155,34873.8017076789,34843.7912815143,34858.4172314068,34918.6676875759,35024.7411357563,35176.1527662392,35371.8338364813,35610.2227663407,35889.3473004331,36206.8978309399,36560.2925135942,36946.7347704948,37363.2637330406,37806.7983266078,38274.1760308617,38762.1866890713,39267.6018836769,39787.2005468802,40317.7913351426,40856.2320583838,41399.4465231754,41944.4392096129,42488.3078919704,43028.2545120027,43561.5945175964,44085.7647270124,44598.3299488652,45096.988436943,45579.5762449505,46044.0706256299,46488.5925002346,46911.4080679516,47310.9296369727,47685.7156954369,48034.4702951279,48356.0417792631,48649.4208983885,48913.7383326808,49148.2617691887,49352.3924978757,49525.6614491629,49667.7249255006,49778.3599685602,49857.459413562,49905.0266721078,49921.1702881147,49906.0983073679,49860.1125009466,49783.6024813758,49677.0397490774,49540.9717050558,49376.0156639112,49182.8528992895,48962.2227517363,48714.9168266541,48441.7733077228,48143.6714087343,47821.5259843636,47476.282317969,47108.9111021045,46720.4036428997,46311.7671786595,45884.0208096073,45438.1907972579,44975.3070757015,44496.3996147173
3,0,1,0,1,2335.27250675705,0,0.00766821088992707,0.027696477121851,0.0564833112276873,0.0914375951954678,0.130888465338794,0.174093142772834,0.221360435525959,0.274333102064593,0.336504768374004,0.414093671819141,0.517465741088518,0.663400973105382,0.878637238778614,1.20529697298311,1.70895578352648,2.48430055709343,3.60871038859974,5.10494741297798,6.95917487072327,9.13708037946076,11.5944479608089,14.2839480127859,17.1593467051821,20.1779640211088,23.3019378209694,26.498691419029,29.7408767214651,33.0059877811177,36.2757857285326,39.535637086488,42.7738384978651,45.9809786571531,49.1493694584446,52.2725642913159,55.3449697735452,58.3615488267613,61.3176073598118,64.2086532140347,67.030314605011,69.7783050037456,72.4484223135911,75.0365715233819,77.5388017933222,79.9513506670766,82.2706898453505,84.4935684996432,86.6170514000295,88.6385502243215,90.5558472599627,92.3671113401013,94.0709063152435,95.6661926613043,97.1523230082075,98.5290324649887,99.7964246353361,100.954954193206,102.005406829671,102.94887730193,103.786746227596,104.520656184225,105.152487572663,105.684334635508,106.11848193432,106.45738153083,106.703631057166,106.859952806325,106.929173939462,106.914207865642,106.818036825132,106.643695683538,106.394256925502,106.072816824294,105.682482752164,105.226361589031,104.707549182058,104.129835159314,103.504304131339,102.851616802481,102.19683285652,101.565682254787,100.982376239073,100.46841208996,100.042012493648,99.7179595586143,99.5076673635704,99.4193926755743,99.4585152607883,99.6278487965067,99.9279553069586,100.357448430668,100.913276764717,101.590983633233,102.384941382374,103.28856046801,104.294475140431,105.394707418982,106.580810934425,107.843996639815,109.175243338192,110.565394091792,112.005239987812,113.485593167814,114.997350628963,116.531549626354,118.07941570099,119.632404530222,121.182237914622,122.720934782068,124.240837815596,125.734635876806,127.195382881131,128.616513350534,129.991854829233,131.315637574393,132.582501595863,133.787501243399,134.926107574396,135.994208554043,136.98810729579,137.90451843145,138.740562736471,139.493760062547,140.162021001165,140.743637175042,141.237269936878,141.641938195736,141.957005204388,142.182164454544,142.317424797927,142.363094920379,142.319767284523,142.188301655785,141.969808322553,141.665631117625,141.277330343427,140.806665698194,140.255579294711,139.626178857033,138.920721174198,138.141595883236,137.291309646912,136.37247078475,135.387774408896,134.339988109569,133.231938278932,132.066496760684,130.846569242511,129.575081850825,128.254971201622,126.889174028779
4,0,1,1,1,2335.27250675705,0,0.00766821088992707,0.027696477121851,0.0564833112276873,0.0914375951954678,0.130888465338794,0.174093142772834,0.221360435525959,0.274333102064593,0.336504768374004,0.414093671819141,0.517465741088518,0.663400973105382,0.878637238778614,1.20529697298311,1.70895578352648,2.48430055709343,3.60871038859974,5.10494741297798,6.95917487072327,9.13708037946076,11.5944479608089,14.2839480127859,17.1593467051821,20.1779640211088,23.3019378209694,26.498691419029,29.7408767214651,33.0059877811177,36.2757857285326,39.535637086488,42.7738384978651,45.9809786571531,49.1493694584446,52.2725642913159,55.3449697735452,58.3615488267613,61.3176073598118,64.2086532140347,67.030314605011,69.7783050037456,72.4484223135911,75.0365715233819,77.5388017933222,79.9513506670766,82.2706898453505,84.4935684996432,86.6170514000295,88.6385502243215,90.5558472599627,92.3671113401013,94.0709063152435,95.6661926613043,97.1523230082075,98.5290324649887,99.7964246353361,100.954954193206,102.005406829671,102.94887730193,103.786746227596,104.520656184225,105.152487572663,105.684334635508,106.11848193432,106.45738153083,106.703631057166,106.859952806325,106.929173939462,106.914207865642,106.818036825132,106.643695683538,106.394256925502,106.072816824294,105.682482752164,105.226361589031,104.707549182058,104.129835159314,103.504304131339,102.851616802481,102.19683285652,101.565682254787,100.982376239073,100.46841208996,100.042012493648,99.7179595586143,99.5076673635704,99.4193926755743,99.4585152607883,99.6278487965067,99.9279553069586,100.357448430668,100.913276764717,101.590983633233,102.384941382374,103.28856046801,104.294475140431,105.394707418982,106.580810934425,107.843996639815,109.175243338192,110.565394091792,112.005239987812,113.485593167814,114.997350628963,116.531549626354,118.07941570099,119.632404530222,121.182237914622,122.720934782068,124.240837815596,125.734635876806,127.195382881131,128.616513350534,129.991854829233,131.315637574393,132.582501595863,133.787501243399,134.926107574396,135.994208554043,136.98810729579,137.90451843145,138.740562736471,139.493760062547,140.162021001165,140.743637175042,141.237269936878,141.641938195736,141.957005204388,142.182164454544,142.317424797927,142.363094920379,142.319767284523,142.188301655785,141.969808322553,141.665631117625,141.277330343427,140.806665698194,140.255579294711,139.626178857033,138.920721174198,138.141595883236,137.291309646912,136.37247078475,135.387774408896,134.339988109569,133.231938278932,132.066496760684,130.846569242511,129.575081850825,128.254971201622,126.889174028779
5,0,2,0,0,527895.493723415,0,0.00965875606298693,0.0566363465813619,0.19330264452542,0.506873375768194,1.13236525245357,2.2792724892302,4.27610114155526,7.64178249538113,13.1991928737906,22.2549395742491,36.8831112448956,60.3704150130771,97.907679575429,157.647184094317,252.278444769249,400.159378823629,616.40183533584,905.671487972738,1265.63775682254,1690.05139623627,2170.75420489594,2698.96617303605,3266.08224759392,3864.13745024351,4486.04616088603,5125.69058536109,5777.90960484889,6438.4247740256,7103.73025060919,7770.96624660109,8437.79019262183,9102.25559316065,9762.70491337361,10417.6800494764,11065.8516005039,11705.9664521724,12336.8120277562,12957.1948204306,13565.9305330455,14161.8430998512,14743.7700656934,15310.5720855963,15861.1446893023,16394.4308279594,16909.4330921982,17405.2248190382,17880.9595795315,18335.8787691017,18769.3171982134,19180.7067108211,19569.5779507752,19935.5604544648,20278.3812816051,20597.8624100395,20893.9171188106,21166.5455736823,21415.829812167,21641.9283037602,21845.0702386304,22025.5496771485,22183.7196678278,22319.9864248389,22434.8036351848,22528.6669516455,22602.1087132718,22655.6929225263,22690.0104999846,22705.674827961,22703.3175887037,22683.584897292,22647.1337251365,22594.6286071663,22526.7386232,22444.1346424117,22347.4868187363,22237.4688700527,22114.8179490907,21980.3619386572,21834.9844645619,21679.6022449549,21515.1522286137,21342.582786883,21162.8462240353,20976.8914728128,20785.6567051104,20590.0619506989,20391.0019626463,20189.3395841513,19985.8998171844,19781.4647251131,19576.769251383,19372.4979518525,19169.2826391571,18967.7008774814,18768.27523532,18571.4732221513,18377.7078219381,18187.3385448897,18000.6728797388,17817.9680952901,17639.4333318978,17465.2319009847,17295.4837419127,17130.267998841,16969.6256704876,16813.5623034665,16662.0507026541,16515.0336296341,16372.4264779923,16234.1199023273,16099.9823906816,15969.8627722623,15843.5926443641,15720.9887178875,15601.8550722947,15485.9853124465,15373.1646285226,15263.171750304,15155.7807967428,15050.7630166703,14947.8884193988,14846.9273028177,14747.6516600128,14649.8364351528,14553.2607718599,14457.7090726536,14362.9719689014,14268.8471878031,14175.1403169105,14081.6654690316,13988.2458508885,13894.7142391909,13800.9133681009,13706.6962323155,13611.9263102139,13516.477711688,13420.2352554087,13323.0944803693,13224.9615966026,13125.7533799777,13025.3970159626,12923.8298971805,12820.9993795045,12716.8625013167,12611.385671806,12504.5443233078,12396.3225712272,12286.7127833162,12175.7152092299,12063.3375702204
6,0,2,1,0,527895.493723415,0,0.00965875606298693,0.0566363465813619,0.19330264452542,0.506873375768194,1.13236525245357,2.2792724892302,4.27610114155526,7.64178249538113,13.1991928737906,22.2549395742491,36.8831112448956,60.3704150130771,97.907679575429,157.647184094317,252.278444769249,400.159378823629,616.40183533584,905.671487972738,1265.63775682254,1690.05139623627,2170.75420489594,2698.96617303605,3266.08224759392,3864.13745024351,4486.04616088603,5125.69058536109,5777.90960484889,6438.4247740256,7103.73025060919,7770.96624660109,8437.79019262183,9102.25559316065,9762.70491337361,10417.6800494764,11065.8516005039,11705.9664521724,12336.8120277562,12957.1948204306,13565.9305330455,14161.8430998512,14743.7700656934,15310.5720855963,15861.1446893023,16394.4308279594,16909.4330921982,17405.2248190382,17880.9595795315,18335.8787691017,18769.3171982134,19180.7067108211,19569.5779507752,19935.5604544648,20278.3812816051,20597.8624100395,20893.9171188106,21166.5455736823,21415.829812167,21641.9283037602,21845.0702386304,22025.5496771485,22183.7196678278,22319.9864248389,22434.8036351848,22528.6669516455,22602.1087132718,22655.6929225263,22690.0104999846,22705.674827961,22703.3175887037,22683.584897292,22647.1337251365,22594.6286071663,22526.7386232,22444.1346424117,22347.4868187363,22237.4688700527,22114.8179490907,21980.3619386572,21834.9844645619,21679.6022449549,21515.1522286137,21342.582786883,21162.8462240353,20976.8914728128,20785.6567051104,20590.0619506989,20391.0019626463,20189.3395841513,19985.8998171844,19781.4647251131,19576.769251383,19372.4979518525,19169.2826391571,18967.7008774814,18768.27523532,18571.4732221513,18377.7078219381,18187.3385448897,18000.6728797388,17817.9680952901,17639.4333318978,17465.2319009847,17295.4837419127,17130.267998841,16969.6256704876,16813.5623034665,16662.0507026541,16515.0336296341,16372.4264779923,16234.1199023273,16099.9823906816,15969.8627722623,15843.5926443641,15720.9887178875,15601.8550722947,15485.9853124465,15373.1646285226,15263.171750304,15155.7807967428,15050.7630166703,14947.8884193988,14846.9273028177,14747.6516600128,14649.8364351528,14553.2607718599,14457.7090726536,14362.9719689014,14268.8471878031,14175.1403169105,14081.6654690316,13988.2458508885,13894.7142391909,13800.9133681009,13706.6962323155,13611.9263102139,13516.477711688,13420.2352554087,13323.0944803693,13224.9615966026,13125.7533799777,13025.3970159626,12923.8298971805,12820.9993795045,12716.8625013167,12611.385671806,12504.5443233078,12396.3225712272,12286.7127833162,12175.7152092299,12063.3375702204
7,0,2,0,1,171228.02725029,0,0.00828983271702415,0.0369222885218117,0.10026394371735,0.224536679323001,0.451902714981972,0.849014623093363,1.52136628263178,2.63636357463119,4.46004431060625,7.41527045553731,12.1736011617951,19.7994438754953,31.9740065174258,51.33774196563,82.0007204090692,129.908994421566,199.957260368347,293.656790614103,410.252832355488,547.721411378896,703.420259075731,874.505707467366,1058.19075371875,1251.89570709062,1453.32569014019,1660.49929211011,1871.74495692197,2085.67701430112,2301.16002868818,2517.26781105822,2733.2416901092,2948.45127454001,3162.35976008549,3374.49493177647,3584.42625584138,3791.74790277235,3996.06716871744,4196.99752253297,4394.15541239165,4587.15994918211,4775.63464903613,4959.21051040844,5137.52982474784,5310.25024048815,5477.04872059271,5637.62514018677,5791.70535971097,5939.04368353999,6079.4246709123,6212.66430806122,6338.61058047283,6457.1435030149,6568.17467657204,6671.646444346,6767.53072045564,6855.82756020875,6936.56353587131,7009.78997484244,7075.58110987221,7134.03218420031,7185.25754645806,7229.38876486091,7266.57278339275,7296.97013815503,7320.75324741345,7338.10478476726,7349.21614221485,7354.28598679661,7353.51891264409,7347.12418847799,7335.31459922833,7318.30537953608,7296.31323605924,7269.55545499132,7238.24909085569,7202.61235251351,7162.88399491573,7119.33215983374,7072.24304381452,7021.91356180702,6968.64718135551,6912.75106973976,6854.53366814143,6794.30232578839,6732.36090661321,6669.00739851528,6604.5316025261,6539.21298437776,6473.31875338106,6407.10221142487,6340.80139867841,6274.63803521912,6208.81675805981,6143.52463361616,6078.93091568108,6015.18702491326,5952.42672163302,5890.76644647948,5830.30579079103,5771.12808011227,5713.30105160693,5656.87759885338,5601.89656760548,5548.38359041618,5496.35194487413,5445.80342595399,5396.72922388231,5349.11079814234,5302.92074398034,5258.12364392116,5214.67690095782,5172.53155078215,5131.63304784546,5091.92202505283,5053.33502412527,5015.80519418137,4979.26295892883,4943.63664964057,4908.85310421517,4874.83823097788,4841.51753681912,4808.81662213201,4776.6616364048,4744.97968499172,4713.69923344985,4682.75045068387,4652.06552310463,4621.578935438,4591.22771834586,4560.95166378264,4530.69350917839,4500.39909163451,4470.01747341964,4439.50104013505,4408.8055729894,4377.89029667924,4346.71790441398,4315.25456165407,4283.46989014782,4251.33693385612,4218.83210834757,4185.93513522796,4152.62896314029,4118.89967683436,4084.73639620814,4050.13116370259,4015.07883415278,3979.57693527938,3943.62554770424,3907.22717205473
8,0,2,1,1,171228.02725029,0,0.00828983271702415,0.0369222885218117,0.10026394371735,0.224536679323001,0.451902714981972,0.849014623093363,1.52136628263178,2.63636357463119,4.46004431060625,7.41527045553731,12.1736011617951,19.7994438754953,31.9740065174258,51.33774196563,82.0007204090692,129.908994421566,199.957260368347,293.656790614103,410.252832355488,547.721411378896,703.420259075731,874.505707467366,1058.19075371875,1251.89570709062,1453.32569014019,1660.49929211011,1871.74495692197,2085.67701430112,2301.16002868818,2517.26781105822,2733.2416901092,2948.45127454001,3162.35976008549,3374.49493177647,3584.42625584138,3791.74790277235,3996.06716871744,4196.99752253297,4394.15541239165,4587.15994918211,4775.63464903613,4959.21051040844,5137.52982474784,5310.25024048815,5477.04872059271,5637.62514018677,5791.70535971097,5939.04368353999,6079.4246709123,6212.66430806122,6338.61058047283,6457.1435030149,6568.17467657204,6671.646444346,6767.53072045564,6855.82756020875,6936.56353587131,7009.78997484244,7075.58110987221,7134.03218420031,7185.25754645806,7229.38876486091,7266.57278339275,7296.97013815503,7320.75324741345,7338.10478476726,7349.21614221485,7354.28598679661,7353.51891264409,7347.12418847799,7335.31459922833,7318.30537953608,7296.31323605924,7269.55545499132,7238.24909085569,7202.61235251351,7162.88399491573,7119.33215983374,7072.24304381452,7021.91356180702,6968.64718135551,6912.75106973976,6854.53366814143,6794.30232578839,6732.36090661321,6669.00739851528,6604.5316025261,6539.21298437776,6473.31875338106,6407.10221142487,6340.80139867841,6274.63803521912,6208.81675805981,6143.52463361616,6078.93091568108,6015.18702491326,5952.42672163302,5890.76644647948,5830.30579079103,5771.12808011227,5713.30105160693,5656.87759885338,5601.89656760548,5548.38359041618,5496.35194487413,5445.80342595399,5396.72922388231,5349.11079814234,5302.92074398034,5258.12364392116,5214.67690095782,5172.53155078215,5131.63304784546,5091.92202505283,5053.33502412527,5015.80519418137,4979.26295892883,4943.63664964057,4908.85310421517,4874.83823097788,4841.51753681912,4808.81662213201,4776.6616364048,4744.97968499172,4713.69923344985,4682.75045068387,4652.06552310463,4621.578935438,4591.22771834586,4560.95166378264,4530.69350917839,4500.39909163451,4470.01747341964,4439.50104013505,4408.8055729894,4377.89029667924,4346.71790441398,4315.25456165407,4283.46989014782,4251.33693385612,4218.83210834757,4185.93513522796,4152.62896314029,4118.89967683436,4084.73639620814,4050.13116370259,4015.07883415278,3979.57693527938,3943.62554770424,3907.22717205473
9,11,2,0,0,292.1211864,0,0.0077057890416648,0.0283073942521586,0.059209018854336,0.0988538147416944,0.146280963447278,0.200867616147279,0.262191986962083,0.329978997909044,0.404107774756386,0.484674223670873,0.572114591988541,0.667408965143024,0.772398970788992,0.890271696734648,1.02627932158537,1.18826178849098,1.38263331117819,1.6111782826326,1.87264339623599,2.16411661515728,2.48190448666046,2.82208000157778,3.18081333724399,3.55455986345904,3.94015340248181,4.33483766641138,4.73625760405748,5.14242587374505,5.55167530754176,5.96260522701835,6.3740272792732,6.78491477848866,7.19435808976844,7.60152747573299,8.00564388546445,8.40595747249644,8.8017331554944,9.19224222982397,9.57675891676649,9.95456071278648,10.3249314809649,10.6871663422147,11.0405775791375,11.3845009173445,11.7183017018308,12.0413806214501,12.3531787485079,12.6531817569455,12.9409232572008,13.2159872418676,13.478009677396,13.7266793040838,13.9617377234611,14.1829788608993,14.3902478933799,14.5834397306965,14.7624971335381,14.9274085449839,15.0782057042132,15.214961103953,15.3377853437439,15.4468244251405,15.5422570264817,15.6242917893939,15.6931646432447,15.7491361882054,15.792489154109,15.8235259477262,15.8425662983467,15.8499450087835,15.8460098164804,15.8311193677067,15.805641306224,15.7699504765152,15.7244272406593,15.6694559137027,15.605423881416,15.5327233536109,15.4517555738955,15.3629348023646,15.266690668465,15.1634685680869,15.0537283144479,14.937941460475,14.8165877483632,14.690151082826,14.5591153662626,14.4239604337164,14.2851582619497,14.1431695561784,13.9984407783068,13.8514016293947,13.7024629943767,13.5520153258046,13.4004274256957,13.2480455927788,13.0951930970054,12.9421699454065,12.7892528826703,12.6366956036907,12.4847291502741,12.3335624522794,12.1833829875095,12.0343575418666,11.8866330465035,11.7403374747377,11.5955807857139,11.4524558987161,11.3110396896031,11.1713939983429,11.0335666391482,10.8975924077777,10.7634940774384,10.6312833798302,10.5009619663764,10.3725223443868,10.2459487867147,10.1212182102453,9.99830102178185,9.87716192864754,9.75776071224962,9.64005296757533,9.52399079694425,9.4095234455456,9.2965979449342,9.18515967764099,9.07515290902961,8.96652127941196,8.85920825601305,8.75315754532951,8.64831346677691,8.54462128865572,8.44202752762705,8.34048021301987,8.23992911740736,8.14032595498613,8.04162454936957,7.94378097246781,7.84675365617017,7.7505034785733,7.65499382651144,7.56019063614358,7.46606241333854,7.37258023557368,7.27971773716609,7.18745107854384,7.09575890551012,7.004622288316,6.91402465800667,6.82395173160061
10,11,2,0,1,67.8788136,0,0.00765181967879178,0.0276709641724216,0.0564980184058263,0.0914598397746681,0.130542424342443,0.172229221573998,0.215386169826839,0.259181184688493,0.303030521186259,0.346568088216262,0.389637116122281,0.432306850487415,0.474920706939571,0.518186556026909,0.563323948784666,0.6121699671027,0.666264252970601,0.726118619264315,0.791570278108418,0.862088284848772,0.936967871852649,1.01545130859931,1.09680046210113,1.18033769840082,1.26546584219638,1.35167453032374,1.43853778906768,1.52570620921925,1.61289612251805,1.69987751452522,1.78646192223567,1.87249119093698,1.95782764328955,2.04234596562474,2.12592690755609,2.20845273735163,2.28980429086148,2.36985938467841,2.44849233814981,2.52557434446293,2.60097444991001,2.67456092716199,2.7462028639681,2.81577182339877,2.88314346655004,2.94819905944096,3.01082681173834,3.07092301684982,3.12839297986075,3.18315173250633,3.235124543696,3.28424724022741,3.33046635614432,3.37373913116449,3.41403337907028,3.45132724656768,3.4856088820132,3.51687603182453,3.54513558062308,3.57040304949444,3.59270206458577,3.61206380690005,3.62852645219544,3.64213460864637,3.6529387585554,3.66099470911998,3.66636305646237,3.66910866606979,3.66930017215861,3.66700949783306,3.662311397336,3.65528302129043,3.64600350545616,3.6345535832148,3.6210152217554,3.60547128327936,3.5880053382363,3.56870207222537,3.54764824510737,3.52493359796563,3.50065139122301,3.47489850054601,3.44777511790532,3.41938415210871,3.38983043168487,3.35921979963507,3.32765817642375,3.29525064493145,3.2621005967473,3.22830896321821,3.19397354569568,3.15918844790488,3.12404361227379,3.08862445502278,3.05301159082185,3.01728063966013,2.98150210735513,2.94574133161821,2.91005848093743,2.87450860115547,2.83914170348508,2.80400288502491,2.76913247599306,2.73456620952177,2.70033540877691,2.66646718752511,2.63298466122274,2.59990716500363,2.56725047665035,2.53502704206836,2.50324620135267,2.47191441422621,2.44103548292239,2.41061077173605,2.38063942212807,2.35111856220192,2.32204351023006,2.29340797118105,2.26520422592516,2.23742331251578,2.210055199152,2.18308894948351,2.15651287765122,2.13031469026725,2.10448163013187,2.07900060227035,2.0538582926043,2.02904127769487,2.00453612546748,1.98032948704066,1.95640817986032,1.93275926237162,1.90937010049616,1.88622842621233,1.86332238856234,1.84064059743117,1.81817216046019,1.79590671347205,1.77383444479285,1.75194611386436,1.73023306454136,1.70868723346927,1.68730115393399,1.66606795557,1.64498136033891,1.62403567491962,1.60322578092334,1.58254712045282,1.56199568121305,1.54156797907033
