"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,409911.11078778,0,0.000190975472247959,0.00142554615020605,0.00451877593326208,0.0101208515042423,0.0187823086237814,0.0310005633717989,0.0472566029716458,0.0680486041193814,0.0939288147660913,0.125551251111859,0.16374106831782,0.209602967969195,0.264697769738594,0.331336986607317,0.413081023367523,0.515552187103081,0.646925036262126,0.816923403982782,1.03565586503914,1.31291967740407,1.65782318493457,2.07860858192002,2.58260164762361,3.17624272616496,3.86517159418352,4.65434909574649,5.54820556914788,6.55081001321861,7.66605626470246,8.89786377366132,10.2503911792468,11.728261012905,13.3367936246796,15.082247877017,16.9720653117541,19.015113391177,21.2219220866852,23.6049068015467,26.17856883022,28.9596638784987,31.9673274822478,35.2231476953881,38.7511730018781,42.5778485085047,46.7318741215446,51.2439800355068,56.1466244934435,61.4736157765356,67.2596704089365,73.5399192739548,80.3493790659435,87.7224056738844,95.692148259937,104.290021713862,113.54521354008,123.484239634119,134.13055859719,145.504254166381,157.621789836245,170.495836591144,184.135173770936,198.544659470816,213.725264424203,229.67416348614,246.384877009387,263.84745379988,282.048687319367,300.972357157138,320.599488510217,340.908622132117,361.876088930215,383.476283834917,405.681934116813,428.464358851421,451.793716543256,475.639241871496,499.969452173699,524.752367537145,549.955684247234,575.546948317071,601.493707568136,627.763652387714,654.324735930203,681.145285859744,708.194101250402,735.440537948254,762.854583515291,790.406921877974,818.068989416752,845.813022800901,873.612099500073,901.440171573777,929.2720931113,957.083642886101,984.851541284013,1012.55346286577,1040.16804478757,1067.67489135301,1095.05457506712,1122.28863446725,1149.35956901719,1176.25083128734,1202.94681673109,1229.43285114463,1255.69517611111,1281.7209326257,1307.49814302931,1333.01569149284,1358.26330318141,1383.23152227681,1407.91168899544,1432.29591580508,1456.37706283472,1480.14871287832,1503.60514583807,1526.7413128833,1549.5528104074,1572.03585387682,1594.18725167661,1616.00437904074,1637.48515214983,1658.62800247323,1679.43185142315,1699.89608538355,1720.02053117052,1739.80543197105,1759.25142379517,1778.35951250132,1797.13105141061,1815.56771953689,1833.67150032148,1851.44466123086,1868.88973458154,1886.00949757113,1902.80695412231,1919.28531774646,1935.44799286949,1951.29855979298,1966.84075923939,1982.07847676726,1997.01572858841,2011.65664784465,2026.00547163162,2040.06652903279,2053.84422880062,2067.3430483872,2080.56752340676,2093.52223764681,2106.21181363565,2118.64090374799
2,0,1,0,0,1,409911.11078778,0,0.000190975472247959,0.00142554615020605,0.00451877593326208,0.0101208515042423,0.0187823086237814,0.0310005633717989,0.0472566029716458,0.0680486041193814,0.0939288147660913,0.125551251111859,0.16374106831782,0.209602967969195,0.264697769738594,0.331336986607317,0.413081023367523,0.515552187103081,0.646925036262126,0.816923403982782,1.03565586503914,1.31291967740407,1.65782318493457,2.07860858192002,2.58260164762361,3.17624272616496,3.86517159418352,4.65434909574649,5.54820556914788,6.55081001321861,7.66605626470246,8.89786377366132,10.2503911792468,11.728261012905,13.3367936246796,15.082247877017,16.9720653117541,19.015113391177,21.2219220866852,23.6049068015467,26.17856883022,28.9596638784987,31.9673274822478,35.2231476953881,38.7511730018781,42.5778485085047,46.7318741215446,51.2439800355068,56.1466244934435,61.4736157765356,67.2596704089365,73.5399192739548,80.3493790659435,87.7224056738844,95.692148259937,104.290021713862,113.54521354008,123.484239634119,134.13055859719,145.504254166381,157.621789836245,170.495836591144,184.135173770936,198.544659470816,213.725264424203,229.67416348614,246.384877009387,263.84745379988,282.048687319367,300.972357157138,320.599488510217,340.908622132117,361.876088930215,383.476283834917,405.681934116813,428.464358851421,451.793716543256,475.639241871496,499.969452173699,524.752367537145,549.955684247234,575.546948317071,601.493707568136,627.763652387714,654.324735930203,681.145285859744,708.194101250402,735.440537948254,762.854583515291,790.406921877974,818.068989416752,845.813022800901,873.612099500073,901.440171573777,929.2720931113,957.083642886101,984.851541284013,1012.55346286577,1040.16804478757,1067.67489135301,1095.05457506712,1122.28863446725,1149.35956901719,1176.25083128734,1202.94681673109,1229.43285114463,1255.69517611111,1281.7209326257,1307.49814302931,1333.01569149284,1358.26330318141,1383.23152227681,1407.91168899544,1432.29591580508,1456.37706283472,1480.14871287832,1503.60514583807,1526.7413128833,1549.5528104074,1572.03585387682,1594.18725167661,1616.00437904074,1637.48515214983,1658.62800247323,1679.43185142315,1699.89608538355,1720.02053117052,1739.80543197105,1759.25142379517,1778.35951250132,1797.13105141061,1815.56771953689,1833.67150032148,1851.44466123086,1868.88973458154,1886.00949757113,1902.80695412231,1919.28531774646,1935.44799286949,1951.29855979298,1966.84075923939,1982.07847676726,1997.01572858841,2011.65664784465,2026.00547163162,2040.06652903279,2053.84422880062,2067.3430483872,2080.56752340676,2093.52223764681,2106.21181363565,2118.64090374799
3,0,1,1,0,0,770.3959473966,0,3.58897857234476e-07,2.67901135509968e-06,8.49208005970941e-06,1.90199918110149e-05,3.52973616959536e-05,5.82589776385229e-05,8.88087530145396e-05,0.000127882905164562,0.000176519266873992,0.000235946922747486,0.000307716576735302,0.000393904280945873,0.000497443264601962,0.000622677525632693,0.000776298088994058,0.000968870887270818,0.00121575826766044,0.00153523411023924,0.0019462953353102,0.00246735380933891,0.00311552673096222,0.00390630355458257,0.00485345152710964,0.00596907390807292,0.00726376946037821,0.00874686103729475,0.010426674519114,0.0123108567253166,0.0144067252954262,0.0167216460037603,0.0192634341297521,0.0220407767399211,0.0250636723026985,0.0283438830213363,0.0318953936939262,0.0357348688333298,0.0398820972853477,0.0443604111647125,0.0491970625758284,0.0544235403106062,0.060075805546354,0.0661944284474121,0.0728246030340431,0.0800160272703281,0.0878226365373099,0.0963021817117471,0.105515661170782,0.115526610401613,0.126400271741296,0.138202666226949,0.150999600301792,0.164855638565633,0.179833077831398,0.195990955715215,0.213384123935324,0.23206241348822,0.252069909834765,0.273444356095172,0.29621669191236,0.32041072971147,0.346042968397964,0.373122537730423,0.401651261996227,0.43162383193519,0.463028070425908,0.495845276311715,0.530050630707626,0.565613650795204,0.602498677460481,0.640665382605341,0.680069285194999,0.720662265936941,0.762393071526065,0.80520780225358,0.84905037736388,0.893862979967758,0.93958644508472,0.986160673257936,1.03352495651369,1.08161830447337,1.13037973015685,1.17974851450614,1.22966443227829,1.28006796204186,1.33090046828032,1.38210436181194,1.43362324063091,1.48540201140063,1.53738699486202,1.58952601572898,1.64176847882118,1.69406543256428,1.74636962055742,1.79863552414731,1.85081939424125,1.90287927491568,1.95477501924084,2.00646829783525,2.05792260084645,2.10910323387461,2.1599773083772,2.21051372697318,2.26068316422994,2.31045804309667,2.35981250754971,2.40872239181938,2.45716518643818,2.50512000156516,2.55256752782942,2.59948999502807,2.64587112893622,2.69169610661155,2.73695151018225,2.78162527987191,2.82570666597099,2.86918618027413,2.91205554713753,2.95430765433381,2.99593650390027,3.03693716314636,3.07730571597592,3.11703921466859,3.15613563224762,3.19459381555189,3.23241343911903,3.26959495996735,3.30613957334271,3.34204916954247,3.37732629184638,3.4119740956045,3.44599630827376,3.47939719107602,3.51218150296257,3.54435446308673,3.57592171668346,3.6068893028652,3.63726361952772,3.66705139508775,3.69625965943902,3.72489571466393,3.75296710838,3.78048160794978,3.80744717609506,3.83387194840918,3.85976421020639,3.88513237590744,3.90998496923632,3.93433060444858,3.95817796860483,3.98153580485566
4,0,1,1,0,1,770.3959473966,0,3.58897857234476e-07,2.67901135509968e-06,8.49208005970941e-06,1.90199918110149e-05,3.52973616959536e-05,5.82589776385229e-05,8.88087530145396e-05,0.000127882905164562,0.000176519266873992,0.000235946922747486,0.000307716576735302,0.000393904280945873,0.000497443264601962,0.000622677525632693,0.000776298088994058,0.000968870887270818,0.00121575826766044,0.00153523411023924,0.0019462953353102,0.00246735380933891,0.00311552673096222,0.00390630355458257,0.00485345152710964,0.00596907390807292,0.00726376946037821,0.00874686103729475,0.010426674519114,0.0123108567253166,0.0144067252954262,0.0167216460037603,0.0192634341297521,0.0220407767399211,0.0250636723026985,0.0283438830213363,0.0318953936939262,0.0357348688333298,0.0398820972853477,0.0443604111647125,0.0491970625758284,0.0544235403106062,0.060075805546354,0.0661944284474121,0.0728246030340431,0.0800160272703281,0.0878226365373099,0.0963021817117471,0.105515661170782,0.115526610401613,0.126400271741296,0.138202666226949,0.150999600301792,0.164855638565633,0.179833077831398,0.195990955715215,0.213384123935324,0.23206241348822,0.252069909834765,0.273444356095172,0.29621669191236,0.32041072971147,0.346042968397964,0.373122537730423,0.401651261996227,0.43162383193519,0.463028070425908,0.495845276311715,0.530050630707626,0.565613650795204,0.602498677460481,0.640665382605341,0.680069285194999,0.720662265936941,0.762393071526065,0.80520780225358,0.84905037736388,0.893862979967758,0.93958644508472,0.986160673257936,1.03352495651369,1.08161830447337,1.13037973015685,1.17974851450614,1.22966443227829,1.28006796204186,1.33090046828032,1.38210436181194,1.43362324063091,1.48540201140063,1.53738699486202,1.58952601572898,1.64176847882118,1.69406543256428,1.74636962055742,1.79863552414731,1.85081939424125,1.90287927491568,1.95477501924084,2.00646829783525,2.05792260084645,2.10910323387461,2.1599773083772,2.21051372697318,2.26068316422994,2.31045804309667,2.35981250754971,2.40872239181938,2.45716518643818,2.50512000156516,2.55256752782942,2.59948999502807,2.64587112893622,2.69169610661155,2.73695151018225,2.78162527987191,2.82570666597099,2.86918618027413,2.91205554713753,2.95430765433381,2.99593650390027,3.03693716314636,3.07730571597592,3.11703921466859,3.15613563224762,3.19459381555189,3.23241343911903,3.26959495996735,3.30613957334271,3.34204916954247,3.37732629184638,3.4119740956045,3.44599630827376,3.47939719107602,3.51218150296257,3.54435446308673,3.57592171668346,3.6068893028652,3.63726361952772,3.66705139508775,3.69625965943902,3.72489571466393,3.75296710838,3.78048160794978,3.80744717609506,3.83387194840918,3.85976421020639,3.88513237590744,3.90998496923632,3.93433060444858,3.95817796860483,3.98153580485566
5,11,1,0,0,0,57.3921369,0,2.67509922243103e-08,1.99948787239063e-07,6.35170850219858e-07,1.42684800272741e-06,2.65816403692555e-06,4.40861079482623e-06,6.76075915654756e-06,9.80764013744736e-06,1.36623457626204e-05,1.84721374736021e-05,2.44407108348879e-05,3.18647541785419e-05,4.11953434984021e-05,5.31424187262545e-05,6.8853854994441e-05,9.02101992906196e-05,0.000120001337405975,0.000161552351275274,0.000218285525693856,0.000293454667327426,0.000389999880896392,0.000510479842531438,0.000657053628732186,0.000831493819836223,0.00103521933791655,0.0012693404255177,0.00153471108717365,0.00183198605831185,0.00216168047640498,0.00252423114479492,0.00292005869670443,0.00334963018178352,0.00381352167059974,0.00431248043122801,0.00484748609927765,0.00541981005260311,0.00603107193008394,0.00668329197038514,0.00737893745184447,0.00812096137966887,0.0089128311906585,0.00975854558177514,0.010662637007474,0.0116301585120565,0.0126666536536254,0.0137781086158698,0.0149708876510699,0.0162516523204836,0.0176272671364543,0.0191046941228932,0.0206908800212543,0.022392639681892,0.0242165396351161,0.0261687856019326,0.0282551173574799,0.0304807140216702,0.0328501118310527,0.0353671364369812,0.0380348506085297,0.0408555175526299,0.0438305798791951,0.0469606534714558,0.0502455350008258,0.0536842218640303,0.0572749429296468,0.0610151983480299,0.0649018066682675,0.0689309575736293,0.0730982686945078,0.0773988448803021,0.0818273386736731,0.0863780108174243,0.0910447897192423,0.095821329130618,0.100701063346349,0.105677260089127,0.110743066794283,0.115891559773224,0.121115783214193,0.126408787844713,0.131763664856997,0.137173577051157,0.142631785187422,0.148131672201371,0.153666763840318,0.159230746441867,0.164817482113337,0.170421021326497,0.176035613349463,0.181655714594902,0.187275995121384,0.192891343451389,0.198496869816131,0.20408790823828,0.20966001724204,0.215208979553653,0.220730800868636,0.226221707783887,0.231678145003219,0.237096771907884,0.242474458578881,0.247808281342841,0.253095517925049,0.258333642248757,0.26352031895541,0.268653397697236,0.273730907239394,0.278751049424161,0.283712193027259,0.288612867545293,0.29345175694311,0.298227693390707,0.302939651011025,0.307586739671001,0.31216819882145,0.316683391412982,0.321131797903204,0.325513010364973,0.32982672671096,0.334072745043253,0.338250958137272,0.342361348067492,0.346403980980981,0.350379002023854,0.354286630424823,0.358127154739118,0.36190092824971,0.365608364537554,0.369249933213735,0.372826155813703,0.376337601830125,0.379784884942324,0.383168659512196,0.386489616958715,0.389748482500359,0.392946012104278,0.396082989187024,0.399160221987781,0.402178540885077,0.40513879570576,0.408041853302835,0.410888595227653,0.413679915544091,0.416416718830428,0.419099918132881,0.421730433160925,0.424309188565367,0.426837112317943,0.429315134192891,0.431744184346156
6,11,1,0,0,1,57.3921369,0,2.67509922243103e-08,1.99948787239063e-07,6.35170850219858e-07,1.42684800272741e-06,2.65816403692555e-06,4.40861079482623e-06,6.76075915654756e-06,9.80764013744736e-06,1.36623457626204e-05,1.84721374736021e-05,2.44407108348879e-05,3.18647541785419e-05,4.11953434984021e-05,5.31424187262545e-05,6.8853854994441e-05,9.02101992906196e-05,0.000120001337405975,0.000161552351275274,0.000218285525693856,0.000293454667327426,0.000389999880896392,0.000510479842531438,0.000657053628732186,0.000831493819836223,0.00103521933791655,0.0012693404255177,0.00153471108717365,0.00183198605831185,0.00216168047640498,0.00252423114479492,0.00292005869670443,0.00334963018178352,0.00381352167059974,0.00431248043122801,0.00484748609927765,0.00541981005260311,0.00603107193008394,0.00668329197038514,0.00737893745184447,0.00812096137966887,0.0089128311906585,0.00975854558177514,0.010662637007474,0.0116301585120565,0.0126666536536254,0.0137781086158698,0.0149708876510699,0.0162516523204836,0.0176272671364543,0.0191046941228932,0.0206908800212543,0.022392639681892,0.0242165396351161,0.0261687856019326,0.0282551173574799,0.0304807140216702,0.0328501118310527,0.0353671364369812,0.0380348506085297,0.0408555175526299,0.0438305798791951,0.0469606534714558,0.0502455350008258,0.0536842218640303,0.0572749429296468,0.0610151983480299,0.0649018066682675,0.0689309575736293,0.0730982686945078,0.0773988448803021,0.0818273386736731,0.0863780108174243,0.0910447897192423,0.095821329130618,0.100701063346349,0.105677260089127,0.110743066794283,0.115891559773224,0.121115783214193,0.126408787844713,0.131763664856997,0.137173577051157,0.142631785187422,0.148131672201371,0.153666763840318,0.159230746441867,0.164817482113337,0.170421021326497,0.176035613349463,0.181655714594902,0.187275995121384,0.192891343451389,0.198496869816131,0.20408790823828,0.20966001724204,0.215208979553653,0.220730800868636,0.226221707783887,0.231678145003219,0.237096771907884,0.242474458578881,0.247808281342841,0.253095517925049,0.258333642248757,0.26352031895541,0.268653397697236,0.273730907239394,0.278751049424161,0.283712193027259,0.288612867545293,0.29345175694311,0.298227693390707,0.302939651011025,0.307586739671001,0.31216819882145,0.316683391412982,0.321131797903204,0.325513010364973,0.32982672671096,0.334072745043253,0.338250958137272,0.342361348067492,0.346403980980981,0.350379002023854,0.354286630424823,0.358127154739118,0.36190092824971,0.365608364537554,0.369249933213735,0.372826155813703,0.376337601830125,0.379784884942324,0.383168659512196,0.386489616958715,0.389748482500359,0.392946012104278,0.396082989187024,0.399160221987781,0.402178540885077,0.40513879570576,0.408041853302835,0.410888595227653,0.413679915544091,0.416416718830428,0.419099918132881,0.421730433160925,0.424309188565367,0.426837112317943,0.429315134192891,0.431744184346156
7,11,1,1,0,0,0.107864043,0,5.02728108232428e-11,3.75761297783614e-10,1.19366877033154e-09,2.68145791053873e-09,4.99545499639691e-09,8.28504806936443e-09,1.27054115693604e-08,1.84313775398679e-08,2.56754784333482e-08,3.47144608665174e-08,4.59311274095958e-08,5.98830407976867e-08,7.74179026006976e-08,9.9869894204772e-08,1.29396203234692e-07,1.69530918525818e-07,2.25517038148002e-07,3.03603347704286e-07,4.10221304938615e-07,5.5148574871711e-07,7.32921981696589e-07,9.59338492474306e-07,1.23479280697335e-06,1.56261611363089e-06,1.94547497525517e-06,2.38545585701135e-06,2.88416367912138e-06,3.44282887782508e-06,4.06241954464201e-06,4.74375655872271e-06,5.48763041091166e-06,6.29491882187443e-06,7.16670439394666e-06,8.104391458835e-06,9.1098210336969e-06,1.01853824033045e-05,1.13341193350931e-05,1.25598284387499e-05,1.38671464401236e-05,1.52616228855967e-05,1.67497740865208e-05,1.83391147449381e-05,2.00381626467863e-05,2.18564139161016e-05,2.38042864934766e-05,2.58930301403268e-05,2.81346051177233e-05,3.05415304158442e-05,3.31267064283474e-05,3.59032168011813e-05,3.88841164601605e-05,4.20822124697777e-05,4.5509845229718e-05,4.91786770751782e-05,5.30994946950135e-05,5.72820311456054e-05,6.17348113205345e-05,6.64650247193594e-05,7.14784271663483e-05,7.67792718784655e-05,8.23702699347862e-05,8.82525787570941e-05,9.44258162324769e-05,0.000100888098180925,0.000107636096136931,0.000114665112163787,0.000121969167399906,0.000129541101163898,0.000137372677722436,0.000145454697679172,0.00015377711162327,0.000162329133839235,0.000171099354058273,0.000180075845853581,0.000189246270376086,0.000198597975739806,0.0002081180840042,0.000217793583566414,0.000227611402454922,0.000237558480987393,0.00024762183552628,0.000257788617005893,0.000268046160455775,0.000278382030508109,0.000288784060179412,0.000299240384281562,0.000309739467948301,0.000320270130304362,0.000330821564070013,0.000341383351249728,0.000351945475350107,0.000362498330434278,0.000373032727219878,0.00038353989699307,0.000394011492942993,0.000404439589598919,0.000414816680513536,0.000425135674376784,0.000435389889764245,0.000445573048692175,0.000455679269142272,0.000465703056691116,0.000475639295401301,0.000485483238047851,0.00049523049582014,0.000504877027596039,0.000514419128858144,0.00052385342035075,0.000533176836534125,0.000542386613909317,0.000551480279267643,0.000560455637920534,0.000569310761949844,0.000578043978539452,0.000586653858398624,0.000595139204328271,0.000603499039958763,0.000611732598677636,0.000619839312775884,0.000627818802829243,0.000635670867331879,0.000643395472596575,0.000650992742932699,0.000658462951111563,0.000665806509126989,0.000673023959257274,0.000680115965422764,0.000687083304861061,0.000693926860106504,0.000700647611274254,0.000707246628604878,0.000713725065378383,0.000720084151329038,0.000726325185832018,0.000732449531781495,0.000738458609857242,0.000744353892324349,0.000750136898096784,0.000755809187694704,0.000761372358187256,0.000766828038640638,0.000772177885743464,0.000777423579698991,0.000782566820470053,0.000787609323933184,0.000792552818487094,0.000797399041816676,0.000802149737847806,0.000806806653893781,0.000811371537985231
8,11,1,1,0,1,0.107864043,0,5.02728108232428e-11,3.75761297783614e-10,1.19366877033154e-09,2.68145791053873e-09,4.99545499639691e-09,8.28504806936443e-09,1.27054115693604e-08,1.84313775398679e-08,2.56754784333482e-08,3.47144608665174e-08,4.59311274095958e-08,5.98830407976867e-08,7.74179026006976e-08,9.9869894204772e-08,1.29396203234692e-07,1.69530918525818e-07,2.25517038148002e-07,3.03603347704286e-07,4.10221304938615e-07,5.5148574871711e-07,7.32921981696589e-07,9.59338492474306e-07,1.23479280697335e-06,1.56261611363089e-06,1.94547497525517e-06,2.38545585701135e-06,2.88416367912138e-06,3.44282887782508e-06,4.06241954464201e-06,4.74375655872271e-06,5.48763041091166e-06,6.29491882187443e-06,7.16670439394666e-06,8.104391458835e-06,9.1098210336969e-06,1.01853824033045e-05,1.13341193350931e-05,1.25598284387499e-05,1.38671464401236e-05,1.52616228855967e-05,1.67497740865208e-05,1.83391147449381e-05,2.00381626467863e-05,2.18564139161016e-05,2.38042864934766e-05,2.58930301403268e-05,2.81346051177233e-05,3.05415304158442e-05,3.31267064283474e-05,3.59032168011813e-05,3.88841164601605e-05,4.20822124697777e-05,4.5509845229718e-05,4.91786770751782e-05,5.30994946950135e-05,5.72820311456054e-05,6.17348113205345e-05,6.64650247193594e-05,7.14784271663483e-05,7.67792718784655e-05,8.23702699347862e-05,8.82525787570941e-05,9.44258162324769e-05,0.000100888098180925,0.000107636096136931,0.000114665112163787,0.000121969167399906,0.000129541101163898,0.000137372677722436,0.000145454697679172,0.00015377711162327,0.000162329133839235,0.000171099354058273,0.000180075845853581,0.000189246270376086,0.000198597975739806,0.0002081180840042,0.000217793583566414,0.000227611402454922,0.000237558480987393,0.00024762183552628,0.000257788617005893,0.000268046160455775,0.000278382030508109,0.000288784060179412,0.000299240384281562,0.000309739467948301,0.000320270130304362,0.000330821564070013,0.000341383351249728,0.000351945475350107,0.000362498330434278,0.000373032727219878,0.00038353989699307,0.000394011492942993,0.000404439589598919,0.000414816680513536,0.000425135674376784,0.000435389889764245,0.000445573048692175,0.000455679269142272,0.000465703056691116,0.000475639295401301,0.000485483238047851,0.00049523049582014,0.000504877027596039,0.000514419128858144,0.00052385342035075,0.000533176836534125,0.000542386613909317,0.000551480279267643,0.000560455637920534,0.000569310761949844,0.000578043978539452,0.000586653858398624,0.000595139204328271,0.000603499039958763,0.000611732598677636,0.000619839312775884,0.000627818802829243,0.000635670867331879,0.000643395472596575,0.000650992742932699,0.000658462951111563,0.000665806509126989,0.000673023959257274,0.000680115965422764,0.000687083304861061,0.000693926860106504,0.000700647611274254,0.000707246628604878,0.000713725065378383,0.000720084151329038,0.000726325185832018,0.000732449531781495,0.000738458609857242,0.000744353892324349,0.000750136898096784,0.000755809187694704,0.000761372358187256,0.000766828038640638,0.000772177885743464,0.000777423579698991,0.000782566820470053,0.000787609323933184,0.000792552818487094,0.000797399041816676,0.000802149737847806,0.000806806653893781,0.000811371537985231
9,23,1,0,0,0,8.588468444831,0,4.00360975028352e-09,2.99342551186393e-08,9.51379231406196e-08,2.13852309894557e-07,3.98688589715306e-07,6.61750702102263e-07,1.01562836681916e-06,1.47447192941607e-06,2.05538562345353e-06,2.78047200404161e-06,3.6800554444606e-06,4.79797042951099e-06,6.20043406291201e-06,7.99113049810009e-06,1.033704442872e-05,1.35110342272552e-05,1.79193713073025e-05,2.4054395833549e-05,3.24378503942635e-05,4.35860453230549e-05,5.79893462566851e-05,7.61003327306719e-05,9.83273051119361e-05,0.000125031196536014,0.000156524804862873,0.000193073705294022,0.000234898486782293,0.000282178087626557,0.000335054072959709,0.000393635726329808,0.000458005837840035,0.000528227071196021,0.000604348787621665,0.000686414196900326,0.000774467695372684,0.000868562237237684,0.000968766569060928,0.00107517214289581,0.00118789949728541,0.00130710389373494,0.00143297996892125,0.00156576520612346,0.00170574197839156,0.00185323803131679,0.00200862528295756,0.00217231684970564,0.00234476240747416,0.00252644192460963,0.00271785801161791,0.00291952711798454,0.00313196992513302,0.00335570126225912,0.00359121991858614,0.00383899870181307,0.00409947506398917,0.00437304258228256,0.00466004349327912,0.0049607624729124,0.00527542175252845,0.00560417759834461,0.00594711816325807,0.00630426265077135,0.00667556168269908,0.00706089876427557,0.00746009270481689,0.00787290083951654,0.00829902289663945,0.00873810536024841,0.00918974619178158,0.00965349976730905,0.0101288819197188,0.0106153749833581,0.0111124327476632,0.0116194852561111,0.0121359433918188,0.0126612032679793,0.0131946500430376,0.0137356620148731,0.0142836138240755,0.0148378796570929,0.0153978360524871,0.0159628644852026,0.0165323535633041,0.0171057010591817,0.0176823156574875,0.0182616184809344,0.0188430444153986,0.0194260432366304,0.0200100805720325,0.0205946387036566,0.0211792172306387,0.0217633336031044,0.0223465235352456,0.0229283413281016,0.023508360084615,0.0240861718436314,0.024661387637591,0.0252336374797718,0.025802570288531,0.0263678537542559,0.0269291741548067,0.0274862361240038,0.0280387623791711,0.0285864934097491,0.0291291871326555,0.0296666185181581,0.0301985791887892,0.0307248769957094,0.0312453355749308,0.0317597938866628,0.0322681057402798,0.0327701393083182,0.0332657766299256,0.0337549131098932,0.0342374570113547,0.0347133289465081,0.03518246136683,0.0356447980543194,0.0361002936155425,0.0365489129799043,0.0369906309035008,0.0374254314797934,0.0378533076581838,0.0382742607714808,0.0386883000731509,0.0390954422850835,0.0394957111562867,0.0398891370336359,0.0402757564447249,0.0406556116932065,0.0410287504644987,0.0413952254482928,0.0417550939846662,0.0421084176960744,0.0424552621536304,0.0427956965626621,0.043129793420625,0.0434576282422959,0.0437792792777331,0.0440948272282073,0.0444043549882996,0.0447079473967247,0.0450056910010776,0.0452976738413051,0.0455839852270473,0.0458647155397897,0.046139956043089,0.0464097987029732,0.0466743360186337,0.0469336608630539
10,23,1,0,0,1,8.588468444831,0,4.00360975028352e-09,2.99342551186393e-08,9.51379231406196e-08,2.13852309894557e-07,3.98688589715306e-07,6.61750702102263e-07,1.01562836681916e-06,1.47447192941607e-06,2.05538562345353e-06,2.78047200404161e-06,3.6800554444606e-06,4.79797042951099e-06,6.20043406291201e-06,7.99113049810009e-06,1.033704442872e-05,1.35110342272552e-05,1.79193713073025e-05,2.4054395833549e-05,3.24378503942635e-05,4.35860453230549e-05,5.79893462566851e-05,7.61003327306719e-05,9.83273051119361e-05,0.000125031196536014,0.000156524804862873,0.000193073705294022,0.000234898486782293,0.000282178087626557,0.000335054072959709,0.000393635726329808,0.000458005837840035,0.000528227071196021,0.000604348787621665,0.000686414196900326,0.000774467695372684,0.000868562237237684,0.000968766569060928,0.00107517214289581,0.00118789949728541,0.00130710389373494,0.00143297996892125,0.00156576520612346,0.00170574197839156,0.00185323803131679,0.00200862528295756,0.00217231684970564,0.00234476240747416,0.00252644192460963,0.00271785801161791,0.00291952711798454,0.00313196992513302,0.00335570126225912,0.00359121991858614,0.00383899870181307,0.00409947506398917,0.00437304258228256,0.00466004349327912,0.0049607624729124,0.00527542175252845,0.00560417759834461,0.00594711816325807,0.00630426265077135,0.00667556168269908,0.00706089876427557,0.00746009270481689,0.00787290083951654,0.00829902289663945,0.00873810536024841,0.00918974619178158,0.00965349976730905,0.0101288819197188,0.0106153749833581,0.0111124327476632,0.0116194852561111,0.0121359433918188,0.0126612032679793,0.0131946500430376,0.0137356620148731,0.0142836138240755,0.0148378796570929,0.0153978360524871,0.0159628644852026,0.0165323535633041,0.0171057010591817,0.0176823156574875,0.0182616184809344,0.0188430444153986,0.0194260432366304,0.0200100805720325,0.0205946387036566,0.0211792172306387,0.0217633336031044,0.0223465235352456,0.0229283413281016,0.023508360084615,0.0240861718436314,0.024661387637591,0.0252336374797718,0.025802570288531,0.0263678537542559,0.0269291741548067,0.0274862361240038,0.0280387623791711,0.0285864934097491,0.0291291871326555,0.0296666185181581,0.0301985791887892,0.0307248769957094,0.0312453355749308,0.0317597938866628,0.0322681057402798,0.0327701393083182,0.0332657766299256,0.0337549131098932,0.0342374570113547,0.0347133289465081,0.03518246136683,0.0356447980543194,0.0361002936155425,0.0365489129799043,0.0369906309035008,0.0374254314797934,0.0378533076581838,0.0382742607714808,0.0386883000731509,0.0390954422850835,0.0394957111562867,0.0398891370336359,0.0402757564447249,0.0406556116932065,0.0410287504644987,0.0413952254482928,0.0417550939846662,0.0421084176960744,0.0424552621536304,0.0427956965626621,0.043129793420625,0.0434576282422959,0.0437792792777331,0.0440948272282073,0.0444043549882996,0.0447079473967247,0.0450056910010776,0.0452976738413051,0.0455839852270473,0.0458647155397897,0.046139956043089,0.0464097987029732,0.0466743360186337,0.0469336608630539
