"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.00774516600679104,0.0597784584049387,0.19975272268493,0.479936373997754,0.970891191131721,1.77309104407922,3.033041606689,4.96694850685574,7.89615923407392,12.3005587565174,18.8991140089994,28.7710853487184,43.5377977279558,65.6332435208136,98.7024926969751,148.15435489345,221.351580768004,326.681027659173,472.567712913891,666.891658136046,916.686730104934,1228.02122710814,1605.99255610057,2054.78957840674,2577.79147158589,3177.6813897877,3856.56069585169,4616.05451427691,5457.403156348,6381.53681707742,7389.13304750754,8480.65802480611,9656.39360868784,10916.4527084306,12260.7856846323,13689.1804095799,15201.2583642349,16796.4687802567,18474.0824217444,20233.1862074496,22072.6794951978,23991.2725303943,25987.4872996702,28059.660824958,30205.9507843207,32424.3432431149,34712.6622162283,37068.5807503511,39489.633206915,41973.2284351198,44516.6635447413,47117.1380157674,49771.7679126986,52477.6000046869,55231.625622544,58030.7941153741,60872.0257961617,63752.2242907294,66668.2882258946,69617.1222118645,72595.6470896713,75600.8094282664,78629.5902669378,81679.0131080883,84746.1511729014,87828.1339382023,90922.152977881,94025.4671353071,97135.4070559858,100249.379111811,103364.868749181,106479.44329373,109590.75424524,112696.539095891,115794.622703777,118882.919455598,121959.462703097,125022.483405206,128070.466934615,131102.17016139,134116.613321427,137113.057475643,140090.97470698,143050.015614318,145989.977037178,148910.771691115,151812.4006741,154694.929275055,157558.466179884,160403.145969814,163229.114679885,166036.518151449,168825.492823343,171596.158704278,174348.614252669,177082.932680451,179799.15969026,182497.31228286,185177.378452723,187839.317581707,190483.061419847,193108.515503355,195715.56088391,198304.056118697,200873.839407817,203424.730828065,205956.534622465,208469.041482152,210962.030804147,213435.272889858,215888.531070745,218321.563742052,220734.126234394,223125.97265876,225496.857607333,227846.537683504,230174.773013508,232481.3285588,234765.975264312,237028.491180286,239268.662455188,241486.284204403,243681.161280542,245853.108947724,248001.953463683,250127.532575052,252229.695931376,254308.305422957,256363.235447782,258394.373112556,260401.618372739,262384.884116294,264344.096195674,266279.193412358,268190.127458049,270076.862816445,271939.37662926,273777.658529997,275591.710448743,277381.546391077,279147.192193979,280888.68526145,282606.074282361,284299.418932902,285968.7895658,287614.266888371,289235.941631266,290833.914209678,292408.294378616,293959.20088373
2,0,1,0,0,1,818021.22396571,0,0.00774516600679104,0.0597784584049387,0.19975272268493,0.479936373997754,0.970891191131721,1.77309104407922,3.033041606689,4.96694850685574,7.89615923407392,12.3005587565174,18.8991140089994,28.7710853487184,43.5377977279558,65.6332435208136,98.7024926969751,148.15435489345,221.351580768004,326.681027659173,472.567712913891,666.891658136046,916.686730104934,1228.02122710814,1605.99255610057,2054.78957840674,2577.79147158589,3177.6813897877,3856.56069585169,4616.05451427691,5457.403156348,6381.53681707742,7389.13304750754,8480.65802480611,9656.39360868784,10916.4527084306,12260.7856846323,13689.1804095799,15201.2583642349,16796.4687802567,18474.0824217444,20233.1862074496,22072.6794951978,23991.2725303943,25987.4872996702,28059.660824958,30205.9507843207,32424.3432431149,34712.6622162283,37068.5807503511,39489.633206915,41973.2284351198,44516.6635447413,47117.1380157674,49771.7679126986,52477.6000046869,55231.625622544,58030.7941153741,60872.0257961617,63752.2242907294,66668.2882258946,69617.1222118645,72595.6470896713,75600.8094282664,78629.5902669378,81679.0131080883,84746.1511729014,87828.1339382023,90922.152977881,94025.4671353071,97135.4070559858,100249.379111811,103364.868749181,106479.44329373,109590.75424524,112696.539095891,115794.622703777,118882.919455598,121959.462703097,125022.483405206,128070.466934615,131102.17016139,134116.613321427,137113.057475643,140090.97470698,143050.015614318,145989.977037178,148910.771691115,151812.4006741,154694.929275055,157558.466179884,160403.145969814,163229.114679885,166036.518151449,168825.492823343,171596.158704278,174348.614252669,177082.932680451,179799.15969026,182497.31228286,185177.378452723,187839.317581707,190483.061419847,193108.515503355,195715.56088391,198304.056118697,200873.839407817,203424.730828065,205956.534622465,208469.041482152,210962.030804148,213435.272889858,215888.531070745,218321.563742052,220734.126234394,223125.97265876,225496.857607333,227846.537683504,230174.773013508,232481.3285588,234765.975264312,237028.491180286,239268.662455188,241486.284204403,243681.161280542,245853.108947724,248001.953463683,250127.532575052,252229.695931376,254308.305422957,256363.235447782,258394.373112556,260401.618372739,262384.884116294,264344.096195674,266279.193412358,268190.127458049,270076.862816445,271939.37662926,273777.658529997,275591.710448743,277381.546391077,279147.192193979,280888.685261449,282606.074282361,284299.418932902,285968.7895658,287614.266888371,289235.941631266,290833.914209678,292408.294378616,293959.20088373
3,0,1,1,0,0,2335.27250675705,0,2.21091832188154e-05,0.00017064229330324,0.000570209798011561,0.00137001598374863,0.00277148497675116,0.00506142731128239,0.00865805491241635,0.0141785436852106,0.0225402052167778,0.0351129087489144,0.0539490017298376,0.0821293174118213,0.124282054905872,0.187355236153035,0.281753998981792,0.422918214294262,0.631865430732302,0.93253658969926,1.34898156333238,1.90369449071865,2.61675409569999,3.50548281120412,4.58443158477792,5.86555784927965,7.35850773181883,9.07094050614734,11.0088546771374,13.176889290004,15.5785849104906,18.2165968531431,21.0928592404999,24.2087028118123,27.5649321577204,31.1618695866047,34.9993733989022,39.0768380594358,43.3931830559518,47.9468361770684,52.7357157617685,57.7572153480867,63.0081930666982,68.4849672120568,74.183318679195,80.0985003669208,86.2252532229146,92.5578283129402,99.0900141170013,105.815168164552,112.726252097111,119.815869271696,127.076304076383,134.499562207372,142.077411244815,149.801420959864,157.663002870584,165.653448654968,173.763967105128,181.985719378368,190.309852361937,198.727530023141,207.229962661446,215.80843401868,224.454326234949,233.159142664645,241.914528588316,250.712289872648,259.544409645262,268.403063059782,277.28063023465,286.169707455222,295.063116731218,303.953913803058,312.835394692857,321.701100894772,330.544823295804,339.360608349372,348.142842103939,356.886474693167,365.587182494725,374.24141689681,382.846381086026,391.399965702858,399.900663766706,408.34747788469,416.739828119312,425.077465310276,433.360392591833,441.588796336327,449.762986796181,457.883348144055,465.950297248416,473.964250424827,481.925597148637,489.834679994119,497.69178001853,505.497106211074,513.250789033508,520.952877015847,528.603335887368,536.202049700401,543.748823630073,551.243388022104,558.68540332919,566.074465791734,573.410113539243,580.691832966834,587.919065270879,595.091212962828,602.207646314187,609.267709632328,616.270727328363,623.216009722585,630.102858387064,636.930571412349,643.698448262604,650.405794143132,657.051924315481,663.636167843705,670.157870872166,676.616399827892,683.01114425492,689.341519294064,695.606967881814,701.806962675121,707.941007713075,714.008639830727,720.00942984092,725.942983498702,731.808942263287,737.60698387192,743.336822739617,748.998210198248,754.590934587829,760.114821212384,765.5697321721,770.955566082905,776.272257694034,781.519777413507,786.698130750909,791.807357686262,796.847531973251,801.818760384527,806.72118190629,811.554966888893,816.320316159716,821.017460104109,825.646657719828,830.20819564991,834.702387198626,839.12957133474
4,0,1,1,0,1,2335.27250675705,0,2.21091832188154e-05,0.00017064229330324,0.000570209798011561,0.00137001598374863,0.00277148497675116,0.00506142731128239,0.00865805491241635,0.0141785436852106,0.0225402052167778,0.0351129087489144,0.0539490017298376,0.0821293174118213,0.124282054905872,0.187355236153035,0.281753998981792,0.422918214294262,0.631865430732302,0.93253658969926,1.34898156333238,1.90369449071865,2.61675409569999,3.50548281120412,4.58443158477792,5.86555784927965,7.35850773181883,9.07094050614734,11.0088546771374,13.176889290004,15.5785849104906,18.2165968531431,21.0928592404999,24.2087028118123,27.5649321577204,31.1618695866047,34.9993733989022,39.0768380594358,43.3931830559518,47.9468361770684,52.7357157617685,57.7572153480867,63.0081930666982,68.4849672120568,74.183318679195,80.0985003669208,86.2252532229146,92.5578283129402,99.0900141170013,105.815168164552,112.726252097111,119.815869271696,127.076304076383,134.499562207372,142.077411244815,149.801420959864,157.663002870584,165.653448654968,173.763967105128,181.985719378368,190.309852361937,198.727530023141,207.229962661446,215.80843401868,224.454326234949,233.159142664645,241.914528588316,250.712289872648,259.544409645262,268.403063059782,277.28063023465,286.169707455222,295.063116731218,303.953913803058,312.835394692857,321.701100894772,330.544823295804,339.360608349372,348.142842103939,356.886474693167,365.587182494725,374.24141689681,382.846381086026,391.399965702858,399.900663766706,408.34747788469,416.739828119312,425.077465310276,433.360392591833,441.588796336327,449.762986796181,457.883348144055,465.950297248416,473.964250424827,481.925597148637,489.834679994119,497.69178001853,505.497106211074,513.250789033508,520.952877015847,528.603335887368,536.202049700401,543.748823630073,551.243388022104,558.68540332919,566.074465791734,573.410113539243,580.691832966835,587.919065270879,595.091212962828,602.207646314187,609.267709632329,616.270727328363,623.216009722585,630.102858387064,636.930571412349,643.698448262604,650.405794143132,657.051924315481,663.636167843705,670.157870872166,676.616399827893,683.01114425492,689.341519294065,695.606967881815,701.806962675121,707.941007713076,714.008639830728,720.00942984092,725.942983498703,731.808942263288,737.60698387192,743.336822739617,748.998210198248,754.590934587829,760.114821212384,765.5697321721,770.955566082905,776.272257694034,781.519777413508,786.698130750909,791.807357686262,796.847531973251,801.818760384527,806.72118190629,811.554966888894,816.320316159716,821.01746010411,825.646657719829,830.208195649911,834.702387198626,839.12957133474
5,0,2,0,0,0,527895.493723415,0,0.00497741567386004,0.0381095493168169,0.125815796526456,0.297796672352972,0.592422524298102,1.06315934976533,1.78741866944677,2.87949723893764,4.50992548041478,6.93462266609206,10.5389227499521,15.9039313961738,23.9062262535198,35.8666272654673,53.7698855630331,80.5708282313803,120.306092051356,177.595996815892,257.113819745035,363.27186009216,500.058558909088,670.972566446184,879.017502046151,1126.73263987331,1416.24292248819,1749.31670841099,2127.42362451671,2551.78753741477,3023.43170208726,3543.21470142718,4111.85695751004,4729.95844921944,5398.00881756996,6116.39134225728,6885.38238076921,7705.14779357743,8575.73772554718,9497.08088745248,10468.9792303381,11491.1036669194,12562.9912664342,13684.0441585378,14853.530227122,16070.5855555459,17334.2184989196,18643.315202921,19996.6463560461,21392.8749486601,22830.5648126905,24308.1897263281,25824.1428852111,27376.7465625029,28964.2618028147,30584.8980185917,32236.8223785008,33918.1688991863,35627.0471698768,37361.5506562604,39119.7645443683,40899.7730979572,42699.6665132366,44517.5472637961,46351.5359357015,48199.776558715,50060.4414442841,51931.7355445383,53811.9003496218,55699.2173424213,57592.0110314154,59488.6515835204,61387.5570791822,63287.1954120914,65186.0858562586,67082.8003227561,68975.9643274558,70864.2577236278,72746.4159302728,74621.2324216724,76487.5609266287,78344.3169905647,80190.4791515238,82025.0898019956,83847.2557127701,85656.148169317,87451.0026814845,89231.1182507407,90995.8562009541,92744.6386017347,94476.9463267494,96192.3168017709,97890.3415006066,99570.6632467363,101232.97338041,102877.00883919,104502.549202204,106109.413747599,107697.458541521,109266.573599363,110816.680139897,112347.727950337,113859.692873695,115352.574429517,116826.393572986,118281.190594236,119717.023159916,121133.964492774,122532.101689107,123911.534165631,125272.372234524,126614.735798721,127938.753157658,129244.559918454,130532.298040528,131802.114923893,133054.162601612,134288.597038733,135505.577455195,136705.265755351,137887.826042284,139053.424143459,140202.227201681,141334.403322065,142450.121258915,143549.55014218,144632.859239489,145700.217750212,146751.79462829,147787.758430842,148808.277189763,149813.518303775,150803.648448601,151778.833503151,152739.238489759,153685.027526731,154616.363791591,155533.409493579,156436.325854097,157325.273093916,158200.410426093,159061.896053638,159909.887171091,160744.539969251,161566.009642386,162374.450397333,163170.01546397,163952.8571066,164723.126635861,165480.974420815,166226.549900919,166960.001597649
6,0,2,0,0,1,527895.493723415,0,0.00497741567386004,0.0381095493168169,0.125815796526456,0.297796672352972,0.592422524298102,1.06315934976533,1.78741866944677,2.87949723893764,4.50992548041478,6.93462266609206,10.5389227499521,15.9039313961738,23.9062262535198,35.8666272654673,53.7698855630331,80.5708282313803,120.306092051356,177.595996815892,257.113819745035,363.27186009216,500.058558909088,670.972566446184,879.017502046151,1126.73263987331,1416.24292248819,1749.31670841099,2127.42362451671,2551.78753741477,3023.43170208726,3543.21470142718,4111.85695751004,4729.95844921944,5398.00881756996,6116.39134225728,6885.38238076921,7705.14779357743,8575.73772554718,9497.08088745248,10468.9792303381,11491.1036669194,12562.9912664342,13684.0441585378,14853.530227122,16070.5855555459,17334.2184989196,18643.315202921,19996.6463560461,21392.8749486601,22830.5648126905,24308.1897263281,25824.1428852111,27376.7465625029,28964.2618028147,30584.8980185917,32236.8223785008,33918.1688991863,35627.0471698768,37361.5506562604,39119.7645443683,40899.7730979572,42699.6665132366,44517.5472637961,46351.5359357015,48199.776558715,50060.4414442841,51931.7355445383,53811.9003496218,55699.2173424213,57592.0110314154,59488.6515835204,61387.5570791822,63287.1954120914,65186.0858562586,67082.8003227561,68975.9643274558,70864.2577236278,72746.4159302728,74621.2324216724,76487.5609266287,78344.3169905647,80190.4791515238,82025.0898019956,83847.2557127701,85656.148169317,87451.0026814845,89231.1182507407,90995.8562009541,92744.6386017347,94476.9463267494,96192.3168017709,97890.3415006066,99570.6632467363,101232.97338041,102877.00883919,104502.549202204,106109.413747599,107697.458541521,109266.573599363,110816.680139897,112347.727950337,113859.692873695,115352.574429517,116826.393572985,118281.190594236,119717.023159916,121133.964492774,122532.101689107,123911.534165631,125272.372234524,126614.735798721,127938.753157658,129244.559918454,130532.298040528,131802.114923893,133054.162601612,134288.597038733,135505.577455195,136705.265755351,137887.826042284,139053.424143459,140202.227201681,141334.403322065,142450.121258915,143549.55014218,144632.859239489,145700.217750212,146751.79462829,147787.758430842,148808.277189763,149813.518303775,150803.648448601,151778.833503151,152739.238489759,153685.027526731,154616.363791591,155533.409493579,156436.325854097,157325.273093916,158200.410426093,159061.896053638,159909.887171091,160744.539969251,161566.009642386,162374.450397333,163170.01546397,163952.8571066,164723.126635861,165480.974420815,166226.549900919,166960.001597649
7,0,2,1,0,0,171228.02725029,0,0.00161216339594704,0.0123435180966038,0.040751192000521,0.096455053397213,0.19188309178672,0.344352712342648,0.578937171602493,0.93265669406022,1.46074534545254,2.24609427050489,3.41351146929828,5.15121455160292,7.74312322427834,11.6170453508899,17.4158332333448,26.0965425768899,38.9666225654444,57.5225747845304,83.2780535011282,117.66218334825,161.966803121761,217.325110496608,284.709964779095,364.943825881801,458.714953503947,566.596111317275,689.063305106484,826.51293996982,979.276443767634,1147.63190778326,1331.81267360919,1532.01307180929,1748.39169498914,1981.07268578345,2230.14555518654,2495.66402468739,2777.64433599082,3076.06339882507,3390.85706599063,3721.91874754023,4069.0985022034,4432.20268236288,4810.99415877966,5205.19311259252,5614.47835431315,6038.48911134708,6476.82721501827,6929.05961369223,7394.72113874552,7873.31745353926,8364.3281210944,8867.2097329493,9381.39904897923,9906.31610562433,10441.3672567478,10985.9481184161,11539.4463947616,12101.2445675715,12670.7224368882,13247.2595040331,13830.2371918238,14419.0408996676,15013.0618935249,15611.6990326678,16214.3603366839,16820.4643973363,17429.441640893,18040.7354470984,18653.8031314997,19268.1167982144,19883.1640703452,20498.4487052889,21113.4911023058,21727.8287095724,22341.016337628,22952.6263966602,23562.2492943559,24169.4942422564,24773.9899680814,25375.3852216868,25973.3491559653,26567.5716059885,27157.763258681,27743.6556969929,28325.0013058725,28901.5730349289,29473.1640197274,30039.5870711155,30600.6740463207,31156.2751195526,31706.2579709454,32250.50691257,32788.9219708691,33321.4179410578,33847.9234297692,34368.3799019776,34882.74073813,35390.9703146885,35893.0431147545,36388.9428746236,36878.6617699521,37362.199645123,37839.5632874294,38310.7657466715,38775.8257008268,39234.7668664272,39687.6174535857,40134.409662947,40575.1792241477,41009.9649732296,41438.8084658247,41861.7536244925,42278.8464292738,42690.1346223955,43095.6674467082,43495.495418616,43889.6701087688,44278.2439572851,44661.2701164435,45038.8022970426,45410.8946359132,45777.6015815745,46138.9777928155,46495.0780500948,46845.9571784646,47191.6699808685,47532.2711807572,47867.8153730519,48198.3569825563,48523.9502289917,48844.6490979039,49160.5073167536,49471.5783355608,49777.9153115346,50079.5710971686,50376.5982313338,50669.0489329445,50956.9750968153,51240.428291366,51519.4597578669,51794.1204109494,52064.4608401374,52330.5313121826,52592.3817740121,52850.0618561201,53103.6208762556,53353.1078432796,53598.5714610799,53840.0601324504,54077.6219628543
8,0,2,1,0,1,171228.02725029,0,0.00161216339594704,0.0123435180966038,0.040751192000521,0.096455053397213,0.19188309178672,0.344352712342648,0.578937171602493,0.93265669406022,1.46074534545254,2.24609427050489,3.41351146929828,5.15121455160292,7.74312322427834,11.6170453508899,17.4158332333448,26.0965425768899,38.9666225654444,57.5225747845304,83.2780535011282,117.66218334825,161.966803121761,217.325110496608,284.709964779095,364.943825881801,458.714953503947,566.596111317275,689.063305106484,826.51293996982,979.276443767634,1147.63190778326,1331.81267360919,1532.01307180929,1748.39169498914,1981.07268578345,2230.14555518654,2495.66402468739,2777.64433599082,3076.06339882507,3390.85706599063,3721.91874754023,4069.0985022034,4432.20268236288,4810.99415877966,5205.19311259252,5614.47835431315,6038.48911134708,6476.82721501827,6929.05961369223,7394.72113874552,7873.31745353926,8364.3281210944,8867.2097329493,9381.39904897923,9906.31610562433,10441.3672567478,10985.9481184161,11539.4463947616,12101.2445675715,12670.7224368882,13247.2595040331,13830.2371918238,14419.0408996676,15013.0618935249,15611.6990326678,16214.3603366839,16820.4643973363,17429.441640893,18040.7354470984,18653.8031314997,19268.1167982144,19883.1640703452,20498.4487052889,21113.4911023058,21727.8287095724,22341.016337628,22952.6263966602,23562.2492943559,24169.4942422564,24773.9899680814,25375.3852216868,25973.3491559653,26567.5716059885,27157.763258681,27743.655696993,28325.0013058725,28901.573034929,29473.1640197274,30039.5870711155,30600.6740463207,31156.2751195526,31706.2579709454,32250.50691257,32788.9219708691,33321.4179410578,33847.9234297692,34368.3799019776,34882.74073813,35390.9703146885,35893.0431147545,36388.9428746236,36878.6617699521,37362.199645123,37839.5632874294,38310.7657466715,38775.8257008268,39234.7668664271,39687.6174535857,40134.409662947,40575.1792241477,41009.9649732295,41438.8084658247,41861.7536244925,42278.8464292738,42690.1346223955,43095.6674467082,43495.495418616,43889.6701087688,44278.2439572851,44661.2701164435,45038.8022970426,45410.8946359132,45777.6015815745,46138.9777928155,46495.0780500948,46845.9571784646,47191.6699808685,47532.2711807572,47867.8153730519,48198.3569825563,48523.9502289917,48844.6490979039,49160.5073167536,49471.5783355608,49777.9153115346,50079.5710971685,50376.5982313338,50669.0489329445,50956.9750968153,51240.428291366,51519.4597578669,51794.1204109494,52064.4608401374,52330.5313121826,52592.3817740121,52850.0618561201,53103.6208762556,53353.1078432796,53598.5714610799,53840.0601324504,54077.6219628543
9,11,2,0,0,0,146.0605932,0,1.37485991730442e-06,1.04768335636129e-05,3.4335920897075e-05,8.05058678307597e-05,0.000158383294079384,0.000280750939536044,0.000465874672206347,0.000740547805395192,0.00114462837535551,0.00173786773385539,0.00261022045183764,0.0038973916221866,0.00580422153854412,0.00863964042608224,0.0128684235482722,0.0191837461226473,0.0285377679466483,0.0420359055593161,0.0608228788682088,0.0860154524212003,0.118666832303406,0.159750846667089,0.210158257684804,0.270700155141971,0.342115143274122,0.425078064984961,0.520208795190105,0.6280801424878,0.749224289163402,0.884137498527792,1.03328304688641,1.19709250782283,1.37596562828646,1.57026909939738,1.78033454910367,2.00645607179536,2.24888757971241,2.5078402151133,2.78348001044811,3.07592593417585,3.3852484120394,3.71146837309021,4.05455683649161,4.41443502903335,4.79097500406353,5.18400071947469,5.59328952425025,6.01857399899757,6.45954409485612,6.91584951638443,7.3871022967922,7.8728795176368,8.37272612936352,8.88615783382366,9.41266399412203,9.95171054187964,10.5027428559861,11.0651885908344,11.6384604354926,12.2219587884966,12.815074335733,13.4171905214441,14.0276859045739,14.6459363946442,15.2713173630979,15.903205627452,16.5409813069614,17.1840295496381,17.8317421313546,18.4835189286444,19.1387692675132,19.7969131511206,20.4573823697482,21.1196214968639,21.7830887753133,22.4472569001686,23.1116136945392,23.775662748385,24.4389240445127,25.1009346296206,25.7612492926684,26.4194412108141,27.0751025216731,27.7278447892135,28.3772993417603,29.0231174720615,29.6649704973623,30.3025496850994,30.9355660539724,31.5637500638983,32.1868512095746,32.8046375322712,33.4168950659581,34.0234272300145,34.6240541814008,35.2186121429142,35.8069527101039,36.38894215022,36.9644606999796,37.5334018683236,38.0956717487912,38.6511883461313,39.1998809204223,39.7416893507776,40.2765635210649,40.8044627283858,41.3253551156561,41.8392171281432,42.3460329947078,42.8457942333451,43.338499179195,43.8241525358472,44.3027649622476,44.7743526621594,45.2389370011071,45.6965441557004,46.1472047583244,46.5909535784076,47.0278292331855,47.4578738943786,47.8811330155902,48.2976550792328,48.7074913568642,49.1106956833495,49.507324244194,49.8974353753337,50.2810893746936,50.6583483248695,51.0292759263062,51.3939373403824,51.7523990418401,52.1047286800274,52.4509949484509,52.7912674621594,53.1256166425124,53.4541136089054,53.7768300770524,54.0938382634491,54.4052107956582,54.7110206280841,55.0113409629202,55.3062451759725,55.595806747079,55.8800991948647,56.159196015582,56.4331706258076,56.7020963087755,56.9660461641408,57.2250930609839,57.4793095938712
10,11,2,0,0,1,146.0605932,0,1.37485991730442e-06,1.04768335636129e-05,3.4335920897075e-05,8.05058678307597e-05,0.000158383294079384,0.000280750939536044,0.000465874672206347,0.000740547805395192,0.00114462837535551,0.00173786773385539,0.00261022045183764,0.0038973916221866,0.00580422153854412,0.00863964042608224,0.0128684235482722,0.0191837461226473,0.0285377679466483,0.0420359055593161,0.0608228788682088,0.0860154524212003,0.118666832303406,0.159750846667089,0.210158257684804,0.270700155141971,0.342115143274122,0.425078064984961,0.520208795190105,0.6280801424878,0.749224289163402,0.884137498527792,1.03328304688641,1.19709250782283,1.37596562828646,1.57026909939738,1.78033454910367,2.00645607179536,2.24888757971241,2.5078402151133,2.78348001044811,3.07592593417585,3.3852484120394,3.71146837309021,4.05455683649161,4.41443502903335,4.79097500406353,5.18400071947469,5.59328952425025,6.01857399899757,6.45954409485612,6.91584951638443,7.3871022967922,7.8728795176368,8.37272612936352,8.88615783382366,9.41266399412203,9.95171054187964,10.5027428559861,11.0651885908344,11.6384604354926,12.2219587884966,12.815074335733,13.4171905214441,14.0276859045739,14.6459363946442,15.2713173630979,15.903205627452,16.5409813069614,17.1840295496381,17.8317421313546,18.4835189286444,19.1387692675132,19.7969131511206,20.4573823697482,21.1196214968639,21.7830887753133,22.4472569001686,23.1116136945392,23.775662748385,24.4389240445127,25.1009346296206,25.7612492926684,26.4194412108141,27.0751025216731,27.7278447892135,28.3772993417603,29.0231174720615,29.6649704973623,30.3025496850994,30.9355660539724,31.5637500638983,32.1868512095746,32.8046375322712,33.4168950659581,34.0234272300145,34.6240541814008,35.2186121429142,35.8069527101039,36.38894215022,36.9644606999796,37.5334018683236,38.0956717487912,38.6511883461313,39.1998809204223,39.7416893507776,40.2765635210649,40.8044627283858,41.3253551156561,41.8392171281432,42.3460329947078,42.8457942333451,43.338499179195,43.8241525358472,44.3027649622476,44.7743526621594,45.2389370011071,45.6965441557004,46.1472047583244,46.5909535784076,47.0278292331855,47.4578738943786,47.8811330155902,48.2976550792328,48.7074913568642,49.1106956833495,49.507324244194,49.8974353753337,50.2810893746936,50.6583483248695,51.0292759263062,51.3939373403824,51.7523990418401,52.1047286800274,52.4509949484509,52.7912674621594,53.1256166425124,53.4541136089054,53.7768300770524,54.0938382634491,54.4052107956582,54.7110206280841,55.0113409629202,55.3062451759725,55.595806747079,55.8800991948647,56.159196015582,56.4331706258076,56.7020963087755,56.9660461641408,57.2250930609839,57.4793095938712
