"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.261944178,110402.569999549,112984.916095976,115550.927609352,118100.87807281,120635.677258065,123156.820392454,125666.316316335,128166.606878626,130660.485226646,133151.017378352,135641.46953112,138135.242181631,140635.811421252,143146.677218243,145671.318235974,148213.152686771,150775.504521901,153361.574409166,155974.414788829,158616.908745352,161291.751976495,164001.437601565,166748.243481557,169534.221778672,172361.190549841,175230.727218032,178144.16379158,181102.583731125,184106.820399754,187157.457022978,190254.828098574,193399.022232772,196589.886277642,199827.030779443,203109.836631159,206437.462868392,209808.855507411,213222.757357862,216677.718666743,220172.108568561,223704.127154588,227271.818089858,230873.081657475,234505.688121004,238167.291297779,241855.442227444,245567.602848332,249301.159574685,253053.436690322,256821.709472203,260603.216979422,264395.174420321,268194.785057861,271999.251591783,275805.786977333,279611.624644005,283414.028086883,287210.299809448,290997.789603928,294773.902161383,298536.104009635,302281.929782442,306008.987828126,309714.965170154,313397.631835938,317054.84457338,320684.549977474,324284.787051594,327853.689229982,331389.485889399,334890.503379017,338355.165598355,341781.994153486,345169.608121873
2,0,1,1,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.261944178,110402.569999549,112984.916095976,115550.927609352,118100.87807281,120635.677258065,123156.820392454,125666.316316335,128166.606878626,130660.485226646,133151.017378352,135641.46953112,138135.242181631,140635.811421252,143146.677218243,145671.318235974,148213.152686771,150775.504521901,153361.574409166,155974.414788829,158616.908745352,161291.751976495,164001.437601565,166748.243481557,169534.221778672,172361.190549841,175230.727218032,178144.16379158,181102.583731125,184106.820399754,187157.457022978,190254.828098574,193399.022232772,196589.886277642,199827.030779443,203109.836631159,206437.462868392,209808.855507411,213222.757357862,216677.718666743,220172.108568561,223704.127154588,227271.818089858,230873.081657475,234505.688121004,238167.291297779,241855.442227444,245567.602848332,249301.159574685,253053.436690322,256821.709472203,260603.216979422,264395.174420321,268194.785057861,271999.251591783,275805.786977333,279611.624644005,283414.028086883,287210.299809448,290997.789603928,294773.902161383,298536.104009635,302281.929782442,306008.987828126,309714.965170154,313397.631835938,317054.84457338,320684.549977474,324284.787051594,327853.689229982,331389.485889399,334890.503379017,338355.165598355,341781.994153486,345169.608121873
3,0,1,0,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973211607345,316.388947278587,323.758892442342,331.08199525075,338.359046099977,345.59264935057,352.787078519358,359.948071418013,367.082600306653,374.198638894832,381.304938702938,388.410821782261,395.525992857882,402.660371933422,409.823946819629,417.026644301187,424.278218514828,431.588154544055,438.965585666222,446.41922222942,453.95729141048,461.587485805395,469.316920115754,477.152094998056,485.09886729868,493.162426088965,501.347274054812,509.657213870849,518.095339272763,526.664030644165,535.364954908746,544.199069556721,553.166630738488,562.267205068633,571.49968516813,580.862308640225,590.352680306589,599.9677974151,609.704077626837,619.55738937335,629.523084512685,639.596032750671,649.770657624028,660.04097370181,670.400624693783,680.842922160086,691.360884492336,701.947275916942,712.594645215507,723.295363921713,734.041663747823,744.82567305699,755.639452132447,766.475027129817,777.324422537374,788.179692029461,799.032947608898,809.876386960187,820.702318953248,831.503187258002,842.271592047498,853.000309784269,863.682311099533,874.310776788722,884.879111958939,895.380958374746,905.810205057972,916.160997205159,926.427743492891,936.605121846598,946.688083752602,956.671857196309,966.551948311543,976.324141827208,985.984500397877
4,0,1,1,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973211607345,316.388947278587,323.758892442342,331.08199525075,338.359046099977,345.59264935057,352.787078519358,359.948071418013,367.082600306653,374.198638894832,381.304938702938,388.410821782261,395.525992857882,402.660371933422,409.823946819629,417.026644301187,424.278218514828,431.588154544055,438.965585666222,446.41922222942,453.95729141048,461.587485805395,469.316920115754,477.152094998056,485.09886729868,493.162426088965,501.347274054812,509.657213870849,518.095339272763,526.664030644165,535.364954908746,544.199069556721,553.166630738488,562.267205068633,571.49968516813,580.862308640225,590.352680306589,599.9677974151,609.704077626837,619.55738937335,629.523084512685,639.596032750671,649.770657624028,660.04097370181,670.400624693783,680.842922160086,691.360884492336,701.947275916942,712.594645215507,723.295363921713,734.041663747823,744.82567305699,755.639452132447,766.475027129817,777.324422537374,788.179692029461,799.032947608898,809.876386960187,820.702318953248,831.503187258002,842.271592047498,853.000309784269,863.682311099533,874.310776788722,884.879111958939,895.380958374746,905.810205057972,916.160997205159,926.427743492891,936.605121846598,946.688083752602,956.671857196309,966.551948311543,976.324141827208,985.984500397877
5,0,2,0,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204964065,65663.3035742098,67238.1994483502,68803.0975969233,70357.2545612303,71899.9979945134,73430.7303517893,74948.9321710617,76454.1647955113,77946.0723851019,79424.383098463,80888.9093759106,82339.5473010941,83776.2750481213,85199.1504543956,86608.3077767602,88003.9536892106,89386.362606544,90755.8714045036,92112.8736354888,93457.813292716,94791.1782430737,96113.4934009235,97425.3137362921,98727.2172089901,100019.797719819,101303.658167472,102579.403696493,103847.635214235,105108.943251047,106363.902226602,107613.06517431,108856.958978886,110096.080136066,111330.891077151,112561.817060343,113789.243632803,115013.514647236,116234.930828549,117453.748840566,118670.180868525,119884.394639704,121096.513864889,122306.619055972,123514.748680149,124720.900612936,125925.033837305,127127.070363814,128326.897323285,129524.36919985,130719.31016979,131911.51651271,133100.759072362,134286.785732629,135469.323891952,136648.082912819,137822.756528833,138993.025193822,140158.558359653,141319.016671735,142474.05407311,143623.319809923,144766.460332721,145903.121089558,147032.948208214,148155.590066073,149270.698747244,150377.931387445,151476.95140796,152567.429640702,153649.045346948,154721.48713283,155784.453765073,156837.654890751,157880.811665124
6,0,2,1,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204964065,65663.3035742098,67238.1994483502,68803.0975969233,70357.2545612303,71899.9979945134,73430.7303517893,74948.9321710617,76454.1647955113,77946.0723851019,79424.383098463,80888.9093759106,82339.5473010941,83776.2750481213,85199.1504543956,86608.3077767602,88003.9536892106,89386.362606544,90755.8714045036,92112.8736354888,93457.813292716,94791.1782430737,96113.4934009235,97425.3137362921,98727.2172089901,100019.797719819,101303.658167472,102579.403696493,103847.635214235,105108.943251047,106363.902226602,107613.06517431,108856.958978886,110096.080136066,111330.891077151,112561.817060343,113789.243632803,115013.514647236,116234.930828549,117453.748840566,118670.180868525,119884.394639704,121096.513864889,122306.619055972,123514.748680149,124720.900612936,125925.033837305,127127.070363814,128326.897323285,129524.36919985,130719.31016979,131911.51651271,133100.759072362,134286.785732629,135469.323891952,136648.082912819,137822.756528833,138993.025193822,140158.558359653,141319.016671735,142474.05407311,143623.319809923,144766.460332721,145903.121089558,147032.948208214,148155.590066073,149270.698747244,150377.931387445,151476.95140796,152567.429640702,153649.045346948,154721.48713283,155784.453765073,156837.654890751,157880.811665124
7,0,2,0,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352940752,21268.9123249067,21779.0135041842,22285.8763171451,22789.2599700668,23288.9467016258,23784.7429780106,24276.4805556855,24764.017363092,25247.2381521978,25726.0548813039,26200.4068067177,26670.2602760007,27135.6082250082,27596.4693917549,28052.8872657589,28504.9287917362,28952.6828549704,29396.258571212,29835.7834131953,30271.4011909013,30703.2699245137,31131.5596334686,31556.4500718649,31978.1284398829,32396.7871007376,32812.6213318646,33225.8271379895,33636.5991513232,34045.1286429257,34451.6016656187,34856.1973452641,35259.0863382521,35660.4294581107,36060.3764850543,36459.0651591151,36856.6203581263,37253.153455312,37648.7618550424,38043.5286905511,38437.5226887148,38830.7981767349,39223.3952251292,39615.3399125489,40006.6446996169,40397.3088995528,40787.3192285109,41176.6504275003,41565.2659401896,41953.1186361747,42340.1515685159,42726.2987547005,43111.4859736862,43495.6315678571,43878.647244474,44260.4388690467,44640.9072449677,45019.9488743725,45397.456695909,45773.3207958459,46147.4290895729,46519.6679711594,46889.9229291732,47258.0791274532,47624.0219499706,47987.6375093017,48348.813118579,48707.4377270895,49063.4023199479,49416.6002824945,49766.9277302572,50114.2838054753,50458.5709413088,50799.6950949645,51137.5659510491
8,0,2,1,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352940752,21268.9123249067,21779.0135041842,22285.8763171451,22789.2599700668,23288.9467016258,23784.7429780106,24276.4805556855,24764.017363092,25247.2381521978,25726.0548813039,26200.4068067177,26670.2602760007,27135.6082250082,27596.4693917549,28052.8872657589,28504.9287917362,28952.6828549704,29396.258571212,29835.7834131953,30271.4011909013,30703.2699245137,31131.5596334686,31556.4500718649,31978.1284398829,32396.7871007376,32812.6213318646,33225.8271379895,33636.5991513232,34045.1286429257,34451.6016656187,34856.1973452641,35259.0863382521,35660.4294581107,36060.3764850543,36459.0651591151,36856.6203581263,37253.153455312,37648.7618550424,38043.5286905511,38437.5226887148,38830.7981767349,39223.3952251292,39615.3399125489,40006.6446996169,40397.3088995528,40787.3192285109,41176.6504275003,41565.2659401896,41953.1186361747,42340.1515685159,42726.2987547005,43111.4859736862,43495.6315678571,43878.647244474,44260.4388690467,44640.9072449677,45019.9488743725,45397.456695909,45773.3207958459,46147.4290895729,46519.6679711594,46889.9229291732,47258.0791274532,47624.0219499706,47987.6375093017,48348.813118579,48707.4377270895,49063.4023199479,49416.6002824945,49766.9277302572,50114.2838054753,50458.5709413088,50799.6950949645,51137.5659510491
9,11,2,0,0,292.1211864,0,0.000187905634685343,0.0014065080310508,0.00447625934503001,0.0100726540583181,0.0187832699472355,0.0311402468713293,0.0476389546659993,0.0687500001086683,0.0949296397048951,0.126632697829482,0.164332059093374,0.208549686887564,0.259906001117533,0.319197520762102,0.387517034862587,0.466428586411504,0.558043901447158,0.664763636806879,0.788997317315405,0.932999201644004,1.0987835471516,1.28808993289879,1.50237944572016,1.74284898863271,2.01045545392486,2.30594417027955,2.62987805726195,2.98266520012501,3.36458347448616,3.7758015163066,4.2163958117143,4.68636402348735,5.18563490463841,5.71407528525976,6.27149468930841,6.85764814326365,7.47223770713944,8.11491319695321,8.78527249065219,9.48286173064121,10.2071756545488,10.9576582165999,11.733703598522,12.5346576590994,13.3598198310531,14.2084454446391,15.0797484368043,15.9729043914708,16.8870538498158,17.8213058269014,18.7747414721227,19.7464178147105,20.7353715404152,21.7406227515357,22.7611786689745,23.7960372412382,24.8441906314769,25.9046285594483,26.9763414804695,28.0583235878931,29.1495756300707,30.2491075358675,31.3559408460818,32.4691109504354,33.5876691319508,34.7106844222147,35.8372452723362,36.9664610454839,38.0974633376639,39.2294071340921,40.3614718088343,41.4928619756546,42.622808198276,43.7505675682242,44.8754241583753,45.9966893607259,47.1137021363531,48.2258293808223,49.332466760372,50.433040161361,51.5270076264118,52.6138615528928,53.6931309249429,54.7643833887428,55.8272270294207,56.8813117552453,57.9263302350544,58.9620183678544,59.9881552823336,61.0045628832726,62.0111049715738,63.0076859651135,63.994249261108,64.9707752731968,65.9372791914357,66.8938084877129,67.8404402251017,68.7772782035469,69.7044499847364,70.6221038381297,71.5304056495838,72.4295358327524,73.3196862821656,74.2010574037532,75.0738552566825,75.938288836165,76.7945675221697,77.642898719827,78.4834856997039,79.3165256578358,80.1422080003702,80.9607128574886,81.7722098231705,82.5768569218617,83.3747997841133,84.1661710403317,84.9510899030065,85.7296619322047,86.501978967724,87.2681192131248,88.0281474575791,88.7821154143117,89.5300621666176,90.2720147017211,91.0079885196771,91.737988303318,92.4620086349412,93.1800347513972,93.8920433217982,94.5980032414309,95.2978764314678,95.9916186368504,96.6791802153277,97.3605069115609,98.0355406111012,98.7042200698349,99.3664816152594,100.022259816629,100.671488121653,101.314099457983,101.95002679825,102.579203687864,103.201564735189,103.817046064055,104.425585728893,105.02712409302,105.621604170846,106.208971934952,106.789176589139,107.362170808711
10,11,2,0,1,67.8788136,0,0.000187008218879147,0.00138663178785712,0.00434902050215392,0.00960332612818406,0.0175124348613642,0.0283139484561594,0.0421513754427268,0.0590983983523205,0.0791783819129362,0.102380886080533,0.128676776927784,0.158033610926656,0.1904332844643,0.225894551109202,0.264503923297024,0.306457973655051,0.352082628256633,0.401776248297067,0.455947411780257,0.514978477576653,0.579206767683612,0.648916817857843,0.724339420607183,0.805654630164293,0.892996900692671,0.986461124331841,1.08610878603543,1.19197373619567,1.30406728509455,1.42238247036645,1.54689745428573,1.67757808299353,1.81437969085908,1.95724826260399,2.10612108072461,2.26092698616536,2.42158637251799,2.58801101969764,2.76010385531616,2.9377587139152,3.12086014564608,3.3092833102192,3.50289397754496,3.70154864519199,3.90509477363641,4.11337113366388,4.32620825565337,4.54342896749816,4.76484900643825,4.99027768954274,5.21951862787167,5.45237047023997,5.68862766365115,5.92808121887278,6.17051947114293,6.41572882744371,6.66349449321302,6.91360117271423,7.16583373848986,7.41997786636586,7.67582063351805,7.93315107783094,8.19176071756548,8.45144403089435,8.71199889537762,8.9732269878631,9.23493414560506,9.49693068966973,9.75903171188698,10.0210573267825,10.2828328900186,10.5441891849478,10.8049625789551,11.0649951512757,11.3241347939759,11.5822352878407,11.8391563596275,12.0947637657475,12.3489294833464,12.6015320401457,12.8524569546872,13.1015972362459,13.3488538927273,13.59413640356,13.8373631255788,14.0784616105646,14.3173688222022,14.5540312476609,14.7884049032526,15.0204552379644,15.2501569408651,15.4774936584944,15.7024576313909,15.9250492572288,16.1452765914156,16.3631547902132,16.5787055095682,16.7919562669471,17.0029397758331,17.2116932623421,17.4182577732999,17.6226774848363,17.8249990202678,18.0252707853324,18.2235423284134,18.4198637324389,18.6142850440819,18.8068557460724,18.997624274473,19.1866375853973,19.3739407722687,19.5595767346734,19.7435858980336,19.9260059843397,20.1068718299032,20.2862152521839,20.4640649590178,20.6404464990688,20.8153822497598,20.9888914393518,21.1609902000003,21.331691647007,21.5010059822311,21.6689406172139,21.8355003131316,22.0006873344205,22.1645016128533,22.3269409201829,22.4880010458018,22.6476759779693,22.8059580862633,22.9628383035381,23.118306305809,23.2723506886909,23.4249591392241,23.5761186020952,23.725815439434,23.8740355835233,24.0207646818981,24.1659882344423,24.3096917222027,24.4518607277462,24.5924810469739,24.7315387923884,24.8690204878765,25.0049131551323,25.1392043918939,25.2718824422099,25.4029362589896,25.5323555591149
