"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.258360953,110402.463967329,112984.182591763,115548.106085312,118093.000113759,120617.702789938,123121.123272952,125602.240194853,128060.100020606,130493.815323089,132902.562992432,135285.582390398,137642.173463021,139971.694820054,142273.561791015,144547.244465654,146792.265729233,149008.199296019,151194.667749487,153351.340594898,155477.93232886,157574.200530694,159639.943979906,161675.000802949,163679.246652829,165652.592924144,167594.985005994,169506.400574814,171386.847928825,173236.364365542,175055.014603482,176842.889248963,178600.103308679,180326.794748491,182023.123098717,183689.268106008,185325.428431755,186931.820396814,188508.676772238,190056.245615543,191574.789152051,193064.582700549,194525.91364289,195959.08043525,197364.391663089,198742.165136704,200092.72702667,201416.411038691,202713.557626722,203984.513243304,205229.629626086,206449.263119466,207643.774030302,208813.526016617,209958.885508237,211080.221158287,212177.903324508,213252.303579324,214303.794247636,215332.747971311,216339.537299367,217324.534302848,218288.110213426,219230.635084781,220152.477475804,221054.00415474,221935.57982336,222797.566860307,223640.325082765,224464.21152564,225269.58023745,226056.782092156,226826.164616185,227578.07182992,228312.844102959
2,0,1,1,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.258360953,110402.463967329,112984.182591763,115548.106085312,118093.000113759,120617.702789938,123121.123272952,125602.240194853,128060.100020606,130493.815323089,132902.562992432,135285.582390398,137642.173463021,139971.694820054,142273.561791015,144547.244465654,146792.265729233,149008.199296019,151194.667749487,153351.340594898,155477.93232886,157574.200530694,159639.943979906,161675.000802949,163679.246652829,165652.592924144,167594.985005994,169506.400574814,171386.847928825,173236.364365542,175055.014603482,176842.889248963,178600.103308679,180326.794748491,182023.123098717,183689.268106008,185325.428431755,186931.820396814,188508.676772238,190056.245615543,191574.789152051,193064.582700549,194525.91364289,195959.08043525,197364.391663089,198742.165136704,200092.72702667,201416.411038691,202713.557626722,203984.513243304,205229.629626086,206449.263119466,207643.774030302,208813.526016617,209958.885508237,211080.221158287,212177.903324508,213252.303579324,214303.794247636,215332.747971311,216339.537299367,217324.534302848,218288.110213426,219230.635084781,220152.477475804,221054.00415474,221935.57982336,222797.566860307,223640.325082765,224464.21152564,225269.58023745,226056.782092156,226826.164616185,227578.07182992,228312.844102959
3,0,1,0,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973201388573,316.388644915269,323.75680077352,331.073949363334,338.336581230923,345.541393173276,352.685284248657,359.76535129582,366.778884263377,373.723361297259,380.596443641277,387.39597038121,394.119953070089,400.766570258965,407.334161961087,413.82122407172,420.226402773206,426.548488934962,432.786412532586,438.939237102206,445.006154243215,450.986478183086,456.879640416559,462.685184428221,468.402760508638,474.032120671381,479.573113677934,485.025680176262,490.389847957934,495.665727337856,500.853506659881,505.953447930855,510.965882585007,515.891207379983,520.729880425296,525.482417343461,530.149387563645,534.73141074725,539.229153344501,543.643325280738,547.97467677108,552.223995261314,556.392102493915,560.479851692742,564.488124872159,568.417830261817,572.269899844998,576.04528700924,579.744964305926,583.369921315893,586.921162618077,590.399705858208,593.80657991452,597.142823157439,600.409481800213,603.607608337448,606.738260068549,609.802497703063,612.801384044986,615.735982753099,618.607357174479,621.416569248342,624.164678477461,626.852740964428,629.481808510116,632.052927771732,634.567139477942,637.02547769858,639.428969166561,641.778632649651,644.075478369828,646.320507468036,648.514711512208,650.659072046487,652.754560179652
4,0,1,1,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973201388573,316.388644915269,323.75680077352,331.073949363334,338.336581230923,345.541393173276,352.685284248657,359.76535129582,366.778884263377,373.723361297259,380.596443641277,387.39597038121,394.119953070089,400.766570258965,407.334161961087,413.82122407172,420.226402773206,426.548488934962,432.786412532586,438.939237102206,445.006154243215,450.986478183086,456.879640416559,462.685184428221,468.402760508638,474.032120671381,479.573113677934,485.025680176262,490.389847957934,495.665727337856,500.853506659881,505.953447930855,510.965882585007,515.891207379983,520.729880425296,525.482417343461,530.149387563645,534.73141074725,539.229153344501,543.643325280738,547.97467677108,552.223995261314,556.392102493915,560.479851692742,564.488124872159,568.417830261817,572.269899844998,576.04528700924,579.744964305926,583.369921315893,586.921162618077,590.399705858208,593.80657991452,597.142823157439,600.409481800213,603.607608337448,606.738260068549,609.802497703063,612.801384044986,615.735982753099,618.607357174479,621.416569248342,624.164678477461,626.852740964428,629.481808510116,632.052927771732,634.567139477942,637.02547769858,639.428969166561,641.778632649651,644.075478369828,646.320507468036,648.514711512208,650.659072046487,652.754560179652
5,0,2,0,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204462695,65663.3007918022,67238.1795047629,68803.0183604613,70357.0250022012,71899.4521568521,73429.5968165465,74946.7993117392,76450.4423343768,77939.9499035964,79414.786285845,80874.454876506,82318.4970518612,83746.4909969724,85158.0505159575,86552.8238297371,87930.492368286,89290.769559412,90633.3996197297,91958.1563515703,93264.8419488287,94553.2858149155,95823.3433956515,97074.8950291844,98307.8448152823,99522.1195057006,100717.667417247,101894.457368894,103052.477644075,104191.734979138,105312.253578709,106414.074158604,107497.253016745,108561.861132416,109607.983294066,110635.717255772,111645.17292234,112636.471562966,113609.74505328,114565.135145517,115502.792766553,116422.877343348,117325.556155604,118211.003714226,119079.401166867,119930.935728668,120765.80013774,121584.192135131,122386.313968565,123172.371919323,123942.575851623,124697.138783863,125436.276481074,126160.207067926,126869.15066163,127563.329024097,128242.965232676,128908.28336886,129559.508224291,130196.865023446,130820.579162385,131430.875962939,132027.980441745,132612.117093533,133183.509688091,133742.381080345,134288.953032998,134823.446051198,135346.079228709,135857.070105075,136356.634533293,136844.986557497,137322.338300214,137788.899858716,138244.879210056
6,0,2,1,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204462695,65663.3007918022,67238.1795047629,68803.0183604613,70357.0250022012,71899.4521568521,73429.5968165465,74946.7993117392,76450.4423343768,77939.9499035964,79414.786285845,80874.454876506,82318.4970518612,83746.4909969724,85158.0505159575,86552.8238297371,87930.492368286,89290.769559412,90633.3996197297,91958.1563515703,93264.8419488287,94553.2858149155,95823.3433956515,97074.8950291844,98307.8448152823,99522.1195057006,100717.667417247,101894.457368894,103052.477644075,104191.734979138,105312.253578709,106414.074158604,107497.253016745,108561.861132416,109607.983294066,110635.717255772,111645.17292234,112636.471562966,113609.74505328,114565.135145517,115502.792766553,116422.877343348,117325.556155604,118211.003714226,119079.401166867,119930.935728668,120765.80013774,121584.192135131,122386.313968565,123172.371919323,123942.575851623,124697.138783863,125436.276481074,126160.207067926,126869.15066163,127563.329024097,128242.965232676,128908.28336886,129559.508224291,130196.865023446,130820.579162385,131430.875962939,132027.980441745,132612.117093533,133183.509688091,133742.381080345,134288.953032998,134823.446051198,135346.079228709,135857.070105075,136356.634533293,136844.986557497,137322.338300214,137788.899858716,138244.879210056
7,0,2,0,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352778357,21268.911423705,21779.0070446042,22285.850653044,22789.1856176047,23288.7699088679,23784.3758343785,24275.7897384188,24762.811685625,25245.2551259886,25722.9465450961,26195.7251019006,26663.4422568861,27125.9613924319,27583.157427475,28034.9164281144,28481.1352164354,28921.7209782094,29356.5908713048,29785.6716360194,30208.8992083089,30626.2183369356,31037.5822054559,31442.9520597225,31842.2968416613,32235.5928298747,32622.8232875958,33003.9781184315,33379.0535302635,33748.0517076181,34110.9804927565,34467.8530756837,34818.6876932295,35163.5073373077,35502.3394724234,35835.215762459,36162.1718067396,36483.2468853471,36798.4837136265,37107.9282058037,37411.6292476265,37709.6384778858,38002.0100787469,38288.8005744417,38570.0686387325,38845.8749105337,39116.2818175506,39381.3534078465,39641.15518911,39895.7539754164,40145.2177412791,40389.6154827799,40629.017085569,40863.4931995224,41093.1151198452,41317.9546744072,41538.0841171028,41753.5760270236,41964.5032132386,42170.9386249761,42372.955267007,42570.6261200297,42764.0240658633,42953.2218172577,43138.2918521329,43319.3063520665,43496.337144849,43669.4556509353,43838.7328336213,44004.2391527821,44166.0445220116,44324.2182690081,44478.8290990566,44629.9450614604,44777.6335187825
8,0,2,1,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352778357,21268.911423705,21779.0070446042,22285.850653044,22789.1856176047,23288.7699088679,23784.3758343785,24275.7897384188,24762.811685625,25245.2551259886,25722.9465450961,26195.7251019006,26663.4422568861,27125.9613924319,27583.157427475,28034.9164281144,28481.1352164354,28921.7209782094,29356.5908713048,29785.6716360194,30208.8992083089,30626.2183369356,31037.5822054559,31442.9520597225,31842.2968416613,32235.5928298747,32622.8232875958,33003.9781184315,33379.0535302635,33748.0517076181,34110.9804927565,34467.8530756837,34818.6876932295,35163.5073373077,35502.3394724234,35835.215762459,36162.1718067396,36483.2468853471,36798.4837136265,37107.9282058037,37411.6292476265,37709.6384778858,38002.0100787469,38288.8005744417,38570.0686387325,38845.8749105337,39116.2818175506,39381.3534078465,39641.15518911,39895.7539754164,40145.2177412791,40389.6154827799,40629.017085569,40863.4931995224,41093.1151198452,41317.9546744072,41538.0841171028,41753.5760270236,41964.5032132386,42170.9386249761,42372.955267007,42570.6261200297,42764.0240658633,42953.2218172577,43138.2918521329,43319.3063520665,43496.337144849,43669.4556509353,43838.7328336213,44004.2391527821,44166.0445220116,44324.2182690081,44478.8290990566,44629.9450614604,44777.6335187825
9,11,2,0,0,292.1211864,0,0.000187905634685343,0.0014065080310508,0.00447625934503001,0.0100726540583181,0.0187832699472355,0.0311402468713293,0.0476389546659993,0.0687500001086683,0.0949296397048951,0.126632697829482,0.164332059093374,0.208549686887564,0.259906001117533,0.319197520762102,0.387517034862587,0.466428586411504,0.558043901447158,0.664763636806879,0.788997317315405,0.932999201644004,1.0987835471516,1.28808993289879,1.50237944572016,1.74284898863271,2.01045545392486,2.30594417027955,2.62987805726195,2.98266520012501,3.36458347448616,3.7758015163066,4.2163958117143,4.68636402348735,5.18563490463841,5.71407528525976,6.27149468930841,6.85764814326365,7.47223770713944,8.11491319695321,8.78527249065219,9.48286173064121,10.2071756545488,10.9576582165999,11.733703598522,12.5346576590994,13.3598198310531,14.2084454446391,15.0797484368043,15.9729043914708,16.8870538498158,17.8213058269014,18.7747414721227,19.7464178147105,20.7353715404152,21.7406227515357,22.7611786689745,23.7960372412382,24.8441906314769,25.9046285594483,26.9763414804695,28.0583235878931,29.1495756300707,30.2491075358675,31.3559408460818,32.4691109504354,33.5876691319508,34.7106844222147,35.8372452723362,36.9664610454839,38.0974633376639,39.2294071340921,40.3614718088343,41.4928619756546,42.622808198276,43.7505675682242,44.8754241583753,45.9966893925318,47.1137021413877,48.2258290588865,49.3324644692555,50.4330303612846,51.5269762553351,52.6137790009204,53.6929425112812,54.7639974358157,55.8265007795998,56.8800354747276,57.92420990787,58.9586574106233,59.9830357161624,60.9970263868623,62.0003342161256,62.9926866110202,63.9738329559847,64.9435439625965,65.9016110085611,66.8478454684556,67.7820780389378,68.7041580610491,69.6139528416007,70.5113469759179,71.3962416737268,72.2685540899256,73.1282166617871,73.9751764539873,74.8093945127138,75.6308452299724,76.4395157190788,77.2354052022062,78.018524410746,78.7888949991343,79.5465489726998,80.2915281299981,81.0238835200122,81.7436749145246,82.4509702958857,83.1458453603725,83.8283830372001,84.4986730233379,85.1568113336305,85.8028998671535,86.4370459889673,87.0593621272045,87.6699653855041,88.268977170551,88.8565228344949,89.4327313320049,89.9977348916967,90.551668701649,91.0946706087116,91.6268808312938,92.1484416853098,92.659497322949,93.160193483932,93.6506772589078,94.1310968646417,94.6016014306422,95.0623407968748,95.5134653222074,95.9551257032349,96.3874728031338,96.8106574901951,97.2248304856946,97.6301422207566,98.0267427018771,98.4147813847763,98.7944070562529,99.1657677237257,99.5290105121472,99.8842815679859,100.231725969979
10,11,2,0,1,67.8788136,0,0.000187008218879147,0.00138663178785712,0.00434902050215392,0.00960332612818406,0.0175124348613642,0.0283139484561594,0.0421513754427268,0.0590983983523205,0.0791783819129362,0.102380886080533,0.128676776927784,0.158033610926656,0.1904332844643,0.225894551109202,0.264503923297024,0.306457973655051,0.352082628256633,0.401776248297067,0.455947411780257,0.514978477576653,0.579206767683612,0.648916817857843,0.724339420607183,0.805654630164293,0.892996900692671,0.986461124331841,1.08610878603543,1.19197373619567,1.30406728509455,1.42238247036645,1.54689745428573,1.67757808299353,1.81437969085908,1.95724826260399,2.10612108072461,2.26092698616536,2.42158637251799,2.58801101969764,2.76010385531616,2.9377587139152,3.12086014564608,3.3092833102192,3.50289397754496,3.70154864519199,3.90509477363641,4.11337113366388,4.32620825565337,4.54342896749816,4.76484900643825,4.99027768954274,5.21951862787167,5.45237047023997,5.68862766365115,5.92808121887278,6.17051947114293,6.41572882744371,6.66349449321302,6.91360117271423,7.16583373848986,7.41997786636586,7.67582063351805,7.93315107783094,8.19176071756548,8.45144403089435,8.71199889537762,8.9732269878631,9.23493414560506,9.49693068966973,9.75903171188698,10.0210573267825,10.2828328900186,10.5441891849478,10.8049625789551,11.0649951512757,11.3241347939759,11.5822352943887,11.8391563601786,12.0947636925585,12.3489289659653,12.6015298288373,12.8524498772127,13.1015786129296,13.3488113881697,13.5940493362856,13.8371992910016,14.078173694993,14.3168904987944,14.5532730514706,14.7872499838106,15.0187550850638,15.2477271739185,15.4741099651793,15.697851932188,15.9189061660891,16.1372302326304,16.3527860270593,16.5655396277086,16.7754611488524,16.9825245932723,17.186707705035,17.3879918228773,17.5863617345847,17.7818055327068,17.9743144719189,18.163882828311,18.3505077608507,18.5341891752436,18.7149295903839,18.8927340075669,19.0676097826088,19.2395665010008,19.4086158562022,19.5747715311588,19.7380490831178,19.8984658317906,20.0560407509094,20.2107943631935,20.3627486387616,20.5119268968828,20.6583537112719,20.8020548187474,20.9430570312414,21.0813881511635,21.2170768900702,21.3501527905889,21.4806461515463,21.6085879562439,21.7340098038191,21.8569438436287,21.9774227125863,22.0954794753835,22.2111475675238,22.3244607410941,22.4354530131989,22.5441586169818,22.6506119551561,22.7548475559686,22.856900031518,22.9568040383521,23.0545942402655,23.1503052732228,23.2439717123305,23.3356280407837,23.4253086207145,23.5130476658672,23.5988792160321,23.6828371131654,23.7649549791282,23.8452661949769,23.9238038817395
