"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.26194342,110402.569990738,112984.915977432,115550.926838227,118100.874825507,120635.666898708,123156.79317305,125666.254150084,128166.479289755,130660.24445284,133150.592696826,135640.760952423,138134.113636415,140634.083533888,143144.119910492,145667.643302928,148208.006571632,150768.461373594,153352.129852346,155961.980471908,158600.807699983,161271.215173112,163975.601786258,166716.150359854,169494.818614301,172313.332280176,175173.179987461,178075.609947783,181021.628155073,184011.998091345,187047.241810339,190127.6423051,193253.247127834,196423.873148266,199639.112428969,202898.339122948,206200.71733223,209545.209842305,212930.587669429,216355.440318725,219818.186679422,223317.086462665,226850.252075709,230415.660871049,234011.167644476,237634.517304118,241283.357619404,244955.251962159,248647.691956953,252358.109963041,256083.891315107,259822.386256489,263570.921504802,267326.811396291,271087.368562258,274849.914097473,278611.787187198,282370.354166025,286123.016987922,289867.221092938,293600.462661633,297320.295253563,301024.335831003,304710.270173528,308375.85769305,312018.935662466,315637.422874187,319229.322747512,322792.725906084,326325.812248571,329826.852537218,333294.209530086,336726.338683672,340121.78845311,343479.200217485
2,0,1,1,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.26194342,110402.569990738,112984.915977432,115550.926838227,118100.874825507,120635.666898708,123156.79317305,125666.254150084,128166.479289755,130660.24445284,133150.592696826,135640.760952423,138134.113636415,140634.083533888,143144.119910492,145667.643302928,148208.006571632,150768.461373594,153352.129852346,155961.980471908,158600.807699983,161271.215173112,163975.601786258,166716.150359854,169494.818614301,172313.332280176,175173.179987461,178075.609947783,181021.628155073,184011.998091345,187047.241810339,190127.6423051,193253.247127834,196423.873148266,199639.112428969,202898.339122948,206200.71733223,209545.209842305,212930.587669429,216355.440318725,219818.186679422,223317.086462665,226850.252075709,230415.660871049,234011.167644476,237634.517304118,241283.357619404,244955.251962159,248647.691956953,252358.109963041,256083.891315107,259822.386256489,263570.921504802,267326.811396291,271087.368562258,274849.914097473,278611.787187198,282370.354166025,286123.016987922,289867.221092938,293600.462661633,297320.295253563,301024.335831003,304710.270173528,308375.85769305,312018.935662466,315637.422874187,319229.322747512,322792.725906084,326325.812248571,329826.852537218,333294.209530086,336726.338683672,340121.78845311,343479.200217485
3,0,1,0,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973211605159,316.388947253437,323.758892104278,331.08199305178,338.359036839912,345.592619809701,352.787000900208,359.947894144079,367.082236472909,374.197952301776,381.303727676751,388.408801192008,395.522774686819,402.655444672176,409.816654374748,417.016164824614,424.263543800395,431.56807023049,438.938653471645,446.383764404445,453.911377505267,461.528922847384,469.243246441292,477.060577924851,484.986504833246,493.025952959034,501.183171785136,509.46172503063,517.864485526347,526.393634382322,535.050664084191,543.836385250757,552.750936962342,561.793800335573,570.96381528315,580.259200188537,589.677574320862,599.215982747295,608.870923563169,618.638377148902,628.513837243609,638.492343565767,648.568515678105,658.736587921542,668.990445058803,679.323658405462,689.729522188779,700.201089883939,710.731210291399,721.312563133853,731.937693965286,742.599048202987,753.289004111156,763.999904583134,774.724087589155,785.453915175326,796.181800918702,806.900235761971,817.601812169077,828.279246560238,838.925400000902,849.533297134177,860.096143360122,870.607340277921,881.060499418302,891.44945430374,901.768270882819,912.011256392848,922.172966711295,932.248212262026,942.232062546625,952.119849374464,961.90716886756,971.589882317879,981.164115975524
4,0,1,1,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973211605159,316.388947253437,323.758892104278,331.08199305178,338.359036839912,345.592619809701,352.787000900208,359.947894144079,367.082236472909,374.197952301776,381.303727676751,388.408801192008,395.522774686819,402.655444672176,409.816654374748,417.016164824614,424.263543800395,431.56807023049,438.938653471645,446.383764404445,453.911377505267,461.528922847384,469.243246441292,477.060577924851,484.986504833246,493.025952959034,501.183171785136,509.46172503063,517.864485526347,526.393634382322,535.050664084191,543.836385250757,552.750936962342,561.793800335573,570.96381528315,580.259200188537,589.677574320862,599.215982747295,608.870923563169,618.638377148902,628.513837243609,638.492343565767,648.568515678105,658.736587921542,668.990445058803,679.323658405462,689.729522188779,700.201089883939,710.731210291399,721.312563133853,731.937693965286,742.599048202987,753.289004111156,763.999904583134,774.724087589155,785.453915175326,796.181800918702,806.900235761971,817.601812169077,828.279246560238,838.925400000902,849.533297134177,860.096143360122,870.607340277921,881.060499418302,891.44945430374,901.768270882819,912.011256392848,922.172966711295,932.248212262026,942.232062546625,952.119849374464,961.90716886756,971.589882317879,981.164115975524
5,0,2,0,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204966677,65663.3035689181,67238.1993648947,68803.0970435358,70357.2522207661,71899.9905304877,73430.7107432444,74948.8874412543,76454.0731406235,77945.8997433495,79424.0792187257,80888.4034710934,82338.743372968,83775.0469992384,85197.3370899868,86605.7078221738,88000.3209433574,89381.401368552,90749.2322755904,92104.1498273771,93446.5375707892,94776.8205791012,96095.4594251519,97402.9440553239,98699.7876308941,99986.5204027394,101263.683690331,102531.824019474,103791.487481954,105043.214368018,106287.534122141,107524.960658548,108755.988078215,109981.086802833,111200.70015739,112415.241407203,113625.09125682,114830.595804126,116032.064949372,117229.771236603,118423.94911482,119614.79459544,120802.465267982,121987.080669248,123168.722953491,124347.43784004,125523.235806471,126696.093494978,127865.955300373,129032.735109569,130196.318163551,131356.563014536,132513.3035528,133666.35107956,134815.496404375,135960.511947471,137101.153829522,138237.163933344,139368.271923919,140494.197215006,141614.65087233,142729.337444981,143837.956718182,144940.205381965,146035.778611602,147124.371556759,148205.680737439,149279.405345651,150345.248452629,151402.91812211,152452.128430828,153492.600397936,154524.062825506,155546.253052685,156558.91762637
6,0,2,1,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204966677,65663.3035689181,67238.1993648947,68803.0970435358,70357.2522207661,71899.9905304877,73430.7107432444,74948.8874412543,76454.0731406235,77945.8997433495,79424.0792187257,80888.4034710934,82338.743372968,83775.0469992384,85197.3370899868,86605.7078221738,88000.3209433574,89381.401368552,90749.2322755904,92104.1498273771,93446.5375707892,94776.8205791012,96095.4594251519,97402.9440553239,98699.7876308941,99986.5204027394,101263.683690331,102531.824019474,103791.487481954,105043.214368018,106287.534122141,107524.960658548,108755.988078215,109981.086802833,111200.70015739,112415.241407203,113625.09125682,114830.595804126,116032.064949372,117229.771236603,118423.94911482,119614.79459544,120802.465267982,121987.080669248,123168.722953491,124347.43784004,125523.235806471,126696.093494978,127865.955300373,129032.735109569,130196.318163551,131356.563014536,132513.3035528,133666.35107956,134815.496404375,135960.511947471,137101.153829522,138237.163933344,139368.271923919,140494.197215006,141614.65087233,142729.337444981,143837.956718182,144940.205381965,146035.778611602,147124.371556759,148205.680737439,149279.405345651,150345.248452629,151402.91812211,152452.128430828,153492.600397936,154524.062825506,155546.253052685,156558.91762637
7,0,2,0,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352941598,21268.9123231927,21779.0134771536,22285.8761379069,22789.2592120078,23288.9442840834,23784.7366269488,24276.4660680336,24763.9876767557,25247.1822348186,25725.9564569177,26200.2429479113,26669.9998896618,27135.2104691116,27595.8820565141,28052.0451598118,28503.7521723817,28951.075946896,29394.1082067516,29832.9578366524,30267.7490684597,30698.6195839729,31125.7185628876,31549.204698628,31969.2442036117,32386.0088253163,32799.6738961259,33210.4164345925,33618.4133185724,34023.839546731,34426.8666047569,34827.6609480999,35226.382614741,35623.1839730186,36018.2086147547,36411.5903955753,36803.4526248273,37193.9074029317,37583.0551060844,37970.9840110049,38357.7700556365,38743.4767282028,39128.1550722915,39511.8438064316,39894.5695411591,40276.3470859479,40657.1798356722,41037.0602261213,41415.9702483437,41793.8820120549,42170.7583487181,42546.5534454561,42921.2135015266,43294.6773997173,43666.8773856774,44037.7397488492,44407.1854993332,44775.1310356571,45141.4887990491,45506.1679104089,45869.0747867383,46230.1137343195,46589.1875164241,46946.1978937876,47301.0461364983,47653.6335063269,48003.8617088607,48351.6333151076,48696.8521525052,49039.4236655046,49379.2552461022,49716.2565348722,50050.339693201,50381.4196475521,50709.4143066935
8,0,2,1,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352941598,21268.9123231927,21779.0134771536,22285.8761379069,22789.2592120078,23288.9442840834,23784.7366269488,24276.4660680336,24763.9876767557,25247.1822348186,25725.9564569177,26200.2429479113,26669.9998896618,27135.2104691116,27595.8820565141,28052.0451598118,28503.7521723817,28951.075946896,29394.1082067516,29832.9578366524,30267.7490684597,30698.6195839729,31125.7185628876,31549.204698628,31969.2442036117,32386.0088253163,32799.6738961259,33210.4164345925,33618.4133185724,34023.839546731,34426.8666047569,34827.6609480999,35226.382614741,35623.1839730186,36018.2086147547,36411.5903955753,36803.4526248273,37193.9074029317,37583.0551060844,37970.9840110049,38357.7700556365,38743.4767282028,39128.1550722915,39511.8438064316,39894.5695411591,40276.3470859479,40657.1798356722,41037.0602261213,41415.9702483437,41793.8820120549,42170.7583487181,42546.5534454561,42921.2135015266,43294.6773997173,43666.8773856774,44037.7397488492,44407.1854993332,44775.1310356571,45141.4887990491,45506.1679104089,45869.0747867383,46230.1137343195,46589.1875164241,46946.1978937876,47301.0461364983,47653.6335063269,48003.8617088607,48351.6333151076,48696.8521525052,49039.4236655046,49379.2552461022,49716.2565348722,50050.339693201,50381.4196475521,50709.4143066935
9,11,2,0,0,292.1211864,0,0.000187905634685343,0.0014065080310508,0.00447625934503001,0.0100726540583181,0.0187832699472355,0.0311402468713293,0.0476389546659993,0.0687500001086683,0.0949296397048951,0.126632697829482,0.164332059093374,0.208549686887564,0.259906001117533,0.319197520762102,0.387517034862587,0.466428586411504,0.558043901447158,0.664763636806879,0.788997317315405,0.932999201644004,1.0987835471516,1.28808993289879,1.50237944572016,1.74284898863271,2.01045545392486,2.30594417027955,2.62987805726195,2.98266520012501,3.36458347448616,3.7758015163066,4.2163958117143,4.68636402348735,5.18563490463841,5.71407528525976,6.27149468930841,6.85764814326365,7.47223770713944,8.11491319695321,8.78527249065219,9.48286173064121,10.2071756545488,10.9576582165999,11.733703598522,12.5346576590994,13.3598198310531,14.2084454446391,15.0797484368043,15.9729043914708,16.8870538498158,17.8213058269014,18.7747414721227,19.7464178147105,20.7353715404152,21.7406227515357,22.7611786689745,23.7960372412382,24.8441906314769,25.9046285594483,26.9763414804695,28.0583235878931,29.1495756300707,30.2491075358675,31.3559408460818,32.4691109504354,33.5876691319508,34.7106844222147,35.8372452723362,36.9664610454839,38.0974633376639,39.2294071340921,40.3614718088343,41.4928619756546,42.622808198276,43.7505675682242,44.8754241583753,45.9966893610283,47.1137021341163,48.2258293430821,49.3324665094411,50.4330391005808,51.5270042462927,52.6138526802381,53.6931107008467,54.764341977556,55.8271490775925,56.8811746263739,57.9261020582392,58.9616559373168,59.9876018589835,61.0037459418961,62.0099339480339,63.0060500548344,63.9920153291139,64.9677859167995,65.9333510131275,66.8887306360779,67.8339732337314,68.7691531683928,69.6943681105629,70.6097363741146,71.5153942230902,72.4114931848101,73.2981973932713,74.175680994164,75.0441256341631,75.9037180592108,76.7546478400688,77.5971052446607,78.4312792672113,79.2573558293053,80.0755161584803,80.8859353499011,81.6887811110074,82.4842126913434,83.272379990744,84.0534228427382,84.8274704656395,85.594641067285,86.3550416034541,87.1087676697,87.8559035181937,88.5965221876158,89.3306857337459,90.0584455485208,90.7798427557684,91.4949086721414,92.2036653223231,92.906125998175,93.6022958521707,94.2921725161848,94.9757467374346,95.653003024141,96.3239202942114,96.9884725209823,97.6466293707724,98.2983568276686,98.9436178016103,99.5823727164396,100.214580075143,100.840197000022,101.459179746017,102.071484185809,102.677066265747,103.275882431972,103.867890026411,104.453047652624,105.031315511673,105.602655708431,106.167032528908,106.724412689316
10,11,2,0,1,67.8788136,0,0.000187008218879147,0.00138663178785712,0.00434902050215392,0.00960332612818406,0.0175124348613642,0.0283139484561594,0.0421513754427268,0.0590983983523205,0.0791783819129362,0.102380886080533,0.128676776927784,0.158033610926656,0.1904332844643,0.225894551109202,0.264503923297024,0.306457973655051,0.352082628256633,0.401776248297067,0.455947411780257,0.514978477576653,0.579206767683612,0.648916817857843,0.724339420607183,0.805654630164293,0.892996900692671,0.986461124331841,1.08610878603543,1.19197373619567,1.30406728509455,1.42238247036645,1.54689745428573,1.67757808299353,1.81437969085908,1.95724826260399,2.10612108072461,2.26092698616536,2.42158637251799,2.58801101969764,2.76010385531616,2.9377587139152,3.12086014564608,3.3092833102192,3.50289397754496,3.70154864519199,3.90509477363641,4.11337113366388,4.32620825565337,4.54342896749816,4.76484900643825,4.99027768954274,5.21951862787167,5.45237047023997,5.68862766365115,5.92808121887278,6.17051947114293,6.41572882744371,6.66349449321302,6.91360117271423,7.16583373848986,7.41997786636586,7.67582063351805,7.93315107783094,8.19176071756548,8.45144403089435,8.71199889537762,8.9732269878631,9.23493414560506,9.49693068966973,9.75903171188698,10.0210573267825,10.2828328900186,10.5441891849478,10.8049625789551,11.0649951512757,11.3241347939759,11.5822352878899,11.8391563591046,12.0947637572161,12.3489294267221,12.6015318008288,12.8524561921531,13.1015952346556,13.3488493303745,13.5941270616283,13.8373455404719,14.0784306757537,14.3173173479547,14.5539494872178,14.7882800568851,15.0202709447642,15.2498927705367,15.477124614717,15.7019536803455,15.9243748905621,16.1443904366225,16.3620092814819,16.5772466258523,16.7901233463852,17.0006654134332,17.2089032954541,17.4148713569107,17.6186072574864,17.8201513580195,18.0195461402209,18.2168356452781,18.4120649369237,18.6052795930859,18.7965252305255,18.985847064716,19.1732895083759,19.3588958099222,19.5427077330956,19.7247652777353,19.9051064422018,20.08376702591,20.2607804712666,20.4361777433131,20.6099872439149,20.7822347604981,20.9529434447698,21.1221338195293,21.2898238108717,21.4560288030016,21.6207617129012,21.7840330821943,21.9458511836211,22.1062221396608,22.2651500509753,22.4226371324971,22.5786838551505,22.7332890913594,22.8864502626645,23.0381634879457,23.1884237309035,23.3372249456206,23.4845602191729,23.6304219104032,23.7748017841112,23.9176911400331,24.059080936106,24.1989619056148,24.3373246679185,24.4741598325389,24.6094580964725,24.7432103346587,24.8754076835937,25.0060416181393,25.1351040216165,25.2625872493178,25.3884841856038
