"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.271965293,110402.861283149,112986.938955131,115558.765859856,118122.979772988,120686.708384445,123259.547770545,125853.452622928,128482.559867502,131162.953186822,133912.369936075,136749.85010559,139695.328950557,142769.179213833,145991.713588895,149382.663973237,152960.657949441,156742.715531519,160743.789194078,164976.367990746,169450.162747592,174171.883108356,179145.11157016,184370.27392952,189844.699119198,195562.759305555,201516.076647471,207693.782166607,214082.812428033,220668.229559501,227433.551925087,234361.084263943,241432.23804139,248627.834845344,255928.387438277,263314.354416778,270766.367222318,278265.427817575,285793.077256961,293331.53631613,300863.819485694,308373.824281321,315846.398015996,323267.384311225,330623.651706078,337903.106615153,345094.692859093,352188.37983513,359175.141231595,366046.92602485,372796.623348598,379418.022616837,385905.770119645,392255.323166757,398462.902694832,404525.445114719,410440.55405285,416206.452527659,421821.93600791,427286.326705477,432599.429384205,437761.488882759,442773.149542087,447635.41659985,452349.61964966,456917.378186711,461340.569241866,465621.297089455,469761.864986925,473764.748896135,477632.573120812,481368.087788118,484974.148095366,488453.695238546,491809.738937493
2,0,1,1,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.271965293,110402.861283149,112986.938955131,115558.765859856,118122.979772988,120686.708384445,123259.547770545,125853.452622928,128482.559867502,131162.953186822,133912.369936075,136749.85010559,139695.328950557,142769.179213833,145991.713588895,149382.663973237,152960.657949441,156742.715531519,160743.789194078,164976.367990746,169450.162747592,174171.883108356,179145.11157016,184370.27392952,189844.699119198,195562.759305555,201516.076647471,207693.782166607,214082.812428033,220668.229559501,227433.551925087,234361.084263943,241432.23804139,248627.834845344,255928.387438277,263314.354416778,270766.367222318,278265.427817575,285793.077256961,293331.53631613,300863.819485694,308373.824281321,315846.398015996,323267.384311225,330623.651706078,337903.106615153,345094.692859093,352188.37983513,359175.141231595,366046.92602485,372796.623348598,379418.022616837,385905.770119645,392255.323166757,398462.902694832,404525.445114719,410440.55405285,416206.452527659,421821.93600791,427286.326705477,432599.429384205,437761.488882759,442773.149542087,447635.41659985,452349.61964966,456917.378186711,461340.569241866,465621.297089455,469761.864986925,473764.748896135,477632.573120812,481368.087788118,484974.148095366,488453.695238546,491809.738937493
3,0,1,0,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973240183694,316.389777905906,323.764660848176,331.104346885869,338.422071533671,345.738170231102,353.080016958573,360.481711218716,367.983575072489,375.631481655281,383.47601942238,391.571491133952,399.974752201098,408.743905291172,417.936881553643,427.609955661403,437.81625294655,448.604314324798,460.016784645668,472.089283800168,484.849509022743,498.316599118682,512.500775270466,527.403256768632,543.016431650315,559.324256209353,576.302844599034,593.921207035934,612.142095824035,630.922917931398,650.216677948783,669.972919522812,690.138638878351,710.659149992674,731.478886051705,752.542125645286,773.793640118679,795.179257273511,816.646342070185,838.144197653201,859.624390421449,881.041004710293,902.350833204336,923.513509573444,944.491590058614,965.250590426923,985.758984636487,1005.98817110709,1025.91241202571,1045.50875064447,1064.75691110477,1083.63918472663,1102.14030623975,1120.24732302173,1137.94945995523,1155.23798211776,1172.10605716951,1188.54861898155,1204.56223377883,1220.14496980326,1235.29627129991,1250.01683739087,1264.30850638008,1278.17414566727,1291.61754754973,1304.6433309736,1317.25684924061,1329.46410362812,1341.2716628031,1352.68658788704,1363.71636298483,1374.36883097231,1384.65213431729,1394.57466069637,1404.14499316468
4,0,1,1,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.973240183694,316.389777905906,323.764660848176,331.104346885869,338.422071533671,345.738170231102,353.080016958573,360.481711218716,367.983575072489,375.631481655281,383.47601942238,391.571491133952,399.974752201098,408.743905291172,417.936881553643,427.609955661403,437.81625294655,448.604314324798,460.016784645668,472.089283800168,484.849509022743,498.316599118682,512.500775270466,527.403256768632,543.016431650315,559.324256209353,576.302844599034,593.921207035934,612.142095824035,630.922917931398,650.216677948783,669.972919522812,690.138638878351,710.659149992674,731.478886051705,752.542125645286,773.793640118679,795.179257273511,816.646342070185,838.144197653201,859.624390421449,881.041004710293,902.350833204336,923.513509573444,944.491590058614,965.250590426923,985.758984636487,1005.98817110709,1025.91241202571,1045.50875064447,1064.75691110477,1083.63918472663,1102.14030623975,1120.24732302173,1137.94945995523,1155.23798211776,1172.10605716951,1188.54861898155,1204.56223377883,1220.14496980326,1235.29627129991,1250.01683739087,1264.30850638008,1278.17414566727,1291.61754754973,1304.6433309736,1317.25684924061,1329.46410362812,1341.2716628031,1352.68658788704,1363.71636298483,1374.36883097231,1384.65213431729,1394.57466069637,1404.14499316468
5,0,2,0,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2275335137,65663.5082273881,67239.6201245335,68808.5960192672,70372.7309555978,71935.6519531002,73502.3206636775,75078.9934539382,76673.1503499523,78293.3965328876,79949.3363618189,81651.4183145422,83410.7496411438,85238.881306723,87147.5659914514,89148.4951030879,91253.0232896331,93471.8909785808,95814.9566784076,98290.9505902088,100907.260205964,103669.75624774,106582.664808245,109648.488834277,112867.978579508,116240.149135054,119762.340302089,123430.312728211,127238.373846083,131179.526229872,135245.631527615,139427.583323849,143715.483105259,148098.81430366,152566.610292629,157107.61295191,161710.419648483,166363.616880384,171055.899496217,175776.175253022,180513.654685795,185257.926722813,189999.020745842,194727.455967097,199434.279159998,204111.091815381,208750.067853846,213343.963008918,217886.116956444,222370.449214675,226791.449788702,231144.165440516,235424.182387522,239627.60616343,243751.039290463,247791.557333119,251746.683832829,255614.364553943,259392.941413359,263081.126404123,266677.975776851,270182.86467916,273595.462461062,276915.708743487,280143.790385319,283280.119418265,286325.31200698,289280.168472718,292145.654398411,294922.88282221,297613.097512512,300217.657309412,302738.02150906,305175.736261403,307532.421947302
6,0,2,1,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2275335137,65663.5082273881,67239.6201245335,68808.5960192672,70372.7309555978,71935.6519531002,73502.3206636775,75078.9934539382,76673.1503499523,78293.3965328876,79949.3363618189,81651.4183145422,83410.7496411438,85238.881306723,87147.5659914514,89148.4951030879,91253.0232896331,93471.8909785808,95814.9566784076,98290.9505902088,100907.260205964,103669.75624774,106582.664808245,109648.488834277,112867.978579508,116240.149135054,119762.340302089,123430.312728211,127238.373846083,131179.526229872,135245.631527615,139427.583323849,143715.483105259,148098.81430366,152566.610292629,157107.61295191,161710.419648483,166363.616880384,171055.899496217,175776.175253022,180513.654685795,185257.926722813,189999.020745842,194727.455967097,199434.279159998,204111.091815381,208750.067853846,213343.963008918,217886.116956444,222370.449214675,226791.449788702,231144.165440516,235424.182387522,239627.60616343,243751.039290463,247791.557333119,251746.683832829,255614.364553943,259392.941413359,263081.126404123,266677.975776851,270182.86467916,273595.462461062,276915.708743487,280143.790385319,283280.119418265,286325.31200698,289280.168472718,292145.654398411,294922.88282221,297613.097512512,300217.657309412,302738.02150906,305175.736261403,307532.421947302
7,0,2,0,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8375733419,21268.9786105485,21779.4736506303,22287.6572152344,22794.2726590591,23300.4947535492,23807.9305474044,24318.6064375625,24834.9451549386,25359.7338595988,25896.0833376902,26447.3777789286,27017.2147442742,27609.3355104836,28227.5466881353,28875.6350419448,29557.278262468,30275.9550986348,31034.8586521977,31836.8165743793,32684.2216227512,33578.975284241,34522.446362415,35515.4455465555,36558.2158415425,37650.4382458801,38791.2511439947,39979.2814440941,41212.6853687595,42489.1965064982,43806.1789082207,45160.6830761646,46549.502957863,47969.2323173758,49416.3191481518,50887.1170308646,52377.9327394897,53885.0695275483,55404.865742422,56933.7286908731,58468.1637471155,60004.7988440605,61540.4045741566,63071.9101822259,64596.4157861742,66111.2011726918,67613.7315341512,69101.6605077471,70572.8308651939,72025.273184795,73457.2028212482,74867.0154586204,76253.2815065302,77614.7395772389,78950.2892538494,80258.9833342976,81540.0197128773,82792.7330387085,84016.5862717398,85211.1622367963,86376.1552611385,87511.3629603618,88616.6782399998,89692.081544298,90737.6333960089,91753.4672496624,92739.7826769069,93696.8388963204,94624.9486534861,95524.4724536154,96395.813144453,97239.4108445912,98055.7382095737,98845.2960262241,99608.609124191
8,0,2,1,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8375733419,21268.9786105485,21779.4736506303,22287.6572152344,22794.2726590591,23300.4947535492,23807.9305474044,24318.6064375625,24834.9451549386,25359.7338595988,25896.0833376902,26447.3777789286,27017.2147442742,27609.3355104836,28227.5466881353,28875.6350419448,29557.278262468,30275.9550986348,31034.8586521977,31836.8165743793,32684.2216227512,33578.975284241,34522.446362415,35515.4455465555,36558.2158415425,37650.4382458801,38791.2511439947,39979.2814440941,41212.6853687595,42489.1965064982,43806.1789082207,45160.6830761646,46549.502957863,47969.2323173758,49416.3191481518,50887.1170308646,52377.9327394897,53885.0695275483,55404.865742422,56933.7286908731,58468.1637471155,60004.7988440605,61540.4045741566,63071.9101822259,64596.4157861742,66111.2011726918,67613.7315341512,69101.6605077471,70572.8308651939,72025.273184795,73457.2028212482,74867.0154586204,76253.2815065302,77614.7395772389,78950.2892538494,80258.9833342976,81540.0197128773,82792.7330387085,84016.5862717398,85211.1622367963,86376.1552611385,87511.3629603618,88616.6782399998,89692.081544298,90737.6333960089,91753.4672496624,92739.7826769069,93696.8388963204,94624.9486534861,95524.4724536154,96395.813144453,97239.4108445912,98055.7382095737,98845.2960262241,99608.609124191
9,11,2,0,0,292.1211864,0,0.000187905634685343,0.0014065080310508,0.00447625934503001,0.0100726540583181,0.0187832699472355,0.0311402468713293,0.0476389546659993,0.0687500001086683,0.0949296397048951,0.126632697829482,0.164332059093374,0.208549686887564,0.259906001117533,0.319197520762102,0.387517034862587,0.466428586411504,0.558043901447158,0.664763636806879,0.788997317315405,0.932999201644004,1.0987835471516,1.28808993289879,1.50237944572016,1.74284898863271,2.01045545392486,2.30594417027955,2.62987805726195,2.98266520012501,3.36458347448616,3.7758015163066,4.2163958117143,4.68636402348735,5.18563490463841,5.71407528525976,6.27149468930841,6.85764814326365,7.47223770713944,8.11491319695321,8.78527249065219,9.48286173064121,10.2071756545488,10.9576582165999,11.733703598522,12.5346576590994,13.3598198310531,14.2084454446391,15.0797484368043,15.9729043914708,16.8870538498158,17.8213058269014,18.7747414721227,19.7464178147105,20.7353715404152,21.7406227515357,22.7611786689745,23.7960372412382,24.8441906314769,25.9046285594483,26.9763414804695,28.0583235878931,29.1495756300707,30.2491075358675,31.3559408460818,32.4691109504354,33.5876691319508,34.7106844222147,35.8372452723362,36.9664610454839,38.0974633376639,39.2294071340921,40.3614718088343,41.4928619756546,42.622808198276,43.7505675682242,44.8754241583753,45.9966919344219,47.1137770229921,48.2263496285192,49.3344822851322,50.4387202337055,51.5401120696729,52.6402175033461,53.7411007015207,54.8453129640494,55.9558656888631,57.0761932070982,58.2101044455032,59.3617224545037,60.5354114453627,61.7356917448586,62.9671442948324,64.2343073687324,65.5415690763277,66.8930599609385,68.2925501431193,69.7433554185317,71.2482560956168,72.809431562987,74.42841265991,76.1060526097061,77.8425166247743,79.6372891276728,81.4891968221463,83.3964455734413,85.3566684880051,87.3669826703899,89.4240520325611,91.5241537676815,93.6632462980466,95.8370368192114,98.0410468345222,100.270674442329,102.521252470168,104.788101682814,107.066578705199,109.352118417978,111.640270787434,113.926732237303,116.207371766127,118.478252112279,120.735646311751,122.9760500395,125.196190141913,127.393029770139,129.563770518405,131.705851963117,133.816948971816,135.894967125826,137.938036578507,139.94450464053,141.912927353881,143.842060288832,145.730848770383,147.578417716967,149.384061247754,151.147232195135,152.867531629069,154.544698507187,156.178599509112,157.769219134297,159.316650109581,160.821084147832,162.28280308837,163.702170440315,165.079623343728,166.41566495613,167.710857267387,168.965814341089,170.181195976985,171.357701786135
10,11,2,0,1,67.8788136,0,0.000187008218879147,0.00138663178785712,0.00434902050215392,0.00960332612818406,0.0175124348613642,0.0283139484561594,0.0421513754427268,0.0590983983523205,0.0791783819129362,0.102380886080533,0.128676776927784,0.158033610926656,0.1904332844643,0.225894551109202,0.264503923297024,0.306457973655051,0.352082628256633,0.401776248297067,0.455947411780257,0.514978477576653,0.579206767683612,0.648916817857843,0.724339420607183,0.805654630164293,0.892996900692671,0.986461124331841,1.08610878603543,1.19197373619567,1.30406728509455,1.42238247036645,1.54689745428573,1.67757808299353,1.81437969085908,1.95724826260399,2.10612108072461,2.26092698616536,2.42158637251799,2.58801101969764,2.76010385531616,2.9377587139152,3.12086014564608,3.3092833102192,3.50289397754496,3.70154864519199,3.90509477363641,4.11337113366388,4.32620825565337,4.54342896749816,4.76484900643825,4.99027768954274,5.21951862787167,5.45237047023997,5.68862766365115,5.92808121887278,6.17051947114293,6.41572882744371,6.66349449321302,6.91360117271423,7.16583373848986,7.41997786636586,7.67582063351805,7.93315107783094,8.19176071756548,8.45144403089435,8.71199889537762,8.9732269878631,9.23493414560506,9.49693068966973,9.75903171188698,10.0210573267825,10.2828328900186,10.5441891849478,10.8049625789551,11.0649951512757,11.3241347939759,11.582235868467,11.839173253275,12.0948811280594,12.3493841640831,12.6028134034092,12.8554131761895,13.1075428552678,13.3596753584948,13.612393245482,13.8663826238344,14.1224247704358,14.3813852324908,14.6442001913512,14.9118600086511,15.1853900468553,15.4658291313019,15.7542062565167,16.0515163423936,16.3586960112338,16.6766003903861,17.0059819348093,17.3474721235352,17.7015667045137,18.0686149555592,18.448813132798,18.8422021311309,19.2486691185809,19.6679527461044,20.0996514725097,20.543234415715,20.9980541613648,21.4633609366766,21.9383176108251,22.4220150277508,22.9134872477429,23.411726335549,23.9156964157988,24.4243467914178,24.9366239506337,25.451482381589,25.9678941399167,26.4848571606453,27.0014023386962,27.5165994239162,28.0295617988002,28.5394502167623,29.045475589111,29.5469009126779,30.0430424305328,30.5332701169572,31.0170075759622,31.4937314366164,31.9629703227498,32.4243034696576,32.8773590535483,33.3218122927732,33.7573833736878,34.1838352477269,34.6009713409348,35.0086332112228,35.4066981841616,35.7950769913861,36.1737114373003,36.542572107277,36.9016561352439,37.250985041079,37.5906026471516,37.9205730809325,38.2409788684498,38.5519191219415,38.8535078234217,39.1458722048353,39.4291512243787,39.7034941377647,39.96905916255
