"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.261940524,110402.569958866,112984.915547123,115550.923994606,118100.862747942,120635.628204401,123156.691078516,125666.020336548,128165.998474284,130659.335865514,133148.988801052,135638.083854567,138129.849642396,140627.556533858,143134.464048063,145653.775680677,148188.600430604,150741.920612334,153316.565237365,155915.188256264,158540.251199397,161194.009672996,163878.503316782,166595.548562001,169346.734015797,172133.418185496,174956.729100349,177817.565651098,180716.600422288,183654.28382251,186630.849329763,189646.319718491,192700.514124364,195793.055821254,198923.380622648,202090.745793498,205294.239391375,208532.789963594,211805.176514767,215110.038685835,218445.887080264,221811.113673796,225204.002257074,228622.738860814,232065.422110451,235530.073470932,239014.647401343,242517.041199706,246035.104403757,249566.64857494,253109.456290527,256661.289920662,260219.900075359,263783.033691072,267348.441735754,270913.886518209,274477.148589806,278036.03322953,281588.376506048,285132.050913106,288664.97057707,292185.096037812,295690.438606308,299179.064304449,302649.097394379,306098.723506485,309526.192376631,312929.820204679,316307.991647509,319659.161456095,322981.85580375,326274.673202666,329536.285319464,332765.437253135,335960.94766333
2,0,1,1,0,818021.22396571,0,0.000231652943901843,0.00269013517939065,0.0136683237022885,0.0474768364732085,0.131459512209812,0.313686006718984,0.675249523412041,1.3499824394596,2.55597913823246,4.64582496613958,8.18640689316819,14.0852412788703,23.7893410515242,39.5956686586738,65.1294741458144,106.037095319904,170.273454877995,267.02994626474,405.565205994274,594.503730371126,841.464815013286,1152.90594584296,1534.10205756747,1989.20671691528,2521.35922117294,3132.81264062493,3825.06654786505,4598.99387588358,5454.95548806459,6392.89907986838,7412.44120647963,8512.93276888994,9693.50933271179,10953.1282526976,12290.5948919713,13704.5802591058,15193.6322659448,16756.1825644083,18390.5506106266,20094.9462879991,21867.4720922312,23706.125603163,25608.8027122817,27573.3018743321,29597.3294881208,31678.5063926861,33814.3753813737,36002.4095814524,38240.021517899,40524.572667953,42853.3833150615,45223.7425230691,47632.9180683993,50078.1661890175,52556.7410316486,55065.903700415,57602.9308312537,60165.1226359909,62749.8103770408,65354.3632484141,67976.1946522208,70612.7678696557,73261.6011346429,75920.2721249163,78586.4218908428,81257.7582460227,83932.058646798,86607.1725893692,89281.0235544039,91951.6105297862,94617.0091416267,97275.3724232743,99924.9312516916,102563.994479259,105190.948787869,107804.261940524,110402.569958866,112984.915547123,115550.923994606,118100.862747942,120635.628204401,123156.691078516,125666.020336548,128165.998474284,130659.335865514,133148.988801052,135638.083854567,138129.849642396,140627.556533858,143134.464048063,145653.775680677,148188.600430604,150741.920612334,153316.565237365,155915.188256264,158540.251199397,161194.009672996,163878.503316782,166595.548562001,169346.734015797,172133.418185496,174956.729100349,177817.565651098,180716.600422288,183654.28382251,186630.849329763,189646.319718491,192700.514124364,195793.055821254,198923.380622648,202090.745793498,205294.239391375,208532.789963594,211805.176514767,215110.038685835,218445.887080264,221811.113673796,225204.002257074,228622.738860814,232065.422110451,235530.073470932,239014.647401343,242517.041199706,246035.104403757,249566.64857494,253109.456290527,256661.289920662,260219.900075359,263783.033691072,267348.441735754,270913.886518209,274477.148589806,278036.03322953,281588.376506048,285132.050913106,288664.97057707,292185.096037812,295690.438606308,299179.064304449,302649.097394379,306098.723506485,309526.192376631,312929.820204679,316307.991647509,319659.161456095,322981.85580375,326274.673202666,329536.285319464,332765.437253135,335960.94766333
3,0,1,0,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.97321159684,316.388947162491,323.758890877151,331.081984942828,338.359002399355,345.592509468572,352.786709766346,359.94722739897,367.080865374568,374.195361364847,381.299153991161,388.401167152417,395.510615437945,402.636832212281,409.789119618923,416.976619771521,424.208205050667,431.492386324933,438.837237052778,446.250331245005,453.738693970488,461.308762855725,468.966359455303,476.716668607926,484.564225281662,492.512908091492,500.56593822762,508.725883282123,516.994665332229,525.373572724601,533.863275039354,542.463840853268,551.174757891745,559.994955211505,568.922827163758,577.9562588128,587.092652578621,596.328955894456,605.661689635316,615.086977149429,624.600573709168,634.197896200078,643.874052903507,653.62387322932,663.441937247337,673.322604905385,683.260044990098,693.248263204047,703.28112897646,713.352403366857,723.45576471024,733.584833648904,743.733197222935,753.894431932845,764.062125714133,774.229898783347,784.391423321629,794.540441969981,804.670785118251,814.776386977332,824.851300431201,834.88971067218,844.885947629114,854.834497204046,864.730011338356,874.567316934284,884.341423662139,894.047530687482,903.681032355954,913.237522863053,922.712800043187,932.102867984557,941.403939356224,950.612436201792,959.724990306428
4,0,1,1,1,2335.27250675705,0,0.000187446315687951,0.00138880085401697,0.00435183098263214,0.00960396793064732,0.0175206802311403,0.028390876967047,0.0424868226842524,0.0601482031688595,0.0818941786255844,0.108584180982941,0.14165934021618,0.183513554104951,0.238068988609362,0.311667829043783,0.414441211988636,0.562288472376291,0.777699623121699,1.08669998067144,1.51551722443302,2.08858208832408,2.82747062530513,3.75045771431684,4.8724577887515,6.20519901936662,7.75752831074163,9.53577593848585,11.5441334963224,13.7850150673365,16.2593833380353,18.9670310292161,21.9068142153128,25.0768384877347,28.4746018865021,32.09710023015,35.9409013737797,40.0021950214619,44.2768243755821,48.7603052074218,53.4478370491451,58.3343103037612,63.4143121325219,68.6821331855933,74.1317765119487,79.7569694126616,85.5511785360176,91.50762817374,97.6193214791329,103.879064171412,110.27949020781,116.813088870802,123.472232723572,130.249205921841,137.136232418332,144.125503656272,151.209205413033,158.379543516936,165.628768220758,172.949197071131,180.333236161895,187.773399701379,195.26232786223,202.79280291032,210.35776363556,217.950318126287,225.563754944689,233.191552771421,240.827388596388,248.465144537219,256.098913370325,263.723002861645,271.331938982722,278.920468096662,286.48355819749,294.016399282725,301.514402935598,308.97321159684,316.388947162491,323.758890877151,331.081984942828,338.359002399355,345.592509468572,352.786709766346,359.94722739897,367.080865374568,374.195361364847,381.299153991161,388.401167152417,395.510615437945,402.636832212281,409.789119618923,416.976619771521,424.208205050667,431.492386324933,438.837237052778,446.250331245005,453.738693970488,461.308762855725,468.966359455303,476.716668607926,484.564225281662,492.512908091492,500.56593822762,508.725883282123,516.994665332229,525.373572724601,533.863275039354,542.463840853268,551.174757891745,559.994955211505,568.922827163758,577.9562588128,587.092652578621,596.328955894456,605.661689635316,615.086977149429,624.600573709168,634.197896200078,643.874052903507,653.62387322932,663.441937247337,673.322604905385,683.260044990098,693.248263204047,703.28112897646,713.352403366857,723.45576471024,733.584833648904,743.733197222935,753.894431932845,764.062125714133,774.229898783347,784.391423321629,794.540441969981,804.670785118251,814.776386977332,824.851300431201,834.88971067218,844.885947629114,854.834497204046,864.730011338356,874.567316934284,884.341423662139,894.047530687482,903.681032355954,913.237522863053,922.712800043187,932.102867984557,941.403939356224,950.612436201792,959.724990306428
5,0,2,0,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204948802,65663.3035487717,67238.1990857526,68803.0951939019,70357.2443566343,71899.965319831,73430.6442090761,74948.7350745076,76453.7599108886,77945.3081544809,79423.0356493434,80886.6630940521,82335.9739968315,83770.8121778866,85191.078880801,86596.7295490894,87987.7703411651,89364.254440087,90726.2782265053,92073.9773739278,93407.5229144183,94727.1173213002,96032.9906486652,97325.3967633698,98604.6096907843,99870.9200998555,101124.631947419,102366.059291402,103595.523284207,104813.349353083,106019.864571689,107215.395224177,108400.264563369,109574.790760343,110739.285043746,111894.050025236,113039.378205765,114175.55065883,115302.835883862,116421.488823798,117531.75004076,118633.845041935,119727.983749131,120814.360103249,121893.151798134,122964.520134901,124028.609991203,125085.54988627,126135.452153127,127178.41319063,128214.51380422,129243.81961683,130266.38154499,131282.236333661,132291.407142016,133293.904173254,134289.725341713,135278.856970789,136261.274515499,137236.94330381,138205.819291185,139167.849823143,140122.974400963,141071.125446006,142012.229058492,142946.205766917,143872.971264621,144792.437130395,145704.511530321,146609.099895815,147506.10559305,148395.430511557,149276.975750584,150150.64213732,151016.330771289
6,0,2,1,0,527895.493723415,0,0.000216366336700027,0.00224123888380081,0.0104163664868349,0.0340312047186534,0.0901960639784525,0.208120449268818,0.435895781789438,0.85134878594714,1.57938877747912,2.81964820489676,4.89040497401846,8.29812149658934,13.8469745635418,22.8100248506609,37.1934471322374,60.1205396285118,95.9957711943379,149.922119317745,227.06369175974,332.26344884054,469.840293199761,643.502190538088,856.332636338569,1110.82130128506,1408.91943333132,1752.10654985361,2141.45963543926,2577.71911987295,3061.34814517689,3592.58328274272,4171.47605855899,4797.92550108866,5471.70251163885,6192.46719572745,6959.78047095638,7773.11128246264,8631.84068222198,9535.2638810975,10482.591197142,11472.9486344026,12505.3786316735,13578.8413556605,14692.2167629641,15844.3075383544,17033.8429229856,18259.4833794044,19519.8259944691,20813.4104931017,22138.7257231109,23494.2164684408,24878.290453664,26289.3254138337,27725.6761174036,29185.6812457539,30667.670049283,32169.9687154188,33690.9063987009,35228.8208765357,36782.063805905,38349.0055662927,39928.0396831514,41517.5868327998,43116.0984357033,44722.0598494485,46333.9931763122,47950.4597026933,49570.0619896599,51191.4456347712,52813.3007260242,54434.3630091873,56053.4147893059,57669.2855868278,59280.8525684557,60887.0407718792,62486.8231426648,64079.2204948802,65663.3035487717,67238.1990857526,68803.0951939019,70357.2443566343,71899.965319831,73430.6442090761,74948.7350745076,76453.7599108886,77945.3081544809,79423.0356493434,80886.6630940521,82335.9739968315,83770.8121778866,85191.078880801,86596.7295490894,87987.7703411651,89364.254440087,90726.2782265053,92073.9773739278,93407.5229144183,94727.1173213002,96032.9906486652,97325.3967633698,98604.6096907843,99870.9200998555,101124.631947419,102366.059291402,103595.523284207,104813.349353083,106019.864571689,107215.395224177,108400.264563369,109574.790760343,110739.285043746,111894.050025236,113039.378205765,114175.55065883,115302.835883862,116421.488823798,117531.75004076,118633.845041935,119727.983749131,120814.360103249,121893.151798134,122964.520134901,124028.609991203,125085.54988627,126135.452153127,127178.41319063,128214.51380422,129243.81961683,130266.38154499,131282.236333661,132291.407142016,133293.904173254,134289.725341713,135278.856970789,136261.274515499,137236.94330381,138205.819291185,139167.849823143,140122.974400963,141071.125446006,142012.229058492,142946.205766917,143872.971264621,144792.437130395,145704.511530321,146609.099895815,147506.10559305,148395.430511557,149276.975750584,150150.64213732,151016.330771289
7,0,2,0,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352935808,21268.9123166674,21779.0133867415,22285.8755388243,22789.256664874,23288.9361185393,23784.7150770267,24276.4167175779,24763.886223975,25246.9906235855,25725.6184525589,26199.6792527359,26669.1029093351,27133.8388419825,27593.8550691195,28049.1371639575,28499.6871257072,28945.5221843381,29386.6735610295,29823.1852034611,30255.1125115275,30682.5210685599,31105.4853909468,31524.0877077104,31938.4167769272,32348.5667472702,32754.6360711316,33156.7264724476,33554.9419728815,33949.3879785727,34340.170428808,34727.3950070516,35111.1664148401,35491.5877076698,35868.759692341,36242.7803845829,36613.7445252535,36981.7431538594,37346.8632371779,37709.1873510607,38068.7934134455,38425.754466017,38780.1385024011,39132.0083400615,39481.4215340968,39828.4303300622,40173.081654016,40515.4171335901,40855.4731537704,41193.2809385331,41528.8666612136,41862.2515775989,42193.4521801361,42522.4803711639,42849.3436526429,43174.0453301515,43496.5847289587,43816.9574200777,44135.1554543004,44451.1676023086,44764.9795990686,45076.5743908194,45385.9323830799,45693.0316882084,45997.8483711671,46300.3566922517,46600.5293456636,46898.3376929088,47193.7519901202,47486.7416076722,47777.275247002,48065.3211312533,48350.8472275861,48633.8214150242,48914.2116607821
8,0,2,1,1,171228.02725029,0,0.00019630636975098,0.00165926675395273,0.00628834413935596,0.0174211763570355,0.0408007078937144,0.0859902866174656,0.168594085620992,0.313791251408068,0.561969538427702,0.97768974421715,1.6639211746609,2.78457214471499,4.59997157193139,7.52231387167517,12.201244467579,19.6482400295173,31.2897439282674,48.7784476167723,73.7868493599714,107.883437843232,152.466971315066,208.738338105783,277.696173214873,360.146783939525,456.722093917695,567.901243889075,694.033003975557,835.357143069128,992.023624583219,1164.10903295014,1351.63002293359,1554.55386125378,1772.80631959179,2006.27728772891,2254.82453290645,2518.27603653114,2796.43131512476,3089.06208467994,3395.91256753976,3716.69967961824,4051.11327268355,4398.81655298969,4759.44674893879,5132.61606258369,5517.91290938995,5914.90342904299,6323.13323527227,6742.12936353161,7171.40237126736,7610.4485445717,8058.75216678866,8515.78780829796,8981.02260110694,9453.9184670055,9933.93427335976,10420.5278956053,10913.1581702932,11411.2867269011,11914.3796903995,12421.9092498033,12933.3550908668,13448.2056932117,13965.9594941386,14486.1259227856,15008.2263094604,15531.7946757379,16056.3784115587,16581.5388458587,17106.8517174819,17631.9075532635,18156.3119600146,18679.6858370315,19201.6655156422,19721.9028319937,20240.0651389983,20755.8352935808,21268.9123166674,21779.0133867415,22285.8755388243,22789.256664874,23288.9361185393,23784.7150770267,24276.4167175779,24763.886223975,25246.9906235855,25725.6184525589,26199.6792527359,26669.1029093351,27133.8388419825,27593.8550691195,28049.1371639575,28499.6871257072,28945.5221843381,29386.6735610295,29823.1852034611,30255.1125115275,30682.5210685599,31105.4853909468,31524.0877077104,31938.4167769272,32348.5667472702,32754.6360711316,33156.7264724476,33554.9419728815,33949.3879785727,34340.170428808,34727.3950070516,35111.1664148401,35491.5877076698,35868.759692341,36242.7803845829,36613.7445252535,36981.7431538594,37346.8632371779,37709.1873510607,38068.7934134455,38425.754466017,38780.1385024011,39132.0083400615,39481.4215340968,39828.4303300622,40173.081654016,40515.4171335901,40855.4731537704,41193.2809385331,41528.8666612136,41862.2515775989,42193.4521801361,42522.4803711639,42849.3436526429,43174.0453301515,43496.5847289587,43816.9574200777,44135.1554543004,44451.1676023086,44764.9795990686,45076.5743908194,45385.9323830799,45693.0316882084,45997.8483711671,46300.3566922517,46600.5293456636,46898.3376929088,47193.7519901202,47486.7416076722,47777.275247002,48065.3211312533,48350.8472275861,48633.8214150242,48914.2116607821
9,11,2,0,0,292.1211864,0,0.000187905634685343,0.0014065080310508,0.00447625934503001,0.0100726540583181,0.0187832699472355,0.0311402468713293,0.0476389546659993,0.0687500001086683,0.0949296397048951,0.126632697829482,0.164332059093374,0.208549686887564,0.259906001117533,0.319197520762102,0.387517034862587,0.466428586411504,0.558043901447158,0.664763636806879,0.788997317315405,0.932999201644004,1.0987835471516,1.28808993289879,1.50237944572016,1.74284898863271,2.01045545392486,2.30594417027955,2.62987805726195,2.98266520012501,3.36458347448616,3.7758015163066,4.2163958117143,4.68636402348735,5.18563490463841,5.71407528525976,6.27149468930841,6.85764814326365,7.47223770713944,8.11491319695321,8.78527249065219,9.48286173064121,10.2071756545488,10.9576582165999,11.733703598522,12.5346576590994,13.3598198310531,14.2084454446391,15.0797484368043,15.9729043914708,16.8870538498158,17.8213058269014,18.7747414721227,19.7464178147105,20.7353715404152,21.7406227515357,22.7611786689745,23.7960372412382,24.8441906314769,25.9046285594483,26.9763414804695,28.0583235878931,29.1495756300707,30.2491075358675,31.3559408460818,32.4691109504354,33.5876691319508,34.7106844222147,35.8372452723362,36.9664610454839,38.0974633376639,39.2294071340921,40.3614718088343,41.4928619756546,42.622808198276,43.7505675682242,44.8754241583753,45.99668936014,47.1137021256896,48.2258292289817,49.3324657549771,50.4330358940446,51.5269939673375,52.6138255501032,53.6930485590502,54.7642141927315,55.8269076477437,56.8807485615414,57.9253911604719,58.960524114133,59.9858701061892,61.0011851497566,62.0062576723271,63.0009074077745,63.9849841220187,64.9583662077196,65.9209591799649,66.8726940974405,67.8135259344685,68.7434319247357,69.6624099000476,70.5704766353088,71.4676662141875,72.3540284300678,73.2296272295162,74.0945392065665,74.9488521542307,75.7926636781352,76.6260798756946,77.4492140841334,78.2621856988334,79.0651190632451,79.8581424310949,80.6413870004457,81.4149860195173,82.1790739630951,82.9337857782249,83.6792561978858,84.415619120484,85.143007053331,85.8615506172553,86.5713781109487,87.2726151318575,87.9653842499823,88.6498047325675,89.325992328215,89.9940590725439,90.6541131551591,91.3062588215739,91.9505963110984,92.5872218286015,93.2162275471058,93.8377016384505,94.4517283292919,95.0583879797894,95.6577571824194,96.2499088784544,96.8349124897524,97.4128340636142,97.9837364285832,98.5476793591832,99.1047197477147,99.6549117813526,100.198307122917,100.734955093811,101.264902857742,101.788195603263,102.304876728795,102.814988009362,103.318569794885,103.815661164991,104.306300093845
10,11,2,0,1,67.8788136,0,0.000187008218879147,0.00138663178785712,0.00434902050215392,0.00960332612818406,0.0175124348613642,0.0283139484561594,0.0421513754427268,0.0590983983523205,0.0791783819129362,0.102380886080533,0.128676776927784,0.158033610926656,0.1904332844643,0.225894551109202,0.264503923297024,0.306457973655051,0.352082628256633,0.401776248297067,0.455947411780257,0.514978477576653,0.579206767683612,0.648916817857843,0.724339420607183,0.805654630164293,0.892996900692671,0.986461124331841,1.08610878603543,1.19197373619567,1.30406728509455,1.42238247036645,1.54689745428573,1.67757808299353,1.81437969085908,1.95724826260399,2.10612108072461,2.26092698616536,2.42158637251799,2.58801101969764,2.76010385531616,2.9377587139152,3.12086014564608,3.3092833102192,3.50289397754496,3.70154864519199,3.90509477363641,4.11337113366388,4.32620825565337,4.54342896749816,4.76484900643825,4.99027768954274,5.21951862787167,5.45237047023997,5.68862766365115,5.92808121887278,6.17051947114293,6.41572882744371,6.66349449321302,6.91360117271423,7.16583373848986,7.41997786636586,7.67582063351805,7.93315107783094,8.19176071756548,8.45144403089435,8.71199889537762,8.9732269878631,9.23493414560506,9.49693068966973,9.75903171188698,10.0210573267825,10.2828328900186,10.5441891849478,10.8049625789551,11.0649951512757,11.3241347939759,11.5822352876434,11.8391563571593,12.0947637314336,12.3489292564822,12.6015310774293,12.8524538732936,13.1015891143526,13.3488353118187,13.5940982347125,13.8372910764621,14.0783345600783,14.3171569770335,14.5536941600502,14.7878893920501,15.0196932575693,15.2490634422459,15.4759644888189,15.7003675156134,15.9222499054679,16.1415949722965,16.3583916107946,16.572633935,16.7843209103925,16.9934559847881,17.2000467205453,17.4041044313333,17.6056438267538,17.8046826664387,18.0012414254938,18.1953429727293,18.3870122627809,18.5762760428873,18.7631625750711,18.9477013740552,19.1299229611933,19.30985863458,19.4875402552422,19.6630000493894,19.836270426463,20.0073838126896,20.1763724998465,20.3432685087546,20.5081034670859,20.670908500847,20.8317141392218,20.9905502320595,21.1474458792069,21.3024293711856,21.4555281431038,21.6067687335186,21.7561767568818,21.9037768838079,22.0495928293685,22.1936473489373,22.3359622409054,22.4765583556439,22.6154556101005,22.7526730074362,22.8882286611262,23.0221398229727,23.1544229145002,23.2850935612315,23.4141666293659,23.5416562644095,23.6675759313382,23.7919384558965,23.9147560666686,24.036040437584,24.155802730548,24.2740536377486,24.3908034245038,24.5060619678397,24.6198388023534,24.7321431559883,24.8429839881226
