"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,0,0.000231652943932469,0.00269013518029064,0.013668323708759,0.0474768364996133,0.131459512289564,0.313686006919474,0.675249523858148,1.34998244037119,2.55597913998374,4.64582495246228,8.1864068269417,14.0852411446462,23.7893409060626,39.5956685683007,65.1294742066153,106.051307642717,170.714971383371,270.286619118125,418.895689803224,634.026089578187,937.019361044459,1353.56623139415,1914.06162239997,2653.69365128131,3612.14913773761,4832.8592019334,6361.77229862437,8245.72419112945,10530.5465058614,13259.1005145048,16469.4295085455,20193.1942140181,24454.5031118156,29269.189434088,34644.5320996944,40579.376588378,47064.5864414902,54083.7450883819,61614.0278362029,69627.171264472,78090.4786308096,86967.8126850332,96220.5397991904,105808.400548956,115690.291403556,125824.949776109,136171.540629573,146690.146796246,157342.168832952,168090.641159533,178900.473054217,189738.623242885,200574.216669344,211378.611929386,222125.42710274,232790.531231592,243352.007796742,253790.095965836,264087.114521022,274227.37282277,284197.072400633,293984.202337668,303578.430946471,312970.995891676,322154.594473027,331123.275429517,339872.333352367,348398.206534486,356698.378863054,364771.286199003,372616.227530337,380233.281078216,387623.225413917,394787.465595192,401727.964247675,408447.177200255,414947.995123783,421233.687108432,427307.850993616,433174.367169083,438837.354470925,444301.132894243,449570.18698426,454649.133953359,459542.694174185,464255.664671787,468792.895220019,473159.26680168,477359.672326831,481398.999409729,485282.115021916,489013.851977802,492598.996875166,496042.279636035,499348.364350739,502521.841350188,505567.220405115,508488.924944295,511291.287202535,513978.54421075,516554.8345476,519024.195779565,521390.562521167,523657.76505275,525829.528438174,527909.472089477,529901.109729905,531807.849710791,533632.995641509,535379.747295248,537051.201756568,538650.354779716,540180.102329427,541643.242278534,543042.476239037,544380.411505466,545659.563091281,546882.355842056,548051.126606661,549168.126456378,550235.522938311,551255.402349578,552229.772024008,553160.562622227,554049.630416885,554898.759566033,555709.664368413,556483.991495177,557223.322193309,557929.174456588,558603.005160567,559246.212158516,559860.136335802,560446.063620556,561005.226948902,561538.808183362,562047.939983347,562533.707626961,562997.150783565,563439.265236791,563861.004557893,564263.2817295,564646.970719998,565012.908008902,565361.894063697,565694.694768761,566012.042807026,566314.638995173,566603.153573164,566878.227449034
2,0,1,1,0,0,818021.22396571,0,0.000231652943932469,0.00269013518029064,0.013668323708759,0.0474768364996133,0.131459512289564,0.313686006919474,0.675249523858148,1.34998244037119,2.55597913998374,4.64582495246228,8.1864068269417,14.0852411446462,23.7893409060626,39.5956685683007,65.1294742066153,106.051307642717,170.714971383371,270.286619118125,418.895689803224,634.026089578187,937.019361044459,1353.56623139415,1914.06162239997,2653.69365128131,3612.14913773761,4832.8592019334,6361.77229862437,8245.72419112945,10530.5465058614,13259.1005145048,16469.4295085455,20193.1942140181,24454.5031118156,29269.189434088,34644.5320996944,40579.376588378,47064.5864414902,54083.7450883819,61614.0278362029,69627.171264472,78090.4786308096,86967.8126850332,96220.5397991904,105808.400548956,115690.291403556,125824.949776109,136171.540629573,146690.146796246,157342.168832952,168090.641159533,178900.473054217,189738.623242885,200574.216669344,211378.611929386,222125.42710274,232790.531231592,243352.007796742,253790.095965836,264087.114521022,274227.37282277,284197.072400633,293984.202337668,303578.430946471,312970.995891676,322154.594473027,331123.275429517,339872.333352367,348398.206534486,356698.378863054,364771.286199003,372616.227530337,380233.281078216,387623.225413917,394787.465595192,401727.964247675,408447.177200255,414947.995123783,421233.687108432,427307.850993616,433174.367169083,438837.354470925,444301.132894243,449570.18698426,454649.133953359,459542.694174185,464255.664671787,468792.895220019,473159.26680168,477359.672326831,481398.999409729,485282.115021916,489013.851977802,492598.996875166,496042.279636035,499348.364350739,502521.841350188,505567.220405115,508488.924944295,511291.287202535,513978.54421075,516554.8345476,519024.195779565,521390.562521167,523657.76505275,525829.528438174,527909.472089477,529901.109729905,531807.849710791,533632.995641509,535379.747295248,537051.201756568,538650.354779716,540180.102329427,541643.242278534,543042.476239037,544380.411505466,545659.563091281,546882.355842056,548051.126606661,549168.126456378,550235.522938311,551255.402349578,552229.772024008,553160.562622227,554049.630416885,554898.759566033,555709.664368413,556483.991495177,557223.322193309,557929.174456588,558603.005160567,559246.212158516,559860.136335802,560446.063620556,561005.226948902,561538.808183362,562047.939983347,562533.707626961,562997.150783565,563439.265236791,563861.004557893,564263.2817295,564646.970719998,565012.908008902,565361.894063697,565694.694768761,566012.042807026,566314.638995173,566603.153573164,566878.227449034
3,0,1,0,1,0,2335.27250675705,0,0.00018744631568807,0.00138880085401956,0.0043518309826506,0.00960396793072262,0.0175206802313678,0.0283908769676187,0.0424868226855246,0.0601482031714591,0.0818941786305784,0.108584180943407,0.141659340026106,0.18351355372083,0.238068988193702,0.311667828785688,0.414441212162026,0.562329000446053,0.778958656135783,1.09598674225232,1.55353056808361,2.2012844510143,3.09995494346141,4.32266263129236,5.95595435936478,8.10005673914659,10.8680359628728,14.3836460532159,18.7778294896499,24.1840684310449,30.7329904555633,38.5467610756802,47.7338144390245,58.3843911636582,70.5672023095404,84.3273671193273,99.6856167260836,116.63863835765,135.160362387136,155.203963242893,176.70434558618,199.580908276635,223.740411054031,249.079805339067,275.488926230481,302.852974793197,331.054746884448,359.976586421994,389.502057946542,419.517344630797,449.912388336284,480.58179095846,511.425501507439,542.349313837831,573.265199513818,604.091499998042,634.753000218146,665.18090418043,695.312730740712,725.092145998023,754.468746304338,783.397804313459,811.839988307882,839.761063833437,867.131584764305,893.926579942799,920.125240281403,945.710610206299,970.66928654389,994.991127210104,1018.66897143208,1041.69837276739,1064.07734573884,1085.80612659472,1106.88694836017,1127.32383020351,1147.12238090563,1166.28961531557,1184.83378793257,1202.76423200547,1220.09121790062,1236.8258213633,1252.97979775478,1268.56547572847,1283.59565284127,1298.08350464195,1312.04250053547,1325.48632819969,1338.42882542873,1350.883918717,1362.86556828276,1374.38771896222,1385.46425645383,1396.10896878804,1406.33551194607,1416.15738004222,1425.58787922236,1434.64010506469,1443.3269231942,1451.66095280266,1459.65455281987,1467.31981048612,1474.6685320962,1481.71223570632,1488.46214560948,1494.92918840043,1501.12399046621,1507.05687675099,1512.73787065675,1518.17669495288,1523.38277357836,1528.3652342303,1533.13291164173,1537.69435146035,1542.05781464738,1546.23128232344,1550.22246099486,1554.03878810004,1557.68743782093,1561.17532711338,1564.50912190261,1567.6952434154,1570.73987460972,1573.64896666368,1576.42824549984,1579.08321831914,1581.61918012084,1584.04122018852,1586.35422852435,1588.56290221612,1590.67175172335,1592.68510707081,1594.60712393926,1596.44178964486,1598.19292899983,1599.86421004844,1601.45914967336,1602.98111906831,1604.43334907405,1605.81893537543,1607.14084355797,1608.401914023,1609.60486676118,1610.75230598445,1611.84672461719,1612.89050864746,1613.88594133991,1614.83520731184,1615.74039647457,1616.60350784211,1617.42645320968,1618.21106070455
4,0,1,1,1,0,2335.27250675705,0,0.00018744631568807,0.00138880085401956,0.0043518309826506,0.00960396793072262,0.0175206802313678,0.0283908769676187,0.0424868226855246,0.0601482031714591,0.0818941786305784,0.108584180943407,0.141659340026106,0.18351355372083,0.238068988193702,0.311667828785688,0.414441212162026,0.562329000446053,0.778958656135783,1.09598674225232,1.55353056808361,2.2012844510143,3.09995494346141,4.32266263129236,5.95595435936478,8.10005673914659,10.8680359628728,14.3836460532159,18.7778294896499,24.1840684310449,30.7329904555633,38.5467610756802,47.7338144390245,58.3843911636582,70.5672023095404,84.3273671193273,99.6856167260836,116.63863835765,135.160362387136,155.203963242893,176.70434558618,199.580908276635,223.740411054031,249.079805339067,275.488926230481,302.852974793197,331.054746884448,359.976586421994,389.502057946542,419.517344630797,449.912388336284,480.58179095846,511.425501507439,542.349313837831,573.265199513818,604.091499998042,634.753000218146,665.18090418043,695.312730740712,725.092145998023,754.468746304338,783.397804313459,811.839988307882,839.761063833437,867.131584764305,893.926579942799,920.125240281403,945.710610206299,970.66928654389,994.991127210104,1018.66897143208,1041.69837276739,1064.07734573884,1085.80612659472,1106.88694836017,1127.32383020351,1147.12238090563,1166.28961531557,1184.83378793257,1202.76423200547,1220.09121790062,1236.8258213633,1252.97979775478,1268.56547572847,1283.59565284127,1298.08350464195,1312.04250053547,1325.48632819969,1338.42882542873,1350.883918717,1362.86556828276,1374.38771896222,1385.46425645383,1396.10896878804,1406.33551194607,1416.15738004222,1425.58787922236,1434.64010506469,1443.3269231942,1451.66095280266,1459.65455281987,1467.31981048612,1474.6685320962,1481.71223570632,1488.46214560948,1494.92918840043,1501.12399046621,1507.05687675099,1512.73787065675,1518.17669495288,1523.38277357836,1528.3652342303,1533.13291164173,1537.69435146035,1542.05781464738,1546.23128232344,1550.22246099486,1554.03878810004,1557.68743782093,1561.17532711338,1564.50912190261,1567.6952434154,1570.73987460972,1573.64896666368,1576.42824549984,1579.08321831914,1581.61918012084,1584.04122018852,1586.35422852435,1588.56290221612,1590.67175172335,1592.68510707081,1594.60712393926,1596.44178964486,1598.19292899983,1599.86421004844,1601.45914967336,1602.98111906831,1604.43334907405,1605.81893537543,1607.14084355797,1608.401914023,1609.60486676118,1610.75230598445,1611.84672461719,1612.89050864746,1613.88594133991,1614.83520731184,1615.74039647457,1616.60350784211,1617.42645320968,1618.21106070455
5,0,2,0,0,0,527895.493723415,0,0.000216366336720198,0.00224123888438859,0.0104163664909968,0.0340312047353042,0.090196064027574,0.208120449389095,0.435895782049627,0.851348786463509,1.57938877844234,2.81964819730661,4.89040493731982,8.29812142203562,13.8469744821636,22.8100247982013,37.1934471646751,60.1283073139413,96.2371968095234,151.704183809602,234.365210046376,353.937297787594,522.318921311707,753.896645625825,1065.79186992531,1477.97733336371,2013.19631986155,2696.63545406535,3555.33227397348,4617.34048594451,5910.71543003988,7462.41101555603,9297.19032322646,11436.6446610125,13898.3942704949,16695.5152687168,19836.2084770945,23323.7012270798,27156.3555951331,31327.9460567893,35828.0654066208,40642.6183901513,45754.3662418882,51143.4908146243,56788.1531455115,62665.0273793575,68749.7965335773,75017.6013596358,81443.4375399545,88002.4993748081,94670.4708573469,101423.766175419,108239.72323924,115096.75437603,121974.458635617,128853.700354622,135716.658438874,142546.850702805,149329.137204578,156049.706263638,162696.046386893,169256.907041206,175722.250758991,182083.198823334,188331.972357064,194461.830425944,200467.006479947,206342.644216682,212084.733766768,217690.048918176,223156.085936725,228481.004422019,233663.570518553,238703.102722211,243599.420421353,248352.795276074,252963.905467199,257433.792684063,261763.822541201,265955.646622467,270011.168276891,273932.510861036,277721.987199001,281382.073537182,284915.383876227,288324.647426933,291612.687633118,294782.403193605,297836.750832208,300778.729664457,303611.367098517,306337.706143532,308960.794007587,311483.671962039,313909.366218534,316240.879921262,318481.186055656,320633.221223657,322699.880217929,324684.011322656,326588.412280284,328415.826864735,330168.942006023,331850.385416004,333462.723668179,335008.460688136,336490.036614501,337909.826993392,339270.142272238,340573.227561583,341821.262636025,343016.362147787,344160.576028652,345255.890058024,346304.226576777,347307.445328339,348267.344410064,349185.661319483,350064.074081327,350904.202443418,351707.609127284,352475.80112637,353210.231041604,353912.298443955,354583.351257827,355224.687158348,355837.554976241,356423.156104846,356982.645904426,357517.135099435,358027.691164973,358515.339699059,358981.065777828,359425.815291105,359850.496256186,360255.980107945,360643.102963697,361012.666861503,361365.440970831,361702.162774705,362023.539222665,362330.247854043,362622.93789119,362902.231302462,363168.723834859,363422.986016356,363665.564128039,363896.98114625,364117.73765503,364328.3127292,364529.164788497,364720.732423207
6,0,2,1,0,0,527895.493723415,0,0.000216366336720198,0.00224123888438859,0.0104163664909968,0.0340312047353042,0.090196064027574,0.208120449389095,0.435895782049627,0.851348786463509,1.57938877844234,2.81964819730661,4.89040493731982,8.29812142203562,13.8469744821636,22.8100247982013,37.1934471646751,60.1283073139413,96.2371968095234,151.704183809602,234.365210046376,353.937297787594,522.318921311707,753.896645625825,1065.79186992531,1477.97733336371,2013.19631986155,2696.63545406535,3555.33227397348,4617.34048594451,5910.71543003988,7462.41101555603,9297.19032322646,11436.6446610125,13898.3942704949,16695.5152687168,19836.2084770945,23323.7012270798,27156.3555951331,31327.9460567893,35828.0654066208,40642.6183901513,45754.3662418882,51143.4908146243,56788.1531455115,62665.0273793575,68749.7965335773,75017.6013596358,81443.4375399545,88002.4993748081,94670.4708573469,101423.766175419,108239.72323924,115096.75437603,121974.458635617,128853.700354622,135716.658438874,142546.850702805,149329.137204578,156049.706263638,162696.046386893,169256.907041206,175722.250758991,182083.198823334,188331.972357064,194461.830425944,200467.006479947,206342.644216682,212084.733766768,217690.048918176,223156.085936725,228481.004422019,233663.570518553,238703.102722211,243599.420421353,248352.795276074,252963.905467199,257433.792684063,261763.822541201,265955.646622467,270011.168276891,273932.510861036,277721.987199001,281382.073537182,284915.383876227,288324.647426933,291612.687633118,294782.403193605,297836.750832208,300778.729664457,303611.367098517,306337.706143532,308960.794007587,311483.671962039,313909.366218534,316240.879921262,318481.186055656,320633.221223657,322699.880217929,324684.011322656,326588.412280284,328415.826864735,330168.942006023,331850.385416004,333462.723668179,335008.460688136,336490.036614501,337909.826993392,339270.142272238,340573.227561583,341821.262636025,343016.362147787,344160.576028652,345255.890058024,346304.226576777,347307.445328339,348267.344410064,349185.661319483,350064.074081327,350904.202443418,351707.609127284,352475.80112637,353210.231041604,353912.298443955,354583.351257827,355224.687158348,355837.554976241,356423.156104846,356982.645904426,357517.135099435,358027.691164973,358515.339699059,358981.065777828,359425.815291105,359850.496256186,360255.980107945,360643.102963697,361012.666861503,361365.440970831,361702.162774705,362023.539222665,362330.247854043,362622.93789119,362902.231302462,363168.723834859,363422.986016356,363665.564128039,363896.98114625,364117.73765503,364328.3127292,364529.164788497,364720.732423207
7,0,2,0,1,0,171228.02725029,0,0.000196306369757534,0.00165926675414312,0.00628834414070398,0.0174211763624286,0.0408007079096245,0.0859902866564226,0.168594085705265,0.313791251575316,0.561969538739682,0.977689741758399,1.66392116277366,2.78457212056667,4.59997154557303,7.52231385468363,12.2012444780853,19.6507559250809,31.3679398888664,49.3556450472891,76.1517568102737,114.903436265331,169.464408523316,244.494280781839,345.538460611891,479.065891115206,652.442881688089,873.827128735894,1151.97583248569,1495.97532890293,1914.91248906197,2417.5174443674,3011.81073831263,3704.78560555839,4502.14908630253,5408.13641664528,6425.40376439309,7554.99642431795,8796.38387435335,10147.549705393,11605.1230954783,13164.5386932528,14820.2129895472,16565.7270344483,18394.0073524961,20297.4988762845,22268.3255208721,24298.4355665099,26379.730307623,28504.1753703103,30663.8949892608,32851.249904397,35058.9000429512,37279.8533282464,39507.5020545689,41735.6483334487,43958.5200558034,46170.7787752281,48367.5207881671,50544.2726050553,52696.9818573751,54822.0045921225,56916.0897591328,58976.3616188666,61000.3006615726,62985.723559351,64930.7625799352,66833.8448133178,68693.671502653,70509.1977116777,72279.612509114,74004.319812341,75682.919993888,77315.1923285568,78901.0783262605,80440.6659841242,81934.1749680735,83381.9426814965,84784.4114445071,86142.1162003144,87455.6734367602,88725.770900256,89953.1577041098,91138.6358926688,92283.0521276351,93387.2903862025,94452.2651667251,95478.9153418843,96468.1985780196,97421.0862716317,98338.5589828011,99221.6023244598,100071.203269361,100888.346867217,101674.013289838,102429.175237486,103154.795642066,103851.825650979,104521.20286976,105163.849840045,105780.672733234,106372.560240584,106940.382641899,107484.991036536,108007.216721465,108507.870702344,108987.743324596,109447.604012496,109888.201105231,110310.261779756,110714.492051097,111101.576841533,111472.180110782,111826.945039994,112166.494262969,112491.430138577,112802.335058902,113099.771788126,113384.283827558,113656.395802981,113916.613869721,114165.426133127,114403.303081155,114630.698025695,114848.047550643,115055.771964471,115254.275755265,115443.948046442,115625.163051605,115798.280527101,115963.646221092,116121.592318024,116272.437877564,116416.489267192,116554.040587716,116685.374091137,116810.760590329,116930.459860116,117044.721029401,117153.782964053,117257.874640344,117357.215508775,117452.01584816,117542.477109922,117628.792252561,117711.1460663,117789.715487951,117864.669906077,117936.171456519,118004.375308424,118069.429940895,118131.477410405
8,0,2,1,1,0,171228.02725029,0,0.000196306369757534,0.00165926675414312,0.00628834414070398,0.0174211763624286,0.0408007079096245,0.0859902866564226,0.168594085705265,0.313791251575316,0.561969538739682,0.977689741758399,1.66392116277366,2.78457212056667,4.59997154557303,7.52231385468363,12.2012444780853,19.6507559250809,31.3679398888664,49.3556450472891,76.1517568102737,114.903436265331,169.464408523316,244.494280781839,345.538460611891,479.065891115206,652.442881688089,873.827128735894,1151.97583248569,1495.97532890293,1914.91248906197,2417.5174443674,3011.81073831263,3704.78560555839,4502.14908630253,5408.13641664528,6425.40376439309,7554.99642431795,8796.38387435335,10147.549705393,11605.1230954783,13164.5386932528,14820.2129895472,16565.7270344483,18394.0073524961,20297.4988762845,22268.3255208721,24298.4355665099,26379.730307623,28504.1753703103,30663.8949892608,32851.249904397,35058.9000429512,37279.8533282464,39507.5020545689,41735.6483334487,43958.5200558034,46170.7787752281,48367.5207881671,50544.2726050553,52696.9818573751,54822.0045921225,56916.0897591328,58976.3616188666,61000.3006615726,62985.723559351,64930.7625799352,66833.8448133178,68693.671502653,70509.1977116777,72279.612509114,74004.319812341,75682.919993888,77315.1923285568,78901.0783262605,80440.6659841242,81934.1749680735,83381.9426814965,84784.4114445071,86142.1162003144,87455.6734367602,88725.770900256,89953.1577041098,91138.6358926688,92283.0521276351,93387.2903862025,94452.2651667251,95478.9153418843,96468.1985780196,97421.0862716317,98338.5589828011,99221.6023244598,100071.203269361,100888.346867217,101674.013289838,102429.175237486,103154.795642066,103851.825650979,104521.20286976,105163.849840045,105780.672733234,106372.560240584,106940.382641899,107484.991036536,108007.216721465,108507.870702344,108987.743324596,109447.604012496,109888.201105231,110310.261779756,110714.492051097,111101.576841533,111472.180110782,111826.945039994,112166.494262969,112491.430138577,112802.335058902,113099.771788126,113384.283827558,113656.395802981,113916.613869721,114165.426133127,114403.303081155,114630.698025695,114848.047550643,115055.771964471,115254.275755265,115443.948046442,115625.163051605,115798.280527101,115963.646221092,116121.592318024,116272.437877564,116416.489267192,116554.040587716,116685.374091137,116810.760590329,116930.459860116,117044.721029401,117153.782964053,117257.874640344,117357.215508775,117452.01584816,117542.477109922,117628.792252561,117711.1460663,117789.715487951,117864.669906077,117936.171456519,118004.375308424,118069.429940895,118131.477410405
9,11,2,0,0,1,292.1211864,0,0.000187905634685927,0.00140650803106674,0.00447625934513795,0.0100726540587257,0.0187832699483544,0.0311402468738428,0.0476389546709212,0.0687500001173928,0.0949296397192395,0.126632697847194,0.164332059108426,0.208549686899161,0.259906001142704,0.319197520820159,0.387517034984239,0.466431893864936,0.558146790065362,0.665524182833673,0.792119471156002,0.942289139421931,1.12134007474449,1.33569034234581,1.59301158224964,1.90232092263089,2.27399042342497,2.71964811390229,3.25195628401652,3.88427014825984,4.63019811309003,5.5030998162267,6.5155663150265,7.67892715125285,9.0028224132948,10.4948669218676,12.1604211261145,14.0024715220484,16.0216139602593,18.2161266599065,20.5821160737214,23.1137174797421,25.803332703245,28.6418890785873,31.6191061222684,34.7237589906743,37.9439303710783,41.26724480923,44.6810815497728,48.1727635858477,51.7297221620076,55.3396367775948,58.990551693389,62.6709704051623,66.3699298747805,70.0770565317466,73.782606092062,77.4774892656645,81.1532852999383,84.8022452328526,88.4172865391913,91.9919807369709,95.5205353106336,98.9977712005305,102.419096896705,105.780480068898,109.078417517353,112.309904100592,115.472401198014,118.563805164356,121.582416142762,124.526907536609,127.396296369886,130.189914720379,132.907382346738,135.548580610374,138.113627747023,140.602855472561,143.016787199791,145.356117236569,147.621691714663,149.814490877565,151.935611945093,153.986254391346,155.967705389098,157.881326935058,159.728543816204,161.510832660256,163.229711940199,164.886732855558,166.483471060544,168.021519173607,169.50248000652,170.927960503472,172.299566251618,173.61889662163,174.887540430134,176.107072097067,177.279048261244,178.405004814707,179.486454322396,180.524883794333,181.521752779756,182.478491755137,183.39650077973,184.277148394202,185.121770739708,185.93167087639,186.708118281892,187.45234851195,188.165563006494,188.84892902604,189.503579704316,190.130614204254,190.731097965498,191.306063032601,191.85650845397,192.3834007425,192.88767438957,193.370232425351,193.831947016902,194.273660099945,194.696184038147,195.100302303573,195.486770174607,195.856315447139,196.209639155133,196.547416297226,196.870296566346,197.178905079645,197.473843106356,197.755688791456,198.024997873255,198.282304393269,198.528121396939,198.762941623958,198.987238187108,199.20146523872,199.406058623953,199.60143652027,199.788000062562,199.966133953515,200.136207058875,200.298572987384,200.45357065521,200.601524834776,200.742746687966,200.877534283709,201.006173100018,201.128936510602,201.246086256186,201.357872900733
10,11,2,0,1,1,67.8788136,0,0.000187008218879303,0.00138663178786074,0.00434902050217829,0.00960332612827603,0.0175124348616166,0.0283139484567265,0.0421513754438372,0.0590983983542888,0.0791783819161723,0.102380886084117,0.128676776930234,0.158033610928215,0.190433284469313,0.225894551122001,0.264503923324475,0.306458719831355,0.352105838856441,0.4019478193439,0.45665173615067,0.517074187674549,0.584295277770878,0.659654958318693,0.744785055936135,0.841629783538057,0.952447555828681,1.07978828517777,1.22644294438489,1.3953661169681,1.58957633761495,1.81204239210312,2.06556559540258,2.35266814369398,2.67549614417539,3.03574344493392,3.43459955749436,3.87272230757856,4.35023371832077,4.86673615213493,5.42134490864983,6.01273318959251,6.63918546036248,7.29865562281296,7.98882694641653,8.70717129195417,9.45100574274993,10.217545289679,11.0039506837976,11.8073709359839,12.624980292075,13.4540096933014,14.2917729473397,15.1356879393451,15.9832932861464,16.8322608869443,17.6804048315823,18.5256871329879,19.3662207225188,20.2002701302921,21.0262502297485,21.8427233994713,22.6483954078436,23.4421103019883,24.2228445347694,24.9897005397212,25.7418999305587,26.4787764729908,27.1997689543917,27.9044140541691,28.5923392973285,29.2632561587107,29.9169533695478,30.5532904677045,31.172191618756,31.7736397305103,32.3576708732047,32.9243690008412,33.4738610415274,34.0063122007449,34.5219216650217,35.0209186083327,35.5035583299752,35.9701189373811,36.4208980669055,36.8562099841607,37.2763828743824,37.6817563776154,38.0726793393265,38.4495077589602,38.8126029296675,39.1623297543978,39.4990552243709,39.8231470577563,40.1349724672671,40.4348970698745,40.7232839142181,41.0004926196192,41.2668786184009,41.5227924926068,41.7685793975597,42.0045785648501,42.2311228778507,42.4485385134207,42.6571446438458,42.8572531934994,43.0491686451085,43.2331878908844,43.4096001241352,43.5786867673114,43.7407214327504,43.8959699126804,44.0446901953187,44.1871325041571,44.3235393577664,44.454145647675,44.5791787320844,44.6988585433768,44.8133977075378,44.9230016739105,45.0278688533564,45.1281907638999,45.224152182464,45.3159313012756,45.4036998881043,45.4876234493903,45.5678613953875,45.6445672065701,45.7178886006236,45.7879676994159,45.8549411954101,45.9189405170439,45.9800919926557,46.0385170125882,46.0943321891494,46.1476495141507,46.1985765137836,46.2472164006298,46.2936682226322,46.3380270088845,46.3803839121211,46.4208263478152,46.4594381298132,46.4962996024519,46.5314877691255,46.5650764172798,46.5971362398311,46.6277349530123,46.6569374106678,46.6848057150204,46.7113993239478,46.7367751548105
