"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,818018.788836059,817971.133769084,817909.003645849,817811.995631309,817654.456315604,817398.167826062,816983.241802776,816314.724141595,815241.914784398,813526.240110284,810791.856439945,806451.321191142,799597.980533844,788860.620647123,772232.594261449,746932.555991315,744597.429906121,741672.146378675,738325.495428498,734660.241366798,730737.230942346,726592.183091432,722247.382899998,717719.646382944,713025.404634808,708183.470307443,703215.989277496,698148.081451818,693006.689500242,687819.112240664,682611.594623295,677408.207202499,672230.11429009,667095.224841025,662018.161199805,657010.455345717,652080.884084055,647235.86917339,642479.888193761,637815.860977203,633245.491812441,628769.559173359,624388.152248019,620100.858319315,615906.90726421,611805.280336615,607794.790172885,603874.138310884,600041.955595364,596296.829854981,592637.32435605,589061.989735136,585569.371443057,582158.014207402,578826.464594726,575573.272429118,572396.991585611,569296.180497099,566269.402585322,563315.226737807,560432.227892165,557618.9877466,554874.095593894,552196.149258973,549583.756114776,547035.534147608,544550.113044846,542126.135279778,539762.257172069,537457.149906154,535209.500493265,533018.012666894,530881.407704253,528798.42516911,526767.823573746,524788.380959631,521901.584141002,519076.189098407,516302.429754253,513573.88073929,510886.369461211,508237.232908719,505624.810676187,503048.099210435,500506.517224744,497999.746937541,495527.627431597,493090.083770311,490687.080474245,488318.591642788,485984.582292372,483684.997323043,481419.75553024,479188.746936593,476991.832213699,474828.843667719,472699.586599474,470603.841449825,468541.366132963,466511.898137017,464515.156859169,462550.845681258,460618.653889802,458718.258554476,456849.326130424,455011.513950123,453204.471602721,451427.842107582,449681.263014024,447964.367381439,446276.784626339,444618.141315561,442988.061858463,441386.169118736,439812.084983379,438265.430853986,436745.828095777,435252.898441846,433786.264347224,432345.549327636,430930.378241455,429540.377550218,428175.175569409,426834.402682463,425517.691525056,424224.677184985,422954.997344682,421708.292425833,420484.205728138,419282.383546565,418102.475279273,416944.133525263,415807.014172518,414690.776477415,413595.083136211,412519.60034809,411463.997874187,410427.949086225,409411.131010475,408413.224368872,407433.913611994,406472.88694789,405529.836366427,404604.457659328,403696.450436142,402805.518136585,401931.368038711,401073.71126518,400232.262784292,399406.741409171,398596.86979437
2,0,1,1,0,818021.22396571,818018.788836059,817971.133769084,817909.003645849,817811.995631309,817654.456315604,817398.167826062,816983.241802776,816314.724141595,815241.914784398,813526.240110284,810791.856439945,806451.321191142,799597.980533844,788860.620647123,772232.594261449,746932.555991315,744597.429906121,741672.146378675,738325.495428498,734660.241366798,730737.230942346,726592.183091432,722247.382899998,717719.646382944,713025.404634808,708183.470307443,703215.989277496,698148.081451818,693006.689500242,687819.112240664,682611.594623295,677408.207202499,672230.11429009,667095.224841025,662018.161199805,657010.455345717,652080.884084055,647235.86917339,642479.888193761,637815.860977203,633245.491812441,628769.559173359,624388.152248019,620100.858319315,615906.90726421,611805.280336615,607794.790172885,603874.138310884,600041.955595364,596296.829854981,592637.32435605,589061.989735136,585569.371443057,582158.014207402,578826.464594726,575573.272429118,572396.991585611,569296.180497099,566269.402585322,563315.226737807,560432.227892165,557618.9877466,554874.095593894,552196.149258973,549583.756114776,547035.534147608,544550.113044846,542126.135279778,539762.257172069,537457.149906154,535209.500493265,533018.012666894,530881.407704253,528798.42516911,526767.823573746,524788.380959631,521901.584141002,519076.189098407,516302.429754253,513573.88073929,510886.369461211,508237.232908719,505624.810676187,503048.099210435,500506.517224744,497999.746937541,495527.627431597,493090.083770311,490687.080474245,488318.591642788,485984.582292372,483684.997323043,481419.75553024,479188.746936593,476991.832213699,474828.843667719,472699.586599474,470603.841449825,468541.366132963,466511.898137017,464515.156859169,462550.845681258,460618.653889802,458718.258554476,456849.326130424,455011.513950123,453204.471602721,451427.842107582,449681.263014024,447964.367381439,446276.784626339,444618.141315561,442988.061858463,441386.169118736,439812.084983379,438265.430853986,436745.828095777,435252.898441846,433786.264347224,432345.549327636,430930.378241455,429540.377550218,428175.175569409,426834.402682464,425517.691525056,424224.677184985,422954.997344682,421708.292425833,420484.205728138,419282.383546565,418102.475279273,416944.133525263,415807.014172519,414690.776477415,413595.083136211,412519.60034809,411463.997874187,410427.949086225,409411.131010475,408413.224368872,407433.913611994,406472.88694789,405529.836366427,404604.457659328,403696.450436142,402805.518136585,401931.368038711,401073.71126518,400232.262784292,399406.741409171,398596.86979437
3,0,1,0,1,2335.27250675705,2332.83737710576,2332.70147372192,2332.524290171,2332.2476413638,2331.79836854873,2331.06748146413,2329.88418965095,2327.97770167226,2324.91824900304,2320.02546406784,2312.22751062646,2299.84911173973,2280.30465938536,2249.68370688766,2202.26366961053,2130.11266803909,2123.45332294074,2115.1109586276,2105.56693282863,2095.11431023803,2083.92661446156,2072.10570925929,2059.71514754975,2046.80288547849,2033.41578146979,2019.60748570626,2005.44115410743,1990.98842397358,1976.32613078584,1961.53212569339,1946.68125441081,1931.84216168035,1917.07520418127,1902.43145492078,1887.95261410462,1873.67156879197,1859.61334879842,1845.79626778453,1832.23309497542,1818.93215718877,1805.89831473889,1793.13378768846,1780.63883038523,1768.41226583682,1756.45189779561,1744.75482098732,1733.31764927177,1722.13667967655,1711.20800762565,1700.52760586916,1690.09137710995,1679.89518803317,1669.93489053521,1660.20633444994,1650.70537485562,1641.42787612036,1632.36971416486,1623.52677790796,1614.89497049577,1606.47021066179,1598.24843439325,1590.22559695735,1582.39767527957,1574.76067061752,1567.31061145794,1560.04355655492,1552.95559803184,1546.04286447511,1539.30152395843,1532.72778694707,1526.31790904135,1520.06819353041,1513.97499373478,1508.03471512485,1502.24381720867,1496.59881518785,1488.36620780704,1480.30870686647,1472.39846133,1464.6171472401,1456.95286513991,1449.39802061671,1441.94787850262,1434.59957685067,1427.35145793933,1420.20261551466,1413.15259067068,1406.20116970214,1399.34825142828,1392.59376198539,1385.93760160684,1379.3796131578,1372.91956505798,1366.5571436724,1360.29195166235,1354.12351079623,1348.05126582819,1342.07459061643,1336.19279477727,1330.40512967569,1324.71079508467,1319.10894510441,1313.59869363786,1308.17911974784,1302.84927222647,1297.60817384973,1292.45482531109,1287.38820856818,1282.40728997911,1277.51102309753,1272.6983510883,1267.96820898952,1263.31952568656,1258.75122565684,1254.26223059244,1249.85146080115,1245.51783648704,1241.26027890326,1237.07771136182,1232.96906019963,1228.93325558255,1224.96923224839,1221.07593022209,1217.25229542597,1213.49728020532,1209.80984389846,1206.18895324309,1202.63358278876,1199.14271529259,1195.71534205365,1192.35046322072,1189.04708807079,1185.80423526042,1182.62093305219,1179.4962195186,1176.42914272183,1173.41876088208,1170.46414251628,1167.56436656346,1164.71852250197,1161.92571044359,1159.18504121567,1156.49563643065,1153.8566285431,1151.26716089537,1148.72638775269,1146.23347432656,1143.78759679253,1141.38794229326,1139.03370893607,1136.72410578337
4,0,1,1,1,2335.27250675705,2332.83737710576,2332.70147372192,2332.524290171,2332.2476413638,2331.79836854873,2331.06748146413,2329.88418965095,2327.97770167226,2324.91824900304,2320.02546406784,2312.22751062646,2299.84911173973,2280.30465938536,2249.68370688766,2202.26366961053,2130.11266803909,2123.45332294074,2115.1109586276,2105.56693282863,2095.11431023803,2083.92661446156,2072.10570925929,2059.71514754975,2046.80288547849,2033.41578146979,2019.60748570626,2005.44115410743,1990.98842397358,1976.32613078584,1961.53212569339,1946.68125441081,1931.84216168035,1917.07520418127,1902.43145492078,1887.95261410462,1873.67156879197,1859.61334879842,1845.79626778453,1832.23309497542,1818.93215718877,1805.89831473889,1793.13378768846,1780.63883038523,1768.41226583682,1756.45189779561,1744.75482098732,1733.31764927177,1722.13667967655,1711.20800762565,1700.52760586916,1690.09137710995,1679.89518803317,1669.93489053521,1660.20633444994,1650.70537485562,1641.42787612036,1632.36971416486,1623.52677790796,1614.89497049577,1606.47021066179,1598.24843439325,1590.22559695735,1582.39767527957,1574.76067061752,1567.31061145794,1560.04355655492,1552.95559803184,1546.04286447511,1539.30152395843,1532.72778694707,1526.31790904135,1520.06819353041,1513.97499373478,1508.03471512485,1502.24381720867,1496.59881518785,1488.36620780704,1480.30870686647,1472.39846133,1464.6171472401,1456.95286513991,1449.39802061671,1441.94787850262,1434.59957685067,1427.35145793933,1420.20261551466,1413.15259067068,1406.20116970214,1399.34825142828,1392.59376198539,1385.93760160684,1379.3796131578,1372.91956505798,1366.5571436724,1360.29195166235,1354.12351079623,1348.05126582819,1342.07459061643,1336.19279477727,1330.40512967569,1324.71079508467,1319.10894510441,1313.59869363786,1308.17911974784,1302.84927222647,1297.60817384973,1292.45482531109,1287.38820856818,1282.40728997911,1277.51102309753,1272.6983510883,1267.96820898952,1263.31952568656,1258.75122565684,1254.26223059244,1249.85146080115,1245.51783648704,1241.26027890326,1237.07771136182,1232.96906019963,1228.93325558255,1224.96923224839,1221.07593022209,1217.25229542597,1213.49728020532,1209.80984389846,1206.18895324309,1202.63358278876,1199.14271529259,1195.71534205365,1192.35046322072,1189.04708807079,1185.80423526042,1182.62093305219,1179.4962195186,1176.42914272183,1173.41876088208,1170.46414251628,1167.56436656346,1164.71852250197,1161.92571044359,1159.18504121567,1156.49563643065,1153.8566285431,1151.26716089537,1148.72638775269,1146.23347432656,1143.78759679253,1141.38794229326,1139.03370893607,1136.72410578337
5,0,2,0,0,527895.493723415,527893.058593764,527861.823256316,527822.825498634,527764.392496809,527672.124874012,527524.792322677,527289.278655037,526913.182136479,526313.406424946,525358.427521814,523840.980241747,521436.816966531,517644.622290504,511703.864214589,502495.548035797,488453.638314194,487009.671234427,485201.796563002,483134.41135476,480870.606507266,478447.380271826,475886.192850957,473200.292800232,470399.690942648,467494.32280658,464495.7562779,461417.761267928,458276.058087301,455087.570584152,451869.483884871,448638.340874493,445409.324109688,442195.785625532,439009.020735404,435858.244652168,432750.714568922,429691.940914698,426685.940657221,423735.498059194,420842.41035501,418007.705600914,415231.827310002,412514.785299211,409856.275245686,407255.770887572,404712.593400609,402225.962355931,399795.032264744,397418.918139488,395096.712876928,392827.498710271,390610.35446631,388444.359936265,386328.598332807,384262.157532554,382244.130594732,380273.615893061,378349.717081701,376471.543033024,374638.20782718,372848.830833924,371102.536899184,369398.456634462,367735.726795785,366113.490735081,364530.898904406,362987.109394346,361481.288489072,360012.611222851,358580.261925289,357183.434744731,355821.334141994,354493.1753484,353198.184783961,351935.60043318,350704.672177195,349478.883065904,348279.230178485,347101.947039218,345944.50794446,344805.219955264,343682.947393733,342576.92591422,341486.636894519,340411.722876536,339351.930636533,338307.073031306,337277.003579345,336261.599630216,335260.751361373,334274.354676718,333302.30675371,332344.503344285,331400.837238706,330471.197473038,329555.469107001,328653.533159526,327765.266853702,326890.543963619,326029.235110234,325181.20818058,324346.328687275,323524.460102121,322715.464212422,321919.201401801,321135.530918279,320364.311131498,319605.399731622,318858.653925743,318123.930611317,317401.086513361,316689.978322488,315990.462809018,315302.396918343,314625.637866584,313960.043215581,313305.470943178,312661.779506793,312028.827896896,311406.475690009,310794.583091918,310193.010978279,309601.620934434,309020.275289811,308448.837148336,307887.170422358,307335.139857949,306792.611061392,306259.45052554,305735.525653414,305220.704781007,304714.85719906,304217.853173928,303729.563967553,303249.861856637,302778.620150755,302315.713210547,301861.016463918,301414.406421946,300975.76069481,300544.958006167,300121.878206972,299706.402288576,299298.41239508,298897.791834908,298504.425091791,298118.197834303,297738.996926339,297366.710434768,297001.22763721,296642.439029407
6,0,2,1,0,527895.493723415,527893.058593764,527861.823256316,527822.825498634,527764.392496809,527672.124874012,527524.792322677,527289.278655037,526913.182136479,526313.406424946,525358.427521814,523840.980241747,521436.816966531,517644.622290504,511703.864214589,502495.548035797,488453.638314194,487009.671234427,485201.796563002,483134.41135476,480870.606507266,478447.380271826,475886.192850957,473200.292800232,470399.690942648,467494.32280658,464495.7562779,461417.761267928,458276.058087301,455087.570584152,451869.483884871,448638.340874493,445409.324109688,442195.785625532,439009.020735404,435858.244652168,432750.714568922,429691.940914698,426685.940657221,423735.498059194,420842.41035501,418007.705600914,415231.827310002,412514.785299211,409856.275245686,407255.770887572,404712.593400609,402225.962355931,399795.032264744,397418.918139488,395096.712876928,392827.498710271,390610.35446631,388444.359936265,386328.598332807,384262.157532554,382244.130594732,380273.615893061,378349.717081701,376471.543033024,374638.20782718,372848.830833924,371102.536899184,369398.456634462,367735.726795785,366113.490735081,364530.898904406,362987.109394346,361481.288489072,360012.611222851,358580.261925289,357183.434744731,355821.334141994,354493.1753484,353198.184783961,351935.60043318,350704.672177195,349478.883065904,348279.230178485,347101.947039218,345944.50794446,344805.219955264,343682.947393733,342576.92591422,341486.636894519,340411.722876536,339351.930636533,338307.073031306,337277.003579345,336261.599630216,335260.751361373,334274.354676718,333302.30675371,332344.503344285,331400.837238706,330471.197473038,329555.469107001,328653.533159526,327765.266853702,326890.54396362,326029.235110234,325181.20818058,324346.328687275,323524.460102121,322715.464212422,321919.201401801,321135.530918279,320364.311131498,319605.399731622,318858.653925743,318123.930611317,317401.086513361,316689.978322488,315990.462809018,315302.396918343,314625.637866584,313960.043215581,313305.470943178,312661.779506793,312028.827896896,311406.475690009,310794.583091918,310193.010978279,309601.620934435,309020.275289811,308448.837148336,307887.170422358,307335.139857949,306792.611061392,306259.45052554,305735.525653414,305220.704781007,304714.85719906,304217.853173928,303729.563967553,303249.861856637,302778.620150755,302315.713210547,301861.016463919,301414.406421946,300975.76069481,300544.958006167,300121.878206972,299706.402288576,299298.41239508,298897.791834909,298504.425091791,298118.197834303,297738.996926339,297366.710434768,297001.22763721,296642.439029407
7,0,2,0,1,171228.02725029,171225.592120639,171215.460733112,171202.811553431,171183.858424243,171153.930812789,171106.142528911,171029.752118888,170907.762734796,170713.221530521,170403.467830431,169911.273805881,169131.467605265,167901.444273325,165974.520244614,162987.742213572,158433.156265821,157964.796028439,157378.399965722,156707.829950337,155973.549930649,155187.560533268,154356.822516295,153485.63313603,152577.23946888,151634.864168944,150662.25935623,149663.891392214,148644.859263238,147610.652330966,146566.844704384,145518.802177263,144471.449311904,143429.116928868,142395.468737481,141373.493752758,140365.545893102,139373.412502482,138398.396510849,137441.401012156,136503.008951224,135583.553784868,134683.179369485,133801.888889262,132939.583635077,132096.092910428,131271.196534194,130464.641369129,129676.153175372,128905.444901376,128152.22232223,127416.187754226,126697.042408764,125994.487810064,125308.226592113,124637.962901683,123983.402566557,123344.25313831,122720.223881261,122111.025752293,121516.371397465,120935.975178554,120369.55323357,119816.823570624,119277.506190845,118751.323234787,118237.999145975,117737.260845544,117248.83791227,116772.462763082,116307.870829913,115854.800729468,115412.994423371,114982.197366731,114562.158643779,114152.631089769,113753.371398705,113355.778623087,112966.663303907,112584.803759946,112209.380762585,111839.84519592,111475.828695341,111117.083340302,110763.440912273,110414.785467365,110071.03487079,109732.128421417,109398.018607003,109068.66564507,108744.033913954,108424.089649398,108108.799500235,107798.129652916,107492.045333258,107190.510549376,106893.488019635,106600.93915174,106312.824122191,106029.101988782,105749.730786568,105474.667663839,105203.868998724,104937.290507403,104674.887359679,104416.614270058,104162.42558471,103912.275364894,103666.117451477,103423.905528638,103185.593180124,102951.133933752,102720.481306175,102493.588839904,102270.410134235,102050.898876275,101835.008865268,101622.694035392,101413.908476378,101208.606450856,101006.742411545,100808.271015271,100613.147136137,100421.325878435,100232.762587808,100047.412861113,99865.2325574242,99686.1778062378,99510.2050160661,99337.2708829865,99167.3323982951,99000.3468559036,98836.2718594026,98675.0653288296,98516.6855071466,98361.0909664611,98208.2406138981,98058.0936975036,97910.609811498,97765.7489014351,97623.4712693704,97483.7375785231,97346.5088577584,97211.7465058366,97079.4122954205,96949.4683768288,96821.8772815979,96696.6019255765,96573.6056123235,96452.8520355905,96334.3052818437,96217.9298326553
8,0,2,1,1,171228.02725029,171225.592120639,171215.460733112,171202.811553431,171183.858424243,171153.930812789,171106.142528911,171029.752118888,170907.762734796,170713.221530521,170403.467830431,169911.273805881,169131.467605265,167901.444273325,165974.520244614,162987.742213572,158433.156265821,157964.796028439,157378.399965722,156707.829950337,155973.549930649,155187.560533268,154356.822516295,153485.63313603,152577.23946888,151634.864168944,150662.25935623,149663.891392214,148644.859263238,147610.652330966,146566.844704384,145518.802177263,144471.449311904,143429.116928868,142395.468737481,141373.493752758,140365.545893102,139373.412502482,138398.396510849,137441.401012156,136503.008951224,135583.553784868,134683.179369485,133801.888889262,132939.583635077,132096.092910428,131271.196534194,130464.641369129,129676.153175372,128905.444901376,128152.22232223,127416.187754226,126697.042408764,125994.487810064,125308.226592113,124637.962901683,123983.402566557,123344.25313831,122720.223881261,122111.025752293,121516.371397465,120935.975178554,120369.55323357,119816.823570624,119277.506190845,118751.323234787,118237.999145975,117737.260845544,117248.83791227,116772.462763082,116307.870829913,115854.800729468,115412.994423371,114982.197366731,114562.158643779,114152.631089769,113753.371398705,113355.778623087,112966.663303907,112584.803759946,112209.380762585,111839.84519592,111475.828695341,111117.083340302,110763.440912273,110414.785467365,110071.03487079,109732.128421417,109398.018607003,109068.66564507,108744.033913954,108424.089649398,108108.799500235,107798.129652916,107492.045333257,107190.510549376,106893.488019635,106600.93915174,106312.824122191,106029.101988782,105749.730786568,105474.667663839,105203.868998724,104937.290507403,104674.887359679,104416.614270058,104162.42558471,103912.275364894,103666.117451477,103423.905528638,103185.593180124,102951.133933752,102720.481306175,102493.588839904,102270.410134235,102050.898876275,101835.008865268,101622.694035392,101413.908476378,101208.606450856,101006.742411545,100808.271015271,100613.147136137,100421.325878435,100232.762587808,100047.412861113,99865.2325574242,99686.1778062378,99510.205016066,99337.2708829865,99167.3323982951,99000.3468559036,98836.2718594026,98675.0653288296,98516.6855071466,98361.0909664611,98208.2406138981,98058.0936975036,97910.609811498,97765.7489014351,97623.4712693704,97483.7375785231,97346.5088577584,97211.7465058366,97079.4122954205,96949.4683768288,96821.8772815978,96696.6019255764,96573.6056123235,96452.8520355905,96334.3052818437,96217.9298326553
9,11,2,0,0,292.1211864,289.68605674871,288.867915013689,288.147556023429,287.487455526362,286.859129743687,286.237943465213,285.598593127609,284.91026861282,284.130504966198,283.196523792541,282.012485949549,280.430594914718,278.223674914558,275.047411323125,270.393625359849,263.545193846593,262.380976176908,260.98672493574,259.432853575231,257.762753192614,256.002566675952,254.167876753108,252.268281330816,250.310473317351,248.300218228673,246.243486717097,244.146949918118,242.01802187547,239.864623314293,237.694819660427,235.516450298334,233.336822719451,231.162504953278,228.999218381419,226.851815510566,224.724319410267,222.620001549194,220.54147844547,218.490812742949,216.469609352714,214.479101359487,212.520223420682,210.593672352981,208.699955843367,206.839430786128,205.012332980491,203.218799863497,201.458887789611,199.732585140866,198.039822307758,196.380479367372,194.75439209198,193.161356762137,191.60113413482,190.073452818004,188.578012228356,187.114485254423,185.68252070702,184.281745609748,182.911767362809,181.572175799875,180.262545148234,178.982435897707,177.731396579857,176.508965457769,175.314672125728,174.148039018259,173.008582828313,171.895815834895,170.809247141113,169.748383824185,168.712731999574,167.701797801827,166.715088285181,165.752112247278,164.81238097952,163.895064420807,162.998211138579,162.120162100093,161.25973743905,160.416073799482,159.588517189899,158.776552455511,157.979756785467,157.197769149642,156.43027016188,155.676968838864,154.937593904697,154.211888075585,153.499604315351,152.800503376572,152.114352196383,151.440922847654,150.779991854583,150.131339740959,149.494750758603,148.870012669499,148.25691663182,147.655257127021,147.064831878372,146.485441821625,145.916891066282,145.358986857155,144.811539557028,144.274362611337,143.747272517682,143.230088802506,142.72263398243,142.224733533274,141.736215858042,141.256912245629,140.786656836838,140.325286585793,139.872641217666,139.428563191665,138.992897658512,138.565492419421,138.146197885269,137.734867034983,137.331355373186,136.93552089018,136.547224021305,136.166327605186,135.792696843382,135.426199262886,135.06670467245,134.714085127234,134.368214891105,134.028970398049,133.69623021568,133.369875009226,133.049787506127,132.735852461325,132.427956623214,132.125988700164,131.829839328259,131.53940103806,131.254568224305,130.975237115391,130.701305742085,130.432673908262,130.169243161901,129.910916766582,129.657599673516,129.409198494183,129.165621473045,128.926778462554,128.692580894165,128.462941755016,128.237775563051,128.016998341464
10,11,2,0,1,67.8788136,65.4436839487101,65.2588555529878,65.0961174957363,64.9469925817196,64.8050459709654,64.6647122630266,64.5202750681672,64.3647739974373,64.1886156893125,63.9776177233458,63.7101288450416,63.3527599813596,62.8541892989748,62.1366318405713,61.0852836978136,59.5381378236625,59.2751265690735,58.9601478690416,58.6091089983571,58.2318125456755,57.8341645146308,57.4196852372985,56.9905430002085,56.5482498146011,56.0941081822551,55.6294669478042,55.1558332037466,54.674881874793,54.1884023512876,53.6982167132624,53.2060959751903,52.713690990293,52.2224855581416,51.7337722100151,51.2486471875409,50.7680193521776,50.2926277693953,49.8230635431883,49.3597926504624,48.9031776605963,48.4534971427689,48.0109622477172,47.575730394998,47.1479162774165,46.727600521832,46.3148363982235,45.9096549553281,45.5120689243208,45.1220756805579,44.7396594983867,44.364793285729,43.9974399414979,43.6375534429363,43.2850797420695,42.9399575280626,42.6021188954013,42.2714899455394,41.9479913404708,41.6315388201875,41.3220436915107,41.0194132927649,40.7235514365973,40.4343588321911,40.1517334872101,39.875571089541,39.6057653686812,39.3422084366488,39.0847911083687,38.8334032016011,38.5879338166312,38.3482715960708,38.1143049652587,37.8859223538452,37.6630123992507,37.4454641327513,37.2331671489955,37.0259339268546,36.8233236134371,36.6249614126082,36.430580777893,36.239986666438,36.0530313334302,35.8695983989935,35.6895923448971,35.5129316099447,35.33954404083,35.1693639008023,35.0023299052613,34.8383839305976,34.6774701682655,34.5195345692962,34.3645244818888,34.2123884144692,34.063075881074,33.9165372992966,33.7727239289393,33.6315878227942,33.4930818008944,33.3571594340443,33.2237750254137,33.0928836039129,32.9644409154417,32.8384034142049,32.7147282587962,32.5933733042192,32.4742970949989,32.3574588599132,32.2428185032595,32.130336597854,32.0199743778009,31.9116937291624,31.805457182283,31.7012279030709,31.5989696834487,31.4986469329911,31.4002246693206,31.3036685088377,31.2089446574987,31.1160199014141,31.0248615972809,30.9354376633416,30.8477165702032,30.7616673314049,30.677259494302,30.5944631315944,30.5132488314591,30.4335876895655,30.355451300557,30.2788117493336,30.2036416028088,30.1299139017729,30.0576021528961,29.9866803208858,29.9171228207957,29.8489045104615,29.7820006832145,29.7163870603716,29.6520397843902,29.5889354119741,29.5270509070052,29.4663636339325,29.4068513512196,29.3484922049056,29.2912647222871,29.2351478057354,29.1801207265331,29.1261631192277,29.0732549750828,29.0213766368108,28.9705087929515,28.9206324720999
