"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,818018.788836059,817971.133769084,817909.003645849,817811.995631309,817654.456315604,817398.167826062,816983.241802776,816314.724141595,815241.914784398,813526.240110284,810791.856439945,806451.321191142,799597.980533844,788860.620647123,772232.594261449,746932.555991315,744597.429906121,741672.146378675,738325.495428498,734660.241366798,730737.230942346,726592.183091432,722247.382899998,717719.646382944,713025.404634808,708183.470307443,703215.989277496,698148.081451818,693006.689500242,687819.112240664,682611.594623295,677408.207202499,672230.11429009,667095.224841025,662018.161199805,657010.455345717,652080.884084055,647235.86917339,642479.888193761,637815.860977203,633245.491812441,628769.559173359,624388.152248019,620100.858319315,615906.90726421,611805.280336615,607794.790172885,603874.138310884,600041.955595364,596296.829854981,592637.32435605,589061.989735136,585569.371443057,582158.014207402,578826.464594726,575573.272429118,572396.991585611,569296.180497099,566269.402585322,563315.226737807,560432.227892165,557618.9877466,554874.095593894,552196.149258973,549583.756114776,547035.534147608,544550.113044846,542126.135279778,539762.257172069,537457.149906154,535209.500493265,533018.012666894,530881.407704253,528798.42516911,526767.823573746,524788.380959631,519028.601651696,513328.949098006,507614.563046697,501839.190654244,495975.215017679,490007.229199994,483927.884789727,477735.206283,471430.859816652,465019.036989072,458505.738762844,451898.314365031,445205.160517954,438435.518599122,431599.327602078,424707.10600276,417769.845752974,410798.907902058,403805.915708173,396802.643721296,389800.904032248,382812.432027378,375848.774995091,368921.186927227,362040.531877268,355217.198520647,348461.027167987,341781.250102098,335186.445316756,328684.503332211,322282.606269566,315987.218057995,309804.084782686,303738.243376288,297794.037865657,291975.141657997,286284.584753181,280724.784747822,275297.580747617,270004.269212349,264845.641173498,259822.019977645,254933.299105953,250178.979597794,245558.206687318,241069.805326321,236712.31438406,232484.019290549,228382.983005369,224407.075207794,220553.999635418,216821.319600613,213206.481560013,209706.836898821,206319.661880964,203042.175853103,199871.557762353,196804.961066001,193839.527115987,190972.39710571,188200.722669376,185521.675224898,182932.454151015,180430.293887955,178012.470048488,175676.304623276,173419.170360829,171238.494398457,169131.76121637,167096.514982747,165130.361353123,163230.968783059,161396.069408637,159623.459545102,157910.999849843
2,0,1,1,0,818021.22396571,818018.788836059,817971.133769084,817909.003645849,817811.995631309,817654.456315604,817398.167826062,816983.241802776,816314.724141595,815241.914784398,813526.240110284,810791.856439945,806451.321191142,799597.980533844,788860.620647123,772232.594261449,746932.555991315,744597.429906121,741672.146378675,738325.495428498,734660.241366798,730737.230942346,726592.183091432,722247.382899998,717719.646382944,713025.404634808,708183.470307443,703215.989277496,698148.081451818,693006.689500242,687819.112240664,682611.594623295,677408.207202499,672230.11429009,667095.224841025,662018.161199805,657010.455345717,652080.884084055,647235.86917339,642479.888193761,637815.860977203,633245.491812441,628769.559173359,624388.152248019,620100.858319315,615906.90726421,611805.280336615,607794.790172885,603874.138310884,600041.955595364,596296.829854981,592637.32435605,589061.989735136,585569.371443057,582158.014207402,578826.464594726,575573.272429118,572396.991585611,569296.180497099,566269.402585322,563315.226737807,560432.227892165,557618.9877466,554874.095593894,552196.149258973,549583.756114776,547035.534147608,544550.113044846,542126.135279778,539762.257172069,537457.149906154,535209.500493265,533018.012666894,530881.407704253,528798.42516911,526767.823573746,524788.380959631,519028.601651696,513328.949098006,507614.563046697,501839.190654244,495975.215017679,490007.229199994,483927.884789727,477735.206283,471430.859816652,465019.036989072,458505.738762844,451898.314365031,445205.160517954,438435.518599122,431599.327602078,424707.10600276,417769.845752974,410798.907902058,403805.915708173,396802.643721296,389800.904032248,382812.432027378,375848.774995091,368921.186927227,362040.531877268,355217.198520647,348461.027167987,341781.250102098,335186.445316756,328684.503332211,322282.606269566,315987.218057995,309804.084782686,303738.243376288,297794.037865657,291975.141657997,286284.584753181,280724.784747822,275297.580747617,270004.269212349,264845.641173498,259822.019977645,254933.299105953,250178.979597794,245558.206687318,241069.805326321,236712.31438406,232484.019290549,228382.983005369,224407.075207794,220553.999635418,216821.319600613,213206.481560013,209706.836898821,206319.661880964,203042.175853103,199871.557762353,196804.961066001,193839.527115987,190972.39710571,188200.722669376,185521.675224898,182932.454151015,180430.293887955,178012.470048488,175676.304623276,173419.170360829,171238.494398457,169131.76121637,167096.514982747,165130.361353123,163230.968783059,161396.069408637,159623.459545102,157910.999849843
3,0,1,0,1,2335.27250675705,2332.83737710576,2332.70147372192,2332.524290171,2332.2476413638,2331.79836854873,2331.06748146413,2329.88418965095,2327.97770167226,2324.91824900304,2320.02546406784,2312.22751062646,2299.84911173973,2280.30465938536,2249.68370688766,2202.26366961053,2130.11266803909,2123.45332294074,2115.1109586276,2105.56693282863,2095.11431023803,2083.92661446156,2072.10570925929,2059.71514754975,2046.80288547849,2033.41578146979,2019.60748570626,2005.44115410743,1990.98842397358,1976.32613078584,1961.53212569339,1946.68125441081,1931.84216168035,1917.07520418127,1902.43145492078,1887.95261410462,1873.67156879197,1859.61334879842,1845.79626778453,1832.23309497542,1818.93215718877,1805.89831473889,1793.13378768846,1780.63883038523,1768.41226583682,1756.45189779561,1744.75482098732,1733.31764927177,1722.13667967655,1711.20800762565,1700.52760586916,1690.09137710995,1679.89518803317,1669.93489053521,1660.20633444994,1650.70537485562,1641.42787612036,1632.36971416486,1623.52677790796,1614.89497049577,1606.47021066179,1598.24843439325,1590.22559695735,1582.39767527957,1574.76067061752,1567.31061145794,1560.04355655492,1552.95559803184,1546.04286447511,1539.30152395843,1532.72778694707,1526.31790904135,1520.06819353041,1513.97499373478,1508.03471512485,1502.24381720867,1496.59881518785,1480.17299632304,1463.91864777356,1447.62228203033,1431.15199458988,1414.42902718362,1397.40944209396,1380.07228301874,1362.41191618848,1344.43309311542,1326.14776745824,1307.57305284563,1288.72990790571,1269.64227852815,1250.33651940208,1230.84097468772,1211.18564112128,1191.40186570405,1171.52204803478,1151.57933548301,1131.60730687439,1111.63964809406,1091.70982628029,1071.85077215101,1052.09457999691,1032.47223207706,1013.01335496077,993.746011382951,974.696530096327,955.889373943041,937.347045218658,919.090025996188,901.136750198892,883.503604592552,866.204953571866,849.253185493129,832.658776230176,816.430366778862,800.574851674875,785.097475705467,770.001936132704,755.29048883118,740.964055925181,727.022333642801,713.463899041175,700.28631448714,687.486228961862,675.059475592332,663.001164743983,651.305772337965,639.967223095952,628.978968504828,618.334059584878,608.025214105553,598.044878710282,588.385285810587,579.038505500548,569.996492662243,561.251129485516,552.794263638002,544.617742335218,536.713442567915,529.073297746288,521.689321019619,514.55362552602,507.658441820045,500.99613271735,494.559205785543,488.340323698964,482.332312663236,476.528169102956,470.921064793231,465.50435060315,460.271559006797,455.216405505292,450.332789091578
4,0,1,1,1,2335.27250675705,2332.83737710576,2332.70147372192,2332.524290171,2332.2476413638,2331.79836854873,2331.06748146413,2329.88418965095,2327.97770167226,2324.91824900304,2320.02546406784,2312.22751062646,2299.84911173973,2280.30465938536,2249.68370688766,2202.26366961053,2130.11266803909,2123.45332294074,2115.1109586276,2105.56693282863,2095.11431023803,2083.92661446156,2072.10570925929,2059.71514754975,2046.80288547849,2033.41578146979,2019.60748570626,2005.44115410743,1990.98842397358,1976.32613078584,1961.53212569339,1946.68125441081,1931.84216168035,1917.07520418127,1902.43145492078,1887.95261410462,1873.67156879197,1859.61334879842,1845.79626778453,1832.23309497542,1818.93215718877,1805.89831473889,1793.13378768846,1780.63883038523,1768.41226583682,1756.45189779561,1744.75482098732,1733.31764927177,1722.13667967655,1711.20800762565,1700.52760586916,1690.09137710995,1679.89518803317,1669.93489053521,1660.20633444994,1650.70537485562,1641.42787612036,1632.36971416486,1623.52677790796,1614.89497049577,1606.47021066179,1598.24843439325,1590.22559695735,1582.39767527957,1574.76067061752,1567.31061145794,1560.04355655492,1552.95559803184,1546.04286447511,1539.30152395843,1532.72778694707,1526.31790904135,1520.06819353041,1513.97499373478,1508.03471512485,1502.24381720867,1496.59881518785,1480.17299632304,1463.91864777356,1447.62228203033,1431.15199458988,1414.42902718362,1397.40944209396,1380.07228301874,1362.41191618848,1344.43309311542,1326.14776745824,1307.57305284563,1288.72990790571,1269.64227852815,1250.33651940208,1230.84097468772,1211.18564112128,1191.40186570405,1171.52204803478,1151.57933548301,1131.60730687439,1111.63964809406,1091.70982628029,1071.85077215101,1052.09457999691,1032.47223207706,1013.01335496077,993.746011382951,974.696530096327,955.889373943041,937.347045218658,919.090025996188,901.136750198892,883.503604592552,866.204953571866,849.253185493129,832.658776230176,816.430366778862,800.574851674875,785.097475705467,770.001936132704,755.29048883118,740.964055925181,727.022333642801,713.463899041175,700.28631448714,687.486228961862,675.059475592332,663.001164743983,651.305772337965,639.967223095952,628.978968504828,618.334059584878,608.025214105553,598.044878710282,588.385285810587,579.038505500548,569.996492662243,561.251129485516,552.794263638002,544.617742335218,536.713442567915,529.073297746288,521.689321019619,514.55362552602,507.658441820045,500.99613271735,494.559205785543,488.340323698964,482.332312663236,476.528169102956,470.921064793231,465.50435060315,460.271559006797,455.216405505292,450.332789091578
5,0,2,0,0,527895.493723415,527893.058593764,527861.823256316,527822.825498634,527764.392496809,527672.124874012,527524.792322677,527289.278655037,526913.182136479,526313.406424946,525358.427521814,523840.980241747,521436.816966531,517644.622290504,511703.864214589,502495.548035797,488453.638314194,487009.671234427,485201.796563002,483134.41135476,480870.606507266,478447.380271826,475886.192850957,473200.292800232,470399.690942648,467494.32280658,464495.7562779,461417.761267928,458276.058087301,455087.570584152,451869.483884871,448638.340874493,445409.324109688,442195.785625532,439009.020735404,435858.244652168,432750.714568922,429691.940914698,426685.940657221,423735.498059194,420842.41035501,418007.705600914,415231.827310002,412514.785299211,409856.275245686,407255.770887572,404712.593400609,402225.962355931,399795.032264744,397418.918139488,395096.712876928,392827.498710271,390610.35446631,388444.359936265,386328.598332807,384262.157532554,382244.130594732,380273.615893061,378349.717081701,376471.543033024,374638.20782718,372848.830833924,371102.536899184,369398.456634462,367735.726795785,366113.490735081,364530.898904406,362987.109394346,361481.288489072,360012.611222851,358580.261925289,357183.434744731,355821.334141994,354493.1753484,353198.184783961,351935.60043318,350704.672177195,349401.235286097,348110.245758056,346817.396506503,345513.160191193,344191.048790144,342846.539874507,341476.417818884,340078.374085218,338650.770692829,337192.50487077,335702.936363129,334181.851469054,332629.4468914,331046.321877236,329433.470783421,327792.271033022,326124.463403876,324432.123345204,322717.623478824,320983.588640199,319232.845042679,317468.366350612,315693.219021259,313910.509422014,312123.334540217,310334.738017881,308547.672408711,306764.968196117,304989.30959431,303223.21686228,301469.034554741,299728.924960935,298004.866037179,296298.652797121,294611.901635637,292946.056757907,291302.398129013,289682.050414815,288085.992512763,286515.067316479,284969.991499309,283451.365063781,281959.680556076,280495.331875099,279058.62258556,277649.773718763,276268.931070711,274916.171978518,273591.511608609,272294.90877269,271026.271299498,269785.46100166,268572.298238806,267386.566139194,266228.014484394,265096.363291631,263991.306114664,262912.513086362,261859.633722742,260832.29950656,259830.126267614,258852.716374695,257899.660753109,256970.540740492,256064.929792428,255182.395048475,254322.498768407,253484.799647617,252668.85402004,251874.216956314,251100.443264376,250347.088399202,249613.70928796,248899.865076462,248205.117802408
6,0,2,1,0,527895.493723415,527893.058593764,527861.823256316,527822.825498634,527764.392496809,527672.124874012,527524.792322677,527289.278655037,526913.182136479,526313.406424946,525358.427521814,523840.980241747,521436.816966531,517644.622290504,511703.864214589,502495.548035797,488453.638314194,487009.671234427,485201.796563002,483134.41135476,480870.606507266,478447.380271826,475886.192850957,473200.292800232,470399.690942648,467494.32280658,464495.7562779,461417.761267928,458276.058087301,455087.570584152,451869.483884871,448638.340874493,445409.324109688,442195.785625532,439009.020735404,435858.244652168,432750.714568922,429691.940914698,426685.940657221,423735.498059194,420842.41035501,418007.705600914,415231.827310002,412514.785299211,409856.275245686,407255.770887572,404712.593400609,402225.962355931,399795.032264744,397418.918139488,395096.712876928,392827.498710271,390610.35446631,388444.359936265,386328.598332807,384262.157532554,382244.130594732,380273.615893061,378349.717081701,376471.543033024,374638.20782718,372848.830833924,371102.536899184,369398.456634462,367735.726795785,366113.490735081,364530.898904406,362987.109394346,361481.288489072,360012.611222851,358580.261925289,357183.434744731,355821.334141994,354493.1753484,353198.184783961,351935.60043318,350704.672177195,349401.235286097,348110.245758056,346817.396506503,345513.160191193,344191.048790144,342846.539874507,341476.417818884,340078.374085218,338650.770692829,337192.50487077,335702.936363129,334181.851469054,332629.4468914,331046.321877236,329433.470783421,327792.271033022,326124.463403876,324432.123345204,322717.623478824,320983.588640199,319232.845042679,317468.366350612,315693.219021259,313910.509422014,312123.334540217,310334.738017881,308547.672408711,306764.968196117,304989.30959431,303223.21686228,301469.034554741,299728.924960935,298004.866037179,296298.652797121,294611.901635637,292946.056757907,291302.398129013,289682.050414815,288085.992512763,286515.067316479,284969.991499309,283451.365063781,281959.680556076,280495.331875099,279058.62258556,277649.773718763,276268.931070711,274916.171978518,273591.511608609,272294.90877269,271026.271299498,269785.46100166,268572.298238806,267386.566139194,266228.014484394,265096.363291631,263991.306114664,262912.513086362,261859.633722742,260832.29950656,259830.126267614,258852.716374695,257899.660753109,256970.540740492,256064.929792428,255182.395048475,254322.498768407,253484.799647617,252668.85402004,251874.216956314,251100.443264376,250347.088399202,249613.70928796,248899.865076462,248205.117802408
7,0,2,0,1,171228.02725029,171225.592120639,171215.460733112,171202.811553431,171183.858424243,171153.930812789,171106.142528911,171029.752118888,170907.762734796,170713.221530521,170403.467830431,169911.273805881,169131.467605265,167901.444273325,165974.520244614,162987.742213572,158433.156265821,157964.796028439,157378.399965722,156707.829950337,155973.549930649,155187.560533268,154356.822516295,153485.63313603,152577.23946888,151634.864168944,150662.25935623,149663.891392214,148644.859263238,147610.652330966,146566.844704384,145518.802177263,144471.449311904,143429.116928868,142395.468737481,141373.493752758,140365.545893102,139373.412502482,138398.396510849,137441.401012156,136503.008951224,135583.553784868,134683.179369485,133801.888889262,132939.583635077,132096.092910428,131271.196534194,130464.641369129,129676.153175372,128905.444901376,128152.22232223,127416.187754226,126697.042408764,125994.487810064,125308.226592113,124637.962901683,123983.402566557,123344.25313831,122720.223881261,122111.025752293,121516.371397465,120935.975178554,120369.55323357,119816.823570624,119277.506190845,118751.323234787,118237.999145975,117737.260845544,117248.83791227,116772.462763082,116307.870829913,115854.800729468,115412.994423371,114982.197366731,114562.158643779,114152.631089769,113753.371398705,113330.593054044,112911.852093613,112492.507919606,112069.470276435,111640.634731415,111204.53440495,110760.126287752,110306.66159029,109843.609022737,109370.61089407,108887.459533064,108394.08562444,107890.552970066,107377.055939676,106853.917059471,106321.583105698,105780.618711121,105231.697061369,104675.587731965,104113.142105587,103545.276883159,102972.956592306,102397.175858649,101818.94225292,101239.260303371,100659.117235346,100079.470729094,99501.2388705608,98925.2923023137,98352.4484869635,97783.4678962809,97219.05188303,96659.8420103765,96106.4205028248,95559.3116487045,95018.9838854824,94485.8523782673,93960.2819198416,93442.5900220437,92933.0500829743,92431.8945603561,91939.318068962,91455.480369392,90980.5092253515,90514.5031000544,90057.5336864607,89609.6482744644,89170.8719488686,88741.2096290028,88320.6479551726,87909.1570310217,87506.6920345644,87113.1946982636,86728.59467834,86352.810814798,85985.7522933787,85627.3197162251,85277.4060887591,84935.8977291915,84602.6751065262,84277.6136126258,83960.5842731884,83651.4544021408,83350.0882035869,83056.3473250341,82770.0913653461,82491.178340596,82219.4651107266,81954.8077697259,81697.0620018237,81446.0834060408,81201.727791269,80963.851443916,80732.3113700205,80506.965513625
8,0,2,1,1,171228.02725029,171225.592120639,171215.460733112,171202.811553431,171183.858424243,171153.930812789,171106.142528911,171029.752118888,170907.762734796,170713.221530521,170403.467830431,169911.273805881,169131.467605265,167901.444273325,165974.520244614,162987.742213572,158433.156265821,157964.796028439,157378.399965722,156707.829950337,155973.549930649,155187.560533268,154356.822516295,153485.63313603,152577.23946888,151634.864168944,150662.25935623,149663.891392214,148644.859263238,147610.652330966,146566.844704384,145518.802177263,144471.449311904,143429.116928868,142395.468737481,141373.493752758,140365.545893102,139373.412502482,138398.396510849,137441.401012156,136503.008951224,135583.553784868,134683.179369485,133801.888889262,132939.583635077,132096.092910428,131271.196534194,130464.641369129,129676.153175372,128905.444901376,128152.22232223,127416.187754226,126697.042408764,125994.487810064,125308.226592113,124637.962901683,123983.402566557,123344.25313831,122720.223881261,122111.025752293,121516.371397465,120935.975178554,120369.55323357,119816.823570624,119277.506190845,118751.323234787,118237.999145975,117737.260845544,117248.83791227,116772.462763082,116307.870829913,115854.800729468,115412.994423371,114982.197366731,114562.158643779,114152.631089769,113753.371398705,113330.593054044,112911.852093613,112492.507919606,112069.470276435,111640.634731415,111204.53440495,110760.126287752,110306.66159029,109843.609022737,109370.61089407,108887.459533064,108394.08562444,107890.552970066,107377.055939676,106853.917059471,106321.583105698,105780.618711121,105231.697061369,104675.587731965,104113.142105587,103545.276883159,102972.956592306,102397.175858649,101818.94225292,101239.260303371,100659.117235346,100079.470729094,99501.2388705608,98925.2923023137,98352.4484869635,97783.4678962809,97219.05188303,96659.8420103765,96106.4205028248,95559.3116487045,95018.9838854824,94485.8523782673,93960.2819198416,93442.5900220437,92933.0500829743,92431.8945603561,91939.318068962,91455.480369392,90980.5092253515,90514.5031000544,90057.5336864607,89609.6482744644,89170.8719488686,88741.2096290028,88320.6479551726,87909.1570310217,87506.6920345644,87113.1946982636,86728.59467834,86352.810814798,85985.7522933787,85627.3197162251,85277.4060887591,84935.8977291915,84602.6751065262,84277.6136126258,83960.5842731884,83651.4544021408,83350.0882035869,83056.3473250341,82770.0913653461,82491.178340596,82219.4651107266,81954.8077697259,81697.0620018237,81446.0834060408,81201.727791269,80963.851443916,80732.3113700205,80506.965513625
9,11,2,0,0,292.1211864,289.68605674871,288.867915013689,288.147556023429,287.487455526362,286.859129743687,286.237943465213,285.598593127609,284.91026861282,284.130504966198,283.196523792541,282.012485949549,280.430594914718,278.223674914558,275.047411323125,270.393625359849,263.545193846593,262.380976176908,260.98672493574,259.432853575231,257.762753192614,256.002566675952,254.167876753108,252.268281330816,250.310473317351,248.300218228673,246.243486717097,244.146949918118,242.01802187547,239.864623314293,237.694819660427,235.516450298334,233.336822719451,231.162504953278,228.999218381419,226.851815510566,224.724319410267,222.620001549194,220.54147844547,218.490812742949,216.469609352714,214.479101359487,212.520223420682,210.593672352981,208.699955843367,206.839430786128,205.012332980491,203.218799863497,201.458887789611,199.732585140866,198.039822307758,196.380479367372,194.75439209198,193.161356762137,191.60113413482,190.073452818004,188.578012228356,187.114485254423,185.68252070702,184.281745609748,182.911767362809,181.572175799875,180.262545148234,178.982435897707,177.731396579857,176.508965457769,175.314672125728,174.148039018259,173.008582828313,171.895815834895,170.809247141113,169.748383824185,168.712731999574,167.701797801827,166.715088285181,165.752112247278,164.81238097952,163.894014204953,162.99064534465,162.096908989595,161.209131168024,160.324686239808,159.441612296508,158.558383615421,157.67377859455,156.786806099041,155.89666682951,155.002735544286,154.104554831687,153.201834507797,152.294452667286,151.382455729663,150.466055812499,149.545624441847,148.621682253434,147.69488483539,146.766005327661,145.835914423766,144.905558924314,143.975939783201,143.048090656396,142.123057696127,141.201881297207,140.285580179815,139.375138052604,138.471492898674,137.575528808876,136.688070166927,135.80987791678,134.941647662403,134.084009206299,133.237527333072,132.402703519278,131.579978341164,130.76973436954,129.972299391491,129.187949807767,128.416914120859,127.659376398157,126.915479664842,126.185329188431,125.468995611863,124.766517920728,124.077906240087,123.403144449162,122.742192620336,122.094989284963,121.461453533185,120.841486960225,120.234975457792,119.641790872601,119.061792533181,118.494828657424,117.940737648526,117.399349288126,116.870485834287,116.353963031368,115.849591038686,115.357175283955,114.876517247188,114.407415180271,113.949664766952,113.503059727619,113.067392372924,112.64245410993,112.228035904225,111.823928701155,111.42992380912,111.045813247619,110.671390062604,110.306448611454,109.95078481978
10,11,2,0,1,67.8788136,65.4436839487101,65.2588555529878,65.0961174957363,64.9469925817196,64.8050459709654,64.6647122630266,64.5202750681672,64.3647739974373,64.1886156893125,63.9776177233458,63.7101288450416,63.3527599813596,62.8541892989748,62.1366318405713,61.0852836978136,59.5381378236625,59.2751265690735,58.9601478690416,58.6091089983571,58.2318125456755,57.8341645146308,57.4196852372985,56.9905430002085,56.5482498146011,56.0941081822551,55.6294669478042,55.1558332037466,54.674881874793,54.1884023512876,53.6982167132624,53.2060959751903,52.713690990293,52.2224855581416,51.7337722100151,51.2486471875409,50.7680193521776,50.2926277693953,49.8230635431883,49.3597926504624,48.9031776605963,48.4534971427689,48.0109622477172,47.575730394998,47.1479162774165,46.727600521832,46.3148363982235,45.9096549553281,45.5120689243208,45.1220756805579,44.7396594983867,44.364793285729,43.9974399414979,43.6375534429363,43.2850797420695,42.9399575280626,42.6021188954013,42.2714899455394,41.9479913404708,41.6315388201875,41.3220436915107,41.0194132927649,40.7235514365973,40.4343588321911,40.1517334872101,39.875571089541,39.6057653686812,39.3422084366488,39.0847911083687,38.8334032016011,38.5879338166312,38.3482715960708,38.1143049652587,37.8859223538452,37.6630123992507,37.4454641327513,37.2331671489955,37.0256966700284,36.8216144064693,36.6197082456752,36.4191481917202,36.2193410798354,36.0198436904985,35.8203113439706,35.6204680651638,35.4200899443844,35.2189964099583,35.0170462120142,34.8141360155627,34.610200264447,34.4052114187371,34.1991799651772,33.9921538237652,33.7842169268587,33.575486892545,33.3661118263381,33.15626639017,32.9461472845381,32.7359684034782,32.5259558749276,32.3163432146284,32.107366761383,31.8992615533223,31.6922577320082,31.4865775294623,31.2824328477357,31.0800234139498,30.8795354666421,30.6811409125172,30.4849968971653,30.2912457008066,30.1000149153088,29.9114178304649,29.7255539779293,29.5425097852076,29.3623593034799,29.1851649751139,29.0109784216653,28.8398412262471,28.671785700027,28.5068356242465,28.3450069580244,28.1863085086907,28.0307425636222,27.8783054809348,27.7289882404833,27.5827769557357,27.4396533481485,27.2995951868585,27.1625766933833,27.0285689163016,26.8975400761778,26.7694558835461,26.6442798316775,26.5219734661274,26.4024966327804,26.2858077059958,26.1718637984009,26.0606209536964,25.9520343237473,25.846058331145,25.7426468183062,25.6417531841008,25.5433305089213,25.4473316690282,25.3537094409473,25.262416596632,25.1734059900532,25.0866306358289,25.0020437804648,24.9195989667348,24.8392500916956
