"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,817922.048736017,817800.512124451,817661.785643498,817475.528290955,817208.028328387,816813.807007139,816226.579660422,815347.262351581,814026.730907786,812040.555337993,809052.199512998,804560.530964246,797827.842746325,787787.664270323,772941.586597557,751277.462073342,748671.05524648,745440.605659108,741741.229178286,737663.272298447,733257.131160754,728550.786047922,723562.199166363,718307.745106929,712807.325528678,707086.645351649,701177.229519985,695114.89731068,688937.472096263,682682.410348222,676384.822683056,670076.116486603,663783.285891841,657528.747120266,651330.566239443,645202.922947905,639156.683037861,633199.987297576,627338.79967909,621577.384857259,615918.704316376,610364.732700584,604916.70268537,599575.289716433,594340.748289416,589213.010777264,584191.758108966,579276.46994263,574466.460297624,569760.903146546,565158.851260023,560659.250639849,556260.952145243,551962.721377455,547763.247497144,543661.151387138,539654.993383934,535743.280689654,531924.474503242,528196.996870208,524559.23722974,521009.558632073,517546.30360004,514167.799613863,510872.364205626,507658.309657269,504523.947303057,501467.591443427,498487.562882331,495582.192103754,492749.822106115,489988.810915015,487297.533795576,484674.385186506,482117.780377656,479626.156951835,477197.976191752,474831.723395661,472525.909799281,470279.072575564,468089.775534144,465956.609575069,463878.192970015,461853.171580399,459880.218962484,457958.036400364,456085.35286399,454260.924902925,452483.53648566,450751.99878937,449065.149947031,447421.854757786,445821.004363554,444261.51590169,442742.332131165,441262.421039998,439820.775436403,438416.412526173,437048.373479227,435715.722987623,434417.548816923,433152.961353053,431921.093146086,430721.098452494,429552.152777214,428413.452416576,427304.214003171,426223.674053558,425171.088519531,424145.732343697,423146.899019919,422173.90015914,421226.06506105,420302.740291957,419403.289269182,418527.091852263,417673.543941158,416842.05708166,416032.05807816,415242.988613837,414474.30487824,413725.477202662,412995.989703033,412285.339930366,411593.038528807,410918.608901245,410261.586882431,409621.520419541,408997.969260124,408390.504647341,407798.709022416,407222.175734193,406660.50875571,406113.322407659,405580.241088643,405060.899012092,404554.939949734,404062.016981483,403581.792251637,403113.93673124,402658.129986499,402214.059953117,401781.422716422,401359.922297153,400949.270442795,400549.186424319,400159.396838212,399779.635413668,399409.642824824,399049.166507909,398697.960483202
2,0,1,0,0,1,818021.22396571,817922.048736017,817800.512124451,817661.785643498,817475.528290955,817208.028328387,816813.807007139,816226.579660422,815347.262351581,814026.730907786,812040.555337993,809052.199512998,804560.530964246,797827.842746325,787787.664270323,772941.586597557,751277.462073342,748671.05524648,745440.605659108,741741.229178286,737663.272298447,733257.131160754,728550.786047922,723562.199166363,718307.745106929,712807.325528678,707086.645351649,701177.229519985,695114.89731068,688937.472096263,682682.410348222,676384.822683056,670076.116486603,663783.285891841,657528.747120266,651330.566239443,645202.922947905,639156.683037861,633199.987297576,627338.79967909,621577.384857259,615918.704316376,610364.732700584,604916.70268537,599575.289716433,594340.748289416,589213.010777264,584191.758108966,579276.46994263,574466.460297624,569760.903146546,565158.851260023,560659.250639849,556260.952145243,551962.721377455,547763.247497144,543661.151387138,539654.993383934,535743.280689654,531924.474503242,528196.996870208,524559.23722974,521009.558632073,517546.30360004,514167.799613863,510872.364205626,507658.309657269,504523.947303057,501467.591443427,498487.562882331,495582.192103754,492749.822106115,489988.810915015,487297.533795576,484674.385186506,482117.780377656,479626.156951835,477197.976191752,474831.723395661,472525.909799281,470279.072575564,468089.775534144,465956.609575069,463878.192970015,461853.171580399,459880.218962484,457958.036400364,456085.35286399,454260.924902925,452483.53648566,450751.99878937,449065.149947031,447421.854757786,445821.004363554,444261.51590169,442742.332131165,441262.421039998,439820.775436403,438416.412526173,437048.373479227,435715.722987623,434417.548816923,433152.961353053,431921.093146086,430721.098452494,429552.152777214,428413.452416576,427304.214003171,426223.674053558,425171.088519531,424145.732343697,423146.899019919,422173.90015914,421226.06506105,420302.740291957,419403.289269182,418527.091852263,417673.543941158,416842.05708166,416032.05807816,415242.988613837,414474.30487824,413725.477202662,412995.989703033,412285.339930366,411593.038528807,410918.608901245,410261.586882431,409621.520419541,408997.969260124,408390.504647341,407798.709022416,407222.175734193,406660.50875571,406113.322407659,405580.241088643,405060.899012092,404554.939949734,404062.016981483,403581.792251637,403113.93673124,402658.129986499,402214.059953117,401781.422716422,401359.922297153,400949.270442795,400549.186424319,400159.396838212,399779.635413668,399409.642824824,399049.166507909,398697.960483202
3,0,1,1,0,0,2335.27250675705,2334.98938306726,2334.64242250042,2334.24638859881,2333.71466440654,2332.9510102496,2331.82559420156,2330.14918796927,2327.63892848469,2323.86909869952,2318.19899984898,2309.66789454992,2296.84515870388,2277.62479958452,2248.96227583694,2206.57995615296,2144.73359703395,2137.29287297218,2128.07064268667,2117.50972820828,2105.86804910971,2093.28947540246,2079.85388470223,2065.61255519785,2050.61223278136,2034.90973235668,2018.57843587442,2001.70834018695,1984.40170153205,1966.76649740392,1948.90965787419,1930.93141610919,1912.92143335794,1894.9567719933,1877.10142544753,1859.40696841043,1841.91388083433,1824.65318219044,1807.64811265695,1790.91569801856,1774.46811299355,1758.31381197483,1742.45843214154,1726.90549251384,1711.65692134215,1696.71344515612,1682.07487089524,1667.74028768124,1653.70821005129,1639.97667968004,1626.54333843907,1613.40548219474,1600.56010201165,1588.00391734303,1575.73340424919,1563.74482056918,1552.03422922372,1540.59752028694,1529.43043214588,1518.52857185853,1507.88743470835,1497.50242289485,1487.36886328283,1477.48202413581,1467.83713077395,1458.42938011763,1449.25395409921,1440.30603194565,1431.58080135168,1423.07346857816,1414.77926752033,1406.69346779941,1398.81138193595,1391.12837166561,1383.63985346042,1376.34130331791,1369.22826087715,1362.29633343526,1355.5411968485,1348.95860101899,1342.54436989395,1336.29440346255,1330.20467905121,1324.27125212637,1318.49025691718,1312.85790671553,1307.37049397027,1302.0243901673,1296.81604552634,1291.74198854217,1286.79882538442,1281.9832391757,1277.2919891647,1272.721909803,1268.26990975349,1263.9329708232,1259.7081468426,1255.59256249842,1251.58341212715,1247.67795847765,1243.87353144937,1240.1675268116,1236.55740490981,1233.04068936332,1229.61496575848,1226.27788034138,1223.02713871302,1219.86050452997,1216.77579821324,1213.77089566719,1210.84372701079,1207.99227532285,1205.21457540246,1202.50871254627,1199.87282134332,1197.30508448868,1194.80373161631,1192.36703815212,1189.99332418747,1187.68095337366,1185.42833183772,1183.23390711922,1181.0961671293,1179.01363913125,1176.9848887426,1175.00851895893,1173.08316919923,1171.20751437278,1169.38026396718,1167.60016115752,1165.86598193637,1164.17653426433,1162.53065724088,1160.92722029527,1159.36512239702,1157.84329128593,1156.36068272097,1154.91627974798,1153.50909198563,1152.13815492945,1150.8025292734,1149.50130024877,1148.23357697993,1146.99849185664,1145.79519992256,1144.62287827951,1143.48072550722,1142.3679610982,1141.28382490725,1140.2275766155,1139.19849520836,1138.19587846728
4,0,1,1,0,1,2335.27250675705,2334.98938306726,2334.64242250042,2334.24638859881,2333.71466440654,2332.9510102496,2331.82559420156,2330.14918796927,2327.63892848469,2323.86909869952,2318.19899984898,2309.66789454992,2296.84515870388,2277.62479958452,2248.96227583694,2206.57995615296,2144.73359703395,2137.29287297218,2128.07064268667,2117.50972820828,2105.86804910971,2093.28947540246,2079.85388470223,2065.61255519785,2050.61223278136,2034.90973235668,2018.57843587442,2001.70834018695,1984.40170153205,1966.76649740392,1948.90965787419,1930.93141610919,1912.92143335794,1894.9567719933,1877.10142544753,1859.40696841043,1841.91388083433,1824.65318219044,1807.64811265695,1790.91569801856,1774.46811299355,1758.31381197483,1742.45843214154,1726.90549251384,1711.65692134215,1696.71344515612,1682.07487089524,1667.74028768124,1653.70821005129,1639.97667968004,1626.54333843907,1613.40548219474,1600.56010201165,1588.00391734303,1575.73340424919,1563.74482056918,1552.03422922372,1540.59752028694,1529.43043214588,1518.52857185853,1507.88743470835,1497.50242289485,1487.36886328283,1477.48202413581,1467.83713077395,1458.42938011763,1449.25395409921,1440.30603194565,1431.58080135168,1423.07346857816,1414.77926752033,1406.69346779941,1398.81138193595,1391.12837166561,1383.63985346042,1376.34130331791,1369.22826087715,1362.29633343526,1355.5411968485,1348.95860101899,1342.54436989395,1336.29440346255,1330.20467905121,1324.27125212637,1318.49025691718,1312.85790671553,1307.37049397027,1302.0243901673,1296.81604552634,1291.74198854217,1286.79882538442,1281.9832391757,1277.2919891647,1272.721909803,1268.26990975349,1263.9329708232,1259.7081468426,1255.59256249842,1251.58341212715,1247.67795847765,1243.87353144937,1240.1675268116,1236.55740490981,1233.04068936332,1229.61496575848,1226.27788034138,1223.02713871302,1219.86050452997,1216.77579821324,1213.77089566719,1210.84372701079,1207.99227532285,1205.21457540246,1202.50871254627,1199.87282134332,1197.30508448868,1194.80373161631,1192.36703815212,1189.99332418747,1187.68095337366,1185.42833183772,1183.23390711922,1181.0961671293,1179.01363913125,1176.9848887426,1175.00851895893,1173.08316919923,1171.20751437278,1169.38026396718,1167.60016115752,1165.86598193637,1164.17653426433,1162.53065724088,1160.92722029527,1159.36512239702,1157.84329128593,1156.36068272097,1154.91627974798,1153.50909198563,1152.13815492945,1150.8025292734,1149.50130024877,1148.23357697993,1146.99849185664,1145.79519992256,1144.62287827951,1143.48072550722,1142.3679610982,1141.28382490725,1140.2275766155,1139.19849520836,1138.19587846728
5,0,2,0,0,0,527895.493723415,527831.492747267,527768.17498847,527695.672169357,527597.758823139,527456.288930235,527246.628488348,526932.716008208,526460.480292044,525748.347320693,524673.287038533,523050.417100628,520603.761344546,516925.822408984,511425.042501623,503265.168599852,491312.35067222,489702.361419822,487707.469650591,485423.376092037,482905.30777845,480183.659536101,477275.007170261,474189.872704154,470937.990616488,467531.489934451,463986.293253143,460322.096379361,456561.37909908,452727.936714431,448845.363503962,444935.786790432,441018.99699536,437111.990272359,433228.859265008,429380.934984512,425577.080347647,421824.054156532,418126.886500855,414489.228834447,410913.659383316,407401.936705559,403955.202324388,400574.137579471,397259.081868276,394010.119702407,390827.143609454,387709.898844233,384658.014824428,381671.027138967,378748.393042905,375889.502578644,373093.686847415,370360.224483128,367688.34703079,365077.243676951,362526.065608037,360033.930147462,357599.924747915,355223.110865948,352902.527718756,350637.195908338,348426.120893361,346268.296288896,344162.706977037,342108.332015817,340104.147338524,338149.128240076,336242.251651005,334382.498203218,332568.854094133,330800.312757973,329075.8763544,327394.557085461,325755.37835254,324157.37576511,322599.598012624,321081.107721224,319600.981647964,318158.311862299,316752.205754466,315381.786475649,314046.193229761,312744.58146153,311476.123007522,310240.006179128,309035.435802281,307861.633211852,306717.836207102,305603.298973988,304517.291977171,303459.101825832,302428.031116777,301423.398256573,300444.537268668,299490.797583834,298561.543818663,297656.155543549,296774.027041689,295914.567060853,295077.198559335,294261.358447204,293466.497324182,292692.079215004,291937.581303221,291202.49366426,290486.318998403,289788.572364341,289108.78091388,288446.483628234,287801.231056393,287172.585055916,286560.118536483,285963.415206492,285382.069322964,284815.685444941,284263.878190589,283726.271998135,283202.500890775,282692.208245671,282195.046567087,281710.677263679,281238.77043017,280779.004633288,280331.066701988,279894.651522016,279469.461834792,279055.208040599,278651.608006061,278258.386875869,277875.276888737,277502.017197527,277138.353693504,276784.038834679,276438.831478166,276102.496716515,275774.805717938,275455.535570388,275144.469129406,274841.394869682,274546.106740251,274258.404023267,273978.091196274,273704.977797913,273438.878296982,273179.611964796,272927.002750762,272680.879161103,272441.074140661,272207.424957718,271979.773091751,271757.964124064
6,0,2,0,0,1,527895.493723415,527831.492747267,527768.17498847,527695.672169357,527597.758823139,527456.288930235,527246.628488348,526932.716008208,526460.480292044,525748.347320693,524673.287038533,523050.417100628,520603.761344546,516925.822408984,511425.042501623,503265.168599852,491312.35067222,489702.361419822,487707.469650591,485423.376092037,482905.30777845,480183.659536101,477275.007170261,474189.872704154,470937.990616488,467531.489934451,463986.293253143,460322.096379361,456561.37909908,452727.936714431,448845.363503962,444935.786790432,441018.99699536,437111.990272359,433228.859265008,429380.934984512,425577.080347647,421824.054156532,418126.886500855,414489.228834447,410913.659383316,407401.936705559,403955.202324388,400574.137579471,397259.081868276,394010.119702407,390827.143609454,387709.898844233,384658.014824428,381671.027138967,378748.393042905,375889.502578644,373093.686847415,370360.224483128,367688.34703079,365077.243676951,362526.065608037,360033.930147462,357599.924747915,355223.110865948,352902.527718756,350637.195908338,348426.120893361,346268.296288896,344162.706977037,342108.332015817,340104.147338524,338149.128240076,336242.251651005,334382.498203218,332568.854094133,330800.312757973,329075.8763544,327394.557085461,325755.37835254,324157.37576511,322599.598012624,321081.107721224,319600.981647964,318158.311862299,316752.205754466,315381.786475649,314046.193229761,312744.58146153,311476.123007522,310240.006179128,309035.435802281,307861.633211852,306717.836207102,305603.298973988,304517.291977171,303459.101825832,302428.031116777,301423.398256573,300444.537268668,299490.797583834,298561.543818663,297656.155543549,296774.027041689,295914.567060853,295077.198559335,294261.358447204,293466.497324182,292692.079215004,291937.581303221,291202.49366426,290486.318998403,289788.572364341,289108.78091388,288446.483628234,287801.231056393,287172.585055916,286560.118536483,285963.415206492,285382.069322964,284815.685444941,284263.878190589,283726.271998135,283202.500890775,282692.208245671,282195.046567087,281710.677263679,281238.77043017,280779.004633288,280331.066701988,279894.651522016,279469.461834792,279055.208040599,278651.608006061,278258.386875869,277875.276888737,277502.017197527,277138.353693504,276784.038834679,276438.831478166,276102.496716515,275774.805717938,275455.535570388,275144.469129406,274841.394869682,274546.106740251,274258.404023267,273978.091196274,273704.977797913,273438.878296982,273179.611964796,272927.002750762,272680.879161103,272441.074140661,272207.424957718,271979.773091751,271757.964124064
7,0,2,1,0,0,171228.02725029,171207.26791247,171186.730182829,171163.213189723,171131.45404551,171085.566912611,171017.561513278,170915.740953446,170762.566715292,170531.579473927,170182.873236655,169656.479620389,168862.883078165,167669.907885592,165885.67653095,163238.942229514,159361.929718203,158839.714077304,158192.651569129,157451.783653535,156635.023755139,155752.230730862,154808.78110403,153808.087795005,152753.308276441,151648.376716033,150498.457762051,149309.939940599,148090.114788452,146846.700542819,145587.350236958,144319.241082777,143048.792295587,141781.516742779,140521.985510085,139273.87392097,138040.056748515,136822.726275791,135623.514061211,134443.604489265,133283.833832587,132144.772496561,131026.790745323,129930.109578006,128854.839081475,127801.006667887,126768.577477524,125757.468881313,124767.560677282,123798.702229192,122850.717492453,121923.408621397,121016.558652216,120129.933602818,119263.284217366,118416.347500648,117588.848131742,116780.49980593,115991.006529635,115220.06387718,114467.360209336,113732.577848855,113015.394206603,112315.48285186,111632.514521281,110966.158062427,110316.081309323,109681.951888928,109063.437958731,108460.208876795,107871.935806415,107298.292258209,106738.95457298,106193.602348872,105661.918816647,105143.591166876,104638.310832749,104145.773767958,103665.680509691,103197.736561864,102741.652397836,102297.143603184,101863.93097034,101441.740559605,101030.303748132,100629.357256841,100238.643163305,99857.9088999327,99486.9072395156,99125.39627003,98773.1393596075,98429.9051130116,98095.4673207473,97769.6049013694,97452.1018389184,97142.747114951,96841.3346366916,96547.6631617755,96261.5362200783,95982.7620332007,95711.1534320642,95446.5277729845,95188.7068526485,94937.5168222768,94692.7881012797,94454.3552906725,94222.0570864646,93995.7361932359,93775.2392380847,93560.416685093,93351.1227504635,93147.2153184431,92948.5558581401,92755.0093413337,92566.4441613498,92382.7320530758,92203.7480141733,92029.3702275356,91859.4799850347,91693.9616125909,91532.7023965897,91375.5925116422,91222.5249497699,91073.3954509707,90928.1024351768,90786.5469356185,90648.6325335898,90514.2652946117,90383.3537059849,90255.8086157229,90131.5431728533,90010.4727690746,89892.5149817528,89777.5895182407,89665.6181615031,89556.5247170278,89450.2349610038,89346.6765897449,89245.7791703383,89147.4740924962,89051.6945215886,88958.3753528337,88867.4531666253,88778.8661849726,88692.5542290297,88608.4586776935,88526.5224272452,88446.6898520134,88368.9067660367,88293.1203857027,88219.279293341,88147.3334017487
8,0,2,1,0,1,171228.02725029,171207.26791247,171186.730182829,171163.213189723,171131.45404551,171085.566912611,171017.561513278,170915.740953446,170762.566715292,170531.579473927,170182.873236655,169656.479620389,168862.883078165,167669.907885592,165885.67653095,163238.942229514,159361.929718203,158839.714077304,158192.651569129,157451.783653535,156635.023755139,155752.230730862,154808.78110403,153808.087795005,152753.308276441,151648.376716033,150498.457762051,149309.939940599,148090.114788452,146846.700542819,145587.350236958,144319.241082777,143048.792295587,141781.516742779,140521.985510085,139273.87392097,138040.056748515,136822.726275791,135623.514061211,134443.604489265,133283.833832587,132144.772496561,131026.790745323,129930.109578006,128854.839081475,127801.006667887,126768.577477524,125757.468881313,124767.560677282,123798.702229192,122850.717492453,121923.408621397,121016.558652216,120129.933602818,119263.284217366,118416.347500648,117588.848131742,116780.49980593,115991.006529635,115220.06387718,114467.360209336,113732.577848855,113015.394206603,112315.48285186,111632.514521281,110966.158062427,110316.081309323,109681.951888928,109063.437958731,108460.208876795,107871.935806415,107298.292258209,106738.95457298,106193.602348872,105661.918816647,105143.591166876,104638.310832749,104145.773767958,103665.680509691,103197.736561864,102741.652397836,102297.143603184,101863.93097034,101441.740559605,101030.303748132,100629.357256841,100238.643163305,99857.9088999327,99486.9072395156,99125.39627003,98773.1393596075,98429.9051130116,98095.4673207473,97769.6049013694,97452.1018389184,97142.747114951,96841.3346366916,96547.6631617755,96261.5362200783,95982.7620332007,95711.1534320642,95446.5277729845,95188.7068526485,94937.5168222768,94692.7881012797,94454.3552906725,94222.0570864646,93995.7361932359,93775.2392380847,93560.416685093,93351.1227504635,93147.2153184431,92948.5558581401,92755.0093413337,92566.4441613498,92382.7320530758,92203.7480141733,92029.3702275356,91859.4799850347,91693.9616125909,91532.7023965897,91375.5925116422,91222.5249497699,91073.3954509707,90928.1024351768,90786.5469356185,90648.6325335898,90514.2652946117,90383.3537059849,90255.8086157229,90131.5431728533,90010.4727690746,89892.5149817528,89777.5895182407,89665.6181615031,89556.5247170278,89450.2349610038,89346.6765897449,89245.7791703383,89147.4740924962,89051.6945215886,88958.3753528337,88867.4531666253,88778.8661849726,88692.5542290297,88608.4586776935,88526.5224272452,88446.6898520134,88368.9067660367,88293.1203857027,88219.279293341,88147.3334017487
9,11,2,0,0,0,146.0605932,146.042885110704,146.027812738301,146.010633804133,145.987557540533,145.954343409405,145.905233865491,145.831798362746,145.721390703707,145.55492060614,145.303570977796,144.923982965276,144.35131519979,143.489560522779,142.198756528053,140.279733807818,137.459559946852,136.913815485514,136.237759791632,135.464770648667,134.614618521036,133.698615432569,132.723162971962,131.692203787269,130.608870337042,129.476504691024,128.299167497807,127.081752418068,125.829830914214,124.549354886447,123.246326632465,121.926511912059,120.595234384208,119.25725860983,117.91674924051,116.577285983066,115.241912956583,113.913204893911,112.593337442618,111.284153633726,109.987222334754,108.703887094926,107.435305498081,106.182480011017,104.946281722607,103.727468409044,102.526698268767,101.344540448237,100.181483265776,99.0379408281514,97.9142585521572,96.8107179557628,95.7275409685703,94.6648939256014,93.6228913467265,92.601599560827,91.6010402057672,90.6211936161733,89.6620021005973,88.7233731036498,87.8051822462376,86.907276236571,86.0294756455092,85.1715775413015,84.3333579805081,83.5145743536937,82.7149675861366,81.9342641952516,81.1721782076668,80.4284129398961,79.7026626473131,78.9946140467721,78.3039477185952,77.6303393938697,76.9734611332473,76.3329824034319,75.7085710573453,75.0998942637107,74.5066191560173,73.9284137933154,73.3649476612413,72.815892288194,72.2809217851769,71.7597132943906,71.2519474095855,70.7573085339456,70.2754851982543,69.8061703352682,69.3490615152964,68.9038611476551,68.4702766496588,68.0480205864682,67.636810784561,67.2363704198184,66.8464280860778,66.4667178419201,66.0969792401424,65.7369573412105,65.3864027122161,65.0450714128549,64.7127249699012,64.3891303413545,64.0740598715018,63.76729123794,63.468607391546,63.1777964902939,62.8946518277364,62.6189717568975,62.3505596102586,62.0892236164527,61.8347768142292,61.5870369641983,61.345826458812,61.1109722309989,60.8823056618258,60.6596624875215,60.4428827061659,60.2318104843132,60.0262940637898,59.8261856688846,59.6313414141111,59.4416212127173,59.2568886860936,59.0770110742052,58.9018591471566,58.7313071179881,58.565232556787,58.403516306185,58.2460423982996,58.0926979731684,57.9433731987169,57.7979611922892,57.6563579437659,57.5184622402865,57.3841755925858,57.2534021629506,57.1260486947967,57.0020244438619,56.8812411110084,56.7636127766224,56.6490558365978,56.5374889398869,56.4288329275989,56.3230107736271,56.2199475267799,56.1195702543941,56.021807987403,55.9265916668358,55.8338540917195,55.7435298683562,55.6555553609489,55.5698686435453
10,11,2,0,0,1,146.0605932,146.042885110704,146.027812738301,146.010633804133,145.987557540533,145.954343409405,145.905233865491,145.831798362746,145.721390703707,145.55492060614,145.303570977796,144.923982965276,144.35131519979,143.489560522779,142.198756528053,140.279733807818,137.459559946852,136.913815485514,136.237759791632,135.464770648667,134.614618521036,133.698615432569,132.723162971962,131.692203787269,130.608870337042,129.476504691024,128.299167497807,127.081752418068,125.829830914214,124.549354886447,123.246326632465,121.926511912059,120.595234384208,119.25725860983,117.91674924051,116.577285983066,115.241912956583,113.913204893911,112.593337442618,111.284153633726,109.987222334754,108.703887094926,107.435305498081,106.182480011017,104.946281722607,103.727468409044,102.526698268767,101.344540448237,100.181483265776,99.0379408281514,97.9142585521572,96.8107179557628,95.7275409685703,94.6648939256014,93.6228913467265,92.601599560827,91.6010402057672,90.6211936161733,89.6620021005973,88.7233731036498,87.8051822462376,86.907276236571,86.0294756455092,85.1715775413015,84.3333579805081,83.5145743536937,82.7149675861366,81.9342641952516,81.1721782076668,80.4284129398961,79.7026626473131,78.9946140467721,78.3039477185952,77.6303393938697,76.9734611332473,76.3329824034319,75.7085710573453,75.0998942637107,74.5066191560173,73.9284137933154,73.3649476612413,72.815892288194,72.2809217851769,71.7597132943906,71.2519474095855,70.7573085339456,70.2754851982543,69.8061703352682,69.3490615152964,68.9038611476551,68.4702766496588,68.0480205864682,67.636810784561,67.2363704198184,66.8464280860778,66.4667178419201,66.0969792401424,65.7369573412105,65.3864027122161,65.0450714128549,64.7127249699012,64.3891303413545,64.0740598715018,63.76729123794,63.468607391546,63.1777964902939,62.8946518277364,62.6189717568975,62.3505596102586,62.0892236164527,61.8347768142292,61.5870369641983,61.345826458812,61.1109722309989,60.8823056618258,60.6596624875215,60.4428827061659,60.2318104843132,60.0262940637898,59.8261856688846,59.6313414141111,59.4416212127173,59.2568886860936,59.0770110742052,58.9018591471566,58.7313071179881,58.565232556787,58.403516306185,58.2460423982996,58.0926979731684,57.9433731987169,57.7979611922892,57.6563579437659,57.5184622402865,57.3841755925858,57.2534021629506,57.1260486947967,57.0020244438619,56.8812411110084,56.7636127766224,56.6490558365978,56.5374889398869,56.4288329275989,56.3230107736271,56.2199475267799,56.1195702543941,56.021807987403,55.9265916668358,55.8338540917195,55.7435298683562,55.6555553609489,55.5698686435453
