"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,818021.22396571,818018.788836059,817971.133769084,817909.003645849,817811.995631309,817654.456315604,817398.167826062,816983.241802776,816314.724141595,815241.914784398,813526.240110284,810791.856439945,806451.321191142,799597.980533844,788860.620647123,772232.594261449,746932.555991315,744597.429906121,741672.146378675,738325.495428498,734660.241366798,730737.230942346,726592.183091432,722247.382899998,717719.646382944,713025.404634808,708183.470307443,703215.989277496,698148.081451818,693006.689500242,687819.112240664,682611.594623295,677408.207202499,672230.11429009,667095.224841025,662018.161199805,657010.455345717,652080.884084055,647235.86917339,642479.888193761,637815.860977203,633245.491812441,628769.559173359,624388.152248019,620100.858319315,615906.90726421,611805.280336615,607794.790172885,603874.138310884,600041.955595364,596296.829854981,592637.32435605,589061.989735136,585569.371443057,582158.014207402,578826.464594726,575573.272429118,572396.991585611,569296.180497099,566269.402585322,563315.226737807,560432.227892165,557618.9877466,554874.095593894,552196.149258973,549583.756114776,547035.534147608,544550.113044846,542126.135279778,539762.257172069,537457.149906154,535209.500493265,533018.012666894,530881.407704253,528798.42516911,526767.823573746,524788.380959631,519029.068427337,513332.275718527,507624.715320684,501861.223004367,496015.028874739,490071.443067692,484023.745481413,477870.510748558,471613.866100348,465258.356578762,458810.211835851,452276.864202915,445666.635187478,438988.522886844,432252.054127017,425467.171575705,418644.14097496,411793.466413505,404925.809101597,398051.90435238,391182.477841616,384328.163382925,377499.418346362,370706.444307564,363959.1119944,357266.89159623,350638.792770492,344083.31226614,337608.391328502,331221.383249463,324929.029982146,318737.44811852,312652.123244876,306677.911862144,300819.050199649,295079.168821594,289461.312201985,283967.962300805,278601.065412846,273362.061421382,268251.914828529,263271.146913822,258419.86846497,253697.812655071,249104.367612943,244638.608374009,240299.327935259,236085.067186828,231994.143547105,228024.678170503,224174.621634729,220441.778047979,216823.827545472,213318.347168413,209922.830139599,206634.703566688,203451.344617684,200370.095224432,197388.275378095,194503.195086741,191712.165069467,189012.50626398,186401.558225695,183876.686496422,181435.289019642,179074.801677592,176792.703022955,174586.518274994,172453.822646743,170392.244066308,168399.465351663,166473.225894577,164611.322905512,162811.612267619,161072.009044297
2,0,1,1,0,818021.22396571,818018.788836059,817971.133769084,817909.003645849,817811.995631309,817654.456315604,817398.167826062,816983.241802776,816314.724141595,815241.914784398,813526.240110284,810791.856439945,806451.321191142,799597.980533844,788860.620647123,772232.594261449,746932.555991315,744597.429906121,741672.146378675,738325.495428498,734660.241366798,730737.230942346,726592.183091432,722247.382899998,717719.646382944,713025.404634808,708183.470307443,703215.989277496,698148.081451818,693006.689500242,687819.112240664,682611.594623295,677408.207202499,672230.11429009,667095.224841025,662018.161199805,657010.455345717,652080.884084055,647235.86917339,642479.888193761,637815.860977203,633245.491812441,628769.559173359,624388.152248019,620100.858319315,615906.90726421,611805.280336615,607794.790172885,603874.138310884,600041.955595364,596296.829854981,592637.32435605,589061.989735136,585569.371443057,582158.014207402,578826.464594726,575573.272429118,572396.991585611,569296.180497099,566269.402585322,563315.226737807,560432.227892165,557618.9877466,554874.095593894,552196.149258973,549583.756114776,547035.534147608,544550.113044846,542126.135279778,539762.257172069,537457.149906154,535209.500493265,533018.012666894,530881.407704253,528798.42516911,526767.823573746,524788.380959631,519029.068427337,513332.275718527,507624.715320684,501861.223004367,496015.028874739,490071.443067692,484023.745481413,477870.510748558,471613.866100348,465258.356578762,458810.211835851,452276.864202915,445666.635187478,438988.522886844,432252.054127017,425467.171575705,418644.14097496,411793.466413505,404925.809101597,398051.90435238,391182.477841616,384328.163382925,377499.418346362,370706.444307564,363959.1119944,357266.89159623,350638.792770492,344083.31226614,337608.391328502,331221.383249463,324929.029982146,318737.44811852,312652.123244876,306677.911862144,300819.050199649,295079.168821594,289461.312201985,283967.962300805,278601.065412846,273362.061421382,268251.914828529,263271.146913822,258419.86846497,253697.812655071,249104.367612943,244638.608374009,240299.327935259,236085.067186828,231994.143547105,228024.678170503,224174.621634729,220441.778047979,216823.827545472,213318.347168413,209922.830139599,206634.703566688,203451.344617684,200370.095224432,197388.275378095,194503.195086741,191712.165069467,189012.50626398,186401.558225695,183876.686496422,181435.289019642,179074.801677592,176792.703022955,174586.518274994,172453.822646743,170392.244066308,168399.465351663,166473.225894577,164611.322905512,162811.612267619,161072.009044297
3,0,1,0,1,2335.27250675705,2332.83737710576,2332.70147372192,2332.524290171,2332.2476413638,2331.79836854873,2331.06748146413,2329.88418965095,2327.97770167226,2324.91824900304,2320.02546406784,2312.22751062646,2299.84911173973,2280.30465938536,2249.68370688766,2202.26366961053,2130.11266803909,2123.45332294074,2115.1109586276,2105.56693282863,2095.11431023803,2083.92661446156,2072.10570925929,2059.71514754975,2046.80288547849,2033.41578146979,2019.60748570626,2005.44115410743,1990.98842397358,1976.32613078584,1961.53212569339,1946.68125441081,1931.84216168035,1917.07520418127,1902.43145492078,1887.95261410462,1873.67156879197,1859.61334879842,1845.79626778453,1832.23309497542,1818.93215718877,1805.89831473889,1793.13378768846,1780.63883038523,1768.41226583682,1756.45189779561,1744.75482098732,1733.31764927177,1722.13667967655,1711.20800762565,1700.52760586916,1690.09137710995,1679.89518803317,1669.93489053521,1660.20633444994,1650.70537485562,1641.42787612036,1632.36971416486,1623.52677790796,1614.89497049577,1606.47021066179,1598.24843439325,1590.22559695735,1582.39767527957,1574.76067061752,1567.31061145794,1560.04355655492,1552.95559803184,1546.04286447511,1539.30152395843,1532.72778694707,1526.31790904135,1520.06819353041,1513.97499373478,1508.03471512485,1502.24381720867,1496.59881518785,1480.17432748032,1463.9281346763,1447.65123442671,1431.21482675288,1414.5425688958,1397.59256809637,1380.34565987464,1362.79777934816,1344.95499298457,1326.83026239787,1308.44135339658,1289.80946160663,1270.9583184191,1251.91358473322,1232.7024292841,1213.35320671002,1193.89519299715,1174.35834385205,1154.77306306263,1135.16996574447,1115.57963952911,1096.03241007436,1076.55809985383,1057.18580186301,1037.94366558116,1018.8586982262,999.956593664721,981.261583043753,962.796313317346,944.581754705728,926.637134004734,908.979894596543,891.625680352555,874.588341109776,857.879957806003,841.510884134807,825.489802369566,809.823790598338,794.518399291716,779.577734728886,765.004547490411,750.800324168536,736.965380709191,723.498956171698,710.399305613298,697.663791207126,685.288970805186,673.270683297635,661.604130274801,650.283953618661,639.304308758177,628.658933418511,618.341211776962,608.344234005888,598.660851243144,589.283726078505,580.205378683151,571.418228741289,562.914633366386,554.686921201977,546.727422919322,539.028498331251,531.58256034484,524.382095975523,517.419684642272,510.688013958335,504.179893225124,497.888264828461,491.806213727101,485.92697521337,480.243941115292,474.750664598821,469.440863718065,464.308423850729,459.34739914557
4,0,1,1,1,2335.27250675705,2332.83737710576,2332.70147372192,2332.524290171,2332.2476413638,2331.79836854873,2331.06748146413,2329.88418965095,2327.97770167226,2324.91824900304,2320.02546406784,2312.22751062646,2299.84911173973,2280.30465938536,2249.68370688766,2202.26366961053,2130.11266803909,2123.45332294074,2115.1109586276,2105.56693282863,2095.11431023803,2083.92661446156,2072.10570925929,2059.71514754975,2046.80288547849,2033.41578146979,2019.60748570626,2005.44115410743,1990.98842397358,1976.32613078584,1961.53212569339,1946.68125441081,1931.84216168035,1917.07520418127,1902.43145492078,1887.95261410462,1873.67156879197,1859.61334879842,1845.79626778453,1832.23309497542,1818.93215718877,1805.89831473889,1793.13378768846,1780.63883038523,1768.41226583682,1756.45189779561,1744.75482098732,1733.31764927177,1722.13667967655,1711.20800762565,1700.52760586916,1690.09137710995,1679.89518803317,1669.93489053521,1660.20633444994,1650.70537485562,1641.42787612036,1632.36971416486,1623.52677790796,1614.89497049577,1606.47021066179,1598.24843439325,1590.22559695735,1582.39767527957,1574.76067061752,1567.31061145794,1560.04355655492,1552.95559803184,1546.04286447511,1539.30152395843,1532.72778694707,1526.31790904135,1520.06819353041,1513.97499373478,1508.03471512485,1502.24381720867,1496.59881518785,1480.17432748032,1463.9281346763,1447.65123442671,1431.21482675288,1414.5425688958,1397.59256809637,1380.34565987464,1362.79777934816,1344.95499298457,1326.83026239787,1308.44135339658,1289.80946160663,1270.9583184191,1251.91358473322,1232.7024292841,1213.35320671002,1193.89519299715,1174.35834385205,1154.77306306263,1135.16996574447,1115.57963952911,1096.03241007436,1076.55809985383,1057.18580186301,1037.94366558116,1018.8586982262,999.956593664721,981.261583043753,962.796313317346,944.581754705728,926.637134004734,908.979894596543,891.625680352555,874.588341109776,857.879957806003,841.510884134807,825.489802369566,809.823790598338,794.518399291716,779.577734728886,765.004547490411,750.800324168536,736.965380709191,723.498956171698,710.399305613298,697.663791207126,685.288970805186,673.270683297635,661.604130274801,650.283953618661,639.304308758177,628.658933418511,618.341211776962,608.344234005888,598.660851243144,589.283726078505,580.205378683151,571.418228741289,562.914633366386,554.686921201977,546.727422919322,539.028498331251,531.58256034484,524.382095975523,517.419684642272,510.688013958335,504.179893225124,497.888264828461,491.806213727101,485.92697521337,480.243941115292,474.750664598821,469.440863718065,464.308423850729,459.34739914557
5,0,2,0,0,527895.493723415,527893.058593764,527861.823256316,527822.825498634,527764.392496809,527672.124874012,527524.792322677,527289.278655037,526913.182136479,526313.406424946,525358.427521814,523840.980241747,521436.816966531,517644.622290504,511703.864214589,502495.548035797,488453.638314194,487009.671234427,485201.796563002,483134.41135476,480870.606507266,478447.380271826,475886.192850957,473200.292800232,470399.690942648,467494.32280658,464495.7562779,461417.761267928,458276.058087301,455087.570584152,451869.483884871,448638.340874493,445409.324109688,442195.785625532,439009.020735404,435858.244652168,432750.714568922,429691.940914698,426685.940657221,423735.498059194,420842.41035501,418007.705600914,415231.827310002,412514.785299211,409856.275245686,407255.770887572,404712.593400609,402225.962355931,399795.032264744,397418.918139488,395096.712876928,392827.498710271,390610.35446631,388444.359936265,386328.598332807,384262.157532554,382244.130594732,380273.615893061,378349.717081701,376471.543033024,374638.20782718,372848.830833924,371102.536899184,369398.456634462,367735.726795785,366113.490735081,364530.898904406,362987.109394346,361481.288489072,360012.611222851,358580.261925289,357183.434744731,355821.334141994,354493.1753484,353198.184783961,351935.60043318,350704.672177195,349401.572082295,348112.650986963,346824.733916951,345529.051807316,344219.675534978,342892.530535786,341544.778448636,340174.432442186,338780.120661666,337360.943564842,335916.391223443,334446.296084039,332950.807751046,331430.378676697,329885.754625978,328317.96497891,326728.310262305,325118.34526243,323489.85694635,321844.837308946,320185.451986014,318514.006106406,316832.907462554,315144.629868619,313451.677347982,311756.550000738,310061.713478635,308369.571753469,306682.444040784,305002.54614543,303331.975834389,301672.702240104,300026.5588413,298395.239578116,296780.297731454,295183.147031183,293605.064582141,292047.195174005,290510.556653808,288996.046008359,287504.445926745,286036.431614724,284592.577691133,283173.365049623,281779.187562282,280410.358565902,279067.117090449,277749.633782425,276458.016512998,275192.315664441,273952.529091938,272738.606769679,271550.45513113,270387.941115536,269250.895935764,268139.118582317,267052.379078655,265990.421503114,264952.966791912,263939.715337221,262950.349393599,261984.535305251,261041.925565837,260122.160721826,259224.871129624,258349.678576075,257496.197771281,256664.037722104,255852.802994187,255062.094869813,254291.512408493,253540.653416709,252809.115332895,252096.496033342,251402.394564384
6,0,2,1,0,527895.493723415,527893.058593764,527861.823256316,527822.825498634,527764.392496809,527672.124874012,527524.792322677,527289.278655037,526913.182136479,526313.406424946,525358.427521814,523840.980241747,521436.816966531,517644.622290504,511703.864214589,502495.548035797,488453.638314194,487009.671234427,485201.796563002,483134.41135476,480870.606507266,478447.380271826,475886.192850957,473200.292800232,470399.690942648,467494.32280658,464495.7562779,461417.761267928,458276.058087301,455087.570584152,451869.483884871,448638.340874493,445409.324109688,442195.785625532,439009.020735404,435858.244652168,432750.714568922,429691.940914698,426685.940657221,423735.498059194,420842.41035501,418007.705600914,415231.827310002,412514.785299211,409856.275245686,407255.770887572,404712.593400609,402225.962355931,399795.032264744,397418.918139488,395096.712876928,392827.498710271,390610.35446631,388444.359936265,386328.598332807,384262.157532554,382244.130594732,380273.615893061,378349.717081701,376471.543033024,374638.20782718,372848.830833924,371102.536899184,369398.456634462,367735.726795785,366113.490735081,364530.898904406,362987.109394346,361481.288489072,360012.611222851,358580.261925289,357183.434744731,355821.334141994,354493.1753484,353198.184783961,351935.60043318,350704.672177195,349401.572082295,348112.650986963,346824.733916951,345529.051807316,344219.675534978,342892.530535786,341544.778448636,340174.432442186,338780.120661666,337360.943564842,335916.391223443,334446.296084039,332950.807751046,331430.378676697,329885.754625978,328317.96497891,326728.310262305,325118.34526243,323489.85694635,321844.837308946,320185.451986014,318514.006106406,316832.907462554,315144.629868619,313451.677347982,311756.550000738,310061.713478635,308369.571753469,306682.444040784,305002.54614543,303331.975834389,301672.702240104,300026.5588413,298395.239578116,296780.297731454,295183.147031183,293605.064582141,292047.195174005,290510.556653808,288996.046008359,287504.445926745,286036.431614724,284592.577691133,283173.365049623,281779.187562282,280410.358565902,279067.117090449,277749.633782425,276458.016512998,275192.315664441,273952.529091938,272738.606769679,271550.45513113,270387.941115536,269250.895935764,268139.118582317,267052.379078655,265990.421503114,264952.966791912,263939.715337221,262950.349393599,261984.535305251,261041.925565837,260122.160721826,259224.871129624,258349.678576075,257496.197771281,256664.037722104,255852.802994187,255062.094869813,254291.512408493,253540.653416709,252809.115332895,252096.496033342,251402.394564384
7,0,2,0,1,171228.02725029,171225.592120639,171215.460733112,171202.811553431,171183.858424243,171153.930812789,171106.142528911,171029.752118888,170907.762734796,170713.221530521,170403.467830431,169911.273805881,169131.467605265,167901.444273325,165974.520244614,162987.742213572,158433.156265821,157964.796028439,157378.399965722,156707.829950337,155973.549930649,155187.560533268,154356.822516295,153485.63313603,152577.23946888,151634.864168944,150662.25935623,149663.891392214,148644.859263238,147610.652330966,146566.844704384,145518.802177263,144471.449311904,143429.116928868,142395.468737481,141373.493752758,140365.545893102,139373.412502482,138398.396510849,137441.401012156,136503.008951224,135583.553784868,134683.179369485,133801.888889262,132939.583635077,132096.092910428,131271.196534194,130464.641369129,129676.153175372,128905.444901376,128152.22232223,127416.187754226,126697.042408764,125994.487810064,125308.226592113,124637.962901683,123983.402566557,123344.25313831,122720.223881261,122111.025752293,121516.371397465,120935.975178554,120369.55323357,119816.823570624,119277.506190845,118751.323234787,118237.999145975,117737.260845544,117248.83791227,116772.462763082,116307.870829913,115854.800729468,115412.994423371,114982.197366731,114562.158643779,114152.631089769,113753.371398705,113330.70229611,112912.632245459,112494.887857036,112074.624826843,111649.920004739,111219.451778993,110782.299508477,110337.818751352,109885.564537485,109425.245094423,108956.695023574,108479.859977876,107994.788482508,107501.627293334,107000.618304141,106492.095401122,105976.480418718,105454.2776621,104926.066745811,104392.493786517,103854.261222459,103312.11673737,102766.841314591,102219.237352047,101670.117046221,101120.291321055,100570.559926939,100021.702607967,99474.4716169835,98929.5856648924,98387.7251762373,97849.5288521023,97315.5913933933,96786.4622407567,96262.6452110882,95744.5988569873,95232.737415823,94727.4322076708,94229.0133779235,93737.7718701626,93253.9615547517,92777.8014391271,92309.4779046955,91849.1469324812,91396.9362774914,90952.9475725795,90517.2583486899,90089.9239561401,89670.9793836542,89260.4409730543,88858.3080286555,88464.5643242564,88079.1795109351,87702.1104295593,87333.30233291,86972.6900222322,86620.1989031198,86275.7459656944,85939.24069378,85610.5859076028,85289.678544335,84976.4103805208,84670.6687001893,84372.3369122187,84081.2951202738,83797.420648425,83520.5885253549,83250.6719298629,82987.5426002094,82731.0712096761,82481.1277105727,82237.5816487815,82000.3024508063,81769.159685172,81544.0232999148
8,0,2,1,1,171228.02725029,171225.592120639,171215.460733112,171202.811553431,171183.858424243,171153.930812789,171106.142528911,171029.752118888,170907.762734796,170713.221530521,170403.467830431,169911.273805881,169131.467605265,167901.444273325,165974.520244614,162987.742213572,158433.156265821,157964.796028439,157378.399965722,156707.829950337,155973.549930649,155187.560533268,154356.822516295,153485.63313603,152577.23946888,151634.864168944,150662.25935623,149663.891392214,148644.859263238,147610.652330966,146566.844704384,145518.802177263,144471.449311904,143429.116928868,142395.468737481,141373.493752758,140365.545893102,139373.412502482,138398.396510849,137441.401012156,136503.008951224,135583.553784868,134683.179369485,133801.888889262,132939.583635077,132096.092910428,131271.196534194,130464.641369129,129676.153175372,128905.444901376,128152.22232223,127416.187754226,126697.042408764,125994.487810064,125308.226592113,124637.962901683,123983.402566557,123344.25313831,122720.223881261,122111.025752293,121516.371397465,120935.975178554,120369.55323357,119816.823570624,119277.506190845,118751.323234787,118237.999145975,117737.260845544,117248.83791227,116772.462763082,116307.870829913,115854.800729468,115412.994423371,114982.197366731,114562.158643779,114152.631089769,113753.371398705,113330.70229611,112912.632245459,112494.887857036,112074.624826843,111649.920004739,111219.451778993,110782.299508477,110337.818751352,109885.564537485,109425.245094423,108956.695023574,108479.859977876,107994.788482508,107501.627293334,107000.618304141,106492.095401122,105976.480418718,105454.2776621,104926.066745811,104392.493786517,103854.261222459,103312.11673737,102766.841314591,102219.237352047,101670.117046221,101120.291321055,100570.559926939,100021.702607967,99474.4716169835,98929.5856648924,98387.7251762373,97849.5288521023,97315.5913933933,96786.4622407567,96262.6452110882,95744.5988569873,95232.737415823,94727.4322076708,94229.0133779235,93737.7718701626,93253.9615547517,92777.8014391271,92309.4779046955,91849.1469324812,91396.9362774914,90952.9475725795,90517.2583486899,90089.9239561401,89670.9793836542,89260.4409730543,88858.3080286555,88464.5643242564,88079.1795109351,87702.1104295593,87333.30233291,86972.6900222322,86620.1989031198,86275.7459656944,85939.24069378,85610.5859076028,85289.678544335,84976.4103805208,84670.6687001893,84372.3369122187,84081.2951202738,83797.420648425,83520.5885253549,83250.6719298629,82987.5426002094,82731.0712096761,82481.1277105727,82237.5816487815,82000.3024508063,81769.159685172,81544.0232999148
9,11,2,0,0,292.1211864,289.68605674871,288.867915013689,288.147556023429,287.487455526362,286.859129743687,286.237943465213,285.598593127609,284.91026861282,284.130504966198,283.196523792541,282.012485949549,280.430594914718,278.223674914558,275.047411323125,270.393625359849,263.545193846593,262.380976176908,260.98672493574,259.432853575231,257.762753192614,256.002566675952,254.167876753108,252.268281330816,250.310473317351,248.300218228673,246.243486717097,244.146949918118,242.01802187547,239.864623314293,237.694819660427,235.516450298334,233.336822719451,231.162504953278,228.999218381419,226.851815510566,224.724319410267,222.620001549194,220.54147844547,218.490812742949,216.469609352714,214.479101359487,212.520223420682,210.593672352981,208.699955843367,206.839430786128,205.012332980491,203.218799863497,201.458887789611,199.732585140866,198.039822307758,196.380479367372,194.75439209198,193.161356762137,191.60113413482,190.073452818004,188.578012228356,187.114485254423,185.68252070702,184.281745609748,182.911767362809,181.572175799875,180.262545148234,178.982435897707,177.731396579857,176.508965457769,175.314672125728,174.148039018259,173.008582828313,171.895815834895,170.809247141113,169.748383824185,168.712731999574,167.701797801827,166.715088285181,165.752112247278,164.81238097952,163.894167354356,162.991736673574,162.100231765022,161.216315736418,160.33761006124,159.462350985629,158.589180811113,157.717022915572,156.845008386078,155.972434394543,155.098742137795,154.223505796125,153.346427938414,152.46733765533,151.58618941236,150.703061045667,149.818150078069,148.931767897694,148.044331567189,147.156353439916,146.268428926386,145.381222992931,144.495455524353,143.611886613019,142.73130208578,141.854499595944,140.982276048092,140.115416255705,139.254683172613,138.400809827575,137.55449281441,136.71638736129,135.887103810418,135.067205348556,134.257206853524,133.457574654411,132.668727051229,131.891035426504,131.124825825986,130.370380869281,129.627941899605,128.897711280828,128.179854770516,127.474503922326,126.781758462785,126.101688615988,125.434337356209,124.779722566162,124.137839093204,123.508660697802,122.892141890201,122.288219656275,121.696815074358,121.117834825912,120.551172604482,119.996710427546,119.454319856182,118.923863127765,118.405194206775,117.898159758703,117.402600051907,116.918349792033,116.445238893371,115.983093191308,115.531735099755,115.090984217207,114.660657884857,114.240571699976,113.830539987535,113.430376232882,113.0398934781,112.658904684475,112.287223063394,111.924662377802,111.571037216244
10,11,2,0,1,67.8788136,65.4436839487101,65.2588555529878,65.0961174957363,64.9469925817196,64.8050459709654,64.6647122630266,64.5202750681672,64.3647739974373,64.1886156893125,63.9776177233458,63.7101288450416,63.3527599813596,62.8541892989748,62.1366318405713,61.0852836978136,59.5381378236625,59.2751265690735,58.9601478690416,58.6091089983571,58.2318125456755,57.8341645146308,57.4196852372985,56.9905430002085,56.5482498146011,56.0941081822551,55.6294669478042,55.1558332037466,54.674881874793,54.1884023512876,53.6982167132624,53.2060959751903,52.713690990293,52.2224855581416,51.7337722100151,51.2486471875409,50.7680193521776,50.2926277693953,49.8230635431883,49.3597926504624,48.9031776605963,48.4534971427689,48.0109622477172,47.575730394998,47.1479162774165,46.727600521832,46.3148363982235,45.9096549553281,45.5120689243208,45.1220756805579,44.7396594983867,44.364793285729,43.9974399414979,43.6375534429363,43.2850797420695,42.9399575280626,42.6021188954013,42.2714899455394,41.9479913404708,41.6315388201875,41.3220436915107,41.0194132927649,40.7235514365973,40.4343588321911,40.1517334872101,39.875571089541,39.6057653686812,39.3422084366488,39.0847911083687,38.8334032016011,38.5879338166312,38.3482715960708,38.1143049652587,37.8859223538452,37.6630123992507,37.4454641327513,37.2331671489955,37.0257312683837,36.8218609512496,36.62045890198,36.4207712750972,36.2222607318708,36.0245288183628,35.8272688135982,35.6302374952472,35.4332385650695,35.2361132454569,35.0387352958214,34.8410085181934,34.6428657191832,34.4442682882462,34.2452059385699,34.0456962543114,33.8457838583328,33.6455390970859,33.4450561902107,33.2444508847056,33.043857691212,32.8434268338968,32.6433209436919,32.4437117349186,32.2447767356385,32.0466961456567,31.8496499956318,31.6538155846922,31.4593652735991,31.2664646626687,31.0752711211098,30.885932673118,30.6985872025895,30.5133619404201,30.3303732039142,30.1497263426144,29.971515855697,29.795825643095,29.6227293625988,29.4522908614938,29.2845646622144,29.1195964812764,28.9574237653763,28.7980762341213,28.6415764169746,28.487940178433,28.3371772269195,28.1892916023616,28.0442821407132,27.9021429141375,27.7628636459327,27.6264301004239,27.4928244482254,27.3620256075179,27.2340095623509,27.1087496590055,26.9862168815308,26.8663801076362,26.7492063460812,26.6346609566926,26.5227078541054,26.4133096962687,26.3064280587048,26.2020235954611,26.1000561876307,26.0004850802692,25.9032690084804,25.8083663133935,25.7157350487095,25.6253330784486,25.5371181664911,25.4510480584651,25.367080556499,25.2851735873256,25.2052852641902
