"ego","naics","age","shift","sick","active_emp","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,818018.788836059,817971.133769051,817909.003645772,817811.995631163,817654.456315345,817398.167825621,816983.241802041,816314.724140389,815241.914782446,813526.240107154,810791.856444197,806451.321208076,799597.980553334,788860.620723517,772232.594526458,746932.556890111,744597.430833838,741672.147341374,738325.496430088,734660.242409701,730737.232027891,726592.184219934,722247.384071604,717719.647596263,713025.405888297,708183.471598741,703215.990603836,698148.082810223,693006.690887645,687819.113653977,682611.596059479,677408.208658588,672230.115763329,667095.226329004,662018.162700368,657010.456856946,652080.885604309,647235.870701239,642479.889727911,637815.862516658,633245.493356292,628769.560720741,624388.153798139,620100.859871473,615906.908817686,611805.281890877,607794.791727367,603874.139865027,600041.957148766,596296.831407194,592637.325906641,589061.991283776,585569.372989395,582158.015751105,578826.466135522,575573.273966734,572396.993119796,569296.182027634,566269.404111999,563315.228260445,560432.229410591,557618.989260664,554874.097103461,552196.150763921,549583.757615002,547035.535643017,544550.114535354,542126.13676532,539762.258652587,537457.151381596,535209.501963594,533018.01413208,530881.409164273,528798.426623951,526767.825023399,524788.382404094,508503.873526007,491873.589357342,474175.75129587,455020.98551866,434235.111257503,411800.794292866,387828.091760467,362537.078063311,336242.575430318,309335.363956491,282257.521669364,255472.355279777,229431.606830717,204543.948932093,181149.002074588,159500.095633187,139757.271232962,121990.136526313,106188.478324163,92277.8350813224,80137.0295973935,69615.1877090629,60546.5761681523,52762.3773246487,46099.2577368557,40404.9523557002,35541.4318027801,31386.2086637399,27832.3585506741,24787.7059232166,22173.5457936295,19923.1491408583,17980.2297286377,16297.4753408845,14835.2025430077,13560.1643014131,12444.5095081948,11464.8956227981,10601.7366852624,9838.57248370556,9161.54225230294,8558.94746497094,8020.88958674044,7538.97049877883,7106.04478453635,6716.01500990342,6363.66241200837,6044.5066879679,5754.68974256802,5490.87915240446,5250.18780043271,5030.10685625751,4828.44978908217,4643.30538093636,4472.99831060909,4316.05593335388,4171.18023226512,4037.22406127551,3913.17100930081,3798.11820486421,3691.26168736917,3591.88386624826,3499.34276873283,3413.06278845344,3332.52670789834,3257.26880130036,3186.86885692561,3120.94698393189,3059.15908982906,3001.19293292582,2946.76466885011,2895.61582248516,2847.51062724366,2802.23368213603,2759.58788438226
2,0,1,1,0,0,818021.22396571,818018.788836059,817971.133769051,817909.003645772,817811.995631163,817654.456315345,817398.167825621,816983.241802041,816314.724140389,815241.914782446,813526.240107154,810791.856444197,806451.321208076,799597.980553334,788860.620723517,772232.594526458,746932.556890111,744597.430833838,741672.147341374,738325.496430088,734660.242409701,730737.232027891,726592.184219934,722247.384071604,717719.647596263,713025.405888297,708183.471598741,703215.990603836,698148.082810223,693006.690887645,687819.113653977,682611.596059479,677408.208658588,672230.115763329,667095.226329004,662018.162700368,657010.456856946,652080.885604309,647235.870701239,642479.889727911,637815.862516658,633245.493356292,628769.560720741,624388.153798139,620100.859871473,615906.908817686,611805.281890877,607794.791727367,603874.139865027,600041.957148766,596296.831407194,592637.325906641,589061.991283776,585569.372989395,582158.015751105,578826.466135522,575573.273966734,572396.993119796,569296.182027634,566269.404111999,563315.228260445,560432.229410591,557618.989260664,554874.097103461,552196.150763921,549583.757615002,547035.535643017,544550.114535354,542126.13676532,539762.258652587,537457.151381596,535209.501963594,533018.01413208,530881.409164273,528798.426623951,526767.825023399,524788.382404094,508503.873526007,491873.589357342,474175.75129587,455020.98551866,434235.111257503,411800.794292866,387828.091760467,362537.078063311,336242.575430318,309335.363956491,282257.521669364,255472.355279777,229431.606830717,204543.948932093,181149.002074588,159500.095633187,139757.271232962,121990.136526313,106188.478324163,92277.8350813224,80137.0295973935,69615.1877090629,60546.5761681523,52762.3773246487,46099.2577368557,40404.9523557002,35541.4318027801,31386.2086637399,27832.3585506741,24787.7059232166,22173.5457936295,19923.1491408583,17980.2297286377,16297.4753408845,14835.2025430077,13560.1643014131,12444.5095081948,11464.8956227981,10601.7366852624,9838.57248370556,9161.54225230294,8558.94746497094,8020.88958674044,7538.97049877883,7106.04478453635,6716.01500990342,6363.66241200837,6044.5066879679,5754.68974256802,5490.87915240446,5250.18780043271,5030.10685625751,4828.44978908217,4643.30538093636,4472.99831060909,4316.05593335388,4171.18023226512,4037.22406127551,3913.17100930081,3798.11820486421,3691.26168736917,3591.88386624826,3499.34276873283,3413.06278845344,3332.52670789834,3257.26880130036,3186.86885692561,3120.94698393189,3059.15908982906,3001.19293292582,2946.76466885011,2895.61582248516,2847.51062724366,2802.23368213603,2759.58788438226
3,0,1,0,1,0,2335.27250675705,2332.83737710576,2332.70147372183,2332.52429017078,2332.24764136339,2331.79836854799,2331.06748146287,2329.88418964885,2327.97770166882,2324.91824899747,2320.02546405891,2312.22751063859,2299.84911178802,2280.30465944094,2249.68370710552,2202.26367036628,2130.11267060229,2123.45332558641,2115.11096137304,2105.56693568498,2095.11431321219,2083.92661755733,2072.10571247757,2059.71515089096,2046.80288893865,2033.4157850445,2019.6074893888,2005.44115788991,1990.9884278475,1976.32613474246,1961.5321297239,1946.68125850654,1931.84216583285,1917.07520838267,1902.43145916422,1887.95261838395,1873.67157310172,1859.61335313391,1845.79627214167,1832.23309935053,1818.932161579,1805.89831914166,1793.1337921013,1780.63883480588,1768.41227026328,1756.45190222584,1744.75482541979,1733.31765370487,1722.13668410868,1711.20801205567,1700.52761029579,1690.09138153194,1679.8951924496,1669.93489494508,1660.2063388523,1650.70537924968,1641.42788050536,1632.36971854008,1623.52678227277,1614.89497484957,1606.47021500407,1598.24843872353,1590.22560127518,1582.39767958458,1574.76067490936,1567.31061573631,1560.04356081955,1552.9556022825,1546.0428687116,1539.3015281806,1532.72779115475,1526.31791323446,1520.06819770885,1513.97499789849,1508.03471927379,1502.24382134281,1496.59881930719,1450.15843004343,1402.73195398932,1352.26101287254,1297.63518500083,1238.35773923305,1174.37924160049,1106.01355457588,1033.88828940737,958.901260512921,882.166900011073,804.945932178945,728.559621548435,654.296252370552,583.321282887098,516.603247544356,454.864594582818,398.561732938268,347.893170683457,302.829781703508,263.159215526593,228.535897324599,198.529562056897,172.667569337645,150.468482640887,131.466505382338,115.227405973979,101.357550311717,89.5076270810293,79.3727078230159,70.689925047644,63.2348267745131,56.8171142518358,51.2762696069572,46.4773672029853,42.3072372683592,38.6710654495388,35.4894255690295,32.6957490445124,30.234180362537,28.0577780615653,26.1270138165363,24.4085256078029,22.8740846554522,21.4997410872107,20.2651175046251,19.1528251601639,18.1479811131714,17.237808373474,16.4113043713967,15.658965655454,14.9725587050406,14.3449288026869,13.7698403694084,13.2418429671736,12.7561588916157,12.3085884339325,11.8954298914312,11.5134118169769,11.1596355952811,10.831526404889,10.5267914997721,10.2433844451541,9.97947445415065,9.73342000449908,9.50374608809447,9.28912454170639,9.08835699965852,8.90036008395518,8.7241525068397,8.5588438131073,8.40362453142371,8.25775753885039,8.12057047294936,7.99144905017796,7.8698311700825
4,0,1,1,1,0,2335.27250675705,2332.83737710576,2332.70147372183,2332.52429017078,2332.24764136339,2331.79836854799,2331.06748146287,2329.88418964885,2327.97770166882,2324.91824899747,2320.02546405891,2312.22751063859,2299.84911178802,2280.30465944094,2249.68370710552,2202.26367036628,2130.11267060229,2123.45332558641,2115.11096137304,2105.56693568498,2095.11431321219,2083.92661755733,2072.10571247757,2059.71515089096,2046.80288893865,2033.4157850445,2019.6074893888,2005.44115788991,1990.9884278475,1976.32613474246,1961.5321297239,1946.68125850654,1931.84216583285,1917.07520838267,1902.43145916422,1887.95261838395,1873.67157310172,1859.61335313391,1845.79627214167,1832.23309935053,1818.932161579,1805.89831914166,1793.1337921013,1780.63883480588,1768.41227026328,1756.45190222584,1744.75482541979,1733.31765370487,1722.13668410868,1711.20801205567,1700.52761029579,1690.09138153194,1679.8951924496,1669.93489494508,1660.2063388523,1650.70537924968,1641.42788050536,1632.36971854008,1623.52678227277,1614.89497484957,1606.47021500407,1598.24843872353,1590.22560127518,1582.39767958458,1574.76067490936,1567.31061573631,1560.04356081955,1552.9556022825,1546.0428687116,1539.3015281806,1532.72779115475,1526.31791323446,1520.06819770885,1513.97499789849,1508.03471927379,1502.24382134281,1496.59881930719,1450.15843004343,1402.73195398932,1352.26101287254,1297.63518500083,1238.35773923305,1174.37924160049,1106.01355457588,1033.88828940737,958.901260512921,882.166900011073,804.945932178945,728.559621548435,654.296252370552,583.321282887098,516.603247544356,454.864594582818,398.561732938268,347.893170683457,302.829781703508,263.159215526593,228.535897324599,198.529562056897,172.667569337645,150.468482640887,131.466505382338,115.227405973979,101.357550311717,89.5076270810293,79.3727078230159,70.689925047644,63.2348267745131,56.8171142518358,51.2762696069572,46.4773672029853,42.3072372683592,38.6710654495388,35.4894255690295,32.6957490445124,30.234180362537,28.0577780615653,26.1270138165363,24.4085256078029,22.8740846554522,21.4997410872107,20.2651175046251,19.1528251601639,18.1479811131714,17.237808373474,16.4113043713967,15.658965655454,14.9725587050406,14.3449288026869,13.7698403694084,13.2418429671736,12.7561588916157,12.3085884339325,11.8954298914312,11.5134118169769,11.1596355952811,10.831526404889,10.5267914997721,10.2433844451541,9.97947445415065,9.73342000449908,9.50374608809447,9.28912454170639,9.08835699965852,8.90036008395518,8.7241525068397,8.5588438131073,8.40362453142371,8.25775753885039,8.12057047294936,7.99144905017796,7.8698311700825
5,0,2,0,0,0,527895.493723415,527893.058593764,527861.823256295,527822.825498587,527764.392496724,527672.12487387,527524.792322446,527289.278654668,526913.182135894,526313.406424025,525358.42752037,523840.980244853,521436.816978244,517644.622305233,511703.864255346,502495.548170524,488453.638789374,487009.671727777,485201.797078307,483134.411894465,480870.607072897,478447.380864234,475886.193470368,473200.293446779,470399.69161549,467494.323504795,464495.75700005,461417.762012316,458276.058852094,455087.571367461,451869.484684786,448638.341689134,445409.324937217,442195.786464239,439009.021583796,435858.245508909,432750.715432825,429691.941784748,426685.941532535,423735.498938974,420842.411238643,418007.706487843,415231.828199695,412514.786191179,409856.276139499,407255.771782783,404712.594296891,402225.963252932,399795.033162116,397418.919036981,395096.713774262,392827.499607174,390610.355362574,388444.360831668,386328.599227136,384262.158425635,382244.131486391,380273.616783133,378349.717970044,376471.5439195,374638.208711669,372848.831716311,371102.537779367,369398.457512348,367735.727671289,366113.491608131,364530.899774934,362987.11026229,361481.289354382,360012.612085483,358580.2627852,357183.43560189,355821.334996373,354493.176199976,353198.185632715,351935.601279099,350704.673020269,341993.514362166,333060.141851793,323514.53768259,313133.305552008,301798.725542286,289469.245743147,276165.929266206,261966.098336435,246998.846321892,231439.186041996,215499.119708217,199415.254839419,183433.743767333,167794.185266194,152714.521046094,138378.827443328,124929.309610416,112463.007947378,101032.850888465,90652.1516435236,81301.3096608415,72935.4768980183,65492.1803185889,58898.1752079425,53075.1472265749,47944.1124987685,43428.5859905075,39456.6678799763,35962.264611729,32885.6471930391,30173.5442925089,27778.9195665583,25660.5605079662,23782.5637994138,22113.7823802363,20627.2735995924,19299.7756733356,18111.2251133304,17044.3222575792,16084.1466545676,15217.8203145583,14434.2156332132,13723.7036208771,13077.9379988249,12489.6706100962,11952.59402395,11461.2075175751,11010.7030326509,10596.8681616513,10216.0036126424,9864.85291980688,9540.5425434366,9240.53078577822,8962.56409308175,8704.63969598862,8464.97356740188,8241.97290551916,8034.21244894135,7840.41408160276,7659.42916764054,7490.22329491424,7331.86302093402,7183.50435559772,7044.3827243277,6913.80420568623,6791.13786455162,6675.80902988353,6567.29338894252,6465.11178774752,6368.82564430025,6278.03289441326,6192.36440111561,6111.48076871177,6035.06951055397,5962.84252656778
6,0,2,1,0,0,527895.493723415,527893.058593764,527861.823256295,527822.825498587,527764.392496724,527672.12487387,527524.792322446,527289.278654668,526913.182135894,526313.406424025,525358.42752037,523840.980244853,521436.816978244,517644.622305233,511703.864255346,502495.548170524,488453.638789374,487009.671727777,485201.797078307,483134.411894465,480870.607072897,478447.380864234,475886.193470368,473200.293446779,470399.69161549,467494.323504795,464495.75700005,461417.762012316,458276.058852094,455087.571367461,451869.484684786,448638.341689134,445409.324937217,442195.786464239,439009.021583796,435858.245508909,432750.715432825,429691.941784748,426685.941532535,423735.498938974,420842.411238643,418007.706487843,415231.828199695,412514.786191179,409856.276139499,407255.771782783,404712.594296891,402225.963252932,399795.033162116,397418.919036981,395096.713774262,392827.499607174,390610.355362574,388444.360831668,386328.599227136,384262.158425635,382244.131486391,380273.616783133,378349.717970044,376471.5439195,374638.208711669,372848.831716311,371102.537779367,369398.457512348,367735.727671289,366113.491608131,364530.899774934,362987.11026229,361481.289354382,360012.612085483,358580.2627852,357183.43560189,355821.334996373,354493.176199976,353198.185632715,351935.601279099,350704.673020269,341993.514362166,333060.141851793,323514.53768259,313133.305552008,301798.725542286,289469.245743147,276165.929266206,261966.098336435,246998.846321892,231439.186041996,215499.119708217,199415.254839419,183433.743767333,167794.185266194,152714.521046094,138378.827443328,124929.309610416,112463.007947378,101032.850888465,90652.1516435236,81301.3096608415,72935.4768980183,65492.1803185889,58898.1752079425,53075.1472265749,47944.1124987685,43428.5859905075,39456.6678799763,35962.264611729,32885.6471930391,30173.5442925089,27778.9195665583,25660.5605079662,23782.5637994138,22113.7823802363,20627.2735995924,19299.7756733356,18111.2251133304,17044.3222575792,16084.1466545676,15217.8203145583,14434.2156332132,13723.7036208771,13077.9379988249,12489.6706100962,11952.59402395,11461.2075175751,11010.7030326509,10596.8681616513,10216.0036126424,9864.85291980688,9540.5425434366,9240.53078577822,8962.56409308175,8704.63969598862,8464.97356740188,8241.97290551916,8034.21244894135,7840.41408160276,7659.42916764054,7490.22329491424,7331.86302093402,7183.50435559772,7044.3827243277,6913.80420568623,6791.13786455162,6675.80902988353,6567.29338894252,6465.11178774752,6368.82564430025,6278.03289441326,6192.36440111561,6111.48076871177,6035.06951055397,5962.84252656778
7,0,2,0,1,0,171228.02725029,171225.592120639,171215.460733105,171202.811553415,171183.858424215,171153.930812742,171106.142528836,171029.752118768,170907.762734606,170713.221530223,170403.467829963,169911.273806888,169131.467609064,167901.444278102,165974.520257834,162987.742257271,158433.156419949,157964.79618846,157378.400132864,156707.830125394,155973.550114115,155187.560725419,154356.822717205,153485.633345742,152577.239687121,151634.864395414,150662.259590464,149663.891633661,148644.859511304,147610.652585037,146566.844963842,145518.802441497,144471.449580318,143429.117200908,142395.469012662,141373.494030647,140365.546173315,139373.412784689,138398.396794763,137441.401297519,136503.009237836,135583.554072549,134683.179658063,133801.889178578,132939.583924991,132096.093200795,131271.196824908,130464.641660077,129676.153466441,128905.445192484,128152.222613286,127416.188045142,126697.042699473,125994.488100494,125308.226882195,124637.96319136,123983.402855772,123344.25342701,122720.224169401,122111.026039828,121516.371684355,120935.975464762,120369.553519063,119816.823855372,119277.50647482,118751.323517966,118237.999428336,117737.261127067,117248.838192939,116772.463042883,116307.871108831,115854.801007493,115412.994700495,114982.197642945,114562.158919078,114152.631364148,113753.371672162,110927.849958987,108030.251718545,104934.072105245,101566.851056277,97890.4053405989,93891.2573223037,89576.2389604399,84970.4302281943,80115.7034101608,75068.8250675695,69898.5595147051,64681.6519594429,59497.9435326073,54425.1496754642,49533.961217815,44884.0845323126,40521.6447972417,36478.1177057998,32770.6709444084,29403.6227404101,26370.6155256981,23657.1025421926,21242.8202488482,19104.011239833,17215.2737430742,15550.9888180165,14086.3480398766,12798.0302276628,11664.5975011408,10666.6763679341,9786.98792067086,9010.27561136364,8323.17189172432,7714.03128419464,7172.75103440361,6690.59211601149,6260.00941604621,5874.49520992208,5528.43823827363,5216.9989543334,4936.00029727028,4681.83295529152,4451.37370215195,4241.91536734908,4051.10696341088,3876.90263361351,3717.51818226598,3571.39408396919,3437.16401658426,3313.62809039584,3199.73004925755,3094.53784162976,2997.22705109758,2907.06672265235,2823.40724485532,2745.6699567617,2673.33822261108,2605.94974947686,2543.08997199094,2484.38632254226,2429.50328273675,2378.13808435191,2330.0169736366,2284.89195578837,2242.53795281629,2202.75031675607,2165.34264926896,2130.14488606296,2097.0016103869,2065.77056527961,2036.32133857245,2008.53419825648,1982.29905910138,1957.51456400383,1934.08726580622
8,0,2,1,1,0,171228.02725029,171225.592120639,171215.460733105,171202.811553415,171183.858424215,171153.930812742,171106.142528836,171029.752118768,170907.762734606,170713.221530223,170403.467829963,169911.273806888,169131.467609064,167901.444278102,165974.520257834,162987.742257271,158433.156419949,157964.79618846,157378.400132864,156707.830125394,155973.550114115,155187.560725419,154356.822717205,153485.633345742,152577.239687121,151634.864395414,150662.259590464,149663.891633661,148644.859511304,147610.652585037,146566.844963842,145518.802441497,144471.449580318,143429.117200908,142395.469012662,141373.494030647,140365.546173315,139373.412784689,138398.396794763,137441.401297519,136503.009237836,135583.554072549,134683.179658063,133801.889178578,132939.583924991,132096.093200795,131271.196824908,130464.641660077,129676.153466441,128905.445192484,128152.222613286,127416.188045142,126697.042699473,125994.488100494,125308.226882195,124637.96319136,123983.402855772,123344.25342701,122720.224169401,122111.026039828,121516.371684355,120935.975464762,120369.553519063,119816.823855372,119277.50647482,118751.323517966,118237.999428336,117737.261127067,117248.838192939,116772.463042883,116307.871108831,115854.801007493,115412.994700495,114982.197642945,114562.158919078,114152.631364148,113753.371672162,110927.849958987,108030.251718545,104934.072105245,101566.851056277,97890.4053405989,93891.2573223037,89576.2389604399,84970.4302281943,80115.7034101608,75068.8250675695,69898.5595147051,64681.6519594429,59497.9435326073,54425.1496754642,49533.961217815,44884.0845323126,40521.6447972417,36478.1177057998,32770.6709444084,29403.6227404101,26370.6155256981,23657.1025421926,21242.8202488482,19104.011239833,17215.2737430742,15550.9888180165,14086.3480398766,12798.0302276628,11664.5975011408,10666.6763679341,9786.98792067086,9010.27561136364,8323.17189172432,7714.03128419464,7172.75103440361,6690.59211601149,6260.00941604621,5874.49520992208,5528.43823827363,5216.9989543334,4936.00029727028,4681.83295529152,4451.37370215195,4241.91536734908,4051.10696341088,3876.90263361351,3717.51818226598,3571.39408396919,3437.16401658426,3313.62809039584,3199.73004925755,3094.53784162976,2997.22705109758,2907.06672265235,2823.40724485532,2745.6699567617,2673.33822261108,2605.94974947686,2543.08997199094,2484.38632254226,2429.50328273675,2378.13808435191,2330.0169736366,2284.89195578837,2242.53795281629,2202.75031675607,2165.34264926896,2130.14488606296,2097.0016103869,2065.77056527961,2036.32133857245,2008.53419825648,1982.29905910138,1957.51456400383,1934.08726580622
9,11,2,0,0,1,292.1211864,289.68605674871,288.867915013124,288.147556022359,287.487455524812,286.859129741661,286.2379434627,285.598593124582,284.910268609238,284.130504961997,283.19652378763,282.012485946341,280.430594915526,278.223674917089,275.047411335005,270.393625408728,263.545194040647,262.380976381475,260.986725153307,259.432853807416,257.762753440442,256.002566940027,254.167877033654,252.268281628037,250.310473630844,248.300218558022,246.243487061612,244.146950276983,242.018022247775,239.864623699078,237.694820056701,235.5164507051,233.336823135714,231.162505378089,228.999218813913,226.851815949941,224.724319855783,222.620002000184,220.541478901326,218.490813203101,216.469609816673,214.479101826799,212.52022389091,210.593672825711,208.699956318222,206.83943126273,205.012333458521,203.218800342636,201.458888269551,199.732585621344,198.039822788509,196.380479848144,194.754392572554,193.161357242297,191.601134614361,190.073453296745,188.57801270612,187.114485731048,185.682521182357,184.281746083658,182.911767835165,181.57217627056,180.262545617138,178.982436364732,177.731397044914,176.508965920775,175.31467258661,174.14803947695,173.008583284754,171.895816289033,170.809247592902,169.748384273584,168.712732446547,167.701798246344,166.715088727218,165.752112686813,164.812381416537,161.182163891306,157.466123596395,153.510622175645,149.224401355524,144.555287032198,139.478984930171,133.9941445723,128.120389348677,121.897285298609,115.38297823184,108.651753235102,101.790234596981,94.892359877853,88.0536075399097,81.3651593753364,74.9087183934613,68.7525618006448,62.9491694650632,57.5344643242328,52.5284772629931,47.937079718632,43.7543646914406,39.9652932358337,36.5482910166618,33.4775864683766,30.7251707226902,28.2623441607647,26.0608622652476,24.0937309631077,22.3357101187653,20.7635922730568,19.3563120782889,18.0949389766154,16.96259067708,15.9442996769753,15.0268533951609,14.198625904789,13.449409498267,12.7702538568214,12.1533166878831,11.5917275206999,11.0794654079691,10.6112502268357,10.182446896995,9.78898146933702,9.42726796363041,9.09414479036585,8.78681962754693,8.50282170726024,8.23996056170637,7.99629035974324,7.7700790835339,7.5597818898307,7.36401804375567,7.18155096144992,7.01127090518124,6.8521799655529,6.70337900682529,6.56405631692905,6.43347769206004,6.31097779601274,6.1959525938556,6.0878527249082,5.98617768416146,5.89047070586909,5.80031425570584,5.71532605184044,5.63515554671086,5.55948081016736,5.48800576332278,5.42045771928526,5.35658519270376,5.29615594543559,5.23895523984672,5.1847842749868
10,11,2,0,1,1,67.8788136,65.4436839487101,65.2588555528603,65.0961174954945,64.9469925813694,64.8050459705078,64.664712262459,64.5202750674836,64.364773996628,64.1886156883633,63.9776177222364,63.7101288443168,63.3527599815422,62.8541892995467,62.1366318432552,61.0852837088561,59.5381378675017,59.2751266152877,58.9601479181927,58.6091090508105,58.2318126016629,57.8341645742887,57.4196853006773,56.9905430673544,56.5482498854229,56.0941082566591,55.6294670256345,55.1558332848185,54.6748819589013,54.1884024382152,53.6982168027855,53.2060960670838,52.7136910843319,52.2224856541116,51.7337723077207,51.2486472868011,50.7680194528251,50.2926278712795,49.8230636461716,49.3597927544162,48.9031777654105,48.4534972483405,48.0109623539474,47.5757305017935,47.1479163846919,46.7276006295023,46.3148365062164,45.9096550635715,45.512069032745,45.1220757891037,44.7396596069943,44.3647933943414,43.9974400500656,43.6375535514104,43.2850798504038,42.939957636216,42.6021190033342,42.2714900532149,41.9479914478555,41.6315389272497,41.3220437982219,41.0194133990983,40.7235515425286,40.4343589376978,40.1517335922721,39.8755711941398,39.6057654728001,39.3422085402727,39.0847912114843,38.8334033041965,38.5879339186959,38.3482716975955,38.1143050662354,37.8859224542672,37.6630124991123,37.4454642320477,37.233167247723,36.4130559484333,35.5735562178274,34.6799592399694,33.7116486356047,32.656837625625,31.5100378309722,30.2709441620594,28.9439897868258,27.5381131657572,26.0664501606152,24.5457826966085,22.995680278145,21.4373645687078,19.8924053406697,18.3814016951979,16.9228113584947,15.5320590008535,14.2210004773512,12.9977512264583,11.8668364742468,10.8295826514413,9.88465529332379,9.02865691500033,8.25671360577331,7.56300324838401,6.94119829105254,6.38481513285672,5.88747298596145,5.44307355345948,5.04591477473308,4.69075379605357,4.37283169332167,4.08787181802145,3.83206025060818,3.60201564602275,3.39475311781947,3.20764622449545,3.03838891792048,2.88495920974054,2.74558542850525,2.61871544940219,2.50298906553438,2.39721343146353,2.30034142488782,2.21145269002293,2.12973710932456,2.054480440392,1.98505186294944,1.92089319978859,1.8615095969839,1.80646146707399,1.75535752568298,1.7078487735032,1.6636232853492,1.62240170154401,1.58393331852866,1.54799269615631,1.51437670847803,1.48290197963955,1.45340264386794,1.4257283934375,1.39974276934294,1.37532166417243,1.35235200761808,1.33073061061558,1.31036314696669,1.29116325445008,1.27305174001064,1.25595587562269,1.23980877338237,1.22454882992855,1.21011923159193,1.19646751288699,1.18354516191085,1.17130726705571
