"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,0,818021.22396571,817922.048736017,817800.512124451,817661.785643498,817475.528290955,817208.028328387,816813.807007139,816226.579660422,815347.262351581,814026.730907786,812040.555337993,809052.199512998,804560.530964246,797827.842746325,787787.664270323,772941.586597557,751277.462073342,748671.05524648,745440.605659108,741741.229178286,737663.272298447,733257.131160754,728550.786047922,723562.199166363,718307.745106929,712807.325528678,707086.645351649,701177.229519985,695114.89731068,688937.472096263,682682.410348222,676384.822683056,670076.116486603,663783.285891841,657528.747120266,651330.566239443,645202.922947905,639156.683037861,633199.987297576,627338.79967909,621577.384857259,615918.704316376,610364.732700584,604916.70268537,599575.289716433,594340.748289416,589213.010777264,584191.758108966,579276.46994263,574466.460297624,569760.903146546,565158.851260023,560659.250639849,556260.952145243,551962.721377455,547763.247497144,543661.151387138,539654.993383934,535743.280689654,531924.474503242,528196.996870208,524559.23722974,521009.558632073,517546.30360004,514167.799613863,510872.364205626,507658.309657269,504523.947303057,501467.591443427,498487.562882331,495582.192103754,492749.822106115,489988.810915015,487297.533795576,484674.385186506,482117.780377656,479626.156951835,472173.443900926,464830.465241794,457504.88973004,450142.536163793,442714.143347382,435206.745434193,427618.017456447,419952.553156808,412219.400899946,404430.421999143,396599.191436824,388740.250660056,380868.59413589,372999.309836479,365147.321838871,357327.201918154,349553.026928414,341838.271447161,334195.722613204,326637.414085922,319174.575499369,311817.594099309,304575.988544361,297458.391899147,290472.544565372,283625.296692939,276922.617706084,270369.613768612,263970.552015293,257728.89017772,251647.311790669,245727.765416709,239971.507242472,234379.146320949,228950.691545889,223685.599707672,218582.823884404,213640.861598894,208857.802163585,204231.372758614,199758.982835278,195437.766543051,191264.622917085,187236.253642735,183349.198278132,179599.866859118,175984.569865137,172499.545656869,169140.985339154,165905.054292325,162787.912784532,159785.733558718,156894.717212364,154111.105650979,151431.193703672,148851.339025893,146367.970426532,143977.594615181,141676.802206928,139462.271932876,137330.773844518,135279.17193371,133304.42579692,131403.59155213,129573.822121187,127812.366988111,126116.571486089,124483.875681745,122911.812930184,121398.008134483,119940.175797425,118536.11792274,117183.721687602,115880.957044635,114625.874250252
2,0,1,0,0,1,818021.22396571,817922.048736017,817800.512124451,817661.785643498,817475.528290955,817208.028328387,816813.807007139,816226.579660422,815347.262351581,814026.730907786,812040.555337993,809052.199512998,804560.530964246,797827.842746325,787787.664270323,772941.586597557,751277.462073342,748671.05524648,745440.605659108,741741.229178286,737663.272298447,733257.131160754,728550.786047922,723562.199166363,718307.745106929,712807.325528678,707086.645351649,701177.229519985,695114.89731068,688937.472096263,682682.410348222,676384.822683056,670076.116486603,663783.285891841,657528.747120266,651330.566239443,645202.922947905,639156.683037861,633199.987297576,627338.79967909,621577.384857259,615918.704316376,610364.732700584,604916.70268537,599575.289716433,594340.748289416,589213.010777264,584191.758108966,579276.46994263,574466.460297624,569760.903146546,565158.851260023,560659.250639849,556260.952145243,551962.721377455,547763.247497144,543661.151387138,539654.993383934,535743.280689654,531924.474503242,528196.996870208,524559.23722974,521009.558632073,517546.30360004,514167.799613863,510872.364205626,507658.309657269,504523.947303057,501467.591443427,498487.562882331,495582.192103754,492749.822106115,489988.810915015,487297.533795576,484674.385186506,482117.780377656,479626.156951835,472173.443900926,464830.465241794,457504.88973004,450142.536163793,442714.143347382,435206.745434193,427618.017456447,419952.553156808,412219.400899946,404430.421999143,396599.191436824,388740.250660056,380868.59413589,372999.309836479,365147.321838871,357327.201918154,349553.026928414,341838.271447161,334195.722613204,326637.414085922,319174.575499369,311817.594099309,304575.988544361,297458.391899147,290472.544565372,283625.296692939,276922.617706084,270369.613768612,263970.552015293,257728.89017772,251647.311790669,245727.765416709,239971.507242472,234379.146320949,228950.691545889,223685.599707672,218582.823884404,213640.861598894,208857.802163585,204231.372758614,199758.982835278,195437.766543051,191264.622917085,187236.253642735,183349.198278132,179599.866859118,175984.569865137,172499.545656869,169140.985339154,165905.054292325,162787.912784532,159785.733558718,156894.717212364,154111.105650979,151431.193703672,148851.339025893,146367.970426532,143977.594615181,141676.802206928,139462.271932876,137330.773844518,135279.17193371,133304.42579692,131403.59155213,129573.822121187,127812.366988111,126116.571486089,124483.875681745,122911.812930184,121398.008134483,119940.175797425,118536.11792274,117183.721687602,115880.957044635,114625.874250252
3,0,1,1,0,0,2335.27250675705,2334.98938306726,2334.64242250042,2334.24638859881,2333.71466440654,2332.9510102496,2331.82559420156,2330.14918796927,2327.63892848469,2323.86909869952,2318.19899984898,2309.66789454992,2296.84515870388,2277.62479958452,2248.96227583694,2206.57995615296,2144.73359703395,2137.29287297218,2128.07064268667,2117.50972820828,2105.86804910971,2093.28947540246,2079.85388470223,2065.61255519785,2050.61223278136,2034.90973235668,2018.57843587442,2001.70834018695,1984.40170153205,1966.76649740392,1948.90965787419,1930.93141610919,1912.92143335794,1894.9567719933,1877.10142544753,1859.40696841043,1841.91388083433,1824.65318219044,1807.64811265695,1790.91569801856,1774.46811299355,1758.31381197483,1742.45843214154,1726.90549251384,1711.65692134215,1696.71344515612,1682.07487089524,1667.74028768124,1653.70821005129,1639.97667968004,1626.54333843907,1613.40548219474,1600.56010201165,1588.00391734303,1575.73340424919,1563.74482056918,1552.03422922372,1540.59752028694,1529.43043214588,1518.52857185853,1507.88743470835,1497.50242289485,1487.36886328283,1477.48202413581,1467.83713077395,1458.42938011763,1449.25395409921,1440.30603194565,1431.58080135168,1423.07346857816,1414.77926752033,1406.69346779941,1398.81138193595,1391.12837166561,1383.63985346042,1376.34130331791,1369.22826087715,1347.95238761292,1326.98978214745,1306.07685887899,1285.05894227173,1263.85249798235,1242.42051134151,1220.75634507236,1198.87311331012,1176.79664716604,1154.56080810728,1132.20434975329,1109.76878476973,1087.29691909563,1064.83182560676,1042.41610929404,1020.09136940299,997.897792287416,975.873844932624,954.056031836083,932.478706475526,911.173927011426,890.171346769078,869.498139446576,849.178950563953,829.235877282948,809.688475290216,790.553785992379,771.846386375457,753.578458180245,735.759872477668,718.398290175296,701.499273995048,685.066410076281,669.101437132692,653.604380553996,638.573689594987,624.006375521578,609.898149088487,596.243555698708,583.036106946335,570.268407378796,557.932275616754,546.018859080663,534.518741800272,523.422044967402,512.718520015939,502.397634167921,492.448648762021,482.860690231775,473.622811572848,464.724051186743,456.153483087774,447.900260808899,439.953655808507,432.303090630335,424.938167173659,417.84869046532,411.024687921715,404.456426491159,398.134424674014,392.049461670469,386.192584859993,380.555114552421,375.128646605489,369.905053230895,364.876482304315,360.035355329937,355.374364255282,350.886467346178,346.564884217981,342.403090273702,338.394810712504,334.534013885192,330.814904448463,327.231916308845
4,0,1,1,0,1,2335.27250675705,2334.98938306726,2334.64242250042,2334.24638859881,2333.71466440654,2332.9510102496,2331.82559420156,2330.14918796927,2327.63892848469,2323.86909869952,2318.19899984898,2309.66789454992,2296.84515870388,2277.62479958452,2248.96227583694,2206.57995615296,2144.73359703395,2137.29287297218,2128.07064268667,2117.50972820828,2105.86804910971,2093.28947540246,2079.85388470223,2065.61255519785,2050.61223278136,2034.90973235668,2018.57843587442,2001.70834018695,1984.40170153205,1966.76649740392,1948.90965787419,1930.93141610919,1912.92143335794,1894.9567719933,1877.10142544753,1859.40696841043,1841.91388083433,1824.65318219044,1807.64811265695,1790.91569801856,1774.46811299355,1758.31381197483,1742.45843214154,1726.90549251384,1711.65692134215,1696.71344515612,1682.07487089524,1667.74028768124,1653.70821005129,1639.97667968004,1626.54333843907,1613.40548219474,1600.56010201165,1588.00391734303,1575.73340424919,1563.74482056918,1552.03422922372,1540.59752028694,1529.43043214588,1518.52857185853,1507.88743470835,1497.50242289485,1487.36886328283,1477.48202413581,1467.83713077395,1458.42938011763,1449.25395409921,1440.30603194565,1431.58080135168,1423.07346857816,1414.77926752033,1406.69346779941,1398.81138193595,1391.12837166561,1383.63985346042,1376.34130331791,1369.22826087715,1347.95238761292,1326.98978214745,1306.07685887899,1285.05894227173,1263.85249798235,1242.42051134151,1220.75634507236,1198.87311331012,1176.79664716604,1154.56080810728,1132.20434975329,1109.76878476973,1087.29691909563,1064.83182560676,1042.41610929404,1020.09136940299,997.897792287416,975.873844932624,954.056031836083,932.478706475526,911.173927011426,890.171346769078,869.498139446576,849.178950563953,829.235877282948,809.688475290216,790.553785992379,771.846386375457,753.578458180245,735.759872477668,718.398290175296,701.499273995048,685.066410076281,669.101437132692,653.604380553996,638.573689594987,624.006375521578,609.898149088487,596.243555698708,583.036106946335,570.268407378796,557.932275616754,546.018859080663,534.518741800272,523.422044967402,512.718520015939,502.397634167921,492.448648762021,482.860690231775,473.622811572848,464.724051186743,456.153483087774,447.900260808899,439.953655808507,432.303090630335,424.938167173659,417.84869046532,411.024687921715,404.456426491159,398.134424674014,392.049461670469,386.192584859993,380.555114552421,375.128646605489,369.905053230895,364.876482304315,360.035355329937,355.374364255282,350.886467346178,346.564884217981,342.403090273702,338.394810712504,334.534013885192,330.814904448463,327.231916308845
5,0,2,0,0,0,527895.493723415,527831.492747267,527768.17498847,527695.672169357,527597.758823139,527456.288930235,527246.628488348,526932.716008208,526460.480292044,525748.347320693,524673.287038533,523050.417100628,520603.761344546,516925.822408984,511425.042501623,503265.168599852,491312.35067222,489702.361419822,487707.469650591,485423.376092037,482905.30777845,480183.659536101,477275.007170261,474189.872704154,470937.990616488,467531.489934451,463986.293253143,460322.096379361,456561.37909908,452727.936714431,448845.363503962,444935.786790432,441018.99699536,437111.990272359,433228.859265008,429380.934984512,425577.080347647,421824.054156532,418126.886500855,414489.228834447,410913.659383316,407401.936705559,403955.202324388,400574.137579471,397259.081868276,394010.119702407,390827.143609454,387709.898844233,384658.014824428,381671.027138967,378748.393042905,375889.502578644,373093.686847415,370360.224483128,367688.34703079,365077.243676951,362526.065608037,360033.930147462,357599.924747915,355223.110865948,352902.527718756,350637.195908338,348426.120893361,346268.296288896,344162.706977037,342108.332015817,340104.147338524,338149.128240076,336242.251651005,334382.498203218,332568.854094133,330800.312757973,329075.8763544,327394.557085461,325755.37835254,324157.37576511,322599.598012624,320945.939854265,319316.219825797,317697.689438989,316082.153862793,314464.401336137,312841.189545504,311210.589991076,309571.563405341,307923.683829017,306266.958526182,304601.710005386,302928.497426718,301248.063531207,299561.297697328,297869.209170668,296172.906641293,294473.581605021,292772.494257812,291070.960565901,289370.34021132,287672.025125554,285977.428307796,284287.973060918,282605.082509278,280930.169586661,279264.62761974,277609.821375988,275967.078879762,274337.684005872,272722.869793784,271123.812702249,269541.627689998,267977.364166399,266432.002813964,264906.453226778,263401.552352642,261918.063648458,260456.676951473,259018.008950678,257602.604216487,256210.936715374,254843.411747501,253500.368238634,252182.081324082,250888.765167741,249620.575959756,248377.615043296,247159.93214327,245967.528618615,244800.360642499,243658.342519891,242541.349876659,241449.222768573,240381.768703551,239338.765563772,238319.964412216,237325.09217279,236353.854119025,235405.936444375,234481.008458711,233578.72465751,232698.726780414,231840.64568863,231004.10310125,230188.713203055,229394.084136803,228619.819377332,227865.518992053,227130.780797542,226415.201418394,225718.377250375,225039.905303143,224379.384018296,223736.413976504,223110.598530238
6,0,2,0,0,1,527895.493723415,527831.492747267,527768.17498847,527695.672169357,527597.758823139,527456.288930235,527246.628488348,526932.716008208,526460.480292044,525748.347320693,524673.287038533,523050.417100628,520603.761344546,516925.822408984,511425.042501623,503265.168599852,491312.35067222,489702.361419822,487707.469650591,485423.376092037,482905.30777845,480183.659536101,477275.007170261,474189.872704154,470937.990616488,467531.489934451,463986.293253143,460322.096379361,456561.37909908,452727.936714431,448845.363503962,444935.786790432,441018.99699536,437111.990272359,433228.859265008,429380.934984512,425577.080347647,421824.054156532,418126.886500855,414489.228834447,410913.659383316,407401.936705559,403955.202324388,400574.137579471,397259.081868276,394010.119702407,390827.143609454,387709.898844233,384658.014824428,381671.027138967,378748.393042905,375889.502578644,373093.686847415,370360.224483128,367688.34703079,365077.243676951,362526.065608037,360033.930147462,357599.924747915,355223.110865948,352902.527718756,350637.195908338,348426.120893361,346268.296288896,344162.706977037,342108.332015817,340104.147338524,338149.128240076,336242.251651005,334382.498203218,332568.854094133,330800.312757973,329075.8763544,327394.557085461,325755.37835254,324157.37576511,322599.598012624,320945.939854265,319316.219825797,317697.689438989,316082.153862793,314464.401336137,312841.189545504,311210.589991076,309571.563405341,307923.683829017,306266.958526182,304601.710005386,302928.497426718,301248.063531207,299561.297697328,297869.209170668,296172.906641293,294473.581605021,292772.494257812,291070.960565901,289370.34021132,287672.025125554,285977.428307796,284287.973060918,282605.082509278,280930.169586661,279264.62761974,277609.821375988,275967.078879762,274337.684005872,272722.869793784,271123.812702249,269541.627689998,267977.364166399,266432.002813964,264906.453226778,263401.552352642,261918.063648458,260456.676951473,259018.008950678,257602.604216487,256210.936715374,254843.411747501,253500.368238634,252182.081324082,250888.765167741,249620.575959756,248377.615043296,247159.93214327,245967.528618615,244800.360642499,243658.342519891,242541.349876659,241449.222768573,240381.768703551,239338.765563772,238319.964412216,237325.09217279,236353.854119025,235405.936444375,234481.008458711,233578.72465751,232698.726780414,231840.64568863,231004.10310125,230188.713203055,229394.084136803,228619.819377332,227865.518992053,227130.780797542,226415.201418394,225718.377250375,225039.905303143,224379.384018296,223736.413976504,223110.598530238
7,0,2,1,0,0,171228.02725029,171207.26791247,171186.730182829,171163.213189723,171131.45404551,171085.566912611,171017.561513278,170915.740953446,170762.566715292,170531.579473927,170182.873236655,169656.479620389,168862.883078165,167669.907885592,165885.67653095,163238.942229514,159361.929718203,158839.714077304,158192.651569129,157451.783653535,156635.023755139,155752.230730862,154808.78110403,153808.087795005,152753.308276441,151648.376716033,150498.457762051,149309.939940599,148090.114788452,146846.700542819,145587.350236958,144319.241082777,143048.792295587,141781.516742779,140521.985510085,139273.87392097,138040.056748515,136822.726275791,135623.514061211,134443.604489265,133283.833832587,132144.772496561,131026.790745323,129930.109578006,128854.839081475,127801.006667887,126768.577477524,125757.468881313,124767.560677282,123798.702229192,122850.717492453,121923.408621397,121016.558652216,120129.933602818,119263.284217366,118416.347500648,117588.848131742,116780.49980593,115991.006529635,115220.06387718,114467.360209336,113732.577848855,113015.394206603,112315.48285186,111632.514521281,110966.158062427,110316.081309323,109681.951888928,109063.437958731,108460.208876795,107871.935806415,107298.292258209,106738.95457298,106193.602348872,105661.918816647,105143.591166876,104638.310832749,104101.930758342,103573.315248715,103048.329207968,102524.314563112,101999.580828856,101473.07632934,100944.17553693,100412.541355121,99878.0356198861,99340.6606873986,98800.5211664374,98257.7984260046,97712.7333813621,97165.6145110513,96616.7691736733,96066.5569836128,95515.3644141035,94963.600221936,94411.6912535326,93860.0785349569,93309.2135526968,92759.5546267553,92211.5634192341,91665.7015343316,91122.4272708349,90582.1925677749,90045.4401007277,89512.6006272838,88984.0905846992,88460.309921293,87941.6402328803,87428.4431671467,86921.0591102072,86419.8061559532,85924.9793400548,85436.8501346545,84955.6661744091,84481.6512147255,84015.0052846631,83555.9050209217,83104.5041591278,82660.9341623227,82225.3049643678,81797.705808072,81378.2061595728,80966.8566806604,80563.690242975,80168.7229752734,79781.9553183403,79403.373056517,79032.948393789,78670.6409881988,78316.398960283,77970.1598733667,77631.8516813785,77301.39363918,76978.6971718898,76663.6666821169,76356.2003836623,76056.1910139728,75763.5265053032,75478.0906524285,75199.7637215988,74928.4230137294,74663.9433859095,74406.1977354395,74155.0574455335,73910.3927941752,73672.0733292672,73439.9682120813,73213.9465296672,72993.8775681956,72779.6310783018,72571.0775044482,72368.0881901599
8,0,2,1,0,1,171228.02725029,171207.26791247,171186.730182829,171163.213189723,171131.45404551,171085.566912611,171017.561513278,170915.740953446,170762.566715292,170531.579473927,170182.873236655,169656.479620389,168862.883078165,167669.907885592,165885.67653095,163238.942229514,159361.929718203,158839.714077304,158192.651569129,157451.783653535,156635.023755139,155752.230730862,154808.78110403,153808.087795005,152753.308276441,151648.376716033,150498.457762051,149309.939940599,148090.114788452,146846.700542819,145587.350236958,144319.241082777,143048.792295587,141781.516742779,140521.985510085,139273.87392097,138040.056748515,136822.726275791,135623.514061211,134443.604489265,133283.833832587,132144.772496561,131026.790745323,129930.109578006,128854.839081475,127801.006667887,126768.577477524,125757.468881313,124767.560677282,123798.702229192,122850.717492453,121923.408621397,121016.558652216,120129.933602818,119263.284217366,118416.347500648,117588.848131742,116780.49980593,115991.006529635,115220.06387718,114467.360209336,113732.577848855,113015.394206603,112315.48285186,111632.514521281,110966.158062427,110316.081309323,109681.951888928,109063.437958731,108460.208876795,107871.935806415,107298.292258209,106738.95457298,106193.602348872,105661.918816647,105143.591166876,104638.310832749,104101.930758342,103573.315248715,103048.329207968,102524.314563112,101999.580828856,101473.07632934,100944.17553693,100412.541355121,99878.0356198861,99340.6606873986,98800.5211664374,98257.7984260046,97712.7333813621,97165.6145110513,96616.7691736733,96066.5569836128,95515.3644141035,94963.600221936,94411.6912535326,93860.0785349569,93309.2135526968,92759.5546267553,92211.5634192341,91665.7015343316,91122.4272708349,90582.1925677749,90045.4401007277,89512.6006272838,88984.0905846992,88460.309921293,87941.6402328803,87428.4431671467,86921.0591102072,86419.8061559532,85924.9793400548,85436.8501346545,84955.6661744091,84481.6512147255,84015.0052846631,83555.9050209217,83104.5041591278,82660.9341623227,82225.3049643678,81797.705808072,81378.2061595728,80966.8566806604,80563.690242975,80168.7229752734,79781.9553183403,79403.373056517,79032.948393789,78670.6409881988,78316.398960283,77970.1598733667,77631.8516813785,77301.39363918,76978.6971718898,76663.6666821169,76356.2003836623,76056.1910139728,75763.5265053032,75478.0906524285,75199.7637215988,74928.4230137294,74663.9433859095,74406.1977354395,74155.0574455335,73910.3927941752,73672.0733292672,73439.9682120813,73213.9465296672,72993.8775681956,72779.6310783018,72571.0775044482,72368.0881901599
9,11,2,0,0,0,146.0605932,146.042885110704,146.027812738301,146.010633804133,145.987557540533,145.954343409405,145.905233865491,145.831798362746,145.721390703707,145.55492060614,145.303570977796,144.923982965276,144.35131519979,143.489560522779,142.198756528053,140.279733807818,137.459559946852,136.913815485514,136.237759791632,135.464770648667,134.614618521036,133.698615432569,132.723162971962,131.692203787269,130.608870337042,129.476504691024,128.299167497807,127.081752418068,125.829830914214,124.549354886447,123.246326632465,121.926511912059,120.595234384208,119.25725860983,117.91674924051,116.577285983066,115.241912956583,113.913204893911,112.593337442618,111.284153633726,109.987222334754,108.703887094926,107.435305498081,106.182480011017,104.946281722607,103.727468409044,102.526698268767,101.344540448237,100.181483265776,99.0379408281514,97.9142585521572,96.8107179557628,95.7275409685703,94.6648939256014,93.6228913467265,92.601599560827,91.6010402057672,90.6211936161733,89.6620021005973,88.7233731036498,87.8051822462376,86.907276236571,86.0294756455092,85.1715775413015,84.3333579805081,83.5145743536937,82.7149675861366,81.9342641952516,81.1721782076668,80.4284129398961,79.7026626473131,78.9946140467721,78.3039477185952,77.6303393938697,76.9734611332473,76.3329824034319,75.7085710573453,75.0993320102128,74.5025742316223,73.9160553882734,73.3382689563512,72.7681791436485,72.2050550986105,71.648367179829,71.0977220830151,70.5528221518464,70.0134397382713,69.4794009425672,68.9505750451037,68.426867467483,67.9082148398679,67.394581319007,66.8859556269246,66.3823484801463,65.8837902507896,65.3903287069409,64.9020268077635,64.4189605350155,63.9412167340423,63.4688909975867,63.0020855888256,62.5409074338246,62.0854662122826,61.6358725360243,61.1922362606818,60.7546649387093,60.3232624049024,59.8981275314713,59.4793531353046,59.0670250437468,58.6612213202323,58.2620116393927,57.8694568098422,57.483608428347,57.1045086662297,56.7321901673919,56.3666760506632,56.007980003657,55.6561064573602,55.3110508294088,54.9727998252022,54.6413317869806,54.316617080985,53.9986185140585,53.6872917744606,53.3825858839539,53.0844436475609,52.7928021273266,52.5075931038664,52.2287435305535,51.9561759783658,51.6898090691859,51.4295578946971,51.1753344187168,50.9270478527341,50.6846050455122,50.4479108180061,50.2168682799699,49.9913791454207,49.771344021856,49.5566626785116,49.3472342952802,49.1429576943401,48.9437315538568,48.7494546042646,48.5600258086016,48.3753445277017,48.1953106704494,48.0198248251958,47.8487883871263,47.682103668179,47.5196739951082
10,11,2,0,0,1,146.0605932,146.042885110704,146.027812738301,146.010633804133,145.987557540533,145.954343409405,145.905233865491,145.831798362746,145.721390703707,145.55492060614,145.303570977796,144.923982965276,144.35131519979,143.489560522779,142.198756528053,140.279733807818,137.459559946852,136.913815485514,136.237759791632,135.464770648667,134.614618521036,133.698615432569,132.723162971962,131.692203787269,130.608870337042,129.476504691024,128.299167497807,127.081752418068,125.829830914214,124.549354886447,123.246326632465,121.926511912059,120.595234384208,119.25725860983,117.91674924051,116.577285983066,115.241912956583,113.913204893911,112.593337442618,111.284153633726,109.987222334754,108.703887094926,107.435305498081,106.182480011017,104.946281722607,103.727468409044,102.526698268767,101.344540448237,100.181483265776,99.0379408281514,97.9142585521572,96.8107179557628,95.7275409685703,94.6648939256014,93.6228913467265,92.601599560827,91.6010402057672,90.6211936161733,89.6620021005973,88.7233731036498,87.8051822462376,86.907276236571,86.0294756455092,85.1715775413015,84.3333579805081,83.5145743536937,82.7149675861366,81.9342641952516,81.1721782076668,80.4284129398961,79.7026626473131,78.9946140467721,78.3039477185952,77.6303393938697,76.9734611332473,76.3329824034319,75.7085710573453,75.0993320102128,74.5025742316223,73.9160553882734,73.3382689563512,72.7681791436485,72.2050550986105,71.648367179829,71.0977220830151,70.5528221518464,70.0134397382713,69.4794009425672,68.9505750451037,68.426867467483,67.9082148398679,67.394581319007,66.8859556269246,66.3823484801463,65.8837902507896,65.3903287069409,64.9020268077635,64.4189605350155,63.9412167340423,63.4688909975867,63.0020855888256,62.5409074338246,62.0854662122826,61.6358725360243,61.1922362606818,60.7546649387093,60.3232624049024,59.8981275314713,59.4793531353046,59.0670250437468,58.6612213202323,58.2620116393927,57.8694568098422,57.483608428347,57.1045086662297,56.7321901673919,56.3666760506632,56.007980003657,55.6561064573602,55.3110508294088,54.9727998252022,54.6413317869806,54.316617080985,53.9986185140585,53.6872917744606,53.3825858839539,53.0844436475609,52.7928021273266,52.5075931038664,52.2287435305535,51.9561759783658,51.6898090691859,51.4295578946971,51.1753344187168,50.9270478527341,50.6846050455122,50.4479108180061,50.2168682799699,49.9913791454207,49.771344021856,49.5566626785116,49.3472342952802,49.1429576943401,48.9437315538568,48.7494546042646,48.5600258086016,48.3753445277017,48.1953106704494,48.0198248251958,47.8487883871263,47.682103668179,47.5196739951082
